Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
CENTRO EXTREMEÑO DE BILBAO;ITURRIBIDE                                             118;48006;944336007;944336007;cexbilbao@bme.es;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,EXPOSICIONES;SERVICIOS A LOS SOCIOS;AYUDA MUTUA;
ASOCIACION PRO-DEFENSA DE LA VIDA;ZAMACOLA                                                                                         5         EP;48003;944155519;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,SERVICIO DE ORIENTACION;CREACION DE OPINION;SERVICIOS A LOS CIUDADANOS;
A.P.A.COLEGIO PRESENTACION DE Mª (HIJAS DE LA CRUZ);RONDA                                                                                                  26;48005;944790163;;;ASOCIACION;DISTRITO 5 IBAIONDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;SOLIDARIDAD;
COORDINADORA DE VECINOS DE SOLOKOETXE;ZUMARRAGA, PLAZA                                       4         LJ;;944155956;;mczubillaga@hotmail.es;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;BARRIO;SERV.INFORMACION/ASESORAMIENTO,SENSIBILIZACION:CONCEN,MANIF;REPRESENTACION Y/O DEFENSA;CREACION DE OPINION;
ERALDAKUNTZA;SANTA CECILIA                                                                               8;48004;944125218;;;ASOCIACION;DISTRITO 4  BEGOÑA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES;OTROS;;
GRUPO ESPERANTISTA DE BILBAO;BARRENCALLE BARRENA                                    7      1     DC;48005;944164492;;esperantobi@gmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,RECURSOS/FONDO BIBLIOGRAFICO;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
ASOCIACION ELKAR-COMPARTIR DE BILBAO;RAMON Y CAJAL                                          43        L;48014;944473984;;;ASOCIACION;BIZKAIA;JUVENTUD/ESTUDIANTES;TIEMPO LIBRE;CAMPOS DE TRABAJO;SOLIDARIDAD;;
ASOC. JUBILADOS Y PENSIONISTAS DE OTXARKOAGA/TXURDINAGA;CASALS PAU                                                                                     19;48004;944116464;;ajypo@euskalnet.net;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;TERCERA EDAD;INTERVENCIÓN SOCIAL;REPRESEN/RECITALES/CONCIERTOS,BAILES,VISITAS CULTURALES/EXCURSIONES,SERVICIO PELUQUERIA Y/O PODOL.;SERVICIOS A LOS SOCIOS;;
BERRIO-OTXOA ASTI BILTOKIA;MENENDEZ Y PELAYO MARCELINO                                                      25;48006;944334903;944330180;botxoab@planalfa.es;ASOCIACION;DISTRITO 4  BEGOÑA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;DIVULGACION:CHARLAS,CAMPAÑAS,VISITAS CULTURALES/EXCURSIONES;EDUCAR;SERVICIOS A LOS SOCIOS;
SUSPERGINTZA ELKARTEA;SIMON BOLIVAR                                          8         5º;48010;944008060;944008061;suspergintza@suspergintza.net;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;EDUCAR;;
REVISTA GOITIBERA;NUEVA                                                  4         3º;48005;944795989;944700776;goitibera@barria.net;ASOCIACION;COMUNIDAD AUTONOMA;JUVENTUD/ESTUDIANTES;CULTURA;PUBLICACIONES;EDUCAR;;
TXIRULA KULTUR TALDEA;LANGARAN                                                                                         2;48004;944120094;;;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;SERVICIOS A LOS SOCIOS;
SOCIEDAD RECREATIVA EUSKALDUNA, S.A.;EUSKALDUNA                                             3      IN EP;48008;944223110;;;ASOCIACION;DISTRITO 6 ABANDO;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS SOCIOS;;
KIRRULI KULTUR ELKARTEA;DIAZ DE HARO MARIA                                        13           BA;48010;944425324;;;ASOCIACION;DISTRITO 6 ABANDO;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ASOC. CATOLICA DE P.A. COLEGIO HH.MM. EL SALVADOR;ITURRIBIDE                                             78;48006;944330075;;apa@maristasbilbao.com;ASOCIACION;DISTRITO 5 IBAIONDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
ASOCIACION DE VECINAS Y  VECINOS BUIA;BUIA                                                                                                 140;48003;944167528;;;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,FIESTAS;SERVICIOS A LOS CIUDADANOS;;
EDEX-CENTRO DE RECURSOS COMUNITARIOS;PARTICULAR DE INDAUTXU                                 9;48011;944276420;944417512;edex@edex.es;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;;
CENTRO JUBILADOS Y PENSIONISTAS ABANDO;URIBITARTE                                             10;48001;944234230;;jubiladosabando@gmail.com;ASOCIACION;DISTRITO 6 ABANDO;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,VISITAS CULTURALES/EXCURSIONES,SERVICIO PELUQUERIA Y/O PODOL.,ACOMPAÑAMIENTO;SERVICIOS A LOS SOCIOS;SOLIDARIDAD;
ASOCIACION AMIGOS DEL TERCER MUNDO;BAILEN                                                                                             29     L     D;48003;944161686;944790627;amigostercermundo@amigostercermundo.es;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;PROYECTOS DE COOPERACION;SOLIDARIDAD;;
SOCIEDAD CORAL DE BILBAO/BILBOKO KORAL ELKARTEA;SERRATE FELIPE                                         2;48013;944167148;944161899;coraldebilbao@coraldebilbao.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS;PROMOCION;SERVICIOS A LOS CIUDADANOS;
ASOC FAMILIAS OTXARKOAGA/OTXARKOAGAKO HAUZO ELKARTEA;CASALS PAU                                                                                        19;48004;944120387;944127331;asociacionfamiliasotxarkoaga@yahoo.com;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;POBLACION EN GENERAL;BARRIO;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ASESORIA JURIDICA;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS CIUDADANOS;
ASOCIACION VIZCAINA DEL ACORDEON;HURTADO DE AMEZAGA                                                                     27        4º C;48008;944701883;944701066;orquesta@bilbaoacordeon.org;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;PROMOCION;SERVICIOS A LOS SOCIOS;
CENTRO ARAGONES DE BILBAO;SANTO DOMINGO DE GUZMAN                                                           14     SO;48006;944162110;;;ASOCIACION;BIZKAIA;PADRES Y MADRES/FAMILIAS;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,NO CONTESTA ASOCIACION;SERVICIOS A LOS SOCIOS;;
SANTUTXUKO FAMILIA ELKARTEA;ITURRIAGA                                                                                       55        1º;48004;944334168;;santutxukofamiliaelkartea@yahoo.com;ASOCIACION;DISTRITO 4  BEGOÑA;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;SOLIDARIDAD;
A.P.A. DEL COLEGIO PUREZA DE MARIA PUREMA;AVENIDA SABINO ARANA                                   5;48013;944415015;;;ASOCIACION;DISTRITO 6 ABANDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;;
ALCER BIZKAIA-ASOCIACION LUCHA CONTRA LAS ENFERMEDADES RENALES;HARO PLAZA                                             1         BA;48006;944598750;944598850;alcer@sarenet.es;ASOCIACION;BIZKAIA;AFECTADOS/ENFERMOS/AS;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS,DONACION DE ORGANOS;AYUDA MUTUA;SOLIDARIDAD;
CINE CLUB FAS DE BILBAO;LUIS BRIÑAS                                            18        1º;48013;944425344;944205198;amarro@euskaltel.net;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;SERV.INFORMACION/ASESORAMIENTO,CENTRO DE DOCUMENTACION,PROYECCIONES,PUBLICACIONES;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
AGRUPACION CORAL OTXARKOAGA;PLAZA KEPA EMBEITIA                                    1;48004;944123007;;;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;PROMOCION;;
AMCB ASOC. DE MUSICA DE CAMARA DE BILBAO/BGME, BILBOKO GANBARA MUSIKA ELKARTEA;JUAN DE GARAY                                          13        6º;48003;610746703;944723655;info.amcb@gmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;SERVICIOS A LOS CIUDADANOS;;
ASOCIACION DE AYUDA EN CARRETERA, DYA;SAN MAMES                                              33     B;48010;944101010;944440259;international@dya.biz;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD,INTERVENCIÓN SOCIAL,COOPERACIÓN INTERNACIONAL;ACTIV.FORMATIVAS/EDUCATIVAS,CENTRO DE DIA,SERVICIO MEDICO,SERVICIO DE TRANSPORTE,SERVICIO ATENCION/ASISTENCIA,PROYECTOS DE COOPERACION;SERVICIOS A LOS CIUDADANOS;;
ASOCIACION OFTALMOLOGICA DEL NORTE;LERSUNDI                                                                                         9         4º 3;48009;944233768;944230111;;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;PROFESIONALES;PROFESIONALES;JORNADAS TEMATICAS/CERTAMENES;SERVICIOS A LOS SOCIOS;;
ASOC. VASCA DE SOCIOLOGIA/EUSKAL SOZIOLOGI ELKARTEA;HURTADO DE AMEZAGA                                                                     27        9º 9;48008;944100740;944100740;avsp@euskalnet.net;ASOCIACION;COMUNIDAD AUTONOMA;PROFESIONALES;PROFESIONALES;ACTIV.FORMATIVAS/EDUCATIVAS,PUBLICACIONES,REVISTA;SERVICIOS A LOS SOCIOS;REPRESENTACION Y/O DEFENSA;
ASOC. AFECTADOS RETINOSIS PIGMENTARIA DE EUSKADI;ITURRIBIDE                                             26        EP 7;48006;944156476;944792828;asociacion@retinosispigmentaria.org;ASOCIACION;COMUNIDAD AUTONOMA;AFECTADOS/ENFERMOS/AS;SALUD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS;AYUDA MUTUA;SERVICIOS A LOS SOCIOS;
GORABIDE-ASOC. VIZCAINA EN FAVOR DE LAS PERSONAS CON DISCAPACIDAD INTELECTUAL;LICENCIADO POZA                                        14        2º;48011;944431210;944219384;gorabide@gorabide.com;ASOCIACION;BIZKAIA;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;ACTIV.FORMATIVAS/EDUCATIVAS,PISO ACOGIDA/VIVIENDA TUTELADA,CENTRO DE DIA,RESIDENCIA;SERVICIOS A LOS CIUDADANOS;;
ASOC GEU-UNAMUNO INSTITUTUKO GURASO ELKARTEA;POZA LICENCIADO                                                                           1;48008;944158277;;geu17unamuno@gmail.com;ASOCIACION;DISTRITO 6 ABANDO;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS,AYUDA ESCOLAR,ESCUELA DE PADRES/MADRES;EDUCAR;;
AGRUPACION ASTRONOMICA VIZCAINA/BIZKAIKO ASTRONOMI ELKARTEA;IPARAGUIRRE                                            46        5º 2;48010;944129289;;agrupacion.astronomica.vizcaina@gmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;SERVICIOS A LOS CIUDADANOS;
ASOCIACION BELENISTA DE VIZCAYA;ERETZA MONTE                                                                                 23        B;48003;944105806;;belenista@mundofree.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,EXPOSICIONES;PROMOCION;;
SOCIEDAD FILARMONICA DE BILBAO;PUERTO MARQUES DEL                                     2;48009;944232621;;;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;;
EUSKERAZALEAK (EUSKERAREN ALDEKO ALKARTEA);COLON DE LARREATEGUI                                   14        2º;48001;944235322;;;ASOCIACION;BIZKAIA;EUSKALDUNES;CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;;
COLECTIVO FEMINISTA LANBROA;HURTADO DE AMEZAGA                                                                     11        1;48008;944447693;944125553;mcanal@readysoft.es;ASOCIACION;BIZKAIA;MUJER;SOCIEDAD;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,REVISTA;REPRESENTACION Y/O DEFENSA;PROMOCION;
EUSKAL HERRIKO GAY ASKAPEN MUGIMENDUA (E.H.G.A.M.);FIKA                                                   9;48006;944150719;944150719;ehgambizkaia@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;GAYS Y/O LESBIANAS;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,SENSIBILIZACION:CONCEN,MANIF,RECURSOS/FONDO BIBLIOGRAFICO;CREACION DE OPINION;REPRESENTACION Y/O DEFENSA;
ASOCIACION DE MUJERES VIUDAS DE VIZCAYA;ITURRIZA                                               4         BA D;48003;944443963;;;ASOCIACION;BIZKAIA;MUJER;INTERVENCIÓN SOCIAL;AYUDA SOCIAL,COLABORACION CON OTRAS ASOCIAC;AYUDA MUTUA;;
ASOC. POR EL DERECHO A LA SALUD OSALDE;BARRENKALE                                                                                     40        1º;48005;944162202;944162202;ope.paisvasco@gmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;SALUD;DIVULGACION:CHARLAS,CAMPAÑAS,PUBLICACIONES;SERVICIOS A LOS CIUDADANOS;;
ASPACE-ASOC. VIZCAINA AYUDA PARALITICOS CEREBRALES;URQUIJO JULIO (LONJA)                                  17;48014;944414721;944414679;aspace@aspacebizkaia.org;ASOCIACION;BIZKAIA;MINUSVALIDOS/AS;INTERVENCIÓN SOCIAL;CAMPAMENTOS,SERVICIOS SOCIOEDUCATIVOS;NORMALIZACION;PROMOCION;
MEDICUS MUNDI VIZCAYA;VIRGEN DE BEGOÑA                                       20        BA;48006;944127398;944125499;bizkaia@medicusmundi.es;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS;PROMOCION;CREACION DE OPINION;
COORDINADORA DE O.N.G.D. PARA EL DESARROLLO DE EUSKADI;RONDA                                                                                               0;48005;944150300;944150300;bizkaia@ongdeuskadi.org;AGRUPACION DE ASOCIACIONES;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,EXPOSICIONES;SOLIDARIDAD;;
ASOCIACION DE VECINOS DE TORRE URIZAR;TORREURIZAR                                                                                      26;48012;944329693;;;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES;REPRESENTACION Y/O DEFENSA;SERVICIOS A LOS SOCIOS;
ASOCIACION DE VECINOS IKASBIDE;AUNTZETXETA                                                                                   1         1  B;48002;944275228;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;REPRESENTACION Y/O DEFENSA;
SOCIEDAD MENDI BEHERA;ELORRIETA                                                                                          9            LO TR;48015;656753527;;;ASOCIACION;DISTRITO 1 DEUSTO;HOMBRES;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,COLABORACION CON OTRAS ASOCIAC;SERVICIOS A LOS SOCIOS;;
ACCION FAMILIAR VIZCAINA;ACHUCARRO DOCTOR                                                                         6         EN;48011;944167212;944151873;afavizcaina@euskalnet.net;ASOCIACION;BIZKAIA;PADRES Y MADRES/FAMILIAS;SOCIEDAD;ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES;EDUCAR;;
ZERTARAKO;BOLIVAR SIMON                                          5;48010;944210330;;;ASOCIACION;DISTRITO 6 ABANDO;JUVENTUD/ESTUDIANTES;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES,LUGAR DE ENCUENTRO;SERVICIOS A LOS CIUDADANOS;;
A.P.A. DEL INSTITUTO TXURDINAGA BEHEKOA;ARESTI GABRIEL                                                                                8;48004;944121811;;;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;ACTIV.FORMATIVAS/EDUCATIVAS;SERVICIOS A LOS SOCIOS;AYUDA MUTUA;
CLUB DE TIEMPO LIBRE ALAIA LA ALEGRIA;CARAMELO MONTE ,BARRIO                                 4;48002;944270896;;;ASOCIACION;DISTRITO 8 BASURTO-ZORROZA;INFANCIA Y JUVENTUD;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES;SERVICIOS A LOS CIUDADANOS;;
ASOCIACION DE VECINOS DE IRALABARRI;BERGARA AVENIDA                                        8;48012;944449040;;;ASOCIACION;DISTRITO 7 REKALDE;POBLACION EN GENERAL;BARRIO;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,REVISTA;SOLIDARIDAD;SERVICIOS A LOS CIUDADANOS;
