DISTRITO;DISTRITO;SECCIÓN
7;ERREKALDE;43
8;BASURTU-ZORROTZA;1
8;BASURTU-ZORROTZA;2
8;BASURTU-ZORROTZA;3
8;BASURTU-ZORROTZA;4
8;BASURTU-ZORROTZA;5
8;BASURTU-ZORROTZA;6
8;BASURTU-ZORROTZA;7
8;BASURTU-ZORROTZA;8
8;BASURTU-ZORROTZA;9
8;BASURTU-ZORROTZA;10
8;BASURTU-ZORROTZA;12
8;BASURTU-ZORROTZA;13
8;BASURTU-ZORROTZA;14
8;BASURTU-ZORROTZA;15
8;BASURTU-ZORROTZA;16
8;BASURTU-ZORROTZA;18
8;BASURTU-ZORROTZA;19
8;BASURTU-ZORROTZA;20
8;BASURTU-ZORROTZA;21
8;BASURTU-ZORROTZA;22
8;BASURTU-ZORROTZA;23
8;BASURTU-ZORROTZA;24
8;BASURTU-ZORROTZA;25
;;TOTALES
