EJE;DEN. EJE (CORTA);DEN. EJE (LARGA);DESCRIPCIÓN;OBJETIVO;DEN. OBJETIVO (CORTA);DEN. OBJETIVO (LARGA);DESCRIPCIÓN;LINEA;DEN. LINEA ACTUACIÓN (CORTA);DEN. LINEA ACTUACIÓN (LARGA);DESCRIPCIÓN;PEP;DEN. PEP(CORTA);DEN. PEP(LARGA);;AMOUNT
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000086;G/C afecto Secretaría General del Pleno;Gasto corriente afecto Secretaría General del Pleno;Gasto corriente afecto Secretaría General del Pleno;5000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000184;G/C afecto Gabinete Relaciones Públicas;Gasto corriente afecto al Gabinete de Relaciones Públicas;Gasto corriente afecto al Gabinete de Relaciones Públicas;100000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000243;Atenciones protocolarias/representativas;Atenciones protocolarias y de representación/Gabinete del Alcalde;Atenciones protocolarias y de representación/Gabinete del Alcalde;128858
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000244;Asistencia Cargos Electos;Asistencias varias a Cargos Electos (dietas, agencia de viajes, otros suministros y gastos diversos);Asistencias varias a Cargos Electos (dietas, agencia de viajes, otros suministros y gastos diversos);117932
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000245;Cuotas de participación en otros entes.;Cuotas de participación en otros entes;Cuotas de participación en otros entes;237000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000247;Gasto Corriente del Gabinete del Alcalde;Gasto Corriente del Gabinete del Alcalde;Gasto Corriente del Gabinete del Alcalde;60800
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000267;Gasto corriente de prensa y comunicación;Gasto corriente de prensa y comunicación;Gasto corriente de prensa y comunicación;245550
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10103;Corporación;Apoyo a la corporación;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2010000123;Licencias software;Licencias software;Licencias software;489000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000013;G/C gastos comunes obras/servicios;Gastos comunes Obras y Servicios;Gastos comunes Obras y Servicios;560531
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000043;G/C Servicios Generales Educación;Gasto corriente servicios generales educación;Gasto corriente servicios generales educación;40700
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000055;G/C Serv.Generales Infancia-Juventud;Servicios Generales Infancia-Juventud;Servicios Generales Infancia-Juventud;117000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000088;G/C afecto Atención Ciudadana;Gasto corriente afecto Atención Ciudadana;Gasto corriente afecto Atención Ciudadana;86400
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000092;G/C Participación y Distritos;Gasto corriente Participación y Distritos;Gasto corriente Participación y Distritos;48500
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000138;G/C Gestión catastral;Gasto corriente gestión catastral;Gasto corriente gestión catastral;226500
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000140;G/C Gestión servicio recaudación/R.Ejec.;Gastos corriente gestión servicios recaudación (Recaudación ejecutiva);Gastos corriente gestión servicios recaudación (Recaudación ejecutiva);1700000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000141;G/C Gestión tributaria;Gasto corriente gestión tributaria;Gasto corriente gestión tributaria;564850
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000150;G/C Gestión recaudación;Gasto corriente gestión recaudación;Gasto corriente gestión recaudación;2220
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000153;G/C Mejora procesos multas OTA;Mejora procesos multas OTA;Mejora procesos multas OTA;54000
1;Transparencia;Eje 1. Rigor Económico y Transparencia;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;101;Rigor económico;Rigor económico y responsabilidad;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;10104;Gestión Municipal;Apoyo a la gestión municipal;Cohesionar a todo el personal municipal, en torno a la importancia de aunar esfuerzos para conseguir un Ayuntamiento de Bilbao eficiente, y transparente. En continua búsqueda de oportunidades de mejora, acercándolo a la ciudadanía, a través de la información y la participación.;2006000160;G/C Mejora procesos patrimonio;Mejora procesos patrimonio;Mejora procesos patrimonio;50000
