Capitulo;Den Capítulo Corta;Den Capítulo Larga;Descripcion;Articulo;Den. Artículo Corta;Den. Artículo Larga;Descripcion;Subconcepto;Den. Subconcepto Corta;Den. Subconcepto Larga;Descripcion;Detalle subconcepto tabla (código);Detalle subconcepto tabla (corto);Detalle subconcepto tabla largo;Detalle subconcepto tabla descripcion;Importe
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31005;Por retirada vehículos;Tasa por retirada vehículos de la vía pública;Tasa por retirada vehículos de la vía pública;310050;; ¬;;850000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31999;Otras Tasas;Otras Tasas;Otras Tasas;310060;Tasa por servicios especiales de la policia municipal;Tasa por servicios especiales de la policia municipal;Tasa por servicios especiales de la policia municipal;36000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31008;Servicios bomberos ;Tasa por servicios del cuerpo municipal de bomberos y proteccion civil;Tasa por servicios del cuerpo municipal de bomberos y proteccion civil;310080;; ¬;;4200000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31009;Abastecimiento aguas;Tasa por abastecimiento de aguas;Tasa por abastecimiento de aguas;310090;; ¬;;14440000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31015;Servicios ayuda domicilio;Tasa por servicio de ayuda a domicilio y otros servicios sociales;Tasa por servicio de ayuda a domicilio y otros servicios sociales;310150;; ¬;;580000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31999;Otras Tasas;Otras Tasas;Otras Tasas;310190;Tasa por servicio de transporte colectivo urbano;Tasa por servicio de transporte colectivo urbano;Tasa por servicio de transporte colectivo urbano;2000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31999;Otras Tasas;Otras Tasas;Otras Tasas;310210;Tasa por servicios sanitarios;Tasa por servicios sanitarios;Tasa por servicios sanitarios;15500
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31999;Otras Tasas;Otras Tasas;Otras Tasas;310220;Tasa por servicio de ambulancias;Tasa por servicio de ambulancias;Tasa por servicio de ambulancias;12300
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31999;Otras Tasas;Otras Tasas;Otras Tasas;310230;Tasa por servicios de sanidad laboral;Tasa por servicios de sanidad laboral;Tasa por servicios de sanidad laboral;32800
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31999;Otras Tasas;Otras Tasas;Otras Tasas;310240;Tasa por la prestacion de servicios tecnicos;Tasa por la prestacion de servicios tecnicos;Tasa por la prestacion de servicios tecnicos;143000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31101;Licencias apertura locales;Tasa por licencia de apertura de establecimientos;Tasa por licencia de apertura de establecimientos;311010;; ¬;;170000
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31999;Otras Tasas;Otras Tasas;Otras Tasas;311020;Tasa por concesión licencias autotaxi;Tasa por concesión licencias autotaxi;Tasa por concesión licencias autotaxi;66600
3;Tasas y otros ingresos;Tasas y otros ingresos;;31;Tasas prestacion servicios;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;Tasas por prestacion de servicios publicos o realizacion de actividades adtvas.;31201;Licencias obras;Tasa por licencia de obras y urbanisticas;Tasa por licencia de obras y urbanisticas;312010;; ¬;;4669600
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32001;Estacionamiento ota;Tasa por estacionamiento de vehiculos de traccion mecanica;Tasa por estacionamiento de vehiculos de traccion mecanica;320010;; ¬;;873300
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32103;Vallas/andamios;Tasa por vallas, andamios y otros elementos auxiliares obra;Tasa por vallas, andamios y otros elementos auxiliares obra;321030;; ¬;;656000
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32104;Mesas/veladores;Tasa por mesas, sillas y veladores;Tasa por mesas, sillas y veladores;321040;; ¬;;480000
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32105;Ferias/festejos;Tasa por puestos en ferias y festejos populares;Tasa por puestos en ferias y festejos populares;321050;; ¬;;718000
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32107;Apertura zanjas ;Tasa por apertura de calicatas y zanjas en terrenos de dominio publico;Tasa por apertura de calicatas y zanjas en terrenos de dominio publico;321070;; ¬;;56000
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32109;Empresas gas y electricidad;Tasa por ocupacion via publica por empresas explotadoras de servicios suministro;Tasa por ocupacion via publica por empresas explotadoras de servicios suministro;321090;; ¬;;3575000
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32110;Escaparates/marquesinas;Tasa por instalaciones de escaparates,vitrinas, portadas, etc.;Tasa por instalaciones de escaparates,vitrinas, portadas, etc.;321100;; ¬;;92000
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32112;Otras ocupaciones suelo;Tasa por otros aprovechamientos especiales del suelo, vuelo y subsuelo municipal;Tasa por otros aprovechamientos especiales del suelo, vuelo y subsuelo municipal;321120;; ¬;;256000
3;Tasas y otros ingresos;Tasas y otros ingresos;;32;Tasas ocupación vía pública;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;Tasas por utilizacion privativa o aprovechamiento especial dominio publico;32201;Pasos de aceras;Tasa entrada de vehiculos a traves de aceras y reserva aparcamiento vias public.;Tasa entrada de vehiculos a traves de aceras y reserva aparcamiento vias public.;322010;; ¬;;540000
3;Tasas y otros ingresos;Tasas y otros ingresos;;34;Precios publicos prestacion servicios;Precios publicos por la prestacion de servicios o realizacion de actividades;Precios publicos por la prestacion de servicios o realizacion de actividades;34007;Por venta libros;Precio público por venta de libros, publicaciones y videos;Precio público por venta de libros, publicaciones y videos;340070;; ¬;;11300
3;Tasas y otros ingresos;Tasas y otros ingresos;;34;Precios publicos prestacion servicios;Precios publicos por la prestacion de servicios o realizacion de actividades;Precios publicos por la prestacion de servicios o realizacion de actividades;34102;Por talleres y cursos;Precio público por prestación de servicios o actividades municipales;Precio público por prestación de servicios o actividades municipales;341020;; ¬;;488400
3;Tasas y otros ingresos;Tasas y otros ingresos;;36;Contribuciones especiales;Contribuciones especiales;Contribuciones especiales;36101;Contribuciones especiales incendios;Contribuciones especiales por el servicio de extincion de incendios;Contribuciones especiales por el servicio de extincion de incendios;361010;; ¬;;1865000
3;Tasas y otros ingresos;Tasas y otros ingresos;;38;Reintegros;Reintegros;Reintegros;38001;Reintegros presupuestos cerrados;Reintegros de presupuestos cerrados;Reintegros de presupuestos cerrados;380010;; ¬;;268000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39101;Multas infracciones trafico;Multas por infracciones a la ley de trafico;Multas por infracciones a la ley de trafico;391010;; ¬;;8900000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39102;Multas infracciones OTA;Multas por infracciones a ordenanzas de trafico y aparcamiento (OTA);Multas por infracciones a ordenanzas de trafico y aparcamiento (OTA);391020;; ¬;;2800000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39103;Multas infracciones administrativas;Multas por infracciones administrativas;Multas por infracciones administrativas;391030;; ¬;;600000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39105;Multas infracciones medioambientales;Multas por infracciones medioambientales;Multas por infracciones medioambientales;391050;; ¬;;30000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39201;Recargos recaudacion ejecutiva;Recargos de apremios;Recargos de apremios;392010;; ¬;;1780000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39301;Intereses de demora;Intereses de demora;Intereses de demora;393010;; ¬;;1020000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39601;Compensaciones operadores telecomunicacion;Compensaciones tributarias;Compensaciones tributarias;396010;; ¬;;1904000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399010;Publicidad en periodicos y revistas municipales;Publicidad en periodicos y revistas municipales;Publicidad en periodicos y revistas municipales;20000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399020;Derechos de examen;Derechos de examen;Derechos de examen;4000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399030;Recogida especial y destruccion de basuras a otros;Recogida especial y destruccion de basuras a otros;Recogida especial y destruccion de basuras a otros;400000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399050;Sistemas integrados de gestion de envases;Sistemas integrados de gestion de envases;Sistemas integrados de gestion de envases;1770000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399070;Rappel sobre facturacion;Rappel sobre facturacion;Rappel sobre facturacion;10000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399080;Compensación servicios concertados otros aytos.;Compensación servicios concertados otros aytos.;Compensación servicios concertados otros aytos.;60000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399110;Patrocinio publicitario;Patrocinio publicitario;Patrocinio publicitario;207000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399120;Anuncios a cargo de particulares;Anuncios a cargo de particulares;Anuncios a cargo de particulares;20000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399130;Ejecucion subsidiaria de obras e instalaciones a cargo de particulares;Ejecucion subsidiaria de obras e instalaciones a cargo de particulares;Ejecucion subsidiaria de obras e instalaciones a cargo de particulares;400000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39916;Daños en bienes municipales;Daños en bienes municipales;Daños en bienes municipales;399160;; ¬;;330000
3;Tasas y otros ingresos;Tasas y otros ingresos;;39;Otros ingresos;Otros ingresos;Otros ingresos;39999;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;399990;Otros ingresos diversos;Otros ingresos diversos;Otros ingresos diversos;1100000
4;Transferencias corrientes;Transferencias corrientes;;40;Del Estado;Transferencias corrientes del Estado;Transferencias corrientes del Estado;40001;Participacion en tributos no concertados;Participacion en tributos no concertados;Participacion en tributos no concertados;400010;; ¬;;450000
4;Transferencias corrientes;Transferencias corrientes;;40;Del Estado;Transferencias corrientes del Estado;Transferencias corrientes del Estado;40005;Ministerio de sanidad y consumo;Ministerio de sanidad , servicios sociales e igualdad;Ministerio de sanidad , servicios sociales e igualdad;400050;; ¬;;50000
4;Transferencias corrientes;Transferencias corrientes;;40;Del Estado;Transferencias corrientes del Estado;Transferencias corrientes del Estado;40010;Subdelegacion Gobierno Bizkaia;Subdelegacion del Gobierno en Bizkaia;Subdelegacion del Gobierno en Bizkaia;400100;; ¬;;20000
4;Transferencias corrientes;Transferencias corrientes;;40;Del Estado;Transferencias corrientes del Estado;Transferencias corrientes del Estado;40102;Instituto nacional estadistica (INE);Instituto nacional de estadistica (INE);Instituto nacional de estadistica (INE);401020;; ¬;;3400
4;Transferencias corrientes;Transferencias corrientes;;40;Del Estado;Transferencias corrientes del Estado;Transferencias corrientes del Estado;40106;Instituto Nacional artes escenicas y musica;Inaem.Instututo nacional  artes escénicas y música;Inaem.Instututo nacional  artes escénicas y música;401060;; ¬;;12000
4;Transferencias corrientes;Transferencias corrientes;;40;Del Estado;Transferencias corrientes del Estado;Transferencias corrientes del Estado;40107;Instituto cinematografía y artes visuales;Instituto de la cinematografía y las artes visuales;Instituto de la cinematografía y las artes visuales;401070;; ¬;;10000
4;Transferencias corrientes;Transferencias corrientes;;41;De C.A.P.V.;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;41001;Empleo y Asuntos Sociales;C.A.P.V. Empleo y Asuntos Aociales;C.A.P.V. Empleo y Asuntos Aociales;410010;; ¬;;5048221
4;Transferencias corrientes;Transferencias corrientes;;41;De C.A.P.V.;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;41002;Educacion, universidades e investigacion;C.A.P.V. Educacion, universidades e investigacion;C.A.P.V. Educacion, universidades e investigacion;410020;; ¬;;1606014
4;Transferencias corrientes;Transferencias corrientes;;41;De C.A.P.V.;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;41003;Medio Ambiente;C.A.P.V. Medio Ambiente, Planificación Territorial, Agricultura y Pesca;C.A.P.V. Medio Ambiente, Planificación Territorial, Agricultura y Pesca;410030;; ¬;;18000
4;Transferencias corrientes;Transferencias corrientes;;41;De C.A.P.V.;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;41004;Cultura;C.A.P.V.Cultura;C.A.P.V.Cultura;410040;; ¬;;119714
4;Transferencias corrientes;Transferencias corrientes;;41;De C.A.P.V.;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;41005;Interior;C.A.P.V. Interior;C.A.P.V. Interior;410050;; ¬;;57200
4;Transferencias corrientes;Transferencias corrientes;;41;De C.A.P.V.;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;41006;Industria,Innovación,Comercio/Turismo;C.A.P.V. Industria, Innovación, Comercio y Turismo;C.A.P.V. Industria, Innovación, Comercio y Turismo;410060;; ¬;;78400
4;Transferencias corrientes;Transferencias corrientes;;41;De C.A.P.V.;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;41010;Vivienda/Obras Públicas/Transportes;C.A.P.V. Vivienda, Obras Públicas y Transportes;C.A.P.V. Vivienda, Obras Públicas y Transportes;410100;; ¬;;337500
4;Transferencias corrientes;Transferencias corrientes;;41;De C.A.P.V.;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;Transferencias corrientes de la Comunidad Autonoma Pais Vasco;41103;Instituto Vasco de la Mujer (EMAKUNDE);Instituto Vasco de la Mujer (EMAKUNDE);Instituto Vasco de la Mujer (EMAKUNDE);411030;; ¬;;15000
4;Transferencias corrientes;Transferencias corrientes;;42;Del Territorio Historico de Bizkaia;Transferencias corrientes del Territorio Historico de Bizkaia;Transferencias corrientes del Territorio Historico de Bizkaia;42001;Participacion tributos concertados (Udalkutxa);D.F.B. Participacion en tributos concertados (udalkutxa);D.F.B. Participacion en tributos concertados (udalkutxa);420010;; ¬;;267931734
4;Transferencias corrientes;Transferencias corrientes;;42;Del Territorio Historico de Bizkaia;Transferencias corrientes del Territorio Historico de Bizkaia;Transferencias corrientes del Territorio Historico de Bizkaia;42002;Accion social;D.F.B. Accion Social;D.F.B. Accion Social;420020;; ¬;;2322000
4;Transferencias corrientes;Transferencias corrientes;;42;Del Territorio Historico de Bizkaia;Transferencias corrientes del Territorio Historico de Bizkaia;Transferencias corrientes del Territorio Historico de Bizkaia;42004;Cultura;D.F.B.Cultura;D.F.B.Cultura;420040;; ¬;;361817
4;Transferencias corrientes;Transferencias corrientes;;42;Del Territorio Historico de Bizkaia;Transferencias corrientes del Territorio Historico de Bizkaia;Transferencias corrientes del Territorio Historico de Bizkaia;42007; Hacienda y Finanzas;D.F.B. Hacienda y Finanzas;D.F.B. Hacienda y Finanzas;420070;; ¬;;150000
5;Ingresos patrimoniales;Ingresos patrimoniales;;53;Dividendos/participaciones en beneficios;Dividendos y participaciones en beneficios;Dividendos y participaciones en beneficios;53201;Dividendos de Mercabilbao;Dividendos y participaciones en beneficios de Mercabilbao;Dividendos y participaciones en beneficios de Mercabilbao;532010;; ¬;;30000
5;Ingresos patrimoniales;Ingresos patrimoniales;;53;Dividendos/participaciones en beneficios;Dividendos y participaciones en beneficios;Dividendos y participaciones en beneficios;53202;Dividendos de Bioartigas;Dividendos y participaciones en beneficios de Bioartigas;Dividendos y participaciones en beneficios de Bioartigas;532020;; ¬;;200000
5;Ingresos patrimoniales;Ingresos patrimoniales;;54;Rentas bienes inmuebles;Rentas de bienes inmuebles;Rentas de bienes inmuebles;54001;Arrendamientos fincas urbanas;Arrendamientos de fincas urbanas;Arrendamientos de fincas urbanas;540010;; ¬;;30000
5;Ingresos patrimoniales;Ingresos patrimoniales;;55;Canones concesiones;Productos de concesiones y aprovechamientos especiales;Productos de concesiones y aprovechamientos especiales;55001;Concesiones instalaciones comerciales ;Concesiones administrativas para instalaciones comerciales e industriales;Concesiones administrativas para instalaciones comerciales e industriales;550010;; ¬;;200000
5;Ingresos patrimoniales;Ingresos patrimoniales;;55;Canones concesiones;Productos de concesiones y aprovechamientos especiales;Productos de concesiones y aprovechamientos especiales;55002;Concesiones kioskos;Concesiones administrativas de kioskos;Concesiones administrativas de kioskos;550020;; ¬;;140000
5;Ingresos patrimoniales;Ingresos patrimoniales;;55;Canones concesiones;Productos de concesiones y aprovechamientos especiales;Productos de concesiones y aprovechamientos especiales;55003;Concesion Central Sollano;Concesion administrativa explotacion central de sollano;Concesion administrativa explotacion central de sollano;550030;; ¬;;200000
5;Ingresos patrimoniales;Ingresos patrimoniales;;55;Canones concesiones;Productos de concesiones y aprovechamientos especiales;Productos de concesiones y aprovechamientos especiales;55010;Canones aparcamientos;Canones aparcamientos;Canones aparcamientos;550100;; ¬;;1525000
5;Ingresos patrimoniales;Ingresos patrimoniales;;55;Canones concesiones;Productos de concesiones y aprovechamientos especiales;Productos de concesiones y aprovechamientos especiales;55999;Otros ingresos por concesiones ;Otros ingresos por concesiones administrativas y aprovechamientos;Otros ingresos por concesiones administrativas y aprovechamientos;559990;; ¬;;1100000
5;Ingresos patrimoniales;Ingresos patrimoniales;;56;Intereses depositos;Intereses de depositos;Intereses de depositos;56001;Intereses depositos en cajas y bancos ;Intereses de depositos en entidades financieras;Intereses de depositos en entidades financieras;560010;; ¬;;500000
6;Enajenacion de inversiones reales;Enajenacion de inversiones reales;;60;Enajenación terrenos;Enajenacion de terrenos;Enajenacion de terrenos;60001;Enajenación solares;Enajenación de solares;Enajenación de solares;600010;; ¬;;1000000
6;Enajenacion de inversiones reales;Enajenacion de inversiones reales;;61;Enajenación otras inversiones;Enajenación otras inversiones;Enajenación otras inversiones;61201;Enajenación edificios y otras construcciones;Enajenación de edificios y otras construcciones;Enajenación de edificios y otras construcciones;612010;; ¬;;6256000
6;Enajenacion de inversiones reales;Enajenacion de inversiones reales;;65;Actuaciones urbanísticas;Actuaciones urbanísticas;Actuaciones urbanísticas;65109;Compensaciones urbanisticas;Compensaciones urbanísticas;Compensaciones urbanísticas;651090;; ¬;;2400000
7;Transferencias de capital;Transferencias de capital;;70;Del Estado;Transferencias de capital del Estado;Transferencias de capital del Estado;70001;Ministerio trabajo y asuntos sociales;Admon estado. Trabajo y Asuntos Sociales;Admon estado. Trabajo y Asuntos Sociales;700010;; ¬;;20000
7;Transferencias de capital;Transferencias de capital;;70;Del Estado;Transferencias de capital del Estado;Transferencias de capital del Estado;70007;Ministerio de fomento;Transferencia de capital del ministerio de fomento;Transferencia de capital del ministerio de fomento;700070;; ¬;;100000
7;Transferencias de capital;Transferencias de capital;;71;De C.A.P.V.;Transferencias de capital de la Comunidad Autonoma Pais Vasco;Transferencias de capital de la Comunidad Autonoma Pais Vasco;71002;Educacion, universidades e investigacion;C.A.P.V. Educacion, universidades e investigacion;C.A.P.V. Educacion, universidades e investigacion;710020;; ¬;;1100000
7;Transferencias de capital;Transferencias de capital;;71;De C.A.P.V.;Transferencias de capital de la Comunidad Autonoma Pais Vasco;Transferencias de capital de la Comunidad Autonoma Pais Vasco;71003;Medio ambiente, planificacion territorial, agricultura;C.A.P.V. Ordenacion del territorio y medio ambiente;C.A.P.V. Ordenacion del territorio y medio ambiente;710030;; ¬;;215000
7;Transferencias de capital;Transferencias de capital;;71;De C.A.P.V.;Transferencias de capital de la Comunidad Autonoma Pais Vasco;Transferencias de capital de la Comunidad Autonoma Pais Vasco;71004;Cultura;C.A.P.V. Cultura;C.A.P.V. Cultura;710040;; ¬;;107850
7;Transferencias de capital;Transferencias de capital;;71;De C.A.P.V.;Transferencias de capital de la Comunidad Autonoma Pais Vasco;Transferencias de capital de la Comunidad Autonoma Pais Vasco;71006; Industria, Comercio y Turismo;C.A.P.V. Industria, Comercio y Turismo;C.A.P.V. Industria, Comercio y Turismo;710060;; ¬;;1301500
