CIF;Empresa;Direccion;Codigo_postal;Telefono;Fax;Email
U95782066;AGINTZARI S.COOP. DE INCIATIVA SOCIAL E INSTITUTO DE REINTEGRACION SOCIAL DE BIZKAIA, UNION TEMPORAL DE EMPRESAS LEY 18/1982, abreviadamente “UTE IRSE-AGINTZARI LOTE VI”;AVDA. MADARIAGA 1-4ª pl.;48014;944757005;;angelsainz@agintzari.com
F48481923;AGINTZARI S.COOP. DE INICIATIVA SOCIAL;Ramón y Cajal, nº 48  -  BILBAO;48014;944757005;944757671;centro@agintzari.com
U95782074;AGINTZARI S.COOP. DE INICIATIVA SOCIAL, ASOCIACION DE DESARROLLO COMUNITARIO GAZTELEKU UNION TEMPORAL DE EMPRESAS LEY 18/1982 abreviadamente U.T.E. ZURGAI;TRAVESIA ALTUBE S/N;48002;944449596;;gazteleku@gazteleku.org
F48481923;AGINTZARI, SDAD. COOP. DE INICIATIVA SOCIAL; LEHENDAKARI AGUIRRE 11 2º, DPTO.1;48014;944757005;944757671;angelsainz@agintzari.com
 B48290860;AGORA ARQUITECTURA S;PLAR. DE MENDIETA 1  BARRIKA;48650;946762702;946762979;info@agoraarquitectura.es
B48848840;AGORANET 2000 S.L.;JON ARROSPIDE, 18 INTERIOR   BILBAO;48014;944276343;944277612;jgarcia@agoranet.es
A20032298;AGUAS DEL NORTE S.A.;AVDA. LEHENDAKARI AGIRRE, Nº 29, 6º     BILBAO;48014;944765310;944473043;izagirre@agbar.net
B95053708;AGUINAGA COMERCIAL SL;RETUERTO, 38  BARAKALDO;48903;944971700;944972026;vvil.aguinaga@mercedes-benz.es
B95173472;AH Y ASOCIADOS ARQUITECTOS, GRUPO NORTE, S.L.;ALDA. MAZARREDO, Nº 47-5º ;48009;944800005;944230688;ahnorte@ahasociados.com
14950360S;AITOR AIZPURU FUENTES;JOSÉ Mª OLABARRI 6, DPTO. 22.;48001;944245637;944245637;a2arquitectos@hotmail.com
A95265195;AKROPOST SERVICIOS POSTALES DEL PAIS VASCO, S.A.;HENAO, Nº 7 -. 6º DPTO. 3;48009;944119870;944121997;info@akropost.com
B48910525;ALAIKI ZERBITZU GIZAKULTURALAK S.L.;Igeltzera Empresa Parkea, D4 Pabilioa / Barrikako bidea, 2;48610;946767080;;
B80070113;ALAVA INGENIEROS TELECOM, SLU;ALBASANZ, 16-EDIFICIO ANTALIA;28037;915679700;915702661;mgamboa@alava-ing.es
A41916461;ALBATROS PROMOTORA EMPRESARIAL, S.A.;CRISTO DE LA SED, 35   SEVILLA;41005;944479857;944471708;logisticabilbao@grupoalbatros.com
B61715215;ALBERT ZIEGLER ESPAÑA, S.L. ;C/ CRISTO DE LA SED, Nº 35;41005;607867694;954570136;cregueiro@grupoalbatros.com
F95162459;ALBOKA S.COOP;BEREZOAGA S/N PAB. 1;48195;944558347;;soinueder@euskalnet.net
B95385852;ALDAKETA SOZIALA BERRIA S.L.;LUTXANA 4, 1 IZQ DPTO. 1;48008;944248294;;info@aldaketasoziala.com
A48171581;ALDANA, S.A.;Ctra. Bilbao-Galdakao, 18  1º izq  - Bilbao;;944118411;944113174;galdana@grupoaldana.com
A20451613;ALFA ARTE S.A.;TORREKUA 3;20600;;;alfaarte@alfalan.es
16033123F;ALFONSO GUTIÉRREZ RUIZ (HOTEL CANINO AIARTZA);AIARTZA BIDEA, 1     LOIU;48180;944542712;944542712;info@hotelcaninoaiartza.com
B95122636;ALMIKE PROMOCIÓN Y GESTIÓN INMOBILIARIA S.L.;IDORSOLO KALEA 13, EDIFICIO SAN ISIDRO I, DPTO.5 - Derio;48160;944476108;944757778;administracion@almike.net
B95122636;ALMIKE, PROMOCION Y GESTION INMOBILIARIA, S.L.;IDORSOLO KALEA, 13-DPTO. 5   DERIO;48160;944476108;944757778;administracion@almike.net
B48796502;ALONSO SAEZMIERA Y GONZALEZ AYO ARQUITECTOS ASOCIADOS, S.L.P.;ALAMEDA URQUIJO, 86-5º DCHA.    BILBAO;48013;944420066;944276268;a.alonso@euskalnet.net
B95738142;ALORZA.NET WORK IN PROGRESS, S.L.U.;GRUPO BUENAVISTA, 14;48014;647782376;;alberto@alorza.net
A48140667;ALTA SEGURIDAD, S.A.;FONTECHA Y SALAZAR 9, 4º     BILBAO;48007;944130518;944130513;bilbao@alse.biz
B48768287;AMABLE FERNANDEZ GUDIÑA, S.L.;C/ FORUA, 9;48450;619216493;944792848;construcciones.onsari@wanadoo.es
B48291421;AMARBE S.L.;C/ MALMASIN, 9, BAJO   BILBAO;48003;944790335;944790969;amarbe1@telefonica.net
B39363387;AMBAR TELECOMUNICACIONES S.L.;POL. KAREAGA GOIKOA MOD. 40, C/ JUNQUERAL Nº 9  BARAKALDO;48903;944702106;944702494;ambartel@ambar.es
B81913378;ANATÓMICOS MADRID ;CANILLAS 37-39   MADRID;28002;914112519;915646229;comercial@anatomicosmadrid.com
A20036018;ANGEL IGLESIAS, S.A.;PASEO MIRAMON, 170 SAN SEBASTIAN;20009;943448800;943448820;isc@ikusi.es
B11403664;ANSAMA REGALOS DE EMPRESA, S.L.;POL. IND. LAS SALINAS DE LEVANTE, AV. FELIX SANCHO, 21 - EL PUERTO DE SANTA MARÍA;11500;956547323;956547832;navidad@ansama.net
A48679096;ANSAREO SANEAMIENTOS Y SERVICIOS S.A.;Poligono Granada, pabellon M1   Ortuella;48530;946354714;946354828;asaser@asaser.com
A48679096;ANSAREO SANEAMIENTOS Y SERVICIOS S.A.;POL. GRANADA, M1  ORTUELLA;48530;946354714;946354828;asaser@asaser.com
B95422721;ANTIA ERAIKI S.L.;ITURRIONDO KALEA, 18, EDIF. F, 2º C    LEIOA;48940;944805725;944805726;antiaeraiki@antiaeraiki.com
A82850611;ANTICIMEX 3D SANIDAD AMBIENTAL, S.A.;BEURKO VIEJO 3, PAB. 34.;48902;944761476;944763166;ernesto.canon@es.issworld.com
A28109247;AON GIL Y CARVAJAL, S.A.;;;;;
A95635785;APARCAMIENTO PLAZA DEL ENSANCHE, SDAD. CONCESIONARIA DEL AYTO.BILBAO S.A.;ALDA. REKALDE 36, 8º;48011;944354106;;
B48448930;APARCAMIENTOS CASCO VIEJO, S.L.;RODRIGUEZ ARIAS 6, 6º PLANTA - DPTO 602;48008;;;
A78015880;API MOVILIDAD;AVDA. DE MANOTERAS, Nº26    MADRID;28050;915989060;915989068;msanchez@imesapi.es
A39074877;APIA XXI S.A.;LUIS MARTINEZ 21   SANTANDER;39005;942290260;942274613;bigarcia@apiaxxi.com
B01179886;APPEND, SILGO Y ASOCIADOS S.L. ;PARAGUAY, 23  BAJO;01012;945167000;945277900;iturbe@append.es
B15044357;APPLUS NORCONTROL SLU;Cª N-VI , KM 582.    SADA  (A CORUÑA);15168;944761190;944470071;arromero@appluscorp.com
B20063061;ARALDI, S.L.;PASEO DONOSTIA, Nº 90 –1º;20115;943335310;943332586;donosita@araldi.es
B95158994;ARCAIN INGENIERÍA Y ARQUITECTURA, S.L.;PASEO LANDABARRI Nº 1, DPTO. 306 EDIF. ARTAZA    LEIOA;48940;944523494;944521747;kepa@arcain-ing.com
A47402706;ARCAL GRUPO NORTE, S.A.;PASEO ARCO DE LADRILLO 64 PORTAL 2-2º;47008;983292899;983218516;isantiago@grupo-norte.es
A48119622;ARDESA, S.A.;CAMINO DE TALLERI, S/N   ZAMUDIO;48170;944520152;944521372;santiago@ardesa.es
B95466553;ARKIGEST ESTUDIOA S.L.;IPARRAGIRRE 34 1º IZQ.   BILBAO;48011;94431176;944215838;arkigest@arkigest.com
A48107221;ARLAN, S.A.;AVANZADA ERREPIDEA, Nº 7;48950;;;
A48291942;AROS ESTUDIO DE ARQUITECTURA S.A.;ESTARTETXE, 19, ENTREPLANTA  A    LEIOA;48940;944315069;944315168;aros@arosestudio.com
A48183248;ARQUITECTURA Y DISEÑO MOBIL-ARTE, S.A.;IBAÑEZ DE BILBAO, 8 - BILBAO;48001;944245044;944249679;mobil-arte@mobil-arte.com
B22183370;ARQUITEMPO SERVICIOS, C.I.F.;Cabezo Buenavista, 7;50007;;;
B95528501;ARTEAN ARTE S.L.;RODRIGUEZ ARIAS 23;48011;666571585;944703704;fcjoyeros@hotmail.com
F48111561;ARTES GRAFICAS CELORRIO S.COOP ;LARRONDO BEHEKO ETORB. EDIF. 1, PAB. 20;48180;944531165;;artesgraficascelorrio@infonegocio.com
F48048623;ARTES GRAFICAS ELKAR, S.COOP;LARRONDO BEHEKO ETORBIDEA, EDIF. 4   LOIU;48180;944536170;944535776;cortega@mccgraphics.com
B48147730;ASFALTADOS Y CONSTRUCCIONES MORGA S.L.;POL. LA FLECHA, NAVE 1,       LEMOA;48330;946313975;946312216;morgasl@terra.es
A48108484;ASFALTOS URIBE S.A.;PL. SAGRADO CORAZON, 4, PL, 1ª OFIC, 4   BILBAO;48011;944411701;944425810;asfaltosuribe@asfaltosuribe.com
B81747271;ASFLEX EUROFIRE, S.L.;TRAVESIA VILLA ESTHER, Nº 20 POL. IND. EL NOGAL;28110;917680310;916292810;panglada@asflexeurofire.com
B20402749;ASMATU S.L.;PARQUE EMPRESARIOA ZUATZU EDIFICIO ZURRIOLA 2ª, 7.  DONOSTIA-SAN SEBASTIAN;20018;943317300;943316350;asmatu@asmatu-injenieritza.com
G95508511;ASOCIACIÓN BIRA PARA LA GESTIÓN DEL CAMBIO;Carniceria Vieja, nº 20 - 1ª izda.   BILBAO;48005;600451717;;enriquegmc@gmail.com
G48260111;ASOCIACION BIZITEGI;LANGARAN 14-BAJO;48004;946087008;946087009;agazteluiturri@bizitegi.org
G48839856;ASOCIACION CEAR-EUSKADI;C/CRISTO, 9 BIS-5º  - BILBAO;48007;944248844;944245938;patricia.barcena@cear.es
G95551230;ASOCIACION CREATIVITY ZENTRUM BIZKAIA;San Francisco 40;48003;944792488;944795461;nbusturia@creativityzentrum.com
G48261309;ASOCIACIÓN D.C. GURE LURRA;CTRA. ZORROZA CASTREJANA, 3-4º A   (Bilbao);48013;619953802;;gurelurra@glurra.org
G48682678;ASOCIACION DE ASISTENCIA INTEGRAL LAGUNDUZ;Villa de Plencia, nº 2;48980;;;
G48259428;ASOCIACION DE DESARROLLO COMUNITARIO GAZTELEKU;TRAVESÍA DEALTUBE S/N;48002;627934828;944449596;gazteleki@gazteleku.org
G48726525;ASOCIACIÓN EDUCATIVA ALDAIKA;PLAZA LEVANTE, 2-1º IZDA.   (BILBAO);48015;944762983;;aldaika@euskalnet.net
G48545123;ASOCIACIÓN EDUCATIVA BITARTE;AVDA. JULIAN GAIARRE 33 - 8º B   BILBAO;48004;657728319;;bitarte.idoiallona@hotmail.com
G48557995;ASOCIACION HEBER;MARIA DIAZ DE HARO, Nº 45-4º IZ.Q   BILBAO;48010;605774957;;javiheber@gmail.com
G95091161;ASOCIACIÓN HEZITHAZIA;FERNANDO JIMENEZ, MIEMBREO DE LA DYA Nº 14.;48004;944730845;;hezithazia@emankorsarea.org
G48423362;ASOCIACIÓN KALE DOR KAYIKO;ONDARROA 18    BILBAO;48004;944598002;944598003;juanjolozano@kaledorkayiko.org
G95205449;ASOCIACION NEXOTEATRO ;C/IRALA 4, 3º C;48012;616263185;;nexoteatro@nexoteatro.com
G95059101;ASOCIACIÓN PROTECTORA DE ANIMALES LA ENCINILLA;;;;;
G95586657;ASOCIACIÓN SOCIOEDUCATIVA MUGALAN;JUAN CARLOS DE GORTAZAR 24-6º A  BILBAO;48003;620513018;;asociacionmugalan@gmail.com
G83467167;ASOCIACIÓN SYASBRO;BIZKAIA, º112bis-dpto.8    BARAKALDO;48901;944376770;944374797;qulityser@qualityser.es
G95059564;ASOCIACIÓN TENDEL;C/ LOZOÑO, 18-5º IZDA.   (Bilbao);48004;659208218;;alvaro@otxarkoaga.es
G95358412;ASOCIACIÓN UMEAK KALEAN;CARNICERIA VIEJA 2;48005;944795400;;uk@umeakkalean.org
G48715874;ASOCIACIÓN URGATZI;AREETAKO ETORBIDEA 2B 2º   LAS ARENAS - GETXO;48930;944804078;944648017;grupourgatzi@urgatzi.com
G48715874;ASOCIACIÓN URGATZI PARA LA PROMOCIÓN DEL BIENESTAR;AREETAKO ETORBIDEA 2B 2º LAS ARENAS-GETXO;48930;944804078;944648017;grupourgatzi@urgatzi.com
b20093068;ASTILLEROS AMILIBIA U, S.L;C/ ARRATOLA ALDEA, 14;20810;943830829;986390016;amilibia@amilibia.com
B48794929;ASUA B.G. 96, S.L. (GITMA);CTRA. SANGRONIZ, 2;48150;944710613;944536121;info@gitma.com
B95187290;ATTEST ITC, S.L.;HENAO, 18-1º     BILBAO;48009;944231490;944231768;iarrieta@attest.es
B48537617;AUDIOMIC PRODUCCIONES, S.L.;TXORIERRI 46, PABELLÓN 2 A;48150;629435657;944710551;audiomic@audiomic.com
A48035802;AURMAN S.A.;ALAMEDA MAZARREDO, 5 4º   BILBAO;48001;944238888;944242209;aurman@aurman.com
F95187183;AURRERANTZ, S.COOP. DE INICIATIVA SOCIAL Y UTILIDAD PÚBLICA;PADRE LOJENDIO, Nº 1 .1º   BILBAO;48008;944795170;944795175;kacedo@grupossi.es
A01018258;AUTOBUSES CUADRA, S.A.;ZANKUETA, S/N   AMURRIO;01470;945890804;945890804;info@cuadrabus.com
A95524823;AUTOBUSES URBANOS DE BILBAO S.A.U.;C/ Tellaetxe Bidea nº 3 ;48015;;;
B09007113;AUTOCARES DISCRECIONALES DEL NORTE S.L.;ALDA. URQUIJO 30 1º, OFICINA 5   BILBAO;48010;944484070;944484070;jamendez@alsa.es
B01126606;AUTOCARES ONIEVA, S.L.;VIRGEN DEL CARMEN, 27-1º G   LLODIO;01400;946726445;946720250;onieva@onieva.com
B01127935;AUTOCARES SOBRON, S.L.;KATUXA-IBARRA, 15     LAUDIO;01400;946720385;946726218;info@sobron.com
B95028148;AUTORRENT, S.L.;RGEZ. ARIAS, Nº 6-4º DPTO.402  - BILBAO;48008;944793055;944158438;cotizaciones@auto.rent.biz
A07/002967;AXA AURORA IBÉRICA, S.A.;C/ ERCILLA, 24;48011;;;
A48464606;AXA AURORA VIDA, S.A.;C/ ERCILLA 24;48011;;;
B20779468;AZTERTZEN SERVICIOS ASISTENCIALES, S.L. ;ALAMEDA GREGORIO DE LA REVILLA, 27-3º;48010;944212918;944105257;j.pombo@babesten.com
B31074040;AZYSA OBRAS Y PROYECTOS S.L.;C/ETXESAKAN Nº 28-1ª PLANTA EDIFICIO AZYSA    ZIZUR MAYOR (NAVARRA);31180;948198500;948198114;bgonzalez@azysa.net
B95266094;BABESTU PREINCO S.L.;POL. ASUARAN EDIF. ENEKURI, PL.2, DPTO. 15   ERANDIO;48950;944538683;944538684;bprevencion@telefonica.net
B40209751;BARCOS DE ALUMINIO, S.L.;POL. NICOMEDES GARCIA, C/ SAUCE, Nº 13;10140;;;info@moggaro.com
A60028776;BBVA FINANZIA AUTORENTING S.A.;JULIÁN CAMARILLO 4, EDIF. C. - MADRID;28037;913743506;902200434;molmedilla@grupobbva.com
B48779508;BELAKO LANAK S.L.;ARITZ BIDEA, 101 A    MUNGIA  (BIZKAIA);48100;946155964;946155177;belakolanak.belako@correonet.net
B08630105;BERGADANA SOLUTIONS, S.L.	;BONAVISTA S/N ;08680;938251939;938228409;gsanchez@bergadana.com
B01276989;BERNEDO OBRAS Y SERVICIOS, S.L.;C/ GENERAL ALAVA, 9-1º DCHA.    VITORIA-GASTEIZ;01005;945149362;945156940;tecnicos2@bservicios.e.telefonica.net
B95267670;BESTE ALDE, S.L.U.;ANBOTO, 24;48291;946203300;;gaursa.autoak@gmail.com
B95097135;BETEAN AUDITORÍA S.L.P.;Gran Vía 81- 3ª  puerta 6;48011;944666622;944666624;aalzola@betean.com
A08986127;BICICLETAS AMAT, S.A.;CTRA. DE CALDES, Nº 12;08754;936731962;;adm@amat-bici.com
B95100145;BIDEAN TA KALEAN S.L.;SASIKOA 26, 2º AB;48200;944669739;946032516;bitaka@bitaka.es
F48961668;BIDEGINTZA PARA LA PROMOCIÓN HUMANA Y EL DESARROLLO COMUNITARIO MERCANTIL S.COOP;ATXURI 45, BAJO TRASERA.;48006;944329123;;bidegintza@bidegintza.org
A48149686;BIHARKO, S.A.;AVDA. DE MADARIAGA, Nº 83 TRASERA;48014;944750435;944758432;
U95592903;BILBAO SAD L4, UNIÓN TEMPORAL DE EMPRESAS;GREGORIO DE LA REVILLA, Nº 27-3º BILBAO;48010;944212918;944105257;aztertzen@aztertzen.com
A48001648;BILBAO, COMPAÑÍA DE SEGUROS Y REASEGUROS C.I.F.;PASEO DEL PUERTO, Nº 20;48990;944898246;944898179;gurquijza@segurosbilbao.com
A48270227;BILBOMÁTICA, S.A.;Santiago de Compostela, 12  4º A  Bilbao;48003;944276308;944271547;garay@bilbomatica.es
B95456687;BILGAL DESARROLLOS EMPRESARIALES, S.L.;CENTRO DE EMPRESAS ZAMUDIO - AVDA. PINOA, 8 NAVE 17;48170;944522545;;alberto.bilbao@bilgal.es
B95628780;BIOMECÁNICA Y ERGONOMÍA S.L.;SAN VICENTE Nº 8, EDIFICIO ALBIA II, 4º G;48001;946426435;;info@customsport.es
A48064190;BIPLAX, INDUSTRIAS DEL MUEBLE S.A.;CAMINO IZARZA, 18;48150;944535710;944710512;biplax@biplax.com
G95585360;BITARTEKARI ELKARTEA;C/ MARZANA, 14-3º A   (BILBAO);48003;657728319;;bitartekari.idoia@gmail.com
A48836225;BIZALA EMPRESA DE SEGURIDAD, S.A.;LEHENDAKARI AGIRRE, 29 4ª PLANTA    BILBAO;48014;944761502;944756377;bizala@bizala.es
A48281554;BIZILAN, S.A.;AVDA. LEHENDAKARI AGUIRRE, 85-ENTREPL.   BILBAO;48015;944423741;944422908;bizilan@bizilan.net
B95286647;BIZKAN ANDAMIOS S.L.;Pol. Ind. Ugaldegure 1, Parc, 5 – III;48170;;;
B95383709;BMASI STRATEGY S.L;GRAN VIA 53 4º IZQ    BILBAO;48011;944052041;944052042;igoyeneche@bmasi.net
B48120810;BOMLOY S.L.;PL. UGARTE,  TRAPAGARAN;48510;944863806;944863943;joseba.bomloy@rediveco.com
A48049415;BORCHERS S.A.;NUEVO POL. INDUSTRIAL TXAPORTA PAB 22B   GERNIKA;48300;946252029;946252366;ramon@borchers.es
A95127825;BOSLAN, INGENIERÍA Y CONSULTORÍA S.A.;AUTONOMÍA 26,8º     BILBAO;48010;944700118;944700787;boslan@boslan.com
B95450771;BRM DESARROLLOS E INNOVACIONES DE LA CONSTRUCCIÓN S.L.;GENERAL CONCHA 32 BIS;48012;944431327;944431327;info@brmnet.es
A08349649;BRUEL Y KJAER IBERICA, S.A.;TEIDE - 5, ;28703;916590820;916590824;JOrdonez@bksv.com
A08349649;BRÜEL Y KJAER IBERICA, S.A.;TEIDE 5, BAJO  MADRID;28703;916590820;916590824;bruelkjaer@bksv.com
A20060034;BRUESA CONSTRUCCIÓN S.A.;GRAN VIA Nº 56, PLTA 10-11    BILBAO;48011;944413405;944273828;ftunon@bruesa.com
F48090005;BURDINOLA S.COOP. L.;CARRETERA LEKEITIO KM. 53,5;48289;946840766;946842005;burdunola@burdinola.com
 A48716377;BYCAM, SERVICIOS, EDIF. E INFRAESTR., S.A.;SANTIAGO DE COMPOSTELA, Nº 12-3º PL.  -  BILBAO;48003;944597290;944111603;sede@bycam.es
A48716377;BYCAM, SERVICIOS, EDIFICIOS E INFRAESTRUCTURAS, S.A.;C/ SANTIAGO COMPOSTELA Nº12 PLTA 3º OFICINA H-I   BILBAO;48003;944597290;944733304;sede@bycam.es
A48105472;BYCO S.A.;CTRA. BILBAO-PLENCIA, 31, 2º EDIF. INBISA   ERANDIO    (BIZKAIA);48950;944639158;944639382;delegacion.norte@byco.es
B95015764;BZ2 BILBAO S.L.;URIBITARTE 8-6º IZDA.   BILBAO;48001;946613180;944237009;administración@bz2bilbo.com
A08241614;CABLES Y ESLINGAS S.A.;RIBERA DE AXPE 46     ERANDIO  (BIZKAIA);48950;944800080;944800106;iugarte@cyesa.com
A58662081;CAIXARENTING, S.A.U.;GRAN VIA DE LAS CORTES CATALANAS, 130-136, 5ª   BARCELONA;08038;902193180;934091708;boc@caixarenting.es
A28013050;CAJA DE SEGUROS REUNIDOS, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A. - CASER;AVDA. DE BURGOS, Nº 109;28050;944216864;;bfernandez@caser.es
B95174710;CAMBIO DE IMAGEN S.L.;LUTXANA 4 6º IZQ;48008;944790880;944790883;proyeccion@proyeccion.tv
B95099388;CARPAS IBARRA;OLAKO BIDEA, 6   SONDIKA;48150;636212533;944531625;carpasibarra@euskalnet.net
A481055448;CARROCERÍAS OKA S.A.;IBARRA KALEA 12.;48300;946250258;946252050;oka@carroceriasoka.com
A48105548;CARROCERIAS OKA, S.A.;POL. IND. LA VEGA;48300;;;
B48249841;CARROCERIAS TARAMONA, S.L.;CTRA. ZORROZA A CASTREJANA, 75;48013;944424468;944273903;taramona@fordservicios.com
B48820690;CARWAGEN 4x4, S.L.;CTRA. BILBAO-ASUA S/N- ALTO ENEKURI     ERANDIO;48950;944745974;944478288;dguzman@carwagen.com
A78588118;CASTELLANA DE SEGURIDAD, S.A.;NICOLAS ALCORTA Nº 2, 3º - OF. 4    BILBAO;48003;944218058;944701884;norte1@casesa.es
A28519932;CECOBA SERVICIOS INTEGRALES, S.A.;;;;;
A29928646;CEMUSA-CORPORACIÓN EUROPEA DE MOBILIARIO URBANO SA;FRANCISCO SANCHA 24;28034;913583344;913583875;fjizquierdom@fcc.es
B33360736;CEOTRONICS, S.L;CIUDAD DE FRIAS 7 Y 9, NAVE 19   MADRID;28021;914608250;914603193;ventas@ceotronics.es
A48210553;CEPRENOR;Parque Empresarial Boro, parcela 2C - 2   AMOREBIETA;48340;944535044;944535374;d.comercial@ceprenor.com
A80349590;CEPSA CARD SA ;PASEO DE LA CASTELLANA 256-A;28046;913377191;;contratacionpublicamp@cepsa.com
A82604372;CERTUM S.A.;RODRIGUEZ ARIAS 71 BIS, ENTR. DPTO. 13   BILBAO;48013;944274791;944276829;bilbao@certum.es
A48060057;CESPA CONTEN, S.A.;Henao, 20;48009;944354500;944234651;angel.roman@cespa.es
B95254405;CIMAS INNOVACION Y MEDIO AMBIENTE, S.L.L.;SIMON BOLIVAR, 7-2º    BILBAO;48010;944765230;944752931;cimas@cimasconsultores.com
B48123582;CLAUDIO, S.L.;HEROS, 1     BILBAO;48009;944245161;944243731;heros@claudiocolor.com
B48123582;CLAUDIO, S.L.;HEROS, 1     BILBAO;48009;944245161;944243731;heros@claudiocolor.com
A80364243;CLECE, S.A.;RIBERA DE AXPE, Nº 11 PORTAL C-1    ERANDIO;48950;944810180;944810181;amediavilla@clece.es
A46146387;COBRA INSTALACIONES Y SERVICIOS S.A.;LARRONDO GOIKOA KALEA, 2 PAB. 3-4   LOIU   (BIZKAIA);48180;944532629;944532623;elec_pvn@grupocobra.com
A50096692;CODESPORT S.A.;EDIF. INBISA, CARTRA. BILBAO-PLENCIA, 31     ERANDIO;48950;902300481;902300482;bilbao@codesport.com
B82176983;COMERCIAL AIBAK TRS, S.L.;PASEO TXALAKA 7    ASTIGARRAGA;20115;943335368;943335967;joaquin@aibak.com
72385557A;COMERCIAL ARESTI (JOSÉ IGNACIO ZABALA BERMEJO);AVDA. FERROCARRIL 9-10-11.   BILBAO;48012;944436602;944437344;aresti@comercialaresti.com
B48964910;COMERCIAL DE INTERIORISMO S.L.;ALDA. SAN MAMÉS 43 BIS, 5º.;48010;944100115;944441247;jzabala@correoci.com
A95083655;COMERCIO ELECTRÓNICO B2B 2000, S.A.;Parque tecnológico  edif. 804, ofic. 201 - Zamudio;;944544746;944544429;info@b2b2000.com
B36569069;COMPLEMENTOS POLICIAIS, S.L. - COMPOL;AVDA. SANTIAGO, 8 BAJO;36680;986572978;986572685;compol@compol.es
A08031098;COMSA S.A.;C/ JOSE MARIA OLABARRI, 2, PL.ANTA C, DPTO. 7    BILBAO;48001;944234584;944244342;jydalga@comsa.com
B48178537;COMUNICACIÓN Y MARKETING DEIMOS, S.L.;IBAÑEZ DE BILBAO, Nº 3 8º    BILBAO;48001;944232526;944232524;deimos@telefonica.net
A50846526;CONAVINSA S.A.;MELAMPO 2, 1º  -  SANTA CRUZ DE BEZANA ;39100;942581171;942582444;rmontaraz@conavinsa.es
B48781256;CONMUNICA MEDIATRADER S.L.U.;PARQUE TECNOLOGICO 105 1º PLANTA   ZAMUDIO;48170;944317033;944317045;juradm@conmunica.com
B95440947;CONSEJEROS DEL NORTE, S.L.;RIBERA 1, 3º    BILBAO;48005;944158642;944150044;bilbao@consejerosdelnorte.com
A58142639;CONSTRAULA S.A.;RAMÓN TURRÓ 148.;08005;932250506;932254858;oficina@constraula.com
B48519425;CONSTRUCCIONES AMURIZA, S.L.;Bº Mendieta, 26c    Lemoa;48330;946313009;946313204;Icorrales@construccionesamuriza.com
A48777130;CONSTRUCCIONES ARTELU Y HARGIN DE P.L. S.A.L.;C/ LEPANTO, Nº 3, BAJO   PORTUGALETE;48920;944838836;944838836;artelu@euskalnet.net
A48045843;CONSTRUCCIONES CASTELLANO S.A.;PLAZA AMEZOLA Nº 2, Entrpl. Izda      BILBAO;48012;944218231;944210215;j.i.gonzalez@construccionescastellano.es
A48045843;CONSTRUCCIONES CASTELLANO, S.A.;PLAZA AMEZOLA Nº 2 ENTREPLANTA IZDA.   BILBAO;48012;944218231;944210215;construccionescastellano@construccionescastellano.es
A48224257;CONSTRUCCIONES EDER S.A.;ARITZ BIDEA, 101      MUNGIA   (BIZKAIA);48100;944575480;944575137;c.eder@eder-sa.es
B48284921;CONSTRUCCIONES EGINETXE S.L.;C/HENAO 7 - 6º DPTO. 8     BILBAO;48009;944235886;944239079;eginetxe@eginetxe.com
B48277768;CONSTRUCCIONES EKIN S.L.;C/ BEKOKALE, 12, BAJO    AREATZA   (BIZKAIA);48143;946317257;946739525;c.ekin@telefonica.net
