Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
130/9202A/12000;Salaris del Grup A1;29.354,64;0,00;29.354,64;30.196,56;30.196,56;0,00;-841,92
130/9202A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.203,08;10.203,08;0,00;-318,24
130/9202A/12004;Salaris del Grup C2;25.135,74;0,00;25.135,74;25.478,66;25.478,66;0,00;-342,92
130/9202A/12006;Triennis;16.168,02;0,00;16.168,02;15.099,11;15.099,11;0,00;1.068,91
130/9202A/12100;Complement de destí;37.970,04;0,00;37.970,04;37.740,83;37.740,83;0,00;229,21
130/9202A/12101;Complement  específic;87.816,72;0,00;87.816,72;87.414,27;87.414,27;0,00;402,45
130/9202A/12103;Altres complements;44.989,86;0,00;44.989,86;47.213,56;47.213,56;0,00;-2.223,70
130/9202A/15000;Productivitat;6.507,64;0,00;6.507,64;10.398,28;10.398,28;0,00;-3.890,64
130/9202A/16000;Seguretat social;53.804,68;0,00;53.804,68;57.006,09;57.006,09;0,00;-3.201,41
130/9202A/22001;Premsa, revistes, llibres i altres publicacions;22,00;0,00;22,00;0,00;0,00;0,00;22,00
130/9202A/22201;Comunicacions postals;1.200,00;0,00;1.200,00;1.020,00;733,49;286,51;180,00
210/9221A/11000;Retribucions bàsiques;37.261,14;0,00;37.261,14;0,00;0,00;0,00;37.261,14
210/9221A/11001;Retribucions complementàries;76.586,58;0,00;76.586,58;0,00;0,00;0,00;76.586,58
210/9221A/12003;Salaris del Grup C1;19.769,68;0,00;19.769,68;0,00;0,00;0,00;19.769,68
210/9221A/15300;Complement de dedicació especial;608,76;0,00;608,76;0,00;0,00;0,00;608,76
210/9221A/22001;Premsa, revistes, llibres i altres publicacions;3.652,00;-1.044,68;2.607,32;3.984,42;3.482,42;502,00;-1.377,10
210/9221A/22601;Atencions protocol·làries i representatives;1.400,00;0,00;1.400,00;133,10;133,10;0,00;1.266,90
210/9221A/2260200;Difusió d´activitats;2.300,00;0,00;2.300,00;0,00;0,00;0,00;2.300,00
210/9221A/2260202;Publicacions;14.000,00;-10.253,35;3.746,65;1.746,65;1.746,65;0,00;2.000,00
210/9221A/23020;Dietes personal no directiu;1.676,00;0,00;1.676,00;182,70;182,70;0,00;1.493,30
210/9221B/22201;Comunicacions postals;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221B/22601;Atencions protocol·làries i representatives;12.000,00;-7.729,77;4.270,23;2.270,23;2.270,23;0,00;2.000,00
210/9221B/2260200;Difusió d´activitats;1.000,00;0,00;1.000,00;0,00;0,00;0,00;1.000,00
210/9222A/22201;Comunicacions postals;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9222A/22601;Atencions protocol·làries i representatives;1.700,00;0,00;1.700,00;1.596,05;1.596,05;0,00;103,95
210/9222A/2260200;Difusió d´activitats;1.000,00;0,00;1.000,00;0,00;0,00;0,00;1.000,00
210/9222A/22606;Reunions, conferències i cursos;500,00;0,00;500,00;0,00;0,00;0,00;500,00
210/9222A/22699;Altres despeses diverses;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9222A/22706;Estudis i treballs tècnics;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9222A/22799;Altres treballs realitzats per altres empreses i prof.;12.422,20;11.016,57;23.438,77;955,90;955,90;0,00;22.482,87
210/9222A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9223A/22001;Premsa, revistes, llibres i altres publicacions;269,00;0,00;269,00;266,75;266,75;0,00;2,25
210/9223A/22201;Comunicacions postals;100,00;0,00;100,00;85,00;4,96;80,04;15,00
210/9223A/48300;Subvencions i aportacions institucionals;1.300,00;0,00;1.300,00;1.263,00;0,00;1.263,00;37,00
210/9270A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;15.098,28;15.098,28;0,00;-420,96
210/9270A/12004;Salaris del Grup C2;25.035,87;0,00;25.035,87;15.299,98;15.299,98;0,00;9.735,89
210/9270A/12006;Triennis;12.314,62;0,00;12.314,62;4.664,94;4.664,94;0,00;7.649,68
210/9270A/12100;Complement de destí;30.223,84;0,00;30.223,84;16.240,09;16.240,09;0,00;13.983,75
210/9270A/12101;Complement  específic;68.352,17;0,00;68.352,17;43.236,53;43.236,53;0,00;25.115,64
210/9270A/12103;Altres complements;40.744,92;0,00;40.744,92;22.685,55;22.685,55;0,00;18.059,37
210/9270A/15000;Productivitat;439,81;0,00;439,81;2.423,15;2.423,15;0,00;-1.983,34
210/9270A/16000;Seguretat social;83.946,88;0,00;83.946,88;27.088,69;27.088,69;0,00;56.858,19
210/9270A/22000;Material d’oficina no inventariable;1.500,00;-500,00;1.000,00;0,00;0,00;0,00;1.000,00
210/9270A/22001;Premsa, revistes, llibres i altres publicacions;0,00;1.044,68;1.044,68;0,00;0,00;0,00;1.044,68
210/9270A/22199;Altres subministraments;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9270A/22602;Publicitat i propaganda;5.600,00;0,00;5.600,00;0,00;0,00;0,00;5.600,00
210/9270A/2260202;Publicacions;0,00;10.253,35;10.253,35;10.610,28;5.617,13;4.993,15;-356,93
210/9270A/22699;Altres despeses diverses;2.010,00;0,00;2.010,00;0,00;0,00;0,00;2.010,00
210/9270A/22706;Estudis i treballs tècnics;500,00;0,00;500,00;0,00;0,00;0,00;500,00
210/9270A/22799;Altres treballs realitzats per altres empreses i prof.;20,00;0,00;20,00;0,00;0,00;0,00;20,00
210/9270A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9270A/48200;Transf. corrents institucions sense ànim de lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300A/12000;Salaris del Grup A1;29.354,64;0,00;29.354,64;29.821,06;29.821,06;0,00;-466,42
253/3300A/12001;Salaris del Grup A2;25.813,04;0,00;25.813,04;26.522,84;26.522,84;0,00;-709,80
253/3300A/12003;Salaris del Grup C1;27.024,77;0,00;27.024,77;20.542,54;20.542,54;0,00;6.482,23
253/3300A/12004;Salaris del Grup C2;41.440,59;0,00;41.440,59;38.561,85;38.561,85;0,00;2.878,74
253/3300A/12006;Triennis;26.964,55;0,00;26.964,55;21.325,98;21.325,98;0,00;5.638,57
253/3300A/12100;Complement de destí;58.571,71;0,00;58.571,71;54.691,78;54.691,78;0,00;3.879,93
253/3300A/12101;Complement  específic;110.405,48;0,00;110.405,48;107.153,85;107.153,85;0,00;3.251,63
253/3300A/12103;Altres complements;52.487,78;-17.000,00;35.487,78;47.640,07;47.640,07;0,00;-12.152,29
253/3300A/13000;Retribucions bàsiques;33.786,98;0,00;33.786,98;33.663,38;33.663,38;0,00;123,60
253/3300A/15000;Productivitat;0,00;10,00;10,00;9.256,34;9.256,34;0,00;-9.246,34
253/3300A/16000;Seguretat social;111.364,25;-3.500,00;107.864,25;106.304,03;106.304,03;0,00;1.560,22
253/3300A/20600;Lloguer d'equips per a processos d'informació;37.000,00;-37.000,00;0,00;0,00;0,00;0,00;0,00
253/3300A/21900;Altre immobilitzat material;275,00;0,00;275,00;0,00;0,00;0,00;275,00
253/3300A/22104;Vestuari;1.500,00;0,00;1.500,00;1.022,45;1.022,45;0,00;477,55
253/3300A/22199;Altres subministraments;15.270,00;15,79;15.285,79;13.254,81;9.340,64;3.914,17;2.030,98
253/3300A/22201;Comunicacions postals;500,00;0,00;500,00;500,00;36,61;463,39;0,00
253/3300A/22601;Atencions protocol·làries i representatives;2.400,00;0,00;2.400,00;4.340,96;4.146,07;194,89;-1.940,96
253/3300A/22602;Publicitat i propaganda;18.700,00;0,00;18.700,00;6.908,03;2.650,44;4.257,59;11.791,97
253/3300A/2260200;Difusió d´activitats;60.000,00;0,00;60.000,00;49.152,22;34.430,45;14.721,77;10.847,78
253/3300A/22609;Activitats culturals i esportives;7.875,00;0,00;7.875,00;5.166,92;3.700,40;1.466,52;2.708,08
253/3300A/22620;El Sud Suma + Nou Pla de Barris;0,00;0,00;0,00;0,00;0,00;0,00;0,00
253/3300A/22699;Altres despeses diverses;2.490,00;2.350,00;4.840,00;1.324,41;1.298,37;26,04;3.515,59
253/3300A/2270001;Contractes de neteja;13.015,85;0,00;13.015,85;33.342,32;27.704,91;5.637,41;-20.326,47
253/3300A/22706;Estudis i treballs tècnics;9.000,00;0,00;9.000,00;0,00;0,00;0,00;9.000,00
253/3300A/23020;Dietes personal no directiu;800,00;0,00;800,00;1.032,72;478,50;554,22;-232,72
253/3300A/45000;A l'Administració General de les Comunitats Autònomes;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300A/46100;A Diputacions, Consells o Cabildos Insulars;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300A/62300;Inv. nova en maquinària, instal·lacions i utillatge;0,00;80.000,00;80.000,00;19.428,39;65,00;19.363,39;60.571,61
253/3300A/62500;Mobiliari;0,00;5.600,00;5.600,00;10.654,58;0,00;10.654,58;-5.054,58
253/3300A/62901;Altres inv. noves assoc. al funcionament op. dels serveis;0,00;40.000,00;40.000,00;39.750,89;0,00;39.750,89;249,11
253/3300A/63200;Inv. rep. en edificis i altres construccions;0,00;161.800,00;161.800,00;129.169,29;0,00;129.169,29;32.630,71
253/3300C/2270001;Contractes de neteja;56.731,56;0,00;56.731,56;35.979,21;34.314,27;1.664,94;20.752,35
253/3300C/41000;A Organismes Autònoms de l'Entitat Local;1.115.285,00;20.500,00;1.135.785,00;1.115.285,00;990.582,94;124.702,06;20.500,00
253/3300D/12005;Salaris del Grup E;0,00;10,00;10,00;2.256,41;2.256,41;0,00;-2.246,41
253/3300D/12100;Complement de destí;0,00;10,00;10,00;977,59;977,59;0,00;-967,59
253/3300D/12101;Complement  específic;0,00;10,00;10,00;2.389,56;2.389,56;0,00;-2.379,56
253/3300D/12103;Altres complements;0,00;10,00;10,00;830,36;830,36;0,00;-820,36
253/3300D/15000;Productivitat;0,00;10,00;10,00;4,99;4,99;0,00;5,01
253/3300D/16000;Seguretat social;0,00;10,00;10,00;2.411,01;2.411,01;0,00;-2.401,01
253/3300D/2270001;Contractes de neteja;0,00;10,00;10,00;16.775,63;11.214,22;5.561,41;-16.765,63
253/3300D/46700;A Consorcis;157.000,00;0,00;157.000,00;159.190,00;0,00;159.190,00;-2.190,00
253/3320B/12001;Salaris del Grup A2;12.906,52;0,00;12.906,52;13.120,32;13.120,32;0,00;-213,80
253/3320B/12003;Salaris del Grup C1;320.844,23;10.183,86;331.028,09;328.283,67;328.283,67;0,00;2.744,42
253/3320B/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;8.449,50;8.449,50;0,00;-70,92
253/3320B/12005;Salaris del Grup E;46.071,48;13.724,37;59.795,85;44.530,97;44.530,97;0,00;15.264,88
253/3320B/12006;Triennis;45.406,08;93,85;45.499,93;38.251,92;38.251,92;0,00;7.248,01
253/3320B/12100;Complement de destí;160.768,36;9.777,19;170.545,55;158.315,46;158.315,46;0,00;12.230,09
253/3320B/12101;Complement  específic;294.537,40;18.935,06;313.472,46;291.514,48;291.514,48;0,00;21.957,98
253/3320B/12103;Altres complements;179.533,88;10.917,59;190.451,47;223.600,01;223.600,01;0,00;-33.148,54
253/3320B/15000;Productivitat;920,01;43.762,76;44.682,77;34.397,70;34.397,70;0,00;10.285,07
253/3320B/16000;Seguretat social;303.474,22;20.516,60;323.990,82;299.651,54;299.651,54;0,00;24.339,28
253/3320B/21300;Manteniment de maquinària, instal·lacions i utillatge;2.100,00;0,00;2.100,00;7.143,79;7.143,79;0,00;-5.043,79
253/3320B/21900;Altre immobilitzat material;3.400,00;0,00;3.400,00;359,99;359,99;0,00;3.040,01
253/3320B/22000;Material d’oficina no inventariable;1.940,00;0,00;1.940,00;0,00;0,00;0,00;1.940,00
253/3320B/22001;Premsa, revistes, llibres i altres publicacions;3.289,00;0,00;3.289,00;1.867,25;1.867,25;0,00;1.421,75
253/3320B/22101;Aigua;288,55;0,00;288,55;172,36;172,36;0,00;116,19
253/3320B/22199;Altres subministraments;12.760,00;0,00;12.760,00;3.322,17;2.417,56;904,61;9.437,83
253/3320B/22606;Reunions, conferències i cursos;8.340,00;0,00;8.340,00;9.217,85;7.759,85;1.458,00;-877,85
253/3320B/22699;Altres despeses diverses;1.550,00;0,00;1.550,00;3.294,90;3.081,13;213,77;-1.744,90
253/3320B/2270001;Contractes de neteja;250.088,14;0,00;250.088,14;161.789,71;161.483,14;306,57;88.298,43
253/3320B/22799;Altres treballs realitzats per altres empreses i prof.;47.885,00;4.000,00;51.885,00;60.608,36;46.189,43;14.418,93;-8.723,36
253/3320B/26000;Treballs realitzats Entitats sense ànim lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3320B/48100;Premis, beques i pensions d’estudi i investigació;440,00;0,00;440,00;450,01;0,00;450,01;-10,01
253/3320B/48200;Transf. corrents institucions sense ànim de lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3340A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;15.045,66;15.045,66;0,00;-368,34
253/3340A/12001;Salaris del Grup A2;25.813,04;0,00;25.813,04;24.782,39;24.782,39;0,00;1.030,65
253/3340A/12003;Salaris del Grup C1;98.032,20;0,00;98.032,20;102.154,04;102.154,04;0,00;-4.121,84
253/3340A/12004;Salaris del Grup C2;23.460,02;0,00;23.460,02;25.277,58;25.277,58;0,00;-1.817,56
253/3340A/12005;Salaris del Grup E;46.071,48;5.456,79;51.528,27;44.483,91;44.483,91;0,00;7.044,36
253/3340A/12006;Triennis;33.757,38;239,77;33.997,15;30.783,84;30.783,84;0,00;3.213,31
253/3340A/12100;Complement de destí;92.111,58;2.114,82;94.226,40;91.058,24;91.058,24;0,00;3.168,16
253/3340A/12101;Complement  específic;174.515,02;5.169,48;179.684,50;170.380,52;170.380,52;0,00;9.303,98
253/3340A/12103;Altres complements;141.626,45;4.666,50;146.292,95;147.153,88;147.153,88;0,00;-860,93
253/3340A/13000;Retribucions bàsiques;1.995,27;0,00;1.995,27;0,00;0,00;0,00;1.995,27
253/3340A/13100;Laboral temporal;55.830,90;0,00;55.830,90;61.713,16;61.713,16;0,00;-5.882,26
253/3340A/15000;Productivitat;2.210,78;20.046,85;22.257,63;21.121,07;21.121,07;0,00;1.136,56
253/3340A/16000;Seguretat social;190.949,95;4.679,56;195.629,51;200.571,06;200.571,06;0,00;-4.941,55
253/3340A/20500;Lloguer de mobiliari i estris;20,00;0,00;20,00;0,00;0,00;0,00;20,00
253/3340A/20800;Arrendaments d'altre immobilitzat material;12.400,00;0,00;12.400,00;3.437,02;2.856,22;580,80;8.962,98
253/3340A/21300;Manteniment de maquinària, instal·lacions i utillatge;7.095,00;0,00;7.095,00;9.527,04;2.559,76;6.967,28;-2.432,04
253/3340A/21600;Equips per a processos d'informació;1.850,00;0,00;1.850,00;930,36;363,00;567,36;919,64
253/3340A/21900;Altre immobilitzat material;14.910,00;0,00;14.910,00;12.244,16;8.204,93;4.039,23;2.665,84
253/3340A/22100;Energia elèctrica;405.276,36;192.218,00;597.494,36;507.747,49;445.250,63;62.496,86;89.746,87
253/3340A/22101;Aigua;5.296,77;0,00;5.296,77;5.467,25;5.467,25;0,00;-170,48
253/3340A/22102;Gas;43.353,01;8.266,49;51.619,50;45.964,07;45.964,07;0,00;5.655,43
253/3340A/22199;Altres subministraments;9.110,00;0,00;9.110,00;1.575,02;1.153,72;421,30;7.534,98
253/3340A/22400;Primes d’assegurances;900,00;0,00;900,00;200,01;200,01;0,00;699,99
253/3340A/22602;Publicitat i propaganda;2.010,00;0,00;2.010,00;1.431,49;625,81;805,68;578,51
253/3340A/22609;Activitats culturals i esportives;13.125,00;0,00;13.125,00;6.622,21;935,21;5.687,00;6.502,79
253/3340A/22699;Altres despeses diverses;152.105,00;53.298,44;205.403,44;201.902,45;163.501,97;38.400,48;3.500,99
253/3340A/2270001;Contractes de neteja;175.863,06;0,00;175.863,06;81.172,53;78.064,47;3.108,06;94.690,53
253/3340A/22799;Altres treballs realitzats per altres empreses i prof.;507.993,00;79.740,17;587.733,17;433.736,11;314.540,84;119.195,27;153.997,06
253/3340A/47900;Transferències corrents a empreses privades;0,00;3.475,00;3.475,00;0,00;0,00;0,00;3.475,00
253/3340A/48100;Premis, beques i pensions d’estudi i investigació;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3340A/48200;Transf. corrents institucions sense ànim de lucre;96.865,00;3.725,00;100.590,00;101.142,00;53.952,50;47.189,50;-552,00
253/3360A/22100;Energia elèctrica;33.723,35;0,00;33.723,35;24.820,58;24.820,58;0,00;8.902,77
253/3360A/22101;Aigua;2.516,21;0,00;2.516,21;3.378,23;3.378,23;0,00;-862,02
253/3360A/22102;Gas;15.639,75;587,29;16.227,04;12.994,88;12.994,88;0,00;3.232,16
253/3360A/22699;Altres despeses diverses;40,00;0,00;40,00;0,00;0,00;0,00;40,00
253/3360A/2270001;Contractes de neteja;32.084,65;0,00;32.084,65;10.623,73;10.623,73;0,00;21.460,92
253/3360A/22799;Altres treballs realitzats per altres empreses i prof.;40,00;0,00;40,00;0,00;0,00;0,00;40,00
253/3360A/48100;Premis, beques i pensions d’estudi i investigació;40,00;0,00;40,00;0,00;0,00;0,00;40,00
253/3360A/48200;Transf. corrents institucions sense ànim de lucre;40,00;0,00;40,00;0,00;0,00;0,00;40,00
253/3360A/78000;A famílies i institucions sense ànim de lucre;0,00;60.000,00;60.000,00;0,00;0,00;0,00;60.000,00
253/3380A/12003;Salaris del Grup C1;29.654,52;0,00;29.654,52;29.062,99;29.062,99;0,00;591,53
253/3380A/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;9.309,47;9.309,47;0,00;-930,89
253/3380A/12006;Triennis;5.875,68;0,00;5.875,68;5.229,81;5.229,81;0,00;645,87
253/3380A/12100;Complement de destí;18.411,60;0,00;18.411,60;17.658,56;17.658,56;0,00;753,04
253/3380A/12101;Complement  específic;31.327,56;0,00;31.327,56;30.239,50;30.239,50;0,00;1.088,06
253/3380A/12103;Altres complements;21.496,51;0,00;21.496,51;29.956,52;29.956,52;0,00;-8.460,01
253/3380A/13000;Retribucions bàsiques;45.694,87;0,00;45.694,87;45.559,35;45.559,35;0,00;135,52
253/3380A/15000;Productivitat;55,68;0,00;55,68;4.037,51;4.037,51;0,00;-3.981,83
253/3380A/16000;Seguretat social;46.421,19;0,00;46.421,19;36.532,71;36.532,71;0,00;9.888,48
253/3380A/20800;Arrendaments d'altre immobilitzat material;15.000,00;0,00;15.000,00;23.109,42;22.411,25;698,17;-8.109,42
253/3380A/22199;Altres subministraments;7.800,00;422,00;8.222,00;8.222,00;7.326,62;895,38;0,00
253/3380A/22400;Primes d’assegurances;1.500,00;0,00;1.500,00;386,30;386,30;0,00;1.113,70
253/3380A/22602;Publicitat i propaganda;8.662,50;0,00;8.662,50;8.659,20;3.760,90;4.898,30;3,30
253/3380A/22609;Activitats culturals;43.020,00;57.000,00;100.020,00;131.799,44;125.268,14;6.531,30;-31.779,44
253/3380A/22699;Altres despeses diverses;6.110,00;0,00;6.110,00;9.164,26;8.876,58;287,68;-3.054,26
253/3380A/22799;Altres treballs realitzats per altres empreses i prof.;211.920,00;0,00;211.920,00;160.856,15;149.444,00;11.412,15;51.063,85
253/3380A/48100;Premis, beques i pensions d’estudi i investigació;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3380A/48200;Transf. corrents institucions sense ànim de lucre;107.910,00;7.475,00;115.385,00;109.583,22;96.412,31;13.170,91;5.801,78
253/3380B/12003;Salaris del Grup C1;29.654,52;0,00;29.654,52;30.720,35;30.720,35;0,00;-1.065,83
253/3380B/12006;Triennis;8.209,65;0,00;8.209,65;7.591,31;7.591,31;0,00;618,34
253/3380B/12100;Complement de destí;15.021,00;0,00;15.021,00;14.993,18;14.993,18;0,00;27,82
253/3380B/12101;Complement  específic;24.428,40;0,00;24.428,40;24.385,59;24.385,59;0,00;42,81
253/3380B/12103;Altres complements;16.268,83;0,00;16.268,83;16.217,86;16.217,86;0,00;50,97
253/3380B/15000;Productivitat;34,28;0,00;34,28;2.416,38;2.416,38;0,00;-2.382,10
253/3380B/16000;Seguretat social;30.113,23;0,00;30.113,23;31.329,48;31.329,48;0,00;-1.216,25
253/3380B/20800;Arrendaments d'altre immobilitzat material;100,00;0,00;100,00;261,72;261,72;0,00;-161,72
253/3380B/22199;Altres subministraments;1.000,00;0,00;1.000,00;454,72;186,70;268,02;545,28
253/3380B/22400;Primes d’assegurances;600,00;0,00;600,00;0,00;0,00;0,00;600,00
253/3380B/22606;Reunions, conferències i cursos;1.000,00;0,00;1.000,00;3.204,40;2.155,00;1.049,40;-2.204,40
253/3380B/22699;Altres despeses diverses;900,00;0,00;900,00;0,00;0,00;0,00;900,00
253/3380B/22799;Altres treballs realitzats per altres empreses i prof.;10.900,00;0,00;10.900,00;10.093,57;7.253,76;2.839,81;806,43
253/3380B/48100;Premis, beques i pensions d’estudi i investigació;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3380B/48200;Transf. corrents institucions sense ànim de lucre;5.860,00;0,00;5.860,00;0,00;0,00;0,00;5.860,00
253/3380C/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.248,54;10.248,54;0,00;-363,70
253/3380C/12005;Salaris del Grup E;23.035,74;0,00;23.035,74;31.442,66;31.442,66;0,00;-8.406,92
253/3380C/12006;Triennis;3.647,45;0,00;3.647,45;3.818,88;3.818,88;0,00;-171,43
253/3380C/12100;Complement de destí;14.100,12;0,00;14.100,12;17.173,74;17.173,74;0,00;-3.073,62
253/3380C/12101;Complement  específic;29.928,48;0,00;29.928,48;37.441,64;37.441,64;0,00;-7.513,16
253/3380C/12103;Altres complements;20.432,83;0,00;20.432,83;26.490,03;26.490,03;0,00;-6.057,20
253/3380C/15000;Productivitat;145,27;0,00;145,27;4.111,90;4.111,90;0,00;-3.966,63
253/3380C/16000;Seguretat social;27.896,27;0,00;27.896,27;35.884,85;35.884,85;0,00;-7.988,58
253/3380C/20800;Arrendaments d'altre immobilitzat material;20,00;0,00;20,00;0,00;0,00;0,00;20,00
253/3380C/21300;Manteniment de maquinària, instal·lacions i utillatge;1.900,00;0,00;1.900,00;1.483,54;1.044,49;439,05;416,46
253/3380C/21900;Altre immobilitzat material;500,00;0,00;500,00;0,00;0,00;0,00;500,00
253/3380C/22101;Aigua;1.031,73;0,00;1.031,73;0,00;0,00;0,00;1.031,73
253/3380C/22102;Gas;5.092,90;0,00;5.092,90;51,61;51,61;0,00;5.041,29
253/3380C/22199;Altres subministraments;600,00;3.764,45;4.364,45;3.177,96;953,32;2.224,64;1.186,49
253/3380C/22400;Primes d’assegurances;10,00;0,00;10,00;317,87;317,87;0,00;-307,87
253/3380C/22606;Reunions, conferències i cursos;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3380C/22699;Altres despeses diverses;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3380C/2270001;Contractes de neteja;31.495,14;0,00;31.495,14;22.238,59;22.238,59;0,00;9.256,55
253/3380C/22799;Altres treballs realitzats per altres empreses i prof.;2.730,00;0,00;2.730,00;4.064,88;2.825,84;1.239,04;-1.334,88
253/3380C/48100;Premis, beques i pensions d’estudi i investigació;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3380C/48200;Transf. corrents institucions sense ànim de lucre;10,00;760,00;770,00;4.800,00;1.800,00;3.000,00;-4.030,00
254/3200A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;14.760,57;14.760,57;0,00;-83,25
254/3200A/12001;Salaris del Grup A2;50.507,27;-14.000,00;36.507,27;26.522,84;26.522,84;0,00;9.984,43
254/3200A/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;10.294,00;10.294,00;0,00;-409,16
254/3200A/12004;Salaris del Grup C2;16.757,16;0,00;16.757,16;15.386,95;15.386,95;0,00;1.370,21
254/3200A/12006;Triennis;20.016,00;0,00;20.016,00;14.637,37;14.637,37;0,00;5.378,63
254/3200A/12100;Complement de destí;44.298,49;0,00;44.298,49;32.051,27;32.051,27;0,00;12.247,22
254/3200A/12101;Complement  específic;89.436,32;0,00;89.436,32;64.086,38;64.086,38;0,00;25.349,94
254/3200A/12103;Altres complements;43.204,71;0,00;43.204,71;36.621,98;36.621,98;0,00;6.582,73
254/3200A/15000;Productivitat;3.604,76;5.760,00;9.364,76;10.053,60;10.053,60;0,00;-688,84
254/3200A/16000;Seguretat social;76.487,76;0,00;76.487,76;60.139,40;60.139,40;0,00;16.348,36
254/3200A/21900;Altre immobilitzat material;100,00;0,00;100,00;0,00;0,00;0,00;100,00
254/3200A/22001;Premsa, revistes, llibres i altres publicacions;13.213,00;1.500,00;14.713,00;9.744,81;9.640,81;104,00;4.968,19
254/3200A/22199;Altres subministraments;100,00;0,00;100,00;71,64;0,00;71,64;28,36
254/3200A/22201;Comunicacions postals;2.000,00;0,00;2.000,00;2.250,00;1.085,97;1.164,03;-250,00
254/3200A/22601;Atencions protocol·làries i representatives;1.900,00;0,00;1.900,00;1.938,97;1.938,97;0,00;-38,97
254/3200A/2260200;Difusió d´activitats;5.200,00;0,00;5.200,00;3.817,90;3.817,90;0,00;1.382,10
