Aplicació pressupost;Descripció;Pressupost Inicial;Modificacions;Pressupost final;Obligacions reconegudes;Pagaments;Pendent pagaments;Estat execució
210/2350A/11001;Retribucions complementàries;45.502,74;0,00;45.502,74;26.041,44;26.041,44;0,00;19.461,30
210/2350A/12000;Salaris del Grup A1;0,00;10,00;10,00;21.587,92;21.587,92;0,00;-21.577,92
210/2350A/12001;Salaris del Grup A2;12.906,52;-402,31;12.504,21;21.653,08;21.653,08;0,00;-9.148,87
210/2350A/12003;Salaris del Grup C1;0,00;10,00;10,00;29.061,80;29.061,80;0,00;-29.051,80
210/2350A/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;54.916,67;54.916,67;0,00;-46.538,09
210/2350A/12005;Salaris del Grup E;0,00;10,00;10,00;5.580,33;5.580,33;0,00;-5.570,33
210/2350A/12006;Triennis;2.807,64;0,00;2.807,64;25.271,88;25.271,88;0,00;-22.464,24
210/2350A/12100;Complement de destí;12.038,52;0,00;12.038,52;66.132,09;66.132,09;0,00;-54.093,57
210/2350A/12101;Complement  específic;25.705,32;0,00;25.705,32;121.528,28;121.528,28;0,00;-95.822,96
210/2350A/12103;Altres complements;17.363,52;-204,46;17.159,06;68.282,99;68.282,99;0,00;-51.123,93
210/2350A/13000;Retribucions bàsiques;33.772,02;-276,28;33.495,74;67.622,20;67.622,20;0,00;-34.126,46
210/2350A/15000;Productivitat;2.138,27;0,00;2.138,27;777,39;777,39;0,00;1.360,88
210/2350A/16000;Seguretat social;41.230,02;-785,09;40.444,93;130.354,98;130.354,98;0,00;-89.910,05
210/3000A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;14.203,44;14.203,44;0,00;473,88
210/3000A/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;7.588,49;7.588,49;0,00;790,09
210/3000A/12006;Triennis;4.595,16;0,00;4.595,16;4.138,72;4.138,72;0,00;456,44
210/3000A/12100;Complement de destí;13.210,32;0,00;13.210,32;13.210,32;13.210,32;0,00;0,00
210/3000A/12101;Complement  específic;36.143,28;0,00;36.143,28;37.525,56;37.525,56;0,00;-1.382,28
210/3000A/12103;Altres complements;21.801,82;0,00;21.801,82;17.573,57;17.573,57;0,00;4.228,25
210/3000A/15000;Productivitat;1.884,22;0,00;1.884,22;36,60;36,60;0,00;1.847,62
210/3000A/16000;Seguretat social;20.056,19;0,00;20.056,19;19.183,25;19.183,25;0,00;872,94
210/3000A/22001;Premsa, revistes, llibres i altres publicacions;400,00;0,00;400,00;10,16;10,16;0,00;389,84
210/3000A/22601;Atencions protocol·làries i representatives;1.800,00;0,00;1.800,00;1.959,50;634,80;1.324,70;-159,50
210/3000A/22602;Publicitat i propaganda;6.400,00;0,00;6.400,00;5.700,84;568,70;5.132,14;699,16
210/3000A/2260200;Difusió d'activitats;800,00;0,00;800,00;2.032,80;0,00;2.032,80;-1.232,80
210/3000A/2260202;Publicacions;7.000,00;0,00;7.000,00;6.313,94;3.380,90;2.933,04;686,06
210/3000A/22699;Altres despeses diverses;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/3000A/22799;Altres treballs realitzats per altres empreses i prof.;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/3000A/23020;Dietes personal no directiu;1.300,00;0,00;1.300,00;379,34;379,34;0,00;920,66
210/3000A/48200;Transf. corrents institucions sense ànim de lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/4910A/44900;Altres subv. a ens públics i societats mercantils locals;710.000,00;0,00;710.000,00;680.000,00;680.000,00;0,00;30.000,00
210/9220A/11000;Retribucions bàsiques;13.968,78;0,00;13.968,78;9.687,24;9.687,24;0,00;4.281,54
210/9220A/11001;Retribucions complementàries;34.013,48;0,00;34.013,48;35.558,25;35.558,25;0,00;-1.544,77
210/9220A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;14.222,07;14.222,07;0,00;455,25
210/9220A/12003;Salaris del Grup C1;29.231,46;0,00;29.231,46;28.208,15;28.208,15;0,00;1.023,31
210/9220A/12004;Salaris del Grup C2;33.514,32;-27,96;33.486,36;31.249,25;31.249,25;0,00;2.237,11
210/9220A/12005;Salaris del Grup E;7.678,58;0,00;7.678,58;7.224,40;7.224,40;0,00;454,18
210/9220A/12006;Triennis;15.454,62;0,00;15.454,62;13.625,36;13.625,36;0,00;1.829,26
210/9220A/12100;Complement de destí;37.889,28;-14,23;37.875,05;38.043,39;38.043,39;0,00;-168,34
210/9220A/12101;Complement  específic;66.240,36;-26,83;66.213,53;70.018,42;70.018,42;0,00;-3.804,89
210/9220A/12103;Altres complements;44.213,74;0,00;44.213,74;44.536,67;44.536,67;0,00;-322,93
210/9220A/15000;Productivitat;6.502,58;0,00;6.502,58;1.902,40;1.902,40;0,00;4.600,18
210/9220A/16000;Seguretat social;79.270,76;-19,55;79.251,21;76.759,39;76.759,39;0,00;2.491,82
210/9220A/22199;Altres subministraments;1.000,00;0,00;1.000,00;933,25;933,25;0,00;66,75
210/9220A/22699;Altres despeses diverses;4.000,00;0,00;4.000,00;4.198,72;2.944,38;1.254,34;-198,72
210/9220A/22706;Estudis i treballs tècnics;1.000,00;0,00;1.000,00;0,00;0,00;0,00;1.000,00
210/9220A/22799;Altres treballs realitzats per altres empreses i prof.;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9220A/23020;Dietes personal no directiu;3.000,00;0,00;3.000,00;456,17;182,60;273,57;2.543,83
210/9220A/48300;Subvencions i aportacions institucionals;81.138,52;0,00;81.138,52;81.144,52;81.144,52;0,00;-6,00
210/9221A/11000;Retribucions bàsiques;43.344,74;-1.348,00;41.996,74;33.073,73;33.073,73;0,00;8.923,01
210/9221A/11001;Retribucions complementàries;86.634,25;0,00;86.634,25;55.376,62;55.376,62;0,00;31.257,63
210/9221A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;14.107,92;14.107,92;0,00;569,40
210/9221A/12004;Salaris del Grup C2;8.378,58;-27,96;8.350,62;7.841,69;7.841,69;0,00;508,93
210/9221A/12006;Triennis;3.000,42;0,00;3.000,42;2.655,86;2.655,86;0,00;344,56
210/9221A/12100;Complement de destí;10.047,36;-15,28;10.032,08;10.032,08;10.032,08;0,00;0,00
210/9221A/12101;Complement  específic;15.541,92;-41,31;15.500,61;16.416,77;16.416,77;0,00;-916,16
210/9221A/12103;Altres complements;13.915,80;0,00;13.915,80;11.299,53;11.299,53;0,00;2.616,27
210/9221A/15000;Productivitat;1.251,00;0,00;1.251,00;82,26;82,26;0,00;1.168,74
210/9221A/16000;Seguretat social;53.477,64;-29,63;53.448,01;44.190,73;44.190,73;0,00;9.257,28
210/9221A/22000;Material d’oficina no inventariable;2.000,00;0,00;2.000,00;0,00;0,00;0,00;2.000,00
210/9221A/22001;Premsa, revistes, llibres i altres publicacions;8.800,00;0,00;8.800,00;7.472,04;7.472,04;0,00;1.327,96
210/9221A/22199;Altres subministraments;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221A/22201;Comunicacions postals;7.000,00;0,00;7.000,00;3.465,23;2.972,07;493,16;3.534,77
210/9221A/2260200;Difusió d´activitats;1.500,00;0,00;1.500,00;358,72;358,72;0,00;1.141,28
210/9221A/2260201;Informació municipal i comunicació;14.722,77;0,00;14.722,77;14.722,76;14.722,76;0,00;0,01
210/9221A/2260202;Publicacions;4.000,00;0,00;4.000,00;1.173,79;1.173,79;0,00;2.826,21
210/9221A/22699;Altres despeses diverses;4.000,00;-138,94;3.861,06;2.320,34;836,01;1.484,33;1.540,72
210/9221A/22706;Estudis i treballs tècnics;1.000,00;0,00;1.000,00;1.054,09;492,85;561,24;-54,09
210/9221A/22799;Altres treballs realitzats per altres empreses i prof.;500,00;0,00;500,00;0,00;0,00;0,00;500,00
210/9221A/23020;Dietes personal no directiu;1.600,00;0,00;1.600,00;131,92;0,00;131,92;1.468,08
210/9221A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221A/64000;Despeses en inversions de caràcter immaterial;1.300,00;-1.161,06;138,94;138,94;0,00;138,94;0,00
210/9221B/12003;Salaris del Grup C1;9.884,84;0,00;9.884,84;6.971,04;6.971,04;0,00;2.913,80
210/9221B/12004;Salaris del Grup C2;16.757,16;0,00;16.757,16;15.835,53;15.835,53;0,00;921,63
210/9221B/12006;Triennis;3.972,33;0,00;3.972,33;3.539,40;3.539,40;0,00;432,93
210/9221B/12100;Complement de destí;12.596,04;0,00;12.596,04;11.543,27;11.543,27;0,00;1.052,77
210/9221B/12101;Complement  específic;21.261,36;0,00;21.261,36;20.476,51;20.476,51;0,00;784,85
210/9221B/12103;Altres complements;9.676,92;0,00;9.676,92;7.497,61;7.497,61;0,00;2.179,31
210/9221B/15000;Productivitat;5.262,77;0,00;5.262,77;3.859,44;3.859,44;0,00;1.403,33
210/9221B/16000;Seguretat social;21.722,23;0,00;21.722,23;22.754,36;22.754,36;0,00;-1.032,13
210/9221B/22199;Altres subministraments;500,00;0,00;500,00;408,79;27,14;381,65;91,21
210/9221B/22201;Comunicacions postals;10,00;0,00;10,00;10,00;10,00;0,00;0,00
210/9221B/22601;Atencions protocol·làries i representatives;12.319,90;-8.562,97;3.756,93;3.756,93;2.818,40;938,53;0,00
210/9221B/2260200;Difusió d´activitats;1.000,00;0,00;1.000,00;748,06;179,36;568,70;251,94
210/9221B/22699;Altres despeses diverses;5.000,00;0,00;5.000,00;128,00;128,00;0,00;4.872,00
210/9221B/22706;Estudis i treballs tècnics;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9221B/22799;Altres treballs realitzats per altres empreses i prof.;1.500,00;0,00;1.500,00;0,00;0,00;0,00;1.500,00
210/9222A/12004;Salaris del Grup C2;8.378,58;0,00;8.378,58;7.891,17;7.891,17;0,00;487,41
210/9222A/12006;Triennis;1.483,80;0,00;1.483,80;1.271,02;1.271,02;0,00;212,78
210/9222A/12100;Complement de destí;3.660,12;0,00;3.660,12;3.660,12;3.660,12;0,00;0,00
210/9222A/12101;Complement  específic;6.551,28;0,00;6.551,28;6.899,16;6.899,16;0,00;-347,88
210/9222A/12103;Altres complements;6.927,82;0,00;6.927,82;6.562,74;6.562,74;0,00;365,08
210/9222A/15000;Productivitat;510,36;0,00;510,36;63,52;63,52;0,00;446,84
210/9222A/16000;Seguretat social;6.933,01;0,00;6.933,01;7.131,78;7.131,78;0,00;-198,77
210/9222A/22201;Comunicacions postals;100,00;0,00;100,00;5,15;4,79;0,36;94,85
210/9222A/22601;Atencions protocol·làries i representatives;1.800,00;-1.453,25;346,75;346,75;286,25;60,50;0,00
210/9222A/2260200;Difusió d´activitats;1.000,00;0,00;1.000,00;0,00;0,00;0,00;1.000,00
210/9222A/22606;Reunions, conferències i cursos;1.000,00;0,00;1.000,00;0,00;0,00;0,00;1.000,00
210/9222A/22699;Altres despeses diverses;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9222A/22706;Estudis i treballs tècnics;10,00;838,87;848,87;11.016,57;3.908,92;7.107,65;-10.167,70
210/9222A/22799;Altres treballs realitzats per altres empreses i prof.;12.000,00;0,00;12.000,00;15.907,96;9.615,98;6.291,98;-3.907,96
210/9222A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9223A/12000;Salaris del Grup A1;14.677,32;0,00;14.677,32;14.019,27;14.019,27;0,00;658,05
210/9223A/12004;Salaris del Grup C2;25.135,74;0,00;25.135,74;21.928,95;21.928,95;0,00;3.206,79
210/9223A/12006;Triennis;5.730,66;0,00;5.730,66;4.288,91;4.288,91;0,00;1.441,75
210/9223A/12100;Complement de destí;17.367,00;0,00;17.367,00;16.519,41;16.519,41;0,00;847,59
210/9223A/12101;Complement  específic;27.560,16;0,00;27.560,16;27.679,50;27.679,50;0,00;-119,34
210/9223A/12103;Altres complements;10.961,00;0,00;10.961,00;16.146,96;16.146,96;0,00;-5.185,96
210/9223A/15000;Productivitat;1.913,60;0,00;1.913,60;31,76;31,76;0,00;1.881,84
210/9223A/16000;Seguretat social;27.560,12;0,00;27.560,12;28.116,47;28.116,47;0,00;-556,35
210/9223A/22000;Material d’oficina no inventariable;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9223A/22001;Premsa, revistes, llibres i altres publicacions;520,00;0,00;520,00;335,80;335,80;0,00;184,20
210/9223A/22201;Comunicacions postals;200,00;0,00;200,00;45,15;36,75;8,40;154,85
210/9223A/22602;Publicitat i propaganda;500,00;0,00;500,00;0,00;0,00;0,00;500,00
210/9223A/22699;Altres despeses diverses;3.000,00;0,00;3.000,00;2.934,72;2.200,95;733,77;65,28
210/9223A/22706;Estudis i treballs tècnics;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9223A/22799;Altres treballs realitzats per altres empreses i prof.;240,00;0,00;240,00;0,00;0,00;0,00;240,00
210/9223A/23100;Locomoció;500,00;0,00;500,00;459,03;41,45;417,58;40,97
210/9223A/23300;Altres indemnitzacions;10.200,00;0,00;10.200,00;10.200,00;10.200,00;0,00;0,00
210/9223A/48300;Subvencions i aportacions institucionals;1.300,00;0,00;1.300,00;1.263,00;1.263,00;0,00;37,00
210/9251A/12000;Salaris del Grup A1;58.709,28;0,00;58.709,28;56.129,70;56.129,70;0,00;2.579,58
210/9251A/12001;Salaris del Grup A2;12.906,52;0,00;12.906,52;12.384,59;12.384,59;0,00;521,93
210/9251A/12003;Salaris del Grup C1;29.654,52;0,00;29.654,52;27.830,73;27.830,73;0,00;1.823,79
210/9251A/12004;Salaris del Grup C2;8.378,58;-27,96;8.350,62;7.824,06;7.824,06;0,00;526,56
210/9251A/12006;Triennis;10.122,10;0,00;10.122,10;8.820,79;8.820,79;0,00;1.301,31
210/9251A/12100;Complement de destí;52.164,60;-14,23;52.150,37;50.717,13;50.717,13;0,00;1.433,24
210/9251A/12101;Complement  específic;90.873,36;-26,83;90.846,53;86.652,24;86.652,24;0,00;4.194,29
210/9251A/12103;Altres complements;56.214,90;0,00;56.214,90;45.008,12;45.008,12;0,00;11.206,78
210/9251A/15000;Productivitat;12.467,58;0,00;12.467,58;4.489,94;4.489,94;0,00;7.977,64
210/9251A/16000;Seguretat social;80.160,71;-21,85;80.138,86;79.353,85;79.353,85;0,00;785,01
210/9251A/22001;Premsa, revistes, llibres i altres publicacions;1.920,00;0,00;1.920,00;4.102,45;4.102,45;0,00;-2.182,45
210/9251A/22199;Altres subministraments;2.000,00;0,00;2.000,00;612,00;592,90;19,10;1.388,00
210/9251A/22201;Comunicacions postals;300,00;0,00;300,00;211,28;25,96;185,32;88,72
210/9251A/22400;Primes d’assegurances;10,00;0,00;10,00;0,00;0,00;0,00;10,00
210/9251A/22601;Atencions protocol·làries i representatives;2.800,00;-2.414,53;385,47;385,47;257,47;128,00;0,00
210/9251A/2260200;Difusió d´activitats;4.500,00;-2.467,52;2.032,48;2.032,48;2.032,48;0,00;0,00
210/9251A/2260202;Publicacions;56.400,00;-1.376,60;55.023,40;57.998,72;41.674,88;16.323,84;-2.975,32
210/9251A/22699;Altres despeses diverses;4.000,00;0,00;4.000,00;1.382,18;673,49;708,69;2.617,82
210/9251A/22706;Estudis i treballs tècnics;2.500,00;0,00;2.500,00;2.562,50;1.534,00;1.028,50;-62,50
210/9251A/22799;Altres treballs realitzats per altres empreses i prof.;4.000,00;44,88;4.044,88;89,76;89,76;0,00;3.955,12
210/9251A/46700;A Consorcis;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300A/12000;Salaris del Grup A1;29.354,64;-51,76;29.302,88;27.556,25;27.556,25;0,00;1.746,63
253/3300A/12001;Salaris del Grup A2;25.813,04;0,00;25.813,04;24.699,08;24.699,08;0,00;1.113,96
253/3300A/12003;Salaris del Grup C1;27.677,55;-33,60;27.643,95;26.372,92;26.372,92;0,00;1.271,03
253/3300A/12004;Salaris del Grup C2;48.475,95;-49,93;48.426,02;43.725,50;43.725,50;0,00;4.700,52
253/3300A/12006;Triennis;27.266,78;-11,95;27.254,83;23.264,31;23.264,31;0,00;3.990,52
253/3300A/12100;Complement de destí;60.846,48;-72,25;60.774,23;60.711,42;60.711,42;0,00;62,81
253/3300A/12101;Complement  específic;105.939,24;-127,66;105.811,58;117.144,27;117.144,27;0,00;-11.332,69
253/3300A/12103;Altres complements;48.319,74;0,00;48.319,74;43.332,32;43.332,32;0,00;4.987,42
253/3300A/13000;Retribucions bàsiques;31.122,96;-115,39;31.007,57;32.013,04;32.013,04;0,00;-1.005,47
253/3300A/15000;Productivitat;9.400,88;0,00;9.400,88;27,60;27,60;0,00;9.373,28
253/3300A/16000;Seguretat social;113.194,30;-182,54;113.011,76;112.650,86;112.650,86;0,00;360,90
253/3300A/20600;Lloguer d'equips per a processos d'informació;0,00;0,00;0,00;0,00;0,00;0,00;0,00
253/3300A/21900;Altre immobilitzat material;240,75;0,00;240,75;6,11;6,11;0,00;234,64
253/3300A/22104;Vestuari;1.500,00;0,00;1.500,00;367,28;0,00;367,28;1.132,72
253/3300A/22199;Altres subministraments;930,00;1.374,54;2.304,54;1.081,68;54,00;1.027,68;1.222,86
253/3300A/22201;Comunicacions postals;2.000,00;4.000,00;6.000,00;4.523,25;4.028,88;494,37;1.476,75
253/3300A/22601;Atencions protocol·làries i representatives;3.000,00;0,00;3.000,00;1.873,70;1.873,70;0,00;1.126,30
253/3300A/22602;Publicitat i propaganda;18.700,00;-4.000,00;14.700,00;5.097,82;2.568,75;2.529,07;9.602,18
253/3300A/2260200;Difusió d´activitats;65.000,00;-14.000,00;51.000,00;47.675,02;27.916,20;19.758,82;3.324,98
253/3300A/2260202;Publicacions;10.000,00;0,00;10.000,00;7.212,32;6.259,53;952,79;2.787,68
253/3300A/22609;Activitats culturals i esportives;9.000,00;-4.911,95;4.088,05;1.976,07;161,07;1.815,00;2.111,98
253/3300A/22620;El Sud Suma + Nou Pla de Barris;28.031,25;8.587,52;36.618,77;396,83;396,83;0,00;36.221,94
253/3300A/22699;Altres despeses diverses;2.490,00;5,00;2.495,00;17.631,24;2.366,77;15.264,47;-15.136,24
253/3300A/2270001;Contractes de neteja;0,00;0,00;0,00;0,00;0,00;0,00;0,00
253/3300A/22706;Estudis i treballs tècnics;9.000,00;0,00;9.000,00;0,00;0,00;0,00;9.000,00
253/3300A/23020;Dietes personal no directiu;1.300,00;0,00;1.300,00;233,21;0,00;233,21;1.066,79
253/3300A/45000;A l'Administració General de les Comunitats Autònomes;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300A/46100;A Diputacions, Consells o Cabildos Insulars;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3300C/2270001;Contractes de neteja;0,00;0,00;0,00;0,00;0,00;0,00;0,00
253/3300C/41000;A Organismes Autònoms de l'Entitat Local;1.287.599,40;-66.406,27;1.221.193,13;1.125.787,94;991.936,99;133.850,95;95.405,19
253/3320A/22101;Aigua;964,23;0,00;964,23;1.536,72;1.536,72;0,00;-572,49
253/3320A/22102;Gas;4.759,72;0,00;4.759,72;5.058,68;5.058,68;0,00;-298,96
253/3320A/2270001;Contractes de neteja;27.330,36;0,00;27.330,36;29.338,80;29.338,80;0,00;-2.008,44
253/3320B/12001;Salaris del Grup A2;12.906,52;-10.206,26;2.700,26;0,00;0,00;0,00;2.700,26
253/3320B/12003;Salaris del Grup C1;334.109,32;-5.113,70;328.995,62;308.928,09;308.928,09;0,00;20.067,53
253/3320B/12004;Salaris del Grup C2;8.378,58;-27,96;8.350,62;7.760,83;7.760,83;0,00;589,79
253/3320B/12005;Salaris del Grup E;65.267,94;-874,04;64.393,90;53.892,40;53.892,40;0,00;10.501,50
253/3320B/12006;Triennis;38.720,51;-11,05;38.709,46;33.864,83;33.864,83;0,00;4.844,63
253/3320B/12100;Complement de destí;171.053,16;-6.472,76;164.580,40;160.408,88;160.408,88;0,00;4.171,52
253/3320B/12101;Complement  específic;301.413,48;-11.660,29;289.753,19;297.278,05;297.278,05;0,00;-7.524,86
253/3320B/12103;Altres complements;171.979,26;-5.197,83;166.781,43;163.055,90;163.055,90;0,00;3.725,53
253/3320B/14300;Retribucions altre personal;8.364,65;0,00;8.364,65;0,00;0,00;0,00;8.364,65
253/3320B/15000;Productivitat;21.933,37;-17,94;21.915,43;819,35;819,35;0,00;21.096,08
253/3320B/16000;Seguretat social;322.676,98;-12.248,34;310.428,64;304.522,93;304.522,93;0,00;5.905,71
253/3320B/21300;Manteniment de maquinària, instal·lacions i utillatge;2.050,00;0,00;2.050,00;6.126,92;2.792,36;3.334,56;-4.076,92
253/3320B/21900;Altre immobilitzat material;2.618,00;0,00;2.618,00;734,88;503,94;230,94;1.883,12
253/3320B/22000;Material d’oficina no inventariable;945,00;0,00;945,00;71,38;71,38;0,00;873,62
253/3320B/22001;Premsa, revistes, llibres i altres publicacions;2.908,00;0,00;2.908,00;2.350,60;2.350,60;0,00;557,40
253/3320B/22101;Aigua;269,67;0,00;269,67;746,26;725,72;20,54;-476,59
253/3320B/22199;Altres subministraments;4.160,00;5.606,57;9.766,57;7.275,42;2.614,71;4.660,71;2.491,15
253/3320B/22606;Reunions, conferències i cursos;8.940,00;0,00;8.940,00;26.381,69;21.484,29;4.897,40;-17.441,69
253/3320B/22699;Altres despeses diverses;1.395,00;0,00;1.395,00;131,19;131,19;0,00;1.263,81
253/3320B/2270001;Contractes de neteja;148.915,38;0,00;148.915,38;149.226,77;114.067,50;35.159,27;-311,39
253/3320B/22799;Altres treballs realitzats per altres empreses i prof.;48.850,00;0,00;48.850,00;29.277,99;17.395,59;11.882,40;19.572,01
253/3320B/26000;Treballs realitzats Entitats sense ànim lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3320B/48100;Premis, beques i pensions d’estudi i investigació;450,00;0,00;450,00;450,00;0,00;450,00;0,00
253/3320B/48200;Transf. corrents institucions sense ànim de lucre;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3320B/62901;Altres inv. noves assoc. al funcionament op. dels serveis;10,00;1.680,00;1.690,00;0,00;0,00;0,00;1.690,00
253/3320B/63200;Inv. rep. en edificis i altres construccions;0,00;31.367,59;31.367,59;31.323,57;31.323,57;0,00;44,02
253/3340A/12000;Salaris del Grup A1;14.677,32;-51,76;14.625,56;14.068,78;14.068,78;0,00;556,78
253/3340A/12001;Salaris del Grup A2;25.813,04;-44,75;25.768,29;20.855,33;20.855,33;0,00;4.912,96
253/3340A/12003;Salaris del Grup C1;118.618,08;-9.938,67;108.679,41;98.138,83;98.138,83;0,00;10.540,58
253/3340A/12004;Salaris del Grup C2;23.460,02;-78,29;23.381,73;21.677,18;21.677,18;0,00;1.704,55
253/3340A/12005;Salaris del Grup E;38.392,90;-76,80;38.316,10;35.439,52;35.439,52;0,00;2.876,58
253/3340A/12006;Triennis;31.692,68;-23,00;31.669,68;28.461,56;28.461,56;0,00;3.208,12
253/3340A/12100;Complement de destí;99.477,96;-4.892,54;94.585,42;89.419,67;89.419,67;0,00;5.165,75
253/3340A/12101;Complement  específic;175.339,80;-7.703,51;167.636,29;165.653,52;165.653,52;0,00;1.982,77
253/3340A/12103;Altres complements;140.756,99;-3.099,91;137.657,08;136.755,93;136.755,93;0,00;901,15
253/3340A/13100;Laboral temporal;54.504,00;-90,34;54.413,66;84.217,13;84.217,13;0,00;-29.803,47
253/3340A/15000;Productivitat;15.320,75;0,00;15.320,75;2.183,98;2.183,98;0,00;13.136,77
253/3340A/16000;Seguretat social;198.623,87;-8.075,89;190.547,98;198.993,43;198.993,43;0,00;-8.445,45
253/3340A/20500;Lloguer de mobiliari i estris;20,00;0,00;20,00;2.177,16;2.177,16;0,00;-2.157,16
253/3340A/20800;Arrendaments d'altre immobilitzat material;8.567,00;0,00;8.567,00;6.565,52;6.565,52;0,00;2.001,48
253/3340A/21300;Manteniment de maquinària, instal·lacions i utillatge;6.595,00;-1.680,00;4.915,00;7.815,16;2.778,06;5.037,10;-2.900,16
253/3340A/21600;Equips per a processos d'informació;850,00;0,00;850,00;88,50;88,50;0,00;761,50
253/3340A/21900;Altre immobilitzat material;14.450,00;-2.988,00;11.462,00;2.195,67;2.195,67;0,00;9.266,33
253/3340A/22100;Energia elèctrica;395.682,00;0,00;395.682,00;309.334,08;254.590,31;54.743,77;86.347,92
253/3340A/22101;Aigua;4.950,25;0,00;4.950,25;5.577,23;3.681,72;1.895,51;-626,98
253/3340A/22102;Gas;40.516,83;0,00;40.516,83;40.461,48;39.811,27;650,21;55,35
253/3340A/22199;Altres subministraments;2.385,00;0,00;2.385,00;1.485,15;880,15;605,00;899,85
253/3340A/22400;Primes d’assegurances;850,00;0,00;850,00;1.820,53;1.820,53;0,00;-970,53
253/3340A/22602;Publicitat i propaganda;10,00;0,00;10,00;52,50;52,50;0,00;-42,50
253/3340A/22609;Activitats culturals i esportives;15.000,00;-9.867,00;5.133,00;5.133,00;2.950,00;2.183,00;0,00
253/3340A/22699;Altres despeses diverses;50.550,00;44.607,17;95.157,17;87.606,68;34.092,36;53.514,32;7.550,49
253/3340A/2270001;Contractes de neteja;83.743,01;0,00;83.743,01;83.743,01;80.817,42;2.925,59;0,00
253/3340A/22799;Altres treballs realitzats per altres empreses i prof.;529.478,00;157.369,11;686.847,11;555.629,48;400.472,11;155.157,37;131.217,63
253/3340A/47900;Transferències corrents a empreses privades;41.700,00;4.056,63;45.756,63;38.225,00;27.800,00;10.425,00;7.531,63
253/3340A/48100;Premis, beques i pensions d’estudi i investigació;10,00;0,00;10,00;0,00;0,00;0,00;10,00
253/3340A/48200;Transf. corrents institucions sense ànim de lucre;112.505,00;70.072,00;182.577,00;113.097,00;80.505,00;32.592,00;69.480,00
253/3340A/60900;Altre invers. nova en infrast. i béns destinats ús general;300.000,00;-299.990,00;10,00;1.677,00;0,00;1.677,00;-1.667,00
