"CÓDIGO PUESTO","DENOMINACIÓN","TOTAL RETRIBUCIONES"
"50101-03","JEFE GRUPO TEC. AUX. DELINEANTE OFIC. TECNICA ",35501.72
"50100-05","JEFE GRUPO ADMVO. INFORMACION Y REGISTRO",33562.90
"50143-02","JEFE GRUPO ADMVO. OCUPACION",36322.46
"50220-05","JEFE GRUPO ADMVO. RECURSOS",33768.30
"50211-06","JEFE GRUPO ADMVO. INSTRUCCION 2",33562.90
"50160-02","JEFE GRUPO ADMVO. INSPECCION TRIBUTOS",34756.62
"50500-06","JEFE GRUPO ADMVO. TECNICO AUXILIAR",36617.46
"50101-04","DELINEANTE OFICINA TECNICA",29899.80
"50121-06","ADMINISTRATIVO PLUSVALIA",34656.68
"50211-03","ADMINISTRATIVO ",29278.06
"50211-04","ADMINISTRATIVO ",30737.58
"50121-05","ADMINISTRATIVO PLUSVALIA",32197.10
"50121-04","ADMINISTRATIVO PLUSVALIA",30737.58
"50211-05","ADMINISTRATIVO",32926.86
"50143-03","ADMINISTRATIVO VIA PUBLICA",33244.38
"50143-03","ADMINISTRATIVO VIA PUBLICA",31102.46
"50332-03","ADMINISTRATIVO DE RECAUDACION VOLUNTARIA",32980.02
"50211-07","ADMINISTRATIVO",29278.06
"50121-03","ADMINISTRATIVO PLUSVALIA",33244.38
"50211-08","ADMINISTRATIVO",29278.06
"50212-03","ADMINISTRATIVO",30737.58
"50111-02","JEFE GRUPO AUX. LIQUIDACIONES IAE",31834.80
"50131-02","JEFE GRUPO AUX. EXECCIONES Y CERTF. IBI",31582.02
"50141-02","JEFE GRUPO AUX. GEST. TRIBUTOS DE RESIDUOS",31582.02
"50211-09","JEFE GRUPO AUX. INSTRUCCION",29812.56
"50212-04","JEFE GRUPO AUX. TRAMITACIÓN",30570.90
"50143-04","JEFE GRUPO AUX. VIA PUBLICA",32557.32
"50412-06","JEFE GRUPO AUX.  DE TRAMITACIÓN",31582.02
"50100-03","JEFE GRUPO AUX. ADMINISTRACION",31834.80
"50121-07","JEFE GRUPO AUX. PLUSVALIA",31834.80
"50141-05","AUX. DE INFORM. GESTION TRIBU. DE RESIDUOS",29041.66
"50121-12","AUXILIAR INFORMACION PLUSVALIA",29041.66
"50134-03","AUX. INFORMACION DEVOLUCION BAJAS IBI",30052.78
"50100-04","AUX. INFORMACION ADMINISTRACION ",29475.24
"50211-11","AUXILIAR INFORMACION ",29041.66
"50133-03","AUXILIAR INFORMACION LIQUIDACION IBI",30052.78
"50211-13","AUXILIAR INFORMACION ",28788.88
"50143-08","AUX. INFORMACION VIA PUBLICA",30052.78
"50113-02","AUXILIAR INFORMACION VEHICULOS",29041.66
"50113-03","AUXILIAR INFORMACION VEHICULOS",29041.66
"50134-05","AUX. INFORMACION DEVOLUCION BAJAS IBI",29041.66
"50160-04","AUX. INFORMACION INSPECCION TRIBUTOS",29475.24
"50143-09","AUX. INFORMACION VIA PUBLICA",29547.22
"50134-04","AUX. INFORMACION DEVOLUCION BAJAS IBI",29475.24
"50113-05","AUXILIAR INFORMACION VEHICULOS",29041.66
"50100-06","AUXILIAR INFORMACION REGISTRO",30305.56
"50200-02","AUXILIAR DE DIRECCION GESTION SANCIONES",29041.66
"50112-03","AUX. INFORMACION DEVOLUCIONES IAE",29475.24
"50211-12","AUXILIAR INFORMACION ",30558.34
"50134-07","AUX. INFORMACION DEVOLUCION BAJAS IBI",29493.32
"50211-10","AUXILIAR INFORMACION ",29475.24
"50121-11","AUXILIAR INFORMACION PLUSVALIA",29475.24
"50141-03","AUX. DE INFORM. GESTION TRIBU. DE RESIDUOS",29475.24
"50142-02","AUX. DE INFORM. APERTURAS Y EXT. INCENDIOS",29475.24
"50000-04","AUXILIAR DE DIRECCION GERENCIA",29547.22
"50131-03","AUX. INFORMACION EXENCIONES Y CERTF. IBI",30052.78
"50211-14","AUXILIAR INFORMACION ",28915.44
"50143-07","AUX. INFORMACION VIA PUBLICA",29384.84
"50133-05","AUXILIAR INFORMACION LIQUIDACION IBI",28788.88
"50100-02","AUXILIAR DE DIRECCION GESTION INGRESOS",30052.78
"50143-06","AUX. INFORMACION VIA PUBLICA",29041.66
"50121-09","AUXILIAR INFORMACION PLUSVALIA",30052.78
"50122-02","AUXILIAR DE INFORMACION ICIO",29547.22
"50113-06","AUXILIAR INFORMACION VEHICULOS",29294.44
"50143-05","AUX. INFORMACION VIA PUBLICA",29150.14
"50112-02","AUX. INFORMACION DEVOLUCIONES IAE",30052.78
"50135-02","AUX. INF. REG. NOT. Y ARCHIVO IBI",28788.88
"50141-04","AUX. DE INFORM. GESTION TRIBU. DE RESIDUOS",30305.56
"50142-03","AUX. DE INFORM. APERTURAS Y EXT. INCENDIOS",29547.22
"50113-08","AUXILIAR INFORMACION VEHICULOS",29041.66
"50134-02","AUX. INFORMACION DEVOLUCION BAJAS IBI",29800.00
"50134-06","AUX. INFORMACION DEVOLUCION BAJAS IBI",28788.88
"50111-04","AUX. INFORMACION LIQUIDACIONES IAE",29547.22
"50160-03","AUX. INFORMACION INSPECCION TRIBUTOS",29041.66
"50133-04","AUXILIAR INFORMACION LIQUIDACION IBI",30468.28
"50113-04","AUXILIAR INFORMACION VEHICULOS",29330.60
"50121-08","AUXILIAR INFORMACION PLUSVALIA",28843.12
"50132-02","AUX. INFORMACION RECLAMACIONES IBI",30251.66
"50133-02","AUXILIAR INFORMACION LIQUIDACION IBI",29655.70
"50135-03","AUX. INF. REG. NOT. Y ARCHIVO IBI",29041.66
"50134-06","AUX. INFORMACION DEVOLUCION BAJAS IBI",29547.22
"50113-07","AUXILIAR INFORMACION VEHICULOS",30305.56
"50121-10","AUXILIAR INFORMACION PLUSVALIA",30305.56
"50111-03","AUX. INFORMACION LIQUIDACIONES IAE",30305.56
"50142-04","AUX. DE INFORM. APERTURAS Y EXT. INCENDIOS",28788.88
"50134-08","AUX. INFORMACION DEVOLUCION BAJAS IBI",29294.44
"50212-05","AUXILIAR ADMINISTRATIVO",26530.72
"50135-04","AUX. ADMINISTRATIVO REG. NOTF. Y ARCH. IBI",28552.96
"50421-04","AUX.ADMTVO.GESTIÓN PRESUPUESTARIA",27397.54
"50121-13","AUXILIAR ADMINISTRATIVO PLUSVALIA",27541.84
"50212-06","AUXILIAR ADMINISTRATIVO",29087.86
"50132-03","AUX. ADMINISTRATIVO RECLAMACIONES IBI",28805.74
"50113-09","AUXILIAR ADMINISTRATIVO VEHICULOS",27541.84
"50212-07","AUXILIAR ADMINISTRATIVO",28870.90
"50160-05","AUX. ADMVO. INSPECCION TRIBUTOS",29187.72
"50322-06","AUX. ADMVO. REC. EJECT. PROCESOS ESPECIALES",28300.18
"50212-08","AUXILIAR ADMINISTRATIVO",27541.84
"50220-06","AUXILIAR ADMINISTRATIVO",27289.06
"50220-07","AUXILIAR ADMINISTRATIVO",27289.06
"50133-06","AUX. ADMINISTRATIVO LIQUID. IBI",28805.74
"50134-09","AUX. ADMVO. DEVOLUCION Y BAJAS IBI",27541.84
"50160-06","AUX. ADMVO. INSPECCION TRIBUTOS",28870.90
"","",
