"Economico","Descripcion Económico","Previsiones Iniciales"
51494,"INTERESES PRÉSTAMO A ICAS. PAGO PROVEEDORES",3635.93
51496,"INTERESES PRÉSTAMO A EMVISESA. PAGO PROVEEDORES",2176.70
82120,"REINTEGRO DE PRÉSTAMOS DE ENTIDADES LOCALES",3829358.86
32908,"TASA POR ORGANIZACIÓN DE VISITAS Y OTROS. CASA CONSISTORIAL",500.00
45139,"SUBV. SAE DINAMIZACIÓN PRELABORAL POLÍGONO SUR",340528.64
45080,"OTRAS SUBVENCIONES CORRIENTES DE LA ADMINISTRACIÓN GENERAL DE LA COMUNIDAD AUTÓNOMA",740497.00
33907,"TASA OCUPACIÓN EDIFICIOS DOMINIO PÚBLICO",45082.00
61900,"ENAJENACIÓN VIVIENDAS Y LOCALES DE NEGOCIOS",180000.00
91300,"PRÉSTAMOS RECIBIDOS L/P DE ENTES FUERA DEL SECTOR PÚBLICO",18839552.60
45142,"SUBVENCIÓN SAE EMPLEA JOVEN SEVILLA",5934097.20
45144,"SUBVENCIÓN SAE PLAN EMPLEO MAYORES 30 AÑOS",4065902.80
49101,"SUBVENCIÓN DUSI",3098374.06
79101,"SUBVENCIÓN DUSI",2479114.37
39211,"RECARGO DE APREMIO",7122000.00
,"",
