"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Derechos_Recaudados","Recaudación_Líquida"
45303,"APORTACION EPSA CONVENIO VACIE",0.00,0.00,0.00,0.00,0.00
46101,"SUBV. DIPUTACIÓN PROV. P.FOMENTO EMPLEO AGRARIO( PFOEA)",0.00,0.00,0.00,0.00,0.00
48001,"SUBVENCION INSTITUCIONES SIN ANIMO DE LUCRO",0.00,2575.46,2575.46,2575.46,2575.46
49000,"SUBVENCIÓN  PROYECTO REDES",0.00,1594010.04,1594010.04,1594010.04,1594010.04
51191,"INTERESES PRÉSTAMO A GMU PPP",292684.22,189259.19,189259.19,189259.19,189259.19
51195,"INTERESES PRÉSTAMO A IMD PPP",1641.45,1061.42,1061.42,1061.42,1061.42
51492,"INTERESES PRÉSTAMO A TUSSAM PPP",117636.39,76067.53,76067.53,76067.53,76067.53
51494,"INTERESES PRÉSTAMO A ICAS PPP",4294.32,2776.85,2776.85,2776.85,2776.85
51496,"INTERESES PRÉSTAMO A EMVISESA PPP",2570.85,1662.40,1662.40,1662.40,1662.40
52000,"INTERESES DE DEPOSITOS EN BANCOS",100000.00,22237.38,22237.38,22237.38,22237.38
54100,"ARRENDAMIENTO DE FINCAS URBANAS",867409.48,984636.41,984636.41,771684.94,771684.94
55000,"CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACIÓN PERIÓDICA",3333931.16,5773733.54,5773057.70,3101215.64,3100950.80
59900,"EXPLOTACIÓN DEL LOGO",0.00,0.00,0.00,0.00,0.00
61900,"ENAJENACIÓN VIVIENDAS Y LOCALES DE NEGOCIOS",135000.00,0.00,0.00,0.00,0.00
61902,"ENAJENACIÓN DE OTRAS INVERSIONES.MUEBLES ALFONSO XIII",0.00,74157.27,74157.27,74157.27,74157.27
70000,"DE LA ASMINISTRACIÓN GENERAL DE LA ENTIDAD LOCAL",0.00,0.00,0.00,0.00,0.00
70001,"DE LA ADMINISTRACIÓN GENERAL DE LA ENTIDAD LOCAL",0.00,0.00,0.00,0.00,0.00
72008,"FONDO ESTATAL DE INVERSION LOCAL",0.00,248375.89,167175.89,248375.89,167175.89
75003,"CONSTRUCCIÓN CENTROS SS.SS.",0.00,5326.45,5326.45,5326.45,5326.45
75060,"OTRAS TRANSF. DE CAPITAL CONVENIOS CON LA C.A",0.00,0.00,0.00,0.00,0.00
75101,"DEL SERVICIO ANDALUZ DE SALUD.CENTROS DE SALUD",0.00,2189000.00,1931186.76,2189000.00,1931186.76
82120,"REINTEGRO DE PRÉSTAMOS DE ENTIDADES LOCALES",3829358.87,3829358.81,3829358.81,3829358.81,3829358.81
82191,"REINTEGRO PRÉSTAMO A GMU PPP",0.00,0.00,0.00,0.00,0.00
82194,"REINTEGRO PRÉSTAMO A ICAS PPP",0.00,0.00,0.00,0.00,0.00
82195,"REINTEGRO PRÉSTAMO A IMD PPP",0.00,0.00,0.00,0.00,0.00
83001,"REINTEGRO DE ANTICIPOS A FUNCIONARIOS",901012.00,776674.66,776674.66,131893.23,131893.23
83002,"REINTEGROS DE ANTICIPOS A LABORALES",901012.00,707674.66,707674.66,115909.89,115909.89
87000,"Para gastos generales",0.00,0.00,0.00,0.00,0.00
87010,"Para gastos con financiación afectada",0.00,0.00,0.00,0.00,0.00
91300,"PRESTAM.RECIBIDOS L/P. DE ENTES FUERA DEL SECTOR PBCO.",0.00,0.00,0.00,0.00,0.00
91302,"PRESTAM.RECIBIDOS L/P. DE ENTES FUERA DEL SECTOR PBCO.",0.00,0.00,0.00,0.00,0.00
,"",,,,,
