"Org.","Eco.","Descripción","Previsiones Iniciales","Drchos Reconocidos Totales","Derechos Reconocidos Netos","Derechos Recaudados","Recaudación Líquida"
0,75100,"DE LA AGENCIA ANDALUZA DE LA ENERGÍA",0.00,423806.00,423806.00,423806.00,423806.00
0,77006,"APORTACIONES E.U.C. SUS-DBP-07 PÍTAMO SUR",0.00,0.00,0.00,0.00,0.00
0,77008,"APORTACIONES OBRAS CARRIL BICI AIRBUS",0.00,0.00,0.00,0.00,0.00
0,77009,"APORTAC. DE EMPRESAS PRIVADAS ACTUACIONES CARACTER CULTURAL.",0.00,0.00,0.00,0.00,0.00
0,78001,"APORTACION CAMARA DE COMERCIO.",0.00,0.00,0.00,0.00,0.00
0,83000,"REINTEGRO ANTICIPOS CONCEDIDOS AL PERSONAL",0.00,0.00,0.00,0.00,0.00
0,83100,"REINTEGRO ANTICIPOS CONCEDIDOS AL PERSONAL",350000.00,128300.00,128300.00,16276.09,16276.09
0,87000,"Para gastos generales",0.00,0.00,0.00,0.00,0.00
0,87010,"Para gastos con financiación afectada",0.00,0.00,0.00,0.00,0.00
0,91100,"PRÉSTAMOS RECIBIDOS A L/P DE ENTES DEL SECTOR PÚBLICO.",0.00,0.00,0.00,0.00,0.00
0,94001,"DEPOSITOS CANCELADOS CAJA GENERAL DEPOSITOS",1.00,336590.50,336590.50,336590.50,336590.50
