"Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
33210,22609,"ACTIVIDADES CULTURALES",234652.00,234652.00,39318.78,39318.78,39318.78,26429.03
33210,48968,"SUBVENCIÓN PARA EL FOMENTO DE LA LECTURA Y APOYO A LIBRERÍAS",100000.00,100000.00,100000.00,0.00,0.00,0.00
33210,48966,"SUBVENCIÓN A ASOCIACIÓN FERIAL DEL LIBRO ANTIGUO",18000.00,18000.00,0.00,0.00,0.00,0.00
33210,48965,"SUBVENCIÓN A ASOCIACION FERIA DEL LIBRO DE SEVILLA",75000.00,75000.00,0.00,0.00,0.00,0.00
33210,48952,"SUBVENCIÓN A ACADEMÍA DE LAS BUENAS LETRAS",15000.00,15000.00,0.00,0.00,0.00,0.00
33210,62900,"Fondos bibliograficos",60000.00,60000.00,59988.49,3988.49,0.00,0.00
33300,22609,"ACTIVIDADES CULTURALES",350000.00,350000.00,177793.66,177793.66,82231.78,72820.01
33307,22609,"ACTIVIDADES CULTURALES",176000.00,176000.00,28657.25,28657.25,28657.25,22002.25
33400,22609,"ACTIVIDADES CULTURALES",150000.00,150000.00,54085.99,54085.99,28380.54,28380.54
33400,22606,"REUNIONES Y CONFERENCIAS",12000.00,12000.00,3781.00,3781.00,3781.00,3781.00
33400,48968,"SUBVENCIÓN A ACADEMIA DE BELLAS ARTES",12000.00,12000.00,0.00,0.00,0.00,0.00
33400,48953,"SUBVENCIÓN A ATENEO DE SEVILLA",12000.00,12000.00,0.00,0.00,0.00,0.00
33400,48900,"SUBVENCIÓN A INSTITUCIONES. OTRAS TRANSFERENCIAS",200000.00,200000.00,176260.00,102260.00,102260.00,101260.00
33400,61900,"INVERSIONES REHABILITACION ARTILLERÍA",430000.00,430000.00,0.00,0.00,0.00,0.00
33401,22609,"ACTIVIDADES CULTURALES",1050500.00,1050500.00,307711.46,254817.46,156511.21,148936.91
33402,22609,"ACTIVIDADES CULTURALES",100000.00,100000.00,25652.90,25652.90,2770.59,2770.59
33402,48901,"SUBVENCIÓN A NUEVAS PROPUESTAS CULTURALES",75000.00,75000.00,75000.00,0.00,0.00,0.00
33500,22609,"ACTIVIDADES CULTURALES ARTES ESCÉNICAS",850000.00,850000.00,619643.28,619643.28,590990.29,479816.57
33500,47980,"SUBVENCIÓN A NOLETIA CIRCADA",50000.00,50000.00,50000.00,50000.00,37500.00,0.00
33500,47900,"SUBVENCIÓN A ACTIVIDAD ESPACIOS ESCENICOS Y SALAS",115000.00,115000.00,115000.00,0.00,0.00,0.00
33500,48967,"SUBVENCIÓN A AS. ESCENARIOS DE SEVILLA. FESTIVAL INT. TEATRO",75000.00,75000.00,75000.00,75000.00,56250.00,0.00
33500,48910,"SUBVENCIÓN A TRANSFORM. MUESTRA INTERNACIONAL DE DANZA",75000.00,75000.00,0.00,0.00,0.00,0.00
33500,61900,"CLIMATIZACION TEATRO ALAMEDA",65000.00,65000.00,0.00,0.00,0.00,0.00
33500,77000,"TRANFERENCIAS A ENTIDADES",50000.00,50000.00,50000.00,50000.00,0.00,0.00
33501,22609,"ACTIVIDADES CULTURALES",537000.00,537000.00,487890.94,487890.94,464155.15,451086.88
33501,47970,"SUBVENCIÓN A ORQUESTA BARROCA DE SEVILLA",77250.00,77250.00,0.00,0.00,0.00,0.00
33501,47960,"SUBVENCIÓN A LA MOTA EDICIONES S.C.A. MONKEY WEEK",50000.00,50000.00,50000.00,50000.00,0.00,0.00
33501,47950,"SUBVENCIÓN A FUNDACION FESTIVAL TERRITORIOS",77250.00,77250.00,77250.00,77250.00,57937.50,57937.50
33502,22609,"ACTIVIDADES CULTURALES",950000.00,950000.00,409078.23,409078.23,63831.35,33155.15
93400,35900,"OTROS GASTOS FINANCIEROS",5150.00,5150.00,2800.92,2800.92,2800.92,0.00
