"Código_del_Área","Denominación_del_Área","Código_de_la_Dirección_General","Denominación_de_la_Dirección_General","Clasificación_Orgánica","Denominación_de_la_Clasificación_Orgnánica","Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
"","","","","","",33401,"CINE",22602,"PUBLICIDAD. CINE",""," 152.257,00 € ",,,,
"","","","","","",33401,"CINE",22609,"ACTIVIDADES CULTURALES . CINE"," 1.050.500,00 € "," 154.000,00 € ",86876.07,86876.07,23809.92,16194.18
"","","","","","",33401,"CINE",22799,"TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES. CINE",""," 312.354,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33402,"ARTE EMERGENTE Y NUEVOS MEDIOS",22609,"ACTIVIDADES CULTURALES. ARTE EMERGENTE Y NUEVOS MEDIOS"," 100.000,00 € "," 150.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33403,"PROGRAMA AÑO MURILLO",22400,"SEGUROS",""," 80.000,00 € ",,,,
"","","","","","",33403,"PROGRAMA AÑO MURILLO",22602,"PUBLICIDAD Y PROPAGANDA",""," 125.000,00 € ",,,,
"","","","","","",33403,"PROGRAMA AÑO MURILLO",22606,"REUNIONES Y CONFERENCIAS",""," 60.000,00 € ",,,,
"","","","","","",33403,"PROGRAMA AÑO MURILLO",22609,"ACTIVIDADES CULTURALES ",""," 472.000,00 € ",,,,
"","","","","","",33403,"PROGRAMA AÑO MURILLO",22799,"TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES",""," 400.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33404,"ARTES ESCENICAS",22609,"ACTIVIDADES CULTURALES . ARTES ESCENICAS"," 850.000,00 € "," 775.000,00 € ",154926.50,154926.50,48930.50,5209.79
"","","","","","",,"",,"","","",,,,
"","","","","","",33405,"MÚSICA",22609,"ACTIVIDADES CULTURALES . MUSICA"," 537.000,00 € "," 500.000,00 € ",128376.00,128376.00,726.00,
"","","","","","",,"",,"","","",,,,
"","","","","","",33406,"FLAMENCO",22609,"ACTIVIDADES CULTURALES . FLAMENCO"," 950.000,00 € "," 200.000,00 € ",10877.90,10877.90,10877.90,
"","","","","","",,"",,"","","",,,,
"","","","","","",33407,"PROGRAMA CULTURA JOVEN",22609,"ACTIVIDADES CULTURALES",""," 80.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33601,"PATRIMONIO HISTÓRICO",22706,"ESTUDIOS Y TRABAJOS TÉCNICOS",""," 40.750,00 € ",,,,
"","","","","","",,"",,"TOTAL CAPITULO 2"," 8.059.415,69 € "," 8.218.913,80 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",1101,"",31000,"INTERESES PRESTAMOS AYTO PAGO A PROVEEDORES"," 4.294,32 € "," 3.653,93 € ",,,,
"","","","","","",93400,"",35900,"OTROS GASTOS FINANCIEROS",""," 16.000,00 € ",,,,
"","","","","","",93400,"",35200,"INTERESES DE DEMORA"," 5.150,00 € "," 5.000,00 € ",,,,
"","","","","","",,"",,"TOTAL CAPITULO 3"," 9.444,32 € "," 24.653,93 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33210,"FOMENTO LIBRO Y LECTURA",48952,"SUBVENCIÓN A ACADEMÍA DE LAS BUENAS LETRAS",""," 16.500,00 € ",,,,
"","","","","","",33210,"FOMENTO LIBRO Y LECTURA",48965,"SUBVENCIÓN A ASOCIACION FERIA DEL LIBRO DE SEVILLA",""," 75.000,00 € ",,,,
"","","","","","",33210,"FOMENTO LIBRO Y LECTURA",48966,"SUBVENCIÓN A ASOCIACIÓN FERIAL DEL LIBRO ANTIGUO",""," 25.000,00 € ",,,,
"","","","","","",33210,"FOMENTO LIBRO Y LECTURA",48968,"SUBVENCIÓN PARA EL FOMENTO DE LA LECTURA Y APOYO A LIBRERÍAS",""," 95.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33400,"FOMENTO DE LA CULTURA",48900,"SUBVENCIÓN A INSTITUCIONES. OTRAS TRANSFERENCIAS"," 200.000,00 € "," 200.000,00 € ",4000.00,,,
"","","","","","",33400,"FOMENTO DE LA CULTURA",48953,"SUBVENCIÓN A ATENEO DE SEVILLA",""," 15.000,00 € ",,,,
"","","","","","",33400,"FOMENTO DE LA CULTURA",48968,"SUBVENCIÓN A ACADEMIA DE BELLAS ARTES",""," 15.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33402,"ARTE EMERGENTE Y NUEVOS MEDIOS",48901,"SUBV. A NUEVAS PROPUESTAS CULTURALES",""," 20.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33404,"ARTES ESCENICAS",48967,"SUBVENCIÓN A ASOCI. ESCENARIOS DE SEVILLA. FESTIVAL INTERN. TEATRO",""," 95.000,00 € ",,,,
"","","","","","",33404,"ARTES ESCENICAS",47900,"SUBVENCIÓN A ACTIVIDAD ESPACIOS ESCENICOS Y SALAS"," 115.000,00 € "," 165.000,00 € ",,,,
"","","","","","",33404,"ARTES ESCENICAS",47980,"SUBVENCIÓN A NOLETIA CIRCADA",""," 50.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33404,"ARTES ESCENICAS",48910,"SUBVENCIÓN A TRANSFORM. MUESTRA INTERNACIONAL DE DANZA",""," 75.000,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33405,"MÚSICA",47970,"SUBVENCIÓN A ORQUESTA BARROCA DE SEVILLA",""," 85.000,00 € ",,,,
"","","","","","",33405,"MÚSICA",47960,"SUBVENCIÓN A LA MOTA EDICIONES S.C.A. MONKEY WEEK",""," 50.000,00 € ",,,,
"","","","","","",33405,"MÚSICA",47950,"SUBVENCIÓN FUNDACION FESTIVAL TERRITORIOS",""," -   € ",,,,
"","","","","","",33405,"MÚSICA",48930,"SUBVENCION JUVENTUDES MUSICALES",""," 5.000,00 € ",,,,
"","","","","","",,"",,"TOTAL CAPITULO 4"," 315.000,00 € "," 986.500,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33000,"ADMINISTRACION GENERAL DE CULTURA",61900,"Inversiones de reposición en bienes y edificios",""," 60.000,00 € ",,,,
"","","","","","",33000,"ADMINISTRACION GENERAL DE CULTURA",62600,"EQUIPOS PROCESOS INFORMACIÓN",""," 5.000,00 € ",,,,
"","","","","","",33000,"ADMINISTRACION GENERAL DE CULTURA",62900,"Inversiones Nuevas asociadas a mejoras de funcionamiento",""," 50.000,00 € ",,,,
"","","","","","",33210,"FOMENTO LIBRO Y LECTURA",61900,"DIGITALIZACIÓN HEMEROTECA",""," 60.000,00 € ",,,,
"","","","","","",33210,"FOMENTO LIBRO Y LECTURA",62900,"FONDOS BIBLIOGRÁFICOS",""," 175.250,00 € ",,,,
"","","","","","",33400,"FOMENTO DE LA CULTURA",61900,"INVERSIONES REHABILITACION EDIFICIOS ",""," 365.000,00 € ",,,,
"","","","","","",33500,"ARTES ESCENICAS",61900,"CLIMATIZACION TEATRO ALAMEDA",""," -   € ",,,,
"","","","","","",33403,"PROGRAMA MURILLO",62900,"INVERSIONES NUEVAS ASOCIADAS A MEJORAS DE FUNCIONAMIENTO",""," 400.000,00 € ",,,,
"","","","","","",,"",,"TOTAL CAPITULO 6"," -   € "," 1.115.250,00 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",33500,"",77000,"Transferencias a Entidades","","",,,,
"","","","","","",,"",,"TOTAL CAPITULO 7"," -   € "," -   € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",1101,"",91100,"Amortización préstamo "," 39.263,15 € "," 39.263,15 € ",,,,
"","","","","","",,"",,"TOTAL CAPITULO 9"," 39.263,15 € "," 39.263,15 € ",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"TOTAL"," 8.729.787,16 € "," 10.706.000,00 € ",1968367.05,1914055.25,519400.21,242310.23
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
"","","","","","",,"",,"","","",,,,
