"Clasificación_Económica","Descripción_Clasificación_Económica","Previsiones_Iniciales","Derechos_Reconocidos_Totales","Derechos_Reconocidos_Netos","Recaudación_Líquida"
55000,"CONCESIONES ADMINISTRATIVAS CON CONTRAPRESTACIÓN PERIÓDICA",5727076.00,3519295.54,3519295.54,611944.50
61900,"ENAJENACIÓN VIVIENDAS Y LOCALES DE NEGOCIOS",180000.00,271500.00,271500.00,271500.00
75060,"OTRAS TRANSF. DE CAPITAL CONVENIOS CON LA C.A",0.00,0.00,0.00,0.00
79101,"SUBVENCIÓN DUSI",2479114.37,0.00,0.00,0.00
82120,"REINTEGRO DE PRÉSTAMOS DE ENTIDADES LOCALES",3829358.86,1918431.39,1918431.39,1918431.39
83001,"REINTEGRO DE ANTICIPOS A FUNCIONARIOS",1101012.00,228400.00,228400.00,11394.41
83002,"REINTEGROS DE ANTICIPOS A LABORALES",1101012.00,129000.00,129000.00,0.00
87000,"Para gastos generales",0.00,0.00,0.00,0.00
87010,"Para gastos con financiación afectada",0.00,0.00,0.00,0.00
91100,"PRESTAMOS A L/P DE ENTES DEL SECTOR PÚBLICO",0.00,0.00,0.00,0.00
91300,"PRESTAM.RECIBIDOS L/P. DE ENTES FUERA DEL SECTOR PBCO.",18839552.60,0.00,0.00,0.00
,"",,,,
