"Org.","Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
70000,340,83000,"Préstamos al personal a corto plazo",36097.00,36097.00,36000.00,36000.00,36000.00,36000.00
70000,341,22799,"Servicios Generales Mantenimiento y Conservación",301500.00,301500.00,213951.58,85811.58,67606.45,58404.68
70000,341,22609,"Gastos en actividades deportivas",314878.07,314878.07,282069.93,226569.93,87765.43,74221.10
70000,341,22603,"Publicación en diarios oficiales",3000.00,3000.00,2108.02,2108.02,2108.02,2922.77
70000,341,22602,"Publicidad, propaganda y merchandising",253095.50,253095.50,200438.33,200438.33,59650.59,59367.45
70000,341,22699,"Otros gastos diversos",5327523.60,5327523.60,5194361.71,5181971.71,2146407.11,1945776.73
70000,341,48900,"Convenios",315700.00,315700.00,259200.00,259200.00,206950.00,189200.00
70000,341,48902,"Subvenciones",1340490.00,1340490.00,1314958.75,709114.85,220872.88,166290.63
70000,341,48100,"PREMIOS, BECAS Y PP. ESTUDIOS E INVESTIG",50000.00,50000.00,21760.00,21760.00,0.00,0.00
70000,341,47900,"Otras subvenciones a empresas privadas",156232.60,156232.60,57594.29,54144.87,14494.13,4943.63
70000,342,22104,"Vestuario.",87919.41,87919.41,121991.30,121991.30,49991.30,49991.30
70000,342,21200,"Reparac. manteni. edificios y o.construc",741495.80,701238.38,439551.51,394551.51,35789.33,35517.08
70000,342,22102,"Gas.",504500.00,504500.00,295350.98,295350.98,295350.98,289295.38
70000,342,20600,"Arrendamientos de equipos para procesos de información.",54297.00,54297.00,57712.63,57712.63,32377.73,26543.55
70000,342,22101,"Agua.",275000.00,275000.00,135978.58,135978.58,116728.58,116728.58
70000,342,20800,"Arrendamiento de otro inmovilizado mater",34040.00,34040.00,21538.00,21538.00,5458.64,4087.71
70000,342,22100,"Energía eléctrica.",1178619.41,1178619.41,487966.74,487966.74,487966.74,445306.88
70000,342,22701,"Seguridad",1277552.49,1277552.49,1373650.00,1373650.00,714194.66,631219.71
70000,342,20400,"Arrendamiento material de transporte",15000.00,15000.00,15000.00,15000.00,0.00,0.00
70000,342,22706,"Estudios trabajos técnicos",145503.83,145503.83,107803.49,107803.49,31941.85,28599.83
70000,342,20300,"Arrendamiento maquin. instalac. y utill.",3000.00,3000.00,6157.27,6157.27,3157.27,3157.27
70000,342,21300,"Reparac. manten, maquin.,insta y utilla.",364761.59,364761.59,143952.96,143952.96,13632.02,13632.02
70000,342,22700,"Limpieza y Aseos",1156378.12,1156378.12,1180316.10,1180316.10,522437.70,447122.92
70000,342,22110,"Productos de limpieza y aseo.",1000.00,1000.00,0.00,0.00,0.00,0.00
70000,342,22103,"Combustibles y carburantes.",30000.00,30000.00,8615.17,8615.17,8615.17,8615.17
70000,342,63200,"Reparación de edificios y otras construcciones",1526396.48,1526396.48,1166473.02,1094478.02,559450.38,546642.04
70000,342,62300,"Maquinaria, instalaciones y utillaje",203184.34,203184.34,53184.34,53184.34,28128.51,28128.51
70000,342,62200,"Edificios y otras construcciones",1079662.99,1079662.99,233292.41,212365.69,72438.45,72438.45
70000,342,63300,"Reparación maquinaria, instalaciones y utillaje",346256.32,346256.32,159999.98,0.00,0.00,0.00
70000,342,63900,"Otras inv. reposición asoc. al funcionamiento op. serv.",1000.00,1000.00,0.00,0.00,0.00,0.00
70000,342,77000,"Transferencias a empresas y/o entidades privadas",0.00,0.00,0.00,0.00,0.00,0.00
