"Org.","Fun.","Eco.","Descripción","Créditos Iniciales","Créditos Totales consignados","Gastos Autorizados","Disposiciones ó Compromisos","Obligaciones Reconocidas","Pagos Realizados"
0,1500,22602,"PUBLICIDAD. PROGRAMA DE INFORMACION Y DIFUSION DE OBRAS",45000.00,40000.00,19223.66,19223.66,19223.66,11414.93
0,1500,22699,"OTROS GASTOS DIVERSOS",290000.00,290000.00,53674.75,32005.83,29394.82,23424.45
0,1500,22400,"SEGUROS DE BIENES EN GENERAL",24000.00,24000.00,20480.18,20480.18,14203.38,14203.38
0,1500,22701,"SEGURIDAD",480000.00,480000.00,473726.27,293124.76,174047.64,174047.64
0,1500,22100,"ENERGIA ELECTRICA",232500.00,232500.00,248489.65,248489.65,88833.99,69855.84
0,1500,22104,"VESTUARIO",5000.00,5000.00,5000.00,5000.00,73.52,73.52
0,1500,22700,"LIMPIEZA Y ASEO",274000.00,274000.00,298518.59,298518.59,114713.47,91243.64
0,1500,22606,"CONFERENCIAS, CONGRESOS, CURSOS. PROG CONC. USO BICICLETA.",115000.00,100000.00,0.00,0.00,0.00,0.00
0,1500,22103,"COMBUSTIBLES Y CARBURANTES",20000.00,20000.00,21949.18,21949.18,5521.58,5521.58
0,1500,22001,"PRENSA REVISTAS, LIBROS Y OTRAS PUBLICACIONES",8000.00,8000.00,6262.38,6262.38,5882.38,5761.93
0,1500,22200,"SERVICIOS DE TELECOMUNICACIONES",90000.00,90000.00,83751.10,83751.10,27187.69,22279.74
0,1500,22101,"AGUA",19650.00,19650.00,13632.70,13632.70,1121.43,1096.06
0,1500,22201,"POSTALES",135000.00,135000.00,73103.43,73103.43,49772.50,37227.70
0,1500,23020,"DIETAS DEL PERSONAL NO DIRECTIVO",3000.00,3000.00,0.00,0.00,0.00,0.00
0,1500,23010,"DIETAS DEL PERSONAL DIRECTIVO",600.00,600.00,0.00,0.00,0.00,0.00
0,1500,23110,"DESPLAZAMIENTO DEL PERSONAL DIRECTIVO",800.00,800.00,99.40,99.40,99.40,99.40
0,1500,23120,"DESPLAZAMIENTO DEL PERSONAL NO DIRECTIVO",50000.00,50000.00,42712.68,42712.68,42307.93,40397.19
0,1500,35200,"INTERESES DE DEMORA",1500000.00,1550000.00,642570.49,642570.49,640740.90,554683.86
0,1500,65000,"INVERSIONES GESTIONADAS PARA OTROS ENTES PUBLICOS",0.00,0.00,0.00,0.00,0.00,0.00
0,1510,10100,"RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO",51796.76,51796.76,29915.62,29915.62,29915.62,29915.62
0,1510,10101,"OTRAS RETRIBUCIONES BÁSICAS PERSONAL DIRECTIVO",13116.80,13116.80,4484.01,4484.01,4484.01,4484.01
0,1510,12004,"SUELDOS DEL GRUPO C2",50840.37,50840.37,22771.50,22771.50,22771.50,22771.50
0,1510,12000,"SUELDOS DEL GRUPO A1",94091.80,94091.80,45350.27,45350.27,45350.27,45350.27
0,1510,12101,"COMPLEMENTO ESPECIFICO",885918.13,885918.13,477759.13,477759.13,477759.13,477759.13
0,1510,12001,"SUELDOS DEL GRUPO A2",23245.68,23245.68,10964.34,10964.34,10964.34,10964.34
0,1510,12006,"TRIENIOS",164608.42,164608.42,77546.29,77546.29,77546.29,77546.29
0,1510,12003,"SUELDOS DEL GRUPO C1",17453.28,17453.28,8640.24,8640.24,8640.24,8640.24
0,1510,13000,"RETRIBUCIONES BASICAS",4051860.85,4051860.85,1836334.58,1836334.58,1836334.58,1836334.58
0,1510,13002,"OTRAS REMUNERACIONES",4326557.85,4326557.85,2216736.21,2216736.21,2216736.21,2216736.21
0,1510,13101,"HORAS EXTRAORDINARIAS",478.37,478.37,485.24,485.24,485.24,485.24
0,1510,13102,"OTRAS REMUNERACIONES",1032637.05,1032637.05,574852.37,574852.37,574852.37,574852.37
0,1510,13100,"RETRIBUCIONES BASICAS",1256414.82,1256414.82,573856.64,573856.64,573856.64,573856.64
0,1510,13001,"HORAS EXTRAORDINARIAS",1349.01,1349.01,889.71,889.71,889.71,889.71
0,1510,15100,"GRATIFICACIONES",172.21,172.21,0.00,0.00,0.00,0.00
0,1510,16204,"ACCION SOCIAL",94019.50,94019.50,61715.21,61715.21,61715.21,61715.21
0,1510,16000,"SEGURIDAD SOCIAL",2810405.75,2810405.75,120124.89,120124.89,120124.89,120124.89
0,1510,16205,"SEGUROS",29862.40,29862.40,0.00,0.00,0.00,0.00
0,1510,16200,"FORMACION Y PERFECCIONAMIENTO DEL PERSONAL",16135.32,16135.32,250.00,250.00,0.00,0.00
0,1510,16008,"Asistencia médico-farmacéutica",100917.52,100917.52,34568.69,2105.96,1052.98,0.00
0,1510,21200,"CONSERVACION BIENES P.M.S.",102000.00,102000.00,131087.49,131087.49,25680.98,24663.08
0,1510,22799,"OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES",670002.00,1048268.24,609815.44,609815.44,179020.38,143085.95
0,1510,48922,"A OTRAS ENTIDADES SIN ANIMO DE LUCRO",10000.00,28000.00,0.00,0.00,0.00,0.00
0,1510,60900,"OTRAS INVERSIONES NUEVAS EN INF. Y BIENES DEST. AL USO GRAL",715769.97,715769.97,394877.75,236944.97,215769.97,0.00
0,1510,60000,"INVERSIONES EN TERRENOS",175000.00,175000.00,0.00,0.00,0.00,0.00
0,1510,61950,"INVERSIONES EN INFRAESTRUCTURAS EN ZONA URBAN SUR",175000.00,175000.00,8176.84,8176.84,0.00,0.00
0,1510,61900,"ACTUACIONES GENERALES DE REPOSICIÓN",6943938.00,6943938.00,4477911.71,1167289.95,425592.90,335666.29
0,1510,62200,"EDIFICIOS Y OTRAS CONSTRUCCIONES",2009707.93,2009707.93,1357189.33,1044048.33,998428.83,705396.24
0,1510,62600,"EQUIPOS PARA PROCESOS DE INFORMACION",100000.00,100000.00,36564.02,36564.02,19103.33,18946.51
0,1510,62500,"MOBILIARIO Y EQUIPOS DE OFICINA",25584.51,25584.51,20328.08,20328.08,2841.38,2841.38
0,1510,62100,"TERRENOS Y BIENES NATURALES",3835142.97,3835142.97,3835142.97,3835142.97,3835142.97,2244014.83
0,1510,64100,"APLICACIONES INFORMÁTICAS",0.00,0.00,0.00,0.00,0.00,0.00
0,1510,68100,"INVERSIONES DEL PATRIMONIO MUNICIPAL DEL SUELO (PMS)",4556572.12,4556572.12,184517.07,156792.67,73736.58,65619.47
0,1510,72109,"A otros organismos autónomos",300000.00,300000.00,0.00,0.00,0.00,0.00
0,1510,72300,"A sociedades mercantiles estatales, entidades públicas empre",500000.00,500000.00,0.00,0.00,0.00,0.00
0,1510,72100,"A ORGANISMOS AUTONOMOS Y AGENCIAS",0.00,0.00,0.00,0.00,0.00,0.00
0,1510,78050,"AYUDAS REHABILITACION PRIVADA PROYECTO URBAN SUR",400000.00,400000.00,278910.09,278910.09,0.00,0.00
0,1510,78009,"REHABILITACION MONUMENTOS HISTORICOS",100000.00,100000.00,54105.00,54105.00,54105.00,54105.00
0,1510,78004,"AYUDAS REHABILITACION PRIVADA",1099000.00,1099000.00,357677.68,328693.69,314665.35,194749.08
0,1510,6220007,"EDIFICIOS Y OTRAS CONSTRUCCIONES",0.00,18500.00,18500.00,18500.00,0.00,0.00
0,1522,12000,"SUELDOS DEL GRUPO A1",13441.69,13441.69,7763.35,7763.35,7763.35,7763.35
0,1522,12004,"SUELDOS DEL GRUPO C2",7262.91,7262.91,3595.50,3595.50,3595.50,3595.50
0,1522,12101,"COMPLEMENTO ESPECIFICO",105194.81,105194.81,56083.27,56083.27,56083.27,56083.27
0,1522,12006,"TRIENIOS",19995.17,19995.17,9621.48,9621.48,9621.48,9621.48
0,1522,13000,"RETRIBUCIONES BASICAS",896528.14,896528.14,400285.80,400285.80,400285.80,400285.80
0,1522,13002,"OTRAS REMUNERACIONES",867494.25,867494.25,475434.45,475434.45,475434.45,475434.45
0,1522,13001,"HORAS EXTRAORDINARIAS",1276.34,1276.34,0.00,0.00,0.00,0.00
0,1522,13101,"HORAS EXTRAORDINARIAS",638.17,638.17,0.00,0.00,0.00,0.00
0,1522,13100,"RETRIBUCIONES BASICAS",414467.79,414467.79,187813.03,187813.03,187813.03,187813.03
0,1522,13102,"OTRAS REMUNERACIONES",332865.53,332865.53,177546.80,177546.80,177546.80,177546.80
0,1522,15100,"GRATIFICACIONES",85.09,85.09,0.00,0.00,0.00,0.00
0,1522,16200,"FORMACION Y PERFECCIONAMIENTO DEL PERSONAL",3611.24,3611.24,2670.00,2670.00,170.00,20.00
0,1522,16008,"Asistencia médico-farmacéutica",22586.30,22586.30,7512.62,247.76,123.88,0.00
0,1522,16205,"SEGUROS",6683.49,6683.49,0.00,0.00,0.00,0.00
0,1522,16000,"SEGURIDAD SOCIAL",628995.57,628995.57,23138.90,23138.90,23138.90,23138.90
0,1522,16204,"ACCION SOCIAL",21042.46,21042.46,13403.82,13403.82,13403.82,13403.82
0,1522,21200,"CONSERVACION DE OTROS EDIFICIOS G.U.",40000.00,40000.00,97286.87,56953.87,40942.47,30335.51
0,1532,12001,"SUELDOS DEL GRUPO A2",23245.68,23245.68,11507.76,11507.76,11507.76,11507.76
0,1532,12006,"TRIENIOS",33660.06,33660.06,15879.72,15879.72,15879.72,15879.72
0,1532,12000,"SUELDOS DEL GRUPO A1",13441.69,13441.69,5545.25,5545.25,5545.25,5545.25
0,1532,12101,"COMPLEMENTO ESPECIFICO",160799.17,160799.17,92434.71,92434.71,92434.71,92434.71
0,1532,13000,"RETRIBUCIONES BASICAS",394458.74,394458.74,167325.63,167325.63,167325.63,167325.63
0,1532,13102,"OTRAS REMUNERACIONES",164589.87,164589.87,88720.43,88720.43,88720.43,88720.43
0,1532,13100,"RETRIBUCIONES BASICAS",174682.87,174682.87,76808.51,76808.51,76808.51,76808.51
0,1532,13001,"HORAS EXTRAORDINARIAS",1249.75,1249.75,8660.37,8660.37,8660.37,8660.37
0,1532,13101,"HORAS EXTRAORDINARIAS",499.90,499.90,9098.94,9098.94,9098.94,9098.94
0,1532,13002,"OTRAS REMUNERACIONES",417502.97,417502.97,188287.60,188287.60,185803.50,185803.50
0,1532,15100,"GRATIFICACIONES",249.95,249.95,0.00,0.00,0.00,0.00
0,1532,16200,"FORMACION Y PERFECCIONAMIENTO DEL PERSONAL",1844.04,1844.04,0.00,0.00,0.00,0.00
0,1532,16000,"SEGURIDAD SOCIAL",321189.23,321189.23,1095.18,1095.18,1095.18,1095.18
0,1532,16205,"SEGUROS",3412.84,3412.84,0.00,0.00,0.00,0.00
0,1532,16008,"Asistencia médico-farmacéutica",11533.43,11533.43,4078.20,371.64,185.82,0.00
0,1532,16204,"ACCION SOCIAL",10745.09,10745.09,6681.60,6681.60,6681.60,6681.60
0,1532,21002,"CONSERVACION DE MONUMENTOS",150000.00,150000.00,44196.14,44196.14,5627.77,5627.77
0,1532,21000,"CONSERVACION INFRAESTRUCTURAS Y B. NATURALES",4000000.00,4000000.00,4508798.63,4508798.63,894685.36,894685.36
0,1532,21003,"CONSERVACION DE ALCORQUES",150000.00,150000.00,0.00,0.00,0.00,0.00
0,1532,21001,"CONSERVACION CARRILES BUS Y BICI",500000.00,500000.00,310000.00,310000.00,134890.33,124685.27
0,1532,21004,"CONTRATO DE RESPUESTA URGENTE ANTE INCIDENCIAS ESP PUB.",100000.00,100000.00,0.00,0.00,0.00,0.00
0,1650,12006,"TRIENIOS",10101.78,10101.78,5000.88,5000.88,5000.88,5000.88
0,1650,12001,"SUELDOS DEL GRUPO A2",11622.84,11622.84,5753.88,5753.88,5753.88,5753.88
0,1650,12101,"COMPLEMENTO ESPECIFICO",68476.87,68476.87,36127.21,36127.21,36127.21,36127.21
0,1650,13000,"RETRIBUCIONES BASICAS",320243.33,320243.33,126580.16,126580.16,126580.16,126580.16
0,1650,13002,"OTRAS REMUNERACIONES",318627.54,318627.54,155056.88,155056.88,155056.88,155056.88
0,1650,13102,"OTRAS REMUNERACIONES",70468.11,70468.11,52499.84,52499.84,52499.84,52499.84
0,1650,13101,"HORAS EXTRAORDINARIAS",420.97,420.97,0.00,0.00,0.00,0.00
0,1650,13100,"RETRIBUCIONES BASICAS",84311.78,84311.78,49833.30,49833.30,49833.30,49833.30
0,1650,13001,"HORAS EXTRAORDINARIAS",1473.39,1473.39,6706.97,6706.97,6706.97,6706.97
0,1650,15100,"GRATIFICACIONES",105.24,105.24,0.00,0.00,0.00,0.00
0,1650,16205,"SEGUROS",2701.83,2701.83,0.00,0.00,0.00,0.00
0,1650,16008,"Asistencia médico-farmacéutica",9130.63,9130.63,3062.17,123.88,61.94,0.00
0,1650,16200,"FORMACION Y PERFECCIONAMIENTO DEL PERSONAL",1459.86,1459.86,0.00,0.00,0.00,0.00
0,1650,16000,"SEGURIDAD SOCIAL",254274.81,254274.81,15562.69,15562.69,15562.69,15562.69
0,1650,16204,"ACCION SOCIAL",8506.53,8506.53,3253.72,3253.72,3253.72,3253.72
0,1650,21000,"CONSERVACION INFRAESTRUCTURAS Y B. NATURALES(AL. PUBLICO)",12558345.60,12558345.60,12341147.49,12341147.49,7349376.49,4152541.08
0,1650,61915,"ACTUACIONES DE REPOSICION. MEJORA EFICIENCIA ENERGETICA.",300000.00,300000.00,0.00,0.00,0.00,0.00
0,3330,62550,"MOBILIARIO Y EQUIPOS DE OFICINA EN ZONA URBAN SUR",10711.62,10711.62,0.00,0.00,0.00,0.00
0,3370,62250,"EDIFICIOS Y OTRAS CONSTRUCCIONES EN ZONA URBAN SUR",271000.00,271000.00,0.00,0.00,0.00,0.00
0,3380,22799,"OTROS TRABAJOS REALIZADOS POR OTRAS EMPRESAS Y PROFESIONALES",390000.00,390000.00,249379.87,249379.87,249379.87,249379.87
0,9320,22708,"SERVICIOS DE RECAUDACION A FAVOR DE LA ENTIDAD",100000.00,100000.00,27241.76,27241.76,27241.76,27241.76
0,9340,83000,"ANTICIPOS REINTEGRABLES AL PERSONAL",350000.00,350000.00,147300.00,147300.00,147300.00,128300.00
0,9340,94001,"ACREEDORES POR DEPOSITOS CANCELADOS",1.00,336591.50,336590.50,336590.50,336590.50,188171.93
