"Programa_de_Gasto","Denominación_del_Programa_de_Gasto","Clasificación_Económica","Descripción_de_la_Claasificación_Económica","Créditos_Iniciales","Créditos_Totales_Consignados","Gastos_Autorizados","Disposiciones_ó_Compromisos","Obligaciones_Reconocidas","Pagos_Realizados"
962,"Gestión del Sistema Tributario",22502,"TRIBUTOS DE LAS ENTIDADES LOCALES",600.00,600.00,237.06,237.06,237.06,237.06
963,"Gestión del Sistema Tributario",22601,"ATENCIONES PROTOCOLARIAS Y REPRESENTACIONES",1500.00,1500.00,0.00,0.00,0.00,0.00
964,"Gestión del Sistema Tributario",22602,"PUBLICIDAD Y PROPAGANDA",2500.00,2500.00,169.40,169.40,169.40,169.40
965,"Gestión del Sistema Tributario",22603,"PUBLICACIÓN EN DIARIOS OFICIALES",2500.00,2500.00,0.00,0.00,0.00,0.00
966,"Gestión del Sistema Tributario",22604,"JURÍDICOS, CONTENCIOSOS",150000.00,150000.00,9026.25,9026.25,8626.25,8156.97
967,"Gestión del Sistema Tributario",22606,"REUNIONES, CONFERENCIAS Y CURSOS",1500.00,1500.00,0.00,0.00,0.00,0.00
968,"Gestión del Sistema Tributario",22699,"OTROS GASTOS DIVERSOS",12700.00,12700.00,255176.72,255176.72,250091.06,249211.06
969,"Gestión del Sistema Tributario",22700,"LIMPIEZA Y ASEO",92659.00,92659.00,99767.94,99767.94,48985.98,40522.32
970,"Gestión del Sistema Tributario",22701,"SEGURIDAD",150000.00,150000.00,142727.97,142727.97,57439.31,57439.31
971,"Gestión del Sistema Tributario",22706,"ESTUDIOS Y TRABAJOS TÉCNICOS",370000.00,370000.00,348596.01,348596.01,92876.67,92876.67
972,"Gestión del Sistema Tributario",22708,"SERVICIO RECAUDACIÓN A FAVOR DE LA ENTIDAD",2780000.00,2780000.00,2369098.80,2369098.80,77432.14,77432.14
973,"Gestión del Sistema Tributario",22799,"OTROS TRABAJOS REALIZADOS POR EMPRESAS Y PROFESIONALES",1412927.00,1412927.00,1187067.06,1187067.06,321526.75,321526.75
974,"Gestión del Sistema Tributario",23010,"DEL PERSONAL DIRECTIVO",1275.00,1275.00,0.00,0.00,0.00,0.00
975,"Gestión del Sistema Tributario",23020,"DEL PERSONAL NO DIRECTIVO",5000.00,5000.00,0.00,0.00,0.00,0.00
976,"Gestión del Sistema Tributario",23110,"GASTOS DE LOCOMOCION PERSONAL DIRECTIVO",1000.00,1000.00,0.00,0.00,0.00,0.00
977,"Gestión del Sistema Tributario",23120,"GASTOS DE LOCOMOCION PERSONAL NO DIRECTIVO",1500.00,1500.00,0.00,0.00,0.00,0.00
978,"Gestión del Sistema Tributario",40000,"Ayuntamiento de Sevilla",0.00,0.00,0.00,0.00,0.00,0.00
979,"Gestión del Sistema Tributario",46100,"A DIPUTACIONES, CONSEJOS O CABILDOS INSULARES",100000.00,100000.00,10340.94,10340.94,10340.94,10340.94
980,"Gestión del Sistema Tributario",62300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE",25000.00,25000.00,0.00,0.00,0.00,0.00
981,"Gestión del Sistema Tributario",62500,"MOBILIARIO",25000.00,25000.00,0.00,0.00,0.00,0.00
982,"Gestión del Sistema Tributario",62600,"EQUIPOS PARA PROCESOS DE INFORMACIÓN",25000.00,25000.00,2853.57,2853.57,0.00,0.00
983,"Gestión del Sistema Tributario",64100,"GASTOS EN APLICACIONES INFORMÁTICAS",20000.00,20000.00,0.00,0.00,0.00,0.00
984,"Gestión del Sistema Tributario",83000,"REINTEGROS DE ANTICIPOS DE PERSONAL",70000.00,70000.00,28300.00,28300.00,28300.00,28300.00
