"CÓDIGO PUESTO","DENOMINACIÓN","TOTAL RETRIBUCIONES"
"50313-04","AUX. INFOR. O.A.C. SEVILLA ESTE",28554.18
"50312-04","AUX. INFOR. O.A.C. MACARENA",29113.98
"50312-02","AUX. DIRECCION DPTO. ADMINISTRACION",30052.78
"50311-05","AUX. INFOR. O.A.C. TRIANA",29818.08
"50312-03","AUX. INFOR. O.A.C. MACARENA",28030.54
"50331-05","AUX. ADMVO.  NOTIFICACIONES",27379.46
"50000-05","AUXILIAR ADMVO. ASESORIA JURIDICA",27289.06
"50000-03","AUX. ADVO. DE CONTRATACION",27541.84
"50331-07","AUX. ADMVO.  NOTIFICACIONES",27379.46
"50321-06","AUX. ADVO. REC. EJECUTIVA",27289.06
"50321-07","AUX. ADVO. DE CONTABILIDAD",26530.72
"50422-03","AUX. ADVO. PLANTILLAS",26530.72
"","",
