"Ejercicio","TipoVehículo","MarcaModelo","NumBastidor","POTENCIA_FISCAL","FECHA_MATRICULACION","tipoBeneficio","desc_tipo_beneficio","porcentajeBeneficio"
2016,"TURISMO","FORD FOCUS","WF0AXXWPDA2A76306","11.63","12/03/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"VEHIC. MIXTO","RENAULT KANGOO","VF1KC0WEF28346267","9.54","12/03/2003",,"",
2016,,"JOHN DEERE 5510 N DT","AT5510C104391","21.74","13/03/2003","VA","VEHICULO AGRICOLA","100"
2016,,"SCANIA  P 94 LA","XLEP4X20004372759",,"25/03/2003",,"",
2016,"TURISMO","MITSUBISHI COLT","JMBMNCJ4A2U001037","11.63","13/03/2003",,"",
2016,"TURISMO","TATA INDICA DLX","MAT6001532PL01656","10.77","13/03/2003",,"",
2016,"VEHIC. MIXTO","CITROEN JUMPY 1.9","VF7BAWJYB86009518","12.78","14/03/2003",,"",
2016,"TURISMO","KIA KIA RIO","KNEDC243236136431","11","14/03/2003",,"",
2016,"TURISMO","CITROEN XSARA 2.0","VF7N1RHZB73742850","13.3","14/03/2003",,"",
2016,"CICL. 2 RUEDAS","YAMAHA YQ50","VG5SA141000103188","0","10/03/2003",,"",
2016,"TURISMO","FORD MONDEO","WF04XXGBB42B52885","13.3","10/03/2003",,"",
2016,,"FIAT 1200 CABRIO","118G004944","9.9","10/03/2003","VH","VEHICULO HISTORICO","100"
2016,"TURISMO","FORD FIESTA","WF0DXXGAJD2G59242","10.74","11/03/2003",,"",
2016,"TURISMO","PEUGEOT 206 1.4","VF32CKFWF43034349","10.57","11/03/2003",,"",
2016,"TURISMO","VOLKSWAGEN GOLF 1.9","WVWZZZ1JZ3B128228","12.89","11/03/2003",,"",
2016,"TURISMO","RENAULT MEGANE SCENIC","VF1JA1U0528053134","12.78","11/03/2003",,"",
2016,"TURISMO","VOLVO S60","YV1RS65P222093987","16.39","18/12/2002",,"",
2016,"TURISMO","VOLKSWAGEN GOLF 1.9 TDI","WVWZZZ1JZ1B033212","12.9","18/12/2002",,"",
2016,"TURISMO","RENAULT MEGANE CLASSIC","VF1LA0W0523452746","10.7",,,"",
2016,"CICL. 2 RUEDAS","VESPA ZIP","0019100","0",,,"",
2016,"TURISMO","CITROEN C3","VF7FC8HXB26105461","11.45","19/12/2002",,"",
2016,"TURISMO","NISSAN PRIMERA","SJNBAAP12U0038404","11.63","19/12/2002",,"",
2016,"TURISMO","MERCEDES 208 D SPRINTER","WDB9023721P555656","14.48",,,"",
2016,"TURISMO","FIAT STILO","ZFA19200000243202","12.95",,,"",
2016,"CICL. 2 RUEDAS","SUZUKI DR 50","NA11AES118218","0",,,"",
2016,"TURISMO","OPEL ASTRA","W0L0TGF4836057409","11.63","16/01/2003",,"",
2016,"TURISMO","CITROEN XSARA PICA 20HDI","VF7CHRHYB39448286","13.3","16/01/2003",,"",
2016,"TURISMO","PEUGEOT 206 1.4","VF32AKFWF42887793","10.57","04/02/2003",,"",
2016,"TURISMO","A.U.D.I. A4 2.5","WAUZZZ8E93A277095","17.88","04/02/2003",,"",
2016,"TURISMO","FIAT STILO","ZFA19200000192475","12.95","05/02/2003",,"",
2016,"TURISMO","SEAT IBIZA II 1.9","VSSZZZ6LZ3R161641","12.89","05/02/2003",,"",
2016,"TURISMO","SEAT LEON 1.6","VSSZZZ1MZ3R089499","11.64","05/02/2003",,"",
2016,"TURISMO","KIA KIA CARENS","KNEFC524135243733","13","05/02/2003",,"",
2016,"TURISMO","SKODA OCTAVIA","TMBBP41U032706326","12.89","19/12/2002",,"",
2016,"TURISMO","PEUGEOT 206 XR REFRI 1,4","VF32CKFWF42758163","10.57","19/12/2002",,"",
2016,"TURISMO","OPEL ZAFIRA","W0L0TGF7532103202","13.29","19/12/2002",,"",
2016,"TURISMO","OPEL VECTRA","W0L0ZCF6838009648","13.98","19/12/2002",,"",
2016,"TURISMO","ALFA ROMEO ALFA 147","ZAR93700003115239","12.95","17/01/2003",,"",
2016,"TURISMO","KIA KIA SHUMA II","KNEFB247235115181","11","17/01/2003",,"",
2016,"VEHIC. MIXTO","CITROEN BERL 19D FURG","VF7GCWJYB94018845","12.78","17/01/2003",,"",
2016,"TURISMO","B.M.W. 320D MAN","WBAAS71070FY16090","13","17/01/2003",,"",
2016,"TURISMO","FORD FIESTA","WF0HXXWPJH2R40827","10.69","17/01/2003",,"",
2016,"TURISMO","ALFA ROMEO ALFA 156 1.9","ZAR93200000221421","12.96","17/01/2003",,"",
2016,"TURISMO","VOLVO 8747261121","YU1LS7202X2568699","16.53",,,"",
2016,"CICL. 2 RUEDAS","APRILIA SONIC 50","ZD4PBA1002S027961","0","17/01/2003",,"",
2016,"TURISMO","FORD MONDEO","WF05XXGBB52B30593","13.3","20/12/2002",,"",
2016,"TURISMO","MAZDA MAZDA6","JMZGG14R231142418","12.49","20/12/2002",,"",
2016,"TURISMO","CITROEN XSARA PICASSO","VF7CHRHYB39365409","13.3","20/12/2002",,"",
2016,"VEHIC. MIXTO","CITROEN BERL.20HDI","VF7GJRHYB93006442","13.3","20/12/2002",,"",
2016,"TURISMO","CITROEN XSARA","VF7N1RHYB73674208","13.3","20/12/2002",,"",
2016,"TURISMO","FORD FIESTA","WF0DXXGAJD2A45402","10.27","20/12/2002",,"",
2016,"TURISMO","RENAULT KANGOO","VF1KC0WEF27993305","9.54","20/12/2002","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","A.U.D.I. A3","WAUZZZ8L63A054138","11.62","20/12/2002",,"",
2016,"TURISMO","B.M.W. 325I MAN","WBAEV31030KL37433","17","20/12/2002",,"",
2016,"TURISMO","SEAT IBIZA 1.9 TDI 5P.","VSSZZZ6KZYR126241","12.89",,,"",
2016,,"MAZDA MAZDA6","JMZGG128231138827","13.28","20/12/2002",,"",
2016,"CAMION","NISSAN ECO T 100","VWAL3524XTA388508","16.82",,,"",
2016,"TURISMO","PEUGEOT 106 XN 1.0","VF31CCDZ150501016","8.54",,,"",
2016,"TURISMO","CITROEN C3","VF7FC8HXB26567420","11.45","21/01/2003",,"",
2016,"TURISMO","PEUGEOT 206 1.4","VF32C8HXF42950401","10.75","06/02/2003",,"",
2016,"TURISMO","PEUGEOT 307 1.6","VF33ANFUB82771260","11.59","06/02/2003",,"",
2016,"TURISMO","SEAT LEON 1.9 TDI 5V","VSSZZZ1MZ3R094613","12.89","07/02/2003",,"",
2016,"TURISMO","RENAULT MEGANE","VF1LA1U0527687574","12.78",,,"",
2016,"TURISMO","FORD FOCUS","WF0AXXWPDA2G34937","12.3","23/01/2003",,"",
2016,"TURISMO","FORD FOCUS","WF0NXXWPDN2A54640","12.3","23/01/2003",,"",
2016,"MOTOCICLETA","SUZUKI GS500 EN","GM51A122204","4.32",,,"",
2016,"TODO TERRENO","OPEL FRONTERA 2.3 D","SED5JMWL4RV634097","14.33",,"VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"MOTOCICLETA","DAELIM TRS125 FELLOW","KMYSG125FKX317903","1.45",,,"",
2016,"TURISMO","KIA RIO","KNEDC243226062431","11.17",,,"",
2016,"CAMION","MERCEDES-BENZ 412 D","EDB9044131P654519","18.1",,,"",
2016,,"RENAULT ESPRESS-",,,,,"",
2016,"CICL. 2 RUEDAS","PIAGGIO NRG-H20 MC3","ZAPC3200000021897","0","23/01/2003",,"",
2016,"CICL. 2 RUEDAS","PEUGEOT BUXY","VGAS42500000000023","0","23/01/2003",,"",
2016,"CICL. 2 RUEDAS","RIEJU MRX","VTPMRX02C00204946","0","24/01/2003",,"",
2016,"REMOLQUE","PANISSARS PTC K1 R2E","TRP2512","0",,,"",
2016,"TURISMO","OPEL ASTRA","W0L0TGF4835110101","11.63","24/01/2003",,"",
2016,"TURISMO","LAND ROVER FREELANDER","SALLNABE83A250581","13","24/01/2003",,"",
2016,"TURISMO","RENAULT MEGANE SCENIC","VF1JA1U0527948055","12.78","24/01/2003",,"",
2016,"TURISMO","MERCEDES C 220","WDB2030061A485770","13.9","24/01/2003",,"",
2016,"TURISMO","VOLKSWAGEN GOLF 1.9TDI 5V 4P","WVWZZZ1JZ3U032773","12.89","10/02/2003",,"",
2016,,"SEAT CORDOBA  1.4","VSSZZZ6LZ3R169858","10.7","10/02/2003","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,,"VESPINO VELOFAX","C020019155",,"12/02/2003",,"",
2016,"TURISMO","KIA KIA RIO","KNEDC241236134338","10","11/02/2003",,"",
2016,"TURISMO","OPEL ASTRA 1.7","W0L0TGF4836041906","12.01","11/02/2003",,"",
2016,"TURISMO","VOLVO S40","YV1VS70823F957689","12",,,"",
2016,"TURISMO","RENAULT R KANGOO","VF1KC0EAF19363435","12.79",,,"",
2016,"TURISMO","PEUGEOT 307","VF33CRHSB82737609","13.31","23/12/2002",,"",
2016,"TURISMO","VOLVO S80","YV1TS793931298955","16.25","23/12/2002",,"",
2016,"TURISMO","RENAULT MEGANE","VF1CM0B0H27639995","10.7","23/12/2002",,"",
2016,"TURISMO","MAZDA MAZDA 323/323F","JMZBJ14R221445804","13.31","23/12/2002",,"",
2016,"CAMION","NISSAN CABSTAR.E","VWASBFTL022166266","16.82","03/01/2003",,"",
2016,"TURISMO","CITROEN XSARA","VF7N1RHYB73679457","13.3","03/01/2003",,"",
2016,"TURISMO","MERCEDES-BENZ S320CDI","WDB2200251A333313","20.85","03/01/2003",,"",
2016,"TURISMO","DAEWOO KALOS","KLASF48A13B018321","10.74","03/01/2003",,"",
2016,"TURISMO","PEUGEOT 206","VF32ANFUF42872668","11.59","24/01/2003",,"",
2016,"TURISMO","CITROEN XSARA","VF7N1WJYB73653580","12.78","24/01/2003",,"",
2016,"REMOLQUE","SIN MARCA VALREMOL VR-VA-900","VS935152E1V563116","0","24/01/2003",,"",
2016,"TODO TERRENO","NISSAN TERRANO II","VSKKVNR20U0203518","15",,,"",
2016,,"SEAT CORDOBA 1.4 STELLA","VSSZZZ6LZ4R036980","10.7","14/05/2004",,"",
2016,,"HONDA  CIVIC 5P 1.6 ES","SHHEU87704U312006","11.6","14/05/2004",,"",
2016,,"PEUGEOT 307 SW PACK HDI 110","VF33HRHSB83577889","13.31","13/05/2004",,"",
2016,,"CITROEN XSARA 20 HDI 90 PRE","VF7N1RHYB73875139","13.3","13/05/2004",,"",
2016,,"MERCEDES BENZ  E 220 SDI","WDB2110061A588756","13.9","13/05/2004",,"",
2016,,"RENAULT MEGANE","VF1JM0GD631624150","12.78","13/05/2004",,"",
2016,,"SSANGYONG REXTON","KPTG0B1FS4P121513","17.42","13/05/2004",,"",
2016,,"VOLKSWAGEN POLO 1.4","WVWZZZ9NZ4Y204648","10.7","13/05/2004",,"",
2016,,"MERCEDES BENZ 111 CDI","WDF63960313050242",,"14/05/2004",,"",
2016,,"MERCEDES BENZ  CLK 200 K","WDB2093421F119130","12.48","14/05/2004",,"",
2016,,"RENAULT MEGANE","VF1JMRG0631209922","12.78","14/05/2004",,"",
2016,,"YAMAHA XVS1100A","JYAVP161000004835",,"14/05/2004",,"",
2016,"TURISMO","RENAULT R 21 TURBO","VF1L4850501192209","13.2",,,"",
2016,"TURISMO","OPEL VECTRA","W0L0ZCF6836122729","13.98",,,"",
2016,"TURISMO","CITROEN XANTIA 19TD SEDU","VF7X1DHXF72160672","12.93",,,"",
2016,,"RIEJU MATRIX","VTPRS200D00405051",,"04/06/2004",,"",
2016,"VEHIC. MIXTO","CITROEN BERLINGO","VF7MFRHYB65856934","13.3",,,"",
2016,"TURISMO","FIAT FIAT PUNTO","ZFA17600002714757","12.06",,,"",
2016,,"RENAULT LAGUNA","VF1BGRF0631103942","14.05","14/05/2004",,"",
2016,,"FORD FOCUS","WF0NXXWPDN3M11239","12.3","14/05/2004",,"",
2016,,"OPEL ZAFIRA 20 DTI ELEGANCE","W0L0TGF7542176167","13.29","17/05/2004",,"",
2016,,"JEEP CHEROKEE","1J8G6N8774W130610","15.22","19/05/2004",,"",
2016,,"CITROEN XSARA 2.0 HDI","VF7N1RHYB73863362","13.3","14/05/2004",,"",
2016,"TURISMO","CITROEN C2 1.4","VF7JM8HXB97012802","11.45",,,"",
2016,"TURISMO","B.M.W. 316 TI COMPACT","WBAEZ51080KS63300","12.48","26/05/2004",,"",
2016,,"KAWASAKI NINJA ZX-10R","JKAZXT00CCA005715",,"28/05/2004",,"",
2016,,"TOYOTA COROLLA","SB1KW28E20E052661","13.3","27/05/2004",,"",
2016,,"BERLINGO","VF7GJWJYB93162688","12.78","27/05/2004",,"",
2016,,"CITROEN 3","VF7FCKFVB26966429","10.56","27/05/2004",,"",
2016,,"PEUGEOT  206 XL  REF  HDI  70","VF32C8HXF44114476","10.75","27/05/2004",,"",
2016,,"FORD FOCUS","WF0AXXWPDA3M25820","11.63","28/05/2004",,"",
2016,,"FORD MONDEO TDCI","WF05XXGBB53M54620","13.3","07/06/2004",,"",
2016,"TURISMO","RENAULT TWINGO","VF1C0635511417962","9.98",,,"",
2016,,"BARREIROS 4000 V","6BV06237690000000000","13",,"VA","VEHICULO AGRICOLA","100"
2016,"TURISMO","OPEL VECTRA","W0L0ZCF6931075913","13.29",,,"",
2016,,"NISSAN TERRANO II 2.7D","VSKKVNR20U0545004","15.81","05/05/2004",,"",
2016,,"CITROEN XSARA PICA SX HD","VF7CHRHYB39719068","13.3","05/05/2004",,"",
2016,,"SEAT IBIZA 1.4 STELLA","VSSZZZ6LZ4R212970","10.7","06/05/2004",,"",
2016,,"CITROEN  XSARA 20HDI110PR","VF7N1RHZB73865521","13.3","05/05/2004",,"",
2016,,"SSANGHONG  REXTON","KPTG0B1FS4P121110","17.42","06/05/2004",,"",
2016,,"NISSAN  CABSTAR.E","VWASBFTL043799078",,"06/05/2004",,"",
2016,,"FORD FOCUS","WF0AXXWPDA4G22228","12.3","06/05/2004",,"",
2016,,"FORD   MONDEO.","WF04XXGBB44G70661","12.49","14/05/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"SEMIRREMOLQUE","HERNANDEZ HT 4018","HT3016C100030","0",,,"",
2016,,"FORD  FIESTA.","WF0HXXWPJH3S75877","10.74","28/05/2004",,"",
2016,,"FIAT DUCATO","ZFA24400007389248",,"28/05/2004",,"",
2016,,"CITROEN C2 11IX","VF7JMHFXB97132850","9.42","28/05/2004",,"",
2016,,"CITROEN C2 14 I","VF7JMKFVB97112033","10.56","28/05/2004",,"",
2016,,"NISSAN  PRIMERA","SJNBEAP12U0165906","14.03","28/05/2004",,"",
2016,,"RENAULT KANGOO","VF1FC0NAF31652821",,"31/05/2004",,"",
2016,,"FORD FOCUS","WF0BXXGCDB4C28201","12.3","28/05/2004",,"",
2016,,"PIAGGIO X8 125","ZAPM3630000007822",,"28/05/2004",,"",
2016,,"FORD FOCUS C-MAX","WF0MXXGCDM4C34175","13.3","28/05/2004",,"",
2016,"CICL. 2 RUEDAS","PEUGEOT ELYSTAR 50","VGAG1AA1000302107","0","27/05/2004",,"",
2016,,"HONDA CIVIC 3P 1.4S","SHHEP13404U204299","10.73","31/05/2004",,"",
2016,,"FORD MONDEO","WF05XXGBB54G70798","13.3","31/05/2004",,"",
2016,"TURISMO","MERCEDES C 220","WDB2030081A674865","13.9","07/06/2004",,"",
2016,,"VOLKSWAGEN PASSAT 1.9","WVWZZZ3BZ4E319123","12.89","08/06/2004",,"",
2016,,"FORD MONDEO","WF04XXGBB44C83394","13.3","09/06/2004",,"",
2016,,"PEUGEOT 307 3P XS 1.6","VF33ANFUK83539464","11.59","08/06/2004",,"",
2016,,"PEUGEOT 307 SW 1.6","VF33HNFUB83405191","11.59","08/06/2004",,"",
2016,,"JCB 3CX-4T","0947971","21.37","09/06/2004",,"",
2016,,"YAMAHA YZF R6","JYARJ091000005964",,"09/06/2004",,"",
2016,,"OPEL VECTRA GTS 2.2 DTI","W0L0ZCF6841098816","13.98","09/06/2004",,"",
2016,,"CITROEN XS PICASSO 1.6 HDI","VF7CH9HYB39728806","11.59","17/05/2004",,"",
2016,,"ALFA ROMEO 147","ZAR93700005141210","11.63","17/05/2004",,"",
2016,,"ALFA ROMEO 147","ZAR93700003194058","12.95","17/05/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","MERCEDES-BENZ E 240","WDB2110611A054517","18.32",,,"",
2016,,"PEUGEOT 307 SW HDI 110","VF33HRHSB83566901","13.31","31/05/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","A.U.D.I. A4 AV 1,8","WAUZZZ8DZXA047020","12.42",,,"",
2016,"CICL. 2 RUEDAS","PIAGGIO ZIP 2T AIRE","ZAPC2500007002541","0","09/06/2004",,"",
2016,"TURISMO","MERCEDES C 220 CDI","WDB2030061A477301","13.9",,,"",
2016,"TURISMO","SEAT LEON","VSSZZZ1MZ3R080806","12.89",,,"",
2016,"TURISMO","OPEL MERIVA","W0L0XCE7544348098","12.01","17/05/2004",,"",
2016,,"RENAULT MEGANE","VF1CMR20531442589","11.02","18/05/2004",,"",
2016,,"HYUNDAI ACCENT CRDI","KMHCH51VP4U235541","9.96","18/05/2004",,"",
2016,"VEHIC. MIXTO","CITROEN C-15 1.9","VF7VDWT0004WT2877","12.78","17/05/2004",,"",
2016,,"OPEL CORSA 5P 1.3 CDTI ESSENTIA","W0L0XCF6844346858","10.02","18/05/2004",,"",
2016,,"SUZUKI","JS1B2111100105958",,"18/05/2004",,"",
2016,"VEHIC. MIXTO","OPEL COMBO","W0L0XCF0643044926","11.63","17/05/2004",,"",
2016,,"VOLKSWAGEN PASSAT 1.9 TDI","WVWZZZ3BZ4E311858","12.89","20/05/2004",,"",
2016,"TURISMO","ROVER 420SDI 5P","SARRTZWWRWD338853","13.29",,,"",
2016,"TURISMO","SEAT IBIZA 1.9","VSSZZZ6LZ4R175953","12.89","28/05/2004",,"",
2016,,"FORD FOCUS C-MAX","WF0MXXGCDM4G12748","11.47","31/05/2004",,"",
2016,"TURISMO","B.M.W. 320TD MAN","WBAAT71030KU00025","13.3","28/05/2004",,"",
2016,"TURISMO","B.M.W. 320 TD COMPACT","WBAAT71080KR23945","13.3","28/05/2004",,"",
2016,,"YAMAHA","VG5SA144000056653",,"14/07/2004",,"",
2016,,"M.B.K. TZR50","VTLRA032000002769",,"15/07/2004",,"",
2016,,"MERCEDES BENZ 413 CDI","WDB9046121R571679",,"14/07/2004",,"",
2016,,"PEUGEOT 307 SW 110 PACK HDI","VF33HRHSB83583298","13.31","14/07/2004",,"",
2016,,"LINDE L 18 D","350G07033918","12.89","22/07/2004",,"",
2016,,"CITROEN C-3 1.4","VF7FCKFVB27074385","11.3","15/07/2004",,"",
2016,,"ALFA ROMEO 147","ZAR93700005146249","11.63","15/07/2004",,"",
2016,,"RENAULT CLIO","VF1CB05CF29075905","9.54",,,"",
2016,"TURISMO","MERCEDES-BENZ A 170 CDI","WDB1681091J688461","12.03",,,"",
2016,,"FORD FOCUS","WF0AXXWPDA4K05212","12.3","28/07/2004",,"",
2016,"TURISMO","VOLKSWAGEN GOLF","WVWZZZ1JZ2W233437","12.89","23/07/2004",,"",
2016,,"SEAT IBIZA","VSSZZZ6LZ5R038331","10.7","27/07/2004",,"",
2016,,"FIAT STILO","ZFA19200000491190","12.95","04/08/2004",,"",
2016,,"MERCEDES BENZ C220 CDI","WDB2030081A700141","13.9","04/08/2004",,"",
2016,,"RENAULT MEGANE","VF1JMRG0631876403","12.78","04/08/2004","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"CICL. 2 RUEDAS","YAMAHA TZR50","VTL4YV00000400366","0",,,"",
2016,"TURISMO","DAEWOO KALOS","KLASF48T14B173446","9.55",,"VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"FURGONETA MIXTA","NISSAN PATROL","VSKWRG260U0444432","21.08",,,"",
2016,"TURISMO","VOLKSWAGEN GOLF 19 TDI 6V 4P","WVWZZZ1JZ1B013398","12.89",,,"",
2016,"CICL. 2 RUEDAS","YAMAHA TZR50","VTL4YV00000015358","0",,,"",
2016,"TURISMO","FORD MONDEO 4PUERT SEDAN 2,","WF04XXGBB41R32564","13.3",,,"",
2016,"TURISMO","FORD FOCUS","WF0BXXGCDB4C53893","12.3",,,"",
2016,"VEHIC. MIXTO","RENAULT TRAFIC","VF1JLDCA64Y023097","12.78",,,"",
2016,,"MERCEDES-BENZ-300 D","WDB1241301B825527","19.95",,,"",
2016,,"LAND ROVER  FREELANDER","SALLNABE84A442892","13.3","26/07/2004",,"",
2016,,"CITROEN X SARA","VF7CHNFVK39779358","11.59","26/07/2004",,"",
2016,"VEHIC. MIXTO","OPEL TIGRA","W0LJ7BCA64V643064","11.63","26/07/2004",,"",
2016,,"FORD  MONDEO","WF05XXGBB54C81509","13.3","26/07/2004",,"",
2016,,"FORD FOCUS  C-MAX","WF0MXXGCDM4K82285","11.47","27/07/2004",,"",
2016,,"CHRYSLER VOYAGER 2.5 CRDS","1C8GYN2705Y511648",,"27/07/2004",,"",
2016,,"NISSAN  MICRA 3P  1.2","SJNEBAK12U1298750","9.99","27/07/2004",,"",
2016,"TURISMO","RENAULT CLIO","VF1BBR7CF32150812","11.02","26/07/2004",,"",
2016,"TURISMO","CITROEN SAXO","VF7S0KFXF56035556","10.57",,,"",
2016,"CICL. 2 RUEDAS","VESPINO VESPINO AL","82C0084925","0",,,"",
2016,,"PEUGEOT 307 XS HDI 110","VF33CRHSB83675115","13.31","16/08/2004",,"",
2016,,"RENAULT MEGANE","VF1EM0U0631855536","13.3","16/08/2004",,"",
2016,,"OPEL MERIVA 1.7 CDTI BLUE","W0L0XCE7544416613","12.01","16/08/2004",,"",
2016,,"MERCEDES BENZ CLK 200 KOMPRESSOR","WDB2094421T003923","12.48","17/08/2004",,"",
2016,,"SKODA OCTAVIA 1.9 TDI AMBIENTE","TMBCG41U442949479","12.89","16/08/2004",,"",
2016,,"CITROEN PICASSO","VF7CHRHYB39787294","12.1","16/08/2004",,"",
2016,"VEHIC. MIXTO","KIA KIA CARNIVAL","KNEUP751256613075","16.65","13/08/2004",,"",
2016,,"HONDA CBR600F","JH2PC35F04M503926",,"18/08/2004",,"",
2016,"TURISMO","HONDA ACCORD 4P 2 0I TD","SHHCH2540XU000230","13.29",,,"",
2016,"TURISMO","NISSAN TINO 2.2","VSKTDAV10U0145305","14.03",,,"",
2016,,"FORD FOCUS C-MAX","WF0MXXGCDM4D31967","11.47","18/08/2004",,"",
2016,,"NISSAN ALMERA 5P 2.2 D","SJNFDAN16U0518330","14.03","18/08/2004",,"",
2016,,"OPEL ASTRA","W0L0AHL4848122605","12.01","19/08/2004",,"",
2016,,"MERCEDES BENZ E270 CDI","WDB2110161A647055","17.37","19/08/2004",,"",
2016,,"FORD TRANSIT CONNECT","WF0JXXTTPJ4D01579",,"19/08/2004",,"",
2016,,"CITROEN C4","VF7LC9HXC74105100","11.47","13/06/2005",,"",
2016,,"GILERA RUNNER 50","ZAPC3640000017639",,"13/07/2005",,"",
2016,,"PIAGGIO NRG POWER","ZAPC4510000006225",,"13/07/2005",,"",
2016,,"SEAT ALTEA 1.6","VSSZZZ5PZ6R003007","10.7","13/07/2005",,"",
2016,,"NISSAN PATHFINDER","VSKJVWR51U0012549","15.18","13/07/2005",,"",
2016,,"FORD FOCUS","WF05XXWPD55R64340","11.47","13/07/2005",,"",
2016,,"SUZUKI WAGON","TSMMMA43S00294227","10.03","13/07/2005",,"",
2016,"TURISMO","PEUGEOT 307 5P XRCLIM HDI 90","VF33CRHYB83664032","13.31",,,"",
2016,"TURISMO","PEUGEOT 206 1.4","VF32A8HXF43845123","10.75",,,"",
2016,,"PEUGEOT 407 ST SPORT HDI","VF36DRHRG21326229","13.3","28/07/2005","VM","VEHÍCULOS DISCAPACITADOS","100"
2016,"TURISMO","PEUGEOT 307 1.6","VF33C9HYB84133809","11.47","27/07/2005",,"",
