Expte_Nº,Expte_Departamento,Trámite,Fecha Inicio,N Registro,Año
13560/2015/GEN,Servici de Contratació i Compres,CONT-008 Aprobación de certificaciones,11-nov-15,2015037430,2015
13561/2015/GEN,Servici de Contratació i Compres,CONT-012 DEVOLUCIÓN DE LA FIANZA DEFINITIVA,11-nov-15,2015037148,2015
13562/2015/GEN,Servici de Personal,RRHHI-007 Anticipos de nómina,11-nov-15,2015037536,2015
13563/2015/GEN,Unitat dEstadistica,ESTD-002 CERTIFICADO DE EMPADRONAMIENTO HISTÓRICO,11-nov-15,2015037513,2015
13564/2015/GEN,Brigada d'Obres,Procés General - Via pública,11-nov-15,-,2015
13565/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,11-nov-15,2015037455,2015
13566/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,11-nov-15,2015036596,2015
13567/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,11-nov-15,2015037467,2015
13568/2015/GEN,Negociat Benestar Social,SSCB-015 Prestaciones económicas individualizadas,11-nov-15,2015037516,2015
13569/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,11-nov-15,2015036611,2015
13570/2015/GEN,Secció Medi Ambient,MEDI-009 INCIDENCIAS AMBIENTALES,11-nov-15,2015036656,2015
13571/2015/GEN,Negociat Benestar Social,SSCB-015 Prestaciones económicas individualizadas,11-nov-15,2015037576,2015
13572/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,11-nov-15,2015036705,2015
13573/2015/GEN,Unitat Tesoreria i Recaptació,TESO-003 FRACCIONAMIENTO O APLAZAMIENTO DE PAGO DE DEUDAS TRIBUTARIAS Y EL RESTO DE DERECHO PÚBLICO,11-nov-15,-,2015
13574/2015/GEN,Unitat Administrativa Disciplina Urbanística,"URBA-068 ORDEN DE EJECUCIÓN DE LIMPIEZA, PODA, TALA DE LA ARBOLEDA Y/O VALLADO DE LOS SOLARES O PARCELAS",11-nov-15,2015029834,2015
13575/2015/GEN,Unitat Administrativa de Llicencies,URBA-136 Declaració responsable ambiental,11-nov-15,2015036783,2015
13576/2015/GEN,Tresoreria,Procés General - Hisenda,11-nov-15,2015037206,2015
13577/2015/GEN,Negociat Benestar Social,SSCB-027 Tarjeta de usuarios/as de centros municipales de mayores,11-nov-15,2015028122,2015
13578/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,11-nov-15,2015036862,2015
13579/2015/GEN,Unitat de Comptabilitat,Proceso General,11-nov-15,-,2015
13580/2015/GEN,Unitat Tributs No Periodics,INSTÀNCIA GENERAL,11-nov-15,2015036883,2015
13581/2015/GEN,Servici de Personal,RRHHI-007 Anticipos de nómina,11-nov-15,2015037583,2015
13582/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,11-nov-15,2015036876,2015
13583/2015/GEN,"Servici de Transport, Movilitat",PROCESO GENERAL MOVILIDAD,11-nov-15,-,2015
13584/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJ-003 UTILIZACIÓN DE INSTALACIONES Y EDIFICIOS MUNICIPALES,12-nov-15,2015037540,2015
13585/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJ-001 CELEBRACIÓN DE BODA,12-nov-15,2015037546,2015
13586/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,12-nov-15,2015037588,2015
13587/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,12-nov-15,2015037609,2015
13588/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,12-nov-15,2015037007,2015
13589/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,12-nov-15,-,2015
13590/2015/GEN,Unitat de Comptabilitat,INTEI-015 Aprobación de facturas,12-nov-15,-,2015
13591/2015/GEN,"Unitat Relacions Laborals, nòmines i Seguretat Social",INSTÀNCIA GENERAL,12-nov-15,2015037645,2015
13592/2015/GEN,Servici de Personal,RRHHI-017 Retribuciones,12-nov-15,-,2015
13593/2015/GEN,Unitat Administrativa de Llicencies,URBA-137 Comunicació d`activitat inòcua,12-nov-15,2015037040,2015
13594/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,12-nov-15,2015036928,2015
13595/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,12-nov-15,2015031523,2015
13596/2015/GEN,Servici de Personal,RRHHI-010 Permisos,12-nov-15,2015037575,2015
13597/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,12-nov-15,2015037118,2015
13598/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,12-nov-15,2015029339,2015
13599/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,Proceso General,12-nov-15,-,2015
13600/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,12-nov-15,-,2015
13601/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJI-005 Vehículos municipales,12-nov-15,2015036801,2015
13602/2015/GEN,Secció Medi Ambient,MEDI-013 PARTICIPACIÓN PÚBLICA EN MEDIO AMBIENTE,12-nov-15,2015037679,2015
13603/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,12-nov-15,2015036824,2015
13604/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,12-nov-15,2015037183,2015
13605/2015/GEN,Unitat de Comptabilitat,INTEI-015 Aprobación de facturas,12-nov-15,-,2015
13606/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-007 PRORROGA DE AUTORIZACION DE TERRAZAS DE HOSTELERIA,12-nov-15,2015037676,2015
13607/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,12-nov-15,2015036846,2015
13608/2015/GEN,Unitat Administrativa de Llicencies,URBA-137 Comunicación de actividad inocua,12-nov-15,2015036983,2015
13609/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,12-nov-15,2015036869,2015
13610/2015/GEN,Unitat Administrativa de Sanitat,INSTÀNCIA GENERAL,12-nov-15,2015030016,2015
13611/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,12-nov-15,2015036911,2015
13612/2015/GEN,Unitat de Comptabilitat,INTE-024 Devolución de facturas,12-nov-15,-,2015
13613/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,12-nov-15,2015037150,2015
13614/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,12-nov-15,2015037019,2015
13615/2015/GEN,Servici de Personal,RRHH-009 Licencias retribuidas,12-nov-15,2015037345,2015
13616/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,12-nov-15,2015037029,2015
13617/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,12-nov-15,2015037114,2015
13618/2015/GEN,Negociat Benestar Social,SSCB-027 Tarjeta de usuarios/as de centros municipales de mayores,12-nov-15,2015037475,2015
13619/2015/GEN,Negociat Benestar Social,SSCB-003 SERVICIO DE AYUDA A DOMICILIO,12-nov-15,2015037116,2015
13620/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,12-nov-15,2015037038,2015
13621/2015/GEN,Negociat Benestar Social,SSCB-004 TELEASISTENCIA DOMICILIARIA,12-nov-15,2015037658,2015
13622/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,12-nov-15,2015037042,2015
13623/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,12-nov-15,2015034794,2015
13624/2015/GEN,"Unitat Relacions Laborals, nòmines i Seguretat Social",RRHH-008 Trabajos en beneficio de la comunidad,12-nov-15,-,2015
13625/2015/GEN,Unitat Administrativa de Llicencies,URBA-104 Cambio de titular de actividades,12-nov-15,2015037106,2015
13626/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",PROCESO GENERAL MOVILIDAD,12-nov-15,2015037217,2015
13627/2015/GEN,Negociat PlusValua,TESO-004 Recurso de reposición contra liquidaciones tributarias,12-nov-15,2015018406,2015
13628/2015/GEN,Unitat Administrativa de Llicencies,URBA-127 Licencia / comunicación de apertura de actividades sujetas a la Ley de espectáculos públicos mediante declaración responsable,12-nov-15,2015037171,2015
13629/2015/GEN,Unitat Tributs No Periodics,"TESO-041 BENEFICIO FISCAL POR 'MORTIS CAUSA' EN LA DECLARACIÓN DEL IIVTNU, EN LA VIVIENDA HABITUAL",12-nov-15,2015036345,2015
13630/2015/GEN,Unitat Administrativa de Llicencies,URBA-104 Cambio de titular de actividades,12-nov-15,2015037336,2015
13631/2015/GEN,Negociat Benestar Social,SSCB-008 REAGRUPAMIENTO FAMILIAR,12-nov-15,2015037741,2015
13632/2015/GEN,Negociat PlusValua,TESO-032 RECURSO DE REPOSICIÓN SOBRE LA DEVOLUCIÓN DE INGRESOS INDEBIDOS DE NATURALEZA TRIBUTARIA,12-nov-15,2015033753,2015
13633/2015/GEN,Negociat Benestar Social,SSCB-027 Tarjeta de usuarios/as de centros municipales de mayores,12-nov-15,2015037552,2015
13634/2015/GEN,Negociat Benestar Social,SSCB-025 Ayudas para tratamientos médicos crónicos,12-nov-15,2015037457,2015
13635/2015/GEN,Negociat Benestar Social,SSCB-027 Tarjeta de usuarios/as de centros municipales de mayores,12-nov-15,2015037554,2015
13636/2015/GEN,Negociat Benestar Social,SSCB-025 Ayudas para tratamientos médicos crónicos,12-nov-15,2015037483,2015
13637/2015/GEN,Unitat Administrativa de Llicencies,URBA-127 Llicència / comunicació d`obertura d`activitats subjectes a la Llei d`espectacles públics per mitjà de declaració responsable,12-nov-15,2015037380,2015
13638/2015/GEN,Unitat Administrativa de Llicencies,URBA-104 Cambio de titular de actividades,12-nov-15,2015037274,2015
13639/2015/GEN,"Unitat Relacions Laborals, nòmines i Seguretat Social",RRHH-008 Trabajos en beneficio de la comunidad,12-nov-15,-,2015
13640/2015/GEN,Unitat Tributs No Periodics,"TESO-041 BENEFICIO FISCAL POR 'MORTIS CAUSA' EN LA DECLARACIÓN DEL IIVTNU, EN LA VIVIENDA HABITUAL",12-nov-15,2015036747,2015
13641/2015/GEN,Unitat Administrativa de Sanitat,SACD-002 LICENCIA PARA ANIMALES POTENCIALMENTE PELIGROSOS,12-nov-15,2015037700,2015
13642/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015034891,2015
13643/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015034944,2015
13644/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035062,2015
13645/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035068,2015
13646/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035291,2015
13647/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035393,2015
13648/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035485,2015
13649/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035490,2015
13650/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035644,2015
13651/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035766,2015
13652/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035803,2015
13653/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035806,2015
13654/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035863,2015
13655/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',12-nov-15,2015035904,2015
13656/2015/GEN,Negociat Benestar Social,SSCB-015 Prestaciones económicas individualizadas,13-nov-15,2015037696,2015
13657/2015/GEN,Unitat Gestió de Personal,Proces General - RRHH,13-nov-15,-,2015
13658/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-007 CERTIFICADO DE DISTANCIA KILOMÉTRICA,13-nov-15,2015037783,2015
13659/2015/GEN,Servici de Contratació i Compres,CONT-006 Contrato de Servicios,13-nov-15,-,2015
13660/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-007 CERTIFICADO DE DISTANCIA KILOMÉTRICA,13-nov-15,2015037708,2015
13661/2015/GEN,Unitat administrativa area urbanisme,URBA-131 Licencia obras para canalizaciones (obras e instalaciones que afecten al subsuelo),13-nov-15,2015037752,2015
13662/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-007 CERTIFICADO DE DISTANCIA KILOMÉTRICA,13-nov-15,2015037705,2015
13663/2015/GEN,Secció Medi Ambient,MEDI-009 INCIDENCIAS AMBIENTALES,13-nov-15,-,2015
13664/2015/GEN,Lletrat,LTRA-001 Documentación procedente de otros organismos públicos,13-nov-15,2015037734,2015
13665/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,13-nov-15,2015037130,2015
13666/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-007 CERTIFICADO DE DISTANCIA KILOMÉTRICA,13-nov-15,2015037799,2015
13667/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,13-nov-15,2015037443,2015
13668/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,13-nov-15,2015037482,2015
13669/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,13-nov-15,2015037529,2015
13670/2015/GEN,Negociat Benestar Social,SSCB-027 Tarjeta de usuarios/as de centros municipales de mayores,13-nov-15,2015036835,2015
13671/2015/GEN,Unitat Administrativa de Llicencies,URBA-130 Licencia de obras de vallado,13-nov-15,2015037409,2015
13672/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-004 TARJETA MUNICIPAL DE ARMAS,13-nov-15,2015036304,2015
13673/2015/GEN,Servici de Contratació i Compres,CONT-005 Contrato de obras,13-nov-15,-,2015
13674/2015/GEN,Servici de Contratació i Compres,CONT-008 Aprobación de certificaciones,13-nov-15,2015037570,2015
13675/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,13-nov-15,2015037756,2015
13676/2015/GEN,Negociat Benestar Social,SSCB-021 PLAZA PÚBLICA DE RESIDENCIA DE TERCERA EDAD,13-nov-15,2015037748,2015
13677/2015/GEN,Servici de Contratació i Compres,CONT-005 Contrato de obras,13-nov-15,-,2015
13678/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',13-nov-15,2015035998,2015
13679/2015/GEN,Negociat Benestar Social,EDUC-008 Concesión subvención y justificación de la 'Ajuda bebé',13-nov-15,2015036006,2015
13680/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,13-nov-15,2015036720,2015
13681/2015/GEN,Negociat Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,13-nov-15,2015036893,2015
13682/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,13-nov-15,2015037027,2015
13683/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,13-nov-15,2015037033,2015
13684/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,13-nov-15,2015037052,2015
13685/2015/GEN,Servici de Contratació i Compres,CONT-006 Contrato de Servicios,13-nov-15,-,2015
13686/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,13-nov-15,2015037275,2015
13687/2015/GEN,Unitat Administrativa de Llicencies,URBA-115 Licencia urbanística de edificación (Obra mayor),13-nov-15,2015037562,2015
13688/2015/GEN,Servici de Contratació i Compres,CONT-006 Contrato de Servicios,13-nov-15,-,2015
13689/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,13-nov-15,2015037363,2015
13690/2015/GEN,Servici de Contratació i Compres,CONT-007 Contrato de suministro,13-nov-15,-,2015
13691/2015/GEN,Unitat Administrativa de Sanitat,SACD-007 REGISTRO MUNICIPAL DE ANIMALES DE COMPAÑÍA,13-nov-15,2015037811,2015
13692/2015/GEN,Servici de Personal,Procés General - RRHH,13-nov-15,-,2015
13693/2015/GEN,Servici de Contratació i Compres,CONT-006 Contrato de Servicios,13-nov-15,-,2015
13694/2015/GEN,Secció Àrea Técnica. Benestar Social,SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA,13-nov-15,2015037421,2015
13695/2015/GEN,Unitat Tributs No Periodics,TESOI-045 Designación letrado representación ayuntamiento,13-nov-15,2015037734,2015
13696/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJ-001 CELEBRACIÓN DE BODA,13-nov-15,2015037845,2015
13697/2015/GEN,Secció de Llicencies,FEST-001 AUTORIZACIÓN DE EVENTOS DE FIESTAS Y ENTIDADES POPULARES,13-nov-15,2015036713,2015
13698/2015/GEN,Unitat d'Educació,Proceso General,13-nov-15,-,2015
13699/2015/GEN,Servici de Contratació i Compres,CONT-007 Contrato de suministro,13-nov-15,-,2015
13700/2015/GEN,Unitat Òrgan de Suport a Junta de Govern i Regidor Secretari,UORJ-001 CELEBRACIÓN DE BODA,16-nov-15,2015037966,2015
13701/2015/GEN,Unitat dEstadistica,ESTD-012 INFORMACIÓN ESTADÍSTICA Y PADRONAL,16-nov-15,2015037958,2015
13702/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,16-nov-15,2015037801,2015
13703/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,16-nov-15,2015037664,2015
13704/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,16-nov-15,2015037956,2015
13705/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,16-nov-15,2015037666,2015
13706/2015/GEN,"Servici de Mobilitat, Transport i relacions amb idea't",MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA,16-nov-15,2015037653,2015
13707/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,16-nov-15,2015037674,2015
13708/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,16-nov-15,2015037720,2015
13709/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,16-nov-15,2015037678,2015
13710/2015/GEN,Unitat dEstadistica,ESTD-009 CERTIFICADO DE NÚMERO DE POLICÍA,16-nov-15,2015037843,2015
13711/2015/GEN,Unitat Administrativa de Llicencies,URBA-130 Licencia de obras de vallado,16-nov-15,2015037711,2015
13712/2015/GEN,Unitat Administrativa de Llicencies,URBA-102 Obras sujetas a declaración responsable,16-nov-15,2015037788,2015
13713/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-007 CERTIFICADO DE DISTANCIA KILOMÉTRICA,16-nov-15,2015037567,2015
13714/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,16-nov-15,-,2015
13715/2015/GEN,Servici de Contratació i Compres,CONT-006 Contrato de Servicios,16-nov-15,-,2015
13716/2015/GEN,Unitat Administrativa de Llicencies,URBA-115 Licencia urbanística de edificación (Obra mayor),16-nov-15,2015037769,2015
13717/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,16-nov-15,-,2015
13718/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,16-nov-15,2015037587,2015
13719/2015/GEN,TDIC,INSTÀNCIA GENERAL,16-nov-15,2015037453,2015
13720/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,16-nov-15,-,2015
13721/2015/GEN,Servici de Contratació i Compres,CONT-006 Contrato de Servicios,16-nov-15,-,2015
13722/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,16-nov-15,2015037715,2015
13723/2015/GEN,Servici de Personal,RRHHI-007 Anticipos de nómina,16-nov-15,2015037864,2015
13724/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,16-nov-15,2015037851,2015
13725/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,16-nov-15,2015037762,2015
13726/2015/GEN,Negociat Benestar Social,SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA,16-nov-15,2015037849,2015
13727/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,16-nov-15,2015037792,2015
13728/2015/GEN,Negociat Benestar Social,SSCB-026 Prestaciones económicas de alquiler social,16-nov-15,2015037826,2015
13729/2015/GEN,Negociat Benestar Social,SSCB-015 Prestaciones económicas individualizadas,16-nov-15,2015037833,2015
13730/2015/GEN,Divisió Tecnicoadministrativa i Documental de la Policia,POLC-007 CERTIFICADO DE DISTANCIA KILOMÉTRICA,16-nov-15,2015037827,2015
13731/2015/GEN,Festes i Entitats populars,FEST-001 AUTORIZACIÓN DE EVENTOS DE FIESTAS Y ENTIDADES POPULARES,16-nov-15,2015037984,2015
13732/2015/GEN,Unitat Tesoreria i Recaptació,TESO-003 FRACCIONAMIENTO O APLAZAMIENTO DE PAGO DE DEUDAS TRIBUTARIAS Y EL RESTO DE DERECHO PÚBLICO,16-nov-15,2015037672,2015
13733/2015/GEN,Unitat Administrativa de Llicencies,URBA-104 Cambio de titular de actividades,16-nov-15,2015037393,2015
13734/2015/GEN,Negociat Benestar Social,SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES,16-nov-15,2015037361,2015
13735/2015/GEN,Negociat Benestar Social,SSCB-027 Tarjeta de usuarios/as de centros municipales de mayores,16-nov-15,2015037565,2015
13736/2015/GEN,Unitat Administrativa de Llicencies,URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones,16-nov-15,2015037433,2015
13737/2015/GEN,Negociat Benestar Social,SSCB-015 Prestaciones económicas individualizadas,16-nov-15,-,2015
