"Descripción Punto de Suministro","CUPS","Tarifa Acceso","Mes","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","total"
"LOCAL SOCIAL-ALMACEN","ES0021000010476915GK","3.0A",,1.218,1.301,1.285,1.033,837,603,928,242,245,241,274,292,8.499
"MASIA DEL JUEZ","ES0021000016373121AQ","2.0A",,1.237,1.012,802,845,437,445,478,549,131,89,27,0,6.052
"MERCADO MUNICIPAL Y CENTS, JUV. SAN GREGORIO","ES0021000008542138HG","3.0A",,3.080,3.887,2.827,2.313,1.144,1.598,4.144,3.838,3.685,2.725,1.496,2.928,33.665
"MESTRE LORENZO FUERTES JULVEZ","ES0021000016352212ZZ","3.0A",,0,0,0,0,0,0,2,0,0,0,0,0,2
"MUSICO JOSE ORTI SORIANO","ES0021000017353370GM","2.0A",,44,39,37,42,36,48,35,22,30,24,28,29,414
"OFICINA DEL AYUNTAMIENTO","ES0021000008542775EC","3.0A",,775,814,1.080,868,624,841,1.041,1.036,975,1.014,763,676,10.507
"OFICINA INFORMACION MUNICIPAL","ES0021000010712023ST","3.0A",,0,0,0,0,2.627,485,1.104,675,1.406,1.110,421,1.014,8.842
"PARC CENTRAL, BOMBEO, FASE B","ES0021000012001813HL","2.1A",,768,892,1.261,665,1.198,1.616,1.424,1.819,1.676,975,685,789,13.768
"Ptda MASIA DEL JUEZ, 8-1 46080","ES0021000008525242LJ","2.0DHA",,0,5.145,0,3.051,0,2.068,0,0,3.777,0,0,0,14.041
"RIEGO","ES0021000011888396DS","3.0A",,2,0,0,0,0,0,0,5,0,0,16,177,200
"SAN FERMIN","ES0021000016759796WS","2.0A",,12,9,10,11,11,12,11,8,11,8,14,8,125
"SAN JUSTO","ES0021000017396257MC","2.0A",,8,7,6,7,7,7,6,7,7,6,6,7,81
"SAN VALERIANO","ES0021000017122256YH","2.0A",,18,12,17,13,15,16,14,15,12,11,15,13,171
"SEMAFOROS","ES0021000011527680NP","2.0DHA",,101,90,86,98,85,97,82,88,72,68,77,80,1.024
"SERVICIOS GENERALES","ES0021000008524067ZB","2.0A",,4.230,3.304,2.941,3.095,2.296,2.103,2.013,2.568,2.344,2.586,3.566,3.302,34.348
"SERVICIOS GENERALES","ES0021000008524078ZE","2.0A",,0,6.809,0,6.125,0,3.353,0,3.830,0,4.182,0,5.754,30.053
"SERVICIOS GENERALES","ES0021000008524269TY","2.1DHA",,7.626,5.398,5.708,5.529,4.960,3.667,4.229,4.346,4.661,5.053,5.430,6.051,62.658
"VALENCIA","ES0021000016122274EF","2.1A",,1.284,1.248,1.247,1.159,1.001,1.088,1.076,1.304,1.237,1.171,1.234,1.205,14.254
"VIRGEN DE LA PAZ","ES0021000017374817QQ","2.0A",,52,42,30,52,31,43,40,46,40,36,42,42,496
,,,,1.364.350,1.210.982,1.135.238,1.212.339,867.362,913.485,915.947,887.464,1.050.642,1.024.154,1.168.914,1.239.240,12.990.117
