Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
ALUMBRADO PUBLICO,ES0021000008553770VK,2.0A, ,1.912, ,1.275, ,1.003, ,1.017, ,1.267, ,1.238,7.713
DEPEND.  MUNICIPALES  PROTECCION CIVIL,ES0021000008554451RN,2.0A, ,522, , ,369,204, ,280, ,219, ,193,1.787
ESCUELA M. PETRA,ES0021000008554903KG,2.0A, ,558, ,388, ,181, ,110, ,137, ,205,1.579
ALUMBRADO PUBLICO,ES0021000008554994WA,2.0A, ,427, ,302, ,281, ,289, ,319, ,336,1.954
ASOCIAC. VECINOS CAMI LA NORIA,ES0021000008558651TA,2.0A, ,115, ,31, ,156, ,80, ,54, ,76,511
ALUMBRADO PUBLICO,ES0021000008559868FR,2.0A, ,1.398, ,916, ,734, ,634, ,915, ,1.026,5.623
ALUMBRADO PUBLICO,ES0021000008562421AR,2.0A, ,1.383, ,940, ,819, ,804, ,900, ,1.053,5.898
DEPENDENCIA MUNICIPAL,ES0021000010374280GN,2.0A, ,157, ,85, ,55, ,92, ,62, ,70,521
ALUMBRADO PUBLICO,ES0021000010608259BN,2.0A, ,1.085, , ,804,511, ,584, ,749, ,894,4.628
ALUMBRADO PUBLICO,ES0021000010608274NG,2.0A, ,1.321, , ,957,642, ,701, ,941, ,1.148,5.710
ALUMBRADO PUBLICO,ES0021000010611048VH,2.0A, ,1.424, ,952, ,701, ,629, ,953, ,1.115,5.774
ALMACEN DEPENDENCIA MUNICIPAL,ES0021000010783064KV,2.0A, , ,52, ,47,42, ,44, ,44, ,51,280
ALUMBRADO PUBLICO,ES0021000011021210WK,2.0A, ,1.966, ,1.285, ,975, ,950, ,1.286, ,1.467,7.929
ALUMBRADO PUBLICO,ES0021000011191359VQ,2.0A, ,1.731, ,1.083, ,843, ,902, ,1.091, ,39,5.689
ALUMBRADO PUBLICO,ES0021000011421516LN,2.0A, ,86, ,61, ,47, ,49, ,61, ,68,371
ALUMBRADO PUBLICO,ES0021000011489126SW,2.0A, ,707, ,517, ,377, ,330, ,438, ,494,2.863
ALUMBRADO PUBLICO,ES0021000011846025FX,2.0A, ,316, , ,251,172, ,193, ,237, ,272,1.442
ALMACEN RIEGO. PARC CENTRAL. PASO INF.,ES0021000012001412RD,2.0A, ,245, ,536, ,304, ,48, ,314, ,68,1.514
ALUMBRADO PUBLICO,ES0021000012498171WZ,2.0A,40, , ,42, ,43,38, ,39, ,42, ,244
ALUMBRADO PUBLICO. MIGUEL SERVET,ES0021000012652540KF,2.0A, ,226, ,164, ,114, ,120, ,146, ,168,939
ALUMBRADO PUBLICO,ES0021000012956700CS,2.0A, ,34, ,36, ,32, ,35, ,34, ,35,206
ALUMBRADO,ES0021000013374733AT,2.0A, ,213, ,166, ,117, ,128, ,160, ,26,810
CONTENEDORES DE BASURA,ES0021000013665463QX,2.0A, ,46, ,51, ,47, ,50, ,47, ,48,288
ALUMBRADO PUBLICO,ES0021000013884966SR,2.0A, ,901, ,562, ,431, ,427, ,594, ,662,3.577
ALUMBRADO PUBLICO,ES0021000015338194VC,2.0A, , , , , , ,30, ,33, ,40, ,103
ALUMBRADO PUBLICO,ES0021000015968132JB,2.0A, ,307, ,206, ,143, ,160, ,208, ,21,1.045
FELIPE II (UR CUMBRES CALICANTO),ES0021000015983219WX,2.0A,60, ,50, ,40, ,32, ,41, ,50, ,272
MASIA DEL JUEZ,ES0021000016373121AQ,2.0A,51, , ,55, ,51,40, ,46, ,55,19,316
ALUMBRADO,ES0021000016576368PN,2.0A, ,1.209, ,839, ,573, ,650, ,754, ,871,4.897
ALUMBRADO,ES0021000016713525ZC,2.0A, ,45, ,34, ,52, ,41, ,46, ,39,257
C/ GASPAR NAVARRO PILES. 5 BIS,ES0021000016759786WM,2.0A, , , , , , , , , , , , ,0.00
SAN FERMIN,ES0021000016759796WS,2.0A, ,24, ,24, ,25, ,23, ,24,22, ,142
SAN VALERIANO,ES0021000017122256YH,2.0A,41, , ,43, ,43,38, ,44, ,40, ,249
GOMEZ FERRER,ES0021000017353336WV,2.0A, ,41, ,40, ,41, ,40, ,39, ,37,237
MUSICO JOSE ORTI SORIANO,ES0021000017353370GM,2.0A, ,47, ,49, ,49, ,45, ,49, ,44,283
VIRGEN DE LA PAZ,ES0021000017374817QQ,2.0A, ,50, ,49, ,49,46, ,36, ,58, ,288
SAN JUSTO,ES0021000017396257MC,2.0A,43, , ,42,39, ,41, ,40, ,39, ,245
ALZIRA (MARXADELLA),ES0021000017555513FR,2.0A, ,36, ,40, ,33, ,39, ,37, ,35,220
JESUS,ES0021000018275640JK,2.0A,37, ,39, ,37, ,37, ,37, , ,48,235
ALUMBRADO PUBLICO,ES0021000018436130EV,2.0A, , , , , , , ,304, , , , ,304
ALUMBRADO PUBLICO,ES0021000020077957ZN,2.0A, , , , , , , , , , , ,17,17
ALUMBRADO PUBLICO,ES0021000020238535GG,2.0A, , , , , , , , , , , , ,0.00
C/ MALVARROSA. 38 BIS,ES0021000020666022YJ,2.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020666034FW,2.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020666042FX,2.0A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010224227VF,2.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000008524654VT,2.0DHA, ,1.322, ,873, ,637, ,577, ,841, ,1.007,5.257
Ptda MASIA DEL JUEZ. 8 1 46080,ES0021000008525242LJ,2.0DHA, ,419, , ,326,219, ,236, ,47, ,1.209,2.457
ALUMBRADO PUBLICO,ES0021000008525243LZ,2.0DHA, , ,924, ,577,424, ,470, ,617, ,685,3.697
Ptda MASIA DEL JUEZ. 8 1 46080,ES0021000008525245LJ,2.0DHA, , , , , , , , , , , , ,0.00
AYTO.TORRENT A.P.,ES0021000008525735HT,2.0DHA, ,480, , ,379,229, ,258, ,330, , ,1.676
AYTO.TORRENT SEMAFOROS,ES0021000008531410BV,2.0DHA, ,16, ,17, ,289, ,24, ,33, ,34,413
AYTO.TORRENT SEMAFOROS,ES0021000008533915MS,2.0DHA, ,154, ,150, ,133, ,96, ,103, ,88,724
AYTO.TORRENT SEMAFOROS,ES0021000008534337RT,2.0DHA, ,95, ,93, ,86, ,32, ,35, ,28,368
AYTO.TORRENT SEMAFOROS,ES0021000008535732SS,2.0DHA,153, , ,148, ,82,72, ,69, ,71,20,614
AYTO. TORRENT A.P.,ES0021000008536138XF,2.0DHA,119, , ,120, ,119,47, ,52, ,46, ,504
AYTO.TORRENT A.P.,ES0021000008538191FJ,2.0DHA, ,1.081, , , ,1.288, ,605, ,678, ,789,4.440
AYTO.TORRENT A.P.,ES0021000008538215PZ,2.0DHA, ,720, ,559, ,475, ,132, ,132, ,138,2.157
AYTO.TORRENT A.P.,ES0021000008538249XW,2.0DHA, ,1.270, ,986, ,674, ,738, ,823, ,886,5.378
AYTO.TORRENT A.P.,ES0021000008538280BX,2.0DHA, ,665, ,474, ,373, ,347, ,418, ,461,2.737
AYTO TORRENT SEMAFOROS,ES0021000008540167RB,2.0DHA, ,209, ,121, ,111, ,112, ,109,110, ,771
ALUMBRADO PUBLICO,ES0021000008540779MW,2.0DHA, ,1.338, ,869, ,604, ,522, ,712, ,826,4.869
AYTO.TORRENT SEMAFOROS,ES0021000008542545NC,2.0DHA, ,35, ,26, ,29, ,28, ,29,27, ,174
AYTO.TORRENT A.P.,ES0021000008544201SC,2.0DHA, ,573, ,389, ,386, ,367, ,426, ,488,2.630
AYTO.TORRENT SEMAFOROS,ES0021000008546409LC,2.0DHA, ,79, ,26, ,24, , , ,36, , ,165
AYTO.TORRENT SEMAFOROS,ES0021000008551135HP,2.0DHA, ,102, , , ,75, ,34, ,33, ,32,276
AYTO.TORRENT A.P.,ES0021000008553012FE,2.0DHA, ,131, ,94, ,68, ,70, ,87, ,102,551
AYTO.TORRENT SEMAFOROS,ES0021000008553161ZX,2.0DHA,115, , ,106, ,97,90, ,95, ,94,25,622
AYTO.TORRENT A.P.,ES0021000008554642DL,2.0DHA, ,2.173, ,1.563, ,1.130, ,981, ,1.300, ,1.476,8.623
AYUNTAMIENTO TORRENTE A.P.,ES0021000008555080MC,2.0DHA, ,766, ,409, ,327, ,320, ,417, ,471,2.710
AYTO.TORRENT A.P. M.CHAPI,ES0021000008555148PL,2.0DHA, ,785, ,497, ,333, ,378, ,563, ,592,3.148
AYTO.TORRENT A.P.,ES0021000008561487PX,2.0DHA, ,656, ,484, ,450, ,459, ,496, ,539,3.085
ALUMBRADO PUBLICO,ES0021000010636798XP,2.0DHA, ,63, ,147, ,183, ,111, ,94, ,80,678
ALUMBRADO PUBLICO,ES0021000011482514AZ,2.0DHA, ,677, ,517, ,392, ,339, ,451, ,484,2.859
ALUMBRADO PUBLICO,ES0021000011489085JF,2.0DHA, ,940, ,685, ,502, ,436, ,565, ,584,3.712
SEMAFOROS,ES0021000011527680NP,2.0DHA, ,37, ,34, ,31, ,28, ,31, ,30,190
ALUMBRADO PUBLICO,ES0021000011754023DP,2.0DHA, ,731, ,503, ,339, ,373, ,480, ,543,2.967
ALUMBRADO PUBLICO,ES0021000012009881RZ,2.0DHA, ,1.578, ,1.023, ,810, ,825, ,1.042, ,1.283,6.562
ALUMB. PUBLICO. PARQUE CENTRAL. FASE B,ES0021000012268255BY,2.0DHA, ,634, ,450, ,304, ,43, ,664, ,462,2.556
ALUMB. PUBLICO. URB. MASIA PAVIA,ES0021000012712829CJ,2.0DHA, ,159, , ,115,82, ,91, ,111, ,130,689
ALUMBRADO PUBLICO,ES0021000013005063FD,2.0DHA,756, ,580, ,409, ,309, ,413, ,539, ,3.006
ALUMBRADO PUBLICO,ES0021000013005068FZ,2.0DHA,1.075, ,834, ,713, ,495, ,613, ,746, ,4.476
ALUMBRADO PUBLICO,ES0021000013976710RK,2.0DHA, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0021000015866583ZF,2.0DHA, ,723, ,467, ,372, ,415, ,289, ,650,2.916
ALUMBRADO,ES0021000016297908EJ,2.0DHA, ,515, ,393, ,303, ,292, ,379, ,433,2.315
Ptda MASIA DEL JUEZ. 8 1 46080,ES0021000017712829CJ,2.0DHA, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0021000020238527AL,2.0DHA, , , , , , , , , , , ,106,106
ALUMBRADO PUBLICO,ES0021000008525073NM,2.1A, ,6.203, ,2.472, ,1.740, ,1.982, ,2.111,1.244, ,15.753
AYTO.TORRENT ASOC.ANDALUZA,ES0021000008528530RN,2.1A, ,567, ,446, ,449, ,489, ,576,367, ,2.894
AYTO.TORRENT  ASOC.MUJERES,ES0021000008528605GH,2.1A, ,575, ,487, ,234, ,130, ,108,275, ,1.809
AYTO.TORRENT FEDERACI.APAS,ES0021000008528750BW,2.1A, ,431, ,374, ,385, , , ,1.089,353, ,2.633
BIBLIOTECA EL VEDAT,ES0021000008535179ZZ,2.1A, ,404, ,254, ,376, ,565, ,458, ,311,2.368
ALUMBRADO PUBLICO,ES0021000008539980QP,2.1A, ,1.570, ,1.257, ,884, ,823, ,965,1.218, ,6.717
ALUMBRADO PUBLICO,ES0021000008542773EH,2.1A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0021000008543669SV,2.1A, ,3.200, ,2.438, ,1.858, ,1.602,2.010, ,2.358, ,13.466
ASOCIACIÓN VECINOS 25 DE ABRIL,ES0021000008545740JH,2.1A, ,519, ,409, ,368,528, ,542, ,458, ,2.824
ALUMBRADO PUBLICO,ES0021000008547880ZL,2.1A, ,2.146, ,1.628, ,1.154, ,1.062, ,1.353,1.592, ,8.933
CLUB,ES0021000008550644CT,2.1A, ,937, , , ,1.277, ,934, , , ,1.515,4.663
ALUMBRADO PUBLICO,ES0021000008551391YB,2.1A, ,4.177, ,3.132, ,2.306, ,2.128, ,2.590, ,3.065,17.399
AYTO.TORRENT  CENTRO SALUD,ES0021000008551746KK,2.1A, ,436, ,400, ,250, ,252, ,259,252, ,1.847
CAMPO TIRO CALICANTO,ES0021000011282414CZ,2.1A,525, ,389, ,354, ,298, ,361, ,457, ,2.384
ALUMBRADO PUBLICO,ES0021000011891814CY,2.1A, ,1.497, ,962, ,881, ,742, ,864, ,1.104,6.050
PARC CENTRAL. BOMBEO. FASE B,ES0021000012001813HL,2.1A, ,314, ,368, ,461, ,585, ,409, ,356,2.493
VALENCIA,ES0021000016122274EF,2.1A,903, ,754, ,523, ,489, ,460, , ,599,3.728
DE L'ERA,ES0021000016190307JY,2.1A, ,85, ,86, ,88, ,81, ,84, ,84,508
ALUMBRADO PUBLICO,ES0021000020031301XT,2.1A, , , , , , , , , , , ,77,77
C/ BURGOS (PANTANO). 1. Bajo,ES0021000020252581QC,2.1A, , , , , , , , , , , , ,0.00
Avda OLIMPICA. 9 6 esc. 6.,ES0021000020464396AM,2.1A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010224223VA,2.1A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010224224VG,2.1A, , , , , , , , , , , , ,0.00
C/ A SECTOR 2. S/N MASIA DEL JUEZ,ES0026000010224226VY,2.1A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010251307KQ,2.1A, , , , , , , , , , , , ,0.00
SERVICIOS GENERALES,ES0021000008524269TY,2.1DHA, ,1.637, , ,1.222,817, ,903, ,1.177, ,1.317,7.073
AYTO.TORRENT A.P.,ES0021000008525230LR,2.1DHA, , ,391, ,285,223, ,246, ,307, ,329,1.781
AYTO.TORRENT A.P.,ES0021000008527918CK,2.1DHA, ,521, ,378, ,271, ,300, ,348, ,406,2.225
ALUMBRADO PUBLICO,ES0021000008534241LL,2.1DHA, , , ,2.126, ,691, ,663, ,886, , ,4.366
alumbrado publico,ES0021000008534859TQ,2.1DHA, ,3.016, ,1.994, ,1.421, ,1.376, ,1.870, ,2.291,11.967
ALUMBRADO PUBLICO,ES0021000008536500AR,2.1DHA, ,1.726, , ,1.320,859, ,1.000, , , ,2.510,7.415
AYTO.TORRENT A.P.,ES0021000008538366SG,2.1DHA, ,3.199, ,804, ,623, ,677, ,788, ,928,7.020
ALUMB.PUBLICO,ES0021000008539370NL,2.1DHA, ,1.252, ,867, ,623, ,702, ,861, ,937,5.243
AYTO.TORRENT A.P.,ES0021000008540639ET,2.1DHA, ,2.311, ,1.666, ,1.132, ,1.244, ,1.412, , ,7.766
ALUMBRADO PUBLICO,ES0021000008544154JL,2.1DHA, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0021000008552676QP,2.1DHA, ,2.092, ,1.284, ,1.087, ,1.019, ,1.340, ,1.451,8.273
AYTO.TORRENT A.P.,ES0021000008554144BG,2.1DHA, ,2.452, ,1.505, ,1.192, ,1.280, ,1.510, ,1.746,9.685
AYUNTAMIENTO DE TORRENT A.P,ES0021000008554806QE,2.1DHA, ,1.832, ,1.330, ,906, ,994, ,1.174, ,1.443,7.679
ALUMBRADO PUBLICO,ES0021000008556034RP,2.1DHA, ,1.297, , ,1.000,646, ,756, ,943, ,1.033,5.675
AYTO.TORRENT A.P.,ES0021000008557538CV,2.1DHA, ,1.736, ,1.284, ,948, ,857, ,1.081, ,1.375,7.282
AYTO.TORRENT A.P.,ES0021000008559384DT,2.1DHA, ,1.259, ,847, ,881, ,865, ,1.005, ,1.073,5.932
AYTO.TORRENT A.P.,ES0021000008561243CL,2.1DHA, ,1.131, ,779, ,674, ,643, ,775, ,893,4.894
ALUMBRADO PUBLICO,ES0021000008562012PY,2.1DHA, ,1.800, ,1.270, ,859, ,914, ,1.130, ,1.400,7.373
ALUMBRADO PUBLICO,ES0021000011001325NP,2.1DHA, ,1.511, ,1.069, ,722, ,789, ,938, ,1.109,6.138
ALUMBRADO PUBLICO,ES0021000011001328NB,2.1DHA, ,2.194, ,1.544, ,1.029, ,91, ,2.306, ,1.592,8.755
ALUMBRADO PUBLICO,ES0021000012770950VJ,2.1DHA, ,1.329, ,908, ,625, ,692, ,772, ,963,5.289
ALUMBRADO PUBLICO,ES0021000015261711GN,2.1DHA, ,772, ,539, ,464, ,397, ,495, ,577,3.242
ALUMBRADO PUBLICO,ES0021000015887457RC,2.1DHA, ,781, ,590, ,423, ,423, ,545, ,602,3.363
AYTO.TORRENT ESCUELAS,ES0021000008524832RV,3.0A,1.263,1.609,1.312,625,363,284,207,236,226,230,300,590,7.244
ALUMBRADO PUBLICO,ES0021000008524994PH,3.0A,1.985,1.516,1.573,1.345,1.012,944,863,1.104,1.095,1.084,1.435,1.321,15.278
C.P VIRGEN DEL ROSARIO,ES0021000008525258CY,3.0A,678,799,848,659,597,622,426, ,554,558,698,648,7.087
ALUMBRADO PUBLICO,ES0021000008525574BT,3.0A,1.109,782,871,746,548,518,479,593,593,586,771,743,8.337
ALUMBRADO PUBLICO,ES0021000008527192NP,3.0A,1.056,798,826,629,607,511,537,480,582,644,787,754,8.211
C.P SAN PASCUAL,ES0021000008527232ZW,3.0A,2.156,2.073,2.197,1.544,1.137,1.067,902,514,616,975,1.097,1.336,15.614
AYTO.TORRENT COLEG.PUBLICO,ES0021000008527235ZM,3.0A, ,1.991, ,1.510, ,1.203, ,552, ,1.118, ,1.331,7.705
C.P. JUAN XXIII ALTER,ES0021000008529830NR,3.0A,1.203,941,1.139,862,845,804,599,372,496,642,877,868,9.648
CAMPO DE FUTBOL,ES0021000008529831NW,3.0A,889,638,782,547,462,440,499,389,390,474,644,797,6.951
ALUMBRADO PUBLICO CALICANTO,ES0021000008530355BC,3.0A,949,734,755,638,648,579,407,494,559,538,792,743,7.836
ALUMBRADO PUBLICO CALICANTO,ES0021000008530371NJ,3.0A,722,561,572,441,400,382,298,367,429,413,578,562,5.726
ALUMBRADO PUBLICO CALICANTO,ES0021000008530391JX,3.0A,764,591,616,472, ,719,316,381,434,416,610,580,5.899
ALUMBRADO PUBLICO CALICANTO,ES0021000008530591EA,3.0A,472,369,389,293, ,399,223,275,301,279,377,358,3.735
ALUMBRADO PUBLICO,ES0021000008530632TK,3.0A,1.174,900,906,698, ,1.089,491,605,676,643,947,922,9.049
ALUMBRADO,ES0021000008530746MC,3.0A,337,251,268,225, ,225,175,208,227,147,324,298,2.683
AYTO.TORRENT CENTRO SOCIAL,ES0021000008531111KV,3.0A,245,216,219,228,247,352,396,492,422,430,437,404,4.088
ALUMBRADO PUBLICO,ES0021000008531452JJ,3.0A,1.552,1.415,1.497,1.067,859,721,813,802,953,1.017,1.376,1.154,13.228
ALUMBRADO PUBLICO,ES0021000008532456BM,3.0A,2.276,2.085,2.126,1.674,1.364,1.206,1.212,1.263,1.513,1.483,1.870,1.783,19.856
ALUMBRADO PUBLICO,ES0021000008532843MR,3.0A,1.297,1.049,1.031,796,695,581,580,665,698,794,996,890,10.073
C.P ANTONIO MACHADO,ES0021000008536629PS,3.0A,857,1.022,1.078,872,713,756,665,435,511,839,887,766,9.401
DEPENDENCIAS MUNICIPALES,ES0021000008536973TZ,3.0A,956, , ,868, ,935,1.027, ,1.141, ,679, ,5.607
ALUMBRADO PUBLICO,ES0021000008537031AA,3.0A,1.044,954,974,794,640,570,547,627,637,751,861,826,9.227
ALUMBRADO PUBLICO,ES0021000008538047RF,3.0A,535,408,436,335,327,278,289,256,302,331,377,380,4.253
ALUMBRADO PUBLICO,ES0021000008538324JP,3.0A,876,809,856,611,499,434,463,505,557,624,878,746,7.859
C.P EL MOLÍ,ES0021000008538906SS,3.0A,820,980,1.028,747,625,694,535,387,410,675,797,680,8.377
ALUMB.PUBLICO,ES0021000008539311XY,3.0A,1.468,927,992,664,532,561,475,548,633,620,817,791,9.029
AYTO.TORRENT  ALDO. POL.1,ES0021000008539476VX,3.0A,648,482,507,381,322,293,270,350,354,343,424,417,4.790
ALUMBRADO PUBLICO,ES0021000008539772FF,3.0A,2.316,1.744,1.839,1.569,1.187,1.118,1.030,1.306,1.293,1.285,1.723,1.659,18.068
ALUMBRADO PUBLICO,ES0021000008539773FP,3.0A,2.035,1.541,1.632,1.428,1.042,985,914,1.046,1.128,1.055,1.532,1.432,15.771
ALUMBRADO PUBLICO,ES0021000008541120LK,3.0A,799,656,630,451,451,353,362,408,371,506,593,555,6.136
AYTO.TORRENT COLEG.PUBLICO,ES0021000008541363FB,3.0A,1.136,1.403,1.246,988,898,873,695,407,407,827,1.028,937,10.846
ALUMBRADO PUBLICO,ES0021000008541448BG,3.0A,2.454,1.632,1.893,1.587,1.317,1.151,1.028,832,1.077,1.128,1.349,1.097,16.545
ALUMBRADO PUBLICO,ES0021000008541577QH,3.0A,1.217,1.111,1.134,906,719,642,617,712,729,860,991,959,10.597
ALUMBRADO PUBLICO,ES0021000008541644LQ,3.0A,754,690,729,542,472,413,455,450,497,496,648,557,6.705
AYNTO.TORRENT (ALDO.PBCO.),ES0021000008541776WX,3.0A,1.960,1.785,1.823,1.446,1.128,995,960,1.117,1.148,1.353,1.546,1.496,16.758
MERCADO MUNICIPAL Y CENTS. JUV. SAN GREGORIO,ES0021000008542138HG,3.0A, ,1.467, ,808, ,364, , ,1.701, ,356,34,4.731
OFICINA DEL AYUNTAMIENTO,ES0021000008542775EC,3.0A,199,207,221,204,201,231,259,277,268,270,251,180,2.767
C.P MIGUEL HERNÁNDEZ,ES0021000008542883GJ,3.0A,687,839,928,719,590,733,714,358,453,874,828,721,8.444
ALUMBRADO PUBLICO,ES0021000008542885GS,3.0A,1.031,865,876,684,546,492,506,507,613,605,761,746,8.231
AYTO.TORRENT SANIDAD BS,ES0021000008543155QD,3.0A,558,579,564,403,348,315,397,467,433,445,340,347,5.195
C.P FEDERICO MAICAS,ES0021000008543802KN,3.0A,1.094,1.394,1.492,1.321,899,1.027,798,516,593,949,997,1.018,12.097
ALUMBRADO PUBLICO,ES0021000008543946GH,3.0A,1.026,937,990,676,489,473,577,585,658,670,891,778,8.750
ALUMBRADO PUBLICO,ES0021000008544603XP,3.0A,580,554,557,447,348,313,299,341,347,414,637,489,5.328
CENTRO MAYORES VG. EL OLIVAR,ES0021000008546571AK,3.0A,1.214,1.055,1.078,853,846,753,834,957,878,1.007,874,834,11.183
C.P SAN JUAN BAUTISTA,ES0021000008548377JX,3.0A,881,1.199,1.179,880,672,734,609, ,675,755,819,807,9.209
ALUMBRADO PUBLICO,ES0021000008548648WM,3.0A,2.232,2.024,2.055,1.653,1.318,1.175,1.212,1.189,1.421,1.399,1.804,1.739,19.221
ALUMBRADO PUBLICO,ES0021000008548891NH,3.0A,1.021,849,832,592,559,448,442,519,509,602,689,697,7.758
ALUMBRADO PUBLICO,ES0021000008549040LY,3.0A,642,483,513,419,310,284,264,331,331,331,448,430,4.786
ALUMBRADO PUBLICO,ES0021000008549871DD,3.0A,1.981,1.813,1.855,1.539,1.112,1.036,1.031,1.065,1.288,1.373,1.684,1.611,17.388
AYTO.TORRENT ESCUELAS NACI,ES0021000008551000NB,3.0A,609,546,617,528,435,492,513,638,594,483,574,417,6.447
AYTO.TORRENT A.P.,ES0021000008551511BQ,3.0A,1.303,1.084,1.122,911,719,628,684,594,793,872,1.047,933,10.689
AYTO.TORRENT AS.ALCOHOL.REH,ES0021000008552004XA,3.0A, ,445, , , ,536, ,243, ,123, ,31,1.377
CASA CULTURA,ES0021000008552180VH,3.0A,1.319,1.492,1.228,836,733,889,1.289,1.243,1.189,1.093,756,702,12.769
ALUMBRADO PUBLICO,ES0021000008553359TR,3.0A,1.673,1.496,1.501,1.222,896,795,811,819,1.062,986,1.266,1.258,13.785
CONSULT. MEDICO AUXILIAR. MUNICIPAL,ES0021000008554938EQ,3.0A,276,317,350,249,211,250,361,363,369,313,294,214,3.567
AYTO.TORRENT CORREOS,ES0021000008554942EC,3.0A, ,731, ,379, ,191, ,326, ,244, , ,1.870
AYTO.TORRENT POLICIA,ES0021000008556036RX,3.0A,2.467,2.278,2.199,1.698,1.425,1.513,1.804,2.345,1.813,2.144,1.727,1.592,23.004
ALUMBRADO PUBLICO,ES0021000008556523EZ,3.0A,2.173,1.842,1.820,1.344,1.238,977,968,1.138,1.092,1.356,1.566,1.569,17.082
CENTRO PERMANENTE DE ADULTOS,ES0021000008556894SV,3.0A, ,1.385, ,1.222, ,881, ,490, ,584, ,605,5.166
ALUMBRADO PUBLICO,ES0021000008559157EA,3.0A,1.325,1.212,1.231,990,796,726,748,742,897,879,1.070,1.060,11.676
JUZGADO NUMERO 7,ES0021000008561094ZP,3.0A,592,528,591,429,382,390,594,607,563,692,451,380,6.199
ALUMBRADO PUBLICO,ES0021000008561510DX,3.0A,1.013,840,859,723,572,496,567,490,625,634,849,730,8.397
