"NRMA","Nom Associació","Adreça 1","CP","Municipi","Adreça 2","CP","Municipi","Telèfon 1","Telèfon 2","Telèfon 3","Telèfon mòbil 1","TM1 Càrrec","Telèfon mòbil 2","TM2 Càrrec","Telèfon mòbil 3","Fax","Correu electrònic 1","CE 1 Referència","Correu electrònic 2","CE 2 Referència","Correu electrònic 3","Pàgina Web 1","Pàgina Web 2","Xarxes Socials 1","Xarxes Socials 2","President","Vicepresident"
22,"ASOCIACIÓN PROMOCIÓN GITANA DE TORRENT Y COMARCA","c/ Xenillet, 11 bajo",46900,"TORRENT",,,,,,,606833070,,,,,,,,,,,,,,,,
23,"ASOCIACIÓN DE VECINOS LES TERRETES","c/ Maestro S. Almiñano, 8,B,3",46900,"TORRENT",,,,961571236,,,,,,,,,,,,,,,,,,"Vicente García Tortosa",
24,"ASOCIACIÓN FUTUR Y DONA","Av País Valencià, 17-1ª",46900,"TORRENT",,,,961554048,,,,,,,,,,,,,,,,,,"Rosa Ampuero Clement",
25,"ASOCIACIÓN CULTURAL COTURNO","c/ Ejército Español, 2 ",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
26,"ASOCIACIÓN CULTURAL CASINO TORRENT","Apartado Correos núm. 178, Moralets, 4  . P/ Sant Roc, 17",46900,"TORRENT","c/ Virgen de la Paz, 25-b esq",46900,"TORRENT",961561357,,,695564664,,,,,,"casinot@telefonica.net",,"medicala@terra.es",,,,,,,"Concha Medina Fenoll",
27,"ASOCIACIÓN DE VECINOS SANTO ÁNGEL","c/ Cuba, 10",46900,"TORRENT",,,,961553165,,,,,,,,,,,,,,,,,,,
28,"GRUPO SCOUT GRANERERS","c/ Buen Consejo, 4-20,                          ",46900,"TORRENT","c/ Valencia, 35 Parroquia Buen Consejo",46900,"TORRENT",961571694,,,675097472,,,,,,,,,,,,,,,,
29,"GRUP DE TREBALL AMICS DEL GOS DE TORRENT","Partida Casa Blanca, 65 LL c/ Pared Decantà s/n Pol. Mas del Jutge",46900,"TORRENT",,,,961563572,,,687700602,,610275139,,,,"correo@amicsdelgos.com          ",,,,,"www.amicsdelgos.com",,,,"Jose Luis Romero Marin",
30,"AMPA INSTITUTO ENSEÑANZA SECUNDARIA SERRA PERENXISA","c/ Corona d'Aragó, 1 46900 TORRENT",46900,"TORRENT",,,,961574634,,,,,,,,961574705,"46019015@edu.gva.es",,,,,,,,,,
31,"AMPA INSTITUTO ENSEÑANZA SECUNDARIA TIRANT LO BLANCH","c/ Fray Luis Amigó, 41",46900,"TORRENT",,,,961550714,961564354,,699525306,,,,,,"ampatlb@yahoo.es",,,,,,,,,"Josefina de la Cruz Fernández",
32,"ASOCIACIÓN DE VECINOS COLONIAS MONTEHERMOSO Y SAN JOSÉ","c/ Menorca, 2",46900,"TORRENT",,,,961588797,,,687594404,,,,,,,,,,,,,,,"Desamparados Galiana Ibañez",
33,"FEDERACION DE ASOCIACIONES DE PADRES DE ALUMNOS (FAPA)","c/ G. Civil, 11",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
34,"ASOCIACIÓN DE VECINOS LA MARXADELLA","c/ Alcira, 27 Bajo",46900,"TORRENT",,,,961561774,,,696201611,,,,,,"marchadella@gmail.com    ",,,,,"www.vocero oficial marxadella",,,,"Faustino Aranda Lopez","Rosa Gimenez Carratala"
35,"ASOCIACIÓN MUJERES DE TORRENT","c/ L'Horta, núm. 4 Bj",46900,"TORRENT",,,,961096110,,,652912600,,652912601,,,,"atomasrodri@hotmail.com",,,,,,,,,"Victoria Peco Benitez",
36,"ASSOCIACIÓ D'ALUMNES ESCOLA PERMANENT D'ADULTS TORRENT","Pl. San Pascual, 20",46900,"TORRENT",,,,961552538,961555140,,,,,,,,"lpatorrent@lpatorrent.info",,,,,,,,,"José A. Veiga Gómez",
37,"ASOCIACIÓN DE VECINOS COLONIA SAN JUAN BOSCO","Camini del Realón, 68",46900,"TORRENT",,,,961573288,,,639692249,,649870214,,,,,,,,,,,,,"Rafael Guillem Garcia",
38,"JUNIORS MD PARROQUIA LA ASUNCIÓN","Pl. Iglesia, 24 (casa abadía)",46900,"TORRENT",,,,961550171,,,,,,,,,,,,,,,,,,,
39,"JUNIORS MD PARROQUIA SAN JOSÉ","c/ Tirant lo Blanc, 12 Av. Al Vedat, 87",46900,"TORRENT",,,,961588121,961559449,961570768,,,,,,,,,,,,,,,,"Antonia Carrasco",
40,"JUNIORS MD PARROQUIA SAN LUIS BELTRÁN","c/ Músico Mariano Puig Yago, 4",46900,"TORRENT",,,,961089359,,,,,,,,,,,,,,,,,,,
41,"ASOCIACIÓN CULTURAL DE CASTILLA LA MANCHA","c/ Lope de Rueda, 7 b",46900,"TORRENT",,,,961573423,,,667539662,,,,,,"asociacioncastillalamancha@ono.com",,,,,,,,,"Luis Jurado Lopez","Blas Cebrian Verde"
42,"JUVENTUTS CC.OO.","Avda. Al Vedat, 83-1",46900,"TORRENT",,,,963882100,961580783,,,,,,,,"juventud@pv.ccoo.es",,,,,,,,,"Laura Aunñon Argudo",
43,"ASOCIACIÓN PARA LA OBJECIÓN DE CONCIENCIA","c/ Baja, 8-1º",46002,"VALENCIA",,,,,,,,,,,,,,,,,,,,,,,
44,"ASOCIACIÓN DE VECINOS CALLE ZARAGOZA","c/ Camp de Morvedre, s/n",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
45,"ASOCIACIÓN CULTURAL ECOLOGISTA OZONO DE TORRENT","c/ Montgó, 9",46900,"TORRENT",,,,961550664,,,,,,,,,,,,,,,,,,,
46,"JUVENTUDES SOCIALISTAS DEL PAÍS VALENCIÀ","Pl Llibertat, 6 bajo",46900,"TORRENT",,,,961089098,,,,,,,,,,,,,,,,,,,
47,"ASOCIACIÓN EMPRESARIAL CENTROS RESIDENCIALES 3ª EDAD","c/ Valencia, 91 - bajo",46900,"TORRENT",,,,961575948,,,,,,,,,,,,,,,,,,,
48,"ASOCIACIÓN MODELISTA TORRENT","Av. Al Vedat, 182 patio 3ª pta 10ª  (Local asociatival CC Las Américas)",46900,"TORRENT","Avda. General Urrutia, 67 ? Escl. 1-4ª",46013,"VALENCIA",961084153,,,647630774,,,,,,,,,,,,,,,"Gonzalo Pio Gonzalez Inguanzo",
49,"CONSEJO BARRIO XENILLET","Malvarrosa, 13",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
50,"ASOCIACIÓN JUVENIL CEBEISTAS DE TORRENT (A.C.T.)","c/ Sedaví, 11",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
51,"CENTRO DE INVESTIGACIÓN Y DESARROLLO DE ACTIVIDADES OCIO","c/ Santa Ana",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
52,"ESTUDIANTES SOCIALISTAS DEL PAÍS VALENCIÀ","c/ Santa Ana, 10 bajo",46900,"TORRENT",,,,961560629,,,,,,,,,,,,,,,,,,,
53,"COLECTIVO DE ESTUDIANTES PROGRESISTAS - UNIÓN DE ESTUD.","c/ Santa Ana, 10 bajo",46900,"TORRENT",,,,961560629,,,,,,,,,,,,,,,,,,,
54,"ASOCIACIÓN DE VECINOS PADRE MÉNDEZ","c/ Ejército Español, 9-1º-'1ª",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
55,"ASOCIACIÓN CULTURAL MOLT IL·USTRE GERMANDAT DEL DAVALLAMENT","c/ Del Garbí, 4-4",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
56,"ASOCIACIÓN AMAS DE CASA Y CONSUMIDORAS TYRIUS","c/ Germaníes. 7",46900,"TORRENT",,,,961573473,961558368,,,,,,,,,,,,,,,,,"Mª Carmen Campos Ricos",
57,"COL·LECTIU ECOLOGISTA ROSELLA","Apartado Correos 178",46900,"TORRENT",,,,961561335,,,,,,,,,,,,,,,,,,,
58,"JUBILADOS Y PENSIONISTAS DE TORRENT","c/ Virgen del Olivar 40 ",46900,"TORRENT",,,,961550828,961557818,,646067522,,,,,,,,,,,,,,,"Enrique Bessini Hernández",
59,"ASOCIACIÓN ALUMNOS LUIS AMIGÓ DEL COLEGIO N.SRA.M.SIÓN",,46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
60,"JUVENTUDES UNIÓ VALENCIANA","Pl. Obispo Benlloch, 8-2",46900,"TORRENT",,,,961599808,,,,,,,,961599832,"jnuv@uniovalenciana.org",,"uvvalenciana@atorrent.es",,,"www.unionvalenciana.org",,,,,
61,"ASOCIACIÓN JUVENIL CLUB VORELL","c/ El Salvador, 40 b",46900,"TORRENT",,,,961553296,,,653989696,,,,,,"info@vorell.es",,,,,,,,,"Carlos Taberner Sanchis",
62,"ASOCIACIÓN DE COMERCIO DE TORRENT","Avda. al Vedat, 101 Bajo",46900,"TORRENT",,,,961564889,961572821,,,,,,,961176105,"asociacioncomerciotorrent@hotmail.com",,"amapebe@hotmail.com",,,"www.competic.es/asociacioncomerciantestorrent",,,,"Vicente Rodrigo Ferrer",
63,"ASOCIACIÓN DE VECINOS L'HORTETA DE TORRENT","c/ Padre Méndez, 112 - 1",46900,"TORRENT",,,,961551602,,,,,,,,,,,,,,,,,,,
64,"JUBILADOS Y PENSIONISTAS LA ESPERANZA","c/ San Cayetano, 20",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
65,"ASOCIACIÓN DE VECINOS DE VEDAT DE TORRENT","Avda. San Lorenzo, 148",46900,"TORRENT",,,,961564001,,,,,,,,961561473,"asociacion@elvedat.org",,,,,"www.elvedat.org",,,,"Angel Contreras Puig",
66,"ASOCIACIÓN AMIGOS DE LA CULTURA ANDALUZA","c/ Federico Maicas, 17 -B",46900,"TORRENT",,,,961081877,,,,,,,,,,,,,,,,,,,
67,"DEPARTAMENTO DE JUVENTUD U.G.T. L'HORTA SUD","c/ Virgen del Olivar 10 ",46900,"TORRENT",,,,961564145,,,,,,,,,,,,,,,,,,,
68,"CENTRO PARA EL FOMENTO DEL FERROCARRIL Y DEL VAPOR VIVO","Pl. Major, 32",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
69,"ASOCIACIÓN DE VECINOS BARRIO DE LOS CARACOLES","c/ Camí Reial, 116-5   c/ San Enrique, 1b",46900,"TORRENT",,,,961573012,,,661300698,,,,,,"barrioloscaracoles@hotmail.com",,,,,"www.competic.es/caracoles",,,,"Jose Requena Carretero","Mª José Requena Gimenez"
70,"UNIÓN DE RADIOAFICIONADOS ESPAÑOLES (URE)","Avda. San Lorenzo, 92 - Vedat",46900,"TORRENT",,,,961554833,,,605534997,,,,,,"ea5cvs@gmail.com",,,,,,,,,"Ángel Garcia Bustos",
71,"GTI GRUP DE TEATRE ","c/ Federico Maicas, 12-B",46900,"TORRENT",,,,961081463,,,666808372,,,,,,,,,,,,,,,,
72,"UNIÓN DE CONSUMIDORES DE LA COMUNIDAD VALENCIANA","Av. Al Vedat 17-1ª ",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
73,"ASOCIACIÓN DEPORTIVA CLUB HÍPICO DE TORRENT","c/ Palermo, 34 Ptda. Alter",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
74,"ASOCIACIÓN CLUB DEL MINUSVÁLIDO","c/ Fray Luis Amigó, 16 bajo",46900,"TORRENT",,,,961551312,,,699337605,,,,,,,,,,,,,,,"Mª Cruz Andreu Fenoll",
75,"ASOCIACIÓN DE PELUQUEROS Y ESTILISTAS DE TORRENT","c/ Constitución, 3",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
76,"ASOCIACIÓN EL PANTA DE TORRENT","c/ Santander, 1",46900,"TORRENT",,,,,,,600597598,,,,,,"asociacion.panta@gmail.com",,,,,,,,,"Ernesto Raúl Mateu Clavell",
77,"ASOCIACIÓN DE VECINOS EL BARRANQUET","c/ L'Horta, 21-7",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
78,"CENTRO DE INFORMACIÓN DE TRABAJADORES MIGRANTES","c/ Montgó, 9",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
79,"ASOCIACIÓN JUVENIL VOLUNTARIOS PROTECCIÓN CIVIL","c/ Perelló, 112 c/ Germanies, 25",46900,"TORRENT",,,,961559063,,,,,,,,,,,,,,,,,,,
80,"ASOCIACIÓN JUVENIL Y SOCIO CULTURAL POR TIERRA DE TORRENT","c/ Gómez Ferrer , 58-3ª",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
81,"ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS S. CAYETANO","c/ S. Cayetano, 20 c/ S. Cayetano 99",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
82,"CENTRO CULTURAL EL QUIJOTE","c/ Virgen del Puig, 7",46900,"TORRENT",,,,961558634,961570885,,636629014,,,,,,,,,,,,,,,"Francisco Martín Bermejo",
83,"ASOCIACIÓN CULTURAR BAOBAB CINEMA VALENCIA","c/ Buen Consejo, 4-13ª",46900,"TORRENT",,,,,,,,,,,,,,,,,,,,,,,
84,"COOPERACIÓN INTERNACIONAL O.N.G.","c/ Padre Méndez, 118 B-9º",46900,"TORRENT","c/ Colón 72, 9ª-18",46004,"VALENCIA",963518366,963517584,,,,,,,961111873,"levante@cooperacioninternacionallong.org",,,,,"www.cooperacioninternacionallong.org",,,,"Joaquín Lleó Sapena",
85,"ASOCIACIÓN SOCIOCULTURAL Y DE COOP. AL DESARROLLO POR COLOMBIA E IBEROAMÉRICA ""ACULCO""","c/ El Salvador, 12-8ª",46900,"TORRENT",,,,963292190,,,,,,,,963292190,"wirsan77@aculco.org valencia@aculco.org",,,,,,,,,"William R. Sanchez Mugoz",
86,"ASOCIACIÓN ESPAÑOLA DE PROFESIONALES DE ENSEÑANZAS ALTERNATIVAS (ASPRENAL)","c/ B. Guardia Civil, 3",46900,"TORRENT",,,,961096802,961563799,,,,,,,,,,,,,"www.asprenal.org",,,,"Francisca Gutiérrez Casas",
87,"ASOCIACIÓN DE FAMILIARES ENFERMOS DE DEMENCIAS VINCULADAS AL ENVEJECIMIENTO DE TORRENT Y COMARCA AFED","c/ Santo Domingo, 22",46900,"TORRENT",,,,,,,699057270,,,,,,"afedtorrent@hotmail.com",,,,,,,,,"Natalia Hermoso Gomez",
88,"ASOCIACIÓN CULTURAL TECNICAS ORIENTALES DE TORRENT","c/ Sedaví, 11",46900,"TORRENT",,,,,,,654213647,,654213647,,654213647,,"boluda4@hotmail.com",,,,,,,,,"Inmaculada Silla Peiro",
89,"CLUB PENYA CICLISTA TORRENT","c/ Santa Teresita, 34  c/ Constitución, 35 bajo",46900,"TORRENT",,,,961295134,961580257,,,,,,,,"pctorrent@hotmail.com",,,,,"pctorrente.webcindario.com",,,,"Manuel Cerro Hidalgo",
90,"ASOCIACIÓN CLUB RENAULT HISTORIA Y COMPETICIÓN","c/ M. J. Ortí Soriano 22, 5",46900,"TORRENT",,,,,,,653188519,,691260885,,691260871,,"renault.historiaycompeticion@hotmail.es",,,,,"www.renaulthistoriaycompeticion.com",,,,"Javier Velduque Ochoa",
91,"OBRA SOCIAL FEMENINA DE LA VIRGEN DE LOS DESAMPARADOS","c/ Baviera núm.. 3-1ª",46900,"TORRENT",,,,961553256,961562438,,,,,,,,"osfvirgendelosdesamparados@hotmail.com",,,,,,,,,"Josefina Vidal Barona",
92,"ASOCIACIÓN BICICLUB TORRENT","c/ Ramón y Cajal, 24, 7",46900,"TORRENT",,,,961566975,,,622397060,,,,,,"biciclubtorrent@hotmail.com",,,,,,,,,"Iván Martinez Esteban",
93,"CLUB MTB TORRENT","Plaza América núm.. 8- 10",46900,"TORRENT",,,,961080637,,,679546646,,,,,,"contacto@clubmtbtorrent.com",,,,,,,,,"Francisco Javier Jimenez Morales",
94,"ASOCIACIÓN DE VECINOS MAS DE DON PEDRO","Partida Más de Don Pedro núm. 29",46900,"TORRENT",,,,,,,649138817,,,,,,"masdedonpedro@hotmail.com",,,,,,,,,"Mª Adelina Cano López","Elena Moreno Martínez"
95,"CENTRO CULTURAL ROCIERO ANDALUZ DE TORRENT","c/ San Justo núm. 5",46900,"TORRENT",,,,,,,664219097,,,,,,"rocierostorrent@hotmail.com",,,,,"www.rocierostorrent.com",,,,"Rosa Maria Martos Jimenez","Mª Teresa Ramirez Pardo"
96,"MUY ILUSTRE HERMANDAD DEL DESCENDIMIENTO DE LA CRUZ, SANTA MARÍA DEL TESTIMONIO Y SAN JUAN DEL","c/ El Garbí núm. 5-4ª",46900,"TORRENT",,,,961557478,,,652467685,,,,,,"federico.maicas@hotmail.com",,,,,,,,,"Federico Maicas Llorens",
97,"CORO ROCIERO ANDALUZ CIUDAD DE TORRENT","c/ Santo Tomás núm. 14",46900,"TORRENT",,,,,,,662384316,,,,,,"javigeni@yahoo.es",,,,,,,,,"Pedro Juan Martínez Jimenez",
98,"LA GAVELLA.MOVIMENT PER LA LLENGUA I LA CULTURA","c/ Azorín, 13",46900,"TORRENT",,,,,,,680165215,,,,,,"lagavella@gmail.com",,,,,,,,,"Jesús Marcote Icart",
99,"SOCIEDAD VEGETARIANA NATURISTA DE VALENCIA","c/ De la Salvia n.º 25 ",46900,"TORRENT","c/ Guillén de Castro 53-1º-2ª",46007,"VALENCIA",963519797,,,687516463,,,,,,"cngonzaga@isibenestar.es",,"sovenava@yahoo.es",,"lanziri@ono.com","www.sovenava.org",,,,"Enrique Tamarit Ortega",
100,"ASOCIACIÓN CULTURAL DEPORTIVA DE ECUATORIANOS","c/ Espartero núm. 6-10ª",46900,"TORRENT",,,,961556251,,,697943162,,687264856,,,,,,,,,,,,,"Luis Abelardo Espín Vasquez",
101,"ASOCIACIÓN DE VECINOS MONTE LEVANTE DE TORRENT","c/ La Menta núm.3",46900,"TORRENT",,,,,,,658364239,,,,,,,,,,,,,,,"José Platero Rodrigo",
102,"ASOCIACIÓN FESTES COLONIA BLANCA VEDAT DE TORRENT","c/ Almirante Churruca, 18",46900,"TORRENT",,,,961560436,,,655942545,,,,,,"xemaxe86@hotmail.com",,,,,,,,,"Mª Angeles Layos Sanchez",
103,"LIFE CHANGING ASSOCIATION","c/ Germanies núm.. 23-6ª",46900,"TORRENT",,,,,,,660640428,,,,,,,,,,,,,,,"Joseph Evbobun",
104,"ASSOCIACIÓ DE VEINS MIRAMAR, EL VEDAT DE TORRENT","c/ Mar Cantabric, 22",46901,"TORRENT",,,,,,,647603060,,,,,,"avv_secretario@avvmiramar.es",,,,,,,,,"Salvador Sanchez Romero",
105,"COL·LECTIU SOTERRANYA","c/ Sedaví, 11-Bajo",46900,"TORRENT",,,,,,,667290212,,,,,,"soterranya@gmail.com",,,,,,,,,"Pedro Jesús Lizandra Mora",
106,"COLLA DE TABALS I DOLÇAINES ""EL ROSSEJAT-LA GAVELLA""","c/ Azorín, 13",46900,"TORRENT",,,,,,,629089004,,635126043,,,,"colla.elrossejat@gmail.com",,,,,,,,,"Sonia Caballero Luna",
107,"ASOCIACIÓN CULTURAL SAN CAYETANO","c/ San Cayetano, 20",46900,"TORRENT",,,,,,,616179221,"President",633472880,"Secretaria",,,,,,,,,,,,"Francisco José Ciscar Orti",
108,"ASOCIACIÓN CULTURAL FALLA PLAZA SAN ROC-GOMEZ FERRER","Plaza San Roc núm.. 6 B",46900,"TORRENT",,,,,,,607916060,,657448864,,,,"falla_sant_roc_torrent@hotmail.com",,,,,"www.fallasantroc.com",,,,"Javier Serer Sena",
109,"ASOCIACIÓN CULTURAL CALICANTO","c/ General Cavalcanti, núm. 26",46900,"TORRENT",,,,,,,686335610,"Secretaria",,,,,"asociacionculturalcalicanto@gmail.com",,,,,"www.asociacionculturalcalicanto.es",,,,"Felicidad Picazo Checa",
110,"ASOCIACIÓN VECINOS CAMI D'ABAL Y ADYACENTES ","c/ Virg de la Macarena núm. 2-5",46900,"TORRENT",,,,,,,622653110,,699294225,,,,,,,,,,,,,"Eduardo Contreras Hernández",
111,"TORRENT,SI A LA VIDA","c/ Elena Tamarit núm. 14-6ª",46900,"TORRENT",,,,,,,652588818,,,,,,"torrentvida@hotmail.com",,,,,"marchavida.derechoavivir.org","torrentsialavida.com",,,"Maria Amparo Baviera Puig",
112,"ASOCIACIÓN LAURA VICUÑA","c/ Caja de Ahorros núm. 2-8ª",46900,"TORRENT",,,,961580834,,,669269444,,626533373,,,963215989,"lauravicuna@lauravicuna.es",,,,,"www.lauravicuna.es",,,,"Blanca Polo Miravé",
113,"ASOCIACIÓN TALLER MADRE MAZZARELLO-AMPARTIRO BAVIERA","c/ Sagra núm. 11-5ª ",46900,"TORRENT","Correo: Apartado Correos núm. 337",,,,,,680424179,,,,,,"inmaalabarta@hotmail.com",,,,,,,,,"Inmaculada Alabarta Baviera",
114,"ASSOCIACIÓ VEÏNS CARRER TOLEDO","c/ Bellido, 8 -2 ",46900,"TORRENT",,,,961551301,,,649053428,"Secretaria",,,,,"dmaria_cervera@hotmail.com",,,,,,,,,"Dolores María Cervera Dariez","Mª Pilar Veguer Llácer"
115,"FEDERACION DE ASOCIACIONES VECINALES DE BARRIOS Y URBANIZACIONES ""FAVBUR""","c/ Bellido 8 - 2º",46900,"TORRENT",,,,,,,666005648,"President",677289851,"Secretaria",691383422,,"favbur@hotmail.es",,,,,,,,,"José Pascual Castro Peris","Jose Vicente Mora Ribera"
116,"ASOCIACIÓN VALENCIANA DE PATCHWORK","c/ Nicolas Andreu, 23-3ª",46900,"TORRENT",,,,,,,622584437,,,,,,"avapatch.work@gmail.com",,,,,,,,,"Mª José Medina Campos",
117,"ASOCIACIÓN VECINOS L'ALVERCA","c/ Del Gladiol, 3-bajo",46900,"TORRENT",,,,961080557,,,618740386,,,,,,"Jessica@noustractes.com",,,,,,,,,"Jessica Medina Campos",
118,"ASOCIACIÓN CULTURAL EL CLUB DEL TEATRO","c/ Cruz Roja 5-9",46900,"TORRENT",,,,,,,696732239,"President",,,,,"elclubdelteatro@hotmail.com",,,,,,,,,"Federico López Irnan",
119,"ADISTO ASOCIACION DE DISCAPACITADOS INTELECTUALES DE TORRENT","c/ La Marina, 1-bajo",46900,"TORRENT",,,,961292745,,,,,,,,961292745,"adistotorrent@hotmail.com",,,,,,,,,"José Bernal Guijarro",
120,"ASOCIACION PROFESIONAL DE SUBINSPECTORES DE INSPECCIÓN DE SERVICIOS SANITARIOS DE LA C.V. A.P.S.I.S.S. - CV","c/ San Agustin, 9 Bajo",46900,"TORRENT",,,,961563388,,,606567635,,,,,,"baviera_lor@gva.es",,,,,,,,,"Juan Lorenzo Baviera Bartual",
121,"ASOCIACIÓN CULTURAL FALLA CAMI REIAL","c/ San Justo núm. 5, Esc Izq-B",46900,"TORRENT",,,,,,,667369202,"President",653788576,"Secretaria",,,"fcamireial@hotmail.com",,,,,,,,,"Miguel Martinez Moran",
122,"ASOCIACION DE VECINOS CALICANTORRENT","c/ General Cavalcanti, 26",46900,"TORRENT",,,,,,,686335610,"President",,,,,"calicantorrent@gmail.com",,,,,,,,,"Maria Asunción Alfaro Virgidano",
