"Expediente","Departamento","Trámite","Fecha Inicio","N. Registro","Año"
"43/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",27/10/16,"-","2016"
"44/2016/GEN","Unitat Administrativa de Llicencies","URBA-136 Declaració responsable ambiental",05/01/16,"2015041874","2016"
"44/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",04/11/16,"-","2016"
"45/2016/GEN","Servici de Transport, Movilitat","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2015041228","2016"
"45/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",10/11/16,"-","2016"
"46/2016/GEN","Unitat Secretaria General núm. 1","UORJI-009 Inmuebles municipales",05/01/16,"-","2016"
"46/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",17/11/16,"-","2016"
"47/2016/GEN","Unitat Secretaria General núm. 1","UORJI-007 Daños a bienes municipales",05/01/16,"-","2016"
"47/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",24/11/16,"-","2016"
"48/2016/GEN","Departament de la Dona","EDUC-008 Concesión subvención y justificación de la `Ajuda bebé`",05/01/16,"-","2016"
"48/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",01/12/16,"-","2016"
"49/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2015041933","2016"
"49/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",07/12/16,"-","2016"
"50/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2015041954","2016"
"50/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",15/12/16,"-","2016"
"51/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2015041962","2016"
"51/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",22/12/16,"-","2016"
"52/2016/GEN","Unitat dEstadistica","Procès General - Estadistica",05/01/16,"2015039587","2016"
"52/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",22/12/16,"-","2016"
"53/2016/GEN","Unitat Tesoreria i Recaptació","TESO-003 FRACCIONAMIENTO O APLAZAMIENTO DE PAGO DE DEUDAS TRIBUTARIAS Y EL RESTO DE DERECHO PÚBLICO",05/01/16,"-","2016"
"54/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2016000034","2016"
"55/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2015041945","2016"
"56/2016/GEN","Unitat Administrativa de Llicencies","URBA-103 Comunicación de puesta en funcionamiento de la actividad",05/01/16,"2016000109","2016"
"57/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2015041942","2016"
"58/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2015041966","2016"
"59/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2016000011","2016"
"60/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2016000018","2016"
"61/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2016000027","2016"
"62/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2016000060","2016"
"63/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2016000079","2016"
"64/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2016000105","2016"
"65/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2015041938","2016"
"66/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",05/01/16,"-","2016"
"67/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",05/01/16,"-","2016"
"68/2016/GEN","Unitat Administrativa de Llicencies","URBA-105 Declaración responsable de 2ª y ulteriores ocupaciones",05/01/16,"2015042040","2016"
"69/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2015042073","2016"
"70/2016/GEN","Negociat Benestar Social","SSCB-023 Documentación procedente de otros organismos públicos",05/01/16,"2015041798","2016"
"71/2016/GEN","Unitat Administrativa de Llicencies","URBA-104 Cambio de titular de actividades",05/01/16,"2015041934","2016"
"72/2016/GEN","Servici de Transport, Movilitat","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2015040683","2016"
"73/2016/GEN","Servici de Mobilitat, Transport i relacions amb idea't","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2015041034","2016"
"74/2016/GEN","Unitat Administrativa de Llicencies","URBA-104 Cambio de titular de actividades",05/01/16,"2015042006","2016"
"75/2016/GEN","Tresoreria","TESO-001 Devolución de ingresos indebidos de naturaleza tributaria",05/01/16,"-","2016"
"76/2016/GEN","Unitat Administrativa de Llicencies","URBA-104 Cambio de titular de actividades",05/01/16,"2015042028","2016"
"77/2016/GEN","Unitat dEstadistica","Procès General - Estadistica",05/01/16,"2016000198","2016"
"78/2016/GEN","Unidad Secretaria General del Pleno","PARC-001 INSCRIPCIÓN EN EL REGISTRO MUNICIPAL DE ASOCIACIONES",05/01/16,"2015017856","2016"
"79/2016/GEN","Tresoreria","TESO-002 Compensación de deudas tributarias y el resto de derecho público",05/01/16,"-","2016"
"80/2016/GEN","Servici de Transport, Movilitat","MOVI-005 OCUPACIÓN DE LA VÍA PÚBLICA",05/01/16,"2015041903","2016"
"81/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",05/01/16,"2015040616","2016"
"82/2016/GEN","TDIC","TDIC-000 Procés General - TDIC",07/01/16,"2016000154","2016"
"83/2016/GEN","Servici de Personal","RRHHI-017 Retribuciones",07/01/16,"-","2016"
"84/2016/GEN","Negociat Benestar Social","SSCB-015 Prestaciones económicas individualizadas",07/01/16,"-","2016"
"85/2016/GEN","Unitat Secretaria General núm. 1","UORJ-001 CELEBRACIÓN DE BODA",07/01/16,"2016000174","2016"
"86/2016/GEN","Servici de Modernització Tecnològica i Informàtica","MODE-002 Suministros",07/01/16,"-","2016"
"87/2016/GEN","Unitat Secretaria General núm. 1","UORJ-001 CELEBRACIÓN DE BODA",07/01/16,"2016000212","2016"
"88/2016/GEN","Promoció Económica","Proccés General - PromocionEconomica",07/01/16,"-","2016"
"89/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",07/01/16,"2015041937","2016"
"90/2016/GEN","Unitat Secretaria General núm. 1","UORJ-001 CELEBRACIÓN DE BODA",07/01/16,"2016000130","2016"
"91/2016/GEN","Unitat Secretaria General núm. 1","UORJ-001 CELEBRACIÓN DE BODA",07/01/16,"2016000147","2016"
"92/2016/GEN","Unidad Secretaria General del Pleno","PARC-001 INSCRIPCIÓN EN EL REGISTRO MUNICIPAL DE ASOCIACIONES",07/01/16,"2015021939","2016"
"93/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",07/01/16,"2016000013","2016"
"94/2016/GEN","Servici de Personal","RRHHI-017 Retribuciones",07/01/16,"-","2016"
"95/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",07/01/16,"2016000133","2016"
"96/2016/GEN","Unidad Secretaria General del Pleno","PARC-001 INSCRIPCIÓN EN EL REGISTRO MUNICIPAL DE ASOCIACIONES",07/01/16,"2015022007","2016"
"97/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",07/01/16,"2016000144","2016"
"98/2016/GEN","Unidad Secretaria General del Pleno","PARC-001 INSCRIPCIÓN EN EL REGISTRO MUNICIPAL DE ASOCIACIONES",07/01/16,"2015022060","2016"
"99/2016/GEN","Servici de Modernització Tecnològica i Informàtica","MODE-001 Martenimientos",07/01/16,"-","2016"
"100/2016/GEN","Servici de Modernització Tecnològica i Informàtica","MODE-001 Martenimientos",07/01/16,"-","2016"
"101/2016/GEN","Unitat dEstadistica","ESTD-002 CERTIFICADO DE EMPADRONAMIENTO HISTÓRICO",07/01/16,"2015039991","2016"
"102/2016/GEN","Servici de Personal","RRHHI-017 Retribuciones",07/01/16,"-","2016"
"103/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",07/01/16,"2015040639","2016"
"104/2016/GEN","Protecció Civil","POLC-005 Autorización disparo de artificios de pirotecnia de menos de 10 kilogramos",07/01/16,"2016000171","2016"
"3/2016/JGL","Junta de Gobierno Local","Trámite para Junta de Gobierno Local",14/01/16,"-","2016"
"105/2016/GEN","Negociat Benestar Social","SSCB-004 TELEASISTENCIA DOMICILIARIA",07/01/16,"2015041779","2016"
"106/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",07/01/16,"2015041780","2016"
"107/2016/GEN","Secció Medi Ambient","MEDI-004 PRESTACIÓN DE SERVICIOS Y/O INSTALACIÓN DE ELEMENTOS URBANOS",07/01/16,"2016000010","2016"
"108/2016/GEN","Unitat Administrativa de Llicencies","URBA-115 Licencia urbanística de edificación (Obra mayor)",07/01/16,"2015041853","2016"
"109/2016/GEN","Unidad Secretaria General del Pleno","PARC-001 INSCRIPCIÓN EN EL REGISTRO MUNICIPAL DE ASOCIACIONES",07/01/16,"2015022205","2016"
"110/2016/GEN","Secció Medi Ambient","MEDI-003 AUTORIZACIÓN PARA REALIZACION DE CAMPAÑAS PUBLICITARIAS",07/01/16,"2016000092","2016"
"111/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",07/01/16,"2015041846","2016"
"112/2016/GEN","Unitat Tributs No Periodics","TESO-046 Beneficios fiscales en el impuesto sobre construcciones, instalaciones y obras (ICIO)",07/01/16,"2015041473","2016"
"113/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",07/01/16,"2015041872","2016"
"114/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",07/01/16,"2015040657","2016"
"115/2016/GEN","Secció Àrea Técnica. Benestar Social","SSCB-017 RENTA GARANTIZADA DE CIUDADANÍA",07/01/16,"2015040722","2016"
"116/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",07/01/16,"2015041881","2016"
"117/2016/GEN","Unidad Secretaria General del Pleno","PARC-001 INSCRIPCIÓN EN EL REGISTRO MUNICIPAL DE ASOCIACIONES",07/01/16,"2015023084","2016"
"118/2016/GEN","Unidad Secretaria General del Pleno","PARC-001 INSCRIPCIÓN EN EL REGISTRO MUNICIPAL DE ASOCIACIONES",07/01/16,"2015026290","2016"
"119/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",07/01/16,"2016000014","2016"
"120/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",07/01/16,"2015041740","2016"
"121/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",07/01/16,"2015041850","2016"
"122/2016/GEN","Unitat Administrativa Disciplina Urbanística","URBA-038 ORDEN DE EJECUCIÓN DE OBRAS DE CONSERVACIÓN Y DE INTERVENCIÓN",07/01/16,"-","2016"
"123/2016/GEN","Unitat Secretaria General núm. 1","UORJ-001 CELEBRACIÓN DE BODA",07/01/16,"2016000233","2016"
"124/2016/GEN","Unitat Administrativa Disciplina Urbanística","URBA-018 INFORMES URBANÍSTICOS",07/01/16,"2015041499","2016"
"125/2016/GEN","Unitat Administrativa de Llicencies","URBA-102 Obras sujetas a declaración responsable",07/01/16,"2016000156","2016"
"126/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041160","2016"
"127/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041163","2016"
"128/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041190","2016"
"129/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041215","2016"
"130/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041270","2016"
"131/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041272","2016"
"132/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041291","2016"
"133/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041405","2016"
"134/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041453","2016"
"135/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041586","2016"
"136/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041619","2016"
"137/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041618","2016"
"138/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041633","2016"
"139/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041662","2016"
"140/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041704","2016"
"141/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041730","2016"
"142/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041769","2016"
"143/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041791","2016"
"144/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041836","2016"
"145/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041841","2016"
"146/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041857","2016"
"147/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015041870","2016"
"148/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015042008","2016"
"149/2016/GEN","Negociat de Consum i OMIC","SACN-001 MEDIACION O TRASLADO DE QUEJAS Y RECLAMACIONES. PETICIONES DE INFORMACION",07/01/16,"2015042067","2016"
"150/2016/GEN","Negociat Benestar Social","SSCB-018 INFORME PERCEPCIÓN AYUDAS ECONÓMICAS O PRESTACIONES SOCIALES",08/01/16,"2016000181","2016"
"151/2016/GEN","Negociat Benestar Social","SSCB-016 RECONOCIMIENTO DE LA SITUACIÓN DE DEPENDENCIA Y DEL DERECHO A LAS PRESTACIONES DEL SISTEMA",08/01/16,"-","2016"
"152/2016/GEN","Negociat Benestar Social","SSCB-007 TARJETA DE ESTACIONAMIENTO PARA PERSONAS CON MOVILIDAD REDUCIDA",08/01/16,"2015041002","2016"
"153/2016/GEN","Negociat Benestar Social","SSCB-007 TARJETA DE ESTACIONAMIENTO PARA PERSONAS CON MOVILIDAD REDUCIDA",08/01/16,"2015041024","2016"
