Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
AYTO.TORRENT SEMAFOROS,ES0021000008535732SS,2.0DHA,42,37,34,35,37,32,33,37,35,31,51, ,405
AYTO. TORRENT A.P.,ES0021000008536138XF,2.0DHA, ,56,24,29,26,21,25,33,24,22,37, ,297
AYTO.TORRENT A.P.,ES0021000008538191FJ,2.0DHA, ,986, ,832, ,748,104,561,338, ,780, ,4.349
AYTO.TORRENT A.P.,ES0021000008538215PZ,2.0DHA, ,305, ,576, ,519,62,421,235, ,548, ,2.666
AYTO.TORRENT A.P.,ES0021000008538249XW,2.0DHA, ,1.133, ,891, ,837,110,660,390, ,904, ,4.925
AYTO.TORRENT A.P.,ES0021000008538280BX,2.0DHA, ,587, ,440,224,175,201,198,182,165,347, ,2.520
AYTO TORRENT SEMAFOROS,ES0021000008540167RB,2.0DHA,70,62,51,65,53,51,25,80,51,54,89, ,650
ALUMBRADO PUBLICO,ES0021000008540779MW,2.0DHA,734, ,933, ,747, ,642, ,600, ,772, ,4.428
AYTO.TORRENT SEMAFOROS,ES0021000008542545NC,2.0DHA, ,33, ,30,14,15,12,16,15,17, ,24,176
AYTO.TORRENT A.P.,ES0021000008544201SC,2.0DHA, ,557, ,387,164,125,144,174,177,177,349, ,2.254
AYTO.TORRENT SEMAFOROS,ES0021000008546409LC,2.0DHA, ,6,11,12,13,11,11,13,9,15,17, ,118
AYTO.TORRENT SEMAFOROS,ES0021000008551135HP,2.0DHA,20,17,15,19,17,13,15,19,14,14, ,27,191
AYTO.TORRENT A.P.,ES0021000008553012FE,2.0DHA,65,57,46,44,40,33,32,44,38,40, ,92,532
AYTO.TORRENT SEMAFOROS,ES0021000008553161ZX,2.0DHA,55,50,46,47,52,44,46,63,48,43, ,88,581
AYTO.TORRENT A.P.,ES0021000008554642DL,2.0DHA,1.198, ,1.611, ,1.282, ,1.110, ,1.031, ,1.379, ,7.612
AYUNTAMIENTO TORRENTE A.P.,ES0021000008555080MC,2.0DHA, ,580, ,416, ,248,339, ,267, ,438, ,2.287
AYTO.TORRENT A.P. M.CHAPI,ES0021000008555148PL,2.0DHA,375,318,239,221,217,149,174,228,202,267, ,445,2.835
AYTO.TORRENT A.P.,ES0021000008561487PX,2.0DHA, ,560, ,454,201,143,178,177,185,231, ,380,2.509
ALUMBRADO PUBLICO,ES0021000010636798XP,2.0DHA,43,37,49,60,68,45,47,37,40,37,62, ,526
ALUMBRADO PUBLICO,ES0021000011482514AZ,2.0DHA,403, ,507, ,435, ,393, ,375, ,482, ,2.595
ALUMBRADO PUBLICO,ES0021000011489085JF,2.0DHA,533, ,755, ,612, ,526, ,502, ,621, ,3.549
SEMAFOROS,ES0021000011527680NP,2.0DHA,18,19,14,15,16,14,14,16,15,14,23, ,178
ALUMBRADO PUBLICO,ES0021000011754023DP,2.0DHA, ,632, ,472, ,369,170,195,215,216, ,41,2.311
ALUMBRADO PUBLICO,ES0021000012009881RZ,2.0DHA,863,642,557,549,452,349,383,444,453,448, ,1.146,6.286
ALUMB. PUBLICO. PARQUE CENTRAL. FASE B,ES0021000012268255BY,2.0DHA, ,602, ,443, ,327,34, ,517, ,488, ,2.410
ALUMB. PUBLICO. URB. MASIA PAVIA,ES0021000012712829CJ,2.0DHA, ,146, ,116, ,86,8,82, ,114, ,127,680
ALUMBRADO PUBLICO,ES0021000013005063FD,2.0DHA,707, ,551, ,455, ,381, ,408, ,506, ,3.008
ALUMBRADO PUBLICO,ES0021000013005068FZ,2.0DHA,940, ,739, ,627, ,499, ,534, ,697, ,4.037
ALUMBRADO PUBLICO,ES0021000013976710RK,2.0DHA, , , ,45, ,42,37, ,44, ,45, ,214
ALUMBRADO PUBLICO,ES0021000015866583ZF,2.0DHA, ,652, ,449,191,144,162,198,207,213,426, ,2.641
ALUMBRADO,ES0021000016297908EJ,2.0DHA, ,410, ,342,165,133,131,149,145,194, ,351,2.021
ALUMBRADO PUBLICO,ES0021000020238527AL,2.0DHA, ,177,145,129,125,102,88,111,122,130,240, ,1.369
ALUMBRADO PUBLICO,ES0021000008525073NM,2.1A,2.801, ,2.644, ,2.260, ,1.716, ,1.958, , , ,11.380
AYTO.TORRENT ASOC.ANDALUZA,ES0021000008528530RN,2.1A,223,197,175,182,178,307,254,216,365,213,329, ,2.640
AYTO.TORRENT  ASOC.MUJERES,ES0021000008528605GH,2.1A,206,325,289,188,135,122,42,51,41,50, ,68,1.518
AYTO.TORRENT FEDERACI.APAS,ES0021000008528750BW,2.1A,310,26,210,256,252,300,251,284,244,207,330, ,2.670
BIBLIOTECA EL VEDAT,ES0021000008535179ZZ,2.1A, ,444, ,253, ,254, ,481, ,432, ,182,2.046
ALUMBRADO PUBLICO,ES0021000008539980QP,2.1A, ,1.664,581,686,487,436,408,444,452,732, ,1.049,6.939
ALUMBRADO PUBLICO,ES0021000008542773EH,2.1A, ,5.250,2.083,2.250,1.810,1.530,1.340,1.897,1.754,1.833,3.530, ,23.276
ALUMBRADO PUBLICO,ES0021000008543669SV,2.1A, ,2.980,1.131,1.309,921,933,747,949,959,1.088,2.006, ,13.022
ASOCIACIÓN VECINOS 25 DE ABRIL,ES0021000008545740JH,2.1A, ,665,348,257,255,348,367,451,229,249,383, ,3.552
ALUMBRADO PUBLICO,ES0021000008547880ZL,2.1A,1.075,859,800,882,632,637,537,590,665,843,1.166, ,8.686
CLUB,ES0021000008550644CT,2.1A,582,526,392,423,411,387,514,653,302,359, ,605,5.155
ALUMBRADO PUBLICO,ES0021000008551391YB,2.1A,3.172,1.035,1.394,1.255,1.237,989,1.052, ,2.091,1.224,2.549, ,15.998
AYTO.TORRENT  CENTRO SALUD,ES0021000008551746KK,2.1A, ,384,179,177,133,145,153,123,114,117, ,259,1.785
CAMPO TIRO CALICANTO,ES0021000011282414CZ,2.1A,565, ,474, , ,684,216,182,205,183,213, ,2.721
ALUMBRADO PUBLICO,ES0021000011891814CY,2.1A,813,551,448,493,453,419,422,488,493,694, ,1.188,6.465
PARC CENTRAL. BOMBEO. FASE B,ES0021000012001813HL,2.1A,231,130,50,55,235,219,268,445,216,167,244, ,2.259
VALENCIA,ES0021000016122274EF,2.1A,305,276,222,188,251,237,243,294,236,228,379, ,2.858
DE L'ERA,ES0021000016190307JY,2.1A, ,99,40,56,46,39,38,47,44,41, ,78,528
ALUMBRADO PUBLICO,ES0021000020031301XT,2.1A,167,43, 77,40,42,49,234,473,331,329, ,393,2.024
C/ BURGOS (PANTANO). 1. Bajo,ES0021000020252581QC,2.1A, , , , , ,84,68,30,56,65,122, ,424
Avda OLIMPICA. 9 6 esc. 6.,ES0021000020464396AM,2.1A, , , , , ,72,88,82,49,85, ,68,444
ALUMBRADO PUBLICO,ES0026000010224223VA,2.1A, ,306,1.561,1.596,3.049,1.457,1.337,1.402,1.501,1.572,3.537,1.838,19.157
ALUMBRADO PUBLICO,ES0026000010224224VG,2.1A, ,160,383,451,373,351,327,349,377,403,459,550,4.181
C/ A SECTOR 2. S/N MASIA DEL JUEZ,ES0026000010224226VY,2.1A, ,130,34,645,589,554,459,537,580,575,690,731,5.523
ALUMBRADO PUBLICO,ES0026000010251307KQ,2.1A, ,7, ,656,586,548,468,516,569,620,735,798,5.502
SERVICIOS GENERALES,ES0021000008524269TY,2.1DHA, ,1.427, ,1.069, ,855, ,790, ,1.083, ,767,5.991
AYTO.TORRENT A.P.,ES0021000008525230LR,2.1DHA, ,372, ,313, ,277, ,247, ,304,116, ,1.630
AYTO.TORRENT A.P.,ES0021000008527918CK,2.1DHA, ,463, ,363, ,283,203, ,278, ,399, ,1.989
ALUMBRADO PUBLICO,ES0021000008534241LL,2.1DHA, ,2.107, ,944,402,266,307,417,377,469,819, ,6.108
alumbrado publico,ES0021000008534859TQ,2.1DHA, ,2.900, ,2.039,904,591,717,772,929,1.021,1.970, ,11.841
ALUMBRADO PUBLICO,ES0021000008536500AR,2.1DHA,819, ,1.302,509,488,411,426,246,524,564,1.099, ,6.388
AYTO.TORRENT A.P.,ES0021000008538366SG,2.1DHA, ,1.152,426,375,364,329,329,257,349,452, ,687,4.721
ALUMB.PUBLICO,ES0021000008539370NL,2.1DHA, , , ,1.821, ,638,316,356,362,316,791, ,4.600
AYTO.TORRENT A.P.,ES0021000008540639ET,2.1DHA, ,3.950, ,1.428, ,1.191, ,406,86,86,158, ,7.306
ALUMBRADO PUBLICO,ES0021000008544154JL,2.1DHA, ,414,164,180,145,120,120,187,150,156,295, ,1.930
ALUMBRADO PUBLICO,ES0021000008552676QP,2.1DHA, ,1.800,662,660,560,468,493,509,590,620,1.203, ,7.565
AYTO.TORRENT A.P.,ES0021000008554144BG,2.1DHA, , , , , ,2.120,524,609,588,861, ,1.345,6.046
AYUNTAMIENTO DE TORRENT A.P,ES0021000008554806QE,2.1DHA, ,1.819, ,1.000,492,416,416,621,505,682, ,1.316,7.267
ALUMBRADO PUBLICO,ES0021000008556034RP,2.1DHA, , ,1.688,402,390,328,336,193,415,446,866, ,5.065
AYTO.TORRENT A.P.,ES0021000008557538CV,2.1DHA,917,748,613,756,545,461,421,453,543,571,1.102, ,7.129
AYTO.TORRENT A.P.,ES0021000008559384DT,2.1DHA, ,1.093, ,498, ,105, ,637,343,402, ,803,3.881
AYTO.TORRENT A.P.,ES0021000008561243CL,2.1DHA, ,1.018, ,752,312,232,284,364,318,378,718, ,4.377
ALUMBRADO PUBLICO,ES0021000008562012PY,2.1DHA, ,1.637, ,1.184, ,958,647, ,883, ,91, ,5.400
ALUMBRADO PUBLICO,ES0021000011001325NP,2.1DHA, ,1.393,459,549,391,343,357,438,395,538, ,884,5.748
ALUMBRADO PUBLICO,ES0021000011001328NB,2.1DHA, ,2.009, ,1.620, ,1.273,619,862,706,962, ,1.566,9.618
ALUMBRADO PUBLICO,ES0021000012770950VJ,2.1DHA, ,1.163, ,896,375,273,283,319,463,523,1.010, ,5.305
ALUMBRADO PUBLICO,ES0021000015261711GN,2.1DHA,427,369,270,247,242,201,196,206,243,253,477, ,3.132
ALUMBRADO PUBLICO,ES0021000015887457RC,2.1DHA, ,783,315, ,553, ,438, ,413, ,642, ,3.144
AYTO.TORRENT ESCUELAS,ES0021000008524832RV,3.0A,788,1.584,1.311,916,494,276,244,217,190,233,261,636,7.151
ALUMBRADO PUBLICO,ES0021000008524994PH,3.0A,1.567,1.299,1.051,1.214,884,872,814,960,1.027,922,1.120,1.215,12.946
C.P VIRGEN DEL ROSARIO,ES0021000008525258CY,3.0A,773,753,858, ,1.108,589,523, ,566,493,597,603,6.864
ALUMBRADO PUBLICO,ES0021000008525574BT,3.0A,933,770,607,701,527,494,450,550,584,525,653,712,7.506
ALUMBRADO PUBLICO,ES0021000008527192NP,3.0A,1.014,782,738,762,646,443,593,566,573,694,762,777,8.349
C.P SAN PASCUAL,ES0021000008527232ZW,3.0A,1.603,1.711,1.658,1.280,1.072,846,921,588,476,864,937,1.180,13.136
AYTO.TORRENT COLEG.PUBLICO,ES0021000008527235ZM,3.0A,343,471,355,346,397,264,267,351,191,487,921,881,5.273
C.P. JUAN XXIII ALTER,ES0021000008529830NR,3.0A,838,1.007,942,987,895,738,571,455,369,793, ,1.237,8.832
ALUMBRADO PUBLICO CALICANTO,ES0021000008530355BC,3.0A,878,730,608,714,492,474,448,497,581,574,644,764,7.406
ALUMBRADO PUBLICO CALICANTO,ES0021000008530371NJ,3.0A,817,569,478,615,350,383,358,394,458,452,510,626,6.008
ALUMBRADO PUBLICO CALICANTO,ES0021000008530391JX,3.0A,672,528,479,548,385,366,341,383,451,452,505,602,5.712
ALUMBRADO PUBLICO CALICANTO,ES0021000008530591EA,3.0A,426,364,319,393,282,277,264,296,329,293,317,449,4.008
ALUMBRADO PUBLICO,ES0021000008530632TK,3.0A,1.045,879,752,863,597,579,539,259,182,412,782,921,7.809
ALUMBRADO,ES0021000008530746MC,3.0A,337,287,248,235,183,237,219,247,264,237,206,285,2.984
AYTO.TORRENT CENTRO SOCIAL,ES0021000008531111KV,3.0A,561,597,445,496,394,462,575,416,476,412,348,426,5.606
ALUMBRADO PUBLICO,ES0021000008531452JJ,3.0A,1.798,1.120,1.266,1.164,968,743,805,927,920,984,1.351,1.691,13.737
ALUMBRADO PUBLICO,ES0021000008532456BM,3.0A,2.481,1.814,1.820,1.860,1.367,1.197,1.353,1.523,1.283,1.510,1.773,2.326,20.307
ALUMBRADO PUBLICO,ES0021000008532843MR,3.0A,1.175,893,867,883,689,605,694,616,734,732,852,885,9.626
C.P ANTONIO MACHADO,ES0021000008536629PS,3.0A,883,860,1.032,887,873,922,821,570,440,653,680,767,9.388
DEPENDENCIAS MUNICIPALES,ES0021000008536973TZ,3.0A, ,680, ,717,375,385,375,507,554,426,411,457,4.888
ALUMBRADO PUBLICO,ES0021000008537031AA,3.0A,1.135,861,882,899,636,568,645,639,604,772,872,1.098,9.611
ALUMBRADO PUBLICO,ES0021000008538047RF,3.0A,486,422,369,415,356,248,329,297,306,374,394,398,4.395
ALUMBRADO PUBLICO,ES0021000008538324JP,3.0A,1.237,761,909,780,588,518,511,585,527,612,864,1.074,8.967
C.P EL MOLÍ,ES0021000008538906SS,3.0A,749,756,869,717,708,681,603,393,401,566,627,637,7.709
ALUMB.PUBLICO,ES0021000008539311XY,3.0A,962,955,790,778,633,631,694,642,615,676,894,997,9.267
AYTO.TORRENT  ALDO. POL.1,ES0021000008539476VX,3.0A,529,472,351,392,331,334,261,340,375,326,411,461,4.584
ALUMBRADO PUBLICO,ES0021000008539772FF,3.0A,2.157,1.779,1.454,1.702,1.235,1.171,1.082,1.294,1.338,1.298,1.606,1.722,17.835
ALUMBRADO PUBLICO,ES0021000008539773FP,3.0A,1.801,1.519,1.243,1.470,1.061,953,889,1.057,1.143,1.128,1.362,1.462,15.088
ALUMBRADO PUBLICO,ES0021000008541120LK,3.0A,766,575,540,543,423,373,409,373,416,446,529,573,5.967
AYTO.TORRENT COLEG.PUBLICO,ES0021000008541363FB,3.0A,1.011,1.192,1.107,879,853,906,784,590,686,877,798,772,10.455
ALUMBRADO PUBLICO,ES0021000008541448BG,3.0A,1.789,1.187,1.523,1.548,1.406,1.032,1.182,1.397,1.261,1.337,1.814,1.831,17.308
ALUMBRADO PUBLICO,ES0021000008541577QH,3.0A,1.305,1.015,895,995,719,633,725,709,651,814,883,1.165,10.510
ALUMBRADO PUBLICO,ES0021000008541644LQ,3.0A,805,533,609,575,488,410,406,511,461,486,629,757,6.671
AYNTO.TORRENT (ALDO.PBCO.),ES0021000008541776WX,3.0A,2.077,1.529,1.558,1.609,1.153,1.016,1.139,1.155,1.076,1.377,1.490,1.959,17.140
MERCADO MUNICIPAL Y CENTS. JUV. SAN GREGORIO,ES0021000008542138HG,3.0A,774,608,607,471,300,1.102,177,817, , ,919,471,6.245
OFICINA DEL AYUNTAMIENTO,ES0021000008542775EC,3.0A,232,193,206,223,207,235,282,332,239,219,192,223,2.782
C.P MIGUEL HERNÁNDEZ,ES0021000008542883GJ,3.0A,763,753,857,726,698,896,843,543,516,722,672,824,8.813
ALUMBRADO PUBLICO,ES0021000008542885GS,3.0A,1.018,744,747,774,551,497,571,618,549,579,708,959,8.313
AYTO.TORRENT SANIDAD BS,ES0021000008543155QD,3.0A,543,506,480,452,321,317,481,442,526,291,259,289,4.907
C.P FEDERICO MAICAS,ES0021000008543802KN,3.0A,1.210,1.255,1.282,1.142,1.108,1.017,841,636,527,855,923,1.104,11.900
ALUMBRADO PUBLICO,ES0021000008543946GH,3.0A,1.036,590,670,712,643,522,571,657,588,627,835,1.015,8.466
ALUMBRADO PUBLICO,ES0021000008544603XP,3.0A,660,504,517,543,390,374,390,377,352,439,475,627,5.648
CENTRO MAYORES VG. EL OLIVAR,ES0021000008546571AK,3.0A,1.141,953,917,1.029,780,824,1.037,777,742,608,599,628,10.036
C.P SAN JUAN BAUTISTA,ES0021000008548377JX,3.0A,1.012,1.056,1.104, ,1.229,696,728, ,586,636,623,959,8.628
ALUMBRADO PUBLICO,ES0021000008548648WM,3.0A,2.370,1.721,1.713,1.777,1.259,1.111,1.274,1.334,1.236,1.390,1.963,1.872,19.019
ALUMBRADO PUBLICO,ES0021000008548891NH,3.0A,960,744,697,759,513,471,527,508,573,545,666,720,7.683
ALUMBRADO PUBLICO,ES0021000008549040LY,3.0A,528,432,357,415,302,289,272,319,326,316,383,416,4.357
ALUMBRADO PUBLICO,ES0021000008549871DD,3.0A,2.214,1.649,1.701,1.787,1.183,1.176,1.343,1.287,1.234,1.431, , ,15.005
AYTO.TORRENT ESCUELAS NACI,ES0021000008551000NB,3.0A,523,625,518, ,763,496,582, ,1.055,454,470,473,5.959
AYTO.TORRENT A.P.,ES0021000008551511BQ,3.0A,1.438,1.073,933,970,845,595,718,841,742,813,1.183,1.230,11.382
AYTO.TORRENT AS.ALCOHOL.REH,ES0021000008552004XA,3.0A,28,22,22,21,17,13,12,16,14,13,11,223,413
CASA CULTURA,ES0021000008552180VH,3.0A,1.244,1.330,1.082,910,682,874,1.702,1.186,1.065,711,556,756,12.097
ALUMBRADO PUBLICO,ES0021000008553359TR,3.0A,1.822,1.334,1.316,1.380,935,849,928,1.034,973,1.020,1.271,1.699,14.560
CONSULT. MEDICO AUXILIAR. MUNICIPAL,ES0021000008554938EQ,3.0A,343,293,288,264,233,295,381,422,296,264,215,274,3.569
AYTO.TORRENT CORREOS,ES0021000008554942EC,3.0A, ,1.010, ,401,109,99,127,264,133,226,239,320,2.927
AYTO.TORRENT POLICIA,ES0021000008556036RX,3.0A,2.380,2.113,2.142,1.917,1.546,1.558,2.109,2.482,1.665,1.815,1.625,2.087,23.437
ALUMBRADO PUBLICO,ES0021000008556523EZ,3.0A,2.195,1.643,1.537,1.709,1.119,1.047,1.188,1.125,1.317,1.224,1.586,1.644,17.334
CENTRO PERMANENTE DE ADULTOS,ES0021000008556894SV,3.0A,342,471,377,269,372,327,129,138,162,499,481,626,4.193
ALUMBRADO PUBLICO,ES0021000008559157EA,3.0A,1.443,1.042,1.042,1.079,805,725,839,912,826,874,1.054,1.345,11.983
JUZGADO NUMERO 7,ES0021000008561094ZP,3.0A,587,602,516,510,460,411,691,925,674,570,389,406,6.741
ALUMBRADO PUBLICO,ES0021000008561510DX,3.0A,1.140,824,714,735,633,460,530,613,527,566,767,793,8.302
ALUMBRADO PUBLICO,ES0021000008562719QT,3.0A,3.540,2.579,2.325,2.287,1.905,1.392,1.604,1.857,1.663,1.882,2.535,2.462,26.031
ALUMBRADO PUBLICO,ES0021000008562737QH,3.0A,1.009,708,648,600,552,409,480,569,520,561,775,793,7.623
