"Descripción Punto de Suministro","CUPS","Tarifa Acceso","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","Total"
"ALUMBRADO PUBLICO","ES0021000008536500AR","2.1DHA",12.383,0,6.338,4.998,4.458,4.308,7.437,2.243,4.740,5.006,0,9.630,61.541
"ALUMBRADO PUBLICO","ES0021000008537031AA","3.0A",9.469,7.034,7.169,7.370,5.442,4.753,5.168,5.385,5.225,6.801,7.487,9.130,80.433
"ALUMBRADO PUBLICO","ES0021000008538047RF","3.0A",3.959,3.437,2.965,3.321,2.906,1.955,2.487,2.282,2.483,3.170,3.294,3.249,35.508
"ALUMBRADO PUBLICO","ES0021000008538324JP","3.0A",9.794,6.110,7.043,6.079,5.301,4.354,4.203,5.264,4.801,5.543,7.038,8.778,74.308
"ALUMBRADO PUBLICO","ES0021000008538869ZR","2.0A",0,0,0,0,0,0,1.484,4.920,5.742,7.759,0,10.896,30.801
"ALUMBRADO PUBLICO","ES0021000008538869ZR","2.0DHA",10.015,8.837,6.367,5.577,5.467,4.831,2.952,0,0,0,0,0,44.046
"ALUMBRADO PUBLICO","ES0021000008539444QR","2.0A",0,0,0,0,0,0,1.368,2.090,2.243,0,3.178,3.178,12.057
"ALUMBRADO PUBLICO","ES0021000008539444QR","2.0DHA",0,0,2.540,0,4.624,1.771,2.431,0,0,0,0,0,11.366
"ALUMBRADO PUBLICO","ES0021000008539772FF","3.0A",16.515,13.307,10.868,12.875,9.806,9.172,8.095,10.227,10.834,10.418,12.607,12.873,137.597
"ALUMBRADO PUBLICO","ES0021000008539773FP","3.0A",15.638,12.943,10.493,12.242,9.362,8.809,7.755,9.763,10.011,10.139,12.091,12.608,131.854
"ALUMBRADO PUBLICO","ES0021000008539980QP","2.1A",0,10.200,3.498,4.091,2.858,2.537,2.405,2.602,2.741,4.499,0,6.534,41.965
"ALUMBRADO PUBLICO","ES0021000008540779MW","2.0DHA",6.816,0,8.620,0,6.967,0,5.992,0,5.841,0,7.606,0,41.842
"ALUMBRADO PUBLICO","ES0021000008541120LK","3.0A",5.556,4.139,3.899,3.981,3.292,2.867,3.039,2.855,3.131,3.509,4.002,4.172,44.442
"ALUMBRADO PUBLICO","ES0021000008541448BG","3.0A",13.727,8.601,12.263,12.738,11.846,8.506,9.468,11.617,10.766,11.618,15.381,15.176,141.707
"ALUMBRADO PUBLICO","ES0021000008541577QH","3.0A",11.681,8.974,7.874,8.835,6.694,5.888,6.408,6.506,6.194,7.873,8.223,10.464,95.614
"ALUMBRADO PUBLICO","ES0021000008541644LQ","3.0A",5.551,3.574,4.011,3.748,3.162,2.532,2.590,3.197,3.040,3.340,4.343,5.210,44.298
"ALUMBRADO PUBLICO","ES0021000008542773EH","2.1A",0,34.018,13.361,14.395,11.535,9.714,8.736,12.189,11.548,12.105,0,23.398,150.999
"ALUMBRADO PUBLICO","ES0021000008542885GS","3.0A",9.146,6.639,6.636,6.941,5.237,4.655,5.087,5.830,5.275,5.597,6.661,8.590,76.294
"ALUMBRADO PUBLICO","ES0021000008543669SV","2.1A",0,18.959,7.106,8.174,5.710,5.756,4.736,5.941,6.159,7.035,0,13.047,82.623
"ALUMBRADO PUBLICO","ES0021000008543946GH","3.0A",9.395,5.179,5.899,6.432,6.090,4.845,5.038,6.155,5.656,6.125,7.925,9.411,78.150
"ALUMBRADO PUBLICO","ES0021000008544154JL","2.1DHA",0,2.856,1.137,1.228,977,796,781,1.265,1.042,1.089,0,2.106,13.277
"ALUMBRADO PUBLICO","ES0021000008544603XP","3.0A",4.524,3.489,3.615,3.869,2.912,2.639,2.781,2.752,2.584,3.254,3.413,4.348,40.180
"ALUMBRADO PUBLICO","ES0021000008547880ZL","2.1A",6.741,5.305,4.919,5.376,3.815,3.814,3.283,3.590,4.150,5.310,0,7.411,53.714
"ALUMBRADO PUBLICO","ES0021000008548648WM","3.0A",20.900,15.034,14.977,15.743,11.776,10.246,11.148,12.258,11.475,13.275,17.950,16.621,171.403
"ALUMBRADO PUBLICO","ES0021000008548891NH","3.0A",7.598,5.750,5.374,5.817,3.917,3.447,3.749,3.786,4.589,4.494,5.473,5.633,59.627
"ALUMBRADO PUBLICO","ES0021000008549040LY","3.0A",4.219,3.360,2.744,3.194,2.363,2.194,1.953,2.408,2.563,2.570,3.128,3.315,34.011
"ALUMBRADO PUBLICO","ES0021000008549871DD","3.0A",17.776,12.954,13.313,14.011,10.535,9.129,9.886,11.551,10.332,11.947,0,0,121.434
"ALUMBRADO PUBLICO","ES0021000008551391YB","2.1A",13.262,13.693,8.831,7.922,7.770,6.183,6.734,0,13.860,8.060,0,16.852,103.167
"ALUMBRADO PUBLICO","ES0021000008552676QP","2.1DHA",0,15.287,5.686,5.687,4.854,4.102,4.260,4.542,5.246,5.439,0,10.105,65.208
"ALUMBRADO PUBLICO","ES0021000008553359TR","3.0A",15.017,10.755,10.664,11.191,8.339,7.099,7.889,9.151,8.490,8.997,10.596,13.971,122.159
"ALUMBRADO PUBLICO","ES0021000008553770VK","2.0A",6.807,0,9.704,0,6.838,0,3.606,4.585,3.861,4.066,0,7.830,47.297
"ALUMBRADO PUBLICO","ES0021000008554994WA","2.0A",0,2.264,0,1.041,0,1.503,0,1.457,812,0,2.080,0,9.157
"ALUMBRADO PUBLICO","ES0021000008556034RP","2.1DHA",0,0,2.500,3.817,3.418,3.329,5.694,1.696,3.625,3.838,0,7.386,35.303
"ALUMBRADO PUBLICO","ES0021000008556523EZ","3.0A",18.469,13.654,12.814,14.221,10.138,9.329,10.170,10.056,12.102,11.332,13.548,13.652,149.485
"ALUMBRADO PUBLICO","ES0021000008559157EA","3.0A",13.061,9.251,9.201,9.588,7.379,6.406,7.088,8.178,7.593,8.127,9.608,12.156,107.636
"ALUMBRADO PUBLICO","ES0021000008559868FR","2.0A",0,0,0,0,0,0,723,3.749,4.095,4.115,0,8.323,21.005
"ALUMBRADO PUBLICO","ES0021000008559868FR","2.0DHA",0,12.108,4.570,4.508,3.815,3.194,2.379,0,0,0,0,0,30.574
"ALUMBRADO PUBLICO","ES0021000008561510DX","3.0A",9.183,6.563,5.653,5.874,5.469,3.911,4.385,5.371,4.649,5.166,6.718,6.786,69.728
"ALUMBRADO PUBLICO","ES0021000008562012PY","2.1DHA",0,14.205,0,10.343,0,8.097,5.834,0,8.051,0,0,0,46.530
"ALUMBRADO PUBLICO","ES0021000008562421AR","2.0A",0,534,0,0,0,0,0,0,0,0,0,0,534
"ALUMBRADO PUBLICO","ES0021000008562719QT","3.0A",29.574,21.275,18.978,18.829,17.529,12.663,14.029,17.039,15.644,16.886,21.715,20.834,224.995
"ALUMBRADO PUBLICO","ES0021000008562737QH","3.0A",8.218,5.867,5.244,4.667,4.731,3.587,3.961,4.888,4.527,4.870,6.351,6.296,63.207
"ALUMBRADO PUBLICO","ES0021000010608259BN","2.0A",3.548,0,2.863,2.261,2.057,1.894,3.517,1.937,1.999,2.997,0,3.968,27.041
"ALUMBRADO PUBLICO","ES0021000010608274NG","2.0A",4.341,0,3.693,2.970,2.592,2.391,4.415,2.463,2.481,3.549,0,4.632,33.527
"ALUMBRADO PUBLICO","ES0021000010611048VH","2.0A",0,0,0,0,0,0,1.119,4.485,4.208,5.241,0,5.241,20.294
"ALUMBRADO PUBLICO","ES0021000010611048VH","2.0DHA",0,4.298,4.754,4.288,4.054,2.760,2.178,0,0,0,0,0,22.332
"ALUMBRADO PUBLICO","ES0021000010636798XP","2.0DHA",22,11,125,225,270,156,117,9,9,10,0,15,969
"ALUMBRADO PUBLICO","ES0021000011001318NR","3.0A",12.937,9.210,9.222,8.820,7.250,6.318,6.873,7.733,7.933,8.391,10.149,12.882,107.718
"ALUMBRADO PUBLICO","ES0021000011001319NW","3.0A",8.850,6.217,4.998,5.183,4.540,3.688,3.990,5.330,5.399,5.827,7.776,7.719,69.517
"ALUMBRADO PUBLICO","ES0021000011001324NF","3.0A",12.409,9.746,8.718,9.322,8.245,5.588,7.124,7.135,7.349,8.910,9.218,9.211,102.975
"ALUMBRADO PUBLICO","ES0021000011001325NP","2.1DHA",0,6.912,3.905,4.670,3.337,2.952,3.040,3.856,3.451,4.634,0,7.574,44.331
"ALUMBRADO PUBLICO","ES0021000011001326ND","3.0A",20.086,16.180,14.372,15.307,13.580,9.752,12.506,12.470,13.975,14.170,16.500,16.014,174.912
"ALUMBRADO PUBLICO","ES0021000011001328NB","2.1DHA",0,16.511,0,13.124,0,10.303,4.802,6.936,5.881,7.974,0,12.918,78.449
"ALUMBRADO PUBLICO","ES0021000011004433DB","3.0A",13.919,9.952,9.992,10.659,8.156,7.277,7.897,8.914,8.202,8.828,10.399,13.128,117.323
"ALUMBRADO PUBLICO","ES0021000011004435DJ","3.0A",13.183,9.342,9.288,9.629,7.151,6.159,6.687,7.675,7.170,7.738,9.263,11.965,105.250
"ALUMBRADO PUBLICO","ES0021000011021210WK","2.0A",0,0,0,0,0,0,1.534,6.123,5.704,7.102,0,12.518,32.981
"ALUMBRADO PUBLICO","ES0021000011021210WK","2.0DHA",0,539,6.407,5.956,5.608,3.761,2.987,0,0,0,0,0,25.258
"ALUMBRADO PUBLICO","ES0021000011147234PM","3.0A",12.093,8.952,7.986,7.959,7.524,5.311,6.014,7.193,6.650,7.244,9.406,9.635,95.967
"ALUMBRADO PUBLICO","ES0021000011191359VQ","2.0A",0,0,0,0,0,0,1.915,4.898,5.320,5.317,0,10.895,28.345
"ALUMBRADO PUBLICO","ES0021000011191359VQ","2.0DHA",0,12.333,5.598,5.234,5.220,3.974,2.362,0,0,0,0,0,34.721
"ALUMBRADO PUBLICO","ES0021000011421516LN","2.0A",0,0,0,0,0,0,176,222,546,413,0,567,1.924
"ALUMBRADO PUBLICO","ES0021000011421516LN","2.0DHA",0,148,260,22,240,275,92,0,0,0,0,0,1.037
"ALUMBRADO PUBLICO","ES0021000011482514AZ","2.0DHA",3.674,0,4.580,0,3.953,0,3.610,0,3.532,0,4.652,0,24.001
"ALUMBRADO PUBLICO","ES0021000011489085JF","2.0DHA",5.091,0,7.290,0,6.047,0,5.285,0,5.152,0,6.348,0,35.213
"ALUMBRADO PUBLICO","ES0021000011489126SW","2.0A",0,0,0,0,0,0,613,0,3.448,0,4.520,0,8.581
"ALUMBRADO PUBLICO","ES0021000011489126SW","2.0DHA",3.788,0,5.077,0,4.152,0,0,0,0,0,0,0,13.017
"ALUMBRADO PUBLICO","ES0021000011754023DP","2.0DHA",0,6.308,0,3.272,0,3.594,1.695,1.907,2.154,2.246,0,0,21.176
"ALUMBRADO PUBLICO","ES0021000011846025FX","2.0A",1.006,0,873,711,646,600,1.127,0,710,1.388,0,1.197,8.258
"ALUMBRADO PUBLICO","ES0021000011873573DG","3.0A",21.728,15.151,14.037,14.055,13.262,9.967,10.702,10.221,12.730,14.686,14.112,16.321,166.972
"ALUMBRADO PUBLICO","ES0021000011873632BV","3.0A",27.085,18.577,17.092,17.057,15.938,11.502,13.132,14.743,14.866,18.497,17.278,20.094,205.861
"ALUMBRADO PUBLICO","ES0021000011891814CY","2.1A",5.054,3.354,2.686,2.928,2.689,2.501,2.572,2.981,3.061,4.389,0,7.611,39.826
"ALUMBRADO PUBLICO","ES0021000012009881RZ","2.0DHA",8.621,6.426,5.661,5.641,4.745,3.732,4.020,4.756,4.978,4.953,0,12.061,65.594
"ALUMBRADO PUBLICO","ES0021000012498171WZ","2.0A",25,0,34,0,35,0,31,0,32,0,32,0,189
"ALUMBRADO PUBLICO","ES0021000012594438WA","3.0A",3.600,3.064,2.543,2.633,2.498,2.117,1.914,2.314,3.509,2.614,2.773,3.272,32.851
"ALUMBRADO PUBLICO","ES0021000012770950VJ","2.1DHA",0,3.573,0,7.674,3.236,2.371,2.395,2.792,4.160,4.660,0,8.876,39.737
"ALUMBRADO PUBLICO","ES0021000012956700CS","2.0DHA",0,0,0,0,0,0,0,0,0,0,0,0,0
"ALUMBRADO PUBLICO","ES0021000013005063FD","2.0DHA",6.702,0,5.310,0,4.487,0,3.855,0,4.163,0,5.186,0,29.703
"ALUMBRADO PUBLICO","ES0021000013005068FZ","2.0DHA",9.651,0,7.800,0,6.927,0,5.803,0,6.146,0,7.951,0,44.278
"ALUMBRADO PUBLICO","ES0021000013457710EQ","3.0A",13.461,8.485,9.043,8.927,8.872,4.805,0,0,9.867,7.935,9.449,9.834,90.678
"ALUMBRADO PUBLICO","ES0021000013457882FG","3.0A",9.201,7.768,6.524,6.726,7.158,6.187,5.574,0,13.644,8.071,9.070,10.147,90.070
"ALUMBRADO PUBLICO","ES0021000013458035JL","3.0A",7.004,5.830,5.298,5.434,5.025,4.163,4.010,5.414,4.912,4.446,5.997,6.902,64.435
"ALUMBRADO PUBLICO","ES0021000013458055ZQ","3.0A",2.805,2.355,4.186,5.140,4.524,3.996,3.355,3.789,4.203,5.256,5.877,6.518,52.004
"ALUMBRADO PUBLICO","ES0021000013884966SR","2.0A",0,0,0,0,0,0,862,2.137,2.229,2.120,0,4.666,12.014
"ALUMBRADO PUBLICO","ES0021000013884966SR","2.0DHA",0,6.083,0,4.570,2.058,1.668,939,0,0,0,0,0,15.318
"ALUMBRADO PUBLICO","ES0021000013976710RK","2.0DHA",0,0,0,215,0,183,0,142,0,188,220,0,948
"ALUMBRADO PUBLICO","ES0021000015261711GN","2.1DHA",3.305,2.835,2.065,1.863,1.814,1.514,1.464,1.582,1.886,1.959,0,3.693,23.980
"ALUMBRADO PUBLICO","ES0021000015338194VC","2.0A",0,284,0,201,0,168,0,131,0,174,208,0,1.166
"ALUMBRADO PUBLICO","ES0021000015810062VC","3.0A",10.379,6.766,7.882,7.350,6.294,5.182,5.371,6.549,6.041,6.489,8.323,9.801,86.427
"ALUMBRADO PUBLICO","ES0021000015866583ZF","2.0DHA",0,2.472,0,4.099,1.781,1.364,1.488,1.862,1.991,2.113,0,4.085,21.255
"ALUMBRADO PUBLICO","ES0021000015887457RC","2.1DHA",0,6.180,2.473,0,4.284,0,3.457,0,3.299,0,5.088,0,24.781
"ALUMBRADO PUBLICO","ES0021000015968132JB","2.0A",0,0,0,0,0,0,146,949,820,1.031,0,1.643,4.589
"ALUMBRADO PUBLICO","ES0021000015968132JB","2.0DHA",0,0,0,5.251,785,600,486,0,0,0,0,0,7.122
"ALUMBRADO PUBLICO","ES0021000016219253YH","3.0A",16.426,12.159,0,19.965,9.302,7.306,8.155,9.979,9.225,11.797,11.064,12.663,128.041
"ALUMBRADO PUBLICO","ES0021000016219259FR","3.0A",9.484,6.913,6.217,6.117,5.799,4.135,4.659,5.696,5.304,6.823,6.378,7.265,74.790
"ALUMBRADO PUBLICO","ES0021000016219260FW","3.0A",21.209,14.681,14.385,14.285,13.444,9.662,10.841,13.310,12.357,13.257,17.286,16.415,171.132
"ALUMBRADO PUBLICO","ES0021000016297940TE","3.0A",2.636,1.922,1.662,1.797,1.630,1.187,1.330,1.601,1.476,1.585,2.067,1.958,20.851
"ALUMBRADO PUBLICO","ES0021000016326108YS","3.0A",12.482,9.492,9.662,9.606,8.480,7.407,8.060,8.416,8.208,10.542,11.481,13.339,117.175
"ALUMBRADO PUBLICO","ES0021000016438047CJ","3.0A",4.708,2.848,3.131,2.934,2.486,2.086,2.219,2.713,2.525,2.725,3.743,4.470,36.588
"ALUMBRADO PUBLICO","ES0021000016445130YN","3.0A",6.314,4.613,4.066,4.269,3.849,2.727,3.052,3.819,3.610,3.810,4.839,5.045,50.013
"ALUMBRADO PUBLICO","ES0021000016461647BS","3.0A",9.516,6.172,7.044,6.325,5.721,4.538,4.761,5.104,5.519,5.578,7.098,7.436,74.812
"ALUMBRADO PUBLICO","ES0021000016473698YZ","3.0A",7.316,4.724,5.261,4.897,4.300,3.508,3.559,4.498,4.246,4.571,5.785,7.006,59.671
"ALUMBRADO PUBLICO","ES0021000016504483BW","3.0A",2.993,1.977,2.339,2.250,1.941,1.530,1.553,1.898,1.709,1.858,2.495,2.979,25.522
"ALUMBRADO PUBLICO","ES0021000016698434WV","3.0A",9.109,6.168,7.190,6.287,5.278,4.575,4.765,5.851,5.408,5.789,7.265,8.666,76.351
"ALUMBRADO PUBLICO","ES0021000018436130EV","2.0A",0,0,0,0,0,0,0,1.952,320,0,0,0,2.272
"ALUMBRADO PUBLICO","ES0021000018436130EV","2.0DHA",0,5.123,0,4.001,2.026,0,2.058,0,0,0,0,0,13.208
"ALUMBRADO PUBLICO","ES0021000019427797JQ","3.0A",5.697,5.815,6.670,6.376,6.722,6.348,4.902,2.322,2.889,7.098,8.208,10.588,73.635
"ALUMBRADO PUBLICO","ES0021000020031301XT","2.1A",769,0,769,1,0,50,1.279,2.870,1.978,1.923,0,2.214,11.853
"ALUMBRADO PUBLICO","ES0021000020077957ZN","2.0A",9,11,12,12,13,13,13,17,13,14,0,23,150
"ALUMBRADO PUBLICO","ES0021000020238527AL","2.0DHA",0,1.779,1.474,1.315,1.293,1.073,940,1.183,1.276,1.310,0,2.314,13.957
"ALUMBRADO PUBLICO","ES0021000020238535GG","2.0A",0,27,14,14,14,13,13,15,17,16,0,26,169
"ALUMBRADO PUBLICO","ES0026000010224223VA","2.1A",0,0,0,20.744,8.338,16.310,7.177,1.162,8.564,9.096,10.349,10.828,92.568
"ALUMBRADO PUBLICO","ES0026000010224224VG","2.1A",0,0,0,5.312,2.152,2.547,1.846,1.994,0,4.660,2.796,3.420,24.727
"ALUMBRADO PUBLICO","ES0026000010224227VF","2.0A",0,0,0,2.316,2.134,2.068,2.003,2.123,685,2.975,2.831,2.966,20.101
"ALUMBRADO PUBLICO","ES0026000010251307KQ","2.1A",0,0,0,4.036,3.584,3.328,2.812,3.136,3.574,3.933,4.703,5.139,34.245
"ALUMBRADO PUBLICO","ES0026000010496631SE","3.0A",0,0,0,3.922,2.181,1.777,1.323,1.362,1.152,1.677,0,7.118,20.512
"alumbrado publico","ES0021000008534859TQ","2.1DHA",0,15.794,0,18.349,8.292,5.522,6.646,7.342,8.716,9.352,0,17.753,97.766
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530355BC","3.0A",6.276,5.147,4.242,5.204,3.692,3.506,3.187,3.714,4.438,4.398,4.655,5.416,53.875
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530371NJ","3.0A",5.661,4.005,3.337,3.885,2.548,2.917,2.598,2.997,3.552,3.517,3.782,4.584,43.383
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530391JX","3.0A",4.693,3.574,3.313,3.958,2.853,2.663,2.361,2.802,3.372,3.391,3.577,4.203,40.760
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530591EA","3.0A",3.399,2.827,2.465,3.191,2.249,2.121,1.920,2.248,2.613,2.325,2.442,2.977,30.777
"ALUMBRADO PUBLICO, MIGUEL SERVET","ES0021000012652540KF","2.0A",0,0,0,0,0,0,106,476,526,354,0,1.116,2.578
"ALUMBRADO PUBLICO, MIGUEL SERVET","ES0021000012652540KF","2.0DHA",857,735,588,534,493,414,299,0,0,0,0,0,3.920
"ALZIRA (MARXADELLA)","ES0021000017555513FR","2.0A",12,10,10,10,9,7,8,10,9,9,0,16,110
"ASOCIAC, DE VECINOS CASTILLA LA MANCHA","ES0021000008537755BZ","2.0A",0,3.063,1.210,1.184,1.079,999,1.160,826,859,1.082,0,1.894,13.356
"ASOCIAC, DE VECINOS NICOLAS ANDREU","ES0021000008525851TR","2.0A",1.234,1.195,753,891,1.020,1.069,1.188,1,0,0,0,0,7.351
"ASOCIAC, VECINOS CAMI LA NORIA","ES0021000008558651TA","2.0A",272,239,241,316,212,203,232,227,131,167,0,302,2.542
"ASOCIACION DE DISCAPACITADOS","ES0021000008543671SL","2.0A",0,0,0,0,1,0,0,0,0,0,0,0,1
"ASOCIACIÓN VECINOS 25 DE ABRIL","ES0021000008545740JH","2.1A",0,3.616,1.956,1.292,1.311,1.945,2.147,2.531,1.228,1.361,0,2.021,19.408
"ASOCIACION VECINOS PINTOR BENEDITO","ES0021000008528949LV","2.0A",0,2.521,0,2.439,0,2.174,0,312,0,0,0,0,7.446
"Avda OLIMPICA, 9-6 esc. 6,","ES0021000020464396AM","2.1A",0,0,0,0,0,214,317,213,58,61,45,124,1.032
"AYNTO.TORRENT (ALDO.PBCO.)","ES0021000008541776WX","3.0A",18.449,13.342,13.569,14.132,10.629,9.212,9.792,10.509,10.047,13.012,13.663,17.353,153.709
"AYTO TORRENT-SEMAFOROS","ES0021000008540167RB","2.0DHA",421,373,295,377,301,286,106,465,286,317,0,541,3.768
"AYTO, TORRENT-A,P,","ES0021000008536138XF","2.0DHA",0,416,173,209,191,157,180,235,185,172,0,289,2.207
"AYTO,TORRENT- ASOC,MUJERES","ES0021000008528605GH","2.1A",1.024,1.859,1.638,917,599,496,7,1,10,32,0,7,6.590
"AYTO,TORRENT- CENTRO DE ADULTOS","ES0021000008528634YR","2.0A",0,0,0,0,0,0,0,0,0,0,0,0,0
"AYTO,TORRENT- CENTRO SALUD","ES0021000008551746KK","2.1A",0,1.743,835,753,543,578,684,419,430,489,0,1.102,7.576
"AYTO,TORRENT-AS,ALCOHOL,REH","ES0021000008552004XA","2.0A",66,59,56,34,14,5,22,6,0,0,0,0,262
"AYTO,TORRENT-AS,ALCOHOL,REH","ES0021000008552004XA","3.0A",0,0,0,0,0,0,0,0,0,0,0,826,826
"AYTO,TORRENT-ASOC,ANDALUZA","ES0021000008528530RN","2.1A",1.090,974,847,836,835,1.665,1.450,1.094,2.147,1.135,0,1.710,13.783
"AYTO,TORRENT-C,SOCIAL-CULTU","ES0021000008543518DG","2.0A",0,246,0,121,61,78,82,61,61,52,0,104,866
"AYTO,TORRENT-CE,EDUCA,PERMA","ES0021000008528615MM","2.0A",0,0,0,0,0,0,0,0,0,0,0,0,0
"AYTO,TORRENT-CENTRO SOCIAL","ES0021000008531111KV","3.0A",3.372,3.918,2.670,2.734,1.984,2.551,3.193,2.846,3.507,2.618,2.249,2.961,34.603
"AYTO,TORRENT-COLEG,PUBLICO","ES0021000008527235ZM","2.1A",1.861,2.756,2.003,1.907,2.265,1.474,1.506,1.911,921,0,0,0,16.604
"AYTO,TORRENT-COLEG,PUBLICO","ES0021000008527235ZM","3.0A",0,0,0,0,0,0,0,0,0,1.547,3.507,3.725,8.779
"AYTO,TORRENT-COLEG,PUBLICO","ES0021000008541363FB","3.0A",6.782,8.573,7.855,5.579,5.370,5.660,4.589,3.418,4.308,5.573,5.401,5.499,68.607
"AYTO,TORRENT-CORREOS","ES0021000008554942EC","2.0A",0,1.506,0,2.560,633,596,778,1.423,0,0,0,0,7.496
"AYTO,TORRENT-CORREOS","ES0021000008554942EC","3.0A",0,0,0,0,0,0,0,0,376,581,724,1.408,3.089
