Descripción Punto de Suministro,CUPS,"Tarifa de acceso",Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,TOTAL
DEPENDENCIA MUNICIPAL,ES0021000010374280GN,2.0A, ,733, ,321, ,155, ,394, ,171, ,253,2.027
ALUMBRADO PUBLICO,ES0021000010608259BN,2.0A, ,6.239, , ,5.199,3.268, ,3.293, ,4.928, ,5.963,28.890
ALUMBRADO PUBLICO,ES0021000010608274NG,2.0A, ,7.684, , ,6.298,4.224, ,1.201, ,6.300, ,7.800,33.507
ALUMBRADO PUBLICO,ES0021000010611048VH,2.0A, ,11.985, ,9.453, ,7.610, ,6.723, ,9.637, ,10.875,56.283
ALMACEN DEPENDENCIA MUNICIPAL,ES0021000010783064KV,2.0A, , ,33, ,0.00,0.00, ,0.00, ,0.00, ,51,84
ALUMBRADO PUBLICO,ES0021000011021210WK,2.0A, ,16.811, ,12.820, ,10.699, ,10.301, ,13.134, ,14.469,78.234
ALUMBRADO PUBLICO,ES0021000011191359VQ,2.0A, ,14.655, ,10.959, ,9.133, ,9.655, ,10.982, ,0.00,55.384
ALUMBRADO PUBLICO,ES0021000011421516LN,2.0A, ,655, ,525, ,419, ,431, ,529, ,587,3.146
ALUMBRADO PUBLICO,ES0021000011489126SW,2.0A, ,5.789, ,4.606, ,3.751, ,3.290, ,4.231, ,4.609,26.276
ALUMBRADO PUBLICO,ES0021000011846025FX,2.0A, ,1.786, , ,1.359,1.093, ,1.215, ,1.528, ,1.783,8.764
ALMACEN RIEGO. PARC CENTRAL. PASO INF.,ES0021000012001412RD,2.0A, ,1.218, ,3.383, ,1.898, ,0.00, ,1.919, ,160,8.578
ALUMBRADO PUBLICO,ES0021000012498171WZ,2.0A,32, , ,30, ,29,24, ,24, ,27, ,166
ALUMBRADO PUBLICO. MIGUEL SERVET,ES0021000012652540KF,2.0A, ,1.506, ,592, ,953, ,1.009, ,1.222, ,1.400,6.682
ALUMBRADO PUBLICO,ES0021000012956700CS,2.0A, ,0.00, ,0.00, ,0.00, ,0.00, ,0.00, ,8,8
ALUMBRADO,ES0021000013374733AT,2.0A, ,1.626, ,1.425, ,1.028, ,1.116, ,1.384, ,0.00,6.579
CONTENEDORES DE BASURA,ES0021000013665463QX,2.0A, ,3, ,3, ,2, ,2, ,2, ,3,15
ALUMBRADO PUBLICO,ES0021000013884966SR,2.0A, ,7.018, ,5.204, ,4.284, ,4.201, ,5.532, ,6.084,32.323
ALUMBRADO PUBLICO,ES0021000015338194VC,2.0A, , , , , , ,148, ,172, ,225, ,545
ALUMBRADO PUBLICO,ES0021000015968132JB,2.0A, ,2.446, ,1.883, ,1.396, ,1.541, ,1.931, ,0.00,9.197
FELIPE II (UR CUMBRES CALICANTO),ES0021000015983219WX,2.0A,296, ,237, ,199, ,143, ,204, ,264, ,1.343
MASIA DEL JUEZ,ES0021000016373121AQ,2.0A,92, , ,99, ,49,17, ,55, ,112,59,483
ALUMBRADO,ES0021000016576368PN,2.0A, ,7.150, ,5.520, ,3.883, ,4.334, ,5.101, ,5.948,31.936
ALUMBRADO,ES0021000016713525ZC,2.0A, ,55, ,0.00, ,95, ,45, ,51, ,31,277
C/ GASPAR NAVARRO PILES. 5 BIS,ES0021000016759786WM,2.0A, , , , , , , , , , , , ,0.00
SAN FERMIN,ES0021000016759796WS,2.0A, ,33, ,30, ,29, ,27, ,29,10, ,158
SAN VALERIANO,ES0021000017122256YH,2.0A,40, , ,36, ,35,32, ,37, ,33, ,213
GOMEZ FERRER,ES0021000017353336WV,2.0A, ,31, ,26, ,27, ,1, ,21, ,7,113
MUSICO JOSE ORTI SORIANO,ES0021000017353370GM,2.0A, ,82, ,76, ,76, ,70, ,77, ,72,453
VIRGEN DE LA PAZ,ES0021000017374817QQ,2.0A, ,93, ,83, ,86,75, ,0.00, ,92, ,429
SAN JUSTO,ES0021000017396257MC,2.0A,56, , ,27,25, ,27, ,29, ,18, ,182
ALZIRA (MARXADELLA),ES0021000017555513FR,2.0A, ,2, ,2, ,0.00, ,2, ,2, ,4,12
JESUS,ES0021000018275640JK,2.0A,11, ,9, ,8, ,3, ,3, , ,5,39
ALUMBRADO PUBLICO,ES0021000018436130EV,2.0A, , , , , , , ,3.012, , , , ,3.012
ALUMBRADO PUBLICO,ES0021000020077957ZN,2.0A, , , , , , , , , , , ,5,5
ALUMBRADO PUBLICO,ES0021000020238535GG,2.0A, , , , , , , , , , , , ,0.00
C/ MALVARROSA. 38 BIS,ES0021000020666022YJ,2.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020666034FW,2.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000020666042FX,2.0A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010224227VF,2.0A, , , , , , , , , , , , ,0.00
AYTO.TORRENT ,ES0021000008524654VT,2.0DHA, ,11.014, ,8.538, ,6.787, ,6.024, ,8.384, ,9.714,50.461
Ptda MASIA DEL JUEZ. 8 1 46080,ES0021000008525242LJ,2.0DHA, ,3.333, , ,3.005,2.089, ,2.206, ,0.00, ,11.822,22.455
ALUMBRADO PUBLICO,ES0021000008525243LZ,2.0DHA, , ,7.469, ,5.587,4.245, ,4.631, ,5.831, ,6.352,34.115
Ptda MASIA DEL JUEZ. 8 1 46080,ES0021000008525245LJ,2.0DHA, , , , , , , , , , , , ,0.00
AYTO.TORRENT A.P.,ES0021000008525735HT,2.0DHA, ,3.780, , ,2.840,2.085, ,2.299, ,2.879, , ,13.883
AYTO.TORRENT SEMAFOROS,ES0021000008531410BV,2.0DHA, ,0.00, ,0.00, ,1.644, ,74, ,150, ,172,2.040
AYTO.TORRENT SEMAFOROS,ES0021000008533915MS,2.0DHA, ,687, ,675, ,614, ,667, ,711, ,616,3.970
AYTO.TORRENT SEMAFOROS,ES0021000008534337RT,2.0DHA, ,255, ,187, ,175, ,172, ,184, ,148,1.121
AYTO.TORRENT SEMAFOROS,ES0021000008535732SS,2.0DHA,679, , ,625, ,636,439, ,527, ,537,150,3.593
AYTO. TORRENT A.P.,ES0021000008536138XF,2.0DHA,428, , ,398, ,439,341, ,278, ,347, ,2.231
AYTO.TORRENT A.P.,ES0021000008538191FJ,2.0DHA, ,8.897, , , ,13.283, ,6.108, ,6.475, ,7.474,42.237
AYTO.TORRENT A.P.,ES0021000008538215PZ,2.0DHA, ,6.043, ,5.461, ,4.970, ,724, ,750, ,795,18.743
AYTO.TORRENT A.P.,ES0021000008538249XW,2.0DHA, ,10.035, ,9.644, ,6.316, ,7.149, ,7.709, ,8.137,48.990
AYTO.TORRENT A.P.,ES0021000008538280BX,2.0DHA, ,5.311, ,4.422, ,3.675, ,3.385, ,3.908, ,4.222,24.923
AYTO TORRENT SEMAFOROS,ES0021000008540167RB,2.0DHA, ,651, ,657, ,485, ,670, ,659,655, ,3.777
ALUMBRADO PUBLICO,ES0021000008540779MW,2.0DHA, ,10.987, ,7.757, ,6.036, ,5.218, ,6.852, ,7.666,44.516
AYTO.TORRENT SEMAFOROS,ES0021000008542545NC,2.0DHA, ,135, ,29, ,34, ,31, ,35,31, ,295
AYTO.TORRENT A.P.,ES0021000008544201SC,2.0DHA, ,4.274, ,3.112, ,2.822, ,2.660, ,3.145, ,3.657,19.670
AYTO.TORRENT SEMAFOROS,ES0021000008546409LC,2.0DHA, ,115, ,109, ,52, , , ,214, , ,490
AYTO.TORRENT SEMAFOROS,ES0021000008551135HP,2.0DHA, ,284, , , ,249, ,222, ,214, ,204,1.173
AYTO.TORRENT A.P.,ES0021000008553012FE,2.0DHA, ,1.021, ,800, ,227, ,653, ,793, ,916,4.410
AYTO.TORRENT SEMAFOROS,ES0021000008553161ZX,2.0DHA,623, , ,549, ,345,520, ,545, ,538,142,3.262
AYTO.TORRENT A.P.,ES0021000008554642DL,2.0DHA, ,18.332, ,14.553, ,11.961, ,10.329, ,13.169, ,14.328,82.672
AYUNTAMIENTO TORRENTE A.P.,ES0021000008555080MC,2.0DHA, ,4.711, ,3.754, ,3.038, ,2.955, ,3.748, ,4.178,22.384
AYTO.TORRENT A.P. M.CHAPI,ES0021000008555148PL,2.0DHA, ,6.049, ,4.505, ,3.169, ,3.580, ,5.223, ,5.269,27.795
AYTO.TORRENT A.P.,ES0021000008561487PX,2.0DHA, ,3.836, ,3.309, ,3.051, ,3.035, ,3.380, ,3.768,20.379
ALUMBRADO PUBLICO,ES0021000010636798XP,2.0DHA, ,0.00, ,601, ,1.060, ,375, ,209, ,139,2.384
ALUMBRADO PUBLICO,ES0021000011482514AZ,2.0DHA, ,5.552, ,4.522, ,3.764, ,3.248, ,4.219, ,4.407,25.712
ALUMBRADO PUBLICO,ES0021000011489085JF,2.0DHA, ,8.048, ,6.378, ,5.253, ,4.573, ,5.649, ,5.529,35.430
SEMAFOROS,ES0021000011527680NP,2.0DHA, ,204, ,183, ,197, ,173, ,193, ,193,1.143
ALUMBRADO PUBLICO,ES0021000011754023DP,2.0DHA, ,6.447, ,5.196, ,3.803, ,4.155, ,5.017, ,5.432,30.050
ALUMBRADO PUBLICO,ES0021000012009881RZ,2.0DHA, ,13.703, ,10.786, ,9.305, ,6.635, ,10.910, ,12.968,64.307
ALUMB. PUBLICO. PARQUE CENTRAL. FASE B,ES0021000012268255BY,2.0DHA, ,5.125, ,4.143, ,2.987, ,0.00, ,6.758, ,4.246,23.259
ALUMB. PUBLICO. URB. MASIA PAVIA,ES0021000012712829CJ,2.0DHA, ,1.201, , ,974,700, ,764, ,927, ,1.082,5.648
ALUMBRADO PUBLICO,ES0021000013005063FD,2.0DHA,6.204, ,4.921, ,4.123, ,3.178, ,4.186, ,5.143, ,27.755
ALUMBRADO PUBLICO,ES0021000013005068FZ,2.0DHA,9.881, ,7.982, ,7.691, ,5.806, ,6.682, ,7.884, ,45.926
ALUMBRADO PUBLICO,ES0021000013976710RK,2.0DHA, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0021000015866583ZF,2.0DHA, ,5.692, ,4.233, ,3.679, ,3.859, ,3.216, ,5.661,26.340
ALUMBRADO,ES0021000016297908EJ,2.0DHA, ,4.109, ,3.669, ,3.015, ,2.863, ,3.585, ,4.009,21.250
Ptda MASIA DEL JUEZ. 8 1 46080,ES0021000017712829CJ,2.0DHA, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0021000020238527AL,2.0DHA, , , , , , , , , , , ,1.028,1.028
ALUMBRADO PUBLICO,ES0021000008525073NM,2.1A, ,35.791, ,15.179, ,11.162, ,12.508, ,13.455,7.982, ,96.077
AYTO.TORRENT ASOC.ANDALUZA,ES0021000008528530RN,2.1A, ,2.410, ,1.780, ,1.951, ,2.667, ,3.205,409, ,12.422
AYTO.TORRENT  ASOC.MUJERES,ES0021000008528605GH,2.1A, ,2.896, ,2.472, ,1.017, ,335, ,159,197, ,7.076
AYTO.TORRENT FEDERACI.APAS,ES0021000008528750BW,2.1A, ,2.537, ,2.323, ,2.662, , , ,7.710,597, ,15.829
BIBLIOTECA EL VEDAT,ES0021000008535179ZZ,2.1A, ,1.885, ,1.141, ,1.984, ,3.235, ,2.539, ,1.553,12.337
ALUMBRADO PUBLICO,ES0021000008539980QP,2.1A, ,8.645, ,7.063, ,5.311, ,4.815, ,5.765,7.481, ,39.080
ALUMBRADO PUBLICO,ES0021000008542773EH,2.1A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0021000008543669SV,2.1A, ,18.271, ,14.234, ,11.901, ,10.040,12.743, ,3.567, ,70.756
ASOCIACIÓN VECINOS 25 DE ABRIL,ES0021000008545740JH,2.1A, ,2.465, ,1.888, ,1.785,2.877, ,2.936, ,2.388, ,14.339
ALUMBRADO PUBLICO,ES0021000008547880ZL,2.1A, ,12.012, ,9.336, ,7.140, ,6.436, ,8.324,9.958, ,53.206
CLUB,ES0021000008550644CT,2.1A, ,4.578, , , ,3.800, ,5.535, , , ,9.441,23.354
ALUMBRADO PUBLICO,ES0021000008551391YB,2.1A, ,23.966, ,17.691, ,14.950, ,13.568, ,16.636, ,19.796,106.607
AYTO.TORRENT  CENTRO SALUD,ES0021000008551746KK,2.1A, ,1.937, ,1.781, ,998, ,1.019, ,1.006,495, ,7.236
CAMPO TIRO CALICANTO,ES0021000011282414CZ,2.1A,2.454, ,1.658, ,1.622, ,1.297, ,1.694, ,2.319, ,11.044
ALUMBRADO PUBLICO,ES0021000011891814CY,2.1A, ,8.273, ,5.498, ,1.412, ,4.411, ,5.241, ,6.851,31.686
PARC CENTRAL. BOMBEO. FASE B,ES0021000012001813HL,2.1A, ,1.183, ,1.633, ,1.089, ,3.158, ,2.057, ,1.636,10.756
VALENCIA,ES0021000016122274EF,2.1A,5.254, ,4.496, ,3.398, ,371, ,2.883, , ,3.747,20.149
DE L'ERA,ES0021000016190307JY,2.1A, ,17, ,16, ,16, ,1, ,20, ,20,90
ALUMBRADO PUBLICO,ES0021000020031301XT,2.1A, , , , , , , , , , , ,0.00,0.00
C/ BURGOS (PANTANO). 1. Bajo,ES0021000020252581QC,2.1A, , , , , , , , , , , , ,0.00
Avda OLIMPICA. 9 6 esc. 6.,ES0021000020464396AM,2.1A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010224223VA,2.1A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010224224VG,2.1A, , , , , , , , , , , , ,0.00
C/ A SECTOR 2. S/N MASIA DEL JUEZ,ES0026000010224226VY,2.1A, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0026000010251307KQ,2.1A, , , , , , , , , , , , ,0.00
SERVICIOS GENERALES,ES0021000008524269TY,2.1DHA, ,12.162, , ,10.730,7.483, ,8.149, ,10.218, ,11.253,59.995
AYTO.TORRENT A.P.,ES0021000008525230LR,2.1DHA, , ,1.918, ,1.452,1.054, ,1.195, ,1.600, ,1.790,9.009
AYTO.TORRENT A.P.,ES0021000008527918CK,2.1DHA, ,3.300, ,2.534, ,1.802, ,1.988, ,2.361, ,2.817,14.802
ALUMBRADO PUBLICO,ES0021000008534241LL,2.1DHA, , , ,17.214, ,6.079, ,5.836, ,7.549, , ,36.678
alumbrado publico,ES0021000008534859TQ,2.1DHA, ,24.077, ,18.790, ,14.668, ,14.013, ,17.819, ,20.989,110.356
ALUMBRADO PUBLICO,ES0021000008536500AR,2.1DHA, ,12.039, , ,10.859,7.198, ,8.309, , , ,9.556,47.961
AYTO.TORRENT A.P.,ES0021000008538366SG,2.1DHA, ,11.508, ,6.951, ,5.631, ,6.073, ,6.765, ,7.872,44.800
ALUMB.PUBLICO,ES0021000008539370NL,2.1DHA, ,9.106, ,7.315, ,5.458, ,6.088, ,7.251, ,7.780,42.998
AYTO.TORRENT A.P.,ES0021000008540639ET,2.1DHA, ,17.586, ,14.602, ,10.664, ,11.656, ,12.465, , ,66.973
ALUMBRADO PUBLICO,ES0021000008544154JL,2.1DHA, , , , , , , , , , , , ,0.00
ALUMBRADO PUBLICO,ES0021000008552676QP,2.1DHA, ,14.926, ,10.665, ,9.484, ,8.717, ,11.270, ,12.341,67.403
AYTO.TORRENT A.P.,ES0021000008554144BG,2.1DHA, ,18.157, ,13.070, ,10.874, ,11.570, ,13.121, ,14.881,81.673
AYUNTAMIENTO DE TORRENT A.P,ES0021000008554806QE,2.1DHA, ,13.600, ,11.347, ,8.286, ,9.016, ,10.263, ,12.402,64.914
ALUMBRADO PUBLICO,ES0021000008556034RP,2.1DHA, ,9.250, , ,8.395,5.555, ,6.446, ,7.777, ,8.446,45.869
AYTO.TORRENT A.P.,ES0021000008557538CV,2.1DHA, ,13.045, ,10.397, ,8.810, ,530, ,9.686, ,11.800,54.268
AYTO.TORRENT A.P.,ES0021000008559384DT,2.1DHA, ,8.545, ,6.361, ,7.158, ,7.001, ,8.006, ,8.378,45.449
AYTO.TORRENT A.P.,ES0021000008561243CL,2.1DHA, ,7.785, ,5.962, ,5.510, ,5.223, ,6.158, ,6.967,37.605
ALUMBRADO PUBLICO,ES0021000008562012PY,2.1DHA, ,13.670, ,11.031, ,8.041, ,8.491, ,10.077, ,11.505,62.815
ALUMBRADO PUBLICO,ES0021000011001325NP,2.1DHA, ,11.258, ,9.054, ,6.525, ,7.076, ,8.118, ,9.420,51.451
ALUMBRADO PUBLICO,ES0021000011001328NB,2.1DHA, ,16.647, ,13.448, ,9.642, ,0.00, ,21.815, ,13.840,75.392
ALUMBRADO PUBLICO,ES0021000012770950VJ,2.1DHA, ,10.174, ,8.028, ,5.923, ,6.513, ,6.823, ,8.372,45.833
ALUMBRADO PUBLICO,ES0021000015261711GN,2.1DHA, ,5.537, ,1.204, ,3.596, ,3.046, ,3.793, ,4.399,21.575
ALUMBRADO PUBLICO,ES0021000015887457RC,2.1DHA, ,5.548, ,4.484, ,3.477, ,3.414, ,4.356, ,4.778,26.057
AYTO.TORRENT ESCUELAS,ES0021000008524832RV,3.0A,7.156,11.255,7.251,3.519,1.068,1.339,698,726,780,876,1.337,3.884,39.889
ALUMBRADO PUBLICO,ES0021000008524994PH,3.0A,15.381,11.582,11.176,11.723,9.125,8.310,7.453,9.586,9.749,9.838,12.892,11.200,128.015
C.P VIRGEN DEL ROSARIO,ES0021000008525258CY,3.0A,3.412,4.481,4.614,4.153,3.250,3.861,2.485, ,3.495,3.496,4.518,4.421,42.186
ALUMBRADO PUBLICO,ES0021000008525574BT,3.0A,8.855,6.107,6.383,6.803,5.286,4.939,4.535,5.564,5.629,5.581,7.154,6.502,73.338
ALUMBRADO PUBLICO,ES0021000008527192NP,3.0A,8.140,6.098,5.904,5.475,5.619,4.614,4.834,4.281,5.293,5.924,6.988,6.368,69.538
C.P SAN PASCUAL,ES0021000008527232ZW,3.0A,14.903,14.800,13.868,11.853,7.227,7.346,5.636,2.349,3.090,6.322,7.454,10.174,105.022
AYTO.TORRENT COLEG.PUBLICO,ES0021000008527235ZM,3.0A, ,10.672, ,8.694, ,7.198, ,2.989, ,6.811, ,8.241,44.605
C.P. JUAN XXIII ALTER,ES0021000008529830NR,3.0A,7.415,5.977,6.666,5.778,5.178,5.703,3.917,2.007,3.022,4.227,6.119,6.377,62.386
CAMPO DE FUTBOL,ES0021000008529831NW,3.0A,4.377,3.178,3.680,2.856,2.317,2.147,2.583,1.786,1.569,2.348,3.550,4.415,34.806
ALUMBRADO PUBLICO CALICANTO,ES0021000008530355BC,3.0A,6.149,4.668,4.779,5.138,4.882,4.011,3.156,3.817,4.370,4.196,5.843,5.279,56.288
ALUMBRADO PUBLICO CALICANTO,ES0021000008530371NJ,3.0A,4.850,3.702,3.721,3.348,3.204,2.990,2.281,2.840,3.418,3.298,4.378,3.990,42.020
ALUMBRADO PUBLICO CALICANTO,ES0021000008530391JX,3.0A,4.893,3.720,3.876,3.488, ,6.403,2.396,2.873,3.320,3.173,4.413,4.055,42.610
ALUMBRADO PUBLICO CALICANTO,ES0021000008530591EA,3.0A,3.387,2.572,2.681,2.292, ,3.751,1.667,2.091,2.369,2.251,3.019,2.819,28.899
ALUMBRADO PUBLICO,ES0021000008530632TK,3.0A,7.651,5.737,5.692,5.151, ,9.764,3.781,4.617,5.254,4.995,7.130,6.760,66.532
ALUMBRADO,ES0021000008530746MC,3.0A,1.742,1.235,1.301,1.191, ,1.206,848,1.024,1.174,458,1.796,1.519,13.494
AYTO.TORRENT CENTRO SOCIAL,ES0021000008531111KV,3.0A,255,403,269,202,637,1.673,2.132,2.685,2.203,2.398,2.243,2.249,17.349
ALUMBRADO PUBLICO,ES0021000008531452JJ,3.0A,12.208,10.993,11.264,9.613,8.484,7.161,7.843,7.842,9.082,9.464,12.255,10.046,116.255
ALUMBRADO PUBLICO,ES0021000008532456BM,3.0A,18.041,16.343,15.725,15.318,12.927,11.213,11.309,11.696,14.310,14.113,17.067,15.749,173.811
ALUMBRADO PUBLICO,ES0021000008532843MR,3.0A,10.526,8.410,7.848,7.536,6.914,5.732,5.700,6.479,6.866,7.832,8.870,7.971,90.684
C.P ANTONIO MACHADO,ES0021000008536629PS,3.0A,5.191,6.627,6.518,5.943,4.342,5.259,4.283,2.652,3.223,5.211,5.888,5.712,60.849
DEPENDENCIAS MUNICIPALES,ES0021000008536973TZ,3.0A,5.183, , ,4.781, ,5.852,6.965, ,7.721, ,4.431, ,34.933
ALUMBRADO PUBLICO,ES0021000008537031AA,3.0A,7.819,7.079,6.805,6.832,5.739,5.018,4.774,5.445,5.604,6.721,7.405,6.885,76.126
ALUMBRADO PUBLICO,ES0021000008538047RF,3.0A,3.907,2.933,2.927,2.663,2.683,2.189,2.222,1.954,2.389,2.714,3.121,3.036,32.738
ALUMBRADO PUBLICO,ES0021000008538324JP,3.0A,6.763,6.060,6.181,5.211,4.804,4.098,4.369,4.619,5.147,5.504,7.324,6.078,66.158
C.P EL MOLÍ,ES0021000008538906SS,3.0A,5.314,6.536,6.523,5.554,4.077,4.753,3.512,1.730,1.885,4.397,5.466,5.017,54.764
ALUMB.PUBLICO,ES0021000008539311XY,3.0A,11.206,6.901,7.259,6.110,5.037,5.216,4.365,5.006,5.915,5.890,7.581,7.095,77.581
AYTO.TORRENT  ALDO. POL.1,ES0021000008539476VX,3.0A,4.983,3.652,3.619,3.207,2.872,2.519,2.291,2.981,3.104,3.064,3.729,3.486,39.507
ALUMBRADO PUBLICO,ES0021000008539772FF,3.0A,15.945,11.933,11.864,12.241,9.750,9.064,8.293,10.524,10.508,10.494,13.697,12.414,136.727
ALUMBRADO PUBLICO,ES0021000008539773FP,3.0A,15.704,11.819,11.783,12.123,9.511,8.645,7.937,9.897,10.088,10.083,13.501,12.260,133.351
ALUMBRADO PUBLICO,ES0021000008541120LK,3.0A,5.241,4.272,3.947,3.342,3.560,2.750,2.874,3.212,2.901,4.034,4.499,4.020,44.652
AYTO.TORRENT COLEG.PUBLICO,ES0021000008541363FB,3.0A,7.001,9.286,7.507,6.729,5.477,5.900,4.536,1.498,1.677,5.344,6.537,6.639,68.131
ALUMBRADO PUBLICO,ES0021000008541448BG,3.0A,18.451,12.045,13.180,13.512,11.604,9.937,7.304,6.178,8.321,8.991,10.581,8.359,128.463
ALUMBRADO PUBLICO,ES0021000008541577QH,3.0A,9.759,8.822,8.465,8.439,7.147,6.285,6.020,6.899,7.154,8.531,9.403,8.644,95.568
ALUMBRADO PUBLICO,ES0021000008541644LQ,3.0A,4.720,4.235,4.317,3.682,3.209,2.689,2.915,2.893,3.311,3.466,4.553,3.818,43.808
AYNTO.TORRENT (ALDO.PBCO.),ES0021000008541776WX,3.0A,15.541,14.050,13.507,13.323,10.983,9.537,9.151,10.585,11.010,13.102,14.401,13.225,148.415
MERCADO MUNICIPAL Y CENTS. JUV. SAN GREGORIO,ES0021000008542138HG,3.0A, ,8.687, ,4.874, ,2.188, , ,11.402, ,2.378,226,29.755
OFICINA DEL AYUNTAMIENTO,ES0021000008542775EC,3.0A,865,938,938,973,924,1.166,1.380,1.514,1.407,1.507,1.295,863,13.770
C.P MIGUEL HERNÁNDEZ,ES0021000008542883GJ,3.0A,3.788,5.258,5.391,4.855,3.671,4.903,3.913,1.590,2.255,5.075,5.514,5.125,51.338
ALUMBRADO PUBLICO,ES0021000008542885GS,3.0A,7.761,6.883,6.587,6.487,5.417,4.800,4.923,4.860,6.014,6.018,7.191,6.734,73.675
