"Descripción Punto de Suministro","CUPS","Tarifa Acceso","ene.","feb.","mar.","abr.","may.","jun.","jul.","ago.","sep.","oct.","nov.","dic.","total"
"ALUMBRADO PUBLICO","ES0021000008531452JJ","3.0A","1.402,22","1.254,68","1.250,61","1.297,85","864,76","849,57","864,70","741,19","942,73","1.048,88","1.230,79","1.546,15","13.294,13"
"ALUMBRADO PUBLICO","ES0021000008532456BM","3.0A","2.090,86","1.663,31","1.949,36","1.674,06","1.276,15","1.335,49","1.215,68","1.153,80","1.462,01","1.430,41","1.873,81","1.900,46","19.025,40"
"ALUMBRADO PUBLICO","ES0021000008532843MR","3.0A","1.229,54","780,87","905,22","829,23","628,01","660,79","615,11","580,95","720,95","707,08","883,46","937,30","9.478,51"
"ALUMBRADO PUBLICO","ES0021000008534241LL","2.1DHA","681,77","431,46","465,80","449,35","394,84","324,90","329,94","374,01","372,34","437,62","512,10","571,58","5.345,71"
"ALUMBRADO PUBLICO","ES0021000008536393KD","2.0A","342,00","153,24","195,40","231,83","160,43","177,50","171,80","178,72","200,20","239,91","245,59","297,34","2.593,96"
"ALUMBRADO PUBLICO","ES0021000008536467RZ","2.0A","640,72","360,25","410,64","396,84","311,41","346,37","371,17","318,20","415,75","429,84","539,27","529,10","5.069,56"
"ALUMBRADO PUBLICO","ES0021000008536500AR","2.1DHA","816,44","686,96","599,79","611,76","475,13","480,95","383,45","477,45","459,09","495,48","650,71","734,61","6.871,82"
"ALUMBRADO PUBLICO","ES0021000008537031AA","3.0A","955,23","844,68","852,85","876,45","604,39","635,49","565,19","539,24","678,52","697,11","891,61","890,12","9.030,88"
"ALUMBRADO PUBLICO","ES0021000008538047RF","3.0A","513,89","398,06","376,88","416,45","296,05","317,73","283,64","261,49","323,24","309,15","382,82","376,54","4.255,94"
"ALUMBRADO PUBLICO","ES0021000008538324JP","3.0A","925,85","837,75","835,59","862,22","525,21","513,58","533,78","449,86","612,43","647,17","823,60","937,45","8.504,49"
"ALUMBRADO PUBLICO","ES0021000008538869ZR","2.0A","1.475,53","1.055,96","661,42","836,16","788,81","730,92","579,40","825,99","762,15","1.018,58","1.160,35","1.314,28","11.209,55"
"ALUMBRADO PUBLICO","ES0021000008539444QR","2.0A","384,69","287,82","270,83","271,28","236,03","243,39","186,49","251,37","284,27","306,57","407,35","412,44","3.542,53"
"ALUMBRADO PUBLICO","ES0021000008539772FF","3.0A","2.184,92","1.636,43","1.621,25","1.741,72","1.223,97","1.238,44","295,57","1.304,61","1.446,99","1.118,72","1.387,33","1.344,53","16.544,48"
"ALUMBRADO PUBLICO","ES0021000008539773FP","3.0A","1.783,18","1.335,09","1.353,19","1.428,39","1.060,49","1.064,45","1.051,47","694,40","1.194,14","1.316,29","1.663,91","1.603,60","15.548,60"
"ALUMBRADO PUBLICO","ES0021000008539980QP","2.1A","729,23","664,02","467,34","566,48","614,13","439,13","376,38","397,06","601,88","489,58","612,51","756,21","6.713,95"
"ALUMBRADO PUBLICO","ES0021000008540779MW","2.0DHA","0,00","1.061,79","0,00","628,00","0,00","412,23","0,00","75,12","966,28","0,00","0,00","90,87","3.234,29"
"ALUMBRADO PUBLICO","ES0021000008541120LK","3.0A","762,11","545,12","546,40","543,08","401,29","421,15","386,84","339,20","411,39","475,20","562,07","611,85","6.005,70"
"ALUMBRADO PUBLICO","ES0021000008541448BG","3.0A","2.050,66","1.663,32","1.538,59","1.651,33","1.209,86","1.153,17","1.145,18","1.181,21","1.299,19","1.340,65","1.720,64","1.943,51","17.897,31"
"ALUMBRADO PUBLICO","ES0021000008541577QH","3.0A","991,91","881,74","882,42","916,25","637,75","661,85","614,90","580,71","739,33","745,23","924,60","907,49","9.484,18"
"ALUMBRADO PUBLICO","ES0021000008541644LQ","3.0A","624,51","562,32","572,09","597,93","436,12","422,74","420,74","434,85","470,38","534,37","564,65","686,83","6.327,53"
"ALUMBRADO PUBLICO","ES0021000008542773EH","2.1A","2.951,41","1.826,41","1.991,14","2.015,39","1.587,02","1.607,18","1.310,47","1.655,55","1.573,20","1.796,75","1.937,00","2.015,83","22.267,35"
"ALUMBRADO PUBLICO","ES0021000008542885GS","3.0A","870,18","685,71","827,44","714,98","535,22","562,79","507,66","485,39","601,08","608,61","780,33","865,97","8.045,36"
"ALUMBRADO PUBLICO","ES0021000008543669SV","2.1A","1.444,38","1.308,93","1.140,67","1.157,93","883,76","937,38","758,68","986,30","941,32","788,39","1.289,97","1.155,15","12.792,86"
"ALUMBRADO PUBLICO","ES0021000008543946GH","3.0A","843,53","738,63","723,63","800,15","560,55","557,54","494,33","488,73","594,61","691,48","743,15","906,33","8.142,66"
"ALUMBRADO PUBLICO","ES0021000008544154JL","2.1DHA","246,07","157,69","169,96","165,15","152,46","144,92","102,24","135,32","149,98","158,99","174,50","196,62","1.953,90"
"ALUMBRADO PUBLICO","ES0021000008544603XP","3.0A","527,78","470,36","459,66","491,12","342,98","367,84","328,59","314,52","391,01","397,87","501,55","495,91","5.089,19"
"ALUMBRADO PUBLICO","ES0021000008547880ZL","2.1A","1.106,86","685,08","748,05","765,60","612,23","560,55","681,40","555,35","612,85","699,37","751,63","817,44","8.596,41"
"ALUMBRADO PUBLICO","ES0021000008548648WM","3.0A","1.962,38","1.495,54","1.792,84","1.470,59","1.132,30","1.192,43","1.089,19","1.054,24","1.314,91","1.314,36","1.685,41","1.690,01","17.194,20"
"ALUMBRADO PUBLICO","ES0021000008548891NH","3.0A","959,51","690,15","694,71","722,40","513,40","539,22","483,13","463,59","572,23","565,23","684,79","753,73","7.642,09"
"ALUMBRADO PUBLICO","ES0021000008549040LY","3.0A","523,80","385,96","389,97","404,33","289,50","295,25","266,66","268,52","309,80","322,03","401,58","400,60","4.258,00"
"ALUMBRADO PUBLICO","ES0021000008549871DD","3.0A","4.721,50","1.508,03","1.822,00","127,36","2.168,48","1.250,33","1.289,85","1.046,02","1.278,29","1.282,58","1.781,67","1.824,07","20.100,18"
"ALUMBRADO PUBLICO","ES0021000008551391YB","2.1A","1.961,39","1.631,72","1.487,10","1.528,68","1.363,08","859,15","1.360,66","918,16","1.344,00","1.258,93","1.523,09","1.608,23","16.844,19"
"ALUMBRADO PUBLICO","ES0021000008552676QP","2.1DHA","1.321,31","514,30","724,87","703,34","674,02","553,27","712,48","580,81","674,00","785,63","869,27","960,82","9.074,12"
"ALUMBRADO PUBLICO","ES0021000008553359TR","3.0A","1.538,96","1.159,95","1.353,86","1.168,39","910,77","978,80","866,24","917,18","1.070,32","1.052,92","1.346,25","1.530,72","13.894,36"
"ALUMBRADO PUBLICO","ES0021000008553770VK","2.0A","804,20","450,11","415,80","466,00","328,47","359,75","323,85","361,19","438,11","429,99","693,63","492,94","5.564,04"
"ALUMBRADO PUBLICO","ES0021000008554994WA","2.0A","0,00","418,57","0,00","312,49","0,00","204,98","0,00","241,46","0,00","208,68","0,00","324,35","1.710,53"
"ALUMBRADO PUBLICO","ES0021000008556034RP","2.1DHA","638,98","535,16","472,02","475,32","372,74","371,81","317,27","381,62","368,29","407,39","512,53","575,65","5.428,78"
"ALUMBRADO PUBLICO","ES0021000008556523EZ","3.0A","2.223,56","1.588,51","1.599,65","1.672,99","1.115,07","1.170,81","1.037,79","1.005,44","1.232,91","1.251,44","1.574,55","1.672,21","17.144,93"
"ALUMBRADO PUBLICO","ES0021000008559157EA","3.0A","1.209,34","930,87","1.109,39","956,95","760,05","806,24","723,12","696,24","863,93","869,87","1.074,14","1.200,05","11.200,19"
"ALUMBRADO PUBLICO","ES0021000008559868FR","2.0A","1.194,21","442,14","585,48","565,85","512,27","472,26","517,04","598,22","600,77","666,83","840,25","952,61","7.947,93"
"ALUMBRADO PUBLICO","ES0021000008561510DX","3.0A","918,86","738,84","686,18","728,06","510,10","500,63","477,62","483,92","533,02","557,18","725,77","813,71","7.673,89"
"ALUMBRADO PUBLICO","ES0021000008562012PY","2.1DHA","2.509,33","635,28","669,86","633,31","566,47","428,06","442,34","503,50","506,47","595,38","681,14","744,47","8.915,61"
"ALUMBRADO PUBLICO","ES0021000008562421AR","2.0A","27,30","20,06","23,27","26,49","23,27","25,69","23,27","24,08","26,49","22,48","24,89","25,69","292,98"
"ALUMBRADO PUBLICO","ES0021000008562719QT","3.0A","2.847,01","2.493,40","2.347,15","2.534,96","1.932,20","1.754,63","1.605,12","1.598,95","1.745,96","1.757,68","2.438,68","2.586,12","25.641,86"
"ALUMBRADO PUBLICO","ES0021000008562737QH","3.0A","861,25","686,43","622,76","679,21","488,38","461,88","430,38","462,85","520,45","539,31","711,20","801,19","7.265,29"
"ALUMBRADO PUBLICO","ES0021000010608259BN","2.0A","514,14","374,02","289,60","310,66","225,01","244,11","180,34","252,46","259,73","277,70","431,49","446,41","3.805,67"
"ALUMBRADO PUBLICO","ES0021000010608274NG","2.0A","613,32","438,45","333,69","363,89","263,08","224,45","281,61","304,63","323,36","343,28","545,88","528,46","4.564,10"
"ALUMBRADO PUBLICO","ES0021000010611048VH","2.0A","985,18","475,30","608,91","599,78","541,01","425,66","533,36","584,75","583,98","671,78","808,39","923,63","7.741,73"
"ALUMBRADO PUBLICO","ES0021000010636798XP","2.0DHA","43,32","37,99","47,47","34,16","36,48","37,82","34,27","40,19","34,27","31,90","37,82","38,31","454,00"
"ALUMBRADO PUBLICO","ES0021000011001318NR","3.0A","1.307,99","1.012,26","1.203,54","1.026,62","787,52","816,88","741,99","755,63","1.001,77","1.002,35","1.261,26","1.295,59","12.213,40"
"ALUMBRADO PUBLICO","ES0021000011001319NW","3.0A","970,92","761,91","708,09","754,95","543,10","631,74","593,09","675,35","718,38","738,33","935,88","1.065,60","9.097,34"
"ALUMBRADO PUBLICO","ES0021000011001324NF","3.0A","1.398,89","1.059,50","980,56","1.083,18","763,82","783,58","644,23","631,32","783,94","733,55","1.039,37","1.064,17","10.966,11"
"ALUMBRADO PUBLICO","ES0021000011001325NP","2.1DHA","616,77","462,87","496,35","475,28","0,00","765,20","36,59","598,87","364,72","427,72","529,17","521,37","5.294,91"
"ALUMBRADO PUBLICO","ES0021000011001326ND","3.0A","2.419,21","1.802,42","1.832,39","1.654,40","1.336,64","218,99","2.319,64","1.178,59","1.448,38","1.398,41","1.872,60","1.858,19","19.339,86"
"ALUMBRADO PUBLICO","ES0021000011001328NB","2.1DHA","1.323,19","799,28","721,87","855,60","831,83","535,18","681,90","640,58","771,09","712,33","870,69","987,81","9.731,35"
"ALUMBRADO PUBLICO","ES0021000011004433DB","3.0A","1.338,51","1.035,23","1.244,74","1.077,56","838,14","881,92","781,45","745,35","917,07","930,39","1.174,02","1.270,33","12.234,71"
"ALUMBRADO PUBLICO","ES0021000011004435DJ","3.0A","1.239,82","1.004,92","1.227,82","1.059,98","793,36","832,43","747,30","716,35","891,10","896,02","1.140,70","1.326,79","11.876,59"
"ALUMBRADO PUBLICO","ES0021000011021210WK","2.0A","1.316,66","634,60","816,53","815,57","723,72","595,58","798,61","712,44","875,11","835,26","1.101,56","1.244,11","10.469,75"
"ALUMBRADO PUBLICO","ES0021000011147234PM","3.0A","1.306,80","1.056,61","988,77","1.063,93","743,16","710,41","694,60","735,86","754,72","154,05","1.725,44","1.154,87","11.089,22"
"ALUMBRADO PUBLICO","ES0021000011191359VQ","2.0A","1.277,02","732,11","745,33","749,04","661,49","555,96","711,77","674,75","691,26","891,12","1.001,20","1.126,28","9.817,33"
"ALUMBRADO PUBLICO","ES0021000011421516LN","2.0A","61,72","40,54","38,28","38,71","32,91","27,31","34,87","32,68","35,71","41,34","54,56","72,58","511,21"
"ALUMBRADO PUBLICO","ES0021000011482514AZ","2.0DHA","0,00","610,64","0,00","386,61","0,00","245,81","0,00","75,12","515,84","0,00","0,00","90,87","1.924,89"
"ALUMBRADO PUBLICO","ES0021000011489085JF","2.0DHA","0,00","774,23","0,00","528,74","0,00","321,31","0,00","75,12","725,66","0,00","0,00","90,87","2.515,93"
"ALUMBRADO PUBLICO","ES0021000011489126SW","2.0A","0,00","801,42","0,00","547,94","0,00","349,55","0,00","44,71","784,65","0,00","0,00","54,09","2.582,36"
"ALUMBRADO PUBLICO","ES0021000011754023DP","2.0DHA","26,49","910,51","122,41","141,61","129,64","141,49","141,10","150,20","190,08","187,64","268,06","311,62","2.720,85"
"ALUMBRADO PUBLICO","ES0021000011846025FX","2.0A","112,77","105,09","85,02","90,89","67,92","71,91","80,84","59,25","92,32","81,20","128,13","115,10","1.090,44"
"ALUMBRADO PUBLICO","ES0021000011873573DG","3.0A","2.120,57","1.840,42","1.472,50","1.747,35","1.145,71","1.117,74","1.070,17","1.130,16","1.281,04","1.252,29","1.729,63","1.958,74","17.866,32"
"ALUMBRADO PUBLICO","ES0021000011873632BV","3.0A","2.577,61","2.116,46","1.971,19","2.167,91","1.422,45","1.415,23","1.522,27","1.216,44","1.592,70","1.528,38","2.110,58","2.377,49","22.018,71"
"ALUMBRADO PUBLICO","ES0021000011891814CY","2.1A","807,86","602,46","638,61","650,91","500,37","518,61","439,90","528,62","514,08","429,78","848,19","543,46","7.022,85"
"ALUMBRADO PUBLICO","ES0021000012009881RZ","2.0DHA","610,23","542,02","358,16","411,44","234,79","323,20","317,75","267,40","410,90","417,92","614,50","12,83","4.521,14"
"ALUMBRADO PUBLICO","ES0021000012498171WZ","2.0A","35,31","21,64","20,79","23,59","20,64","23,58","20,85","23,68","20,89","20,14","22,55","23,29","276,95"
"ALUMBRADO PUBLICO","ES0021000012594438WA","3.0A","433,30","342,36","345,05","365,29","280,16","264,79","279,30","259,39","317,63","322,21","337,06","418,57","3.965,11"
"ALUMBRADO PUBLICO","ES0021000012770950VJ","2.1DHA","766,06","649,56","594,40","605,57","460,33","455,59","383,99","461,16","444,74","491,18","602,36","684,83","6.599,77"
"ALUMBRADO PUBLICO","ES0021000012956700CS","2.0A","0,00","15,30","17,65","18,83","19,41","15,88","20,59","17,06","18,83","18,24","18,24","18,83","198,86"
"ALUMBRADO PUBLICO","ES0021000012956700CS","2.0DHA","21,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","21,18"
"ALUMBRADO PUBLICO","ES0021000013005063FD","2.0DHA","649,62","0,00","377,64","0,00","300,47","0,00","295,05","0,00","342,45","0,00","50,25","0,00","2.015,48"
"ALUMBRADO PUBLICO","ES0021000013005068FZ","2.0DHA","879,05","0,00","498,88","0,00","379,19","0,00","382,33","0,00","462,24","0,00","699,24","0,00","3.300,93"
"ALUMBRADO PUBLICO","ES0021000013457710EQ","3.0A","1.438,76","1.154,77","1.148,68","1.179,10","709,50","750,38","709,56","782,62","827,71","929,51","1.078,58","1.281,09","11.990,26"
"ALUMBRADO PUBLICO","ES0021000013457882FG","3.0A","1.273,81","1.007,83","1.011,50","875,68","583,35","546,91","515,96","566,90","591,53","645,45","722,88","841,45","9.183,25"
"ALUMBRADO PUBLICO","ES0021000013458035JL","3.0A","912,90","722,07","699,21","729,59","543,08","556,33","529,10","587,25","628,96","696,54","782,22","930,33","8.317,58"
"ALUMBRADO PUBLICO","ES0021000013458055ZQ","3.0A","889,07","560,68","656,12","696,12","504,82","479,85","441,03","450,13","190,54","505,29","580,87","602,48","6.557,00"
"ALUMBRADO PUBLICO","ES0021000013884966SR","2.0A","524,45","375,47","351,72","348,67","303,65","234,98","318,90","286,36","338,89","322,83","432,29","518,11","4.356,32"
"ALUMBRADO PUBLICO","ES0021000013976710RK","2.0DHA","0,00","51,08","0,00","43,02","32,90","0,00","0,00","39,82","0,00","41,29","46,76","0,00","254,87"
"ALUMBRADO PUBLICO","ES0021000015261711GN","2.1DHA","354,07","281,37","342,41","226,78","221,21","229,09","216,47","196,17","217,06","234,67","288,16","319,07","3.126,53"
"ALUMBRADO PUBLICO","ES0021000015338194VC","2.0A","0,00","41,23","0,00","32,54","23,04","0,00","0,00","27,72","0,00","30,30","37,09","0,00","191,92"
"ALUMBRADO PUBLICO","ES0021000015810062VC","3.0A","904,64","831,37","806,19","853,66","615,19","604,87","628,15","540,57","654,41","758,74","805,88","986,05","8.989,72"
"ALUMBRADO PUBLICO","ES0021000015866583ZF","2.0DHA","310,56","222,63","171,24","178,51","115,51","121,64","123,41","150,09","150,91","169,83","247,00","290,99","2.252,32"
"ALUMBRADO PUBLICO","ES0021000015887457RC","2.1DHA","0,00","133,74","0,00","1.411,18","0,00","424,15","0,00","108,93","737,35","0,00","0,00","131,77","2.947,12"
"ALUMBRADO PUBLICO","ES0021000015968132JB","2.0A","202,34","85,74","107,66","108,30","93,78","76,58","94,04","87,51","106,30","106,24","144,09","161,82","1.374,40"
"ALUMBRADO PUBLICO","ES0021000016219253YH","3.0A","1.614,91","1.313,51","1.224,50","1.324,33","166,05","113,87","2.144,79","831,38","837,40","902,89","1.342,38","1.399,47","13.215,48"
"ALUMBRADO PUBLICO","ES0021000016219259FR","3.0A","951,66","727,78","719,60","771,97","152,94","138,15","1.396,72","513,28","577,34","620,91","819,93","857,52","8.247,80"
"ALUMBRADO PUBLICO","ES0021000016219260FW","3.0A","2.112,03","1.737,65","1.594,99","1.667,73","1.222,00","1.141,16","1.129,75","1.127,77","1.227,61","1.136,74","1.757,54","1.847,26","17.702,23"
"ALUMBRADO PUBLICO","ES0021000016297940TE","3.0A","311,03","252,38","241,62","271,44","207,25","210,46","203,46","209,71","238,21","242,74","303,21","334,50","3.026,01"
"ALUMBRADO PUBLICO","ES0021000016326108YS","3.0A","1.387,74","1.192,62","1.208,09","1.273,67","958,29","756,78","772,29","748,47","922,75","943,95","1.239,81","1.270,54","12.675,00"
"ALUMBRADO PUBLICO","ES0021000016438047CJ","3.0A","451,04","389,67","394,65","409,95","299,90","298,05","288,93","289,71","304,27","357,51","378,00","453,97","4.315,65"
"ALUMBRADO PUBLICO","ES0021000016445130YN","3.0A","629,27","493,77","494,18","509,73","373,31","373,00","348,82","335,19","387,31","458,38","484,62","588,67","5.476,25"
"ALUMBRADO PUBLICO","ES0021000016461647BS","3.0A","949,20","712,17","734,06","683,19","558,06","495,57","465,73","492,33","506,60","554,47","712,09","809,98","7.673,45"
"ALUMBRADO PUBLICO","ES0021000016473698YZ","3.0A","653,08","545,97","581,69","614,33","442,93","439,05","396,29","378,85","448,77","521,46","487,31","590,06","6.099,79"
"ALUMBRADO PUBLICO","ES0021000016504483BW","3.0A","345,80","310,56","316,77","337,33","249,05","251,92","242,86","249,39","265,98","296,16","299,92","352,29","3.518,03"
"ALUMBRADO PUBLICO","ES0021000016698434WV","3.0A","785,13","685,23","686,46","712,05","510,06","506,02","528,90","451,87","544,61","621,30","660,49","821,75","7.513,87"
"ALUMBRADO PUBLICO","ES0021000018436130EV","2.0A","192,87","0,00","1.575,08","235,87","144,20","213,87","181,41","202,39","207,62","16,51","17,06","850,17","3.837,05"
"ALUMBRADO PUBLICO","ES0021000019427797JQ","3.0A","1.557,66","1.585,32","1.964,65","1.615,77","1.705,21","1.910,57","1.515,66","1.056,12","1.268,96","1.782,70","2.094,36","2.272,61","20.329,59"
"ALUMBRADO PUBLICO","ES0021000020031301XT","2.1A","284,30","251,55","176,97","292,07","289,14","362,07","460,32","505,27","526,54","444,71","373,14","176,79","4.142,87"
"ALUMBRADO PUBLICO","ES0021000020077957ZN","2.0A","28,72","26,82","24,02","29,36","28,03","21,08","28,64","30,80","23,23","26,33","32,93","25,44","325,40"
"ALUMBRADO PUBLICO","ES0021000020238527AL","2.0DHA","218,47","141,25","150,71","143,58","0,00","106,11","114,53","125,94","139,48","127,76","167,04","195,21","1.630,08"
"ALUMBRADO PUBLICO","ES0021000020238535GG","2.0A","29,17","27,09","25,35","28,81","29,63","20,95","26,29","31,35","27,32","26,42","29,41","30,91","332,70"
"ALUMBRADO PUBLICO","ES0026000010224223VA","2.1A","1.924,11","1.856,79","1.655,72","1.619,73","1.427,82","1.364,95","1.400,68","1.233,58","1.489,54","1.584,37","1.811,82","1.864,82","19.233,93"
"ALUMBRADO PUBLICO","ES0026000010224224VG","2.1A","596,96","559,44","485,19","470,78","410,58","391,44","366,81","394,60","439,40","471,29","540,82","784,58","5.911,89"
"ALUMBRADO PUBLICO","ES0026000010224227VF","2.0A","628,98","365,14","506,55","188,15","255,25","251,07","259,70","273,50","303,41","322,70","404,14","0,00","3.758,59"
"ALUMBRADO PUBLICO","ES0026000010251307KQ","2.1A","848,40","809,54","702,13","674,74","580,06","543,13","509,56","552,22","614,24","664,39","536,75","551,15","7.586,31"
"ALUMBRADO PUBLICO","ES0026000010496631SE","3.0A","0,00","406,36","1.528,50","593,40","386,22","377,37","568,76","325,09","366,50","429,79","478,01","711,84","6.171,84"
"alumbrado publico","ES0021000008534859TQ","2.1DHA","1.690,58","1.018,51","1.109,06","1.124,02","868,59","845,27","712,40","753,79","988,53","983,41","1.123,41","1.202,67","12.420,24"
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530355BC","3.0A","847,33","669,21","660,03","673,26","502,32","468,04","474,51","429,25","520,55","568,51","610,25","762,10","7.185,36"
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530371NJ","3.0A","681,26","527,06","509,88","514,26","411,21","381,86","391,99","363,84","443,63","486,00","532,98","669,92","5.913,89"
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530391JX","3.0A","624,70","496,15","468,57","472,34","392,45","357,68","364,95","337,37","410,74","440,70","477,02","583,24","5.425,91"
"ALUMBRADO PUBLICO CALICANTO","ES0021000008530591EA","3.0A","475,15","374,03","375,78","392,89","300,50","280,21","290,19","268,37","320,37","255,44","372,83","435,53","4.141,29"
"ALUMBRADO PUBLICO, MIGUEL SERVET","ES0021000012652540KF","2.0A","133,46","79,46","76,82","77,05","67,53","55,76","69,30","59,35","72,89","123,50","92,92","80,68","988,72"
"ALZIRA (MARXADELLA)","ES0021000017555513FR","2.0A","23,33","17,67","19,75","28,00","20,39","18,89","19,77","21,13","23,25","21,16","23,53","19,97","256,84"
"ASOCIAC, DE VECINOS CASTILLA LA MANCHA","ES0021000008537755BZ","2.0A","272,77","191,77","217,56","203,66","186,58","150,76","153,79","154,28","91,89","178,01","173,75","198,25","2.173,07"
"ASOCIAC, DE VECINOS NICOLAS ANDREU","ES0021000008525851TR","2.0A","36,83","32,51","31,42","35,76","31,42","34,67","31,42","32,51","35,76","30,34","33,58","30,34","396,56"
"ASOCIAC, VECINOS CAMI LA NORIA","ES0021000008558651TA","2.0A","51,70","46,85","42,70","57,65","31,97","37,42","39,58","44,82","29,70","32,62","47,56","46,00","508,57"
"ASOCIACION DE DISCAPACITADOS","ES0021000008543671SL","2.0A","21,73","16,45","20,13","22,88","24,94","17,11","19,75","19,75","21,73","0,00","0,00","0,00","184,47"
"ASOCIACIÓN VECINOS 25 DE ABRIL","ES0021000008545740JH","2.1A","299,96","232,04","293,45","161,11","122,98","68,70","116,40","165,19","122,82","116,83","117,78","77,26","1.894,52"
"ASOCIACION VECINOS PINTOR BENEDITO","ES0021000008528949LV","2.0A","0,00","29,36","0,00","655,35","0,00","188,36","0,00","309,32","0,00","177,89","0,00","29,36","1.389,64"
"Avda OLIMPICA, 9-6 esc. 6,","ES0021000020464396AM","2.1A","60,45","43,57","50,53","102,03","66,33","46,95","105,72","64,66","56,80","69,11","71,19","67,63","804,97"
"AYNTO.TORRENT (ALDO.PBCO.)","ES0021000008541776WX","3.0A","1.648,87","1.466,44","1.488,58","1.532,93","1.094,48","1.125,76","1.007,28","964,08","1.208,12","1.237,83","1.561,57","1.659,68","15.995,62"
