"Mes","Código de Entidad","Entidad","Ratio de Operaciones Pagadas ","Ratio de Operaciones Pendientes de Pago ","Periodo Medio de Pago Mensual "
mayo-17,"12-28-006-AO-002","P. M. Deportes","16.77","-3.67","6.17"
mayo-17,"12-28-006-AO-003","P. M. Sociocultural","36.04","2.89","22.21"
mayo-17,"12-28-006-AP-001","Seromal, S.A.","25.47","8.11","15.35"
abril-17,"12-28-006-AA-000","Alcobendas","3.5","4.74","4.04"
abril-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","10.52","0","10.52"
abril-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-23.16","-13.31","-15.01"
abril-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","-22.76","-15.02","-20.82"
abril-17,"12-28-006-AO-001","P. Bienestar Social","13.33","-3.68","4.3"
abril-17,"12-28-006-AO-002","P. M. Deportes","13.2","4.75","6.71"
abril-17,"12-28-006-AO-003","P. M. Sociocultural","9.41","-2.04","2.55"
abril-17,"12-28-006-AP-001","Seromal, S.A.","37.98","18.5","26.56"
marzo-17,"12-28-006-AA-000","Alcobendas","14.65","-0.73","7.59"
marzo-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","-16.05","0","-16.05"
marzo-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-10.77","-3.15","-10.19"
marzo-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","-15.84","-25.74","-20.51"
marzo-17,"12-28-006-AO-001","P. Bienestar Social","12.96","11.99","12.49"
marzo-17,"12-28-006-AO-002","P. M. Deportes","11.66","7.86","9.43"
marzo-17,"12-28-006-AO-003","P. M. Sociocultural","7.3","15.16","12.9"
marzo-17,"12-28-006-AP-001","Seromal, S.A.","42.65","8.14","22.49"
febrero-17,"12-28-006-AA-000","Alcobendas","27.03","131.89","69.28"
febrero-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
febrero-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-18.33","-12.02","-14.21"
febrero-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","5.27","0","5.27"
febrero-17,"12-28-006-AO-001","P. Bienestar Social","19.5","7.03","9.41"
febrero-17,"12-28-006-AO-002","P. M. Deportes","17.4","1.28","6.81"
febrero-17,"12-28-006-AO-003","P. M. Sociocultural","16.93","5.66","10.78"
febrero-17,"12-28-006-AP-001","Seromal, S.A.","33.01","29.1","31.39"
enero-17,"12-28-006-AA-000","Alcobendas","27.03","138.52","70.79"
enero-17,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
enero-17,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-10.81","-1.86","-6.78"
enero-17,"12-00-038-HH-000","F. Ciudad de Alcobendas","-7.39","5","-2.61"
enero-17,"12-28-006-AO-001","P. Bienestar Social","10.71","-2.44","2.16"
enero-17,"12-28-006-AO-002","P. M. Deportes","10.58","10.22","10.38"
enero-17,"12-28-006-AO-003","P. M. Sociocultural","20.61","9.04","13.19"
enero-17,"12-28-006-AP-001","Seromal, S.A.","30.52","23.6","24.75"
diciembre-16,"12-28-006-AA-000","Alcobendas","32.65","53.43","47.37"
diciembre-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","-9.8","0","-9.8"
diciembre-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-8.02","-5.29","-7.2"
diciembre-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-21.84","-27.51","-25.68"
diciembre-16,"12-28-006-AO-001","P. Bienestar Social","7.59","-14.43","-8.04"
diciembre-16,"12-28-006-AO-002","P. M. Deportes","20.29","2.04","8.42"
diciembre-16,"12-28-006-AO-003","P. M. Sociocultural","16.64","-0.22","5.35"
diciembre-16,"12-28-006-AP-001","Seromal, S.A.","31.44","20.95","24.81"
noviembre-16,"12-28-006-AA-000","Alcobendas","13.21","19.5","17.26"
noviembre-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
noviembre-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-15.62","-1.11","-13.36"
noviembre-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-26.87","0","-26.87"
noviembre-16,"12-28-006-AO-001","P. Bienestar Social","16.73","-8.87","2.45"
noviembre-16,"12-28-006-AO-002","P. M. Deportes","4.9","11.96","9.76"
noviembre-16,"12-28-006-AO-003","P. M. Sociocultural","50.54","9.32","23.04"
noviembre-16,"12-28-006-AP-001","Seromal, S.A.","25.76","15.1","19.99"
octubre-16,"12-28-006-AA-000","Alcobendas","18.52","9.54","15.07"
octubre-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
octubre-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-14.18","-3","-13.84"
octubre-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","25.76","0","25.76"
octubre-16,"12-28-006-AO-001","P. Bienestar Social","17.24","0.56","9.67"
octubre-16,"12-28-006-AO-002","P. M. Deportes","17.29","1.52","7.93"
octubre-16,"12-28-006-AO-003","P. M. Sociocultural","42.53","36.34","38.59"
octubre-16,"12-28-006-AP-001","Seromal, S.A.","35.62","17.5","24.54"
septiembre-16,"12-28-006-AA-000","Alcobendas","28.51","15.89","19.16"
septiembre-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","-5.08","0","-5.08"
septiembre-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-14.86","-17.45","-15.92"
septiembre-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-15.31","0","-15.31"
septiembre-16,"12-28-006-AO-001","P. Bienestar Social","30.21","4.92","13.92"
septiembre-16,"12-28-006-AO-002","P. M. Deportes","23.99","5.35","15.14"
septiembre-16,"12-28-006-AO-003","P. M. Sociocultural","29.29","33.09","32.82"
septiembre-16,"12-28-006-AP-001","Seromal, S.A.","37.55","23.24","29.03"
agosto-16,"12-28-006-AA-000","Alcobendas","21.74","17.74","20.16"
agosto-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","-7.23","0","-7.23"
agosto-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-15.42","-15.14","-15.24"
agosto-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-2","0","-2"
agosto-16,"12-28-006-AO-001","P. Bienestar Social","25.88","-0.69","8.43"
agosto-16,"12-28-006-AO-002","P. M. Deportes","13.31","5.35","5.59"
agosto-16,"12-28-006-AO-003","P. M. Sociocultural","26.96","9.32","11.73"
agosto-16,"12-28-006-AP-001","Seromal, S.A.","33.78","27.53","29.44"
julio-16,"12-28-006-AA-000","Alcobendas","23.08","3.41","11.14"
julio-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
julio-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-15.49","-16.98","-15.58"
julio-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-27.92","0","-27.92"
julio-16,"12-28-006-AO-001","P. Bienestar Social","14.19","-2.57","2.7"
julio-16,"12-28-006-AO-002","P. M. Deportes","10.47","2.27","7.23"
julio-16,"12-28-006-AO-003","P. M. Sociocultural","15.75","7.04","11.15"
julio-16,"12-28-006-AP-001","Seromal, S.A.","-0.27","-21.21","-11.19"
junio-16,"12-28-006-AA-000","Alcobendas","9.17","0.07","3.76"
junio-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","30","0","30"
junio-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-11.5","-22.43","-15.3"
junio-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-25.23","0","-25.23"
junio-16,"12-00-041-HH-000","F. Deporte Alcobendas","-15.51","0.62","-5.29"
junio-16,"12-28-006-AO-001","P. Bienestar Social","1.08","-3.69","-2.19"
junio-16,"12-28-006-AO-002","P. M. Deportes","16.72","-1.56","6.24"
junio-16,"12-28-006-AO-003","P. M. Sociocultural","1.08","-3.69","-2.19"
junio-16,"12-28-006-AP-001","Seromal, S.A.","3.65","-19.38","-8.55"
mayo-16,"12-28-006-AA-000","Alcobendas","27.21","4.22","17.27"
mayo-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
mayo-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-8.67","-19.79","-13.76"
mayo-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-26.13","0","-26.13"
mayo-16,"12-00-041-HH-000","F. Deporte Alcobendas","-13.02","3.1","-2.71"
mayo-16,"12-28-006-AO-001","P. Bienestar Social","7.29","-11.52","-1.35"
mayo-16,"12-28-006-AO-002","P. M. Deportes","4.09","0.69","1.59"
mayo-16,"12-28-006-AO-003","P. M. Sociocultural","22.4","2.1","7.15"
mayo-16,"12-28-006-AP-001","Seromal, S.A.","-1.4","-12.92","-8.25"
abril-16,"12-28-006-AA-000","Alcobendas","17.56","9.68","13.36"
abril-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
abril-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","0","0","0"
abril-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-28.15","0","-28.15"
abril-16,"12-00-041-HH-000","F. Deporte Alcobendas","0","0","0"
abril-16,"12-28-006-AO-001","P. Bienestar Social","0","0","0"
abril-16,"12-28-006-AO-002","P. M. Deportes","0","0","0"
abril-16,"12-28-006-AO-003","P. M. Sociocultural","0","0","0"
abril-16,"12-28-006-AP-001","Seromal, S.A.","-6.64","-19.68","-16.56"
marzo-16,"12-28-006-AA-000","Alcobendas","28.32","39.11","34.64"
marzo-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","-8.83","0","-8.83"
marzo-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-16.8","-16.38","-16.56"
marzo-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-16.11","0","-16.11"
marzo-16,"12-00-041-HH-000","F. Deporte Alcobendas","0.27","-0.09","0.06"
marzo-16,"12-28-006-AO-001","P. Bienestar Social","17.68","-10.59","1.87"
marzo-16,"12-28-006-AO-002","P. M. Deportes","15.14","-4.51","3.66"
marzo-16,"12-28-006-AO-003","P. M. Sociocultural","10.78","4.36","5.99"
marzo-16,"12-28-006-AP-001","Seromal, S.A.","7.31","-13.25","-5.13"
febrero-16,"12-28-006-AA-000","Alcobendas","68.37","43.83","62.42"
febrero-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","0","0","0"
febrero-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-13.77","-8.88","-11.53"
febrero-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-24.67","-10.97","-18.24"
febrero-16,"12-00-041-HH-000","F. Deporte Alcobendas","-21.36","5.41","-12.03"
febrero-16,"12-28-006-AO-001","P. Bienestar Social","34.31","-0.14","20.27"
febrero-16,"12-28-006-AO-002","P. M. Deportes","29.54","-6.54","10.39"
febrero-16,"12-28-006-AO-003","P. M. Sociocultural","40.35","7.58","28.58"
febrero-16,"12-28-006-AP-001","Seromal, S.A.","14.92","-12.73","3.29"
enero-16,"12-28-006-AA-000","Alcobendas","33.31","50.17","48.88"
enero-16,"12-00-043-CC-000","C. Urbanístico Área Valdelacasa","-6.3","0","-6.3"
enero-16,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A.","-10.34","-17","-11.84"
enero-16,"12-00-038-HH-000","F. Ciudad de Alcobendas","-27.19","0","-27.19"
enero-16,"12-00-041-HH-000","F. Deporte Alcobendas","2.12","6.26","2.58"
enero-16,"12-28-006-AO-001","P. Bienestar Social","46.79","16.01","19.23"
enero-16,"12-28-006-AO-002","P. M. Deportes","21.79","11.5","15.82"
enero-16,"12-28-006-AO-003","P. M. Sociocultural","48.49","29.91","32.24"
enero-16,"12-28-006-AP-001","Seromal, S.A.","15.83","-6.31","-1.12"
diciembre-15,"12-28-006-AA-000","Alcobendas","23.29","36.34","33.77"
diciembre-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-12.8","-9.77","-10.87"
diciembre-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-26.62","0","-26.62"
diciembre-15,"12-00-041-HH-000","F. Deporte Alcobendas","-17.74","26.99","5.24"
diciembre-15,"12-28-006-AO-001","P. Bienestar Social","11.45","21.05","18.04"
diciembre-15,"12-28-006-AO-002","P. M. Deportes","13.74","-1.61","0.72"
diciembre-15,"12-28-006-AO-003","P. M. Sociocultural","12.7","12.33","12.43"
diciembre-15,"12-28-006-AP-001","Seromal, S.A.","7.82","-8.89","-2.65"
noviembre-15,"12-28-006-AA-000","Alcobendas","54.53","21.54","37.5"
noviembre-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-23.48","-11.6","-16.13"
noviembre-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-26.07","0","-26.07"
noviembre-15,"12-00-041-HH-000","F. Deporte Alcobendas","-10.44","-12.39","-11.34"
noviembre-15,"12-28-006-AO-001","P. Bienestar Social","11.03","32.89","21.19"
noviembre-15,"12-28-006-AO-002","P. M. Deportes","9.25","-4.16","0.28"
noviembre-15,"12-28-006-AO-003","P. M. Sociocultural","14.7","15.96","15.6"
noviembre-15,"12-28-006-AP-001","Seromal, S.A.","1.53","-14.19","-7.06"
octubre-15,"12-28-006-AA-000","Alcobendas","37.34","41.41","39.74"
octubre-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-13.55","-10.15","-13.45"
octubre-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-26.82","0","-26.82"
octubre-15,"12-00-041-HH-000","F. Deporte Alcobendas","-9.62","22.44","-8.36"
octubre-15,"12-28-006-AO-001","P. Bienestar Social","30.78","11.37","19.86"
octubre-15,"12-28-006-AO-002","P. M. Deportes","13.17","-6.6","3.73"
octubre-15,"12-28-006-AO-003","P. M. Sociocultural","49.7","15.87","37.69"
octubre-15,"12-28-006-AP-001","Seromal, S.A.","9.48","-8.37","-0.39"
septiembre-15,"12-28-006-AA-000","Alcobendas","48.19","31.4","35.37"
septiembre-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-13.24","-8.06","-12.9"
septiembre-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-23.14","0","-23.14"
septiembre-15,"12-00-041-HH-000","F. Deporte Alcobendas","30","30","30"
septiembre-15,"12-28-006-AO-001","P. Bienestar Social","36.09","23.25","27.06"
septiembre-15,"12-28-006-AO-002","P. M. Deportes","39.49","-3.77","19.94"
septiembre-15,"12-28-006-AO-003","P. M. Sociocultural","55.68","32.61","37.51"
septiembre-15,"12-28-006-AP-001","Seromal, S.A.","20.41","-16.74","-1.52"
agosto-15,"12-28-006-AA-000","Alcobendas","42.61","30.54","36.4"
agosto-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-26.42","-17.81","-23.16"
agosto-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","8.5","0","8.5"
agosto-15,"12-28-006-AO-001","P. Bienestar Social","7.5","15.29","14.2"
agosto-15,"12-28-006-AO-002","P. M. Deportes","7.66","9.73","9.3"
agosto-15,"12-28-006-AO-003","P. M. Sociocultural","-30","22.54","22.52"
agosto-15,"12-28-006-AP-001","Seromal, S.A.","9.27","-6.16","0.55"
julio-15,"12-28-006-AA-000","Alcobendas","12.82","37.95","31.45"
julio-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-20.02","0","-20.02"
julio-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-30","0","-30"
julio-15,"12-28-006-AO-001","P. Bienestar Social","21.13","3.83","10.37"
julio-15,"12-28-006-AO-002","P. M. Deportes","26.4","-3.44","11.33"
julio-15,"12-28-006-AO-003","P. M. Sociocultural","25.42","5.93","15.98"
julio-15,"12-28-006-AP-001","Seromal, S.A.","13.13","-18.86","-2.63"
junio-15,"12-28-006-AA-000","Alcobendas","15.67","14.32","14.9"
junio-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-16.83","-9.68","-16.54"
junio-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-28.14","0","-28.14"
junio-15,"12-28-006-AO-001","P. Bienestar Social","6.49","4.2","5.06"
junio-15,"12-28-006-AO-002","P. M. Deportes","53.6","2.55","2.73"
junio-15,"12-28-006-AO-003","P. M. Sociocultural","24.49","8.56","12.05"
junio-15,"12-28-006-AP-001","Seromal, S.A.","15.81","-6.13","0.03"
mayo-15,"12-28-006-AA-000","Alcobendas","7.87","58","43.19"
mayo-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-19.52","-8.19","-19.43"
mayo-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-27.9","0","-27.9"
mayo-15,"12-28-006-AO-001","P. Bienestar Social","17.92","5.26","10.34"
mayo-15,"12-28-006-AO-002","P. M. Deportes","7.37","-9.55","-2.12"
mayo-15,"12-28-006-AO-003","P. M. Sociocultural","22.82","-2.11","3.59"
mayo-15,"12-28-006-AP-001","Seromal, S.A.","-16.05","-8.99","-12.22"
abril-15,"12-28-006-AA-000","Alcobendas","43.08","76.95","57.46"
abril-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-18.85","-2.55","-18.55"
abril-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-28.61","0","-28.61"
abril-15,"12-28-006-AO-001","P. Bienestar Social","10.96","3.21","5.73"
abril-15,"12-28-006-AO-002","P. M. Deportes","20.07","-12.12","3.03"
abril-15,"12-28-006-AO-003","P. M. Sociocultural","33.09","0.16","10.43"
abril-15,"12-28-006-AP-001","Seromal, S.A.","-6.15","-21.22","-15.03"
marzo-15,"12-28-006-AA-000","Alcobendas","6.85","86.03","52.12"
marzo-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-13.6","-3.13","-9.91"
marzo-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-26.89","0","-26.89"
marzo-15,"12-28-006-AO-001","P. Bienestar Social","6.39","6.6","6.56"
marzo-15,"12-28-006-AO-002","P. M. Deportes","11.61","-6.99","-0.4"
marzo-15,"12-28-006-AO-003","P. M. Sociocultural","10.54","-4.95","0.46"
marzo-15,"12-28-006-AP-001","Seromal, S.A.","-4.5","-11.97","-9.1"
febrero-15,"12-28-006-AA-000","Alcobendas","-1.87","53.08","18.09"
febrero-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-16.79","-4.34","-16.4"
febrero-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-27.57","0","-27.57"
febrero-15,"12-28-006-AO-001","P. Bienestar Social","-11","-14.35","-14.33"
febrero-15,"12-28-006-AO-002","P. M. Deportes","-8","-5.08","-5.13"
febrero-15,"12-28-006-AO-003","P. M. Sociocultural","-0.16","-6.59","-6.05"
febrero-15,"12-28-006-AP-001","Seromal, S.A.","-4.5","-18.3","-13.86"
enero-15,"12-28-006-AA-000","Alcobendas","-18.91","5.71","-7.79"
enero-15,"12-28-006-AP-004","E. M. Auxiliar de Recaudación, S.A. ","-22.07","-10.37","-18.57"
enero-15,"12-00-038-HH-000","F. Ciudad de Alcobendas","-25.03","0","-25.03"
enero-15,"12-28-006-AO-001","P. Bienestar Social","-22.23","-22.23","-22.23"
enero-15,"12-28-006-AO-002","P. M. Deportes","-21.85","-21.85","-21.85"
enero-15,"12-28-006-AO-003","P. M. Sociocultural","-18","-20.57","-20.55"
enero-15,"12-28-006-AP-001","Seromal, S.A.","3.36","-16.28","-5.51"
