Nombre,Fecha de inicio,Fecha de fin,Hora de inicio,Hora de fin,Barrio,Más información,Descripción,Tipo de evento,Tipo de público,Lugar,Lat,Lon
"Bienestar en familia: Botikids de primeros juegos","02/12/2017","02/12/2017","12:00","13:30","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2523","Datos de interés Descripción Taller introductorio a la terapia del juego en la infancia.  Para público familiar con niños de 4 a 10 años, con la edad cumplida el día de la actividad. Tienen que llevar ropa y calzado cómodo, Duración: hora y media.    Precio Gratuito Requisitos Cada niño debe apuntarse con un adulto. No se inscriben niños ni adultos solos.  No se exige filiación. Cada niño se puede apuntar solo a una sesión. Solo los niños ocupan plaza. Cada persona puede inscribir a un máximo de dos niños. No se pueden inscribir niños fuera de la franja de edad estipulada.  Nacidos entre octubre de 2005 y octubre de 2010 Inscripciones El 20 de noviembre para empadronados y el 22 para no empadronados. Cierre de inscripciones el viernes a las 14 h. Lista de espera máximo 20 personas. Inscripciones pueden realizarse presencial o telefónicamente en el Servicio de Atención Ciudadana.","Infancia,Espectáculos,Cultura en Familia,Actividades en las mediatecas","Infancia y Adolescencia","La Esfera - Sede Casas Regionales de Alcobendas",40.53669217,-3.63265631
"Bienestar en familia: Toroteo, el universo de las capacidades de la infancia","01/12/2017","01/12/2017","17:30","19:00","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2524","Datos de interés Descripción Espectáculo familiar inclusivo.  Para público familiar con niños de 4 a 10 años, con la edad cumplida el día de la actividad. Duración: 1 hora Horario El 1 de diciembre. Dos grupos: De 17:30 a 18:30 h. 19:00 a 20:00 h. Precio Gratuito Requisitos Cada niño debe apuntarse con un adulto. No se inscriben niños ni adultos solos.  No se exige filiación. Cada niño se puede apuntar solo a una sesión. Solo los niños ocupan plaza. Cada persona puede inscribir a un máximo de dos niños. No se pueden inscribir niños fuera de la franja de edad estipulada.  Nacidos entre octubre de 2005 y octubre de 2010 Inscripciones El 23 de noviembre para empadronados y el 24 para no empadronados. Lista de espera máximo 20 personas. Inscripciones pueden realizarse presencial o telefónicamente en el Servicio de Atención Ciudadana.","Infancia,Espectáculos,Cultura en Familia","Infancia y Adolescencia","La Esfera - Sede Casas Regionales de Alcobendas",40.53669217,-3.63265631
"Cambuyón","24/11/2017","24/11/2017","20:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2480","Datos de interés Descripción  Cambuyón es un espectáculo de danza y percusión para todos los públicos en el que sus siete protagonistas navegan por el tiempo y el espacio a través de la fusión de ritmos y estilos. El espectáculo se inspira en el cambullón, palabra con la que se denominaba en canarias el trueque de mercancías a bordo de los grandes navíos que fondeaban en Canarias, una oportunidad única para el intercambio cultural más allá del trasiego económico. A través de esa metáfora, el espectador se ve envuelto en un viaje de ida y vuelta por todo tipo de géneros mestizos, como el claqué o el hip-hop, nacidos de la fusión y el encuentro de sociedades diferentes. La obra, construida con una dramaturgia muy teatral, ha sido presentada en los festivales de todo el mundo y estuvo en cartelera, con gran éxito de público y crítica, en Broadway. www.cambuyon.net   Para mayores de 8 años.   Ficha artística: Dirección artística: Carlos Belda y Jep Meléndez Autor: Cambuyón (creación colectiva) Interpretes: Néstor Busquets, Raúl Cabrera, Jep Meléndez, Jonatan Rodríguez, Rubén Sánchez, Juan Pablo Sifonte Escenografía: María Toledo Vestuario: Raquel Rodríguez Horario Duración: 60 minutos  Precio 10/12 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Alternativo","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Charlas informativas, nosotros y la montaña.","03/11/2017","17/11/2017","","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2552","Datos de interés Descripción La Asesoría de naturaleza, de Imagina organiza para los menos montañeros unas sesiones informativas para animar a todos a explorar la montaña y naturaleza de una manera responsable y autónoma. Se darán claves para realizar actividades, información práctica que nos viene bien a la hora de organizar una salida en grupo o de manera individual. El objetivo es que los asistentes conozcan los recursos y organicen sus propias salidas. 3 de Noviembre, 19 h.: “Sal a la montaña 1: consejos para organizar tus excursiones”  Ángel María Flores, técnico deportivo en montaña, nos ofrecerá una serie de recursos y consejos para organizar nuestras salidas a la montaña de forma autónoma. Se tratarán aspectos a tener en cuenta como la orientación, meteorología, el material necesario e indispensable, etc. Aparte de tratar las cuestiones técnicas tendremos la oportunidad de resolver nuestras dudas desde un punto de vista abierto y participativo. 17 de Noviembre, 19 h.: “Sal a la montaña 2: muévete de forma organizada”  Ángel María Flores, técnico deportivo en montaña, comentará aspectos a tener en cuenta para las salidas por el medio natural: dónde buscar información, cómo y dónde federarse, cómo organizar las salidas en grupo, con amigos, conocer propuestas interesantes dentro de la Comunidad de Madrid y en el resto de España, etc. También hablará de dónde encontrar gente con tus mismas inquietudes y mencionará las asociaciones, clubes, entidades y empresas que se dedican y conocen este sector.  Lugar e Inscripción No es necesaria inscripción previa. Las charlas se realizarán en Imagina, c/ Ruperto Chapí, 18, hasta completar aforo. Infórmate en 916590957   Este sitio web utiliza cookies propias y de terceros para ofrecer un mejor servicio a los ciudadanos. Si continúa navegando consideramos que acepta su uso. Encontrará más información en nuestra Política de Cookies. Aceptar cookies Política de cookies Datos de interés Descripción La Asesoría de naturaleza, de Imagina organiza para los menos montañeros unas sesiones informativas para animar a todos a explorar la montaña y naturaleza de una manera responsable y autónoma. Se darán claves para realizar actividades, información práctica que nos viene bien a la hora de organizar una salida en grupo o de manera individual. El objetivo es que los asistentes conozcan los recursos y organicen sus propias salidas. 3 de Noviembre, 19 h.: “Sal a la montaña 1: consejos para organizar tus excursiones”  Ángel María Flores, técnico deportivo en montaña, nos ofrecerá una serie de recursos y consejos para organizar nuestras salidas a la montaña de forma autónoma. Se tratarán aspectos a tener en cuenta como la orientación, meteorología, el material necesario e indispensable, etc. Aparte de tratar las cuestiones técnicas tendremos la oportunidad de resolver nuestras dudas desde un punto de vista abierto y participativo. 17 de Noviembre, 19 h.: “Sal a la montaña 2: muévete de forma organizada”  Ángel María Flores, técnico deportivo en montaña, comentará aspectos a tener en cuenta para las salidas por el medio natural: dónde buscar información, cómo y dónde federarse, cómo organizar las salidas en grupo, con amigos, conocer propuestas interesantes dentro de la Comunidad de Madrid y en el resto de España, etc. También hablará de dónde encontrar gente con tus mismas inquietudes y mencionará las asociaciones, clubes, entidades y empresas que se dedican y conocen este sector.  Lugar e Inscripción No es necesaria inscripción previa. Las charlas se realizarán en Imagina, c/ Ruperto Chapí, 18, hasta completar aforo. Infórmate en 916590957  ","Otros Cultura y Ocio,Juventud,Otros,Imagina - Juventud","Jóvenes","Imagina - Casa de la Juventud",40.54806866,-3.64420053
"Clásicos en el cine","27/01/2018","27/01/2018","19:30","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2221","Datos de interés Descripción El cine ha utilizado en muchas ocasiones la música clásica de Mozart, Brahms, Verdi, Rossini, Tchaikovsky o Beethoven, entre otros, para ilustrar las imágenes y completar el guion de los personajes. En este concierto se interpretarán una selección de algunas de las más conocidas piezas, todas ellas obras maestras, de películas como Titanic, Mouline Rouge o Memorias de África, entre otras.  Intérpretes: Orquesta Clásica Santa Cecilia Director: Fernando Furones Edad recomendada: A partir de 10 años. Horario  Duración: 90 minutos. Precio Concierto: 15 € .  Ensayo didáctico a las 12 h.: 1 € Venta de entradas a partir del 22 de septiembre. Abono Alcobendas Clásica por 49 €. Venta de Abonos a partir del 12 de septiembre. Descuentos Menores de 30 años: 25% de descuento. Mayores de 65 años y/o pensionistas: 25 % de descuento. Familias numerosas: 25 % de descuento. Grupos (a partir de 10 entradas): 25 % de descuento. Menores de 2 años: 50 % de descuento en los conciertos del Ciclo Música en Familia. Los descuentos solo son aplicables a las localidades con importe superior a 6 euros, excepto en los conciertos del Ciclo Música en Familia, que se aplicarán a familias numerosas y grupos. Los descuentos no son acumulables ni se aplican al importe de los abonos ni de los ensayos didácticos. Para la aplicación del descuento deberá presentar la acreditación que le da derecho al mismo tanto en el momento de adquirir su localidad como en el momento de acceder a la sala.   Taquilla Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/ y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018  Otros datos Público infantil: La edad mínima para acceder a la sala es de 5 años, salvo espectáculos del ciclo Música en Familia y Ensayos Didácticos. En todos los casos, los menores deben estar acompañados por un adulto, que será el responsable. Todas las personas deberán adquirir su localidad independientemente de la edad. Con objeto de cumplir la normativa de evacuación, no se permitirá el acceso a las salas con cochecitos de bebés, dejando éstos en los lugares especialmente habilitados. La dirección se reserva el derecho a solicitar la salida de la sala si se considera que el niño causa alguna molestia al resto del público.  Otras informaciones: La duración de los espectáculos es aproximada. El intermedio, en caso de existir, durará 15 minutos. No se admite consumir alimentos o bebidas en la sala. La organización se reserva el derecho de variar la programación cuando causas de fuerza mayor lo exijan. Estas variaciones se harán públicas en los medios de comunicación municipales. La suspensión o cambio de un espectáculo sólo lleva consigo la devolución del importe o bien el cambio de localidad. No está permitido la realización de fotografías/vídeos/dispositivos móviles durante el evento. Las grabaciones se realizarán en el espacio habilitado para ello, exclusivamente, previa autorización.","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Club de lectura fácil","19/10/2017","14/12/2017","19:00","20:30","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1452","Datos de interés Descripción Iniciamos una nueva edición del Club de Lectura de la Mediateca Pablo Iglesias moderado por el escritor Guillermo Roz. En esta nueva ocasión leeremos, entre otros, al Auster de Brooklyn follies, al Saramago de La balsa de piedra y La lluvia amarilla de Llamazares. Horario Se desarrollará en 5 sesiones quincenales los jueves 19 de octubre, 2, 16 y 30 de noviembre y 14 de diciembre, de 19 a 20:30 horas en el Centro Cultural Pablo Iglesias. Precio Gratuito. Inscripción La preinscripción gratuita puede realizarse a partir del lunes 9 de octubre en el correo electrónico mediatecas@aytoalcobendas.org. Los datos necesarios para la preinscripción son: nombre y apellidos, edad, teléfono de contacto y dirección electrónica. La organización se pondrá en contacto solamente con las personas que han obtenido plaza","Literatura e Historia,Literatura,Actividades en las mediatecas","Adultos,Discapacidad,Mayores","Mediateca Pablo Iglesias",40.54295948,-3.64362527
"Club de lectura matinal","11/10/2017","13/12/2017","11:30","13:00","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1227","Datos de interés Descripción La profesora Susana Meyniel propone un paseo por la literatura en español del siglo XX. Se leerán y comentarán en grupo obras tan diversas como “El club de los poetas muertos” de Nancy Kleimbaum, “La ciudad de las bestias” de Isabel Allende, “Niebla” de Miguel de Unamuno y acabaremos con la intrigante Patricia Highsmith y sus “Crímenes imaginarios”.  Horario Las sesiones tendrán lugar los miércoles del 11 de octubre al 13 de diciembre, con una periodicidad quincenal, de 11:30 a 13 horas. Precio Gratuito. Inscripción La preinscripción al Club de Lectura matinal puede realizarse a partir del lunes 2 de octubre en el correo electrónico mediatecas@aytoalcobendas.org. Los datos necesarios para la preinscripción serán los siguientes: nombre y apellidos, edad, teléfono de contacto y dirección electrónica. La organización se pondrá en contacto solamente con las personas que han obtenido plaza.","Literatura e Historia,Literatura,Actividades en las mediatecas","Adultos","Espacio Miguel Delibes",40.55157784,-3.65719644
"Club de lectura Mediateca Anabel Segura","05/10/2017","30/11/2017","19:30","","Urbanizaciones","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=379","Datos de interés Descripción Iniciamos una nueva edición del Club de Lectura en la Mediateca Anabel Segura moderado por la periodista y escritora Maribel Orgaz. A través de la lectura viajaremos por la historia de China a lo largo del siglo XX a través de tres generaciones de mujeres, por el barrio de Malasaña durante la movida madrileña y por la década de 1920 en Brooklyn y el sueño americano de miles de inmigrantes.  Horario Del 5 de octubre al 30 de noviembre, con una periodicidad  quincenal, los jueves a las 19:30 h en la Mediateca Anabel Segura. Precio Gratuito.    Inscripción Consta de 20 plazas que se cubrirán por orden de inscripción, teniendo prioridad las personas que no hayan participado en ediciones anteriores. Dirigido a mayores de 18 años. Los interesados deben realizar la inscripción a partir del lunes 25 de septiembre, y hasta completar aforo, en la Mediateca Anabel Segura (Avenida de Bruselas, 19. Tel.: 91 484 16 90) de lunes a viernes de 9 a 21 h.  ","Literatura e Historia,Literatura,Actividades en las mediatecas","Adultos","Mediateca Anabel Segura",40.53134238,-3.63668194
"Club de lectura Mediateca Centro de Arte: Los libros son el reflejo del alma","19/09/2017","12/12/2017","19:00","20:30","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1549","Datos de interés Descripción Un espacio para disfrutar de la lectura y enriquecerla compartiendo las experiencias e impresiones con otros lectores. Bajo la cita de Virginia Woolf “Los libros son el reflejo del alma” iniciamos una nueva edición del Club de Lectura de la Mediateca Centro de Arte, donde se leerán y compartirán obras tan variadas como “Tiempo de silencio” de Luis Martín-Santos, “Primavera con una esquina rota” de Benedetti, la poesía de León Felipe y la novela de la mencionada Virginia Woolf “Una habitación propia”. Moderado por Carmelo Hernando. Dirigido a mayores de 16 años. Horario Se desarrollará en 4 sesiones mensuales los martes 19 de septiembre, 17 de octubre, 14 de noviembre y 12 de diciembre, de 19 a 20:30 horas en la sala de animación de la mediateca del Centro de Arte Alcobendas. Precio Gratuito. Inscripción Se podrá realizar a partir del viernes 8 de septiembre en la mediateca Centro de Arte Alcobendas (C/ Mariano Sebastián Izuel, 9, tfno.:  91 229 49 40), de lunes a viernes de 10 a 21 horas. ","Literatura e Historia,Literatura,Actividades en las mediatecas","Adultos","Mediateca Centro de Arte",40.54105674,-3.63032709
"Club de lectura Mediateca Pablo Iglesias","19/10/2017","14/12/2017","19:00","20:30","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2229","Datos de interés  Descripción El Club de Lectura de la Mediateca Pablo Iglesias, que modera el escritor Guillermo Roz, inicia una nueva edición con tres novelas escritas en la década de los ochenta del siglo XX: The Brooklyn Follies, de Paul Auster; La balsa de piedra, de José Saramago; y La lluvia amarilla, de Julio Llamazares. Horario Se desarrollará en 5 sesiones quincenales los jueves 19 de octubre, 2, 16 y 30 de noviembre y 14 de diciembre, de 19 a 20:30 h, en el Centro Cultural Pablo Iglesias Precio Gratuito. Inscripción La preinscripción gratuita puede realizarse a partir del lunes 9 de octubre en el correo electrónico mediatecas@aytoalcobendas.org. Los datos necesarios para la preinscripción serán los siguientes: nombre y apellidos, edad, teléfono de contacto y dirección electrónica. La organización se pondrá en contacto solamente con las personas que han obtenido plaza.","Literatura e Historia,Literatura,Actividades en las mediatecas","Adultos","Mediateca Pablo Iglesias",40.54295948,-3.64362527
"Concierto de Navidad","17/12/2017","17/12/2017","19:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2189","Datos de interés Descripción La Navidad es un periodo de paz y amor que llena a todos los habitantes del planeta. Para inculcar estos sentimientos nada mejor que la música. Por ello, como cada año, la Banda Municipal de Música de Alcobendas y la Coral de Alcobendas ofrecen un concierto extraordinario para celebrar estas fechas tan señaladas. Oberturas, valses y como no, villancicos, entre otros estilos musicales, llenarán de sonidos el Teatro Auditorio Ciudad de Alcobendas bajo la dirección de Sergio Casas Santos y Fernando Terán Nicolás. Además de música, las sorpresas están garantizadas en el concierto con el que ambas asociaciones cierran el año.  Horario 120 minutos Precio 6 / 8 € Taquilla Entradas a la venta a partir del 28 de noviembre  Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Música,El Público,¡Cultura Express!,Navidad en Alcobendas","Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Conferencia El Arte y la Muerte","31/10/2017","31/10/2017","11:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1042","Datos de interés Descripción Dentro de la programación que organiza la Universidad Popular Miguel Delibes, el martes 31 de octubre a las 11 horas, Elena Delgado, profesora de Arte, impartirá la conferencia El Arte y la Muerte, un recorrido por las distintas obras artísticas que se ubican en los cementerios. Precio Entrada libre hasta completar aforo","Otros Cultura y Ocio,Otros,Eventos UPA","Público general","Espacio Miguel Delibes",40.55157784,-3.65719644
"Convocatoria de las Juntas Municipales de Distrito","19/09/2017","21/09/2017","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=634","Datos de interés Descripción Calendario de las sesiones ordinarias de la Juntas Municipales de Distrito para el mes de septiembre: Junta Municipal de Distrito Urbanizaciones:  día 19 - 18:00 horas. Centro Cívico Anabel Segura. Junta Municipal de Distrito Centro:                  día 20 - 19:00 horas. Centro Cívico Distrito Centro. Junta Municipal de Distrito Norte:                    día 21 - 19:00 horas. Espacio Miguel Delibes.","Espacios de Participación,Actividades de Participación","Público general","Centro Cívico Distrito Centro",40.54097353,-3.63407685
"Convocatoria de las Juntas Municipales de Distrito","19/09/2017","21/09/2017","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=634","Datos de interés Descripción Calendario de las sesiones ordinarias de la Juntas Municipales de Distrito para el mes de septiembre: Junta Municipal de Distrito Urbanizaciones:  día 19 - 18:00 horas. Centro Cívico Anabel Segura. Junta Municipal de Distrito Centro:                  día 20 - 19:00 horas. Centro Cívico Distrito Centro. Junta Municipal de Distrito Norte:                    día 21 - 19:00 horas. Espacio Miguel Delibes.","Espacios de Participación,Actividades de Participación","Público general","Centro Cultural Anabel Segura",40.53134238,-3.63668194
"Convocatoria de las Juntas Municipales de Distrito","19/09/2017","21/09/2017","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=634","Datos de interés Descripción Calendario de las sesiones ordinarias de la Juntas Municipales de Distrito para el mes de septiembre: Junta Municipal de Distrito Urbanizaciones:  día 19 - 18:00 horas. Centro Cívico Anabel Segura. Junta Municipal de Distrito Centro:                  día 20 - 19:00 horas. Centro Cívico Distrito Centro. Junta Municipal de Distrito Norte:                    día 21 - 19:00 horas. Espacio Miguel Delibes.","Espacios de Participación,Actividades de Participación","Público general","Espacio Miguel Delibes",40.55157784,-3.65719644
"Coros de óperas y villancicos","16/12/2017","16/12/2017","19:30","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2498","Datos de interés  Descripción La Sociedad Coral de Madrid fue creada por la Fundación Excelentia con la vocación de ser un referente en el panorama sinfónico-coral internacional, como se demuestra en su dilatada experiencia. En abril de 2016 recibió el Premio EFE 2016 a la Cultura. En este concierto de Navidad sus voces nos emocionarán con alguna de las más famosas arias de ópera, junto con villancicos populares. Intérprete: Sociedad Coral Excelentia de Madrid Director: Amaro González de Mesa Pianista: Belén González Soprano Sara Matarranz Programa: ÁREAS DE ÓPERA G. VERDI. Anvil Chorus, Il Trovatore G.F HÄNDEL. Lascia ch’io pianga C. GOUNOD. Gloire immortelle de nos aieux, Fausto G. PUCCINI. O mio Babbino Caro G. PUCCINI. Coro a Bocca chiussa, Madama Butterfly  G.F HÄNDEL. Ombra Mai Fu G. VERDI. Nabucco, Va pensiero SELECCIÓN DE VILLANCICOS DEL MUNDO. Adeste Fideles. Noche de Paz. Hacia Belén va una Burra. White Christmas.  Holy Night.  Campana Sobre Campana.  We wish you a Merry Christmas Edad recomendada: a partir de 10 años. Horario  Duración: 90 minutos. Precio Concierto: 15 € .  Ensayo didáctico a las 12 h.: 1 € Venta de entradas a partir del 22 de septiembre. Abono Alcobendas Clásica por 49 €. Venta de Abonos a partir del 12 de septiembre.   Descuentos Menores de 30 años: 25% de descuento. Mayores de 65 años y/o pensionistas: 25 % de descuento. Familias numerosas: 25 % de descuento. Grupos (a partir de 10 entradas): 25 % de descuento (sólo en taquilla) Menores de 2 años: 50 % de descuento en los conciertos del Ciclo Música en Familia. Los descuentos solo son aplicables a las localidades con importe superior a 6 euros, excepto en los conciertos del Ciclo Música en Familia, que se aplicarán a familias numerosas y grupos. Los descuentos no son acumulables ni se aplican al importe de los abonos ni de los ensayos didácticos. Para la aplicación del descuento deberá presentar la acreditación que le da derecho al mismo tanto en el momento de adquirir su localidad como en el momento de acceder a la sala.   Taquilla Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/ y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018 Otros datos Público infantil: La edad mínima para acceder a la sala es de 5 años, salvo espectáculos del ciclo Música en Familia y Ensayos Didácticos. En todos los casos, los menores deben estar acompañados por un adulto, que será el responsable. Todas las personas deberán adquirir su localidad independientemente de la edad. Consultar descuentos especiales para menores de 2 años. Con objeto de cumplir la normativa de evacuación, no se permitirá el acceso a las salas con cochecitos de bebés, dejando éstos en los lugares especialmente habilitados. La dirección se reserva el derecho a solicitar la salida de la sala si se considera que el niño causa alguna molestia al resto del público.  Otras informaciones: La duración de los espectáculos es aproximada. El intermedio, en caso de existir, durará 15 minutos. No se admite consumir alimentos o bebidas en la sala. La organización se reserva el derecho de variar la programación cuando causas de fuerza mayor lo exijan. Estas variaciones se harán públicas en los medios de comunicación municipales. La suspensión o cambio de un espectáculo sólo lleva consigo la devolución del importe o bien el cambio de localidad. No está permitido la realización de fotografías/vídeos/dispositivos móviles durante el evento. Las grabaciones se realizarán en el espacio habilitado para ello, exclusivamente, previa autorización.","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Dido y Eneas","18/11/2017","18/11/2017","19:30","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2497","Datos de interés Descripción La ópera Dido y Eneas, compuesta por Henry Purcell en 1689, está considerada la primera ópera inglesa. Cuenta los trágicos amores entre la reina Dido y el troyano Eneas. En esta ocasión, la ópera se interpretará semiescenificada: con movimientos de los cantantes, y proyección de los textos cantados. La agrupación instrumental que acompaña al Coro de Cámara Cantiga está formado por músicos profesionales de orquestas de Madrid, lo que permite al coro contar siempre con un acompañamiento instrumental de alto nivel Intérprete: Coro de Cámara Cántiga y Conjunto instrumental. Director: José Ángel Ruiz Programa: Henry Purcell. Dido y Eneas Edad recomendada: a partir de 10 años. Horario  Duración: 90 minutos. Precio Concierto: 15 € .  Ensayo didáctico a las 12 h.: 1 € Venta de entradas a partir del 22 de septiembre. Abono Alcobendas Clásica por 49 €. Venta de Abonos a partir del 12 de septiembre.   Descuentos Menores de 30 años: 25% de descuento. Mayores de 65 años y/o pensionistas: 25 % de descuento. Familias numerosas: 25 % de descuento. Grupos (a partir de 10 entradas): 25 % de descuento (sólo en taquilla) Menores de 2 años: 50 % de descuento en los conciertos del Ciclo Música en Familia. Los descuentos solo son aplicables a las localidades con importe superior a 6 euros, excepto en los conciertos del Ciclo Música en Familia, que se aplicarán a familias numerosas y grupos. Los descuentos no son acumulables ni se aplican al importe de los abonos ni de los ensayos didácticos. Para la aplicación del descuento deberá presentar la acreditación que le da derecho al mismo tanto en el momento de adquirir su localidad como en el momento de acceder a la sala.   Taquilla Venta de entradas en todas las taquillas municipales, en  https://www.ticketea.com/ y en el Tlf.  902 044 226.  Ver programa Alcobendas Clásica Octubre 2017/Enero 2018 Otros datos Público infantil: La edad mínima para acceder a la sala es de 5 años, salvo espectáculos del ciclo Música en Familia y Ensayos Didácticos. En todos los casos, los menores deben estar acompañados por un adulto, que será el responsable. Todas las personas deberán adquirir su localidad independientemente de la edad. Consultar descuentos especiales para menores de 2 años. Con objeto de cumplir la normativa de evacuación, no se permitirá el acceso a las salas con cochecitos de bebés, dejando éstos en los lugares especialmente habilitados. La dirección se reserva el derecho a solicitar la salida de la sala si se considera que el niño causa alguna molestia al resto del público.  Otras informaciones: La duración de los espectáculos es aproximada. El intermedio, en caso de existir, durará 15 minutos. No se admite consumir alimentos o bebidas en la sala. La organización se reserva el derecho de variar la programación cuando causas de fuerza mayor lo exijan. Estas variaciones se harán públicas en los medios de comunicación municipales. La suspensión o cambio de un espectáculo sólo lleva consigo la devolución del importe o bien el cambio de localidad. No está permitido la realización de fotografías/vídeos/dispositivos móviles durante el evento. Las grabaciones se realizarán en el espacio habilitado para ello, exclusivamente, previa autorización.","Teatro, Música y Danza,Música,Conciertos Alcobendas Clásica","Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"El Cartógrafo","11/11/2017","11/11/2017","20:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2487","Datos de interés Descripción   Llega a nuestra ciudad uno de los mayores éxitos de la temporada teatral. Con una Blanca Portillo y un José Luis García-Pérez en estado de gracia, el espectador acompañará a la protagonista por las calles de Varsovia en su búsqueda de la leyenda de un cartógrafo y su nieta en el gueto judío durante la ocupación nazi. A través de una docena de personajes que se mueven en dos planos temporales paralelos, esta obra nos recuerda que la historia, la personal y la colectiva, se escribe a base de olvidos y que los mapas pueden ayudarnos a recuperar la memoria. Juan Mayorga vuelve a emocionarnos como ya lo hiciera con Reikiavik, obra que recientemente pudimos disfrutar en el Teatro Auditorio Ciudad de Alcobendas. http://www.entrecajas.com/ Para mayores de 14 años.   Ficha artística: Texto y Dirección: Juan Mayorga Intérpretes: Blanca Portillo y José Luis García Pérez Escenografía y Vestuario: Alejandro Andújar Iluminación: Juan Gómez-Cornejo Música original y espacio sonoro: Mariano García   Horario Duración: 120 minutos  Precio 11/15 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono General","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"El Fungible 2017","20/11/2017","20/11/2017","20:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1961","Datos de interés Descripción En su vigésimo sexta edición, el certamen literario El Fungible, convocado por el Ayuntamiento de Alcobendas para estimular y difundir la creatividad literaria de autores de habla hispana, ya tiene ganadores en sus modalidades de relato joven y novela corta. El jurado, formado por los escritores Luis Mateo Díez y Jorge Eduardo Benavides, acordó otorgar el premio del IX Certamen de Novela Corta El Fungible Alcobendas 2017 a la obra El Cuadrilátero, del escritor valenciano Vicente Marco Aguilar. El ganador del XXVI Premio de Relato Joven El Fungible Alcobendas 2017 ha sido Enrique Fernández Aparicio con la obra Bingo. Las obras finalistas han sido la novela corta La noche de la semana, de Miguel Torres López de Uralde y el relato Jacques Costeau, de Jesús Ramón Roldán Piñero. Tanto las obras ganadoras como las finalistas se publicarán en un libro editado por el Ayuntamiento de Alcobendas, con una tirada de 2000 ejemplares y edición digital, que se presentará el lunes 20 de noviembre, a las 20:00 h, en el Espacio Miguel Delibres, y que contará con la presencia del jurado, de los ganadores y del escritor y periodista J.J Armas Marcelo, como autor invitado. Ver más información sobre Certamen literario El Fungible","Literatura e Historia,Literatura,Actividades en las mediatecas","Público general","Espacio Miguel Delibes",40.55157784,-3.65719644
