Nombre,Subnombre,Temas,Subtemas,Tipos,Subtipos,Subsubtipos,Perfiles,Fecha de inicio,Fecha de fin,Hora de inicio,Hora de fin,Distrito,Url de ficha,Equipamiento,Localizacion,Coordenada X (UTM),Coordenada Y (UTM),Coordenada X,Coordenada Y,Texto,Fecha de inscripción empadronados,Fecha de inscripción empleados,Fecha de inscripción general,Temática
"Conócete a través de la danza","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Mujer","Desarrollo personal","","Mujeres", 03/04/2018, 05/06/2018,,,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1963","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_8041086527410"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Favorecer las relaciones de igualdad entre mujeres y hombres, trabajando desde la cooperaci&oacute;n, el respeto, el cuidado, la escucha y la corresponsabilidad. Vivir experiencias comunes, a trav&eacute;s del contacto f&iacute;sico, la creatividad y la sensibilidad; superando estereotipos culturales y convenciones sociales. </p><p>El cuerpo es el gran protagonista de este taller que consiste en aprender a escucharlo y a ser m&aacute;s conscientes de los estados emocionales, f&iacute;sicos y mentales, a trav&eacute;s de la pr&aacute;ctica de diferentes t&eacute;cnicas de coaching y corporalidad como: danza cinco ritmos, danza primal, biodanza, consciencia corporal, etc. </p><p>Dirigido a mujeres.&nbsp; </p><h5>Horario</h5><ul class=""tipo1"">	<li>Lunes&nbsp;de 19:00 a 21:00 h.&nbsp;</li></ul><h5>Precio</h5><p><strong>31,38 &euro;, curso completo.&nbsp; </strong></p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Pago, bajas y devoluciones&nbsp;</h5><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas. </p><ul class=""tipo1"">	<li>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_8399050599731"">Cursos y talleres de la Casa de la Mujer </a></li></ul></div></div></div>",27/02/2018,,01/03/2018,"Crecimiento personal|Salud"
"Danza: La energía Femenina como Herramienta de Empoderamiento","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Mujer","Desarrollo personal","","Mujeres", 05/10/2017, 22/03/2018, 10:00, 12:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2051","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_1979513156187"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>A trav&eacute;s de una de las danzas m&aacute;s antiguas, y con una gran carga de energ&iacute;a femenina, conoceremos, bailaremos y disfrutaremos las posibles identidades femeninas que todas tenemos. Tendremos un espacio donde los velos de seda, los cr&oacute;talos, la darbuka, los ritmos &aacute;rabes, persas, turcos, nos posibilitar&aacute;n y acompa&ntilde;aran en un trabajo corporal y emocional en el que seremos capaces de conocernos y expresarnos desde multitud de maneras diferentes. </p><p>Dirigido a mujeres.&nbsp; &nbsp; </p><h5>Horario </h5><p>Jueves de 10 a 12 h </p><h5>Precio</h5><p>31,38 &euro;&nbsp; trimestre </p><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n sobre la&nbsp; <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a>.&nbsp;&nbsp;&nbsp; </p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas.</p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_973111834594"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",22/06/2017,,13/09/2017,"Crecimiento personal"
"De amor no se sufre","","Mujer","Mujer","Mujer","Desarrollo personal","","Mujeres", 30/03/2016, 18/05/2016, 18:00, 20:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1746","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_557964059782"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>En el taller se reflexionar&aacute; sobre las relaciones amorosas desde la igualdad, donde ser&aacute; posible&nbsp; la comunicaci&oacute;n de igual a igual,&nbsp; donde no s&oacute;lo se compartan las tareas dom&eacute;sticas y&nbsp; el&nbsp; cuidado de los hijos e hijas, si no los afectos.&nbsp; Parejas que se nutren, se enriquecen mutuamente&nbsp; y&nbsp; se aportan equilibrio. </p><p>Se trata de repensar en el amor rom&aacute;ntico que surge de la idea de que las mujeres somos &nbsp;seres incompletos, que necesitamos para completarnos un hombre a nuestro lado, podemos desmontar falsas creencias sobre lo que significa enamorarse, explorando los componentes culturales, descriptivos y normativos del Amor.. </p><h5>Horario</h5><p>Mi&eacute;rcoles de 18:00 a 20:00&nbsp;horas. </p><h5>Precio</h5><p>20,92 &euro;&nbsp; </p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Pago, bajas y devoluciones&nbsp;</h5><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p></div></div></div>",,,,"Crecimiento personal"
"Desenrédate y estírate","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Mujer","Desarrollo personal","","Mujeres", 02/10/2017, 06/06/2018, 17:00, 18:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=527","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_6710179541174"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Todo nuestro pasado y nuestro presente est&aacute; reflejado en nuestro cuerpo. Nuestra morfolog&iacute;a resume nuestras habilidades, nuestra belleza o nuestras penurias y deformaciones. &iquest;Cu&aacute;ntas estamos a gusto y vibramos con &eacute;l? </p><p>Podremos cambiar nuestra vida, a trav&eacute;s del cambio estructural de nuestro cuerpo. </p><p>El movimiento consciente y el estiramiento global activo son los ejes que vertebran y dan sentido a las clases, se materializan a trav&eacute;s del Stretching Global Activo (SGA), constituye una correcci&oacute;n corporal basada en posturas globales de estiramiento. La globalidad es necesaria para que el estiramiento sea eficaz y duradero, el objetivo es elongar a la vez todos los m&uacute;sculos pertenecientes a una misma cadena muscular, de forma suave, lenta y activa, es una herramienta eficaz para quienes pretendan corregir la postura, ganar elasticidad, mejorar el rendimiento deportivo y prevenir lesiones o dolores. </p><p>Adem&aacute;s, utilizaremos el m&eacute;todo Pilates, es un sistema de ejercicios dise&ntilde;ado para promover la salud f&iacute;sica y mental, un m&eacute;todo de trabajo que si se realiza correctamente es una de las m&aacute;s poderosas fuentes de salud y de bienestar. Proporciona vigor, movilidad, potencia, fluidez, atenci&oacute;n, control, satisfacci&oacute;n y sensaciones positivas. El movimiento es salud, el movimiento es vida&hellip;mu&eacute;vete! </p><p>Dirigido a mujeres. </p><h5>Horario</h5><p>Lunes y mi&eacute;rcoles de 17:00 a 18:00 h. </p><h5>Precio</h5><p>31,38 &euro; trimestre. </p><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas. </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_7118196479291"">Cursos y talleres de la Casa de la Mujer </a></p></div></div></div>",22/06/2017,,13/09/2017,"Crecimiento personal|Salud"
"Desmontando Mindfulness: Una actitud ante la vida","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Mujer","Desarrollo personal","","Mujeres", 04/10/2017, 20/12/2017, 10:00, 12:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2145","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_6258699703865"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>El mindfulness no es la soluci&oacute;n m&aacute;gica a tus problemas, pero si una herramienta poderosa para tomar el control de tus emociones. &iquest;Quieres conocer los beneficios de la atenci&oacute;n plena?</p><p>Gestionar emociones con un enfoque positivo, encontrando m&aacute;s f&aacute;cilmente las soluciones a los problemas de la vida diaria, cotidiana o profesional desde la realidad de cada participante. Disminuir el estr&eacute;s y la ansiedad.</p><p>Dirigido a mujeres. </p><h5>Horario</h5><ul class=""tipo1"">	<li>Mi&eacute;rcoles de 10 a 12 h.&nbsp;</li></ul><h5>Precio</h5><p>31,38 &euro;&nbsp; curso completo </p><p>Consulte la informaci&oacute;n sobre <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=544"" id=""FichaTramite_544"">Formas de Pago, Bajas y Devoluciones </a></p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas. </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_3939981060717"">Cursos y talleres de la Casa de la Mujer </a></p></div></div></div>",22/06/2017,,13/09/2017,"Crecimiento personal|Salud"
"El tiempo es vida","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Mujer","Desarrollo personal","","Mujeres", 03/04/2018, 05/06/2018, 19:00, 21:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2143","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_8904335019067"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>&iquest;Sientes que las cosas suceden muy r&aacute;pido, o muy despacio? &iquest;Tienes la sensaci&oacute;n de tener algo pendiente con demasiada frecuencia? Este curso b&aacute;sico del tiempo puede ayudarte a sentir cada momento con la intensidad requerida.</p><p>Facilitar t&eacute;cnicas para un uso eficaz del tiempo personal y profesional, con el fin de realizar cambios de h&aacute;bitos que reduzcan el estr&eacute;s y mejoren el bienestar. </p><p>Dirigido a mujeres y hombres. </p><h5>Horario</h5><ul class=""tipo1"">	<li>Martes de 19 a 21&nbsp;h.&nbsp;</li></ul><h5>Precio</h5><p>Gratuito.&nbsp; </p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5 class=""tipo1"">Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas. </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_3077218635866"">Cursos y talleres de la Casa de la Mujer </a></p></div></div></div>",27/02/2018,,01/03/2018,"Crecimiento personal"
"Empleo en la Red - nivel básico medio","Cursos y Talleres Casa de la Mujer 2017/2018","Mujer","Mujer","Cultura y Formación|Mujer","Tecnología|Actualización profesional","Ofimática","Adultos", 08/01/2018, 19/03/2018, 10:00, 11:30,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2155","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_620359650397"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Iniciar actividad en las redes. Registro, primeros pasos, perfil. Curriculum Vitae, carta de presentaci&oacute;n, certificado de b&uacute;squeda de empleo. Recibe consejos y utiliza un m&eacute;todo de trabajo eficaz para las plataformas de b&uacute;squeda de empleo, palabras clave, preguntas abiertas o cerradas.</p><p>Requisitos: las alumnas deben de estar familiarizadas en el manejo del ordenador, disponer de una cuenta de correo electr&oacute;nico para el registro en las diferentes plataformas y Curriculum Vitae actualizado. </p><h5>Horario&nbsp;</h5><p>Lunes y mi&eacute;rcoles de 10:00 a 11:30 horas. </p><h6 class=""tipo2""></h6><h6 class=""tipo2""></h6><h5>Precio</h5><p>Gratuito. </p><h5>Informaci&oacute;n e Inscripci&oacute;n&nbsp;&nbsp;&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><ul class=""tipo1"">	<li>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas.</li>	<li>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_1951652968230"">Cursos y talleres de la Casa de la Mujer</a></li></ul></div></div></div>",05/12/2017,,07/12/2017,"Formación académica y profesional|Nuevas Tecnologías"
"Encuentro con lectoras","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Mujeres", 27/09/2017, 23/05/2018, 17:30, 19:30,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1958","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_9470860410887"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Acercamiento y profundizaci&oacute;n en los libros de una forma creativa, l&uacute;dica y placentera. Fomentar la existencia de personas m&aacute;s activas por medio de la participaci&oacute;n y el ejercicio de las capacidades de relaci&oacute;n, comunicaci&oacute;n y cr&iacute;tica. Hacer de la lectura una pr&aacute;ctica compartida. Realizar actividades alrededor de la palabra para crear mecanismos de formaci&oacute;n y de desarrollo personal. </p><p>Actividad quincenal.</p><p>Dirigido a mujeres. </p><h5 class=""tipo1"">Horario</h5><p>Mi&eacute;rcoles&nbsp;de 17:30 a 19:30 h. </p><h5>Precio</h5><p>Gratuito.&nbsp; </p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_5799974341027"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",22/06/2017,,13/09/2017,"Crecimiento personal"
"Espacio de mujer: Bienestar psicosocial ","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Mujeres", 21/01/2018, 06/03/2018, 10:00, 12:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1972","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_2247247863905"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>La capacidad de aceptaci&oacute;n y adaptaci&oacute;n a la realidad favorece el bienestar, la salud, la calidad de vida y el sentirse mejor con una misma. </p><p>El &ldquo;vivir&rdquo; en el pasado o el futuro impide experimentar el presente. Por ello a trav&eacute;s de este taller de espacio y tiempo para ti mujer, pretendemos desarrollar herramientas para fomentar el bienestar y aprender a buscar recursos que ayuden a gestionar lo cotidiano desde una perspectiva positiva, pretendemos&nbsp; fomentar fortalezas personales, definir metas, retomar objetivos y valores, descubrir actividades gratificantes. </p><p>Dirigido a mujeres. </p><h5 class=""tipo1"">Horario</h5><p>Martes de 10 a 12 h </p><h5>Precio</h5><p>Gratuito.&nbsp; </p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_1280669479328"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",05/12/2017,,07/12/2017,"Crecimiento personal"
"Habilidades para desarrollar la autoestima","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Mujeres", 05/03/2018, 14/05/2018, 10:00, 12:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1974","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_4097695543183"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>La valoraci&oacute;n, la aceptaci&oacute;n, el conocimiento de una misma como factores elementales para el desarrollo de la identidad femenina. Detectar &aacute;reas de mejora, reforzar los puntos fuertes y aprender a practicar la cr&iacute;tica constructiva y la asertividad con el objetivo de incrementar el bienestar personal son los fines de este taller.&nbsp;&nbsp;</p><p>Dirigido a mujeres.&nbsp; </p><h5 class=""tipo1"">Horario</h5><p>Lunes de 10 a 12 h.</p><h5>Precio</h5><p>Gratuito&nbsp; </p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_1947910557469"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",05/12/2017,,07/12/2017,"Crecimiento personal"
"Habilidades personales para la relación social","Cursos y Talleres Casa de la Mujer 2017/2018","Cultura y Ocio|Mujer","Otros Cultura y Ocio|Mujer","Mujer","Desarrollo personal","","Mujeres", 08/03/2018, 17/05/2018, 10:00, 12:00,"Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1976","Casa de la Mujer "Clara Campoamor"","http://mapa.alcobendas.org/index.html?center=%2Ffeature%2Fpoi_administracion%5Bf_id%3D33%5D&amp;zoom=18","445622.9440000791","4489044.617","40.550376041309306","-3.6422179517738207","<div class=""modulo100""><div class=""datosinteres""><h4><img alt="""" class=""img_Sin"" id=""Imagen_10_2908323778326"" src=""http://www.alcobendas.org/recursos/img/Comunes/895869469_262010131247.gif"" /> Datos de inter&eacute;s</h4><div class=""separador""><h5>Descripci&oacute;n</h5><p>Trabajar las habilidades de comunicaci&oacute;n que nos permiten mejorar nuestra capacidad de expresi&oacute;n en el &aacute;mbito p&uacute;blico y privado. </p><p>Dirigido a mujeres.&nbsp; </p><h5 class=""tipo1"">Horario</h5><p>Jueves de 10 a 12&nbsp;h. </p><h5>Precio</h5><p>Gratuito.</p><h5>Inscripci&oacute;n&nbsp;</h5><p>Consulte la informaci&oacute;n necesaria para la <a href=""http://www.alcobendas.org/es/cargarFichaTramite.do?identificador=333"" id=""FichaTramite_333"">inscripci&oacute;n en los cursos de la Casa de la&nbsp;Mujer</a> </p><h5>Informaci&oacute;n de inter&eacute;s</h5><p>Se&nbsp;anular&aacute;n los grupos en los que no se cubran el 50% de las plazas ofertadas </p><p>Puede consultar el programa completo de <a href=""http://www.alcobendas.org/es/portal.do?TR=A&amp;IDR=1&amp;identificador=2413"" id=""Documento_2413_651162741145"">Cursos y talleres de la Casa de la Mujer.</a> </p></div></div><!--fin fichaterritoriales--></div>",05/12/2017,,07/12/2017,"Crecimiento personal"
