NOM_FARMACIA,TELEFON,EMAIL,HORARI,ADRECA,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,LOCALITZACIO
Farmàcia Carbó,937 839 738,mcarbo001@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA MAJOR DE SANT PERE, 93",418276.0625,4602630.1875,418182.0847,4602425.9644,2.0186662,41.5693282,"(41.56932821118521, 2.018666177686733)"
Farmàcia Saida Barberà-Casajuana,937 863 463,farmacia.sbarbera@barbesa.com,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CR DE CASTELLAR, 478",419547.6250,4603515.0625,419453.6559,4603310.8312,2.0337967,41.5774265,"(41.57742651631212, 2.033796692120191)"
Farmàcia Balasch,937 895 011,farmacia@balasch.com,"De dilluns a dissabte de 9.00 a 22.00 h, i diumenges i festius tancat.","AV DE JOSEP TARRADELLAS, 56",416986.8334,4602946.1678,416892.8560,4602741.9550,2.0031615,41.5720410,"(41.57204101116475, 2.0031614976189096)"
Farmàcia Consell,937 349 444,farmacia.consell@gmail.com,De dilluns a divendres de 8.30 a 20.30 hores Dissabte de 9.00 a 14.00 hores.,"CA DEL CONSELL DE CENT, 1",418400.4451,4603078.4686,418306.4709,4602874.2453,2.0200969,41.5733782,"(41.57337816087549, 2.0200968555634318)"
Farmàcia Puges,937 308 323,,,"PS DEL CAMP DEL ROURE, 20-B",420009.4980,4602472.5540,419915.5217,4602268.3175,2.0394754,41.5680840,"(41.56808398564589, 2.0394754177132275)"
Farmàcia Domènech,937 880 429,farmacia@farmaciadomenech.e.telefonica.net,De dilluns a divendres 8.15 a 13.00 h. i 15.30 a 20.00 h. i dissabte 9.00 a 13.00 h.,"CA DE NÚRIA, 170",416494.9521,4601668.7975,416400.9643,4601464.5865,1.9974402,41.5604858,"(41.56048577157982, 1.9974401801341255)"
Farmàcia Torrent,937 800 910,,De dilluns a dissabte de 8.30 a 14.00 h. i de 16.00 a 20.30 h.,"PL VELLA, 2",417605.1548,4601821.8623,417511.1699,4601617.6431,2.0107314,41.5619795,"(41.561979508603706, 2.01073135265648)"
Farmàcia Passeig,937 839 927,,,"CA DE SANT ANTONI, 21",418101.1128,4602067.5280,418007.1305,4601863.3054,2.0166449,41.5642430,"(41.56424296531778, 2.0166448983118594)"
Farmàcia Ignasi Guerrero Anarte,937 882 901,farmaciaiguerrero@gmail.com,De dilluns a dissabte de 8.30 a 21.30 h.,"AV DE L ABAT MARCET, 241",417359.9375,4603219.8125,417265.9628,4603015.5973,2.0075984,41.5745441,"(41.574544138913815, 2.007598400413445)"
Farmàcia Manent,937 860 487     ,dmanent001@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DEL TIBIDABO, 19-B",419779.4829,4602831.0327,419685.5090,4602626.7985,2.0366691,41.5712894,"(41.571289413012856, 2.036669079667784)"
Farmàcia-Ortopèdia Maria del Prado Anarte,937 851 181,info@farmaciampanarte.com,De dilluns a dissabte de 9.00 a 22.00 h.,"CA DE FRANÇA, 20",420333.8438,4599196.7500,420239.8432,4598992.5060,2.0437997,41.5386141,"(41.53861408413836, 2.0437996912780356)"
Farmàcia Izquierdo-Magaña,937 835 140     ,,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.00 h. i dissabte de 9.00 a 13.30 h.,"CA DEL NORD, 104",417886.5594,4602559.3129,417792.5805,4602355.0927,2.0140048,41.5686500,"(41.56864997522714, 2.014004787188918)"
Farmàcia Jornet,937 851 691     ,,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.00 h. i dissabte de 9.00 a 13.30 h.,"CA DEL GERMÀ JOAQUIM, 113",418535.2696,4600748.3950,418441.2780,4600544.1671,2.0220301,41.5524072,"(41.552407151151975, 2.022030106363452)"
Farmàcia Solís,937 859 887,solis.soler@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 17.00 a 20.00 h. i dissabte de 9.00 a 13.30 h.,"CA DE COLOM, 286",418788.5000,4601031.1250,418694.5109,4600826.8956,2.0250279,41.5549792,"(41.55497920533649, 2.025027931806043)"
Farmàcia Sabrià,937 353 347,,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.  ,"CA AMPLE, 25",417965.2500,4603011.6250,417871.2746,4602807.4049,2.0148866,41.5727316,"(41.57273159242296, 2.0148866206055653)"
Farmàcia Tarín,937 362 023,farmaciatarin@gmail.com,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DE LA FONT VELLA, 71",417866.1511,4601921.8444,417772.1673,4601717.6233,2.0138473,41.5629068,"(41.56290681796366, 2.013847294541536)"
Farmàcia Torras,937 800 920,,De dilluns a divendres de 9.00 a 13.00 h. i de 16.00 a 20.30 h. i dissabte de 9.00 a 13.00 h.,"CA DE SANT FRANCESC, 12",417746.9063,4601516.0625,417652.9193,4601311.8417,2.0124730,41.5592401,"(41.55924006809519, 2.0124730082452573)"
Farmàcia del Cacho,937 884 499   937 885 380,,De dilluns a divendres 9.00 a 13.30 h. i de 17.00 a 20.30 h. i dissabte 9.00 a 13.30 h.,"RV DE MONTSERRAT, 48",417451.6918,4601972.9239,417357.7078,4601768.7061,2.0088704,41.5633241,"(41.563324135042286, 2.0088703928804725)"
Farmàcia Riba,937 856 088,,De dilluns a divendres de 9.00 a 13.30 h. i de 17.00 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA D ESTANISLAU FIGUERAS, 92",418834.5938,4601690.0000,418740.6098,4601485.7712,2.0254915,41.5609178,"(41.560917763106346, 2.025491506222065)"
Farmàcia Rubio,937 850 918     ,rubio.ingerto@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte 9.00 a 13.30 h.,"CA DE SARAGOSSA, 7",420071.5296,4601752.0240,419977.5480,4601547.7860,2.0403153,41.5616010,"(41.56160102793684, 2.0403152862323157)"
Farmàcia Belmonte,937 807 524,,De dilluns a divendres 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"RM D ÈGARA, 289",417293.6875,4602193.8125,417199.7049,4601989.5962,2.0069453,41.5652971,"(41.56529712291242, 2.0069452754264363)"
Farmàcia Marta Bueno - Can Boada,937 885 036,,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.00 h. i dissabte de 9.00 a 13.30 h.,"CA D ALEXANDRE GALÍ, 34",416842.7345,4602723.4705,416748.7552,4602519.2585,2.0014642,41.5700204,"(41.57002041541419, 2.0014642039668487)"
Farmàcia Ester Bueno Pau,937 880 975,,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DE SANT MARC, 69",416714.5625,4602045.8125,416620.5779,4601841.6004,2.0000212,41.5639041,"(41.56390408367278, 2.0000211561383145)"
Farmàcia Turu,937 351 052,,De dilluns a divendres de 9.00 a 13.30 h. i de 17.00 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DE TARRAGONA, 123",418353.0625,4604178.3125,418259.0966,4603974.0913,2.0193788,41.5832785,"(41.58327854002186, 2.0193788487053865)"
Farmàcia Mercè Aubets Durán,937 846 984,maubets49@yahoo.es,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DEL CAMÍ FONT DE LES CANYES, 9",419301.2276,4603763.6795,419207.2600,4603559.4504,2.0308079,41.5796407,"(41.579640717156764, 2.030807948671303)"
Farmàcia Trulli,937 833 917,farmaciatrulli@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"AV DE BARCELONA, 217",418951.0313,4602161.7500,418857.0510,4601957.5211,2.0268240,41.5651782,"(41.56517819290905, 2.0268239918927344)"
Farmàcia Escudé,937 882 188     ,,De dilluns a dissabte 9.00 a 13.30 h. i de 16.30 a 20.00 h. i dissabte 9.00 a 13.30 h.,"CR DE MARTORELL, 16",417261.0000,4601255.3750,417167.0102,4601051.1575,2.0066827,41.5568422,"(41.55684215537875, 2.006682656432648)"
Farmàcia Mestre Gorne,937 318 168     ,mestregorne@cofb.net,De dilluns a divendres de 9.00 a 14.00 h. i de 16.00 a 21.00 h. i dissabte 9.00 a 13.30 h.,"CA NOU DE SANT PERE, 65",417904.3005,4602242.1792,417810.3192,4602037.9584,2.0142609,41.5657957,"(41.565795683575566, 2.0142609327533587)"
Farmàcia Mercè Paz,937 362 575     ,mpaz001@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA D HOLANDA, 5",419994.2500,4598868.5625,419900.2464,4598664.3206,2.0397727,41.5356245,"(41.53562448156707, 2.039772723839608)"
Farmàcia Garrabou,937 351 271                                   ,garragarrabou@hotmail.com,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DE BERGA, 23-B",417881.0298,4604009.9785,417787.0619,4603805.7606,2.0137399,41.5817141,"(41.58171412142748, 2.013739864522289)"
Farmàcia Marta Barenys,937 893 295,farmaciabarenys@gmail.com,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA DE SICÍLIA, 37",416202.1414,4601355.2719,416108.1507,4601151.0626,1.9939729,41.5576315,"(41.55763151630409, 1.9939729336411551)"
Farmàcia Montserrat,937 354 429,,De dilluns a divendres de 8.00 a 21.00 h. (horari continu) i dissabte de 9.00 a 14.00 h.,"RM DE FRANCESC MACIÀ, 181",418758.6742,4603484.0344,418664.7037,4603279.8090,2.0243382,41.5770672,"(41.57706721644444, 2.024338239948839)"
Farmàcia Pi,937 853 642,api001@cofb.net,De dilluns a divendres de 8.30 a 21.00 h. (horari continu) Horari d estiu: Del 21 de juny fins al 30 d agost de dilluns a divendres de 8.30 a 15.00 h. i de 16.30 a 21.00 h.,"CA DE MOSSÈN A. RODAMILANS, 155",419118.5625,4601946.6250,419024.5809,4601742.3945,2.0288620,41.5632577,"(41.56325773728757, 2.0288619709954037)"
Farmàcia Roser Gavarró,937 843 734 937 835 654,gavarro.puig@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 15.00 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CA AMPLE, 289-B",418821.4075,4603149.7684,418727.4345,4602945.5420,2.0251359,41.5740632,"(41.57406318071045, 2.0251358982107295)"
Farmàcia Bach-Gibert,937 899 066,,De dilluns a divendres de 9.00 a 13.30 h i de 16.30 a 20.30 h i dissabte de 9.00 a 13.30 h.,"AV D ÀNGEL SALLENT, 70",416726.4515,4601359.1895,416632.4617,4601154.9762,2.0002590,41.5577216,"(41.5577215964791, 2.000258978601064)"
Farmàcia López-Serra,937 884 134,farmacialopezserra@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 17.00 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"CR DE RELLINARS, 298",417049.4688,4603585.2500,416955.4964,4603381.0377,2.0038243,41.5778031,"(41.577803083454896, 2.0038242964809774)"
Farmàcia Moreno,937 315 373     ,,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.00 h. i dissabte de 9.00 a 13.30 h. Horari d estiu: De maig fins al setembre per la tarde obren de 17.00 a 20.30 h.,"CR DE MONTCADA, 402",418473.9375,4601305.5000,418379.9500,4601101.2734,2.0212191,41.5574182,"(41.557418222920724, 2.0212191305748437)"
Farmàcia Llongueras,937 834 275,info@farmaciallongueras.com,De dilluns a dissabte de 9.00 a 22.00 h. (horari continu) ,"CA DE PONTEVEDRA, 8",419685.9828,4601357.5299,419591.9976,4601153.2942,2.0357449,41.5580095,"(41.558009521302, 2.035744945210213)"
Farmàcia Ragull,937 853 644,,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.  ,"CA DE PRAT DE LA RIBA, 4",418461.8118,4602051.9914,418367.8299,4601847.7660,2.0209723,41.5641399,"(41.56413992928286, 2.0209723347666806)"
Farmàcia Batallé,937 881 341,,De dilluns a divendres de 9.00 a 21.00 h. (horari continu)  i dissabte de 9.00 a 13.30 h.,"PL DEL PROGRÉS, 40",417225.8987,4601629.6928,417131.9117,4601425.4762,2.0062102,41.5602096,"(41.56020963442651, 2.0062101757386372)"
Farmàcia de la Rosa,937 880 088,erosa001@cofb.net,De dilluns a divendres de 9.00 a 14.00 h. i de 16.30 a 21.00 h. i dissabte de 9.00 a 14.00 h.,"CA DEL PARE LLAURADOR, 73",417167.4688,4602050.2500,417073.4849,4601846.0344,2.0054515,41.5639911,"(41.563991123657374, 2.005451519619342)"
Farmàcia Brugueras,937 885 441,jbrugueras002@cofb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"PR DE SANT ROC, 64",417403.6919,4601712.8545,417309.7058,4601508.6366,2.0083306,41.5609770,"(41.5609769851294, 2.008330600988251)"
Farmàcia Buxeda,937 836 960,buxeda.figuerola@cotb.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h. i dissabte de 9.00 a 13.30 h.,"AV DE SANTA EULÀLIA, 371",419049.1875,4600767.1875,418955.1968,4600562.9557,2.0281891,41.5526286,"(41.5526286046842, 2.028189112514868)"
Farmàcia Muchart,937 354 138     ,amuchart001@cofb.net,De dilluns a dissabte de 9.00 a 22.00 h.,"CR DE MATADEPERA, 45",418236.7500,4602857.9375,418142.7739,4602653.7151,2.0181637,41.5713753,"(41.57137531296009, 2.018163686111327)"
Farmàcia Masdeu,937 357 619     ,farmaciamasdeu@telefonica.net,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h.,"AV DE BÉJAR, 39",417567.2571,4603816.3035,417473.2872,4603612.0877,2.0100029,41.5799376,"(41.57993755864003, 2.0100028768294442)"
Farmàcia Camacho,937 883 934,,"De dilluns a diumenge de 7.00 a 23.00 h. (tots els dies de l any, horari continu)","RM D ÈGARA, 390",417122.4405,4602577.4883,417028.4605,4602373.2739,2.0048387,41.5687348,"(41.56873476470546, 2.004838748887502)"
Farmàcia F. Vicente Avilés - Cap Nord,937 853 499,fvicente001@cofb.net,De dilluns a divendres de 9.00 a 21.00 h. i dissabte i diumenge de 9.00 a 20.00 h.,"AV DEL VALLÈS, 457",419141.3696,4603387.9789,419047.3989,4603183.7504,2.0289412,41.5762410,"(41.576240969859306, 2.028941204195303)"
Farmàcia Alsius,937 835 717,,De dilluns a divendres de 9.00 a 13.30 h. i de 16.30 a 20.30 h. i dissabte de 9.00 a 13.30 h. Horari d estiu: Del 15 de juny fins al 31 de juliol a les tardes obren a les 17.00 h.,"CA DE TOPETE, 90",418137.6563,4601617.5000,418043.6706,4601413.2764,2.0171445,41.5601937,"(41.560193738324166, 2.01714449017483)"
Farmàcia Andreu Galcerán Roca,937 127 584,galceran.roca@cofb.net,,"CA DE SANTA M. DE MAZZAREL.LO, 80",416431.0901,4602050.6617,416337.1051,4601846.4517,1.9966213,41.5639182,"(41.56391816041194, 1.9966212594785024)"
