DATA_REFERENCIA,DISTRICTE,BARRI,NACIONALITAT,POBLACIO
2014,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,GEÒRGIA                       ,1
2017,DISTRICTE 3,CAN PARELLADA                 ,BÈLGICA                       ,1
2013,DISTRICTE 6,ÈGARA                         ,"CANADÀ, EL                    ",1
2017,DISTRICTE 2,TORRE-SANA                    ,"XINA, LA                      ",27
2013,DISTRICTE 2,TORRE-SANA                    ,"PAÏSOS BAIXOS, ELS            ",1
2013,DISTRICTE 6,SANT LLORENÇ                  ,NICARAGUA                     ,1
2013,DISTRICTE 2,TORRE-SANA                    ,"REPÚBLICA DOMINICANA, LA      ",12
2011,DISTRICTE 5,CAN BOADA DEL PI              ,"EQUADOR, L                    ",34
2017,DISTRICTE 4,LA MAURINA                    ,SUÏSSA                        ,1
2015,DISTRICTE 4,CA N AURELL                   ,ITÀLIA                        ,75
2015,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,XILE                          ,5
2014,DISTRICTE 5,CAN BOADA CASC ANTIC          ,FRANÇA                        ,4
2016,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ÀUSTRIA                       ,1
2016,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,HONDURES                      ,14
2017,DISTRICTE 4,VISTA ALEGRE                  ,"MARROC, EL                    ",1
2014,DISTRICTE 6,SANT LLORENÇ                  ,"XINA, LA                      ",9
2012,DISTRICTE 5,CAN GONTERES                  ,FRANÇA                        ,1
2017,DISTRICTE 3,LES FONTS                     ,"ARGENTINA, L                  ",3
2016,DISTRICTE 3,CAN PALET                     ,POLÒNIA                       ,13
2013,DISTRICTE 2,CA N ANGLADA                  ,GRÈCIA                        ,1
2015,DISTRICTE 3,P.I. SANTA EULÀLIA            ,"ARGENTINA, L                  ",1
2013,DISTRICTE 3,LES FONTS                     ,BANGLA DESH                   ,4
2017,DISTRICTE 3,CAN PALET II                  ,"ÍNDIA, L                      ",1
2011,DISTRICTE 6,SANT PERE NORD                ,REPÚBLICA DEM. DEL CONGO      ,3
2014,DISTRICTE 2,TORRE-SANA                    ,RÚSSIA                        ,1
2011,DISTRICTE 6,SANT PERE NORD                ,BULGÀRIA                      ,12
2015,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"REPÚBLICA DOMINICANA, LA      ",15
2012,DISTRICTE 3,CAN PARELLADA                 ,FRANÇA                        ,6
2013,DISTRICTE 5,CAN ROCA                      ,ALEMANYA                      ,3
2016,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,MÈXIC                         ,6
2016,DISTRICTE 5,TORRENT D EN PERE PARRES      ,ALEMANYA                      ,1
2014,DISTRICTE 6,ÈGARA                         ,EL SALVADOR                   ,9
2017,DISTRICTE 2,CA N ANGLADA                  ,ESPANYA                       ,8829
2016,DISTRICTE 4,ROC BLANC                     ,GEÒRGIA                       ,8
2016,DISTRICTE 1,VALLPARADÍS                   ,FRANÇA                        ,6
2014,DISTRICTE 4,LA MAURINA                    ,ITÀLIA                        ,21
2011,DISTRICTE 3,CAN PALET                     ,BÈLGICA                       ,2
2014,DISTRICTE 5,PLA DEL BON AIRE              ,ITÀLIA                        ,1
2012,DISTRICTE 6,DISSEMINATS                   ,"EQUADOR, L                    ",2
2014,DISTRICTE 2,TORRE-SANA                    ,MÈXIC                         ,4
2017,DISTRICTE 5,TORRENT D EN PERE PARRES      ,VENEÇUELA                     ,14
2012,DISTRICTE 3,CAN PARELLADA                 ,COLÒMBIA                      ,30
2012,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,"ÍNDIA, L                      ",5
2017,DISTRICTE 4,LA COGULLADA                  ,"TOGO, EL                      ",1
2013,DISTRICTE 3,SEGLE XX                      ,"ÍNDIA, L                      ",1
2015,DISTRICTE 4,LES MARTINES                  ,ESPANYA                       ,503
2014,DISTRICTE 5,CAN GONTERES                  ,FRANÇA                        ,1
2016,DISTRICTE 3,CAN PARELLADA                 ,"VIETNAM, EL                   ",3
2011,DISTRICTE 5,CAN ROCA                      ,ANGOLA                        ,2
2011,DISTRICTE 2,CA N ANGLADA                  ,BULGÀRIA                      ,11
2016,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,GÀMBIA                        ,6
2017,DISTRICTE 6,SANT PERE NORD                ,DINAMARCA                     ,1
2012,DISTRICTE 1,VALLPARADÍS                   ,"XINA, LA                      ",9
2012,DISTRICTE 5,CAN GONTERES                  ,COLÒMBIA                      ,1
2017,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"PAÏSOS BAIXOS, ELS            ",2
2016,DISTRICTE 2,CA N ANGLADA                  ,XILE                          ,36
2012,DISTRICTE 3,CAN JOFRESA                   ,ROMANIA                       ,22
2012,DISTRICTE 6,SANT LLORENÇ                  ,"PAKISTAN, EL                  ",7
2013,DISTRICTE 5,PLA DEL BON AIRE              ,TURQUIA                       ,2
2012,DISTRICTE 4,LA COGULLADA                  ,GEÒRGIA                       ,5
2013,DISTRICTE 3,LES FONTS                     ,ESPANYA                       ,2439
2014,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"XINA, LA                      ",27
2013,DISTRICTE 5,SANT PERE                     ,"ÍNDIA, L                      ",11
2011,DISTRICTE 3,CAN JOFRESA                   ,MOLDÀVIA                      ,1
2016,DISTRICTE 1,VALLPARADÍS                   ,COLÒMBIA                      ,8
2014,DISTRICTE 2,CA N ANGLADA                  ,XILE                          ,34
2015,DISTRICTE 5,TORRENT D EN PERE PARRES      ,"PERÚ, EL                      ",12
2014,DISTRICTE 4,LES MARTINES                  ,"EQUADOR, L                    ",1
2016,DISTRICTE 5,ELS CAUS - ELS PINETONS       ,ALEMANYA                      ,1
2017,DISTRICTE 2,TORRE-SANA                    ,"MARROC, EL                    ",233
2014,DISTRICTE 1,CENTRE                        ,PORTUGAL                      ,18
2016,DISTRICTE 2,CA N ANGLADA                  ,"ESTATS UNITS D AMÈRICA, ELS   ",6
2012,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,GÀMBIA                        ,5
2012,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,BIELORÚSSIA                   ,1
2013,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,PORTUGAL                      ,18
2014,DISTRICTE 2,CA N ANGLADA                  ,"PAKISTAN, EL                  ",45
2014,DISTRICTE 4,LA MAURINA                    ,UCRAÏNA                       ,2
2015,DISTRICTE 3,CAN PALET                     ,"PERÚ, EL                      ",25
2017,DISTRICTE 4,LA MAURINA                    ,ARMÈNIA                       ,1
2013,DISTRICTE 6,ÈGARA                         ,MOLDÀVIA                      ,3
2014,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,"ARGENTINA, L                  ",22
2016,DISTRICTE 1,VALLPARADÍS                   ,TUNÍSIA                       ,1
2011,DISTRICTE 3,SEGLE XX                      ,ROMANIA                       ,24
2013,DISTRICTE 5,CAN BOADA DEL PI              ,"BRASIL, EL                    ",1
2016,DISTRICTE 6,SANT PERE NORD                ,TURQUIA                       ,1
2011,DISTRICTE 5,CAN ROCA                      ,ALEMANYA                      ,5
2013,DISTRICTE 3,CAN PALET                     ,"REPÚBLICA DOMINICANA, LA      ",56
2014,DISTRICTE 3,SEGLE XX                      ,"FILIPINES, LES                ",1
2017,DISTRICTE 3,CAN PARELLADA                 ,"ARGENTINA, L                  ",12
2013,DISTRICTE 5,CAN GONTERES                  ,ESPANYA                       ,366
2012,DISTRICTE 1,CEMENTIRI VELL                ,"PARAGUAI, EL                  ",17
2014,DISTRICTE 3,SEGLE XX                      ,ALGÈRIA                       ,2
2015,DISTRICTE 3,SEGLE XX                      ,HONDURES                      ,5
2012,DISTRICTE 5,CAN ROCA                      ,COLÒMBIA                      ,8
2011,DISTRICTE 5,CAN ROCA                      ,NICARAGUA                     ,4
2017,DISTRICTE 6,SANT LLORENÇ                  ,"EQUADOR, L                    ",30
2015,DISTRICTE 1,VALLPARADÍS                   ,UCRAÏNA                       ,3
2015,DISTRICTE 5,CAN BOADA DEL PI              ,MÈXIC                         ,1
2013,DISTRICTE 4,LA MAURINA                    ,SÈRBIA                        ,1
2012,DISTRICTE 4,CA N AURELL                   ,"ESTATS UNITS D AMÈRICA, ELS   ",11
2017,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,POLÒNIA                       ,3
2016,DISTRICTE 2,MONTSERRAT                    ,"REPÚBLICA DOMINICANA, LA      ",9
2011,DISTRICTE 3,LES FONTS                     ,"PAÏSOS BAIXOS, ELS            ",2
2013,DISTRICTE 6,SANT LLORENÇ                  ,ITÀLIA                        ,3
2011,DISTRICTE 4,LA COGULLADA                  ,BOLÍVIA                       ,21
2015,DISTRICTE 3,SEGLE XX                      ,MÈXIC                         ,4
2016,DISTRICTE 5,DISSEMINATS                   ,"BRASIL, EL                    ",2
2012,DISTRICTE 3,CAN PALET                     ,ITÀLIA                        ,43
2011,DISTRICTE 5,CAN BOADA DEL PI              ,"PAÏSOS BAIXOS, ELS            ",1
2016,DISTRICTE 4,LA MAURINA                    ,"XINA, LA                      ",25
2015,DISTRICTE 2,CA N ANGLADA                  ,EL SALVADOR                   ,4
2012,DISTRICTE 5,TORRENT D EN PERE PARRES      ,PORTUGAL                      ,5
2011,DISTRICTE 4,LES MARTINES                  ,NICARAGUA                     ,1
2016,DISTRICTE 3,GUADALHORCE                   ,GEÒRGIA                       ,1
2012,DISTRICTE 3,SEGLE XX                      ,ESPANYA                       ,5538
2014,DISTRICTE 5,CAN ROCA                      ,"PAÏSOS BAIXOS, ELS            ",1
2014,DISTRICTE 2,TORRE-SANA                    ,"ESTATS UNITS D AMÈRICA, ELS   ",1
2013,DISTRICTE 4,LA COGULLADA                  ,"REPÚBLICA TXECA, LA           ",1
2016,DISTRICTE 1,CEMENTIRI VELL                ,EGIPTE                        ,3
2017,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,FRANÇA                        ,10
2014,DISTRICTE 4,CA N AURELL                   ,"ESTATS UNITS D AMÈRICA, ELS   ",8
2016,DISTRICTE 3,CAN PARELLADA                 ,ALEMANYA                      ,4
2014,DISTRICTE 6,ÈGARA                         ,HONDURES                      ,4
2017,DISTRICTE 4,LA COGULLADA                  ,"EQUADOR, L                    ",22
2011,DISTRICTE 2,CA N ANGLADA                  ,ARMÈNIA                       ,6
2015,DISTRICTE 6,ÈGARA                         ,"PAKISTAN, EL                  ",7
2016,DISTRICTE 6,SANT PERE NORD                ,MALI                          ,2
2017,DISTRICTE 3,LES FONTS                     ,IRLANDA                       ,1
2016,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"ESTATS UNITS D AMÈRICA, ELS   ",4
2012,DISTRICTE 4,CA N AURELL                   ,TUNÍSIA                       ,1
2011,DISTRICTE 4,LA MAURINA                    ,HONDURES                      ,12
2015,DISTRICTE 4,ROC BLANC                     ,ALEMANYA                      ,4
2016,DISTRICTE 4,CA N AURELL                   ,PORTUGAL                      ,14
2017,DISTRICTE 5,TORRENT D EN PERE PARRES      ,"REGNE UNIT, EL                ",1
2012,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,HONDURES                      ,15
2015,DISTRICTE 6,SANT PERE NORD                ,"MARROC, EL                    ",976
2014,DISTRICTE 5,CAN BOADA CASC ANTIC          ,BULGÀRIA                      ,3
2011,DISTRICTE 3,CAN PALET                     ,TURQUIA                       ,1
2013,DISTRICTE 4,LA COGULLADA                  ,BOLÍVIA                       ,27
2016,DISTRICTE 5,CAN ROCA                      ,"MARROC, EL                    ",28
2013,DISTRICTE 3,SEGLE XX                      ,TURQUIA                       ,2
2015,DISTRICTE 6,SANT LLORENÇ                  ,"PARAGUAI, EL                  ",6
2012,DISTRICTE 1,CENTRE                        ,JAMAICA                       ,2
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ALEMANYA                      ,4
2016,DISTRICTE 4,ROC BLANC                     ,XILE                          ,9
2011,DISTRICTE 3,CAN PALET                     ,"PAÏSOS BAIXOS, ELS            ",5
2017,DISTRICTE 3,CAN JOFRESA                   ,EL SALVADOR                   ,1
2017,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"PAKISTAN, EL                  ",15
2011,DISTRICTE 6,SANT PERE NORD                ,UCRAÏNA                       ,22
2013,DISTRICTE 5,SANT PERE                     ,BÈLGICA                       ,1
2013,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"PARAGUAI, EL                  ",57
2017,DISTRICTE 4,LA COGULLADA                  ,"PERÚ, EL                      ",11
2013,DISTRICTE 5,SANT PERE                     ,"PERÚ, EL                      ",56
2014,DISTRICTE 1,VALLPARADÍS                   ,XILE                          ,4
2017,DISTRICTE 6,ÈGARA                         ,"PERÚ, EL                      ",3
2017,DISTRICTE 3,CAN JOFRESA                   ,RÚSSIA                        ,4
2012,DISTRICTE 4,CA N AURELL                   ,XILE                          ,34
2013,DISTRICTE 2,CA N ANGLADA                  ,ROMANIA                       ,108
2017,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"EQUADOR, L                    ",57
2014,DISTRICTE 3,CAN PALET II                  ,"ÍNDIA, L                      ",6
2012,DISTRICTE 2,MONTSERRAT                    ,"PAÏSOS BAIXOS, ELS            ",1
2013,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,UCRAÏNA                       ,14
2013,DISTRICTE 3,SEGLE XX                      ,"GUINEA, LA                    ",1
2016,DISTRICTE 1,CENTRE                        ,DINAMARCA                     ,1
2015,DISTRICTE 4,LA COGULLADA                  ,ITÀLIA                        ,21
2015,DISTRICTE 3,CAN JOFRESA                   ,XILE                          ,1
2011,DISTRICTE 3,SEGLE XX                      ,RÚSSIA                        ,10
2016,DISTRICTE 4,LA MAURINA                    ,XILE                          ,6
2012,DISTRICTE 4,LA COGULLADA                  ,EL SALVADOR                   ,2
2015,DISTRICTE 6,SANT PERE NORD                ,BIELORÚSSIA                   ,2
2013,DISTRICTE 4,ROC BLANC                     ,FRANÇA                        ,4
2011,DISTRICTE 3,CAN PARELLADA                 ,"REPÚBLICA DOMINICANA, LA      ",15
2017,DISTRICTE 1,CEMENTIRI VELL                ,ÀUSTRIA                       ,1
2014,DISTRICTE 1,VALLPARADÍS                   ,"REGNE UNIT, EL                ",5
2016,DISTRICTE 5,CAN BOADA CASC ANTIC          ,PORTUGAL                      ,10
2014,DISTRICTE 4,LA COGULLADA                  ,"REPÚBLICA DOMINICANA, LA      ",20
2016,DISTRICTE 5,CAN BOADA CASC ANTIC          ,RÚSSIA                        ,3
2017,DISTRICTE 4,CA N AURELL                   ,POLÒNIA                       ,10
2017,DISTRICTE 2,TORRE-SANA                    ,CUBA                          ,4
2011,DISTRICTE 4,LA COGULLADA                  ,"GUINEA BISSAU, LA             ",3
2011,DISTRICTE 3,SEGLE XX                      ,"MARROC, EL                    ",285
2011,DISTRICTE 3,LES FONTS                     ,MADAGASCAR                    ,2
2013,DISTRICTE 2,CA N ANGLADA                  ,BÈLGICA                       ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,EGIPTE                        ,1
2016,DISTRICTE 3,P.I. SANTA EULÀLIA            ,ESPANYA                       ,64
2014,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"PAKISTAN, EL                  ",5
2015,DISTRICTE 1,CENTRE                        ,"SENEGAL, EL                   ",14
2013,DISTRICTE 2,CA N ANGLADA                  ,PORTUGAL                      ,7
2011,DISTRICTE 2,MONTSERRAT                    ,NIGÈRIA                       ,3
2015,DISTRICTE 3,LES FONTS                     ,"PAKISTAN, EL                  ",4
2015,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"REGNE UNIT, EL                ",2
2011,DISTRICTE 4,CA N AURELL                   ,NICARAGUA                     ,4
2017,DISTRICTE 6,ÈGARA                         ,MÈXIC                         ,7
2012,DISTRICTE 4,LA COGULLADA                  ,HONDURES                      ,10
2017,DISTRICTE 4,LA COGULLADA                  ,MÈXIC                         ,3
2015,DISTRICTE 5,SANT PERE                     ,CUBA                          ,9
2015,DISTRICTE 5,PLA DEL BON AIRE              ,GÀMBIA                        ,2
2012,DISTRICTE 5,PLA DEL BON AIRE              ,"MARROC, EL                    ",33
2015,DISTRICTE 2,TORRE-SANA                    ,BOLÍVIA                       ,11
2011,DISTRICTE 1,CENTRE                        ,BÈLGICA                       ,2
2012,DISTRICTE 3,SEGLE XX                      ,XILE                          ,11
2011,DISTRICTE 1,VALLPARADÍS                   ,"GUINEA EQUATORIAL, LA         ",2
2015,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,ESPANYA                       ,4214
2016,DISTRICTE 2,CA N ANGLADA                  ,"CANADÀ, EL                    ",4
2014,DISTRICTE 1,CENTRE                        ,ÀUSTRIA                       ,1
2015,DISTRICTE 3,GUADALHORCE                   ,BOLÍVIA                       ,3
2016,DISTRICTE 4,LA MAURINA                    ,"ESTATS UNITS D AMÈRICA, ELS   ",1
2016,DISTRICTE 4,CA N AURELL                   ,HONDURES                      ,41
2014,DISTRICTE 6,SANT LLORENÇ                  ,"REPÚBLICA DOMINICANA, LA      ",13
2013,DISTRICTE 3,CAN PALET                     ,ESPANYA                       ,10266
2016,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,"SENEGAL, EL                   ",33
2016,DISTRICTE 4,LA COGULLADA                  ,RÚSSIA                        ,13
2011,DISTRICTE 6,ÈGARA                         ,"EQUADOR, L                    ",101
2016,DISTRICTE 3,GUADALHORCE                   ,"BRASIL, EL                    ",2
2012,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,"BRASIL, EL                    ",19
2017,DISTRICTE 5,CAN BOADA DEL PI              ,NIGÈRIA                       ,4
2014,DISTRICTE 5,PLA DEL BON AIRE              ,"SENEGAL, EL                   ",3
2013,DISTRICTE 3,XÚQUER                        ,CUBA                          ,1
2015,DISTRICTE 3,P.I. SANTA EULÀLIA            ,"EQUADOR, L                    ",1
2016,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,GHANA                         ,1
2012,DISTRICTE 3,CAN PARELLADA                 ,UCRAÏNA                       ,6
2013,DISTRICTE 1,CENTRE                        ,"REGNE UNIT, EL                ",20
2011,DISTRICTE 3,SEGLE XX                      ,"XINA, LA                      ",46
2015,DISTRICTE 6,SANT PERE NORD                ,PORTUGAL                      ,10
2015,DISTRICTE 3,SEGLE XX                      ,BÈLGICA                       ,1
2012,DISTRICTE 1,VALLPARADÍS                   ,MÈXIC                         ,7
2014,DISTRICTE 4,CA N AURELL                   ,ISLÀNDIA                      ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,BOLÍVIA                       ,13
2014,DISTRICTE 3,LES FONTS                     ,TURQUIA                       ,1
2013,DISTRICTE 3,LES FONTS                     ,"PARAGUAI, EL                  ",1
2015,DISTRICTE 2,TORRE-SANA                    ,MOLDÀVIA                      ,1
2017,DISTRICTE 3,CAN JOFRESA                   ,ROMANIA                       ,14
2017,DISTRICTE 4,LA MAURINA                    ,LITUÀNIA                      ,1
2017,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"ARGENTINA, L                  ",10
2016,DISTRICTE 3,LES FONTS                     ,ESPANYA                       ,2547
2017,DISTRICTE 3,LES FONTS                     ,VENEÇUELA                     ,3
2017,DISTRICTE 3,CAN PALET                     ,"IRAN, L                       ",1
2017,DISTRICTE 6,SANT LLORENÇ                  ,"PERÚ, EL                      ",6
2015,DISTRICTE 4,LA MAURINA                    ,MÈXIC                         ,2
2014,DISTRICTE 2,MONTSERRAT                    ,PORTUGAL                      ,3
2011,DISTRICTE 1,VALLPARADÍS                   ,TURQUIA                       ,2
2014,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"IRAN, L                       ",1
2014,DISTRICTE 4,LA MAURINA                    ,NIGÈRIA                       ,11
2015,DISTRICTE 2,MONTSERRAT                    ,PORTUGAL                      ,2
2014,DISTRICTE 3,XÚQUER                        ,"EQUADOR, L                    ",18
2014,DISTRICTE 1,CENTRE                        ,ROMANIA                       ,48
2011,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"EQUADOR, L                    ",175
2013,DISTRICTE 5,CAN BOADA CASC ANTIC          ,"SENEGAL, EL                   ",43
2011,DISTRICTE 4,LA MAURINA                    ,"ÍNDIA, L                      ",8
2015,DISTRICTE 1,CEMENTIRI VELL                ,"BRASIL, EL                    ",11
2012,DISTRICTE 3,SEGLE XX                      ,"REGNE UNIT, EL                ",5
2015,DISTRICTE 6,CAN TUSELL                    ,"MARROC, EL                    ",135
2016,DISTRICTE 2,MONTSERRAT                    ,ESPANYA                       ,973
2011,DISTRICTE 6,LES ARENES - LA GRÍPIA - CAN M,GUATEMALA                     ,5
2012,DISTRICTE 1,VALLPARADÍS                   ,"FILIPINES, LES                ",1
2012,DISTRICTE 1,CENTRE                        ,GRÈCIA                        ,1
2017,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,HONGRIA                       ,1
2016,DISTRICTE 2,MONTSERRAT                    ,"MARROC, EL                    ",564
2014,DISTRICTE 2,CA N ANGLADA                  ,"PERÚ, EL                      ",16
2013,DISTRICTE 5,TORRENT D EN PERE PARRES      ,XILE                          ,17
2012,DISTRICTE 6,SANT PERE NORD                ,PORTUGAL                      ,11
2016,DISTRICTE 1,CEMENTIRI VELL                ,"ÍNDIA, L                      ",2
2015,DISTRICTE 5,POBLE NOU - ZONA ESPORTIVA    ,ARMÈNIA                       ,1
2017,DISTRICTE 1,CENTRE                        ,COREA DEL SUD                 ,1
2011,DISTRICTE 5,TORRENT D EN PERE PARRES      ,"REGNE UNIT, EL                ",2
2016,DISTRICTE 4,CAN PALET DE VISTA ALEGRE     ,BULGÀRIA                      ,2
2014,DISTRICTE 2,TORRE-SANA                    ,XILE                          ,7
2012,DISTRICTE 2,TORRE-SANA                    ,XILE                          ,9
2016,DISTRICTE 6,CAN TUSELL                    ,"SENEGAL, EL                   ",7
2017,DISTRICTE 6,SANT PERE NORD                ,GHANA                         ,5
2012,DISTRICTE 3,LES FONTS                     ,KENYA                         ,1
2012,DISTRICTE 1,CEMENTIRI VELL                ,"REPÚBLICA DOMINICANA, LA      ",17
2011,DISTRICTE 1,PL. CATALUNYA - ESC. INDUSTRIA,NIGÈRIA                       ,6
2015,DISTRICTE 4,LA MAURINA                    ,"ESTATS UNITS D AMÈRICA, ELS   ",1
2017,DISTRICTE 2,TORRE-SANA                    ,"REPÚBLICA DOMINICANA, LA      ",12
2014,DISTRICTE 4,CA N AURELL                   ,COSTA RICA                    ,1
2011,DISTRICTE 5,PLA DEL BON AIRE              ,RÚSSIA                        ,2
2012,DISTRICTE 3,CAN PALET                     ,"GUINEA, LA                    ",10
2012,DISTRICTE 4,CA N AURELL                   ,LITUÀNIA                      ,3
2017,DISTRICTE 4,LES MARTINES                  ,NICARAGUA                     ,1
2017,DISTRICTE 3,CAN PALET II                  ,CUBA                          ,2
2014,DISTRICTE 6,ÈGARA                         ,ALGÈRIA                       ,2
2014,DISTRICTE 6,SANT PERE NORD                ,MALÀISIA                      ,1
2011,DISTRICTE 1,CEMENTIRI VELL                ,MÈXIC                         ,15
2015,DISTRICTE 6,SANT LLORENÇ                  ,"REPÚBLICA DOMINICANA, LA      ",9
2015,DISTRICTE 2,MONTSERRAT                    ,"XINA, LA                      ",3
2013,DISTRICTE 5,CAN BOADA CASC ANTIC          ,MALI                          ,1
2012,DISTRICTE 5,SANT PERE                     ,SIERRA LEONE                  ,1
2016,DISTRICTE 3,LES FONTS                     ,"REPÚBLICA DOMINICANA, LA      ",2
