EXERCICI_COMPTAB,PARTIDA,DESCRIPCIO_PARTIDA,PRESSUPOST_DEFINITIU,LIQUIDACIO
2011,11 23403   46100,SUBV. DIPUTACIÓ-OFICINA EMANCI,,12500
2011,11 23406   45002,SUBV. GENERALITAT-PROJECTE LLE,54250,43942.5
2011,11 23406   46100,SUBV. DIPUTACIÓ-PROJECTE LLEUR,7000,
2011,11 23408   45002,SUBV. GENERALITAT-J-DJ: INTERV,,26000
2011,11 23408   46100,SUBV. DIPUTACIÓ-J. INTERVENCIÓ,8100,27844
2011,11 23409   47000,TRANSF. EMPRESES PRIVADES-DINA,2350,
2011,11 23501   31100,ACTIVITATS GENT GRAN,22000,5970
2011,11 23501   34900,PREUS PÚBLICS-CURSOS GENT GRAN,,16861.86
2011,11 23501   46100,SUBV. DIPUTACIÓ-GENT GRAN,20000,
2011,11 23601   34904,CURSOS POLÍTIQUES DE GENERE,,1944.09
2011,11 23601   45002,SUBV. GENERALITAT-SERVEI A LES,40794.84,23580.43
2011,11 23601   46100,SUBV. DIPUTACIÓ-SERVEI A LES D,34800,33283.34
2011,11 23602   46100,SUBV. DIPUTACIÓ-SERVEI D IGUAL,,18731.77
2011,11 24101   45050,TRANSFERENCIA GENERALITAT- FOM,2055817.61,2108958.68
2011,11 24103   45060,SUBV. GENERALITAT - CASES D OF,553517.6,553517.6
2011,11 31201   36003,PRESTACIÓ SERVEIS CENTRE DE DI,,258357.28
2011,11 31201   45002,SUBV. GENERALITAT-CENTRE DIA S,295055,
2011,11 31201   45100,TRANSF. ORG. AUTON. I AGEN. -C,,66594.14
2011,11 31202   31101,CONSULTA SEXUAL-ATENCIÓ DONA,400,706.55
2011,11 31202   36004,PRESTACIÓ SERVEIS ATENCIÓ DONA,,98978.4
2011,11 31202   45002,SUBVENCIÓ GENERALITAT-ATENCIÓ ,137220,1038.65
2011,11 31202   45100,TRANSF. ORG. AUTON. I AGEN. - ,,55220.35
2011,11 31301   31900,ANIMALS DOMÈSTICS-PROTECCIÓ SA,73410,80018.7
2011,11 31301   39190,MULTES I SANCIONS-PROTECCIÓ SA,5,
2011,11 31301   45060,SUBVENCIONS GENERALITAT- PROTE,,36539.04
2011,11 31301   46100,SUBV. DIPUTACIÓ-PROTECCIÓ DE L,50000,47900
2011,11 31301   46200,TRANSF. ALTRES ENS LOCALS - PR,103671.75,103775.88
2011,11 31302   31903,LABORATORI MUNICIPAL,9810,9775.4
2011,11 31303   45002,SUBVENCIONS GENERALITAT-SALUT,30165,28657.09
2011,11 31303   46100,SUBVENCIONS DIPUTACIÓ-SALUT,30800,30800
2011,11 32003   45030,"TRANSF. GENERALITAT ED, PROM. ",1653699.49,1653699.49
2011,11 32101   46100,SUBVENCIÓ DIPUTACIÓ-ESCOLES BR,21864.29,21864.29
2011,11 32101   75030,ALTRES TRANSF. CAPITAL GENERAL,,0
2011,11 32304   45030,"TRANSF. GENERALITAT ED, SUPORT",,4743.71
2011,11 32304   46700,"TRANSFERÈNCIES CONSORCIS, CNL",,10847.14
2011,11 33201   31901,ACTIVITATS CULTURALS-BIBLIOTEQ,12895,1237.05
2011,11 33201   31902,CESSIÓ EQUIPAMENTS-BIBLIOTEQUE,2000,1169.95
2011,11 33201   45060,SUBVENCIONS GENERALITAT- BIBLI,,143745.52
2011,11 33201   46100,SUBV. DIPUTACIÓ-BIBLIOTEQUES I,357805,308500
2011,11 33202   31902,CESSIÓ EQUIPAMENTS- ARXIU SALA,2000,
2011,11 33202   45060,SUBVENCIONS GENERALITAT- ARXIU,3000,3087.35
2011,11 33300   31901,ACTIVITATS CULTURALS-MUSEU,60000,24044
2011,11 33300   34901,"PREUS PÚBLICS, PUBLIC., REPROD",,2091.04
2011,11 33300   36000,VENDE DE LLIBRES-MUSEU,225,
2011,11 33300   45060,SUBVENCIONS GENERALITAT-MUSEU,10000,1294.4
2011,11 33300   46100,SUBVENCIONS DIPUTACIÓ-MUSEU,10000,3000
2011,11 33300   47000,TRANSFERENCIES EMPRESES PRIVAD,40000,
2011,11 33401   31901,ACTIVITATS CULTURALS-MÚSICA,10000,
2011,11 33401   31902,CESSIÓ EQUIPAMENTS-MUSICA,,1408.65
2011,11 33401   34400,PREUS PÚBLICS ESPECTACLES CULT,,14177.7
2011,11 33401   45060,SUBVENCIONS GENERALITAT-MÚSICA,,3784.66
2011,11 33401   46100,SUBVENCIONS DIPUTACIÓ-MÚSICA,27500,17500
2011,11 33402   45060,SUBVENCIONS GENERALITAT-CULTUR,5000,
2011,11 33402   46100,SUBVENCIONS DIPUTACIÓ-CULTURA ,42000,65563.3
2011,11 33402   47000,TRANSF. EMPRESES PRIVADES-CULT,6000,
2011,11 33403   31902,CESSIÓ EQUIPAMENTS-CULTURA POP,,167.35
2011,11 33403   32910,FIRES D ARTESANIA-CULTURA POPU,,504
2011,11 33403   45060,SUBV. GENERALITAT-CULTURA POPU,6000,129.03
2011,11 33403   46100,SUBV. DIPUTACIÓ-CULTURA POPULA,3000,100500
2011,11 33403   47000,TRANSF. EMPRESES PRIVADES-CULT,60000,74864.22
2011,11 33403   48000,TRANS. INST S/FINALITAT LUCRE-,,12000
2011,11 33501   31901,ACTIVITATS CULTURALS-TEATRE I ,115000,3960
2011,11 33501   31902,CESSIÓ EQUIPAMENTS CULTURALS-T,15000,10279.03
2011,11 33501   34400,PREUS PÚBLICS ESPECTACLES CULT,,128378.9
2011,11 33501   36000,VENDA DE LLIBRES-TEATRE I DANS,5000,
2011,11 33501   41000,TRANSF. ORG. AUTONOMS ENTITAT ,,4000
2011,11 33501   42190,TRANSF. ORGANISMES AUTÒNOMS ES,,0
2011,11 33501   45060,SUBV. GENERALITAT-TEATRE I DAN,563000,341200
2011,11 33501   46100,SUBVENCIÓ DIPUTACIÓ-TEATRE I D,20000,146889.44
2011,11 33501   47000,TRANSF. EMPRESES PRIVADES-TEAT,80000,
2011,11 33501   48000,TRANS. INST S/FINALITAT LUCRE-,,24000
2011,11 33502   31902,CESSIÓ EQUIPAMENTS CULTURALS-A,10000,
2011,11 33502   36000,VENDE LLIBRES-ARTS VISUALS,2100,15
2011,11 33502   45060,SUBVENCIONS GENERALITAT-ARTS V,40000,45600
2011,11 33502   46100,SUBVENCIONS DIPUTACIÓ-ARTS VIS,30000,7650
2011,11 34101   31301,ACTIVITATS ESPORTIVES,5,
2011,11 34101   45060,"SUBVENCIONS GENERALITAT, ESPOR",6000,
2011,11 34101   45100,TRANSF. ORG. AUTON. I AGEN. - ,,750
2011,11 34101   46100,"SUBVENCIONS DIPUTACIÓ, ESPORTS",18685,51318
2011,11 34101   47000,TRANSFERÈNCIES EMPRESES PRIVAD,20000,9750
2011,11 34101   48000,TRANS. INST S/FINALITAT LUCRE-,449779.23,456279.23
2011,11 34201   31300,"CESSIÓ EQUIPAMENTS ESPORTIUS, ",274165,169031.79
2011,11 34201   46100,SUBVENCIONS DIPUTACIÓ - EQUIP.,,13100
2011,11 34202   32903,"UTILITZACIÓ EQUIPS JUVENILS, E",5,
2011,11 43101   46100,SUBVENCIONS DIPUTACIÓ-COMERÇ,9000,1770
2011,11 43102   32906,MERCATS MUNICIPALS-MERCAT INDE,330000,338905.68
2011,11 43103   32906,MERCATS MUNICIPALS-MERCAT SANT,125000,143838.81
2011,11 43104   32907,MERCAT SETMANAL-MERCAT MARTI L,206000,201947.36
2011,11 43106   32910,FIRES D ARTESANIA-FIRA ESTIU,17800,14069.35
2011,11 43107   32910,FIRES D ARTESANIA-FIRA HIVERN,40940,28373
2011,11 43108   32910,FIRA MODERNISTA,,11801.5
2011,11 43108   46100,SUBVENCIONS DIPUTACIÓ-FIRA MOD,,5000
2011,11 43108   47000,TRANSFERÈNCIES EMPRESES PRIVAD,,11574
2011,11 43201   32900,RUTES TURÍSTIQUES-TURISME,7000,9120.52
2011,11 43201   34903,PREU PÚBLIC UTILITZACIÓ SALA A,,1438
2011,11 43201   45060,"SUBVENCIONS GENERALITAT, TURIS",,28847.53
2011,11 43201   45100,TRANSF. ORG. AUTON. I AGEN.-PR,,8318
2011,11 43201   46100,SUBVENCIONS DIPUTACIÓ-TURISME,6000,13000
2011,11 44101   32905,LLICÈNCIES AUTO-TAXI I VEHICLE,20000,3824.6
2011,11 44101   42090,ALTRES APORTACIONS ESTAT-TRANS,707405,883005.01
2011,11 44101   46400,TRANSFERENCIES ALTRES ENS LOCA,1400000,1222854.72
2011,11 49301   42190,TRANSF. ORGANISMES AUTÒNOMS ES,15430,12213.89
2011,11 49301   46100,SUBVENCIONS DIPUTACIÓ-CONSUM,19255,19251
2011,11 91203   47000,"TRANSF. EMP. PRIVADES, CARR. E",,20545.43
2011,11 91301   45100,TRANSF. ORG. AUTON. I AGEN. C.,,21000
2011,11 91301   46100,SUBVENCIONS DIPUTACIÓ-SOLIDARI,62000,62000
2011,11 92001   47000,TRANSF. EMPRESES PRIVADES CONT,,15128.01
2011,11 92201   36005,VENDES TELECOMUNICACIONS,,13376.22
2011,11 92201   42190,TRANSF. ORGANISMES AUTÒNOMS ES,22500,22500
2011,11 92201   44100,TRANSF. EMPRESES ENTITAT LOCAL,15000,15000
2011,11 92201   45100,TRANSF. ORG. AUTON. I AGEN. - ,35913,35913
2011,11 92201   46100,SUBVENCIONS DIPUTACIÓ-SISTEMES,2000,2000
2011,11 92201   48000,TRANSF. INST S/FINALITAT LUCRE,3000,3000
2011,11 92201   76100,TRANSFERENCIA DIPUTACIÓ-MANT. ,57600,57600
2011,11 92201   79100,TRANSF. FONS DESENVOLUP. REGIO,115200,115200
2011,11 92204   32501,TAXA PROCESSOS SELECTIUS-RECUR,40000,3247.3
2011,11 92301   42090,ALTRES APORTACIONS ESTAT-DESPE,44891.37,96978.1
2011,11 92301   42190,TRANSF. ORGAN. AUTÒNOMS ESTAT-,,3543.69
2011,11 92402   46100,SUBVENCIONS DIPUTACIÓ-PROCESSO,,700
2011,11 92500   34900,PREUS PÚBLICS-ATENCIÓ ALS CIUT,110000,
2011,11 92500   49000,TRANSF. FONS SOCIAL EUROPEU - ,,30003.1
2011,11 92701   34900,PREUS PÚBLICS-CURSOS EQUIPAMEN,,27805.24
2011,11 92702   32902,ACTIVITATS-UTILITZACIÓ EQUIPAM,75325,8434.48
2011,11 92702   46100,SUBVENCIONS DIPUTACIÓ-ACTIVITA,,30000
2011,11 92801   46100,SUBVENCIONS DIPUTACIÓ-COORD. I,9000,9000
2011,11 92802   47000,"TRANSF. EMPRESES PRIVADES, COO",,-2334.74
2011,11 92805   45002,SUBV. GENERALITAT-COORDINACIÓ ,104905,1250
2011,11 92807   45060,TRANSFERÈNCIA GENERALITAT- PLA,2380.48,1495.68
2011,11 92807   45100,TRANSF. ORG. AUTON. I AGEN. PL,63020.4,63020.4
2011,11 92808   48000,TRANSF. INST S/FINALITAT LUCRE,15000,15000
2011,11 92901   34201,CURSOS SOCIETAT CONEIXEMENT,,1103.36
2011,11 92902   46200,TRANSF. ALTRES ENS LOCALS - AC,7920,7919.36
2011,11 92999   11200,IMPOST SOBRE BENS IMMOBLES NAT,10000,9327.48
2011,11 92999   11300,IMPOST SOBRE BÉNS IMMOBLES. NA,42147000,41423290.83
2011,11 92999   11400,IBI CARACTERÍSTIQUES ESPECIALS,,131086.03
2011,11 92999   11500,IMPOST SOBRE VEHICLES DE TRACC,12205000,11909999.55
2011,11 92999   11600,IMPOST INCREMENT VALOR TERRENY,3081000,3950258.4
2011,11 92999   13000,IMPOST S/ACTIVITATS ECONÒMIQUE,6305000,6064582.84
2011,11 92999   29000,IMPOST SOBRE CONSTRUCCIONS. IN,1685000,2239264.14
2011,11 92999   30300,TAXA RECOLLIDA DE RESIDUS,9215200,9323235.45
2011,11 92999   32300,"TAXES PLAQUES, PATENTS I DISTI",4000,2773.5
2011,11 92999   32500,TAXES EXPEDICIÓ DE DOCUMENTS,68000,11370.5
2011,11 92999   32901,TAXES SERVEIS GENERALS,5,
2011,11 92999   32904,ANUNCIS A CÀRREC PARTICULARS,5,
2011,11 92999   33100,TAXES PER ENTRADA DE VEHICLES-,2395000,2397995.74
2011,11 92999   33200,PARTICIPACIÓ INGRESSOS COMPANY,3809000,4267339.84
2011,11 92999   33500,TAULES I CADIRES,102000,142061.9
2011,11 92999   33700,"TRIBUNES, TENDALS, VOLADISSOS",5000,330.79
2011,11 92999   33902,PUBLICITAT,7000,12496.93
2011,11 92999   35000,CONTRIBUCIONS ESPECIALS PER EX,5,
2011,11 92999   35100,CONTRIBUCIONS ESPECIALS PER L ,5,
2011,11 92999   38900,REINTEGRES DESPESES CENS ELECT,5,
2011,11 92999   38901,PAGAMENTS INDEGUTS EXERCICIS A,7801.14,93399.73
2011,11 92999   39100,MULTES URBANÍSTIQUES,118700.68,88151.87
2011,11 92999   39103,MULTES CODIFICADES,4051000,
2011,11 92999   39110,MULTES PER INFRACCIONS TRIBUTÀ,,267479.49
2011,11 92999   39120,MULTES PER INFRACCIONS ORDENAN,,4813599.01
2011,11 92999   39190,ALTRES MULTES,,19513
2011,11 92999   39200,RECÀRRECS DE PRÒRROGA I APREMI,825000,1162567.9
2011,11 92999   39300,INTERESSOS DEMORA,280000,348217.69
2011,11 92999   39610,QUOTES D URBANITZACIÓ,6069497.33,1307259.35
2011,11 92999   39800,INDEMNITZACIONS,106341.75,143705.82
2011,11 92999   39901,IMPREVISTOS,5,
2011,11 92999   39904,DESPESES D EXPEDIENTS,70000,47809.69
2011,11 92999   39905,DESPESES JUDICIALS,,1279.75
2011,11 92999   39906,REINTEGRE DEVOLUCIONS EXERCICI,,37057.24
2011,11 92999   39909,ALTRES INGRESSOS,2670,75208.36
2011,11 92999   42000,PARTICIPACIÓ EN ELS TRIBUTS DE,40786000,40786593.12
2011,11 92999   44100,TRANSF. EMPRESES ENTITAT LOCAL,866960,749999.8
2011,11 92999   44101,TRANSF. EMPRESES ENTITAT LOCAL,121580,
2011,11 92999   45000,FONS DE COOPERACIÓ LOCAL DE CA,1338407.73,1168746.22
2011,11 92999   46100,SUBVENCIONS DIPUTACIÓ-INGRESSO,,450
2011,11 92999   50700,INTERESSOS TÍTOLS-VALORS MINA ,,60807.71
2011,11 92999   51400,INTERESSOS  POLISSES CONCEDIDE,140000,30664.53
2011,11 92999   51401,INTERESSOS  PRÉSTES CONCEDITS ,91000,362067.16
2011,11 92999   52000,INTERESSOS DE DIPÒSITS,155500,199863.81
2011,11 92999   54100,LLOGUER FINQUES URBANES,30000,41730.52
2011,11 92999   55005,CONCESSIONS APARCAMENT PORTAL ,7600,7811.59
2011,11 92999   55007,CONCESSIONS APARCAMENT PLAÇA D,22000,21519.17
2011,11 92999   55008,CONCESSIONS BARS,6300,24065.04
2011,11 92999   55009,CONCESSIONS APARCAMENT PLAÇA V,9000,8223.62
2011,11 92999   55900,ALTRES CONCESSIONS ,5,507774.32
2011,11 92999   83000,REINTEGRE PRESTECS PERSONAL,148995,73061.88
2011,11 92999   86000,ALIENACIÓ ACCIONS I PARTICIPAC,1300000,
2011,11 92999   87000,ROMANENT DE TRESORERIA PER A D,15750688,
2011,11 92999   87010,ROMANENT DE TRESORERIA PER A D,11889389.84,
2011,11 92999   91100,PRESTECS LLARG TERMINI DEL SEC,4110165.23,4110165.23
2011,11 92999   91300,PRESTECS LLARG TERMINI FORA DE,28767335.84,25117335.84
2012,12 13001   32500,TAXES DOCUMENTS - SERV. ADM. P,,7242.45
2012,12 13001   33900,ACTIVITATS A LA VIA PÚBLICA - ,65000,70260.21
2012,12 13001   33901,AUTORITZACIONS OCUPACIÓ VIA PÚ,160000,106671.56
2012,12 13001   39190,MULTES INFRACCIÓ ORDENANCES ,40000,54684.58
2012,12 13002   34900,PREUS PÚBLICS-CURSOS MOBILITAT,,25.42
2012,12 13002   49700,ALTRES TRANSFERÈNC. UNIÓ EUROP,,0
2012,12 13201   30900,ALTRES SERVEIS ESPECIALS POLIC,4000,1660.38
2012,12 13302   46500,"TRANSF.CONSELL COMARCAL, GESTI",181178.83,181178.83
2012,12 15101   72000,TRANSFERENCIA ESTAT (FEOSL) - ,,-126107.06
2012,12 15101   75060,TRANSF. CAPITAL GENERALITAT- U,372028.58,115151.51
2012,12 15101   76100,TRANSFERENCIA DIPUTACIÓ-URBANI,405638.65,
2012,12 15101   79100,TRANSF. FONS DESENV. REGIONAL ,233299.82,
2012,12 15102   38000,REINTEGRAMENT D AVALS - DIRECC,178323.83,178323.83
2012,12 15105   32100,LLICÈNCIES URBANÍSTIQUES - GES,0,
2012,12 15106   55200,DRET SUPERFÍCIE AMB CONTRAPRES,3181.08,3181.08
2012,12 15107   38900,REINTEGRES D OPERACIONS CORREN,0,
2012,12 15107   39900,ALTRES INGRESSOS DIVERSOS - SE,0,
2012,12 15108   32300,TAXES PER ALTRES SERVEIS URBAN,146000,74115
2012,12 15108   32500,TAXA DOCUMENTS - PROTECCIÓ DE ,3345,5537.35
2012,12 15108   33900,ACTIVITATS VIA PÚBLICA - PROTE,52270,18002.01
2012,12 15108   39903,EXECUCIONS SUBSIDIÀRIES - PROT,251407.96,212384.11
2012,12 15109   32100,LLICÈNCIES URBANÍSTIQUES,176400,227020.5
2012,12 15109   32200,LLICÈNCIES PRIMERA OCUPACIÓ ,50400,32652.73
2012,12 15109   32300,TAXES ALTRES SERVEIS URBANÍSTI,50400,25422.43
2012,12 15109   32500,TAXES DOCUMENTS - LLICÈNCIES,6675,6056.22
2012,12 15109   33900,ACTIVITATS A LA VIA PÚBLICA - ,52770,36731.39
2012,12 15111   32100,LLICÈNCIES URBANÍSTIQUES - PL.,0,
2012,12 15112   32500,TAXA DOCUMENTS - INFORMACIÓ UR,4840,3756.4
2012,12 15112   33900,ACTIVITATS VIA PÚBLICA - INFOR,0,
2012,12 15199   39900,ALTRES INGRESSOS DIVERSOS - UR,84020,131024.17
2012,12 15199   45080,SUBV. GENERALITAT - URBANISME ,0,
2012,12 15199   46100,SUBVENCIONS DIPUTACIÓ - URBANI,0,
2012,12 15199   47000,TRANSF. EMPRESES PRIVADES - UR,0,
2012,12 15600   45060,SUBVENCIÓ GENERALITAT - PLA BA,506932.45,
2012,12 15600   75060,"ALTRES TRANSFER.GENERALITAT, P",459165,
2012,12 15700   45060,SUBVENCIÓ GENERALITAT - PLA BA,51648.38,33103.33
2012,12 16101   79100,TRANSF. FONS DESENVOLUP. REGIO,,2
2012,12 16102   32908,AUTORIT. AMBIENTALS- CICLE DE ,,871.13
2012,12 16102   36001,MANT. COL·LECTORS I INSPECCIÓ-,238000,173614.84
2012,12 16202   31904,TAXA CENT. ATENCIÓ ANIMALS DOM,0,26365.38
2012,12 16202   31905,SERVEI MUNICIPAL DEIXALLERIA-T,0,5946.89
2012,12 16501   39800,INDEMNITZACIONS SUBMINISTRAMEN,220560.37,220560.37
2012,12 16501   45100,TRANSF. ORG. AUTON. I AGEN. C.,43948.97,43948.97
2012,12 16900   47000,TRANSF. EMPRESES PRIV.- MILLOR,67280,67280
2012,12 17002   34900,PREUS PÚBLICS-PRECTEC BICICLET,0,
2012,12 17003   32908,AUTORIT. AMBIENTALS- LLICENCIE,0,52616.11
2012,12 17003   39190,MULTES MEDI AMBIENT,150000,164738.87
2012,12 17004   36002,VENDES ENERGIA FOTOVOLTAICA-PL,23300,23759.65
2012,12 17004   45100,TRANSF. ORG. AUTON. I AGEN. C.,,6684.33
2012,12 17103   32901,TAXA VALLPARADÍS,,3049.86
2012,12 17103   55010,CONCESSIONS ADMINISTRATIV.-GES,38510,34902.86
2012,12 17201   32909,EXPLOTACIÓ HORTS MUNICIPALS-ME,22800,20034.04
2012,12 17201   45100,TRANSF. ORG. AUTON. I AGEN. C.,,10645.5
2012,12 17201   46100,SUBVENCIÓ DIPUTACIÓ-MEDI NATUR,27502.8,20627.1
2012,12 17202   45100,TRANSF. ORG. AUTON. I AGEN. C.,10645.5,114122.35
2012,12 17203   39907,CONVENI GESTIÓ CENTRE INF. CAN,,43966.35
2012,12 17203   46100,SUBV. DIPUTACIÓ-INFORMACIÓ I E,67086.1,24555.49
2012,12 17203   47000,TRANSF. EMPRESES PRIVADES-INF ,44000,0
2012,12 23101   45002,SUBV. GENERALITAT-EAIA,341770,424187
2012,12 23103   45002,SUBV. GENERALITAT-SERVEI BASIC,1619390,650089.27
2012,12 23103   46100,SUBV. DIPUTACIÓ-SERVEI BASIC A,180815,326294.77
2012,12 23104   45002,SUBV. GENERALITAT-PROJ. SUPORT,294655,326805.24
2012,12 23104   46100,SUBV. DIPUTACIÓ-PROJECTES SUPO,27000,27000
2012,12 23105   45002,TRANSFERÈNCIES GENERALITAT SUB,143955,
