ï»¿DATA_REFERENCIA,EDAT,SEXE,NIVELL_ESTUDI,POBLACIO
2016,45,Dona,"Llicenciat Universitari, Arqui",4
2011,62,Home,Formació professional Primer G,1
2016,51,Dona,"Batxiller Elemental, Graduat E",11
2013,16,Dona,"Batxiller Elemental, Graduat E",20
2015,67,Home,Formació professional Primer G,1
2011,29,Home,Sense estudis                 ,2
2017,62,Dona,Ensenyament primari incomplert,1
2014,14,Dona,Formació professional Primer G,2
2016,67,Home,Diplomat en Escoles Università,1
2012,21,Home,Formació professional de Segon,3
2011,24,Home,Arquitecte o Enginyer Tècnic  ,2
2013,42,Home,Ensenyament primari incomplert,12
2017,48,Home,Batxiller superior. BUP. Batxi,4
2017,52,Dona,Formació professional de Segon,1
2012,36,Dona,Formació professional Primer G,4
2015,46,Dona,Batxiller superior. BUP. Batxi,4
2013,56,Home,Sense estudis                 ,1
2016,5,Dona,Ensenyament primari incomplert,9
2012,31,Home,Formació professional Primer G,11
2013,47,Dona,Ensenyament primari incomplert,11
2015,41,Home,Batxiller superior. BUP. Batxi,11
2014,20,Dona,Altres titulacions mitjanes (A,2
2011,58,Home,"Batxiller Elemental, Graduat E",9
2011,50,Home,Formació professional Primer G,2
2012,30,Dona,Altres titulacions mitjanes (A,5
2016,33,Dona,"Llicenciat Universitari, Arqui",22
2015,30,Dona,"Batxiller Elemental, Graduat E",29
2013,30,Dona,Titulats d estudis superiors n,2
2017,46,Dona,Sense estudis                 ,1
2017,11,Dona,Desconegut                    ,1
2016,94,Home,"Batxiller Elemental, Graduat E",2
2014,50,Home,"Llicenciat Universitari, Arqui",5
2016,11,Home,"Batxiller Elemental, Graduat E",2
2017,69,Home,Ensenyament primari incomplert,1
2015,28,Home,Desconegut                    ,1
2016,96,Dona,Sense estudis                 ,1
2015,79,Home,Formació professional Primer G,1
2016,17,Dona,Ensenyament primari incomplert,7
2013,6,Home,No aplicable per ser més petit,26
2012,66,Dona,"Batxiller Elemental, Graduat E",6
2014,32,Dona,Altres titulacions mitjanes (A,1
2014,38,Home,"Llicenciat Universitari, Arqui",5
2014,43,Dona,"Llicenciat Universitari, Arqui",6
2011,52,Home,Ensenyament primari incomplert,4
2013,51,Home,Batxiller superior. BUP. Batxi,3
2013,39,Home,Desconegut                    ,2
2013,47,Home,"Batxiller Elemental, Graduat E",22
2016,75,Dona,"Batxiller Elemental, Graduat E",3
2012,50,Dona,Diplomat en Escoles Università,2
2017,57,Home,"Batxiller Elemental, Graduat E",4
2013,35,Dona,Ensenyament primari incomplert,7
2014,26,Dona,Formació professional Primer G,3
2016,12,Home,Ensenyament primari incomplert,35
2015,34,Dona,Batxiller superior. BUP. Batxi,14
2013,40,Dona,Formació professional Primer G,3
2011,53,Home,Sense estudis                 ,1
2014,21,Home,Formació professional Primer G,2
2015,1,Dona,No aplicable per ser més petit,52
2016,79,Home,Sense estudis                 ,1
2012,58,Dona,Desconegut                    ,1
2013,37,Dona,Sense estudis                 ,2
2011,36,Home,Arquitecte o Enginyer Tècnic  ,6
2017,35,Home,Arquitecte o Enginyer Tècnic  ,3
2015,18,Dona,"Batxiller Elemental, Graduat E",32
2016,1,Dona,Sense estudis                 ,2
2014,92,Dona,Ensenyament primari incomplert,3
2015,34,Home,Batxiller superior. BUP. Batxi,14
2017,40,Home,Formació professional de Segon,3
2017,2,Home,No aplicable per ser més petit,29
2013,30,Home,Altres titulacions mitjanes (A,1
2014,39,Home,Doctorat i Estudis de postgrau,1
2017,45,Dona,Formació professional de Segon,2
2016,19,Dona,Formació professional de Segon,5
2017,33,Dona,"Batxiller Elemental, Graduat E",11
2014,33,Home,Formació professional Primer G,5
2015,22,Home,Diplomat en Escoles Università,4
2011,45,Dona,Ensenyament primari incomplert,7
2012,17,Home,Batxiller superior. BUP. Batxi,4
2017,50,Home,Formació professional Primer G,2
2015,49,Home,"Batxiller Elemental, Graduat E",15
2011,40,Home,Ensenyament primari incomplert,15
2015,39,Dona,Batxiller superior. BUP. Batxi,8
2016,73,Home,Desconegut                    ,1
2016,75,Home,"Batxiller Elemental, Graduat E",5
2017,46,Dona,No sap llegir ni escriure     ,1
2016,48,Home,Diplomat en Escoles Università,1
2017,29,Dona,Batxiller superior. BUP. Batxi,9
2011,33,Dona,Ensenyament primari incomplert,15
2013,59,Home,"Batxiller Elemental, Graduat E",6
2014,28,Dona,Formació professional de Segon,8
2014,45,Home,Formació professional Primer G,2
2015,50,Home,Formació professional de Segon,3
2014,23,Home,Formació professional de Segon,3
2013,37,Home,Sense estudis                 ,3
2011,28,Dona,Doctorat i Estudis de postgrau,4
2012,61,Dona,No sap llegir ni escriure     ,1
2011,23,Home,Doctorat i Estudis de postgrau,1
2012,31,Dona,Diplomat en Escoles Università,11
2011,20,Dona,Desconegut                    ,6
2016,81,Dona,Ensenyament primari incomplert,3
2014,56,Home,Altres titulacions mitjanes (A,1
2016,33,Dona,Doctorat i Estudis de postgrau,3
2017,33,Dona,Formació professional de Segon,3
2011,33,Dona,Formació professional de Segon,12
2015,20,Dona,Sense estudis                 ,1
2014,32,Dona,Doctorat i Estudis de postgrau,2
2016,31,Dona,Formació professional de Segon,12
2016,26,Home,Formació professional de Segon,7
2012,66,Home,"Llicenciat Universitari, Arqui",1
2015,27,Dona,Batxiller superior. BUP. Batxi,14
2015,22,Home,Batxiller superior. BUP. Batxi,11
2016,36,Home,Formació professional Primer G,6
2012,59,Dona,"Batxiller Elemental, Graduat E",9
2016,5,Home,Ensenyament primari incomplert,10
2012,18,Dona,Altres titulacions mitjanes (A,1
2016,10,Dona,Ensenyament primari incomplert,34
2017,52,Home,Formació professional de Segon,2
2017,24,Home,Diplomat en Escoles Università,3
2017,41,Dona,Batxiller superior. BUP. Batxi,9
2014,71,Home,Desconegut                    ,2
2017,29,Dona,Diplomat en Escoles Università,4
2012,73,Dona,No sap llegir ni escriure     ,1
2017,36,Home,Batxiller superior. BUP. Batxi,6
2011,81,Home,Diplomat en Escoles Università,1
2013,37,Dona,Batxiller superior. BUP. Batxi,11
2011,40,Home,Formació professional de Segon,4
2016,40,Home,Doctorat i Estudis de postgrau,1
2013,32,Home,Batxiller superior. BUP. Batxi,14
2012,42,Dona,Doctorat i Estudis de postgrau,3
2014,23,Home,Ensenyament primari incomplert,16
2011,50,Dona,Formació professional Primer G,1
2012,38,Home,Diplomat en Escoles Università,6
2015,28,Dona,Desconegut                    ,4
2016,54,Dona,Desconegut                    ,2
2016,46,Home,Altres titulacions mitjanes (A,1
2012,43,Dona,Diplomat en Escoles Università,3
2011,45,Dona,Formació professional de Segon,2
2012,87,Dona,Sense estudis                 ,2
2015,20,Home,Altres titulacions mitjanes (A,1
2016,45,Dona,Doctorat i Estudis de postgrau,2
2015,67,Dona,Ensenyament primari incomplert,5
2013,30,Dona,Sense estudis                 ,1
2014,50,Dona,"Llicenciat Universitari, Arqui",4
2011,22,Dona,"Batxiller Elemental, Graduat E",38
2012,47,Dona,"Batxiller Elemental, Graduat E",12
2017,21,Dona,"Batxiller Elemental, Graduat E",7
2013,25,Home,Sense estudis                 ,1
2015,62,Home,Ensenyament primari incomplert,2
2016,88,Home,Ensenyament primari incomplert,1
2016,48,Home,Formació professional Primer G,7
2017,36,Home,Diplomat en Escoles Università,1
2011,29,Dona,Batxiller superior. BUP. Batxi,19
2014,99,Dona,Ensenyament primari incomplert,1
2014,59,Home,Desconegut                    ,2
2011,46,Dona,"Batxiller Elemental, Graduat E",12
2011,57,Dona,Formació professional de Segon,1
2011,56,Home,Desconegut                    ,1
2011,74,Dona,Diplomat en Escoles Università,2
2011,52,Home,Formació professional de Segon,1
2014,11,Home,Ensenyament primari incomplert,23
2016,38,Home,Formació professional de Segon,8
2014,25,Home,Sense estudis                 ,1
2017,52,Home,"Batxiller Elemental, Graduat E",3
2016,15,Dona,Batxiller superior. BUP. Batxi,1
2014,16,Dona,Ensenyament primari incomplert,10
2016,17,Home,Ensenyament primari incomplert,12
2013,37,Home,Doctorat i Estudis de postgrau,2
2013,45,Dona,Formació professional Primer G,5
2011,28,Home,Altres titulacions mitjanes (A,5
2011,3,Home,No aplicable per ser més petit,55
2012,50,Home,Diplomat en Escoles Università,1
2015,74,Home,Ensenyament primari incomplert,3
2014,61,Dona,"Batxiller Elemental, Graduat E",7
2015,1,Home,No aplicable per ser més petit,44
2011,34,Dona,"Batxiller Elemental, Graduat E",25
2017,64,Home,"Batxiller Elemental, Graduat E",2
2015,79,Dona,Ensenyament primari incomplert,1
2012,54,Home,Altres titulacions mitjanes (A,1
2014,33,Dona,Diplomat en Escoles Università,8
2012,54,Home,"Llicenciat Universitari, Arqui",3
2016,42,Dona,Desconegut                    ,4
2012,21,Home,Ensenyament primari incomplert,6
2015,61,Home,"Batxiller Elemental, Graduat E",7
2014,45,Dona,Diplomat en Escoles Università,1
2013,74,Dona,"Llicenciat Universitari, Arqui",1
2014,20,Home,Batxiller superior. BUP. Batxi,9
2013,30,Dona,Doctorat i Estudis de postgrau,3
2013,47,Dona,Formació professional de Segon,4
2012,21,Dona,Formació professional de Segon,6
2013,35,Dona,"Batxiller Elemental, Graduat E",28
2014,44,Home,Altres titulacions mitjanes (A,1
2014,51,Home,Doctorat i Estudis de postgrau,1
2014,40,Home,Diplomat en Escoles Università,5
2013,42,Home,Formació professional de Segon,10
2015,39,Home,Sense estudis                 ,2
2013,69,Home,"Llicenciat Universitari, Arqui",1
2014,4,Dona,Ensenyament primari incomplert,8
2017,45,Dona,"Batxiller Elemental, Graduat E",6
2012,31,Dona,Formació professional Primer G,6
2013,47,Home,Ensenyament primari incomplert,4
2016,87,Home,"Batxiller Elemental, Graduat E",3
2016,65,Dona,No sap llegir ni escriure     ,1
2015,36,Dona,Formació professional Primer G,5
2015,46,Home,Batxiller superior. BUP. Batxi,4
2012,70,Home,Desconegut                    ,1
2016,27,Dona,Altres titulacions mitjanes (A,3
2012,78,Home,"Batxiller Elemental, Graduat E",1
2013,50,Dona,No sap llegir ni escriure     ,1
2012,92,Home,Ensenyament primari incomplert,1
2011,44,Home,Desconegut                    ,4
2013,62,Dona,No sap llegir ni escriure     ,1
2012,47,Dona,"Llicenciat Universitari, Arqui",3
2016,30,Dona,Desconegut                    ,10
2015,27,Home,Sense estudis                 ,1
2014,89,Dona,Sense estudis                 ,1
2013,27,Dona,Desconegut                    ,5
2015,32,Dona,Sense estudis                 ,3
2017,69,Dona,Ensenyament primari incomplert,2
2014,49,Dona,"Batxiller Elemental, Graduat E",11
2017,81,Dona,Ensenyament primari incomplert,1
2014,42,Dona,"Batxiller Elemental, Graduat E",11
2013,68,Dona,Sense estudis                 ,3
2012,38,Home,Formació professional Primer G,3
2011,63,Home,Desconegut                    ,2
2011,65,Home,"Batxiller Elemental, Graduat E",10
2013,18,Dona,Altres titulacions mitjanes (A,1
2015,86,Home,Formació professional Primer G,1
2016,26,Dona,"Llicenciat Universitari, Arqui",32
2013,40,Dona,Ensenyament primari incomplert,7
2013,47,Dona,"Batxiller Elemental, Graduat E",11
2013,31,Dona,Diplomat en Escoles Università,13
2012,33,Dona,Formació professional de Segon,3
2016,27,Home,Sense estudis                 ,2
2013,46,Dona,Desconegut                    ,2
2014,26,Home,Desconegut                    ,5
2011,45,Home,Formació professional de Segon,5
2015,29,Dona,Ensenyament primari incomplert,7
2012,17,Dona,Batxiller superior. BUP. Batxi,1
2015,26,Home,"Llicenciat Universitari, Arqui",13
2015,53,Dona,Batxiller superior. BUP. Batxi,1
2017,14,Home,"Batxiller Elemental, Graduat E",7
2014,33,Dona,Formació professional Primer G,4
2013,28,Dona,Formació professional de Segon,5
2014,54,Dona,"Batxiller Elemental, Graduat E",12
2011,17,Home,Batxiller superior. BUP. Batxi,4
2017,28,Home,"Llicenciat Universitari, Arqui",8
2014,40,Dona,Desconegut                    ,4
2014,26,Dona,Diplomat en Escoles Università,22
2016,79,Dona,Diplomat en Escoles Università,1
2011,35,Home,Altres titulacions mitjanes (A,3
2012,50,Home,Formació professional Primer G,2
2013,34,Dona,Desconegut                    ,3
2012,42,Dona,Titulats d estudis superiors n,1
2013,40,Dona,Formació professional de Segon,5
2012,71,Home,"Batxiller Elemental, Graduat E",1
2017,42,Home,Arquitecte o Enginyer Tècnic  ,2
2016,34,Dona,Titulats d estudis superiors n,1
2015,63,Dona,No sap llegir ni escriure     ,1
2011,47,Home,Altres titulacions mitjanes (A,1
2014,30,Dona,"Batxiller Elemental, Graduat E",33
2016,24,Dona,Ensenyament primari incomplert,10
2013,28,Dona,Ensenyament primari incomplert,12
2011,36,Dona,Formació professional Primer G,6
2016,80,Dona,Desconegut                    ,2
2014,58,Dona,Batxiller superior. BUP. Batxi,1
2016,47,Home,Arquitecte o Enginyer Tècnic  ,2
2011,51,Home,Desconegut                    ,4
2016,15,Home,Sense estudis                 ,1
2011,91,Dona,"Batxiller Elemental, Graduat E",2
2017,40,Home,Doctorat i Estudis de postgrau,1
2014,25,Dona,Altres titulacions mitjanes (A,4
2013,56,Dona,Sense estudis                 ,1
2014,31,Home,"Llicenciat Universitari, Arqui",18
2011,29,Dona,Diplomat en Escoles Università,19
2011,49,Dona,Altres titulacions mitjanes (A,1
2012,30,Home,Altres titulacions mitjanes (A,3
2012,38,Home,Arquitecte o Enginyer Tècnic  ,1
2014,28,Home,"Batxiller Elemental, Graduat E",41
2015,41,Dona,Ensenyament primari incomplert,8
2012,62,Home,Batxiller superior. BUP. Batxi,1
2014,30,Home,Formació professional de Segon,6
2011,33,Home,Ensenyament primari incomplert,33
2015,85,Dona,Desconegut                    ,1
2013,25,Dona,Titulats d estudis superiors n,3
2012,64,Dona,Formació professional Primer G,1
2016,94,Dona,"Batxiller Elemental, Graduat E",1
2011,79,Dona,"Batxiller Elemental, Graduat E",4
2011,72,Home,Sense estudis                 ,1
2016,0,Home,Formació professional de Segon,1
2014,28,Dona,Desconegut                    ,4
2012,59,Home,"Batxiller Elemental, Graduat E",8
2012,33,Dona,Ensenyament primari incomplert,5
2013,16,Dona,Ensenyament primari incomplert,14
2011,77,Home,"Batxiller Elemental, Graduat E",2
2014,32,Home,Doctorat i Estudis de postgrau,3
2013,59,Dona,Formació professional Primer G,1
2014,38,Dona,Diplomat en Escoles Università,5
2017,40,Home,"Llicenciat Universitari, Arqui",2
2016,36,Dona,Ensenyament primari incomplert,10
2016,46,Dona,No sap llegir ni escriure     ,2
2017,38,Home,"Batxiller Elemental, Graduat E",16
2014,82,Home,Sense estudis                 ,1
2012,21,Dona,Ensenyament primari incomplert,16
2013,29,Dona,"Llicenciat Universitari, Arqui",19
2015,46,Dona,Altres titulacions mitjanes (A,1
2016,71,Home,"Llicenciat Universitari, Arqui",1
2014,42,Home,Formació professional de Segon,6
2017,40,Dona,"Batxiller Elemental, Graduat E",9
2016,70,Dona,No sap llegir ni escriure     ,1
2017,24,Dona,Diplomat en Escoles Università,1
2015,29,Home,Diplomat en Escoles Università,6
2015,65,Home,Sense estudis                 ,1
2012,30,Home,Sense estudis                 ,2
2015,31,Dona,Doctorat i Estudis de postgrau,3
2016,48,Dona,Ensenyament primari incomplert,7
2013,20,Home,Desconegut                    ,4
2017,52,Dona,"Batxiller Elemental, Graduat E",5
2014,73,Dona,Ensenyament primari incomplert,2
2016,67,Home,Batxiller superior. BUP. Batxi,2
2015,41,Home,Diplomat en Escoles Università,1
2013,25,Dona,Batxiller superior. BUP. Batxi,19
2017,22,Dona,Batxiller superior. BUP. Batxi,6
2012,30,Dona,Doctorat i Estudis de postgrau,1
2015,68,Home,"Batxiller Elemental, Graduat E",3
2011,21,Home,Ensenyament primari incomplert,13
2013,22,Dona,Desconegut                    ,2
2013,73,Home,Ensenyament primari incomplert,3
2016,26,Dona,Doctorat i Estudis de postgrau,3
2015,32,Home,Altres titulacions mitjanes (A,1
2016,59,Home,"Llicenciat Universitari, Arqui",2
2017,36,Dona,Diplomat en Escoles Università,4
2011,29,Home,Batxiller superior. BUP. Batxi,21
2012,78,Home,Ensenyament primari incomplert,3
2015,59,Home,Desconegut                    ,1
2017,10,Home,Sense estudis                 ,1
2012,21,Dona,"Llicenciat Universitari, Arqui",1
2011,55,Dona,No sap llegir ni escriure     ,1
2016,38,Dona,Formació professional de Segon,6
2014,70,Home,Sense estudis                 ,1
2014,61,Dona,Ensenyament primari incomplert,6
2017,38,Home,Ensenyament primari incomplert,4
2011,35,Dona,Doctorat i Estudis de postgrau,2
2016,39,Home,Altres titulacions mitjanes (A,1
2015,38,Home,Formació professional de Segon,15
2012,17,Dona,Formació professional Primer G,2
2011,23,Dona,Doctorat i Estudis de postgrau,1
2012,29,Dona,Batxiller superior. BUP. Batxi,7
2014,58,Home,Sense estudis                 ,1
2013,83,Dona,Formació professional Primer G,1
2011,69,Home,Formació professional Primer G,1
2015,28,Dona,Arquitecte o Enginyer Tècnic  ,2
2016,36,Home,Diplomat en Escoles Università,5
2015,44,Home,Altres titulacions mitjanes (A,1
2013,61,Home,Ensenyament primari incomplert,3
2016,42,Home,Desconegut                    ,4
2017,22,Home,Sense estudis                 ,1
2015,65,Dona,Batxiller superior. BUP. Batxi,1
2017,26,Home,"Batxiller Elemental, Graduat E",12
2013,52,Dona,Formació professional Primer G,2
2017,55,Home,Batxiller superior. BUP. Batxi,3
2011,64,Dona,Formació professional de Segon,1
2011,62,Home,Diplomat en Escoles Università,1
2015,11,Dona,"Batxiller Elemental, Graduat E",2
2014,37,Dona,Sense estudis                 ,2
2016,29,Dona,Ensenyament primari incomplert,12
2013,44,Home,Doctorat i Estudis de postgrau,1
2017,53,Dona,Sense estudis                 ,1
2015,38,Dona,Doctorat i Estudis de postgrau,2
2012,78,Dona,"Batxiller Elemental, Graduat E",4
2013,6,Home,Sense estudis                 ,1
2012,62,Dona,Diplomat en Escoles Università,2
2012,35,Home,Altres titulacions mitjanes (A,2
2016,78,Home,"Llicenciat Universitari, Arqui",1
2016,69,Dona,Formació professional Primer G,1
2016,59,Home,Doctorat i Estudis de postgrau,1
2015,57,Dona,"Llicenciat Universitari, Arqui",2
2015,80,Dona,Desconegut                    ,2
2011,17,Home,Formació professional Primer G,2
2016,50,Dona,Formació professional de Segon,1
2013,26,Home,Arquitecte o Enginyer Tècnic  ,2
2011,48,Dona,Batxiller superior. BUP. Batxi,3
2016,22,Dona,Batxiller superior. BUP. Batxi,13
2014,82,Dona,No sap llegir ni escriure     ,1
2013,27,Home,Desconegut                    ,3
2012,64,Home,"Batxiller Elemental, Graduat E",7
2014,80,Dona,Ensenyament primari incomplert,4
2015,39,Home,Altres titulacions mitjanes (A,1
2016,55,Home,Formació professional Primer G,2
2011,50,Home,Diplomat en Escoles Università,4
2013,18,Dona,Batxiller superior. BUP. Batxi,3
2014,39,Home,Batxiller superior. BUP. Batxi,13
2011,91,Dona,Sense estudis                 ,2
2015,10,Home,Ensenyament primari incomplert,32
2014,27,Home,Batxiller superior. BUP. Batxi,11
2014,14,Home,Formació professional Primer G,1
2013,40,Home,"Batxiller Elemental, Graduat E",30
2013,62,Home,"Llicenciat Universitari, Arqui",3
2012,28,Dona,"Llicenciat Universitari, Arqui",20
2015,46,Home,Sense estudis                 ,1
2012,65,Dona,Desconegut                    ,1
2013,32,Home,Doctorat i Estudis de postgrau,3
2014,25,Dona,Sense estudis                 ,1
2017,5,Dona,Ensenyament primari incomplert,3
2012,40,Dona,"Llicenciat Universitari, Arqui",7
2013,50,Home,"Llicenciat Universitari, Arqui",3
2013,61,Home,Formació professional de Segon,4
2015,58,Dona,Batxiller superior. BUP. Batxi,3
2012,2,Home,Ensenyament primari incomplert,5
2016,79,Home,Batxiller superior. BUP. Batxi,1
2015,65,Dona,Altres titulacions mitjanes (A,2
2015,31,Home,Formació professional de Segon,7
2015,32,Home,No sap llegir ni escriure     ,1
2012,85,Home,Ensenyament primari incomplert,1
2013,28,Home,"Batxiller Elemental, Graduat E",38
2016,29,Home,Diplomat en Escoles Università,3
2011,64,Dona,Ensenyament primari incomplert,9
2015,80,Home,"Batxiller Elemental, Graduat E",1
2013,38,Home,Arquitecte o Enginyer Tècnic  ,1
2011,3,Dona,"Batxiller Elemental, Graduat E",1
2015,77,Dona,Titulats d estudis superiors n,1
2012,73,Home,Ensenyament primari incomplert,3
2016,68,Home,"Batxiller Elemental, Graduat E",3
2013,38,Dona,Diplomat en Escoles Università,3
2015,27,Home,Batxiller superior. BUP. Batxi,7
2011,52,Dona,Ensenyament primari incomplert,5
2012,40,Dona,Formació professional de Segon,5
2017,43,Home,Formació professional Primer G,1
2016,70,Dona,"Batxiller Elemental, Graduat E",7
2014,26,Home,Formació professional Primer G,5
2014,28,Dona,Arquitecte o Enginyer Tècnic  ,1
2013,54,Dona,"Batxiller Elemental, Graduat E",10
2017,31,Home,Formació professional Primer G,1
2014,40,Dona,Formació professional Primer G,2
2012,52,Dona,Formació professional de Segon,4
2014,16,Home,"Batxiller Elemental, Graduat E",14
2016,34,Home,Sense estudis                 ,3
2016,82,Dona,"Batxiller Elemental, Graduat E",6
2015,13,Dona,Sense estudis                 ,1
2014,69,Dona,"Llicenciat Universitari, Arqui",1
2013,21,Dona,Ensenyament primari incomplert,5
2013,50,Dona,Diplomat en Escoles Università,2
2014,42,Home,Ensenyament primari incomplert,21
2016,69,Home,Ensenyament primari incomplert,2
2011,52,Dona,"Llicenciat Universitari, Arqui",1
2011,21,Home,Formació professional de Segon,1
2011,24,Dona,Arquitecte o Enginyer Tècnic  ,3
2015,48,Dona,Ensenyament primari incomplert,2
2016,67,Dona,Diplomat en Escoles Università,1
2013,92,Dona,Ensenyament primari incomplert,2
2011,98,Dona,"Batxiller Elemental, Graduat E",1
2016,38,Dona,"Llicenciat Universitari, Arqui",15
2012,80,Dona,Sense estudis                 ,1
2016,22,Dona,Formació professional Primer G,5
2014,21,Dona,Desconegut                    ,2
2011,60,Dona,Batxiller superior. BUP. Batxi,2
2017,47,Home,"Llicenciat Universitari, Arqui",5
2013,9,Dona,Ensenyament primari incomplert,13
2011,89,Dona,Desconegut                    ,3
2011,84,Home,"Batxiller Elemental, Graduat E",1
2012,37,Dona,Altres titulacions mitjanes (A,1
2011,36,Home,No sap llegir ni escriure     ,1
2014,30,Home,Ensenyament primari incomplert,12
2016,34,Dona,Batxiller superior. BUP. Batxi,15
2016,81,Home,Ensenyament primari incomplert,4
2012,39,Home,Desconegut                    ,3
2016,56,Home,"Batxiller Elemental, Graduat E",10
2011,15,Dona,"Batxiller Elemental, Graduat E",15
2012,81,Home,Batxiller superior. BUP. Batxi,1
2013,66,Dona,"Batxiller Elemental, Graduat E",6
2012,49,Dona,Titulats d estudis superiors n,1
2012,31,Home,Diplomat en Escoles Università,7
2013,6,Dona,No aplicable per ser més petit,33
2011,33,Home,Formació professional de Segon,3
2014,54,Dona,Formació professional de Segon,2
2012,48,Dona,Batxiller superior. BUP. Batxi,3
2013,85,Home,"Batxiller Elemental, Graduat E",2
2014,49,Home,Formació professional de Segon,5
2012,43,Home,Batxiller superior. BUP. Batxi,8
2011,54,Dona,Doctorat i Estudis de postgrau,1
2016,20,Home,Altres titulacions mitjanes (A,1
2016,28,Home,Arquitecte o Enginyer Tècnic  ,4
2011,40,Dona,"Llicenciat Universitari, Arqui",7
2015,84,Home,Sense estudis                 ,1
2011,49,Home,Doctorat i Estudis de postgrau,2
2015,39,Dona,Altres titulacions mitjanes (A,2
2012,35,Dona,No sap llegir ni escriure     ,1
2015,89,Dona,Sense estudis                 ,1
2016,55,Dona,Ensenyament primari incomplert,5
2014,61,Home,Ensenyament primari incomplert,6
2012,23,Dona,Titulats d estudis superiors n,1
2012,21,Dona,"Batxiller Elemental, Graduat E",35
2017,59,Home,"Llicenciat Universitari, Arqui",1
2012,20,Dona,Desconegut                    ,1
2017,19,Dona,Formació professional de Segon,2
2014,11,Dona,"Batxiller Elemental, Graduat E",3
2017,59,Dona,"Batxiller Elemental, Graduat E",2
2016,50,Home,Ensenyament primari incomplert,8
2012,37,Home,Sense estudis                 ,1
2015,77,Dona,Sense estudis                 ,2
2017,79,Dona,Sense estudis                 ,2
2011,14,Home,Ensenyament primari incomplert,8
2013,75,Home,Titulats d estudis superiors n,1
2015,53,Dona,Diplomat en Escoles Università,2
2016,47,Home,Desconegut                    ,4
2015,66,Dona,Desconegut                    ,1
2015,27,Dona,Altres titulacions mitjanes (A,4
2017,24,Home,Formació professional Primer G,6
2016,43,Dona,Formació professional Primer G,1
2015,60,Home,Diplomat en Escoles Università,1
2011,7,Dona,Ensenyament primari incomplert,8
2011,19,Dona,Formació professional de Segon,2
2014,49,Home,Ensenyament primari incomplert,3
2014,54,Dona,Ensenyament primari incomplert,6
2015,56,Dona,"Batxiller Elemental, Graduat E",5
