DATA_REFERENCIA,PAIS_PROCE_DESTI,COMARCA_PROCE_DESTI,PROVINCIA_PROCE_DESTI,TIPUS_MOVIMENT,POBLACIO
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,HUESCA                        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Baix Penedès,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,11
2011,ESPANYA                       ,,CÁDIZ                         ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,,JAÉN                          ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MURCIA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,TERUEL                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Segrià,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Segrià,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,,TERUEL                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,SALAMANCA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Maresme,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,ALEMANYA                      ,ALEMANYA                      ,ALEMANYA                      ,ALTA PER IMMIGRACIÓ           ,16
2011,ESPANYA                       ,Baix Camp,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CÁDIZ                         ,ALTA PER IMMIGRACIÓ           ,11
2011,ALGÈRIA                       ,ALGÈRIA                       ,ALGÈRIA                       ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,Segrià,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ZARAGOZA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,15
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Segrià,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,ALBACETE                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Segrià,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,BADAJOZ                       ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,14
2011,ESPANYA                       ,,HUESCA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Cerdanya,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,HUESCA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Pallars Sobirà,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,NAVARRA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,Selva,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,A CORUÑA                      ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Montsià,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,,GUIPUZCOA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ANDORRA                       ,ANDORRA                       ,ANDORRA                       ,ALTA PER IMMIGRACIÓ           ,12
2011,ESPANYA                       ,,NAVARRA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ILLES BALEARS                 ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,JAÉN                          ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Selva,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,NAVARRA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Garrigues,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Maresme,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Maresme,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Anoia,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,"ARGENTINA, L                  ","ARGENTINA, L                  ","ARGENTINA, L                  ",ALTA PER IMMIGRACIÓ           ,37
2011,ESPANYA                       ,Maresme,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ARMÈNIA                       ,ARMÈNIA                       ,ARMÈNIA                       ,ALTA PER IMMIGRACIÓ           ,8
2011,ESPANYA                       ,,GRANADA                       ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,,LA RIOJA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,SANTA CRUZ DE TENERIFE        ,ALTA PER IMMIGRACIÓ           ,7
2011,ESPANYA                       ,,LAS PALMAS                    ,ALTA PER IMMIGRACIÓ           ,6
2011,ESPANYA                       ,,VIZCAYA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Bages,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Segrià,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Noguera,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,LEÓN                          ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,GRANADA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,ZARAGOZA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,AUSTRÀLIA                     ,AUSTRÀLIA                     ,AUSTRÀLIA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ÀUSTRIA                       ,ÀUSTRIA                       ,ÀUSTRIA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Berguedà,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,,ÁVILA                         ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ASTURIAS                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,GUADALAJARA                   ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,BADAJOZ                       ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,Barcelonès,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,132
2011,ESPANYA                       ,Vallès Occidental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,41
2011,ESPANYA                       ,,CÓRDOBA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,JAÉN                          ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Berguedà,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Noguera,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,6
2011,ESPANYA                       ,Osona,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,OURENSE                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,HUESCA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,HUESCA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,BANGLA DESH                   ,BANGLA DESH                   ,BANGLA DESH                   ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Baix Penedès,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Pla de l Estany,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,VIZCAYA                       ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,,HUESCA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Vallès Occidental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,61
2011,ESPANYA                       ,Barcelonès,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1334
2011,ESPANYA                       ,Alt Empordà,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Terra Alta,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,GRANADA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,NAVARRA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,TERUEL                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,LUGO                          ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Baix Llobregat,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Baix Empordà,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,SALAMANCA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,BÈLGICA                       ,BÈLGICA                       ,BÈLGICA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,JAÉN                          ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Pla d Urgell,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Urgell,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Cerdanya,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MÁLAGA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,CÁDIZ                         ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Berguedà,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,11
2011,ESPANYA                       ,,GUIPUZCOA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Garrotxa,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,1
2011,BIELORÚSSIA                   ,BIELORÚSSIA                   ,BIELORÚSSIA                   ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Vallès Oriental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,10
2011,ESPANYA                       ,,VIZCAYA                       ,ALTA PER IMMIGRACIÓ           ,9
2011,ESPANYA                       ,,HUESCA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Selva,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,12
2011,ESPANYA                       ,,A CORUÑA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,BOLÍVIA                       ,BOLÍVIA                       ,BOLÍVIA                       ,ALTA PER IMMIGRACIÓ           ,21
2011,ESPANYA                       ,Cerdanya,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,HUELVA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Baix Penedès,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Val d Aran,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Baix Camp,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,"BRASIL, EL                    ","BRASIL, EL                    ","BRASIL, EL                    ",ALTA PER IMMIGRACIÓ           ,35
2011,ESPANYA                       ,,SEVILLA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,LA RIOJA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ILLES BALEARS                 ,ALTA PER IMMIGRACIÓ           ,1
2011,BULGÀRIA                      ,BULGÀRIA                      ,BULGÀRIA                      ,ALTA PER IMMIGRACIÓ           ,7
2011,ESPANYA                       ,,SORIA                         ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,BURGOS                        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,SEVILLA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,,NAVARRA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,CÓRDOBA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Anoia,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Maresme,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Maresme,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,LEÓN                          ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CÁCERES                       ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,CÁDIZ                         ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,ZARAGOZA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Anoia,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Baix Penedès,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,27
2011,ESPANYA                       ,,TERUEL                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,HUELVA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ZARAGOZA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Selva,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,Vallès Oriental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,12
2011,ESPANYA                       ,Maresme,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,8
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Baix Empordà,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,6
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ILLES BALEARS                 ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Bages,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,TOLEDO                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Baix Ebre,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,SEVILLA                       ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,Baix Camp,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,10
2011,ESPANYA                       ,,JAÉN                          ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,1
2011,"CANADÀ, EL                    ","CANADÀ, EL                    ","CANADÀ, EL                    ",ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,SANTA CRUZ DE TENERIFE        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Maresme,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,PONTEVEDRA                    ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Vallès Oriental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,13
2011,ESPANYA                       ,Garraf,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,ILLES BALEARS                 ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Anoia,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Alt Empordà,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Vallès Oriental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,Bages,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,SEVILLA                       ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,,MURCIA                        ,ALTA PER IMMIGRACIÓ           ,8
2011,ESPANYA                       ,,ZARAGOZA                      ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Gironès,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Berguedà,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Vallès Occidental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,75
2011,ESPANYA                       ,Bages,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,33
2011,ESPANYA                       ,Vallès Occidental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,17
2011,ESPANYA                       ,Baix Llobregat,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,24
2011,ESPANYA                       ,Bages,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,7
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Alt Empordà,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,,CASTELLÓN/CASTELLÓ            ,ALTA PER IMMIGRACIÓ           ,22
2011,ESPANYA                       ,Baix Empordà,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Vallès Oriental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,SEVILLA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALMERÍA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CÓRDOBA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,CANTABRIA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,GRANADA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Osona,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,Berguedà,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Vallès Occidental,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,97
2011,ESPANYA                       ,Baix Llobregat,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,Segarra,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,5
2011,ESPANYA                       ,Garrigues,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CEUTA                         ,ALTA PER IMMIGRACIÓ           ,4
2011,ESPANYA                       ,,MURCIA                        ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,Alt Empordà,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CIUDAD REAL                   ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ILLES BALEARS                 ,ALTA PER IMMIGRACIÓ           ,10
2011,ESPANYA                       ,Urgell,LLEIDA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,8
2011,COLÒMBIA                      ,COLÒMBIA                      ,COLÒMBIA                      ,ALTA PER IMMIGRACIÓ           ,65
2011,ESPANYA                       ,,HUESCA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Baix Llobregat,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CÁDIZ                         ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Tarragonès,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,VALENCIA/VALÈNCIA             ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Baix Llobregat,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,8
2011,ESPANYA                       ,,CÓRDOBA                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,CÁCERES                       ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Baix Llobregat,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,50
2011,ESPANYA                       ,Pla de l Estany,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,MADRID                        ,ALTA PER IMMIGRACIÓ           ,3
2011,"COSTA D IVORI, LA             ","COSTA D IVORI, LA             ","COSTA D IVORI, LA             ",ALTA PER IMMIGRACIÓ           ,1
2011,COSTA RICA                    ,COSTA RICA                    ,COSTA RICA                    ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Tarragonès,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,7
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Baix Empordà,GIRONA                        ,ALTA PER IMMIGRACIÓ           ,1
2011,CUBA                          ,CUBA                          ,CUBA                          ,ALTA PER IMMIGRACIÓ           ,43
2011,ESPANYA                       ,Garraf,BARCELONA                     ,ALTA PER IMMIGRACIÓ           ,11
2011,ESPANYA                       ,,SORIA                         ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CUENCA                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,,TERUEL                        ,ALTA PER IMMIGRACIÓ           ,2
2011,ESPANYA                       ,Baix Penedès,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,13
2011,ESPANYA                       ,,LUGO                          ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,CÁDIZ                         ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,TOLEDO                        ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,GRANADA                       ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,Baix Ebre,TARRAGONA                     ,ALTA PER IMMIGRACIÓ           ,1
2011,ESPANYA                       ,,ALACANT/ALICANTE              ,ALTA PER IMMIGRACIÓ           ,3
2011,ESPANYA                       ,,GUIPUZCOA                     ,ALTA PER IMMIGRACIÓ           ,2
