NOM,TELEFON,EMAIL,HORARI,ADRECA,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,LOCALITZACIO
Estació de Servei Sant Cristòfol,937 859 994    937 860 804 (oficines),,Servei les 24 hores,"CR DE MONTCADA, 511",419272.9300,4601412.9992,419178.9445,4601208.7667,2.0307848,41.5584675,"(41.55846746921116, 2.0307848169649954)"
Estació de Servei Quatre Vents - Ubarsi SA,937 891 783   938 051 716 (lloguer de furgonetes sense conductor),,De dilluns a diumenge de 6.00 a 22.00 h.,"CA DEL FALCIOT, 85",415889.5814,4599475.3373,415795.5760,4599271.1275,1.9904886,41.5406680,"(41.54066801264998, 1.9904885541118924)"
Estación de Servicio Les Fonts,937 834 326,,De dilluns a divendres 24 hores i diumenge de 6.30 a 22.30 h.,"CA DE ROMA, 2",419633.2813,4598609.1875,419539.2751,4598404.9479,2.0354807,41.5332523,"(41.5332523281545, 2.035480733150837)"
Estación de servicio km. 17 SA,937 851 642,,Servei les 24 hores,"CR AUTOPISTA C-58,Km. 17",420988.8548,4599619.1934,420894.8584,4599414.9451,2.0515957,41.5424837,"(41.54248365838572, 2.0515956773153543)"
Àrea de Servei Temps Lliure - Dition SL,937 355 133,,,"CR DE MATADEPERA, 340",418330.8577,4604409.1760,418236.8935,4604204.9553,2.0190811,41.5853554,"(41.58535542924304, 2.0190810525876204)"
Benzinera E.S. BP. El Trèvol,937 145 050,gerencia@gnocsa.com,Horari benzinera: Servei les 24 hores,"CA DE GUILLEM DE MUNTANYANS, 208",417732.2502,4600484.5077,417638.2553,4600280.2854,2.0124386,41.5499483,"(41.54994833349533, 2.012438611765526)"
Tot Santa Eulalia,937 317 775     ,,,"AV DE SANTA EULÀLIA, 240",418817.0419,4600645.6217,418723.0499,4600441.3915,2.0254223,41.5515102,"(41.55151023129688, 2.0254222640209902)"
E.S. Cobasa - Vallès,937 313 879      937 451 138,,De dilluns a diumenge de 6.00 a 22.00 h.,"AV DEL VALLÈS, 149",419872.7084,4600633.6242,419778.7180,4600429.3859,2.0380805,41.5515087,"(41.5515086882472, 2.0380804711458715)"
Estació de Servei Carrefour Express,937 862 700,,De dilluns a dissabte de 9.00 a 21.30 h.,"CR DE CASTELLAR, 521",419658.8039,4603812.2805,419564.8372,4603608.0488,2.0350904,41.5801145,"(41.58011447223357, 2.0350903531989237)"
Benzegar SL,937 126 033,,,"PS DEL VINT-I-DOS DE JULIOL, 271",417451.0346,4602769.8922,417357.0566,4602565.6756,2.0087529,41.5705016,"(41.57050157418438, 2.0087528744205776)"
Petro Valles II,691 313 131,petrovalles3@petrovalles.com,Obert 24 hores.,"AV DE JAUME I, 1",418857.2397,4602613.3816,418763.2627,4602409.1541,2.0256382,41.5692361,"(41.56923609444201, 2.0256381972528437)"
E.S. Enur - Petrocat,807 403 082      934 00 5070 (Petrocat - central),,,"AV DEL VALLÈS, 484",419547.2003,4601831.9505,419453.2184,4601627.7166,2.0340173,41.5622682,"(41.56226823877624, 2.0340172988730476)"
E.S. Béjar - Petrocat,902 262 362      937 342 626      699 337 719 (avaries)      934 00 5070 (Petrocat - central),petrosuport@petrosuport.com,,"AV DE BÉJAR, 397",418797.8481,4603868.3766,418703.8805,4603664.1515,2.0247560,41.5805326,"(41.5805326003959, 2.0247560452371283)"
Petronieves I,900 500 111 (atenció al client grup Petronieves) 902 335 555,,De 7.00 a 19.00 h.,"CA DE JÚPITER, 66",419584.0975,4599239.5644,419490.0960,4599035.3262,2.0348069,41.5389246,"(41.53892464266731, 2.034806875030073)"
Petro7 Low Cost.,937 369 696,,Obert les 24 hores,"CR DE RUBÍ, 326",419445.2813,4598802.2500,419351.2763,4598598.0121,2.0332015,41.5349722,"(41.53497216440196, 2.0332015210855916)"
Petro Valles I,691 173 333,info@petrovalles.com,Obert 24 hores.,"CA DEL CAMÍ FONT DE LES CANYES, 54",419495.0632,4604023.4224,419401.0979,4603819.1922,2.0330980,41.5819995,"(41.581999539106064, 2.033098018281576)"
Esclat Oil,938 502 526 (Bon Preu - central)      902 160 925,gasoil@esclatoil.cat,Horari supermecat de conveniència: De dilluns a divendres de 8.00 a 23.00 h.,"AV DE JOSEP TARRADELLAS, 2",417069.6003,4602690.9720,416975.6211,4602486.7582,2.0041894,41.5697513,"(41.56975131558872, 2.004189388442895)"
PetroLow Cost Terrassa,932 936 946      673 046 841,info@petrolowcost.com,De dilluns a  divendres de 9.30 a 13.30 i de 17.00 a 20.00 hores,"CR DE MONTCADA, 666",419668.9038,4601303.0930,419574.9181,4601098.8573,2.0355474,41.5575175,"(41.55751754075498, 2.03554744528232)"
Petronieves,937 349 318      900 500 111 (atenció al client grup Petronieves)     902 335 555,,Obert 24 hores,"CR DE MATADEPERA, 241",418167.9106,4603398.5305,418073.9385,4603194.3094,2.0172644,41.5762369,"(41.576236858740145, 2.0172643587152175)"
