NOM,ADRECA,CODI_POSTAL,DISTRICTE,TELEFON,ADR_WEB,EMAIL,DESCRIPCIO_AMBIT,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,TERRITORI,LOCALITZACIO
ASS. D AMISTAT ALS DISCAPACITATS MENTALS,"CA DEL CAMÍ DE LA SENYORA, 14 , 3-2          ",08227,6,665344159,,admpiedad2010@hotmail.com                                                       ,SALUT I SÒCIO-ASSISTENCIALS             ,419497.3125,4603654.6250,419403.3444,4603450.3943,2.0331745,41.5786784,LOCAL                                   ,"(41.578678355227474, 2.03317450986896)"
ASS. DE DONES ACTIVES DE SANT LLORENÇ   ,"CA DEL CAMÍ FONT DE LES CANYES, 15 , BA-L2        ",08227,6,,,rm_cortes69@hotmail.com                                                         ,PROMOCIÓ DE LA DONA                     ,419310.1875,4603777.2500,419216.2200,4603573.0209,2.0309136,41.5797638,DISTRICTE 6                             ,"(41.57976383909896, 2.0309135912394636)"
AGRUPACIO MUSICAL DE S.LLORENÇ DEL MUNT ,"CA DEL CAMÍ FONT DE LES CANYES, 15 , 1            ",08227,6,937318130,,,CULTURALS                               ,419310.1875,4603777.2500,419216.2200,4603573.0209,2.0309136,41.5797638,DISTRICTE 6                             ,"(41.57976383909896, 2.0309135912394636)"
CENTRE CULTURAL SANT LLORENÇ            ,"CA DEL CAMÍ FONT DE LES CANYES, 15 , BA-L2        ",08227,6,937832163,,,CULTURALS                               ,419310.1875,4603777.2500,419216.2200,4603573.0209,2.0309136,41.5797638,DISTRICTE 6                             ,"(41.57976383909896, 2.0309135912394636)"
CENTRE MUNTANYENC SANT LLORENÇ          ,"CA DEL CAMÍ FONT DE LES CANYES, 15 ",08227,6,937832163,www.muntanyencsantllorenc.org                                                   ,secretaria@muntanyencsantllorenc.org                                            ,ESPORTIVES                              ,419310.1875,4603777.2500,419216.2200,4603573.0209,2.0309136,41.5797638,DISTRICTE 6                             ,"(41.57976383909896, 2.0309135912394636)"
CENTRO CULTURAL ANDALUZ DE TERRASSA     ,"CA DEL CAMÍ FONT DE LES CANYES, 15 ",08227,6,937862617,,,CULTURALS                               ,419310.1875,4603777.2500,419216.2200,4603573.0209,2.0309136,41.5797638,LOCAL                                   ,"(41.57976383909896, 2.0309135912394636)"
CLUB PETANCA CAN BOADA                  ,"AV DE CAN BOADA DEL PI, 6 , BA-B         ",08225,5,649703259,,jopadama64@hotmail.com                                                          ,ESPORTIVES                              ,416583.0660,4602829.1617,416489.0871,4602624.9518,1.9983354,41.5709452,DISTRICTE 5                             ,"(41.570945197935565, 1.9983354333607506)"
ASS. ECUMENICA DE CRISTIANS PER TERRASSA,"CA DE BLASCO DE GARAY, 34 , BA           ",08224,4,937809888,,cristiansxterrassa@gmail.com                                                    ,"RELIGIOSES I IDEOLÒGIQUES, EN GENERAL   ",417203.6250,4601569.6875,417109.6375,4601365.4709,2.0059514,41.5596669,LOCAL                                   ,"(41.559666918473944, 2.005951374814898)"
ASSOCIACIO DE VIDUES DE TERRASSA        ,"CA DE BLASCO DE GARAY, 34 , BA           ",08224,4,,,,PROMOCIÓ DE LA DONA                     ,417203.6250,4601569.6875,417109.6375,4601365.4709,2.0059514,41.5596669,LOCAL                                   ,"(41.559666918473944, 2.005951374814898)"
ASOCIACIÓN DE RUMANOS BESARABIOS DE ESP.,"CA DEL PARE LLAURADOR, 267 , 4-1          ",08224,4,667884091,,,"SOLIDARITAT, PAU I DRETS HUMANS         ",416461.7188,4602077.0625,416367.7340,4601872.8523,1.9969849,41.5641591,LOCAL                                   ,"(41.56415912817243, 1.9969848645582537)"
FEDERACIO DE CRISTIANS DE CATALUNYA     ,"CA DE BLASCO DE GARAY, 34 , BA           ",08224,4,937809888,www.concursbiblic.com                                                           ,grupavant@concursbiblic.com                                                     ,"RELIGIOSES I IDEOLÒGIQUES, EN GENERAL   ",417203.6250,4601569.6875,417109.6375,4601365.4709,2.0059514,41.5596669,LOCAL                                   ,"(41.559666918473944, 2.005951374814898)"
JUSTICIA I PAU DE TERRASSA              ,"CA DE BLASCO DE GARAY, 34 , BA           ",08224,4,937809888,www.justiciaipaubcn.org                                                         ,ferranpont@gmail.com                                                            ,"SOLIDARITAT, PAU I DRETS HUMANS         ",417203.6250,4601569.6875,417109.6375,4601365.4709,2.0059514,41.5596669,LOCAL                                   ,"(41.559666918473944, 2.005951374814898)"
ASSOCIACIO DE RADIOCONTROL DE TERRASSA  ,"CA DEL CONSELL DE CENT, 66 , 4-2          ",08226,6,,,arcterrassa@gmail.com                                                           ,ESPORTIVES                              ,418379.4168,4603334.1480,418285.4445,4603129.9252,2.0198099,41.5756787,LOCAL                                   ,"(41.57567866918257, 2.019809867478175)"
ASSOCIACIÓ CATALANA DE DRIFT RADIOCONTRO,"CA DEL CONSELL DE CENT, 66 , 4-2          ",08226,6,931829380,,manu.mg84@hotmail.com                                                           ,OCI I TEMPS LLIURE                      ,418379.4168,4603334.1480,418285.4445,4603129.9252,2.0198099,41.5756787,LOCAL                                   ,"(41.57567866918257, 2.019809867478175)"
AMPA CP FONT DE L ALBA                  ,"CA DEL CONSELL DE CENT, 146 ",08226,6,937353212,,ampafontdelalba@gmail.com                                                       ,EDUCATIVES I FORMATIVES                 ,418345.2549,4603680.0540,418251.2852,4603475.8320,2.0193530,41.5787904,DISTRICTE 6                             ,"(41.578790415932964, 2.0193530473368404)"
C.A. CASA DE PRIEGO DE CORDOBA EN TERRAS,"CA DE CÒRDOVA, 49 , 1            ",08226,6,937364630,,domingo@assessorsintegraltotal.com                                              ,CULTURALS                               ,419369.2813,4602535.7500,419275.3045,4602331.5185,2.0317893,41.5685888,LOCAL                                   ,"(41.56858877965281, 2.0317892733698626)"
APA  CP ABAT MARCET                     ,"AV DE L ABAT MARCET, 324 , BA           ",08225,5,937880537,http://ampaescolaabatmarcet.es.tl/                                              ,ampaabatmarcet@gmail.com                                                        ,EDUCATIVES I FORMATIVES                 ,417124.9144,4603212.3070,417030.9393,4603008.0936,2.0047807,41.5744522,DISTRICTE 5                             ,"(41.574452195345415, 2.0047807199625507)"
MOTOR CLUB TERRASSA                     ,"CA DEL CARDAIRE, 24 , LO-1         ",08221,1,639782000,,mail@finquesesvillar.com                                                        ,ESPORTIVES                              ,417794.3082,4602011.9466,417700.3250,4601807.7262,2.0129735,41.5637109,LOCAL                                   ,"(41.563710893793896, 2.0129734676832807)"
ASOCIACION CORAZON SOLIDARIO            ,"CA D ÀNGEL GUIMERÀ, 109 , 4-2          ",08223,3,677468635,,corazonsolidarioterrassa@yahoo.es                                               ,SALUT I SÒCIO-ASSISTENCIALS             ,418559.4375,4601067.4375,418465.4483,4600863.2099,2.0222766,41.5552829,LOCAL                                   ,"(41.555282932822124, 2.0222765906595344)"
DIABÒLICS D  ÈGARA                      ,"CA DEL CASTELLSAPERA, 83 , 12-1         ",08227,6,619178301,www.facebook.com/diabolics.degara                                               ,diabolicsdegara@gmail.com                                                       ,CULTURALS                               ,419369.7188,4603456.9375,419275.7490,4603252.7074,2.0316707,41.5768851,DISTRICTE 6                             ,"(41.57688509903077, 2.031670700939169)"
UNION DEPORTIVA SAN LORENZO             ,"CA DEL CASTELLSAPERA, 83 ",08227,6,937313070,www.udsanlorenzo.es                                                             ,udsanlorenzo@udsanlorenzo.es                                                    ,ESPORTIVES                              ,419369.7188,4603456.9375,419275.7490,4603252.7074,2.0316707,41.5768851,DISTRICTE 6                             ,"(41.57688509903077, 2.031670700939169)"
CLUB DE LA GENT GRAN DEL DISTRICTE IV   ,"AV D ÀNGEL SALLENT, 55 ",08224,4,937333098,,ggdistricte4@gmail.com                                                          ,GENT GRAN                               ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,DISTRICTE 4                             ,"(41.557492182599404, 2.0000330010473077)"
ASSOCIACIO DE DONES MONTSERRAT ROIG     ,"AV D ÀNGEL SALLENT, 55 ",08224,4,649542349,,,PROMOCIÓ DE LA DONA                     ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,DISTRICTE 4                             ,"(41.557492182599404, 2.0000330010473077)"
AV DE LA MAURINA                        ,"AV D ÀNGEL SALLENT, 55 ",08224,4,616468165,,avmaurina@gmail.com                                                             ,VEÏNALS                                 ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,DISTRICTE 4                             ,"(41.557492182599404, 2.0000330010473077)"
ARMAGEDDON CLUB DE ROL                  ,"AV D ÀNGEL SALLENT, 55 ",08224,4,937802412,,armageddonclub@gmail.com                                                        ,OCI I TEMPS LLIURE                      ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,DISTRICTE 4                             ,"(41.557492182599404, 2.0000330010473077)"
ASSOCIACIO DE PUNTAIRES DE TERRASSA     ,"AV D ÀNGEL SALLENT, 55 ",08224,4,,,puntairesdeterrassa@gmail.com                                                   ,CULTURALS                               ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,DISTRICTE 4                             ,"(41.557492182599404, 2.0000330010473077)"
AGRUPACIO CULTURART DEL DISTRICTE IV    ,"AV D ÀNGEL SALLENT, 55 ",08224,4,,,aferdez53@gmail.com                                                             ,CULTURALS                               ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,DISTRICTE 4                             ,"(41.557492182599404, 2.0000330010473077)"
AMICS DEL CAMI DE SANT JAUME DE TERRASSA,"AV D ÀNGEL SALLENT, 55 ",08224,4,,amicscamisantjaume.wordpress.com                                                ,amicscamisantjaume.terrassa@hotmail.com                                         ,CULTURALS                               ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,LOCAL                                   ,"(41.557492182599404, 2.0000330010473077)"
ASSOCIACIÓ SOCIOCULTURAL MARROQUINA CAT.,"AV D ÀNGEL SALLENT, 55 ",08224,4,636098598,,badr2@lycos.es                                                                  ,CULTURALS                               ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,LOCAL                                   ,"(41.557492182599404, 2.0000330010473077)"
CLUB AERONAUTIC EGARA                   ,"AV D ÀNGEL SALLENT, 55 , BA-1         ",08224,4,630253101,www.caegara.com                                                                 ,caegara@caegara.com                                                             ,ESPORTIVES                              ,416707.3125,4601333.9375,416613.3225,4601129.7243,2.0000330,41.5574922,LOCAL                                   ,"(41.557492182599404, 2.0000330010473077)"
A CAT SOC CULT DEFENSA PERSONAL CIENTIF ,"AV D ÀNGEL SALLENT, 188 , BA           ",08224,4,670885346,www.dojoyawara.com                                                              ,info@dojoyawara.com                                                             ,ESPORTIVES                              ,416611.6250,4601728.8125,416517.6378,4601524.6007,1.9988308,41.5610384,LOCAL                                   ,"(41.561038448689914, 1.9988308367844847)"
CLUB GIMNAS CAN PALET                   ,"CA DE L AGRICULTURA, 90 ",08223,3,937843995,,,ESPORTIVES                              ,418800.6875,4601269.3750,418706.7002,4601065.1458,2.0251418,41.5571261,DISTRICTE 3                             ,"(41.55712614072096, 2.0251418352355475)"
FEDER. ASS. COMERCIANTS TERRASSA (FACT) ,"CR DE CASTELLAR, 94 ",08222,1,937312826,,fact.tsa@gmail.com                                                              ,"COMERCIANTS, CAMBRES, GREMIS I COL.LEGIS",418715.1771,4602257.0367,418621.1972,4602052.8097,2.0239828,41.5660124,LOCAL                                   ,"(41.56601239231979, 2.023982791970582)"
COFRADIA DEL  GÜEVO FRITO               ,"CR DE CASTELLAR, 94 , BA           ",08222,1,618937034,,cofradiaguevosfritos@hotmail.com                                                ,CULTURALS                               ,418715.1771,4602257.0367,418621.1972,4602052.8097,2.0239828,41.5660124,LOCAL                                   ,"(41.56601239231979, 2.023982791970582)"
DEMOCRATES DE CATALUNYA (AGRUPACIO LOCAL,"CR DE CASTELLAR, 259 ",08226,6,618576564,www.democrates.cat                                                              ,democrates.terrassa@gmail.com                                                   ,POLÍTIQUES I SINDICALS                  ,419151.0437,4602963.8391,419057.0698,4602759.6099,2.0291144,41.5724221,LOCAL                                   ,"(41.572422122255254, 2.0291144018542338)"
ASOCIACIÓN CULTURAL MADRE TIERRA        ,"CA D ANTONI MAURA, 11 , 1-4          ",08225,5,667665394,,otonac19@hotmail.com                                                            ,CULTURALS                               ,416851.2813,4602908.5625,416757.3034,4602704.3507,2.0015410,41.5716882,LOCAL                                   ,"(41.57168824115453, 2.0015410487300613)"
TERRASSENCS DISMINUÏTS FISICS ASSOCIATS ,"CA D ARENYS DE MAR, 14 , BA           ",08225,5,605611067,es.geocities.com/dismifisics                                                    ,dismifisics@yahoo.es                                                            ,SALUT I SÒCIO-ASSISTENCIALS             ,417958.7813,4603922.2500,417864.8128,4603718.0313,2.0146845,41.5809320,LOCAL                                   ,"(41.580932029379966, 2.0146844753870723)"
APA CP PERE VIVER AYMERICH              ,"CA D ARENYS DE MAR, 15 , LO           ",08225,5,691063936,https://sites.google.com/site/ampaescolapereviver/                              ,ampa@pereviver.cat                                                              ,EDUCATIVES I FORMATIVES                 ,417986.0625,4603923.2500,417892.0941,4603719.0311,2.0150116,41.5809438,DISTRICTE 5                             ,"(41.58094383751297, 2.0150115651255587)"
A. PERSONAS SORDAS TERRASSA.APESOTE     ,"CA D ARENYS DE MAR, 15 , BA-3         ",08225,5,937356238,www.apesote.blogspot.com.es                                                     ,apsterrassa@hotmail.com                                                         ,SALUT I SÒCIO-ASSISTENCIALS             ,417986.0625,4603923.2500,417892.0941,4603719.0311,2.0150116,41.5809438,LOCAL                                   ,"(41.58094383751297, 2.0150115651255587)"
AMPA IES CAVALL BERNAT                  ,"CA DE LA CASTELLASSA, 31  Esc.A         ",08227,6,937851143,,,EDUCATIVES I FORMATIVES                 ,419431.9063,4603751.1250,419337.9388,4603546.8949,2.0323770,41.5795408,DISTRICTE 6                             ,"(41.57954084438999, 2.032377048182505)"
COMISSIÓ DE FESTES POPULARS DE TERRASSA ,"CA D ARQUIMEDES, 89 ",08224,4,,,cfptrs@gmail.com                                                                ,CULTURALS                               ,417227.1006,4601494.5519,417133.1126,4601290.3350,2.0062432,41.5589927,LOCAL                                   ,"(41.55899267757517, 2.006243222034471)"
