ï»¿NOM,TELEFON,EMAIL,HORARI,ADRECA,X,Y,X_ETRS89,Y_ETRS89,LONGITUD,LATITUD,LOCALITZACIO
Restaurant Chino Feliz,937 310 561     ,,,"AV DE JACQUARD, 53",418414.0770,4602027.9210,418320.0949,4601823.6960,2.0204032,41.5639183,"(41.563918277777674, 2.020403195466147)"
Restaurant Fu-lin,937 800 376     ,,,"CA DE LAS NAVAS DE TOLOSA, 159",417344.1250,4600806.6250,417250.1320,4600602.4062,2.0077411,41.5528093,"(41.55280930020859, 2.007741109307508)"
Restaurant Ni Hao,937 860 109 937 852 388 ,,De dilluns a diumenge de 12.00 a 16.30 h. i de 20.00 a 00.00 h.,"CR DE CASTELLAR, 273",419192.9063,4603027.1875,419098.9330,4602822.9581,2.0296079,41.5729969,"(41.57299687747502, 2.0296079289356808)"
Restaurant Xinès Gran Buena Suerte,937 891 065 688 010 099,,De dilluns a diumenge de 12.00 a 16.30 h. i de 19.30 a 24.00 h.,"CA DE FRANCISCO DE VITORIA, 4",416992.5941,4602646.9397,416898.6145,4602442.7264,2.0032720,41.5693468,"(41.56934676386163, 2.0032719858324795)"
Bar Restaurant El 7,937 861 214,,De dilluns a divendres de 7.00 a 19.00 h. i dissabte de 8.00 a 16.00 h.,"CA DE JOAN MONPEÓ, 127",417589.0000,4600726.4375,417495.0067,4600522.2167,2.0106880,41.5521124,"(41.5521124102365, 2.010688008807894)"
La Cova de Tarradellas,,,,"AV DE JOSEP TARRADELLAS, 60",416980.6563,4602973.9375,416886.6791,4602769.7248,2.0030836,41.5722905,"(41.57229046287648, 2.0030835733164185)"
El rovell de l ou,937 333 414,,,"CA DE LA RASA, 60",417567.7500,4602084.9375,417473.7670,4601880.7190,2.0102467,41.5643449,"(41.564344912464506, 2.01024669666689)"
Plats,937 333 372,,De dilluns a dijous de 8.00 a 20.30 h. i divendres i dissabte de 8.00 a 23.00 h.,"CA DE GUTENBERG, 18",417288.1563,4601682.3125,417194.1698,4601478.0955,2.0069494,41.5606900,"(41.56068997412128, 2.0069494382786077)"
Al Panino,931 910 111,info@alpanino.es,De dilluns a dissabte de 8.00 a 23.00 h. diumenge de 18.00 a 23.00 h.,"RM D ÈGARA, 263",417333.5000,4602118.1250,417239.5169,4601913.9083,2.0074331,41.5646196,"(41.56461960016262, 2.0074331193785797)"
Sibori Lounge Cafe,937 899 434,info@siboricafe.com,,"CA D AUSIÀS MARC, 1",417137.8809,4602472.5668,417043.9002,4602268.3521,2.0050384,41.5677914,"(41.567791443112434, 2.005038404203523)"
El Cel de les Oques,937 338 207  630 640 417 ,elceldelesoques@elceldelesoques.com,De dilluns a dimecres de 13.00 a 15.30 h. i de dijous a dissabte de 19.00 a 23.00 h.,"CA DE LA PALLA, 15",417679.1380,4601940.3592,417585.1541,4601736.1396,2.0116022,41.5630543,"(41.56305431951208, 2.0116022368973634)"
Nus Mariner,937 883 977,,,"PS DE LES LLETRES, 10-B",417639.9593,4602663.8336,417545.9808,4602459.6154,2.0110331,41.5695659,"(41.569565907710505, 2.011033138302466)"
Juma Frankfurt,937 891 105,,De dimarts a diumenge de 8.30 a 00.00 h.,"CA D AMADEU DE SAVOIA, 103",416974.7500,4602737.1875,416880.7710,4602532.9745,2.0030455,41.5701577,"(41.570157680774074, 2.0030455037287966)"
Restaurant Botafumeiro,937 886 038     ,, de dimarts a dissabte de 10 a 16 h i de 20 a 24 h,"CA D EDUARD MARQUINA, 35",417049.2500,4603374.7500,416955.2760,4603170.5374,2.0038508,41.5759073,"(41.575907301099285, 2.0038507858705463)"
Bar-Restaurant Knarias,937 333 442,,,"CA DE BLASCO DE GARAY, 154",416833.8125,4601547.0000,416739.8243,4601342.7862,2.0015202,41.5594242,"(41.559424197504065, 2.001520243489105)"
Catalia,937 350 945,,Horari de Cuina: De dimarts a dissabte de 13.00 a 16.00 h. i de 20.00 a 23.30 h. Diumenge de 13.00 a 16.00 h.,"CA DE FRANCESC SALVANS, 49",417828.0313,4603083.5000,417734.0563,4602879.2810,2.0132311,41.5733648,"(41.573364796727446, 2.0132311031689327)"
Els Arcs 2,937 312 149     648 652 530,joselozanojose@yahoo.es,De dilluns a dissabte de 08.00 a 23.00 h.,"CA DE COLOM, 112",418662.7553,4601564.3688,418568.7700,4601360.1411,2.0234480,41.5597688,"(41.559768849755585, 2.023448029899206)"
Ginos Ristorante,936 191 021     ,, (desembre) de dilluns a diumenge de 13 a 17 h i de 20 a 00 h ,"AV DEL TÈXTIL, 47",418836.5774,4599965.2353,418742.5803,4599761.0039,2.0257484,41.5453846,"(41.54538459521888, 2.025748422434433)"
Taverna Vikinga,937 881 116,,"De dilluns a diumenge de 12.30 a 16.00 h. i de 19:30 a 23:30 h. Divendres, dissabtes i vigílies fins les 24 h.","AV DE L ABAT MARCET, 317",417166.1563,4603188.8125,417072.1811,4602984.5987,2.0052786,41.5742449,"(41.57424488184351, 2.0052785927608867)"
Restaurant Braseria El Patio,937 354 554,,"De dimecres a diumenge de 12.00 a 16.00 h. i de 20.00 a 00.00 h., dilluns i dimarts tancat","AV DE JAUME I, 310",418365.9447,4603101.5282,418271.9706,4602897.3052,2.0196799,41.5735823,"(41.57358231141662, 2.01967994721524)"
Restaurant Bar La Campana,937 862 106     ,, de dilluns a divendres de 7 a 17 h,"CA DEL GASÒMETRE, 87",417515.8438,4601119.3125,417421.8534,4600915.0929,2.0097570,41.5556431,"(41.55564311185019, 2.0097569528427095)"
Restaurant Masia Ca n Amat,937 830 222,,,"DS CA N AMAT DE LES FARINES, 1-B",420362.8750,4598100.1875,420268.8661,4597895.9416,2.0442930,41.5287412,"(41.52874115788722, 2.0442929744673304)"
Bocatapas Felis,610 068 267,,,"PA DELS PIRINEUS, 78",419959.3519,4602602.4069,419865.3765,4602398.1710,2.0388567,41.5692484,"(41.569248430571406, 2.0388567284928945)"
més K Tapas,937 844 873,,De dilluns a diumenge de 10.00 a 00.00 h.,"RM DE FRANCESC MACIÀ, 168",418725.5625,4603452.5000,418631.5917,4603248.2748,2.0239454,41.5767798,"(41.57677984778542, 2.0239453749956438)"
Ostatu,937 832 677,,De dimarts a divendres de 08.00 a 23.00 h. Dissabte de 09.00 a 23.00 h. Diumenge de 10.00 a 23.00 h.,"PL NOVA, 8-A",417838.5901,4601507.8120,417744.6031,4601303.5905,2.0135735,41.5591752,"(41.55917519433101, 2.013573477725859)"
Restaurant El Racó de la Xapata,937 317 747    937 835 348,,De dilluns a dijous de 7.30 a 22.30 h i divendres i dissabte de 7.30 a 23.00 h.,"CA DE SANT PERE, 56",417745.6875,4602123.6250,417651.7051,4601919.4052,2.0123751,41.5647117,"(41.56471166923229, 2.0123751315960936)"
Restaurant La Farola,937 863 710     ,restaurante@rest-lafarola.com                                         ,,"CA DE JOAN MONPEÓ, 117",417574.1354,4600790.0790,417480.1426,4600585.8584,2.0105011,41.5526840,"(41.55268403566202, 2.0105010580228915)"
El Doll Bretó,937 001 050,info@eldollbreto.com,De dilluns a divendres de 8.00 a 00.00 h. i dissabte de 12.00 a 00.00 h.,"CA DEL CAMÍ FONDO, 12",417784.2500,4602190.3750,417690.2681,4601986.1550,2.0128284,41.5653168,"(41.56531679016228, 2.0128284117705966)"
Restaurante Yokoso,930 015 600 652 575 016,,De dilluns a divendres de 13.00 a 16.30 h. i de 20.00 a 00.00 h.  ,"CA D ALBERT EINSTEIN, 59",418902.0310,4600408.5819,418808.0373,4600204.3506,2.0264732,41.5493841,"(41.54938405653432, 2.0264732233088627)"
Temple de Siam,93166680,info@templedesiam.com,,"AV DE JAUME I, 192",418734.5583,4602763.8075,418640.5823,4602559.5812,2.0241466,41.5705784,"(41.570578368210825, 2.024146571290359)"
punt-àpat,937 888 654,,De dilluns a divendres de 8.00 a 23.00 h. i dissabte i diumenge de 8.00 a 00.00 h.,"CA DE LES PARRES, 4",417588.3435,4601831.3947,417494.3586,4601627.1756,2.0105285,41.5620636,"(41.56206362415322, 2.0105284585260232)"
Damunt Un Cel de Fil,937 840 547,damuntunceldefil@gmail.com,"Dimecres de 13.00 a 16.00 h. i dijous, divendres i dissabte de 13.00 a 16.00 h. i de 20.30 a 23.30 h.","CA DEL PORTAL NOU, 9",417731.4375,4601760.1250,417637.4523,4601555.9047,2.0122541,41.5614365,"(41.561436510863146, 2.0122540784732714)"
Club Egara sport - spa,937 352 709      937 350 512 (hípica)   937 343 626 (restaurant),club@egara.es,"Instal.lacions esportives: de 7.00 a 23.00 h. (excepte 25 de desembre, Nadal) Fitness, zona d aigues i activitats dirigides: laborables de 7.00 a 23.00 h., dissabtes de 8.00 a 21.00 h. i diumenges i festius de 8.00 a 15.00 h.","CA DE JACINT BADIELLA, 5",418164.7389,4604941.2645,418070.7785,4604737.0459,2.0170157,41.5901304,"(41.59013041190798, 2.017015747318969)"
Bar Restaurant Bon Jan,937 863 125,,De dilluns a divendres de 6.30 a 20.00 h. i dissabte de 8.00 a 12.00 h.,"CR DE MONTCADA, 604",419199.0625,4601398.1875,419105.0768,4601193.9555,2.0299011,41.5583266,"(41.55832660934465, 2.0299011038890367)"
Bar Restaurant Siglo XX,937 833 866     ,,,"CA DEL DR. TORRAS I BAGES, 164",417608.4688,4600765.5625,417514.4759,4600561.3416,2.0109161,41.5524668,"(41.55246677840211, 2.0109160566928175)"
Bar Alba,937 881 204,,De dilluns a divendres de 7.30 a 21.00 h. i dissabte de 7.30 a 16.00 h.,"CA DEL PINTOR SOROLLA, 1-B",416941.9327,4600894.2474,416847.9397,4600690.0318,2.0029070,41.5535567,"(41.55355674250069, 2.0029069689901746)"
Bar Restaurant La Manduca,937 839 935,,De dilluns a divendres de 6.00 a 21.00 h. i dissabte de 6.00 a 15.00 h.,"CA DE SANT HONORAT, 29",419097.0625,4602010.0625,419003.0813,4601805.8322,2.0285956,41.5638269,"(41.56382688354362, 2.028595605134832)"
Hostal Restaurante Avenida Madrid II,937 317 398 630 039 486,,,"CA DEL MILLARS, 9",420170.0625,4602971.3750,420076.0903,4602767.1381,2.0413346,41.5725925,"(41.572592474335195, 2.0413345799343086)"
Bar La Encina II,937 368 023     ,,De dilluns a divendres de 7.30 a 15.00 h. i de dijous a dissabte de 19.00 a 23.00 h.,"CA D ANTONI TORRELLA, 11",417269.7670,4601729.4096,417175.7808,4601525.1928,2.0067224,41.5611122,"(41.56111222797726, 2.00672244442424)"
Toca Teka,937 862 581,,De dilluns a dissabte de 7.30 a 23.00 h.,"PS DEL VAPOR GRAN, 2-C",417796.6079,4601713.6632,417702.6224,4601509.4424,2.0130419,41.5610248,"(41.56102478058322, 2.013041897627259)"
Bar Restaurant el Sosiego,937 880 643,,De dilluns a divendres de 7.30 a 21.00 h. i dissabte i diumenge de 8.00 a 15.00 h.,"CA DE LA CADERNERA, 4",415861.5980,4600007.1913,415767.5966,4599802.9825,1.9900786,41.5454549,"(41.54545494585566, 1.9900786312989225)"
Bar Restaurant Maigo,937 804 121,,De dilluns a divendres de 7.00 a 12.00 h. i de 17.00 a 23.00 h. i dissabte de 18.00 a 23.30 h.,"CA TRANSVERSAL, 8",417021.4197,4602891.6609,416927.4420,4602687.4478,2.0035838,41.5715537,"(41.5715537157459, 2.00358382670185)"
Bar El Paso,937 886 189,,"De dilluns a dissabte, diumenges tancat","CA DE NÚRIA, 212",416445.4375,4601783.5625,416351.4505,4601579.3520,1.9968305,41.5615142,"(41.56151416882455, 1.9968304883198955)"
Bar Restaurant Nely,937 805 477     ,,,"CR D OLESA, 324",415767.1478,4601219.2540,415673.1554,4601015.0478,1.9887764,41.5563608,"(41.55636081852437, 1.9887763658172413)"
Bar Restaurant Avinyo,937 841 877     ,,"De dilluns a dissabte de 7.00 a 21.00 h, dimarts, dimecres i dissabte a la tarda tancat.","CA D AVINYÓ, 24",417695.6875,4601158.8750,417601.6977,4600954.6541,2.0119078,41.5560180,"(41.55601795163579, 2.0119078355433055)"
Can Salas Restaurant,937 870 154 616 118 298,,,"CR DE CASTELLAR,Km. 20",419867.9710,4605228.9397,419774.0154,4605024.7086,2.0374098,41.5928940,"(41.59289400392028, 2.037409836802928)"
Restaurant El Casal,937 860 009,info@casalrestaurant.com,,"CA DE MOSSÈN PERRAMON, 16",419552.3125,4597989.0000,419458.3015,4597784.7601,2.0345932,41.5276587,"(41.52765869411226, 2.034593248987018)"
Restaurant Talaiot,937 891 977,,"De dimarts a dissabte de 13.00 a 16.00 h. i de 20.30 a 23.00 h., diumenge nit tancat.","CA D ARQUIMEDES, 132",417242.1563,4601602.1250,417148.1691,4601397.9082,2.0064089,41.5599630,"(41.55996304200555, 2.0064089167379238)"
Sushishop Terrassa,937 885 904,,De dimarts a dissabte de 12.00 a 15.30 h. i de 17.30 a 22.00 h.,"CA DE JAUME CANTARER, 4",417633.9790,4601778.1687,417539.9938,4601573.9492,2.0110830,41.5615890,"(41.56158897421352, 2.011082981353667)"
Restaurant Doo - Lounge Club,691 422 932 (Telèfon Reserves)   937 312 187,info@doo.cat, dilluns a dissabte de 13 a 2.30 h,"PS DEL VAPOR GRAN, 27",417841.6655,4601658.3963,417747.6797,4601454.1750,2.0135897,41.5605317,"(41.56053167830801, 2.0135897431257033)"
El Raco,937 363 632     ,terrassa@elraco.com,De dilluns a diumenge de 13.00 a 16.00 h. i de 20.00 a 23.30 h (divendres i dissabte fins les 00.00),"PS DEL VAPOR GRAN, 25",417838.1558,4601660.8641,417744.1700,4601456.6429,2.0135473,41.5605535,"(41.56055354258849, 2.013547321218777)"
Restaurant Hostal del Fum,937 888 337     ,,diumenges nit i dilluns tancat exepte festius Horari de menjador: de 13 a 16 h i de 20 a 23 h,"CR DE MONTCADA, 19",417387.7188,4601286.6250,417293.7295,4601082.4066,2.0081977,41.5571367,"(41.5571367010889, 2.0081977271478664)"
Centro Andaluz de Nueva Carteya,937 838 609    629 670 473,,,"CA DE HUELVA, 35",419433.1174,4602662.3794,419339.1417,4602458.1476,2.0325378,41.5697357,"(41.56973565320273, 2.032537814619417)"
Factoria Lounge And Music,937 330 156     ,," de 19 a 2.30 h (matinada), caps de setmana de 19 a 3.00 h (matinada)","CR DE RELLINARS, 201",417273.7813,4603284.4375,417179.8069,4603080.2231,2.0065562,41.5751172,"(41.57511723329394, 2.0065561843848156)"
Restaurant L oasis de Santa Margarida,937 854 642     685 177 396,,,"CA D ÀRIES, 1",419690.2188,4599910.5000,419596.2226,4599706.2620,2.0359893,41.5449778,"(41.54497783619236, 2.035989254964922)"
Restaurant Sara,937 358 025,info@restaurantesara.com,De dilluns a dissabte de 13.00 a 16.00 h. i de 21.00 a 23.00 h.,"AV DE L ABAT MARCET, 201",417531.5625,4603228.5000,417437.5881,4603024.2835,2.0096556,41.5746401,"(41.57464011579419, 2.009655569171655)"
Meson La Fragua,937 842 433     ,,,"CA DE LA M.D. DELS DESEMPARATS, 31",419441.8125,4602190.4375,419347.8332,4601986.2049,2.0327055,41.5654862,"(41.56548618523381, 2.0327054530018955)"
Restaurant Santa Eulalia,937 851 355     ,," de dilluns a divendres de 7.30 a 22 h, dissabte de 7.30 a 14 h, diumenge tancat","CA DEL DUERO, 20",419272.0401,4601238.5761,419178.0533,4601034.3433,2.0307976,41.5568965,"(41.55689650972558, 2.0307976018090814)"
Restaurant Braseria El Molí,937 339 298   680 168 531,,"De dilluns a divendres de 7.00 a 22.30 h., dissabte de 7.00 a 00.00 h., diumenge tarda tancat","CA DE PI I MARGALL, 204",417038.9688,4602373.7500,416944.9872,4602169.5359,2.0038659,41.5668912,"(41.566891234875015, 2.003865901671966)"
Perpicar restaurant i cafè,937 315 685 (reserves),,Obert de 12.30 a 16.30 h. i de 19.30 a 24 h. Diumenges nit i dilluns tancat.,"CA DE LA FONT VELLA, 10",417679.1019,4601866.7395,417585.1174,4601662.5198,2.0116119,41.5623913,"(41.56239129475768, 2.011611901665623)"
Restaurant Castell,937 856 706     ,,,"CA DEL CASTELL, 13",418184.6765,4602059.0934,418090.6943,4601854.8701,2.0176481,41.5641756,"(41.56417556319279, 2.0176481023836774)"
Restaurant Les Graelles,937 804 877     ,,,"CA D ANTONI TORRELLA, 66",417126.5625,4601760.3125,417032.5764,4601556.0968,2.0050010,41.5613757,"(41.5613757024675, 2.0050010298100323)"
Restaurant Braseria La Hípica,937 330 275,,De diumenge a dijous de 8.30 a 21.00 h. i divendres i dissabte de 8.30 a 1.00 h.,"CR DE RELLINARS, 560",416410.9782,4604219.4060,416317.0096,4604015.1995,1.9960779,41.5834477,"(41.58344769880264, 1.9960778791647045)"
Restaurante Mi Sushi,937 311 158,,De dilluns a diumenge de 12.00 a 16.30 h. i de 20.00 a 00.00 h. Obert tots els dies de l any.,"CR DE CASTELLAR, 354",419248.6570,4603059.2162,419154.6840,4602854.9864,2.0302722,41.5732910,"(41.573290967553454, 2.0302722446988257)"
Restaurant Zurito,937 895 390,,"De dilluns a dijous de 8.00 a 00.00 h., divendres de 9.00 a 3.00 h., dissabte de 18.00 a 3.00 h. i diumenge de 18.00 a 00.00 h. (en funció dels horaris dels partits de futbol)","CA DE LA RASA, 70",417527.9063,4602072.2500,417433.9231,4601868.0317,2.0097707,41.5642265,"(41.564226537346116, 2.009770654763821)"
Trattoria Pizzeria Giorgia,937 886 592,,,"PS DE LES LLETRES, 10-C",417666.3680,4602672.3907,417572.3896,4602468.1723,2.0113487,41.5696457,"(41.56964569506717, 2.01134866938939)"
Bar Restaurant  Can Paletilla  Las Brochas,937 834 925,,De dilluns a dissabte de 8.00 a 23.00 h. i diumenge de 10.00 a 22.00 h.,"CA DE LA DUQUESSA DE LA VICTÒRIA, 17",418529.7500,4601088.0000,418435.7609,4600883.7726,2.0219179,41.5554651,"(41.555465094758695, 2.0219178514610805)"
Restaurant Casa Toni,937 864 708     ,," de dilluns a dijous de 8 a 17 h, divendres i dissabte de 8 a 17 h i a la nit a partir de les 20.30 h, diumenge tancat","CR DE CASTELLAR, 124",418816.0598,4602413.1400,418722.0812,4602208.9125,2.0251714,41.5674285,"(41.567428524098474, 2.025171442886404)"
Restaurant 2002,937 316 319,,De dilluns a diumenge de 7.30 a 17.00 h.,"CA DE COLOM, 577",419336.1875,4599054.6250,419242.1842,4598850.3883,2.0318600,41.5372341,"(41.537234090872204, 2.0318600331379124)"
Restaurant Da Sergio,937 880 988     ,,,"CA DE GALILEU, 162",417172.7223,4601874.0819,417078.7371,4601669.8660,2.0055388,41.5624051,"(41.56240509652542, 2.0055388287872513)"
Restaurant La Torreta,937 314 775   650 874 976,,De dilluns a dissabte dinars i sopars.,"CA NOU DE SANT PERE, 50",417883.4839,4602213.4207,417789.5024,4602009.2000,2.0140152,41.5655345,"(41.56553454463895, 2.014015240045638)"
Restaurant Monaluz,937 809 319     ,," dilluns, dj, divendres, dissabte i diumenge de 13.30 a 16 h i de 20 a 23 h, dimarts de 13.30 a 16 h i dimecres tancat ","AV DE L ABAT MARCET, 360",417016.0625,4603190.4375,416922.0870,4602986.2249,2.0034782,41.5742439,"(41.574243938143034, 2.003478247642101)"
Escuela Ballroom Tao-do,937 800 549     629 714 447,,,"CA D ARQUIMEDES, 237",417253.9403,4602105.2632,417159.9570,4601901.0471,2.0064809,41.5644955,"(41.56449553198847, 2.006480850058018)"
Kaixo,935 379 809,,De dilluns a divendres de 8.00 a 00.00 h. i dissabte i diumenge de 12.00 a 00.00 h.,"PS DEL VINT-I-DOS DE JULIOL, 332",417609.7378,4602724.4874,417515.7597,4602520.2695,2.0106624,41.5701090,"(41.570109040623926, 2.010662378872678)"
Egara Kebab - Pizzeria,937 899 652 656 825 028     670 908 552,, de 8.30 a 02.00 h. ,"RM D ÈGARA, 261",417334.5938,4602115.7500,417240.6107,4601911.5333,2.0074466,41.5645983,"(41.56459832403791, 2.007446562867177)"
Bar Ramón,937 850 431     ,,,"CA DE HUELVA, 29",419408.5618,4602625.4910,419314.5858,4602421.2593,2.0322483,41.5694010,"(41.56940095691907, 2.0322482849421273)"
Restaurant Can Fonollet,937 850 239    937 317 951    669 789 867,carmenfemenia@yahoo.es,"Dissabtes, diumenges i festius de 13.00 a 16.00 h.","DS CAN FONOLLET, 1",419329.6875,4597128.3125,419235.6696,4596924.0729,2.0320406,41.5198848,"(41.51988480356746, 2.032040591783509)"
Taberneta El Alamo,937 807 160,,,"AV D ÀNGEL SALLENT, 112",416715.7679,4601462.0008,416621.7789,4601257.7878,2.0001166,41.5586464,"(41.55864640220376, 2.0001166165343145)"
Bar Pablo,937 888 995,,"Dimarts i dimecres de 8.00 a 12.00 h., de dijous a dissabte de 8.00 a 12.00 h. i de 20.00 a 00.00 h. i diumenge de 8.00 a 17.00 h.","CA D ADRA, 18",416920.6875,4603576.6250,416826.7148,4603372.4137,2.0022809,41.5777120,"(41.5777120217657, 2.0022808940541905)"
Bar Risque,,,,"CA DE JOSEP LLIMONA, 11",416893.3750,4603252.3750,416799.3998,4603048.1634,2.0019982,41.5747890,"(41.574788991363675, 2.0019982386208115)"
Restaurant Bar L arc,937 834 893     ,,,"CA DE SANT ANTONI, 21",418101.1128,4602067.5280,418007.1305,4601863.3054,2.0166449,41.5642430,"(41.56424296531778, 2.0166448983118594)"
Restaurant Imperial,937 354 510,info@restaurantimperial.net,,"CR DE MATADEPERA, 66",418239.2813,4602904.7500,418145.3056,4602700.5276,2.0181877,41.5717972,"(41.57179716686908, 2.0181876635673808)"
Mesón las 4 esquinas,937 838 674     937 832 446,,,"CA DE SANT CRISPÍ, 277",419280.2617,4602293.1739,419186.2829,4602088.9427,2.0307544,41.5663951,"(41.56639513307294, 2.0307543516066096)"
Restaurant Casa Hernández,937 894 771,,De dilluns a divendres de 8.00 a 16.00 h. i dissabte de 8.00 a 12.00 h.,"CA DE VINYALS, 27",417401.0938,4601612.8750,417307.1070,4601408.6570,2.0083132,41.5600763,"(41.56007629904178, 2.008313205433862)"
Restaurant La Cuina d en Brichs,937 310 433     ,," dilluns tancat, de dimarts a diumenge dinars i divendres i dissabte també sopars","CA MAJOR DE SANT PERE, 30",418251.3073,4602477.7327,418157.3283,4602273.5096,2.0183901,41.5679527,"(41.5679526650783, 2.0183900738987925)"
Bar Restaurant Luis,937 830 199,,De dilluns a dissabte de 6.30 a 22.00 h.,"CR DE CASTELLAR, 87",418705.1874,4602283.9875,418611.2077,4602079.7606,2.0238593,41.5662541,"(41.56625409639465, 2.0238593458269665)"
Bar Restaurant el Dintel,937 864 310,,De dilluns a dissabte de 7.00 a 17.00 h.,"CA DE SALVADOR BUSQUETS, 3",418625.8750,4602207.6875,418531.8946,4602003.4611,2.0229186,41.5655589,"(41.5655588611032, 2.022918586602931)"
Restaurant La Ginesa,937 353 002,,"Dilluns, dimarts, dijous, divendres i dissabte de 8.00 a 17.00 h. i de 20.00 a 23.00 h. i dimecres de 8.00 a 17.00 h.","CR DE MATADEPERA, 161",418169.9375,4603197.0000,418075.9639,4602992.7786,2.0173162,41.5744221,"(41.57442207807385, 2.017316163431829)"
Escola d Hostaleria Torre Mossèn Homs,937 862 525,foment.hostaleria@terrassa.cat,Horari del restaurant de l escola: De dilluns a divendres de 13.30 a 16.00 h.,"DS TORRE MOSSÈN HOMS, 6",419951.2188,4604127.1875,419857.2550,4603922.9540,2.0385557,41.5829799,"(41.58297991001354, 2.0385556852199986)"
Restaurant Braseria Can Petit,937 861 330,,"De dimarts a dijous de 7.00 a 20.00 h., divendres de 7.00 a 23.00 h., dissabte de 8.00 a 23.00 h. i diumenge de 9.00 a 15.00 h.    ","AV DE FONT I SAGUÉ, 5",419737.4233,4603974.4602,419643.4580,4603770.2281,2.0360116,41.5815830,"(41.58158297825696, 2.0360116452545527)"
Restaurant l arcada,937 887 154     ,restaurantelarcada@gmail.com,,"CA DE WATT, 97",416961.3438,4601284.2500,416867.3538,4601080.0348,2.0030858,41.5570711,"(41.55707112873748, 2.0030857593121913)"
Marisquería La Venta,935 138 485 607 894 199,marisquerialaventa@marisquerialaventa.com,De dimarts a diumenge de 10.00 a 16.30 h. i de 20.00 a 00.00 h.,"CA DE SANT TOMÀS, 23",419117.8598,4602158.9694,419023.8798,4601954.7392,2.0288249,41.5651701,"(41.565170055004934, 2.0288249261597464)"
Restaurante Masía el Abuelo,937 891 807,,,"CM DE CAN FONT DE GAIÀ, 1",415583.3135,4603961.5662,415489.3417,4603757.3656,1.9861864,41.5810385,"(41.58103854734764, 1.98618638352986)"
Restaurant Che,937 883 625,restaurant.omega@ya.com,"De dilluns a dimecres de 8.00 a 22.00 h., dijous i divendres de 8.00 a 00.00 h. i dissabte de 17.00 a 00.00 h.","PS DE LES LLETRES, 12",417583.3119,4602659.9555,417489.3333,4602455.7377,2.0103543,41.5695251,"(41.56952513982926, 2.0103543293047057)"
Restaurant La Tagliatella,937 895 005     ,,,"CA DE GALILEU, 199",417159.8349,4601831.2474,417065.8493,4601627.0316,2.0053902,41.5620180,"(41.56201799270074, 2.005390206502587)"
