Lloc de treball,Nº Efectius,Destí,Grup,Salari Base ,C. Destí ,C. Específic ,Assistència Ple,Assistència C.Informativa,Mensual,Plus mensual (12),Plus mensual (14),Plusos anuals,Sou Base per calcular extres,Pagues extres,Paga extra nadal,Productivitat,Total retribucions anuals ,Observacions
Cap de Recursos Humans i Organització,1,20,A2,968.57,444.10,1955.85,,,3368.52,,,,699.38,3050.57,3050.57,1385.28,47908.66,
Tècnic de serveis urbans,1,,A2,3138.12,,,,,3301.62,163.50,,1962.00,699.38,2847.45,2847.45,1385.28,46699.62,"Plus: 163,50 (plena dedicació)"
Directora del Centre de Suport a l'Empresa,1,,A2,2155.80,,,,,2972.30,32.71,783.79,11365.58,699.38,2777.64,2777.64,1385.28,42608.16,"Plus: 476,81 (directora CSE)  306,98 (dedicació)  32,71 (distribució horària)"
Cap de l'Oficina d'Atenció al Ciutadà (OAC),1,20,A2,968.57,444.10,1450.85,,,2863.52,,,,699.38,2575.57,2575.57,1385.28,40898.66,
Tècnica de protecció de dades,1,20,A2,968.57,444.10,1450.85,,,2863.52,,,,699.38,2575.57,2575.57,1385.28,40898.66,
Cap de Llicències d'Activitats,1,20,A2,968.57,444.10,1450.85,,,2863.52,,,,699.38,2575.57,2575.57,1385.28,40898.66,
Cap de projectes de noves tecnologies,2,20,A2,968.57,444.10,1450.85,,,2863.52,,,,699.38,2575.57,2575.57,1385.28,40898.66,
Cap de la Unitat de llicències obres i inspeccions,1,,A2,2863.52,,,,,2863.52,,,,699.38,2575.57,2575.57,1385.28,40898.66,
Cap del Departament de Comptabilitat,1,20,A2,968.57,444.10,1394.15,,,2806.82,,,,699.38,2533.23,2533.23,1385.28,40133.58,
Tècnic TIC Senior d'Informàtica,3,20,A2,968.57,444.10,1321.85,,,2734.52,,,,699.38,2447.84,2447.84,1385.28,39095.20,
Cap d'unitat de suport d'activitats,1,,A2,2007.92,,618.94,,,2707.55,32.71,47.98,1064.24,699.38,2388.75,2388.75,1385.28,38653.38,"Plus comandament 47,98 i D. Horària 32,71"
Cap d'unitat tècnica d'equipaments,1,,A2,2007.94,,,,,2670.95,32.71,630.30,9216.72,699.38,2352.52,2352.52,1385.28,38141.72,"C. Major dedicació 630,30 i D. Horària 32,71"
Cap de manteniment,1,20,A2,968.57,444.10,1145.26,,,2682.02,124.09,,1489.08,699.38,2273.00,2273.00,1385.28,38115.52,"Plus: 124,09 (autoria de projectes)"
Cap unitat de pressupost i control intern,1,20,A2,968.57,444.10,979.40,,,2709.28,317.21,,3806.52,699.38,2108.77,2108.77,1385.28,38114.18,"Plus: 317,21 (disponibilitat horària)"
Cap de la Unitat de participació ciutadana,1,20,A2,968.57,444.10,1251.29,,,2663.96,,,,699.38,2377.97,2377.97,1385.28,38108.74,
Cap de la unitat administrativa de seguretat ciutadana,1,20,A2,968.57,444.10,1251.29,,,2663.96,,,,699.38,2377.97,2377.97,1385.28,38108.74,
Tècnica de desenvolupament del talent i innovació,1,20,A2,968.57,444.10,1251.29,,,2663.96,,,,699.38,2377.97,2377.97,1385.28,38108.74,
"Mestra ""Escola Especial Maria Felip""",1,,A2,1502.41,,34.49,,,2597.74,117.35,943.49,14617.06,699.38,2162.08,2162.08,1385.28,36882.32,"Direcció 481,83  P. Analogia 461,66, Estadis 117,35 i C.específic 34,49"
Cap departament Igualtat i Ciutadania,1,,A2,2007.92,,399.21,,,2439.84,32.71,,392.52,699.38,2123.71,2123.71,1385.28,34910.78,"Plus distribució horària 32,71"
Cap departament Cultura i Joventut,1,,A2,2007.92,,,,,2439.84,32.71,399.21,5981.46,699.38,2123.71,2123.71,1385.28,34910.78,"Compl. Major dedicació 399,21 i D. Horària 32,71"
Tècnica de comptabilitat,1,,A2,2007.92,,,,,2427.74,,419.82,5877.48,699.38,2144.12,2144.12,1385.28,34806.40,"Compl Ad personam 419,82"
Tècnica de Comptabilitat,1,,A2,2155.80,,,,,2431.44,275.64,,3307.68,699.38,2050.07,2050.07,1385.28,34662.70,"Plus: 275,64 (plena dedicació)"
Tècnica de participació ciutadana,1,20,A2,968.57,444.10,979.40,,,2392.07,,,,699.38,2122.88,2122.88,1385.28,34335.88,
Tècnica de Formació,1,,A2,2155.80,,,,,2254.80,,99.00,1386.00,699.38,2081.12,2081.12,1385.28,32605.12,Plus: 99 (Responsable de qualitat)
Cap unitat coordinació d'activitats i programes esportius,1,,A2,2007.92,,,,,2266.59,,258.67,3621.38,699.38,1984.56,1984.56,1385.28,32553.48,"C. Major dedicació 258,67"
Tècnica de serveis a les persones - Coordinadora,2,,A2,2007.92,,,,,2263.63,,255.71,3579.94,699.38,1981.63,1981.63,1385.28,32512.10,"Compl. dedicació 255,71"
Tècnica de serveis a les persones - Psicologa,1,,A2,2007.92,,,,,2219.42,32.71,178.79,2895.58,699.38,1905.47,1905.47,1385.28,31829.26,"Compl. Major dedicació 178,79  Dist. Horària 32,71"
Tècnica d'Ocupació,1,,A2,2155.80,,,,,2188.51,32.71,,392.52,699.38,1925.56,1925.56,1385.28,31498.52,"Plus distribució horària 32,71"
Tècnica de comerç,1,,A2,2155.80,,,,,2188.51,32.71,,392.52,699.38,1925.56,1925.56,1385.28,31498.52,"Plus distribució horària 32,71"
Tècnica d'Empresa,1,,A2,2155.80,,,,,2155.80,,,,699.38,1925.56,1925.56,1385.28,31106.00,
Tècnica d'Ocupació,1,,A2,2155.80,,,,,2155.80,,,,699.38,1925.56,1925.56,1385.28,31106.00,
"Mestre ""Escola Especial Maria Felip""",1,,A2,1502.41,,34.49,,,2190.31,191.75,461.66,8764.24,699.38,1685.02,1685.02,1385.28,31039.04,"P. Analogia 461,66, Estadis 191,75"
Tècnica de serveis a les persones,1,20,A2,968.57,444.10,737.31,,,2149.98,,,,699.38,1869.08,1869.08,1385.28,30923.20,
"Mestra ""Escola Especial Maria Felip"" - Secretaria",1,,A2,1502.41,,34.49,,,2115.91,117.35,461.66,7871.44,699.38,1685.02,1685.02,1385.28,30146.24,"P. Analogia 461,66, Estadis 117,35 C.específic 34,49"
"Mestra ""Escola Especial Maria Felip""",1,,A2,1502.41,,34.49,,,2115.91,117.35,461.66,7871.44,699.38,1685.02,1685.02,1385.28,30146.24,"P. Analogia 461,66, Estadis 117,35"
"Logopeda ""Escola Especial Maria Felip""",1,,A1,1502.41,,34.49,,,2115.91,117.35,461.66,7871.44,699.38,1685.02,1685.02,1385.28,30146.24,"P. Analogia 461,66, Estadis 117,35"
"Mestre ""Escola Especial Maria Felip""",1,,A2,1502.41,,34.49,,,2115.91,117.35,461.66,7871.44,699.38,1685.02,1685.02,1385.28,30146.24,"P. Analogia 461,66, Estadis 117,35"
Tècnic mitjà d'educació,1,,A2,2007.92,,,,,2088.61,32.71,47.98,1064.24,699.38,1775.95,1775.95,1385.28,30000.50,"Plus comandament 47,98  i D. Horària 32,71"
"Mestra ""Escola Especial Maria Felip"" - Direcció",1,,A2,1502.41,,34.49,,,2055.75,57.19,461.66,7149.52,699.38,1685.02,1685.02,1385.28,29424.32,"P. Analogia 461,66 Estadis 57,19 i C.específic 34,49"
Tècnica d'Igualtat i Cooperació,1,,A2,2007.92,,,,,2040.63,32.71,,392.52,699.38,1728.45,1728.45,1385.28,29329.74,"Plus distribució horària 32,71"
Tècnica Mitja - Treballador/a social,10,,A2,2007.92,,,,,2040.63,32.71,,392.52,699.38,1728.45,1728.45,1385.28,29329.74,"Plus distribució horària 32,71"
Tècnic mitjà joventut i cooperació,1,,A2,2007.92,,,,,2040.63,32.71,,392.52,699.38,1728.45,1728.45,1385.28,29329.74,"Plus distribució horària 32,71"
Tècnica Mitja - Educador/a social,3,,A2,2007.92,,,,,2040.63,32.71,,392.52,699.38,1728.45,1728.45,1385.28,29329.74,"Plus distribució horària 32,71"
Tècnica de Cultura,2,,A2,2007.92,,,,,2040.63,32.71,,392.52,699.38,1728.45,1728.45,1385.28,29329.74,"Plus distribució horària 32,71"
Tècnic mitjà Patrimoni documental,1,,A2,2007.92,,,,,2040.63,32.71,,392.52,699.38,1728.45,1728.45,1385.28,29329.74,"Plus distribució horària 32,71"
Tècnic mitjà de comptabilitat,1,,A2,2007.92,,,,,2007.92,,,,699.38,1728.45,1728.45,1385.28,28937.22,
Cap Tècnic i Publicitat,1,,C1,1795.86,,,,,3007.86,1212.00,,14544.00,622.30,1884.93,1884.93,1385.28,41249.46,Plus: 1212 (Compl. publicitat)
"Director de mercats, turisme i concessions administratives",1,20,C1,727.23,444.10,1323.54,,,2736.30,241.43,,2897.16,622.30,2214.28,2214.28,1385.28,38649.44,"Plus: 65,42 (tardes) i 176,01 (dedicació)"
Administratiu/va I,1,20,C1,727.23,444.10,748.80,,,2201.79,281.66,,3379.92,622.30,1803.39,1803.39,1385.28,31413.54,"Plus: 65,42 (tardes) i 216,24 (dedicació)"
Tècnic auxiliar de comptabilitat,1,,C1,1858.46,,,,,2219.04,7.88,352.70,5032.36,,2189.26,2189.26,,31007.00,"Disponibilitat 352,70 Vestuari 7,88"
Tècnica Auxiliar Projectista,1,20,C1,727.23,444.10,907.00,,,2078.33,,,,622.30,2122.65,2122.65,1385.28,30570.54,
Administratiu/va II,1,20,C1,727.23,444.10,928.57,,,2099.90,,,,622.30,1981.37,1981.37,1385.28,30546.82,
Administratiu/va III,3,20,C1,727.23,444.10,687.13,,,2099.89,241.43,,2897.16,622.30,1742.33,1742.33,1385.28,30068.62,"Plus: 65,42 (tardes) i 176,01 (dedicació)"
Secretari de Presidència de l'Àmbit de Serveis a la persona,1,,C1,1858.46,,,,,2095.75,32.71,204.58,3256.64,622.30,1696.63,1696.63,1385.28,29927.54,"Plus: 32,71 (tardes) i 204,58 (C.específic)"
Cap de la Unitat de Manteniment de l'Edifici Corporatiu,1,,C1,1795.04,,,,,2089.48,294.44,,3533.28,622.30,1679.55,1679.55,1385.28,29818.14,"Pluses: 75,06 (dedicació) i 219,38 (comandament)"
Tècnic Auxiliar Delineant,1,20,C1,727.23,444.10,853.61,,,2024.94,,,,622.30,2066.27,2066.27,1385.28,29817.10,
Coordinador tècnic GTV,1,,C1,1784.58,,,,,2188.58,404.00,,4848.00,,1766.91,1766.91,,29796.78,Plus: 404 (Coordinació tècnica)
Administrativa de Gestió Urbanística,1,20,C1,727.23,444.10,852.49,,,2023.82,,,,622.30,1906.05,1906.05,1385.28,29483.22,
Secretària de la tinença d'alcaldia,1,20,C1,727.23,444.10,797.38,,,1968.71,,,,622.30,1851.49,1851.49,1385.28,28712.78,
Tècnic TIC Auxiliar d'Informàtica,2,,C1,1858.46,,,,,1923.88,65.42,,785.04,622.30,1742.33,1742.33,1385.28,27956.50,"Plus: 65,42 (tardes)"
Administratiu/va IV,1,,C1,1858.46,,,,,1891.17,32.71,,392.52,622.30,1742.33,1742.33,1385.28,27563.98,"Plus: 32,71 (distribució horària)"
Administrativa V,6,,C1,1858.46,,,,,1858.46,,,,622.30,1742.33,1742.33,1385.28,27171.46,
Administrativa VI,9,20,C1,727.23,444.10,687.13,,,1858.46,,,,622.30,1742.33,1742.33,1385.28,27171.46,
Redactor,1,,C1,1795.86,,,,,1795.86,,,,622.30,1794.01,1794.01,1385.28,26523.62,
"Educadora ""Escola Especial Maria Felip""",1,,C1,1177.91,,,,,1832.44,,654.53,9163.42,622.30,1377.95,1377.95,1385.28,26130.46,"P.analogia 312,51 C.secretaria 342,02"
Administratiu VI,1,,C1,1782.67,,,,,1854.57,71.90,,862.80,,1765.02,1765.02,,25784.88,"Plus 63,13 (Puntualitat) 8,77 (Vestuari)"
Responzable zona esportiva ,1,,C1,1708.56,,,,,1741.27,32.71,,392.52,622.30,1593.92,1593.92,1385.28,25468.36,"Plus: 32,71 (distribució horària)"
"Educadora ""Escola Especial Maria Felip""",1,,C1,1177.91,,,,,1490.42,,312.51,4375.14,622.30,1377.95,1377.95,1385.28,22026.22,"P.analogia 312,51"
"Educadora ""Escola Especial Maria Felip""",1,,C1,1177.91,,,,,1490.42,,312.51,4375.14,622.30,1377.95,1377.95,1385.28,22026.22,"P.analogia 312,51"
Tècnica de so,1,,C1,1414.36,,,,,1414.36,,,,622.30,952.55,952.55,1385.28,20262.70,80% jornada
Auxiliar de Protocol i Relacions institucionals,1,,C2,1449.83,,,,,2488.19,,1038.36,14537.04,593.79,1693.35,1693.35,1385.28,34630.26,"C. Major dedicació 204,58 i C. Específic 833,78"
Secretària del Coordinador de l'Oficina de l'Alcalde,1,,C2,1642.50,,,,,2219.56,65.42,511.64,7948.00,593.79,2198.27,2198.27,1385.28,32416.54,"Plus: 511,64 (Disponibilitat) i 65,42 (tardes)"
Tècnica Auxiliar d'educació,1,,C2,1490.14,,,,,2046.56,32.71,523.71,7724.46,593.79,1988.45,1988.45,1385.28,29920.90,"Dif categoria 523,71 i 32,71 (tardes)"
Cap de la Unitat de consergeria,1,,C2,1801.60,,,,,2052.67,251.07,,3012.84,593.79,1778.30,1778.30,1385.28,29573.92,"Plus: 75,06 (dist. horària) i 176,01 (major dedicació)"
Tècnica especialista d'esports,1,,C2,1456.82,,,,,2013.85,,557.03,7798.42,593.79,1988.45,1988.45,1385.28,29528.38,"C. dedicació 399,57 i diferència categoria 157,46"
Secretària Tinència d'Alcaldia i auxiliar administrativa,1,18,C2,605.25,398.74,939.36,,,1943.35,,,,593.79,1918.64,1918.64,1385.28,28542.76,
Auxiliar d'e-administració,1,,C2,1726.16,,,,,1926.79,200.63,,2407.56,593.79,1791.77,1791.77,1385.28,28090.30,"Plus: 200,63 (Rble. de grup)"
Auxiliar Administratiu/va I,1,18,C2,605.25,398.74,638.56,,,1953.38,310.83,,3729.96,593.79,1620.82,1620.82,1385.28,28067.48,"Plus: 65,42 (tardes) i 245,41 (disponibilitat)"
Responsable de grup de l'Oficina d'Atenció al Ciutadà (OAC),4,,C2,1814.52,,,,,1912.41,97.89,,1174.68,593.79,1791.77,1791.77,1385.28,27917.74,"Plus: 97,89 (Rble. de grup)"
Oficial especialista de manteniment,1,,C2,1801.60,,,,,1876.66,75.06,,900.72,593.79,1778.30,1778.30,1385.28,27461.80,"Plus: 75,06 (distribució horària)"
Auxiliar Administratiu/va II,1,,C2,1642.55,,,,,1858.46,,215.91,3022.74,593.79,1791.77,1791.77,1385.28,27270.34,"Diferencia categoria 215,91"
Auxiliar de l'Oficina d'Atenció al Ciutadà (OAC),4,18,C2,605.25,398.74,810.54,,,1814.53,,,,593.79,1791.77,1791.77,1385.28,26743.18,
Auxiliar de l'Oficina d'Atenció al Ciutadà (OAC),4,,C2,1814.53,,,,,1814.53,,,,593.79,1791.77,1791.77,1385.28,26743.18,
Recepcionista zona esportiva I,1,,C2,1642.55,,,,,1814.51,,171.96,2407.44,593.79,1791.77,1791.77,1385.28,26742.94,"Diferencia categoria 171,96"
Auxiliar administratiu/va III,2,18,C2,605.25,398.74,638.56,,,1813.07,170.52,,2046.24,593.79,1620.82,1620.82,1385.28,26383.76,"Plus: 65,42 (tardes) i 105,10 (dedicació)"
Auxiliar administratiu/va IV,1,,C2,1642.55,,,,,1813.07,170.52,,2046.24,593.79,1620.82,1620.82,1385.28,26383.76,"Plus: 65,42 (tardes) i 105,10 (dedicació)"
Auxiliar Administratiu/va V,1,18,C2,605.25,398.74,769.15,,,1773.14,,,,593.79,1750.11,1750.11,1385.28,26163.18,
Encarregat del cementiri ,1,,C2,1761.54,,,,,1761.54,,,,593.79,1809.95,1809.95,1385.28,26143.66,
Auxiliar Administratiu/va VI,1,,C2,1738.46,,,,,1738.46,,,,593.79,1857.63,1857.63,1385.28,25962.06,
Cap oficina administrativa CSE,1,,C2,1642.55,,,,,1738.52,,95.97,1343.58,593.79,1822.18,1822.18,1385.28,25891.88,"Plus: 95,97 (Disponibilitat)"
Especialista manteniment,1,,C2,1449.26,,,,,1747.81,32.71,265.84,4114.28,593.79,1692.67,1692.67,1385.28,25744.34,"Diferencia categoria 265,84 i Distribució horària 32,71"
Auxiliar Administratiu/va VII,3,18,C2,605.25,398.74,638.56,,,1707.97,65.42,,785.04,593.79,1620.82,1620.82,1385.28,25122.56,"Plus: 65,42 (tardes)"
Auxiliar Administratiu/va VIII,2,,C2,1642.55,,,,,1707.97,65.42,,785.04,593.79,1620.82,1620.82,1385.28,25122.56,"Plus: 65,42 (tardes)"
Auxiliar administratiu/va IX,1,,C2,1642.55,,,,,1675.26,32.71,,392.52,593.79,1620.82,1620.82,1385.28,24730.04,"Plus: 32,71 (distribució horària)"
Auxiliar Administratiu/va X,17,18,C2,605.25,398.74,638.56,,,1642.55,,,,593.79,1620.82,1620.82,1385.28,24337.52,
Auxiliar Administratiu/va XI,6,,C2,1642.55,,,,,1642.55,,,,593.79,1620.82,1620.82,1385.28,24337.52,
Recepcionista zona esportiva II,6,,C2,1642.55,,,,,1642.55,,,,593.79,1620.82,1620.82,1385.28,24337.52,
Monitora esportiva,1,,C2,1456.82,,,,,1628.44,,171.62,2402.68,593.79,1606.85,1606.85,1385.28,24140.26,"C. Major dedicació 171,62"
Treballadora familiar,1,,C2,1565.79,,,,,1598.50,32.71,,392.52,593.79,1544.83,1544.83,1385.28,23656.94,"Plus: 32,71 (distribució horària)"
Auxiliar administratiu/va IX,1,,C2,1571.79,,,,,1653.39,81.60,,979.20,,1556.23,1556.23,,22953.14,"Plus puntualitat (71,65) Vestuari (9,95)"
Tècnica Auxiliar de Biblioteca JSV,5,,C2,1490.14,,,,,1522.85,32.71,,392.52,593.79,1469.93,1469.93,1385.28,22599.34,"Plus: 32,71 (distribució horària)"
Auxiliar Biblioteca,1,18,C2,605.25,398.74,494.10,,,1498.09,,,,593.79,1477.78,1477.78,1385.28,22317.92,
Tècnica auxiliar d'arxiu,2,,C2,1490.14,,,,,1490.14,,,,593.79,1469.93,1469.93,1385.28,22206.82,
Especialista manteniment,7,,C2,1449.26,,,,,1481.97,32.71,,392.52,593.79,1429.46,1429.46,1385.28,22027.84,"Plus: 32,71 (distribució horària)"
Monitora esportiva,2,,C2,1456.82,,,,,1456.82,,,,593.79,1436.94,1436.94,1385.28,21741.00,
Redactora,1,,C2,1293.47,,,,,1293.47,,,,593.79,1328.39,1328.39,1385.28,19563.70,
Monitora menjador ,5,,C2,1184.48,,,,,1184.48,,,,593.79,1167.29,1167.29,1385.28,17933.62,
Redactor,1,,C2,1156.31,,,,,1156.31,,,,593.79,1110.70,1110.70,1385.28,17482.40,
Auxiliar de Serveis Generals d'Alcaldia,1,,E,1500.72,,,,,2409.29,908.57,,10902.84,548.47,2125.27,2125.27,1385.28,34547.30,"Plus: 363,77 (Plena dedicació) 544,80 (Distribució horària)"
"Aux. Serveis Generals ""Espai Maragall""",1,,E,1347.57,,,,,1613.15,,265.58,3718.12,548.47,1597.18,1597.18,1385.28,23937.44,"Plus diferencia categoria 265,58"
Auxiliar de cementiri ,4,,E,1598.51,,,,,1598.51,,,,548.47,1582.68,1582.68,1385.28,23732.76,
Conserge,1,,E,1500.72,,,,,1605.82,105.10,,1261.20,548.47,1485.86,1485.86,1385.28,23626.84,"Plus: 105,10 (major dedicació)"
Conserge,1,,E,1500.72,,,,,1566.14,65.42,,785.04,548.47,1485.86,1485.86,1385.28,23150.68,"Plus: 65,42 (disponibilitat horària)"
Repartidor,1,,E,1500.72,,,,,1546.97,46.25,,555.00,548.47,1485.86,1485.86,1385.28,22920.64,"Plus: 46,25 (factor motorista)"
Conserge d'instal.lació municipal ,9,,E,1500.72,,,,,1500.72,,,,548.47,1485.86,1485.86,1385.28,22365.64,
Aux. Serveis Generals I,1,,E,1347.57,,,,,1518.09,170.52,,2046.24,548.47,1334.23,1334.23,1385.28,22270.82,"Major dedicació (105,10)   Distribució horària (65,42)"
Conserge Biblioteca I,2,,E,1347.57,,,,,1412.99,65.42,,785.04,548.47,1334.23,1334.23,1385.28,21009.62,"Plus: 65,42 (disponibilitat horària)"
Auxiliar Serveis Generals II,1,,E,1347.55,,,,,1412.97,65.42,,785.04,548.47,1334.23,1334.23,1385.28,21009.34,
Conserge Biblioteca II,1,,E,1347.57,,,,,1380.28,32.71,,392.52,548.47,1334.23,1334.23,1385.28,20617.10,"Plus: 32,71 (distribució horària)"
Conserge equipaments,7,,E,1347.57,,,,,1347.57,,,,548.47,1334.23,1334.23,1385.28,20224.58,
Aux. Serveis Generals III,3,,E,1347.57,,,,,1347.57,,,,548.47,1334.23,1334.23,1385.28,20224.58,
inspector cap de la Policia Municipal,1,24,A2,968.57,588.75,3420.54,,,4977.86,,,,622.30,4631.59,4631.59,1385.28,70382.78,
Sotsinspector cap de la Policia Municipal,1,22,C1,727.23,514.94,2710.14,,,4305.81,353.50,,4200.00,622.30,3847.38,3847.38,1385.28,64949.76,"Plus: 353,5 (distribució horària)"
Sergent de la Policia Municipal I,1,20,C1,727.23,444.10,1677.35,,,3072.51,68.71,155.12,2996.20,622.30,2743.75,2743.75,3025.20,45382.82,"Plus: 68,71 (distribució horària)  80,94 (nocturnitat)  34,54 (festivitat)  39,64 (moto)   "
Sergent de la Policia Municipal II,3,20,C1,727.23,444.10,1677.35,,,2917.39,68.71,,824.52,622.30,2743.75,2743.75,3025.20,43521.38,"Plus: 68,71 (distribució horària)"
