NOM,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,icon
Dvinus,"carrer montflorit, 151, 08850 Gavà", 638339856,,,Alimentació (quotidià alimentari),41.30714,1.998431,"(41.30714, 1.998431)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5543,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Forn M. Cruz, SL","carrer montflorit, 17, 08850 Gavà",936620168 669588596,,,Alimentació (quotidià alimentari),41.29968,2.002012,"(41.29968, 2.002012)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3921,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Ferreteria Molero,"carrer montflorit, 183, 08850 Gavà",936623787 ,,,Equipament de la llar,41.308933,1.997446,"(41.308933, 1.997446)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4732,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
r3interiorismo,"carrer montflorit, 33, 08850 Gavà", ,,http://www.r3interiorismo.com,Serveis,41.300774,2.00151,"(41.300774, 2.00151)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5247,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Farmàcia Pugès,"carrer montflorit, 38, 08850 Gavà",936623113 619152598,rmeseguer@farmaciameseguer.com,http://www.farmaciameseguer.com,Salut i cosmètica  (quotidià no alimentari),41.30284,2.002637,"(41.30284, 2.002637)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3900,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
NORDIC WALKING GAVA ,"carrer montflorit, 5, 08850 Gavà",639976697 ,nordicwalkinggava@gmail.com,,Salut - Bellesa - Centres esportius,41.299294,2.002121,"(41.299294, 2.002121)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5500,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
H2 Fitness Club,"carrer montflorit, 5, 08850 Gavà",936388147 ,,http://www.H2fitnessclub.com,Serveis,41.299294,2.002121,"(41.299294, 2.002121)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4906,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Boquerón de Plata,"carrer montflorit, 57, 08850 Gavà", 647208474,,,Bar,41.30185,2.000978,"(41.30185, 2.000978)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5095,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Autoescola Musa,"carrer montflorit, 64, 08850 Gavà",936380544 663829438,,,Serveis,41.302113,2.000922,"(41.302113, 2.000922)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4924,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Aroma Laboratori,"carrer montflorit, 64, 08850 Gavà", 671824243,,,Salut i cosmètica  (quotidià no alimentari),41.302113,2.000922,"(41.302113, 2.000922)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=521,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Skitper, SCP","carrer montflorit, 64, 08850 Gavà",932503868 ,juan_mela16@hotmail.com,,Bar,41.302113,2.000922,"(41.302113, 2.000922)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=861,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
"Autoescuela D. Parejo, SL","carrer montflorit, 74, 08850 Gavà",936622263 ,,,Serveis,41.302876,2.000604,"(41.302876, 2.000604)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4919,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Restaurante Bar Can Rodenas,"carrer montflorit, 76, 08850 Gavà",936620348 ,,,Bar - Restaurant,41.30293,2.000549,"(41.30293, 2.000549)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4189,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
"Gabinete Asesor Eurogestió, S.L","carrer montflorit, 77, 08850 Gavà",936624717 645892389,,,Serveis,41.30407,2.001298,"(41.30407, 2.001298)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3939,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Petit Estil,"carrer montflorit, 77, 08850 Gavà",936382551 692645265,petitestil@hotmail.com,http://www.petitestil.com,Equipament de la persona,41.30407,2.001298,"(41.30407, 2.001298)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4302,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Ferreteria C&M,"carrer montflorit, 80, 08850 Gavà",936623504 625564316,ferreteriacm@hotmail.com,,Lleure i cultura,41.30306,2.000449,"(41.30306, 2.000449)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3904,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Tratamientos de aguas - Gavà Sistemas,"carrer montflorit, 84, 08850 Gavà",93611809 ,info@gavasistemas.com,http://www.gavasistemas.com,Equipament de la llar,41.303333,2.000224,"(41.303333, 2.000224)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5151,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Gavà Sistemas,"carrer montflorit, 84, 08850 Gavà",936111809 609218664,info@gavasistemas.com,http://www.gavasistemas.com,Equipament de la llar,41.303333,2.000224,"(41.303333, 2.000224)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4922,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Fress Fruit,"carrer montflorit, 86, 08850 Gavà",935130491 657853206,,,Alimentació (quotidià alimentari),41.303406,2.000272,"(41.303406, 2.000272)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4907,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Modas Plaza Nueva Línea,"carrer montflorit, 90, 08850 Gavà",936624045 690156559,i.plaza.garcia@gmail.com,,Equipament de la persona,41.30353,2.000208,"(41.30353, 2.000208)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4049,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Croma Audiovisuales,"carrer montflorit, 93, 08850 Gavà",936626862 629383651,fotocroma@fotocroma.com,http://www.fotocroma.com,Lleure i cultura,41.305004,1.999408,"(41.305004, 1.999408)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3850,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Bar La Terraza,"carrer montflorit, 96, 08850 Gavà",936336580 659098558,,,Bar,41.304844,1.999574,"(41.304844, 1.999574)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3755,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Escola de Ball El Muro de Jéssica Rodríguez,"carrer montflorit, 98, 08850 Gavà", 636677508,,,Serveis,41.30491,1.999545,"(41.30491, 1.999545)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1381,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Lavaxpres - La Bugaderia del barri,"carrer montflorit, 98, 08850 Gavà",933183018 ,info@lavaxpres.com,http://www.lavaxpress.com,Serveis,41.30491,1.999545,"(41.30491, 1.999545)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1901,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Administració de Loteries núm. 5,"carrer montflorit, 98, 08850 Gavà",936383591 639737707,montflorit98@yahoo.es,,Serveis,41.30491,1.999545,"(41.30491, 1.999545)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3708,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Locutorio Latino Internet,"carrer montflorit, 98, 08850 Gavà",936389802 600081303,,,Serveis,41.30491,1.999545,"(41.30491, 1.999545)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4019,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Vadenens,"carrer montflorit, 98, 08850 Gavà", 639050380,,,Equipament de la persona,41.30491,1.999545,"(41.30491, 1.999545)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4353,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Margarit Perruquer ,"carrer moreres, 15, 08850 Gavà",936624868 687236983,ramon7@wanadoo.es,,Serveis,41.303627,2.007796,"(41.303627, 2.007796)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4744,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Perruqueria Margarit,"carrer moreres, 15, 08850 Gavà",936624868 ,ramon7@wanadoo.es,,Serveis,41.303627,2.007796,"(41.303627, 2.007796)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4119,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Héctor Gorgas Mateo,"carrer màrtirs del setge de 1714, 11-13, 08850 Gavà", ,,,Lleure i cultura,41.305466,2.006284,"(41.305466, 2.006284)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5366,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Star Books,"carrer màrtirs del setge de 1714, 11-13, 08850 Gavà",936384981 ,,,Lleure i cultura,41.305466,2.006284,"(41.305466, 2.006284)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3960,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Dewa,"carrer màrtirs del setge de 1714, 6, 08850 Gavà",936628402 ,,,Equipament de la persona,41.305466,2.006284,"(41.305466, 2.006284)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3853,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Ysoma Gavà,"carrer màrtirs del setge de 1714, 6, 08850 Gavà", ,,,Equipament de la persona,41.305466,2.006284,"(41.305466, 2.006284)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5390,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Amores Modas,"carrer màrtirs del setge de 1714, 6, 08850 Gavà",935153962 ,amore.moda.2015@gmail.com,,Equipament de la persona,41.305466,2.006284,"(41.305466, 2.006284)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3525,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Tritelcom-Telecomunicacions,"carrer oficis, 5, 08850 Gavà", ,,,Tecnologia - Telecomunicacions,41.301064,2.014406,"(41.301064, 2.014406)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1046,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Génesis,"carrer pau claris, 1, 08850 Gavà",936625430 66154976,,,Serveis,41.30539,1.99832,"(41.30539, 1.99832)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3947,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Esver Modes,"carrer pau claris, 50, 08850 Gavà",936622192 627961303,,,Equipament de la persona,41.30688,1.997706,"(41.30688, 1.997706)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3885,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Auto Talleres Escudero, SL","carrer pau claris, 73, 08850 Gavà",936625300 647416509,taller@talleresescudero.com,,Serveis,41.307785,1.997172,"(41.307785, 1.997172)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3734,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Alucap, SL","carrer pau vergós, 60, 08850 Gavà",936623091 ,,,Equipament de la llar,41.302242,1.997248,"(41.302242, 1.997248)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5132,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Bar El Fanal,"carrer pep ventura, 10, 08850 Gavà",936627836 ,,,Bar,41.311394,1.994856,"(41.311394, 1.994856)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3749,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Merlín,"carrer pep ventura, 9, 08850 Gavà", 600767386,,,Bar,41.31135,1.994776,"(41.31135, 1.994776)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4776,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Merlín,"carrer pep ventura, 9, 08850 Gavà", 600767386,,,Bar,41.31135,1.994776,"(41.31135, 1.994776)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1931,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Condis,"carrer pere el gran, 4, 08850 Gavà",936623443 ,c0612@condis.es,,Alimentació (quotidià alimentari),41.31082,1.99536,"(41.31082, 1.99536)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4271,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Restaurant Quesada,"carrer premià, s/n, 08850 Gavà",936331003 ,administracion@quesadagavamar.com,,Bar - Restaurant,41.2695,2.032934,"(41.2695, 2.032934)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4187,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Carwash - Túnel de lavado,"carrer progrés, 55, 08850 Gavà",936383026 ,info@carwashspain.com,http://www.carwashspain.com,Serveis,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5143,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
10XDIEZ,"carrer progrés, 78-80, 08850 Gavà",936381920 ,info@diezxdiez.es,http://www.diezxdiez.es,Equipament de la llar,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4276,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Eulogia Molero,"carrer rectoria, 1, 08850 Gavà",936623901 ,,,Serveis,41.303974,2.003487,"(41.303974, 2.003487)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4977,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Electric- Cuina,"carrer rectoria, 1, 08850 Gavà",936384119 635449615,,,Equipament de la llar,41.303974,2.003487,"(41.303974, 2.003487)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4978,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
El Petirrojo,"carrer rectoria, 20, 08850 Gavà", 653993329,,,Equipament de la persona,41.304306,2.003595,"(41.304306, 2.003595)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5585,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Forn de la Riera, SL","carrer riera de les parets, 27, 08850 Gavà",936626965 ,,,Alimentació (quotidià alimentari),41.30119,2.003927,"(41.30119, 2.003927)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5077,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Granja Churrería García,"carrer riera de les parets, 27, 08850 Gavà",936620204 678054647,josegarciagava@hotmail.com,,Bar,41.30119,2.003927,"(41.30119, 2.003927)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5076,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Fruiteria de la Riera,"carrer riera de sant llorenç, 153, 08850 Gavà", 609778179,,,Alimentació (quotidià alimentari),41.311695,1.998369,"(41.311695, 1.998369)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4264,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Peluqueria Family,"carrer riera de sant llorenç, 169, 08850 Gavà", 672029962,,,Serveis,41.31182,1.997353,"(41.31182, 1.997353)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5078,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Restaurant Bar La Estrella,"carrer riera de sant llorenç, 71, 08850 Gavà",936333375 ,,,Bar,41.311443,2.001808,"(41.311443, 2.001808)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4156,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Junpac,"carrer riu anoia, 1, 08850 Gavà",936381217 616118337,,,Equipament de la llar,41.312996,1.98996,"(41.312996, 1.98996)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3994,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Bar Los Cazadores,"carrer riu ebre, 4, 08850 Gavà", ,,,Bar,41.313694,1.989141,"(41.313694, 1.989141)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4734,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
"Carpintería Antonio Marín, SL","carrer riu fluvià, 27, 08850 Gavà",936624350 ,,,Equipament de la llar,41.3127,1.988693,"(41.3127, 1.988693)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5080,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Carpintería Antonio Marín, SL","carrer riu fluvià, 27, 08850 Gavà",936624350 ,,,Equipament de la llar,41.3127,1.988693,"(41.3127, 1.988693)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1947,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Carpintería Ebanistería Jorbel, SL ","carrer riu ter, 23, 08850 Gavà",936627866 600563252,jorbelsl@hotmail.com,,Equipament de la llar,41.312412,1.989046,"(41.312412, 1.989046)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4787,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Carpintería Ebanistería Jorbel, SL ","carrer riu ter, 23, 08850 Gavà",936627866 600563252,jorbelsl@hotmail.com,,Equipament de la llar,41.312412,1.989046,"(41.312412, 1.989046)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1948,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Portes Pinelo,"carrer roger de flor, 14, 08850 Gavà",936336704 667725692,,,Equipament de la llar,41.310097,1.997843,"(41.310097, 1.997843)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4137,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Bar Casablanca,"carrer roger de flor, 2-4, 08850 Gavà", ,,,Bar,41.31016,1.99643,"(41.31016, 1.99643)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4190,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Peluqueria M2,"carrer roger de flor, 25, 08850 Gavà",931821470 ,,,Serveis,41.310093,1.996402,"(41.310093, 1.996402)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4794,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Carpodent, SL","carrer roger de flor, 25, 08850 Gavà",936384659 ,,,Lleure i cultura,41.310093,1.996402,"(41.310093, 1.996402)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4693,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Farmàcia Purificació Truco Catalán,"carrer roger de flor, 36, 08850 Gavà",936621799 ,,,Salut i cosmètica  (quotidià no alimentari),41.310196,1.996177,"(41.310196, 1.996177)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4981,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Eva Sabuquillo,"carrer roger de flor, 38, 08850 Gavà",936381050 ,,,Bar,41.310196,1.996177,"(41.310196, 1.996177)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4971,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
"Talleres Tecnomóvil, SCP","carrer salamanca, 28, 08850 Gavà",936383737 ,,,Serveis,41.302162,2.008387,"(41.302162, 2.008387)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4229,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
El Sigle,"carrer salvador lluch, 16, 08850 Gavà",936620239 ,elsigle1886@gmail.com,,Alimentació (quotidià alimentari),41.30581,2.004402,"(41.30581, 2.004402)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3870,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Calzados Larruy,"carrer salvador lluch, 19, 08850 Gavà",936620292 ,,,Equipament de la persona,41.30575,2.004469,"(41.30575, 2.004469)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3798,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Casa Clara,"carrer salvador lluch, 2, 08850 Gavà",936620285 ,,,Alimentació (quotidià alimentari),41.30584,2.004526,"(41.30584, 2.004526)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3814,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Parés ,"carrer salvador lluch, 21, 08850 Gavà",936620286 615582511,paresmoda@gmail.com,,Equipament de la persona,41.306072,2.004669,"(41.306072, 2.004669)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1501,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
La Tapería de Gavà,"carrer salvador lluch, 30, 08850 Gavà",936389292 657814951,lataperiadegava@gmail.com,,Bar - Restaurant,41.30629,2.004525,"(41.30629, 2.004525)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5227,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Brugués,"carrer salvador lluch, 8, 08850 Gavà",936620283 ,,,Equipament de la persona,41.305935,2.004761,"(41.305935, 2.004761)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3782,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Patrícia Morillas Centol,"carrer salvador lluch, 8, 08850 Gavà", ,,,Equipament de la persona,41.305935,2.004761,"(41.305935, 2.004761)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5359,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Café Rodamon ,"carrer sant isidre, 20, 08850 Gavà",936622237 ,,,Bar,41.30561,2.003855,"(41.30561, 2.003855)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1939,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Tus Manos Hablan-Espai de Bellesa,"carrer sant isidre, 4, 08850 Gavà",936384006 ,tusmanoshablan@gmail.com,http://www.tusmanoshablan.es,Serveis,41.30561,2.003855,"(41.30561, 2.003855)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4246,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
El Globo,"carrer sant isidre, 4, 08850 Gavà",936629589 658865819,,,Serveis,41.30561,2.003855,"(41.30561, 2.003855)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3863,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Expendeduria núm. 5,"carrer sant isidre, 4, 08850 Gavà",936620145 649441956,,,Lleure i cultura,41.30561,2.003855,"(41.30561, 2.003855)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3891,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Al Teu Styl,"carrer sant isidre, 60, 08850 Gavà",936383895 ,,,Serveis,41.307037,2.003323,"(41.307037, 2.003323)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4743,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Neteges Dacar, SL","carrer sant isidre, 75, 08850 Gavà",936336303 619990201,,,Comerç Mix,41.307915,2.002844,"(41.307915, 2.002844)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4057,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Catalana Occidente (seguros),"carrer sant isidre, 75, 08850 Gavà",936334795 600921654,gonzalez.arias@agentes.catalanaoccidente.com,,Serveis,41.307915,2.002844,"(41.307915, 2.002844)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4928,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
