NOM,PRESIDENT,DIRECCIO,TELEFON,EMAIL,WEB,DATA_ALTA,TIPUS,NumSocios,enllacdirectori,latitud,longitud,LOCALITZACIO
ASOCIACIÓN DE PADRES DE ALUMNOS DEL COLEGIO PÚBLICO L'ERAMPRUNYÀ,ELENA FLORES MARTINEZ,"avinguda eramprunyà, 1 ,08850 Gavà",936624553,ampa.eramprunya@hotmail.com,,03/03/2005 12:00:00 AM,Educatives i de Lleure,300,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=244,,,
ASOCIACIÓN DE PENSIONISTAS Y JUBILADOS,JOSÉ ROLDÁN LARA,"carrer riu besòs, 7 ,08850 Gavà",936383751,,,03/10/1995 12:00:00 AM,Culturals,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=326,,,
ASOCIACIÓN DE SEGUIDORES DE JETHRO TULL TULLIANOS,ALBERT VILLANUEVA MORCILLO,"avinguda eramprunyà, 51 ,08850 Gavà",936622089,avillan1@xtec.cat,www.tullianos.com,03/17/2011 12:00:00 AM,Culturals,167,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=318,,,
ASOCIACIÓN DE VECINOS ANGELA ROCA,FRANCISCO ZAMORANO AVILA,"carrer colomeres, 53 ,08850 Gavà",936620450,,,09/09/1992 12:00:00 AM,Veïnals,12,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=147,,,
ASOCIACIÓN DE VECINOS CAN TRIAS,PEDRO AGUDO MARTÍNEZ,"carrer riu besòs, 7-9 ,08850 Gavà",,,,09/09/1992 12:00:00 AM,Veïnals,140,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=153,,,
ASOCIACIÓN DE VECINOS DE CAN ESPINÓS,FRANCISCO MARTÍNEZ MOLINA,"carrer principal, 28 ,08850 Gavà",,avvcanespinos@gmail.com,,12/02/1992 12:00:00 AM,Veïnals,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=142,,,
ASOCIACIÓN DE VECINOS DE CAN TINTORER,Jose Crespo Belizon,"carrer rafael casanova, 5 ,08850 Gavà",936626678,avcantintorer@gmail.com,,07/07/1992 12:00:00 AM,Veïnals,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=159,41.309425,1.9995872,"(41.309425, 1.999587)"
ASOCIACIÓN DE VECINOS DE GAVÀ-MAR - LES MARINES,ELISABETH MARTÍNEZ,"carrer tellinaires, 25 ,08850 Gavà",936330558,,,10/23/1996 12:00:00 AM,Veïnals,10,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=210,,,
ASOCIACIÓN DE YOGA AINDAVEVA,ANTONIO REVELLES ALBARRAL,"carrer montserrat roig, 14 ,08850 Gavà",,wirbis@yahoo.es,,06/23/2008 12:00:00 AM,Esportives,3,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=187,,,
ASOCIACIÓN ESPAÑOLA CONTRA EL CÀNCER,FINA YTARTE PUIG,"rambla joaquim vayreda, 31 ,08850 Gavà",936627795,gava@aecc.es    ,,02/02/2005 12:00:00 AM,Acció Social,13,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=276,,,
ASOCIACIÓN GAVADANCE,BASILISA ANTA ALONSO,"rambla joaquim vayreda, 31 ,08850 Gavà",,gavadance@gmail.com,,07/25/1997 12:00:00 AM,Educatives i de Lleure,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=235,,,
ASOCIACIÓN PARA LA DEFENSA Y EL ASESORAMIENTO DE LA MUJER - ADAMUJER,M CRUZ RAMOS ORDOÑEZ,"aragó,335,08009 Barcelona",933152467,infoadamujer@gmail.com,,02/18/2015 12:00:00 AM,Acció Social,4,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2682,41.39653,2.170413,"(41.39653, 2.170413)"
ASOCIACIÓN PRO-AYUDA MINORIAS MARGINADAS-APAMM,GERMAN AGUSTÍ SANCHIS,"passatge rambla, 17 ,08850 Gavà",,,,03/09/2005 12:00:00 AM,Acció Social,7,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=138,,,
"ASOCIACIÓN RECREATIVA TESSEN (TALLERES DE ESTRATEGIA, SIMULACIÓN Y ESCRITORES NOVELES)",ANA PALACIOS GIL,"carrer mare de déu de montserrat, 3 ,08850 Gavà",,clubtessen@gmail.com,,06/22/2006 12:00:00 AM,Culturals,26,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=252,41.30425,2.0015779,"(41.30425, 2.001578)"
ASOCIACIÓN SOLIDARIA PROMUNDO,LILIANA PATRICIA KENNY YANTORNO,"av. can palmer,97,08840 Viladecans",936581711,secretaria@promundo.es,,10/10/2007 12:00:00 AM,"Coop. Internacional, M. Ambient",10,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=287,41.311726,2.0048592,"(41.311726, 2.004859)"
ASOCIACIÓN VIDA EXCELENTE,MARCOS AMADIO CAMBRES,"carrer rull ,8,08002 Barcelona",,,,12/31/2007 12:00:00 AM,Culturals,12,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=203,41.37952,2.1775792,"(41.37952, 2.177579)"
ASSEMBLEA NACIONAL CATALANA,CARME FORCADELL LLUIS,"rocafort,242 bis,08015 Barcelona",,,,03/08/2013 12:00:00 AM,Culturals,40,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1158,41.37863,2.1523914,"(41.37863, 2.152391)"
ASSOCIACIO ALEGRIA SIN FRONTERAS (ASF),GLORIA EGUARAS MENDEZ,"roselló,501,08025 Barcelona",,alegria.sin.fronteras@gmail.com,alegriasinfronteras.org,03/22/2017 12:00:00 AM,Acció Social,16,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5542,41.40816,2.1769185,"(41.40816, 2.176919)"
ASSOCIACIO AMICS GAVANENCS DE MONTSERRAT  ,ANA MARIA SERRANO ZAMORA,"carrer castelldefels, 8 ,08850 Gavà",,,,04/04/2016 12:00:00 AM,Culturals,13,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5548,,,
ASSOCIACIO DE FAMILIARS DE DISMINUITS DE GAVÀ (ADISGA),ISABEL RODRIGUEZ HERNANDEZ,"carrer manuel de falla, 11 ,08850 Gavà",,adisga.gava@gmail.com,,06/17/1998 12:00:00 AM,Educatives i de Lleure,10,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=213,41.307,1.9945832,"(41.307, 1.994583)"
ASSOCIACIO DE FUSTERS I EBENISTES DEL BAIX LLOBREGAT,JOSE ALCARAZ NAVARRO,"carrer centre, 123 ,08850 Gavà",933724042,,,06/22/2010 12:00:00 AM,Comerç,14,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=194,,,
ASSOCIACIO DE PUNTAIRES DE GAVA,DORI SANZ RECOBENIZ,"carretera santa creu de calafell, 36 ,08850 Gavà",,,,05/18/1995 12:00:00 AM,Culturals,0,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=151,41.304222,2.0090363,"(41.304222, 2.009036)"
ASSOCIACIO ESTELS DE COLORS,CARMEN MORO MARQUEZ,"carrer sant lluís, 17 ,08850 Gavà",,,,11/08/2016 12:00:00 AM,Educatives i de Lleure,3,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5546,41.30765,1.9985858,"(41.30765, 1.998586)"
ASSOCIACIO GRUP TEATRAL LA IGUALTAT DEL CENTRE CULTURAL DE GAVÀ,FRANCESC CASAS LOZANO,"carrer sarrià, 9 ,08850 Gavà",936620538,gtlaigualtat@gmail.com,,03/11/2014 12:00:00 AM,Culturals,14,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1621,,,
ASSOCIACIO IMPULS ART GENERE I DRETS TRANSFORMADORS,JOSEP CARDONA CUESTA,"carrer artur costa, 40 ,08850 Gavà",,,,02/03/2016 12:00:00 AM,Culturals,5,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5552,,,
ASSOCIACIO L'ATELIER,M CARMEN MONTEAGUDO SEBASTIA,"carrer sant lluís, 29 ,08850 Gavà",,,,11/10/2015 12:00:00 AM,Culturals,20,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3661,41.30764,1.9985459,"(41.30764, 1.998546)"
ASSOCIACIO LA FABRICA DE LA CIENCIA PROJECTE EDUCATIU  ,JORGE ONSULVE ORELLANA,"carrer sant martí, 44 ,08850 Gavà",,,,04/14/2016 12:00:00 AM,Educatives i de Lleure,3,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5547,,,
ASSOCIACIO MAIA NEPALI,CONSOL MOLINOS MONFORT,"carrer vila i vilà, 14 ,08850 Gavà",936336228,,,02/24/2016 12:00:00 AM,Acció Social,3,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5550,,,
ASSOCIACIO PEÑA DEL CORDOBA CF GAVA-LAS TENDILLAS,ANTONIO FERNANDEZ ARENAS,"carrer artur costa, 51 ,08850 Gavà",936625750,mesesesanz@hotmail.com,,02/18/2015 12:00:00 AM,Culturals,4,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2681,41.30334,2.0061214,"(41.30334, 2.006121)"
ASSOCIACIO TRES TOMBS GAVA,MONTSERRAT COS OLIA,"carrer sant isidre, 25 ,08850 Gavà",,trestombsgava@gmail.com,,03/16/2017 12:00:00 AM,Culturals,5,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5539,,,
ASSOCIACION DE PARADISTAS MERCAGAVÀ,PEDRO PINTO MORON,"rambla pompeu fabra, 85 ,08850 Gavà",,mercagava@gmail.com,,02/20/2012 12:00:00 AM,Comerç,40,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=322,41.309425,2.0028028,"(41.309425, 2.002803)"
ASSOCIACIÓ  D'ESCLEROSI MÚLTIPLE DEL BAIX LLOBREGAT,ANNA JÚLIA SOLER ROMAN,"rambla joaquim vayreda, 68 ,08850 Gavà",936628610,aemgava@telefonica.net,,10/08/2004 12:00:00 AM,Acció Social,54,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=328,,,
ASSOCIACIÓ AMICS DE LA SARDANA DE GAVÀ,MAGDALENA FARRERONS VIDAL,"carrer generalitat de catalunya, 7 ,08850 Gavà",936333618,,,06/17/1998 12:00:00 AM,Culturals,50,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=146,,,
ASSOCIACIÓ ARRELS  DE GAVÀRT ,MANUEL OLIVAS JÍMENEZ,"passeig joan maragall, 13 ,08850 Gavà",,,,06/21/2004 12:00:00 AM,Culturals,16,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=167,41.302616,2.00176,"(41.302616, 2.00176)"
ASSOCIACIÓ ATENEU POPULAR LA MÀQUIA,LAIA VALENTÍ ZURRIAGA,"carrer sant pere, 88 ,08850 Gavà",,ateneu@lamaquia.cat,,05/29/2013 12:00:00 AM,Culturals,38,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=340,41.303738,2.0005248,"(41.303738, 2.000525)"
ASSOCIACIÓ BASTONERS DE GAVÀ,BENET CASTILLEJOS,"carrer sarrià, 9 ,08850 Gavà",,contacte@bastonersdegava.cat,www.bastonersdegava.cat,01/27/2010 12:00:00 AM,Culturals,20,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=191,,,
ASSOCIACIÓ CAL NICANOR,VERONICA GRAU MARTINEZ,"carrer sant nicasi, 57 ,08850 Gavà",936626691,associacio.calnicanor@hotmail.com,,03/18/2010 12:00:00 AM,Acció Social,62,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=314,,,
ASSOCIACIÓ CATALANA D'AMICS DEL POBLE SAHRAUÍ DE GAVÀ  (ACAPS-GAVÀ),MARGARITA ROCA ORTIZ,"rambla joaquim vayreda, 31 ,08850 Gavà",,,,01/17/2011 12:00:00 AM,"Coop. Internacional, M. Ambient",20,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=313,,,
ASSOCIACIÓ CATALANA D'ENGINYERIA SENSE FRONTERES,IVAN MENAL LLORCA,"murcia,24, Barcelona",933022753,,,03/31/2009 12:00:00 AM,"Coop. Internacional, M. Ambient",648,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=300,41.415028,2.1887052,"(41.415028, 2.188705)"
ASSOCIACIÓ CATALANA DE FIBROSI QUÍSTICA,NURIA NIETO MANZANO,"passeig de la vall d' hebron ,208,08035 Barcelona",936382969,fqcatalana@fibrosiquistica.org,www.fibrosiquistica.org,03/03/2005 12:00:00 AM,Acció Social,402,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=258,41.43144,2.1458216,"(41.43144, 2.145822)"
"ASSOCIACIÓ CATALANA PER A LA COOPERACIÓ, L'ESPORT, EL DESENVOLUPAMENT I L'EDUCACIÓ (ACCEDE)",FRANCISCO JAVIER ESTEBAN MARTIN,"rambla pompeu fabra, 142-144 ,08850 Gavà",,ferlabella@icab.cat,,05/25/2010 12:00:00 AM,Acció Social,19,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=309,,,
ASSOCIACIÓ CENTRE CULTURAL DE GAVÀ,MOSSÈN JAUME BOGUÑÀ,"carrer sarrià, 9-11 ,08850 Gavà",936620538,,,01/19/2005 12:00:00 AM,Culturals,350,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=158,,,
ASSOCIACIÓ CINE-CLUB CIUTAT DE GAVÀ,JORDI GELIS BLASCO,"carrer castelldefels, 11 ,08850 Gavà",936336012,jgelis@aena.es,,04/14/2005 12:00:00 AM,Culturals,97,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=140,,,
ASSOCIACIÓ COLLA CASTELLERS DE GAVÀ,Carlos Francisco Artola Segura,"carrer sarrià, 9 ,08850 Gavà",936621235,castellersdegava@gmail.com,,05/02/2001 12:00:00 AM,Culturals,319,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=166,,,
ASSOCIACIÓ COL·LECTIU LA MATA DE JONC,MIQUEL ROSELLÓ LASHERAS,"carrer mare de déu de bruguers, 26 ,08850 Gavà",606591287,,,12/19/2013 12:00:00 AM,Culturals,7,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1361,,,
"ASSOCIACIÓ COMERCIAL ""L'ILLA DEL CENTRE""",PEDRO MORENO MORENO,"carrer major, 36 ,08850 Gavà",936620286,info@lillagava.com,,12/09/1996 12:00:00 AM,Comerç,86,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=229,41.304836,2.0056124,"(41.304836, 2.005612)"
ASSOCIACIÓ CULTURAL GITANA DE GAVÀ,TORCUATO FERNÁNDEZ FERNÁNDEZ,"carrer cal fuentes, 2 ,08850 Gavà",,,,03/23/2005 12:00:00 AM,Culturals,400,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=403,,,
ASSOCIACIÓ CULTURAL I ESPORTIVA DE LA POLICIA LOCAL DE GAVÀ,DIONISIO HUERTA SERNA,"avinguda diagonal, 21 ,08850 Gavà",,dhuerta@gava.cat,,04/30/2008 12:00:00 AM,Culturals,45,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=297,41.304947,1.9971061,"(41.304947, 1.997106)"
ASSOCIACIÓ CULTURAL L'ESPURNA,AGNÉS GINÉS BIDÓ,"carrer riera de les parets, 25 ,08850 Gavà",,,,12/23/2003 12:00:00 AM,Culturals,,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=218,,,
ASSOCIACIÓ CULTURAL LA RODA,ANTONIO HARILLO MARIN,"carrer joanot martorell, 4 ,08850 Gavà",934196890,info@produccionslaroda.com,www.produccionslaroda.com,01/25/2007 12:00:00 AM,Culturals,15,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=296,,,
ASSOCIACIÓ CULTURAL PENIEL,MANEL HERNÀNDEZ CARLES,"carretera santa creu de calafell, 131 ,08850 Gavà",,iglesiagava@hotmail.com,,,Culturals,3,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=178,,,
ASSOCIACIÓ CULTURAL TAZUMAL CATALUNYA - EL SALVADOR,JOSÉ MORALES I PARÉS,"carrer sant ramón ,3,08110 Montcada I Reixac",936333633,tazumal69@hotmail.com,,12/22/2005 12:00:00 AM,Culturals,16,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=266,41.497566,2.1827312,"(41.497566, 2.182731)"
ASSOCIACIÓ CULTURAL TEATREJOC,M. Jesús Batres Guijarro,"carrer guifré el pelós, 4 ,08850 Gavà",,manelcasti@wanadoo.es,,11/09/2004 12:00:00 AM,Culturals,5,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=243,,,
ASSOCIACIÓ CULTURAL TRÓPICO CAPRICORNIO,JUAN ANTONIO VITALI GARCIA,"carrer obradors, 13 ,08850 Gavà",,info@tropicocapricornio.com,,09/25/2008 12:00:00 AM,Culturals,3,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=188,,,
ASSOCIACIÓ D'ALUMNES I AMICS DE L'AFA ERAMPRUNYÀ DE GAVÀ,PIEDAD ESTÉVEZ GUERRERO,"avinguda eramprunyà, s/n ,08850 Gavà",936620704,,,03/23/2006 12:00:00 AM,Educatives i de Lleure,80,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=267,,,
ASSOCIACIÓ D'AMICS DEL MUSEU DE GAVÀ,RICARD CERVERA SEGURA,"plaça dolors clua, 13-14 ,08850 Gavà",932639610,rcervera@clinic.ub.es,,01/12/2005 12:00:00 AM,Culturals,290,http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=269,,,
