RAOSOCIAL,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,ICON
Electro Galery,"avinguda bertran i güell, 44, 08850 Gavà",936624292 ,electro@egalery.es,http://www.electrogalery.es,Logística - Distribució - Transport,41.29916,2.009107,"(41.29916, 2.009107)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4439,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
MJ Steps,"avinguda bertran i güell, 44, 08850 Gavà",930330047 674120992,,http://mjsteps.com/,Tèxtil - Calçat - Confecció,41.29916,2.009107,"(41.29916, 2.009107)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5313,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Cersa Mobles, SA","avinguda bertran i güell, 44, 08850 Gavà",936389049 ,gsoria@kibuc.com,http://www.kibuc.com,Fusta - Mobles,41.29916,2.009107,"(41.29916, 2.009107)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4398,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Star Baix, SL","avinguda bertran i güell, 50, 08850 Gavà",936389303 ,cre@starbaix.toyota.es,http://www.starbaix.toyota.es/,Taller mecànic - Reparacions - Concessionari,41.298225,2.009841,"(41.298225, 2.009841)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4630,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Centre d'Estètica Sara Navarro,"avinguda bòbiles, 20, 08850 Gavà",936622519 ,saranavarro1987@gmail.com,,Salut - Bellesa - Centres esportius,41.30406,1.993122,"(41.30406, 1.993122)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2302,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Delbicat, SL","avinguda europa, 31, 08850 Gavà",647771971 ,f.perez@cobertia.com,,Energia - Aigua - Gas,41.26968,2.021608,"(41.26968, 2.021608)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4428,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Jose Luis Pina Monzon,"avinguda joan carles i, 4, 08850 Gavà",936624949 ,,,Taller mecànic - Reparacions - Concessionari,41.298878,2.00314,"(41.298878, 2.00314)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4522,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Energy Generation Group, SL","carrer mare de déu de la mercè, 13, 08850 Gavà",936382106 ,,http://www.eg2solar.com,Energia - Aigua - Gas,41.30469,2.006833,"(41.30469, 2.006833)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4445,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Catalunya Caixa,"carrer progrés, 69, 08850 Gavà",936384129 ,oscar.moya@catalunyacaixa.com,http://www.catalunyacaixa.com,Banca - Finances,41.305733,2.004394,"(41.305733, 2.004394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5015,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Workingcomex, SL","rambla joaquim vayreda, 39, 08850 Gavà",936333592 658926218,info@wkcgestion.com,http://www.wkcgestion.com/,Altres serveis a empreses,41.304665,2.008416,"(41.304665, 2.008416)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5260,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Gonzalo Sierra Martínez,"carrer mare de déu de montserrat, 131, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.30862,1.999444,"(41.30862, 1.999444)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4478,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Francisco Ruiz Mesa,"carrer mare de déu de montserrat, 5, 08850 Gavà",936625887 ,,,Taller mecànic - Reparacions - Concessionari,41.303387,2.002047,"(41.303387, 2.002047)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4463,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Recambios Gavà, SL","passatge martí l'humà, 4, 08850 Gavà",936624408 ,,,Taller mecànic - Reparacions - Concessionari,41.303974,1.997796,"(41.303974, 1.997796)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4602,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"ABC Gavà, SL","carrer centre, 41-43, 08850 Gavà",936333230 ,abcgava@abcgrup.com,http://www.abcgrup.com,Construcció i derivats,41.305286,2.002594,"(41.305286, 2.002594)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4356,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Luis Rodríguez Romero,"carrer f. pi i margall, 2, 08850 Gavà",936626943 ,,,Fusta - Mobles,41.30813,1.997216,"(41.30813, 1.997216)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4546,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Juan Calvente Córdoba,"carrer generalitat de catalunya, 9, 08850 Gavà",936380576 ,,,Siderúrgia - Metal·lúrgia - Maquinària,41.30341,2.004413,"(41.30341, 2.004413)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4527,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Construcciones Zurriaga, SA","carrer major, 25, 08850 Gavà",936626061 ,administracio@zurriaga.com,http://www.zurriaga.com,Construcció i derivats,41.304394,2.005394,"(41.304394, 2.005394)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4413,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Confidencia Investigación,"rambla joaquim vayreda, 45, 08850 Gavà",936388630 ,Info@confidencia-investigacion.com,http://www.confidencia-investigacion.com/,Altres serveis a empreses,41.304703,2.008349,"(41.304703, 2.008349)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5084,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Centre d'Idiomes Isabel Pugès,"rambla joaquim vayreda, 49, 08850 Gavà",936629088 665827324,idiomes@isabelpuges.com,http://www.isabelpuges.com,Altres serveis a empreses,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5062,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Clymagas equipamientos y servicios,"rambla maria casas, 114, 08850 Gavà",934745202 ,,,Energia - Aigua - Gas,41.30727,2.005065,"(41.30727, 2.005065)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4400,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Jonathan Ortega Poyatos,"rambla pompeu fabra, 140, 08850 Gavà",647053730 ,,,Construcció i derivats,41.309814,2.003426,"(41.309814, 2.003426)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4521,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Censalu centre mèdic,"carrer general j. moragues, 6, 08850 Gavà",936335368 ,csrnav@hotmail.com,http://www.censalu.net,Salut - Bellesa - Centres esportius,41.306,1.994656,"(41.306, 1.994656)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4788,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Alu-Gavà,"carrer generalitat de catalunya, 8-14, 08850 Gavà",936621727 ,,,Siderúrgia - Metal·lúrgia - Maquinària,41.303425,2.004489,"(41.303425, 2.004489)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4365,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Zurexver, SCP","carrer joanot martorell, 8, 08850 Gavà",936384966 ,,,Taller mecànic - Reparacions - Concessionari,41.302147,2.000404,"(41.302147, 2.000404)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4659,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Vincelona, SL","carrer girona, 16, 08850 Gavà",931770770 ,,,Alimentació - Restauració,41.301678,2.011323,"(41.301678, 2.011323)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1083,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Mario Elaborats i carns SL,"avinguda bertran i güell, 13, 08850 Gavà",936628055 ,info@maelca.es,http://www.maelca.es,Alimentació - Restauració,41.300953,2.008108,"(41.300953, 2.008108)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5192,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Comercial Segura Juárez, SL","carretera santa creu de calafell, 24, 08850 Gavà",936384616 ,,http://www.gavaciutat.cat,Siderúrgia - Metal·lúrgia - Maquinària,41.30512,2.009931,"(41.30512, 2.009931)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4403,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Banesto,"rambla joaquim vayreda, 23, 08850 Gavà",936355162 ,,,Banca - Finances,41.304367,2.008874,"(41.304367, 2.008874)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5013,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Noves Distribucions Catalanes SL,"carrer creativitat, 8, 08850 Gavà",932101010 ,noudiscat@noudiscat.com,http://www.noudiscat.com,Logística - Distribució - Transport,41.2939,2.017011,"(41.2939, 2.017011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5199,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
QUESADA ASSESSORS,"avinguda diagonal, 1, 08850 Gavà",936388861 , jquesadago@gmail.com,http://www.quesadaassessors.com,Serveis jurídics - Gestories,41.304733,1.997588,"(41.304733, 1.997588)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5096,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Ferros Brugués, SA","carrer energia, 3-5, 08850 Gavà",936628411 ,contabilidad@ferrosbrugues.es,http://www.ferrosbrugues.com,Siderúrgia - Metal·lúrgia - Maquinària,41.29906,2.006178,"(41.29906, 2.006178)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4460,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Mundi Prat Ocasión, SL","carrer progrés, 40, 08850 Gavà",936384792 ,,,Taller mecànic - Reparacions - Concessionari,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4571,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Serveis Integrals d'Instal·lació,"carrer comte d'urgell, 5, 08850 Gavà", ,,,Electricitat - Electrònica - Òptica,41.304634,2.00547,"(41.304634, 2.00547)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4621,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Eosnet Sl,"carretera santa creu de calafell, 117, 08850 Gavà",936623180 ,eos@eosnet.es,http://www.eosnet.es,Altres serveis a empreses,41.301636,2.006739,"(41.301636, 2.006739)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=61,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Imaging Tech Iberia SL,"carrer pau vergós, 6, 08850 Gavà",936388282 ,,http://www.imagingtechiberia.com,Química - Farmàcia - Sanitat,41.301334,1.999961,"(41.301334, 1.999961)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4496,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Anper, SA","carrer progrés, 47, 08850 Gavà",936381200 ,info@anper.es,http://www.anper.es,Embalatges,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1025,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Sistemas de embalaje Anper, SA","carrer progrés, 47, 08850 Gavà",936381200 ,info@anper.es,http://www.anper.es,Arts gràfiques - Impressió - Paper,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4625,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Lampisteria Casa Llauna,"carrer rectoria, 3, 08850 Gavà",936381472 ,,,Construcció i derivats,41.304085,2.003482,"(41.304085, 2.003482)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4535,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"FARMA 5, SL","carrer salvador lluch, 5, 08850 Gavà",936380572 ,info@farma5.es,http://www.farma5.es,Sense classificar,41.305805,2.004651,"(41.305805, 2.004651)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5121,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Autotaller 2000, SCP","carrer sant isidre, 85, 08850 Gavà",936628311 ,,,Taller mecànic - Reparacions - Concessionari,41.30805,2.00279,"(41.30805, 2.00279)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4375,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Projectes DD, SCP","carrer sant josep oriol, 5, 08850 Gavà",936623111 ,,,Construcció i derivats,41.303635,2.002345,"(41.303635, 2.002345)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4590,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Vidre Cotxe Gavà, SL","carretera santa creu de calafell, 79, 08850 Gavà",936333308 ,,,Taller mecànic - Reparacions - Concessionari,41.302727,2.007621,"(41.302727, 2.007621)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4653,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Basar Sant lluís,"carrer sant lluís, 37, 08850 Gavà", 650019716,liv803@gmail.com,,Comerç Mix,41.307606,1.998426,"(41.307606, 1.998426)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4442,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
"Rodi Metro, SL","avinguda bertran i güell, 15, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.299408,2.00917,"(41.299408, 2.00917)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5308,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Caimsa, SA","avinguda bertran i güell, 15, 08850 Gavà",936627711 ,caimsa@caimsa.es,,Construcció i derivats,41.299408,2.00917,"(41.299408, 2.00917)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4386,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Tallers Pneutram, SL","avinguda bertran i güell, 25, 08850 Gavà",936388918 ,info@pneutram.com,http://www.pneutram.com/,Taller mecànic - Reparacions - Concessionari,41.299282,2.009541,"(41.299282, 2.009541)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4635,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Alfredo Mesalles, SA","avinguda bertran i güell, 25-27, 08850 Gavà",936382130 ,info@alfredomesalles.es,http://www.alfredomesalles.es,Recuperació industrial - deixalleria,41.299282,2.009541,"(41.299282, 2.009541)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4363,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Ebano Interiorismo y Decoración, SL","avinguda bertran i güell, 33-35, 08850 Gavà", ,,,Fusta - Mobles,41.298717,2.009896,"(41.298717, 2.009896)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5300,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"M. B. Benavent, SL","avinguda bertran i güell, 33-35, 08850 Gavà",936381467 ,esther@mbbenavent.es,http://www.centraldeelctrodomesticos.com,Electricitat - Electrònica - Òptica,41.298717,2.009896,"(41.298717, 2.009896)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4547,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Daballo, SL","avinguda bertran i güell, 37-39, 08850 Gavà",936629411 ,info@daballo.com,http://www.daballo.com,Logística - Distribució - Transport,41.29965,2.008949,"(41.29965, 2.008949)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4423,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Gros Mercat,"avinguda bertran i güell, 40, 08850 Gavà",936383535 ,dplanta209@miquel.es,http://www.grosmercat.es,Logística - Distribució - Transport,41.29939,2.008971,"(41.29939, 2.008971)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4595,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Rayen,"avinguda bertran i güell, 41-51, 08850 Gavà",936353000 ,rayen@rayen.com,http://www.rayen.com,Química - Farmàcia - Sanitat,41.297947,2.009594,"(41.297947, 2.009594)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4601,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Rio Import, SA","avinguda bertran i güell, 44 n. b, 08850 Gavà",936626163 ,postventagava@rioimport.es,http://www.rioimport.es,Taller mecànic - Reparacions - Concessionari,41.29916,2.009107,"(41.29916, 2.009107)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4611,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Corner de Lavado SL,"avinguda bertran i güell, 46, 08850 Gavà",936623145 ,,,Taller mecànic - Reparacions - Concessionari,41.298065,2.010292,"(41.298065, 2.010292)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5209,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Repsol Comercial de Productos Petrolíferos,"avinguda bertran i güell, 46, 08850 Gavà", ,,,Automoció i carburants,41.298065,2.010292,"(41.298065, 2.010292)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1761,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Ekipa tu estilo de vida SL,"avinguda bertran i güell, 53, 08850 Gavà",936389951 ,ekipatuestilodevida@gmail.com,http://www.ekipamuebles.com,Sense classificar,41.295998,2.012228,"(41.295998, 2.012228)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5203,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Plata Hermanos 94, SL","avinguda bertran i güell, 6, 08850 Gavà",936383700 ,platah@platah.com,http://www.platah.com,Química - Farmàcia - Sanitat,41.300808,2.007714,"(41.300808, 2.007714)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4586,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Pressan, SA","avinguda bertran i güell, 64, 08850 Gavà",936382288 ,cssa@cssa.es,,Altres,41.299408,2.00917,"(41.299408, 2.00917)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4588,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Midel, SA","avinguda bertran i güell, 64, 08850 Gavà",936382288 ,cssa@cssa.es,,Siderúrgia - Metal·lúrgia - Maquinària,41.299408,2.00917,"(41.299408, 2.00917)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4561,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Serviolsa, SL","avinguda bertran i güell, 64, 08850 Gavà",936382288 ,cssa@cssa.es,,Química - Farmàcia - Sanitat,41.299408,2.00917,"(41.299408, 2.00917)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4622,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Complementos Sanitarios, SA","avinguda bertran i güell, 64, 08850 Gavà",936382288 ,cssa@cssa.es,http://www.complementossanitrios.com,Química - Farmàcia - Sanitat,41.299408,2.00917,"(41.299408, 2.00917)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4459,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Fenoquímica, SA","avinguda bertran i güell, 64, 08850 Gavà",936382288 ,cssa@cssa.es,,Construcció i derivats,41.299408,2.00917,"(41.299408, 2.00917)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4406,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Gráficas Contraste, SL","avinguda bertran i güell, 72, 08850 Gavà",936335880 ,cristina@gfcontraste.com,http://www.gfcontraste.com,Arts gràfiques - Impressió - Paper,41.296024,2.011728,"(41.296024, 2.011728)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4480,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Olivé Química, SA","avinguda bertran i güell, 78, 08850 Gavà",936629911 ,mail@olivequimica.com ,http://www.olivequimica.com,Química - Farmàcia - Sanitat,41.2948,2.01265,"(41.2948, 2.01265)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4573,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Dilube, SA","avinguda bertran i güell, 78, 08850 Gavà",936629911 ,,http://www.dilube.com,Química - Farmàcia - Sanitat,41.2948,2.01265,"(41.2948, 2.01265)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4432,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Liliartphoto,"avinguda joan carles i, 44, 08850 Gavà",675724324 ,info@liliartphoto.es,http://www.liliartphoto.es,Turisme - Cultura - Oci,41.29926,2.003772,"(41.29926, 2.003772)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5085,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Butsir Camping, SA","avinguda mar, s/n, 08850 Gavà",936381232 ,gava@butsir.com,http://www.butsir.com,Química - Farmàcia - Sanitat,41.281975,2.018639,"(41.281975, 2.018639)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4384,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Jardineria Bordas,"avinguda mar, s/n, 08850 Gavà",936381780 ,info@jardineriabordas.com,http://www.jardineriabordas.com,Agricultura - Jardineria,41.281975,2.018639,"(41.281975, 2.018639)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4518,http://continguts.intra.gavaciutat.net/documents/76203/2268237/agricultura.png
"Vivers Barri, SL","cami ral de barcelona a valència, 187, 08850 Gavà",936622199 ,info@viversbarri.com,http://www.viversbarri.com,Agricultura - Jardineria,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4655,http://continguts.intra.gavaciutat.net/documents/76203/2268237/agricultura.png
"Gabarró Hermanos, SA","cami ral de barcelona a valència, s/n, 08850 Gavà",937484838 ,ventas@gabarro.com,http://www.gabarro.com,Fusta - Mobles,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4467,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Fusteria Bennasar SL,"carrer andorra, 4, 08850 Gavà",936622909 ,j620882841@vodafone.es,,Fusta - Mobles,41.306194,2.011681,"(41.306194, 2.011681)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4464,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
