ProvinciaNaixement,DataNaixement
ABADIN,3
LLAGOSTERA,1
IZNALLOZ,5
ALBANIA,8
POBRA DO CARAMIÑAL (A),1
SANTA INES,1
ALMOROX,1
GIRONELLA,2
SAN SILVESTRE DE GUZMAN,1
SANT CUGAT DEL VALLES,19
ABADIA,1
ROSAL DE LA FRONTERA,5
MONTGAI,1
VILLANUEVA DEL ACERAL,1
PIÑA DE ESGUEVA,1
CAZALLA DE LA SIERRA,10
ZUBIA (LA),1
CARCASTILLO,1
MOLINS DE REI,9
ARJONILLA,25
CABRA,6
TERUEL,23
ALDEA (L'),3
CABANYES (LES),1
HERENCIA,1
CUALEDRO,2
CIUDAD REAL,13
SANT VICENÇ DE CASTELLET,5
BELALCAZAR,1
UBRIQUE,4
ARIZA,1
ELIANA (L'),1
JIMENA,3
TOSSA DE MAR,1
VILLAESCUSA,1
CARBALLEDA DE VALDEORRAS,1
MIAJADAS,3
BELLVEI,1
ACEUCHAL,1
MENGIBAR,9
AIBAR,1
GINETA (LA),3
TAMUREJO,1
HUESA,1
VILAMARXANT,2
SANLUCAR DE BARRAMEDA,10
CORTES DE ARAGON,1
MONTILLA,20
SAN SEBASTIAN DE LOS BALLESTEROS,2
CAÑIZAR DEL OLIVAR,1
VALLIBONA,4
SOTO Y AMIO,1
JABALQUINTO,5
TORREJONCILLO DEL REY,1
PUEBLA DEL MAESTRE,2
CAMPOTEJAR,2
ALMADEN,12
SALDAÑA,1
CARTES,1
LANGA DE DUERO,1
PEÑALSORDO,8
GRADO,2
SARROCA DE BELLERA,2
BURGO (EL),1
SANT SALVADOR DE GUARDIOLA,1
ALCANAR,1
CERVIA DE LES GARRIGUES,4
PIAS,6
FABERO,5
VALDEMORO,2
MONTURQUE,6
MOLLET DEL VALLES,30
SESTAO,1
MILMARCOS,1
COLL DE NARGO,1
ALCANTARA,2
SANT HILARI SACALM,3
ESTEPONA,7
PALAMOS,1
LABORES (LAS),3
PUIGCERDA,9
MASIES DE VOLTREGA (LES),1
COSA,1
ALFES,1
VILLAFRANCA DE CORDOBA,3
CARCHELES,1
BORGES DEL CAMP (LES),1
MOJADOS,1
MUTXAMEL,1
BENALUA DE GUADIX,301
PORCUNA,11
LEIVA,2
CUDILLERO,3
FERROL,10
CORTES DE BAZA,4
GERENA,2
ONTUR,1
CANTAVIEJA,1
RAFAL,2
LLERENA,15
FRADES,1
HUMADA,1
RUSIA,339
MANCHA REAL,3
ZAFRILLA,1
TAMARITE DE LITERA,2
SEROS,1
COZAR,3
SIRIA,9
CAÑETE DE LAS TORRES,9
PUEBLA DE VALVERDE (LA),1
GUARDIA DE JAEN (LA),1
MONFORTE DE LEMOS,3
ALAMEDA,21
PELIGROS,1
CROACIA,1
BAENA,61
KIRGVISTAN,1
ADEJE,2
MONSERRAT,1
CAMARENA DE LA SIERRA,1
CISTIERNA,2
CASTILLO DE LOCUBIN,11
MAMBLAS,2
GRADO (EL),2
ARGANDA DEL REY,4
CALVIA,1
GALLARDOS (LOS),8
ARROYO DE LA LUZ,1
VIMBODI,2
AUSTRALIA,18
MORALES DE CAMPOS,1
LANGREO,7
BOLA (A),1
SANTA PERPETUA DE MOGODA,2
LECIÑENA,1
CORDUENTE,1
MORAÑA,1
FUENTE DE SAN ESTEBAN (LA),1
ESPLUGA CALBA (L'),1
HUELAGO,2
ALCUDIA,2
FOGARS DE MONTCLUS,1
VILAGARCIA DE AROUSA,2
PERALEJOS DE LAS TRUCHAS,1
ALQUIFE,20
CUENCA,21
ALLO,1
ARAUZO DE MIEL,2
OLERDOLA,2
MONISTROL DE MONTSERRAT,5
FUENTE DE CANTOS,14
CAUDETE,8
MARMOLEJO,4
PIZARRA,1
NOVELDA,1
ROCIANA DEL CONDADO,5
VALLBONA DE LES MONGES,2
CALAMOCHA,2
VILADECANS,1561
CANYELLES,2
OÑATI,2
MELILLA,32
ALBUERA (LA),2
VILALBA,2
PERALTA,2
BORGES BLANQUES (LES),6
TREMP,13
NAUT ARAN,1
SOTRESGUDO,1
TARAZONA DE LA MANCHA,1
CESURAS,1
CALAHORRA,1
BARRUELO DE SANTULLAN,4
AYNA,2
CAMARZANA DE TERA,1
FAYON,10
CORTE DE PELEAS,2
VILLAR DE CIERVO,1
VILASSAR DE MAR,7
PAJARONCILLO,1
BOGAJO,1
BARAKALDO,26
DOMINICA,1
CASTELLAR DE N'HUG,4
REPUBLICA DE COREA,7
TORREJON DE ARDOZ,3
AYERBE,2
NAVALMORAL DE LA MATA,6
HUETOR DE SANTILLAN,2
YEMEN,1
BERGONDO,1
MONTBRIO DEL CAMP,1
VILLABRAZARO,1
FUENTE DEL MAESTRE,7
HUETOR TAJAR,1
ARCHENA,1
MOLARES (LOS),4
CENTELLES,1
AMPOSTA,3
LORQUI,7
CERVATOS DE LA CUEZA,1
HUELMA,12
BUENDIA,2
ISRAEL,15
GAUCIN,3
MARRUECOS,946
GASTOR (EL),1
TORREVIEJA,5
ORGIVA,14
GUINGUETA D'ANEU (LA),1
BELMEZ DE LA MORALEDA,7
CARRION DE LOS CESPEDES,1
CABEZAS DE SAN JUAN (LAS),10
PAISES BAJOS,49
ILLUECA,1
HORNACHOS,5
VITORIA-GASTEIZ,8
SANTOVENIA DE PISUERGA,1
SIERO,1
TIEMBLO (EL),1
OLIVELLA,3
VALDES,1
BASAURI,1
ONIL,1
GUIAMETS (ELS),2
ITALIA,166
CARPIO DE AZABA,1
CABAÑAS DE YEPES,2
REAL DE LA JARA (EL),1
NAVAL,1
BENABARRE,1
VILLAHARTA,1
BUSTARVIEJO,2
LUBRIN,19
PIÑAR,2
VILLALGORDO DEL JUCAR,1
BOLIVIA,107
SOCUELLAMOS,4
CASARES,1
ALMENDRAL,9
CINCTORRES,5
ARZUA,25
RUA (A),2
CUNTIS,1
JIMENA DE LA FRONTERA,15
CERCS,9
MASUECO,1
GUARDO,1
BOLLULLOS DE LA MITACION,1
PORTUGALETE,1
TORRALBA DE LOS SISONES,1
VIANA DO BOLO,4
TALARRUBIAS,1
SITGES,73
CATRAL,3
PEREIRO DE AGUIAR (O),1
PAJARES DE LOS OTEROS,1
ZARAUTZ,1
TIERZO,2
BERGASA,2
BENAVENTE,8
PERELLO (EL),5
PUEBLA DEL RIO (LA),9
GALENDE,1
BRION,2
EJEA DE LOS CABALLEROS,6
VILLASUR DE HERREROS,1
AGUILAS,20
TORRE-PACHECO,2
SANTIBAÑEZ DE VALCORBA,1
CAÑIZA (A),1
SANT JULIA DE VILATORTA,1
VILA-SECA,2
SANTA COLOMA DE QUERALT,5
VILLANUEVA DE GOMEZ,1
OLULA DEL RIO,11
PURULLENA,28
CAMPO DE CRIPTANA,1
GUINEA ECUATORIAL,8
CABOLAFUENTE,10
MAURICIO,1
CARAVACA DE LA CRUZ,97
ALMOHARIN,6
MORA DE RUBIELOS,2
CANILLAS DE ESGUEVA,1
TAZACORTE,1
MOTRIL,18
AHILLONES,11
ALHAMA DE GRANADA,10
PITARQUE,1
PINOS PUENTE,18
VALLANCA,2
JACARILLA,1
ALANIS,20
NULES,2
PUERTO DE LA CRUZ,2
VILLABUENA DEL PUENTE,5
JIJONA/XIXONA,1
CARLOTA (LA),12
MORA LA NOVA,2
AMURRIO,1
RUBIELOS DE MORA,1
DONOSTIA-SAN SEBASTIAN,19
PONFERRADA,17
GERGAL,10
SALCEDA DE CASELAS,1
JEREZ DE LA FRONTERA,38
ARANJUEZ,1
PRUNA,7
VELEZ-BLANCO,13
BONETE,2
CANTILLANA,10
AUSTRIA,8
JARAIZ DE LA VERA,4
ALHENDIN,1
TARRAGONA,64
LLIRIA,3
VILLAMARTIN,12
BERLANGAS DE ROA,1
MACEDONIA,1
SALAS DE PALLARS,1
KAZAJSTAN,11
EIBAR,7
SANTA EUFEMIA,3
SAMOS,1
SEVILLA,187
ESPINOSO DEL REY,2
RIBA-ROJA D'EBRE,4
SARRIA DE TER,2
IRIXO (O),1
SANTA MARIA DEL CAMPO RUS,2
ALCANTARILLA,2
BADAJOZ,57
MOLDAVA,33
POSADAS,16
VALDEVIMBRE,1
POZORRUBIELOS DE LA MANCHA,1
PIEDRATAJADA,1
PUENTEDURA,1
VILLARALTO,2
NAVA DE ROA,1
CHANTADA,2
PORTOMARIN,2
ZARZA LA MAYOR,6
NERVA,12
TORRES,6
CAMBIL,3
CASTILLO DE LAS GUARDAS (EL),1
VILLADANGOS DEL PARAMO,1
ALMENDRALEJO,4
CAÑAR,2
VILLANUEVA DEL FRESNO,20
ESPERA,17
RETORTILLO DE SORIA,1
NICARAGUA,16
CORTEGADA,1
BRAFIM,2
RIOS,1
ALMONASTER LA REAL,1
GRANADA (LA),1
MORELLA,3
ATARFE,7
ALCAINE,1
TALAVERA LA REAL,4
CASTELLAR DE SANTIAGO,1
GALAROZA,1
CABREROS DEL RIO,2
BALAGUER,3
MIRAVETE DE LA SIERRA,1
FEREZ,1
RIPOLL,8
REAL DE MONTROI,1
ALCALA DEL VALLE,1
ZAMORA,20
SUECIA,13
ZAIDIN,3
MATARO,28
ARAHAL,7
ZUJAR,6
IBI,1
MEIRA,2
REINOSO DE CERRATO,1
FERNAN-NUÑEZ,2
SAN JUAN DEL PUERTO,1
CASTELLNOU DE SEANA,1
PORQUEIRA,1
TORRECAMPO,14
SANTA EULALIA DE RONÇANA,1
VENTA DE BAÑOS,3
MEQUINENZA,4
PIERA,6
MORA,3
PUEBLA DE LOS INFANTES (LA),2
SANTAELLA,17
SOLANA DE LOS BARROS,1
VILLARTA DE LOS MONTES,2
RIOTUERTO,1
BENASAL,2
LAREDO,1
CARRASCOSA,1
BRASIL,284
CALLUS,2
LANTEIRA,6
ALENTISQUE,2
VENTAS DE HUELMA,3
TORRES DE SEGRE,1
ZARZA DE GRANADILLA,1
SAUS,1
VALDEPEÑAS,16
MIRAMBEL,1
DUMBRIA,1
PUNXIN,1
ENCINAS REALES,2
BARBADILLO DEL PEZ,1
FIGOLS,1
ALMORADI,1
BURGUILLOS DEL CERRO,4
MANILVA,2
CAMERUN,2
BOGARRA,4
ARBUCIES,2
FUENTES DE ROPEL,3
CASERES,1
MONTEAGUDO DE LAS VICARIAS,1
ALMEDINILLA,4
BELL-LLOC D'URGELL,2
CARRION DE LOS CONDES,1
TARANCON,2
ALGUAZAS,1
GARRUCHA,2
GARROVILLA (LA),1
OLIVA DE MERIDA,5
VILLASECA DE HENARES,4
NALDA,1
LLAGOSTA (LA),2
MORAL DE CALATRAVA,2
MONTELLANO,123
VALVERDE DE LLERENA,2
CASTRO CALDELAS,2
CUBELLES,10
OLBA,1
ALCALA DEL RIO,8
GRANOLLERS,17
SANT MARTI SESGUEIOLES,2
HOYOS,1
SABIOTE,2
ARCHEZ,4
TORROX,1
SAN CIBRAO DAS VIÑAS,2
PAYMOGO,1
GUEJAR SIERRA,6
SANTA COLOMA DE CERVELLO,9
MURIAS DE PAREDES,3
BARCIENCE,1
BENISSANET,2
MANLLEU,9
LIBRILLA,5
MONTORNES DEL VALLES,2
FUENLABRADA DE LOS MONTES,2
CABEZA DEL CABALLO,1
LAVIANA,1
CARDENETE,5
VILALBA DELS ARCS,1
SANTA PAU,1
BELLVER DE CERDANYA,2
GUMIEL DE MERCADO,1
ALFARRAS,2
MONTEMAYOR,4
GARRIGA (LA),1
BURRIANA,2
OLESA DE BONESVALLS,14
BERCERO,1
GUDIÑA (A),1
CASTRO DE FILABRES,2
CAÑAMERO,3
PUERTA DE SEGURA (LA),9
VILLAR DE CAÑAS,1
BADALONA,121
ALICANTE/ALACANT,40
VILARIÑO DE CONSO,1
JAEN,47
PONT DE SUERT (EL),6
TOCINA,20
ANNA,3
PEDRO ABAD,16
EPILA,2
CAMINOMORISCO,1
SOLSONA,2
LASPAULES,1
SAN PEDRO BERCIANOS,1
AHIGAL,1
SALVATERRA DE MIÑO,5
MONTANCHEZ,1
ALAMEDA DE GARDON (LA),6
SANLUCAR DE GUADIANA,1
SANTURTZI,3
SOLANA (LA),2
HUERTA DE VALDECARABANOS,2
VALLE DEL ZALABI,7
BERLANGA,4
ESPIEL,9
CADIAR,1
LASCELLAS-PONZANO,6
URDA,1
SALT,2
NAVA DEL REY,1
SAN ADRIAN,1
FORADADA,1
VID Y BARRIOS (LA),1
FUENTES DE EBRO,1
NEVES (AS),1
SANT JOAN DESPI,19
HUERTA,1
TAHAL,1
VAJOL (LA),1
TERESA DE COFRENTES,2
ALHAMA DE ALMERIA,5
ARIÑO,1
VILLAR DEL REY,4
SANT LLORENÇ D'HORTONS,1
ALAMEDILLA (LA),1
LERMA,2
FUENTESOTO,1
GUITIRIZ,3
VILLAFRANCA DEL BIERZO,1
SAN ESTEBAN DE LITERA,1
ALICUN DE ORTEGA,5
MONTCADA I REIXAC,7
CERDANYOLA DEL VALLES,7
MUGARDOS,1
RIBAS DE SIL,2
PERALEDA DEL ZAUCEJO,1
CHECA,1
GUILLENA,2
HORRA (LA),2
ENTRIMO,1
ALCORISA,5
CESPEDOSA DE TORMES,3
HONDURAS,113
ALCONADA,1
QUINTANAS DE GORMAZ,1
HAITI,2
VALSEQUILLO,1
VILLANUEVA DEL ROSARIO,19
GAMBIA,6
CANGAS DEL NARCEA,4
CANDIN,3
CONSTANTINA,18
VILLORA,3
RIPOLLET,4
CANENCIA,1
RASQUERA,1
CHICLANA DE SEGURA,36
VILLALAR DE LOS COMUNEROS,1
BURGOS,39
SAVIÑAO (O),3
PUERTO REAL,1
GORMAZ,1
POZUELO DE CALATRAVA,2
AVILA,13
GIBRALEON,2
BIESCAS,1
FREGENAL DE LA SIERRA,5
CACIN,1
MENDAZA,1
VALVERDE DE BURGUILLOS,1
ALBA DE CERRATO,3
FATARELLA (LA),1
SAN PEDRO,3
PUÇOL,1
BAYARCAL,5
MORILES,14
RIERA DE GAIA (LA),2
ANDUJAR,7
SABADELL,80
QUART DE POBLET,2
CABEZARRUBIAS DEL PUERTO,1
CATOIRA,1
TARREGA,7
ALLOZA,1
RENIEBLAS,1
BARBENS,1
ALBAGES (L'),1
TEIA,3
MARTOS,8
QUINTANA DE LA SERENA,2
VILLENA,1
PARACUELLOS DE JILOCA,1
BIENSERVIDA,3
MISLATA,1
ESPLUGUES DE LLOBREGAT,357
GUAREÑA,4
HINOJAL,2
AGUDO,11
CAMPRODON,1
MERINDAD DE VALDIVIELSO,2
MONACO,1
LANGAYO,1
TRAGACETE,1
HOYOS DEL ESPINO,1
EJULVE,7
SAN FERNANDO,5
TARAZONA,1
ETIOPIA,7
OSOR,1
LEGAZPI,1
MONTALBAN DE CORDOBA,5
ROYUELA,1
LEZUZA,2
CHURRIANA DE LA VEGA,1
BAIX PALLARS,1
LOSAR DE LA VERA,2
MEZQUITA DE JARQUE,1
RIOPAR,5
VILLALMANZO,1
CABEZON DE PISUERGA,1
CASARABONELA,2
VILLAR DEL ARZOBISPO,1
PEÑALEN,1
COLMENAR,1
ALGABA (LA),3
ESCALANTE,1
JEREZ DE LOS CABALLEROS,2
MONTEJICAR,4
VILLAVICENCIO DE LOS CABALLEROS,1
SAN PEDRO DEL PINATAR,1
ZAFRA,15
GALLEGOS DE ARGAÑAN,1
RAFALES,1
MANRESA,36
ORDIZIA,3
VILLATORRES,1
RUMANIA,325
FUENSANTA DE MARTOS,1
OLOCAU,32
HUNGRIA,11
HERRERA DE LOS NAVARROS,2
BELMONTE DE GRACIAN,1
CALIG,1
ALGODONALES,27
OURENSE,20
TORRELAVEGA,2
HUESCAR,10
BIOTA,1
CARDONA,5
ARACENA,8
BLANES,3
HOYALES DE ROA,2
SANT MATEU,5
BELGICA,35
CAÑETE,1
LOPERA,4
TORRENT,2
ALFAS DEL PI (L'),1
JARAFUEL,2
REBOLLEDO DE LA TORRE,1
HORCAJO DE SANTIAGO,2
CUERVO DE SEVILLA (EL),1
CILLEROS,1
ALFORQUE,1
GANDIA,5
ROSES,4
SANTA EULALIA,1
LOBON,9
VILLAVA/ATARRABIA,2
SALAS DE LOS INFANTES,1
SANTA COMBA,1
PUERTO SERRANO,2
MASEGOSA,2
TORRECILLA DEL REBOLLAR,1
GUADALEST,1
SANTANDER,20
ESTEPA,5
BENICASIM/BENICASSIM,1
SUDAFRICA,1
TORRECILLAS DE LA TIESA,3
CIEZA,4
ESPARREGUERA,10
JOARILLA DE LAS MATAS,1
PUENTE GENIL,38
COSPEITO,3
MONTIZON,2
BOBORAS,1
TOTANA,5
BEJIS,1
ARICO,1
PERERUELA,1
SUECA,1
BECERREA,2
HOYA-GONZALO,1
PEDROSO (EL),55
SAN JOSE,2
GABALDON,3
MONCADA,2
ALMENARA,2
ANGOLA,3
CERVILLEGO DE LA CRUZ,1
ALMARGEN,1
FABARA,1
TITAGUAS,1
VALLCEBRE,2
MALASIA,1
BANYERES DE MARIOLA,1
LIBROS,5
VESPELLA DE GAIA,3
TORRE DEL BIERZO,6
VILLAVERDE DE GUADALIMAR,1
MOLINA DE SEGURA,3
VALENCIA DE DON JUAN,1
SERREJON,1
CAMPANA (LA),5
MASROIG (EL),6
COGECES DEL MONTE,6
PEDRO MUÑOZ,1
MAÇANET DE LA SELVA,1
SARRIA,9
ESTERRI D'ANEU,1
BELMONTEJO,4
VILLANUEVA DEL RIO SEGURA,1
PADRENDA,1
BELLPUIG,8
POBO DE DUEÑAS (EL),1
ISONA I CONCA DELLA,1
BELVER DE CINCA,2
PALMA DEL CONDADO (LA),2
BAILO,1
VALDELOSA,1
RAMBLA (LA),6
ALDEHUELA (LA),1
AYALA/AIARA,1
CASTILBLANCO DE LOS ARROYOS,1
VILADA,1
PINEDA DE MAR,2
TORRUBIA DE SORIA,1
TAMAMES,1
CASARICHE,1
USAGRE,3
GUINEA,4
TODOLELLA,1
JARANDILLA DE LA VERA,1
GRANJA (LA),1
NAVARRES,3
SIERRA DE YEGUAS,3
TRABAZOS,1
HUELVA,33
NAVAS,1
PUEBLA DE HIJAR (LA),10
ANIÑON,1
SANT MIQUEL DE CAMPMAJOR,1
NUÑOMORAL,8
AMES,2
ALMEDINA,6
SANTA MARGARIDA I ELS MONJOS,1
MUROS DE NALON,1
TORRE D'EN BESORA (LA),2
FRESNEDA (LA),3
CASTELLO DE FARFANYA,1
SALVATIERRA DE TORMES,2
NONASPE,7
CAZORLA,11
GUARROMAN,2
VILLALBA DE PEREJIL,2
SABIÑAN,1
INDIA,124
DARRO,26
ARDALES,1
ARTESA DE LLEIDA,2
SUDANELL,1
MIRANDILLA,15
VILLAMANRIQUE,2
TORREFETA I FLOREJACS,1
ARJONA,1
LONGARES,1
HERGUIJUELA DE CIUDAD RODRIGO,1
VAL DO DUBRA,1
OSUNA,10
CALAFELL,13
CALLOSA D'EN SARRIA,1
BERZOCANA,1
AHIGAL DE LOS ACEITEROS,1
UTIEL,3
REPUBLICA DOMINICANA,97
CALANDA,4
GETXO,3
ORGANYA,1
TUDELA,1
VILLANUEVA DEL DUQUE,6
RONDA,35
CAJAR,1
VILAFRANCA DE BONANY,1
JACA,7
VILLANUEVA DE TAPIA,1
ALGADEFE,1
PEAL DE BECERRO,3
BONILLO (EL),1
GALLIFA,1
REPUBLICA CHECA,10
CANILLAS DE ACEITUNO,25
CABIA,1
FALSET,2
EIVISSA,6
GALDAR,1
ALDEADAVILA DE LA RIBERA,2
CHINA,205
LUGO,15
PRAT DE LLOBREGAT (EL),94
CEROLLERA (LA),1
IVORRA,1
SUELLACABRAS,1
BATEA,3
SANTIAGO-PONTONES,3
HERVAS,2
PAMPLONA/IRUÑA,32
NACIMIENTO,2
LLEIDA,64
VILLANUEVA DEL TRABUCO,3
BAÑEZA (LA),2
NUEVALOS,1
BUSTILLO DE LA VEGA,1
UTRERA,35
AYAMONTE,2
ALMANSA,3
POBRA DE TRIVES (A),2
CERECINOS DE CAMPOS,1
CAMPILLO DE ALTOBUEY,1
SEU D'URGELL (LA),6
ALEMANIA,198
AZUAGA,92
MEDINA DEL CAMPO,2
POBLA DE CLARAMUNT (LA),2
QUINTANAR DE LA ORDEN,2
PARAGUAY,80
REDOVAN,32
GARRIGUELLA,1
BALSA DE VES,2
CORRALES,1
SANTA LUCIA DE TIRAJANA,4
MEXICO,62
CASTELLANOS DE MORISCOS,1
BORNOS,4
ADRA,6
CREVILLENTE,2
VILLANUEVA DE LOS INFANTES,3
PEDRALBA DE LA PRADERIA,1
CASAS DE DON PEDRO,1
PUEBLA DE LA CALZADA,1
VALENZUELA,8
PORTBOU,1
HONTANAYA,4
SELLA,2
SOMIEDO,1
ALHAMA DE MURCIA,3
VELLIZA,1
CARBONEROS,1
BENQUERENCIA DE LA SERENA,1
ALCAZARES (LOS),2
ESTONIA,3
PUIGVERD DE LLEIDA,1
VILLANUEVA DE LA REINA,1
CINTRUENIGO,1
GODALL,3
ALPENS,1
BOIRO,1
ALMENDROS,1
LETONIA,7
ALMOINES,1
RIBESALBES,1
CARIÑENA,7
CULLERA,1
MUIÑOS,1
INDONESIA,1
NOIA,2
SAN VICENTE DEL PALACIO,1
VILLANUEVA DE LA FUENTE,1
JAMAICA,2
SANT JOSEP DE SA TALAIA,1
TORTOSA,33
ALELLA,5
OLIVA DE LA FRONTERA,12
RODA DE BARA,3
TORRELLES DE FOIX,1
CAMPANARIO,1
ERCINA (LA),1
ATECA,3
POLOPOS,3
GUNTIN,3
SADA,2
PERDIGON (EL),1
HORTA DE SANT JOAN,3
BELIANES,1
BRIVIESCA,1
AGRON,1
NAVARCLES,5
VILLASBUENAS DE GATA,3
ALGATOCIN,1
SAN MARTIN DE PUSA,1
CANTORIA,5
BOLO (O),1
PERALES DEL ALFAMBRA,1
CORNELLA DE LLOBREGAT,123
SANTO DOMINGO DE SILOS,1
SANTO DOMINGO DE LA CALZADA,1
BAEZA,4
GELSA,1
ALBATANA,1
LITUANIA,10
BISBAL D'EMPORDA (LA),1
CABEZAS RUBIAS,2
MARBELLA,2
ASCO,2
FUERTE DEL REY,8
OSSO DE CINCA,1
RETAMAL DE LLERENA,1
BALBOA,2
ANTEQUERA,34
AZNALCAZAR,1
CULLAR VEGA,1
MONTEJO DE LA SIERRA,1
PAREDES DE NAVA,1
SANTA FE,5
IBAHERNANDO,1
VILAMALLA,1
TRES VILLAS (LAS),1
VILAPLANA,1
GIRONA,24
ALFARNATE,1
RUTE,13
ARCHIDONA,7
CABANELLES,1
CARUCEDO,2
SAN CRISTOBAL DE LA LAGUNA,2
CASTELLNOVO,1
MATILLAS,1
PALANQUES,1
VILLAR DEL SALZ,1
GEMA,1
MALPICA DE BERGANTIÑOS,1
OTURA,2
NAVAS DE LA CONCEPCION (LAS),12
MAS DE LAS MATAS,1
MILAGRO,1
ARMUÑA DE ALMANZORA,1
CAMPILLO DE ARENAS,2
ORELLANA LA VIEJA,1
CASAR DE CACERES,2
PLASENCIA,7
HIGUERUELA,1
SEGOVIA,10
ARGENTONA,1
CERRO DE ANDEVALO (EL),3
PUEBLA DE SANCHO PEREZ,1
CASTELLOTE,2
CUEVAS DE SAN MARCOS,5
SANTO TOME,7
LAHIGUERA,3
PINO DE TORMES (EL),1
VILLALBA DE LOS BARROS,1
SAN VICENTE DE ALCANTARA,3
VILLANUEVA DE ALGAIDAS,30
CARTELLE,4
ALBALADEJO,10
SAN MIGUEL DE VALERO,3
SAN AMARO,2
ALBALATE DEL ARZOBISPO,2
FRADES DE LA SIERRA,1
VEJER DE LA FRONTERA,1
CALAF,1
SILES,2
MEDELLIN,6
HINOJOSA DEL VALLE,2
OLMILLOS DE CASTRO,1
ESCALONA,1
TORRELLES DE LLOBREGAT,2
SANT QUIRZE DEL VALLES,4
ARCOS DE LA FRONTERA,11
LLERA,1
VALENCIA,74
DOLAR,11
VILLATURIEL,2
ESTOPIÑAN DEL CASTILLO,2
BANDE,1
ILLORA,12
GARGALLO,1
NIGUELAS,1
CUBO DE DON SANCHO (EL),2
BUÑOL,1
MAHORA,14
ZAFARRAYA,2
LORA DEL RIO,43
RIOJA,3
PEDRO MARTINEZ,9
MOLLERUSSA,1
CARTAYA,1
ALBUÑOL,5
NAVALMANZANO,1
DOS TORRES,2
BINEFAR,4
MONTORO,17
NOGALES,3
VIGO,18
BENAVIDES,2
CENLLE,1
MALI,8
CORBERA DE LLOBREGAT,7
CIUDAD RODRIGO,3
SANT JUST DESVERN,6
AMETLLA DE MAR (L'),1
SAN ANDRES DEL RABANEDO,1
IGUALEJA,2
ATAUN,1
CANALS,1
SANT JAUME D'ENVEJA,1
PEGALAJAR,3
GUADALMEZ,6
MONTERREI,1
ALDEIRE,7
VILLARES DE ORBIGO,1
OBEJO,1
ONTINYENT,3
SAN ROQUE,14
HIGUERA DE CALATRAVA,1
SAN XOAN DE RIO,2
ASTORGA,3
RUANES,1
SURIA,11
FUENTES DE RUBIELOS,3
VILLARTA DE SAN JUAN,1
ANGLES,1
LOGROÑO,12
OLOCAU DEL REY,1
ALBUDEITE,1
HERRUMBLAR (EL),1
VALLE DE ABDALAJIS,2
VALSEQUILLO DE GRAN CANARIA,2
FUENTE ALAMO DE MURCIA,11
VILAFAMES,1
CASTELLFOLLIT DEL BOIX,1
PANCORBO,1
VALLADOLID,41
LUXEMBURGO,2
JUMILLA,3
FRIOL,1
SAN LORENZO DE CALATRAVA,1
ASPE,2
ALMARAZ,1
POVEDA DE SORIA (LA),1
PECHINA,4
JAPON,3
