NOM,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,icon
El Cantó ,"carrer generalitat de catalunya, 6, 08850 Gavà",697332630 ,,,Bar - Restaurant,41.303432,2.004634,"(41.303432, 2.004634)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4170,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Sentits,"carrer riera de sant llorenç, 51, 08850 Gavà",936383939 687203976,,,Bar - Restaurant,41.311443,2.001808,"(41.311443, 2.001808)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4785,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Caffé Bianco,"carrer sant pere, 77-81, 08850 Gavà", 646619320,naiara.ca@hotmail.com,,Bar - Restaurant,41.303795,2.000504,"(41.303795, 2.000504)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1661,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Tinc Gana,"carrer sant pere, 89, 08850 Gavà",608293995 ,,,Bar - Restaurant,41.303745,2.000406,"(41.303745, 2.000406)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1042,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant  Lancaster Beach Club,"carrer tellinaires, 39-41, 08850 Gavà",936332058 666233819,info@grupolancaster.com,http://www.grupolancaster.com,Restaurant,41.26726,2.016662,"(41.26726, 2.016662)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4179,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Restaurant Bon Menjar,"carrer vapor, 16, 08850 Gavà",930021753 ,,,Bar - Restaurant,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5153,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Bar Cal Toby I,"carrer vapor, 16, 08850 Gavà", ,,,Bar - Restaurant,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4152,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
El Hórreo de Gavà ,"carretera santa creu de calafell, 69, 08850 Gavà",936626404 ,,http://elhorreodegava.com,Restaurant,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3261,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Tasta'mm ,"carretera santa creu de calafell, 96, 08850 Gavà",936389746 ,info@tastamm.cat,http://www.tastamm.cat,Restaurant,41.30097,2.005634,"(41.30097, 2.005634)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1786,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Les Marines,"carrer calafell, 21-23, 08850 Gavà",936333570 ,reservas@lesmarines.com,http://www.lesmarines.com,Restaurant,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4012,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Sunset Burguer,"rambla joaquim vayreda, 54, 08850 Gavà",936383601 ,sunsetsupremeburger@gmail.com,,Bar - Restaurant,41.305527,2.007511,"(41.305527, 2.007511)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=641,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Luma Foods,"rambla salvador lluch, 8, 08850 Gavà", ,,,Restaurant,41.30396,2.009722,"(41.30396, 2.009722)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5534,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar La Sirena,"avinguda eramprunyà, 57, 08850 Gavà",936621400 ,,,Bar - Restaurant,41.309803,1.994826,"(41.309803, 1.994826)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4715,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Mar de Pins,"avinguda europa, 4, 08850 Gavà",932509909 ,info@mardepins.es,http://www.mardepins.es,Restaurant,41.26968,2.021608,"(41.26968, 2.021608)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1321,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurante El Torreón,"carrer blanes, 3, 08850 Gavà",936330635 934415103,info@iborrarestaurant.es,,Restaurant,41.268444,2.026475,"(41.268444, 2.026475)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4193,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
"Las Tabernas Kamala Dos, SL","carrer sant pere, 38, 08850 Gavà", ,,,Bar - Restaurant,41.30412,2.001999,"(41.30412, 2.001999)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5477,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bon Profit,"carrer sant lluís, 47, 08850 Gavà",935160085 667971481,,,Restaurant,41.307243,1.997179,"(41.307243, 1.997179)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4283,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurante Japones Yamasato II,"carrer sant lluís, 50, 08850 Gavà",936621273 ,,,Restaurant,41.30727,1.997054,"(41.30727, 1.997054)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4708,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Jardín de Oro,"carrer sant nicasi, 88, 08850 Gavà",936381774 ,,,Restaurant,41.3081,2.001927,"(41.3081, 2.001927)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4175,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Aragón,"carrer segle xx, 44, 08850 Gavà",936621700 649963142,,,Bar - Restaurant,41.30867,1.99579,"(41.30867, 1.99579)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3742,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Tropical,"carrer tellinaires, 17, 08850 Gavà",936330062 ,tropical@tropical-rte.com,http://www.tropical-rte.com,Restaurant,41.268856,2.030688,"(41.268856, 2.030688)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4245,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Bar Burger Frank,"passeig joan maragall, 16, 08850 Gavà",936620034 ,,,Bar - Restaurant,41.30277,2.001112,"(41.30277, 2.001112)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4151,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Los 7 pecados,"plaça església, 3, 08850 Gavà", 605330041,,,Bar - Restaurant,41.280273,1.97718,"(41.280273, 1.97718)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4338,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Kapadokya ,"rambla joaquim vayreda, 18, 08850 Gavà",936622749 697766756,kapadokya2008@hotmail.com,,Bar - Restaurant,41.304367,2.008874,"(41.304367, 2.008874)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5054,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Les Massotes,"carrer progrés, 27, 08850 Gavà",931863919 ,arroyonarciso@gmail.com,,Restaurant,41.30077,2.013401,"(41.30077, 2.013401)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5529,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar la Campana,"carrer salut, 7, 08850 Gavà",936384596 ,,,Bar - Restaurant,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3754,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Bar O'Pulpo,"carrer montflorit, 71, 08850 Gavà",936623201 678894043,,,Bar - Restaurant,41.302895,2.000404,"(41.302895, 2.000404)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4161,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Restaurant Montadito,"carrer montflorit, 75, 08850 Gavà",690692010 ,,,Bar - Restaurant,41.302963,2.000307,"(41.302963, 2.000307)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3542,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Julio Flores Barreto,"carrer montflorit, 75, 08850 Gavà", ,,,Bar - Restaurant,41.302963,2.000307,"(41.302963, 2.000307)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5392,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Bar Latitud 33,"carrer montflorit, 75, 08850 Gavà",936622558 672246778,,,Bar - Restaurant,41.302963,2.000307,"(41.302963, 2.000307)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4921,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Ambar,"carrer fassina del moliner, 12, 08850 Gavà",936336222 ,,,Restaurant,41.302616,2.006571,"(41.302616, 2.006571)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4150,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Umar Farooq,"rambla salvador lluch, 1, 08850 Gavà", ,,,Bar - Restaurant,41.306324,2.004494,"(41.306324, 2.004494)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5453,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant Bar l'Estació,"rambla salvador lluch, 1, 08850 Gavà", ,,,Bar - Restaurant,41.306324,2.004494,"(41.306324, 2.004494)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4158,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurant  L'Estadi,"carrer manuel de falla, 1, 08850 Gavà",936382210 655846007,,,Bar - Restaurant,41.30563,1.995465,"(41.30563, 1.995465)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4159,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Rojo Restaurant,"rambla joaquim vayreda, 52, 08850 Gavà",936627788 666050111,,http://www.rojorestaurant.com,Bar - Restaurant,41.30545,2.007644,"(41.30545, 2.007644)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4162,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Tottori,"carrer sant pere, 37, 08850 Gavà",936388770 ,,,Restaurant,41.30412,2.001999,"(41.30412, 2.001999)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1401,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Anhel Restaurant ,"rambla salvador lluch, 19, 08850 Gavà",934637750 ,info@anhelrestaurant.cat,http://anhelrestaurant.cat,Restaurant,41.30575,2.004469,"(41.30575, 2.004469)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5483,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
Restaurante Can Juvé,"carrer tarragona, 7, 08850 Gavà",933153818 ,,,Restaurant,41.301765,2.010681,"(41.301765, 2.010681)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5321,http://continguts.intra.gavaciutat.net/documents/76203/2268237/restauracio.png
