NOM,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI
Barceló Viatges,"rambla joaquim vayreda, 64, 08850 Gavà",936336163 ,,http://www.barceloviatges.com,Serveis,41.305668,2.00723,"(41.305668, 2.00723)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5073
Barceló Viatges,"rambla joaquim vayreda, 64, 08850 Gavà",936336163 ,,http://www.barceloviatges.com,Serveis,41.305668,2.00723,"(41.305668, 2.00723)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1932
Bar-Xurreria Agnés,"rambla joaquim vayreda, 64-66, 08850 Gavà",936625000 626313715,,,Bar,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4340
Bar Tàndem café,"rambla maria casas, 96, 08850 Gavà",936388573 ,,,Bar,41.306255,2.006363,"(41.306255, 2.006363)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1801
Bar Manchego,"rambla pompeu fabra, 115, 08850 Gavà",936336644 655819832,,,Bar,41.311028,1.997182,"(41.311028, 1.997182)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3759
Bar Restaurant Lluch Sis,"rambla salvador lluch, 6, 08850 Gavà",936620171 679648658,,,Bar - Restaurant,41.303875,2.009841,"(41.303875, 2.009841)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5039
Mi Bar,"carrer guifré el pelós, 3, 08850 Gavà", 664582548,,,Bar,41.307053,1.995607,"(41.307053, 1.995607)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4039
Bar Rincón de las Tapas,"avinguda diagonal, 23, 08850 Gavà",936620011 ,,,Bar,41.305008,1.996946,"(41.305008, 1.996946)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3769
Bar O'Miño,"carrer pere el gran, 3, 08850 Gavà",936625824 ,,,Bar,41.31082,1.99536,"(41.31082, 1.99536)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4797
Restaurant Sentits,"carrer riera de sant llorenç, 51, 08850 Gavà",936383939 687203976,,,Bar - Restaurant,41.311443,2.001808,"(41.311443, 2.001808)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4785
Bar Cafeteria Lola,"carrer riu anoia, 15, 08850 Gavà", 671470081,,,Bar,41.312996,1.98996,"(41.312996, 1.98996)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4686
Barnizados y Acabados Jordi,"carrer riu ter, 6, 08850 Gavà",936383867 ,barnizadosjordi@hotmail.com,,Serveis,41.312843,1.989555,"(41.312843, 1.989555)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5081
Bar Los Cazadores,"carrer roger de flor, 32, 08850 Gavà",936624903 677337913,,,Bar,41.310196,1.996177,"(41.310196, 1.996177)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3758
Bar Kalamot,"carrer salamanca, 20, 08850 Gavà",616105537 ,,,Bar,41.302513,2.008844,"(41.302513, 2.008844)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3753
Bar Laura,"carrer sant isidre, 85, 08850 Gavà",936382624 ,,,Bar,41.30805,2.00279,"(41.30805, 2.00279)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4735
Bar Petit,"carrer colomeres, 48, 08850 Gavà", 660270450,,,Bar,41.303345,2.001238,"(41.303345, 2.001238)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4878
Bar Concòrdia,"carrer concòrdia, 39, 08850 Gavà",936626328 670908847,,,Bar,41.30727,2.005674,"(41.30727, 2.005674)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3743
Forn del Barri,"carrer sant pere, 86, 08850 Gavà",936380357 696027677,,,Alimentació (quotidià alimentari),41.30399,2.000761,"(41.30399, 2.000761)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3788
Restaurant  Lancaster Beach Club,"carrer tellinaires, 39-41, 08850 Gavà",936332058 666233819,info@grupolancaster.com,http://www.grupolancaster.com,Restaurant,41.26726,2.016662,"(41.26726, 2.016662)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4179
Bar Restaurant Bon Menjar,"carrer vapor, 16, 08850 Gavà",930021753 ,,,Bar - Restaurant,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5153
Restaurant Bar Cal Toby I,"carrer vapor, 16, 08850 Gavà", ,,,Bar - Restaurant,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4152
Barber Shop 79 ,"carretera santa creu de calafell, 79, 08850 Gavà", 602340607,,,Serveis,41.302727,2.007621,"(41.302727, 2.007621)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5521
"Les Delicies del Barri, scp","carrer sant lluís, 44, 08850 Gavà", ,,,Alimentació (quotidià alimentari),41.307243,1.997179,"(41.307243, 1.997179)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5342
"Barrachina Inversiones y Servicios, SL","avinguda mar, s/n, 08850 Gavà", ,,,Sense classificar,41.281975,2.018639,"(41.281975, 2.018639)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5353
Restaurant Les Marines,"carrer calafell, 21-23, 08850 Gavà",936333570 ,reservas@lesmarines.com,http://www.lesmarines.com,Restaurant,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4012
"Disvet Barcelona, SL","carrer ciència, 23, 08850 Gavà", ,,,Salut i cosmètica  (quotidià no alimentari),41.298225,2.012708,"(41.298225, 2.012708)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5376
Peluqueria Caballeros Bartolomé,"rambla joaquim vayreda, 174, 08850 Gavà",936629383 607764528,,,Serveis,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4100
Bar Sayonara,"rambla joaquim vayreda, 47, 08850 Gavà",936628232 ,,,Bar,41.305424,2.007614,"(41.305424, 2.007614)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5061
Bar La Sirena,"avinguda eramprunyà, 57, 08850 Gavà",936621400 ,,,Bar - Restaurant,41.309803,1.994826,"(41.309803, 1.994826)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4715
Bar Susana,"avinguda eramprunyà, 79, 08850 Gavà",936626901 627775034,,,Bar,41.309444,1.993561,"(41.309444, 1.993561)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3771
Bar Gavà Donner Kebakb,"carrer antoni gaudí, 1, 08850 Gavà", 685053120,,,Bar,41.307865,2.003866,"(41.307865, 2.003866)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4844
Bar Domingo,"carrer apel·les mestres, 53, 08850 Gavà", 685185009,,,Bar,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4858
Bar Egea,"carrer bernat metge, 20, 08850 Gavà", 609101568,,,Bar,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4868
Restaurante El Torreón,"carrer blanes, 3, 08850 Gavà",936330635 934415103,info@iborrarestaurant.es,,Restaurant,41.268444,2.026475,"(41.268444, 2.026475)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4193
Bar Tropezón,"carrer sant lluís, 46, 08850 Gavà",936627929 ,,,Bar,41.307316,1.997258,"(41.307316, 1.997258)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4710
Restaurante Japones Yamasato II,"carrer sant lluís, 50, 08850 Gavà",936621273 ,,,Restaurant,41.30727,1.997054,"(41.30727, 1.997054)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4708
Peluqueria Baruc,"carrer sant martí, 36, 08850 Gavà",931826344 ,,,Serveis,41.30854,1.994463,"(41.30854, 1.994463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4329
Restaurant Jardín de Oro,"carrer sant nicasi, 88, 08850 Gavà",936381774 ,,,Restaurant,41.3081,2.001927,"(41.3081, 2.001927)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4175
Floristeria Barceló,"carrer sant pere, 17, 08850 Gavà",936620335 ,botiga@florsbarcelo.com,,Equipament de la llar,41.30412,2.001999,"(41.30412, 2.001999)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1030
Disco Bar Valdi's,"carrer santa teresa, 52, 08850 Gavà", 655263782,,,Bar Musical,41.30665,1.99931,"(41.30665, 1.99931)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3855
Bar Café Marisol,"carrer santa teresa, 6, 08850 Gavà", 620882995,,,Bar,41.307163,2.001313,"(41.307163, 2.001313)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4973
Bar Cafeteria La Cantonada,"carrer sarrià, 1, 08850 Gavà",936621561 ,tereoller@telefonica.net,,Bar,41.305206,2.009225,"(41.305206, 2.009225)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1062
Bar Aragón,"carrer segle xx, 44, 08850 Gavà",936621700 649963142,,,Bar - Restaurant,41.30867,1.99579,"(41.30867, 1.99579)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3742
Bar Santos,"carrer treball, 48, 08850 Gavà", ,,,Bar,41.308807,1.993315,"(41.308807, 1.993315)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4780
Bar Croissanteria Tresols,"carrer tresols, 89, 08850 Gavà",936629968 ,,,Bar,41.305412,1.997979,"(41.305412, 1.997979)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3744
Restaurant Bar Burger Frank,"passeig joan maragall, 16, 08850 Gavà",936620034 ,,,Bar - Restaurant,41.30277,2.001112,"(41.30277, 2.001112)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4151
Bar Los 7 pecados,"plaça església, 3, 08850 Gavà", 605330041,,,Bar - Restaurant,41.280273,1.97718,"(41.280273, 1.97718)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4338
Restaurant Les Massotes,"carrer progrés, 27, 08850 Gavà",931863919 ,arroyonarciso@gmail.com,,Restaurant,41.30077,2.013401,"(41.30077, 2.013401)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5529
Bar la Campana,"carrer salut, 7, 08850 Gavà",936384596 ,,,Bar - Restaurant,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3754
Restaurant Bar O'Pulpo,"carrer montflorit, 71, 08850 Gavà",936623201 678894043,,,Bar - Restaurant,41.302895,2.000404,"(41.302895, 2.000404)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4161
Bar Restaurant Montadito,"carrer montflorit, 75, 08850 Gavà",690692010 ,,,Bar - Restaurant,41.302963,2.000307,"(41.302963, 2.000307)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3542
Julio Flores Barreto,"carrer montflorit, 75, 08850 Gavà", ,,,Bar - Restaurant,41.302963,2.000307,"(41.302963, 2.000307)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5392
Bar Latitud 33,"carrer montflorit, 75, 08850 Gavà",936622558 672246778,,,Bar - Restaurant,41.302963,2.000307,"(41.302963, 2.000307)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4921
Bar La Parra,"carrer f. pi i margall, 40, 08850 Gavà", ,,,Bar,41.308693,1.999211,"(41.308693, 1.999211)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4688
Restaurant Ambar,"carrer fassina del moliner, 12, 08850 Gavà",936336222 ,,,Restaurant,41.302616,2.006571,"(41.302616, 2.006571)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4150
Bar Asunción García Pérez,"carrer pou, 6, 08850 Gavà", ,,,Bar,41.304855,1.979066,"(41.304855, 1.979066)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5606
Bar Vint-i-cinc,"carrer treball, 25, 08850 Gavà",936620929 ,,,Bar,41.30827,1.994771,"(41.30827, 1.994771)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3223
Restaurant Bar l'Estació,"rambla salvador lluch, 1, 08850 Gavà", ,,,Bar - Restaurant,41.306324,2.004494,"(41.306324, 2.004494)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4158
Bar Rambles,"rambla salvador lluch, 1, 08850 Gavà",936388287 610793709,,,Bar,41.306324,2.004494,"(41.306324, 2.004494)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5038
Bar Diagonal,"avinguda diagonal, 19, 08850 Gavà",936621308 629687043,,,Bar,41.30462,1.997099,"(41.30462, 1.997099)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3747
Bar Paisano,"plaça catalunya, 13, 08850 Gavà",936627563 ,,,Bar,41.309193,2.002481,"(41.309193, 2.002481)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5580
Restaurant  L'Estadi,"carrer manuel de falla, 1, 08850 Gavà",936382210 655846007,,,Bar - Restaurant,41.30563,1.995465,"(41.30563, 1.995465)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4159
Bar El Gat,"carrer colomeres, 36, 08850 Gavà", 606220694,,,Bar,41.29959,2.003097,"(41.29959, 2.003097)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=3750
Rojo Restaurant,"rambla joaquim vayreda, 52, 08850 Gavà",936627788 666050111,,http://www.rojorestaurant.com,Bar - Restaurant,41.30545,2.007644,"(41.30545, 2.007644)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4162
Anhel Restaurant ,"rambla salvador lluch, 19, 08850 Gavà",934637750 ,info@anhelrestaurant.cat,http://anhelrestaurant.cat,Restaurant,41.30575,2.004469,"(41.30575, 2.004469)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5483
Restaurante Can Juvé,"carrer tarragona, 7, 08850 Gavà",933153818 ,,,Restaurant,41.301765,2.010681,"(41.301765, 2.010681)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5321
Perruqueria Bartolomé García,"rambla pompeu fabra, 174, 08850 Gavà",936629383 ,,,Serveis,41.310955,1.995124,"(41.310955, 1.995124)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5051
