TIPUS DE CONTRACTE,LLOC DE TREBALL,NOMBRE EFECTIUS,DESTI,GRUP,SALARI BASE,COMPLEMENT DESTI,COMPLEMENT ESPECIFIC,MENSUAL,PLUS MENSUAL (12 vegades),PLUS MENSUAL (14 vegades),PLUSOS ANUALS,SOU BASE (per calcular extres),PAGUES EXTRES,PRODUCTIVITAT,PAGA EXTRA NADAL,TOTAL RETRIBUCIONS ANUALS,TOTAL RETRIBUCIONS PER EFECTIUS,TIPUS ELECCIÓ
FUNCIONARI/A,Cap del Departament de Salut Pública i Conc. Administratives,1,24,A1,1109.05,582.92,955.14,2647.11,,,,684.36,2222.42,2222.42,1385.28,37595.4,37595.4,Resta de personal
LABORAL,Cap del departament d'esports,1,,A1,2527.18,,,2527.18,,158.58,2220.12,684.36,2261.07,2261.07,1385.28,36233.58,36233.58,Resta de personal
LABORAL,Cap del departament d'Educació,1,,A1,2502.29,,,2549.79,,47.5,665,684.36,2125.1,2125.1,1385.28,36232.96,36232.96,Resta de personal
LABORAL,Conservador/a del Patrimoni natural,2,,A1,2502.29,,,2502.29,,,,684.36,2077.6,2077.6,1385.28,35567.96,71135.92,Resta de personal
LABORAL,Arxiver/a municipal,1,,A1,2502.29,,,2502.29,,,,684.36,2077.6,2077.6,1385.28,35567.96,35567.96,Resta de personal
LABORAL,Tècnic/a de prevenció de riscos laborals,1,,A1,2502.29,,,2502.29,,,,684.36,2077.6,2077.6,1385.28,35567.96,35567.96,Resta de personal
LABORAL,Arquitecte II,1,,A1,2348.95,,,2358.45,,,114,,2348.95,2348.95,1385.28,34384.58,34384.58,Resta de personal
LABORAL,Directora Diari Bruguers,1,,A1,2183.83,,,2386.61,,202.78,2838.92,684.36,2067.16,2067.16,1385.28,34158.92,34158.92,Resta de personal
LABORAL,Director/a Ràdio Sellarés,1,,A1,2183.83,,,2386.61,,202.78,2838.92,684.36,2067.16,2067.16,1385.28,34158.92,34158.92,Resta de personal
LABORAL,"Psicòleg/oga ""Escola Especial Maria Felip""",1,,A1,1733.94,,34.15,2250.12,,482.03,6748.42,684.36,1791.28,1791.28,1385.28,31969.28,31969.28,Resta de personal
LABORAL,Periodista,1,,A1,2183.83,,,2183.83,,,,684.36,1759.14,1759.14,1385.28,31109.52,31109.52,Resta de personal
LABORAL,Coordinador/a de continguts Gava TV,1,,A1,1766.91,,,2166.91,400,,4800,,1766.91,1766.91,,29536.8,29536.8,Resta de personal
LABORAL,ENG,2,,A1,1766.91,,,1766.91,,,,,1766.91,1766.91,,24736.8,49473.6,Resta de personal
LABORAL,Redactor/a,1,,A1,1437.16,,,1486.09,,48.93,685.02,684.36,1061.4,1061.4,1385.28,21341.16,21341.16,Resta de personal
FUNCIONARI/A,Cap de la Unitat de Mobilitat,1,24,A2,958.98,582.92,3134.5,4676.4,,,,699.38,4416.8,4416.8,1385.28,66335.62,66335.62,Resta de personal
LABORAL,Cap Departament de Serveis tècnics,1,,A2,3069.71,,,3548.87,479.16,,5749.92,699.38,2810.11,2810.11,1385.28,49591.94,49591.94,Resta de personal
LABORAL,Cap del departament de Serveis Socials,1,,A2,1988.04,,790.52,3357.16,,578.6,8100.4,699.38,3097.57,3097.57,1385.28,47866.34,47866.34,Resta de personal
FUNCIONARI/A,Cap de Recursos Humans i Organització,1,20,A2,958.98,439.7,1936.49,3335.17,,,,699.38,3075.57,3075.57,1385.28,47558.43,47558.43,Resta de personal
LABORAL,Cap de la Unitat de Manteniment de l'Espai Públic,1,,A2,3107.05,,,3268.98,161.93,,1943.16,699.38,2847.45,2847.45,1385.28,46307.94,46307.94,Resta de personal
FUNCIONARI/A,Cap de la Unitat de Llicències d'Activitats,1,24,A2,958.98,582.92,1565.23,3107.13,,,,699.38,2847.53,2847.53,1385.28,42980.59,42980.59,Resta de personal
LABORAL,Directora del Centre de Suport a l'Empresa,1,,A2,2134.46,,,2910.49,,776.03,10864.42,699.38,2650.9,2650.9,1385.28,41612.96,41612.96,Resta de personal
FUNCIONARI/A,Cap de l'Oficina d'Atenció al Ciutadà (OAC),1,20,A2,958.98,439.7,1436.49,2835.17,,,,699.38,2575.57,2575.57,1385.28,40558.41,40558.41,Resta de personal
FUNCIONARI/A,Tècnic/a de protecció de dades,1,20,A2,958.98,439.7,1436.49,2835.17,,,,699.38,2575.57,2575.57,1385.28,40558.41,40558.41,Resta de personal
LABORAL,Cap de projectes de noves tecnologies,1,,A2,2835.15,,,2835.15,,,,699.38,2575.55,2575.55,1385.28,40558.18,40558.18,Resta de personal
FUNCIONARI/A,Cap de projectes de noves tecnologies,1,20,A2,958.98,439.7,1436.47,2835.15,,,,699.38,2575.55,2575.55,1385.28,40558.18,40558.18,Resta de personal
LABORAL,Cap de la Unitat de Llicències d'Obres,1,,A2,2835.15,,,2835.15,,,,699.38,2575.55,2575.55,1385.28,40558.18,40558.18,Resta de personal
FUNCIONARI/A,Tècnic/a TIC Senior d'Informàtica,3,20,A2,958.98,439.7,1308.76,2707.44,,,,699.38,2447.84,2447.84,1385.28,38770.24,116310.72,Resta de personal
LABORAL,Cap d'unitat de suport d'activitats,1,,A2,1988.04,,612.81,2648.35,,47.5,665,699.38,2388.75,2388.75,1385.28,37942.98,37942.98,Resta de personal
LABORAL,Arquitecte Tècnic de manteniment i espai públic,1,,A2,2532.6,,,2655.46,122.86,,1474.32,699.38,2273,2273,1385.28,37796.8,37796.8,Resta de personal
FUNCIONARI/A,Cap de la Unitat de Pressupost i control intern,1,20,A2,958.98,439.7,969.7,2682.44,314.07,,3768.84,699.38,2108.77,2108.77,1385.28,37792.16,37792.16,Resta de personal
FUNCIONARI/A,Cap de la Unitat de participació ciutadana,1,20,A2,958.98,439.7,1238.9,2637.57,,,,699.38,2377.97,2377.97,1385.28,37792.11,37792.11,Resta de personal
FUNCIONARI/A,Cap del Departament de Comptabilitat,1,20,A2,958.98,439.7,1238.9,2637.57,,,,699.38,2377.97,2377.97,1385.28,37792.11,37792.11,Resta de personal
FUNCIONARI/A,Cap de la unitat administrativa de seguretat ciutadana,1,20,A2,958.98,439.7,1238.9,2637.57,,,,699.38,2377.97,2377.97,1385.28,37792.11,37792.11,Resta de personal
FUNCIONARI/A,Tècnic/a d'Activitats,1,20,A2,958.98,439.7,1238.9,2637.57,,,,699.38,2377.97,2377.97,1385.28,37792.11,37792.11,Resta de personal
FUNCIONARI/A,Tècnic/a de Recursos Humans ,1,20,A2,958.98,439.7,1238.9,2637.57,,,,699.38,2377.97,2377.97,1385.28,37792.11,37792.11,Resta de personal
LABORAL,Cap d'unitat tècnica d'equipaments,1,,A2,1988.06,,,2612.12,,624.06,8736.84,699.38,2352.52,2352.52,1385.28,37435.76,37435.76,Resta de personal
LABORAL,"Mestra ""Escola Especial Maria Felip""-Direcció",1,,A2,1487.53,,34.15,2512.46,56.63,934.15,13757.66,699.38,2162.09,2162.09,1385.28,35858.98,35858.98,Resta de personal
LABORAL,"Mestra ""Escola Especial Maria Felip"" -Secretaria",1,,A2,1487.53,,34.15,2433.6,116.19,795.73,12534.5,699.38,2023.66,2023.66,1385.28,34635.8,34635.8,Resta de personal
LABORAL,Cap departament d' Igualtat i Ciutadania,1,,A2,1988.04,,395.26,2383.3,,,,699.38,2123.71,2123.71,1385.28,34232.3,34232.3,Resta de personal
LABORAL,Cap departament de Cultura,1,,A2,1988.04,,,2383.3,,395.26,5533.64,699.38,2123.7,2123.7,1385.28,34232.28,34232.28,Resta de personal
LABORAL,Tècnic/a de Comptabilitat I,1,,A2,2134.46,,,2407.37,272.91,,3274.92,699.38,1883.93,1883.93,1385.28,34041.58,34041.58,Resta de personal
FUNCIONARI/A,Tècnic/a de participació ciutadana,1,20,A2,958.98,439.7,969.7,2368.37,,,,699.38,2108.77,2108.77,1385.28,34023.32,34023.32,Resta de personal
LABORAL,Tècnic/a mitjà esportiu,1,,A2,1988.04,,,2244.15,,256.11,3585.54,699.38,1984.56,1984.56,1385.28,32284.2,32284.2,Resta de personal
LABORAL,Tècnic/a de serveis a les persones - Coordinadora,2,,A2,1988.04,,,2241.22,,253.18,3544.52,699.38,1981.63,1981.63,1385.28,32243.18,64486.36,Resta de personal
LABORAL,Tècnic/a de Formació,1,,A2,2134.46,,,2232.48,,98.02,1372.28,699.38,1972.88,1972.88,1385.28,32120.8,32120.8,Resta de personal
LABORAL,Tècnic/a de serveis a les persones - Psicòloga,1,,A2,1988.04,,,2165.06,,177.02,2478.28,699.38,1905.47,1905.47,1385.28,31176.94,31176.94,Resta de personal
LABORAL,"Mestre ""Escola Especial Maria Felip"" I",1,,A2,1487.53,,34.15,2168.62,189.85,457.09,8677.46,699.38,1685.02,1685.02,1385.28,30778.76,30778.76,Resta de personal
LABORAL,Tècnic/a de promoció econòmica,4,,A2,2134.46,,,2134.46,,,,699.38,1874.86,1874.86,1385.28,30748.52,122994.08,Resta de personal
FUNCIONARI/A,Tècnic/a de serveis a les persones I,1,20,A2,958.98,439.7,730.01,2128.68,,,,699.38,1869.08,1869.08,1385.28,30667.67,30667.67,Resta de personal
LABORAL,"Mestre/a ""Escola Especial Maria Felip"" II",3,,A2,1487.53,,34.15,2094.96,116.19,457.09,7793.54,699.38,1685.02,1685.02,1385.28,29894.84,89684.52,Resta de personal
LABORAL,"Logopeda ""Escola Especial Maria Felip""",1,,A1,1487.53,,34.15,2094.96,116.19,457.09,7793.54,699.38,1685.02,1685.02,1385.28,29894.84,29894.84,Resta de personal
LABORAL,Tècnic/a de serveis a les persones II,1,,A2,1988.04,,,2035.54,,47.5,665,699.38,1775.95,1775.95,1385.28,29363.66,29363.66,Resta de personal
LABORAL,Tècnic/a de comptabilitat I,1,,A2,1988.04,,,1988.04,,,,699.38,1728.45,1728.45,1385.28,28698.66,28698.66,Resta de personal
LABORAL,Tècnic/a de serveis a les persones III,20,,A2,1988.04,,,1988.04,,,,699.38,1728.45,1728.45,1385.28,28698.66,573973.2,Resta de personal
LABORAL,Cap Tècnic i Publicitat,1,,C1,1778.08,,,2978.08,1200,,14400,622.3,1680.36,1680.36,1385.28,40482.96,40482.96,Resta de personal
FUNCIONARI/A,Administratiu/va I,1,20,C1,720.02,439.7,680.33,2423.38,583.33,,6999.96,622.3,1742.33,1742.33,1385.28,33950.54,33950.54,Resta de personal
LABORAL,Tècnic/a auxiliar de comptabilitat,1,,C1,1840.05,,,2197.06,,349.21,4982.54,,2189.26,2189.26,,30743.24,30743.24,Resta de personal
FUNCIONARI/A,Administratiu/va II,1,20,C1,720.02,439.7,741.39,2179.98,278.87,,3346.44,622.3,1803.39,1803.39,1385.28,31151.84,31151.84,Resta de personal
LABORAL,Coordinador/a tècnic GTV,1,,C1,1766.91,,,2166.91,400,,4800,,1766.91,1766.91,,29536.74,29536.74,Resta de personal
FUNCIONARI/A,Administratiu/va III,1,20,C1,720.02,439.7,919.38,2079.09,,,,622.3,1981.37,1981.37,1385.28,30297.16,30297.16,Resta de personal
FUNCIONARI/A,Administratiu/va IV,3,20,C1,720.02,439.7,680.33,2079.09,239.04,,2868.48,622.3,1742.33,1742.33,1385.28,29819.06,89457.18,Resta de personal
LABORAL,Tècnic/a Auxiliar Projectista I,1,,C1,2057.74,,,2057.74,,,,684.36,1865.22,1865.22,1385.28,29808.6,29808.6,Resta de personal
LABORAL,Cap de la Unitat de Manteniment de l'Edifici Corporatiu,1,,C1,1777.27,,,2068.8,291.53,,3498.36,622.3,1679.55,1679.55,1385.28,29569.98,29569.98,Resta de personal
LABORAL,Tècnic/a Auxiliar Projectista II,1,,C1,1983.41,,,1992.18,,,105.24,,1983.41,1983.41,,27872.98,27872.98,Resta de personal
LABORAL,Tècnic/a Auxiliar Delineant,1,,C1,2004.88,,,2004.88,,,,622.3,1907.16,1907.16,1385.28,29258.16,29258.16,Resta de personal
FUNCIONARI/A,Administratiu/va V,1,20,C1,720.02,439.7,844.05,2003.77,,,,622.3,1906.05,1906.05,1385.28,29242.64,29242.64,Resta de personal
FUNCIONARI/A,Administratiu/va VI,1,20,C1,720.02,439.7,789.49,1949.21,,,,622.3,1851.49,1851.49,1385.28,28478.8,28478.8,Resta de personal
FUNCIONARI/A,Administratiu/va VII,1,20,C1,720.02,439.7,680.33,1904.82,64.77,,777.24,622.3,1742.33,1742.33,1385.28,27727.82,27727.82,Resta de personal
LABORAL,Tècnic/a TIC Auxiliar d'Informàtica,1,,C1,1839.82,,,1904.59,64.77,,777.24,622.3,1742.1,1742.1,1385.28,27724.56,27724.56,Resta de personal
FUNCIONARI/A,Tècnic/a TIC Auxiliar d'Informàtica,1,20,C1,720.02,439.7,680.1,1904.59,64.77,,777.24,622.3,1742.1,1742.1,1385.28,27724.56,27724.56,Resta de personal
FUNCIONARI/A,Administratiu/va VIII,10,20,C1,720.02,439.7,680.33,1840.05,,,,622.3,1742.33,1742.33,1385.28,26950.58,269505.8,Resta de personal
FUNCIONARI/A,Administratiu/va IX,1,20,C1,720.02,439.7,680.33,1904.82,64.77,,777.24,622.3,1742.33,1742.33,1385.28,27727.82,27727.82,Resta de personal
LABORAL,Administratiu/va X,1,,C1,1765.02,,,1836.2,71.18,,854.16,,1765.02,1765.02,,25564.44,25564.44,Resta de personal
LABORAL,Redactor/a,1,,C1,1778.08,,,1778.08,,,,622.3,1680.36,1680.36,1385.28,26082.96,26082.96,Resta de personal
LABORAL,Responzable zona esportiva ,1,,C1,1691.64,,,1691.64,,,,622.3,1593.92,1593.92,1385.28,24872.8,24872.8,Resta de personal
LABORAL,Administratiu/va XI,1,,C1,1591.81,,,1664.23,,72.42,1013.88,622.3,1566.51,1566.51,1385.28,24489.06,24489.06,Resta de personal
LABORAL,Administratiu/va XII,7,,C1,1591.81,,,1591.81,,,,622.3,1494.09,1494.09,1385.28,23475.18,164326.26,Resta de personal
LABORAL,"Educador/a ""Escola Especial Maria Felip""",3,,C1,1166.25,,,1475.67,,309.42,4331.88,622.3,1377.95,1377.95,1385.28,21849.22,65547.66,Resta de personal
LABORAL,Tècnic/a de so,1,,C1,1400.36,,,1400.36,,,,622.3,952.55,952.55,1385.28,20094.7,20094.7,Resta de personal
LABORAL,Auxiliar administratiu/va I,1,,C2,1626.24,,,2197.58,64.77,506.57,7869.22,593.79,2127.35,2127.35,1385.28,32010.94,32010.94,Resta de personal
LABORAL,Tècnic/a especialista d'esports,1,,C2,1442.4,,,1993.91,,551.51,7721.14,593.79,1988.45,1988.45,1385.28,29289.1,29289.1,Resta de personal
LABORAL,Tècnic/a Auxiliar d'educació,1,,C2,1475.39,,,1993.91,,518.52,7259.28,593.79,1988.45,1988.45,1385.28,29289.1,29289.1,Resta de personal
FUNCIONARI/A,Auxiliar administratiu/va II,1,18,C2,599.25,394.79,930.06,1924.1,,,,593.79,1918.64,1918.64,1385.28,28311.73,28311.73,Resta de personal
FUNCIONARI/A,Auxiliar administratiu/va III,1,18,C2,599.25,394.79,632.24,1934.03,307.75,,3693,593.79,1620.82,1620.82,1385.28,27835.34,27835.34,Resta de personal
LABORAL,Responsable de grup de l'Oficina d'Atenció al Ciutadà (OAC),5,,C2,1796.55,,,1893.17,96.62,,1159.44,593.79,1791.07,1791.77,1385.28,27686.16,138430.8,Resta de personal
LABORAL,Cap de la Unitat de consergeria,1,,C2,1783.76,,,1858.08,74.32,,891.84,593.79,1778.3,1778.3,1385.28,27238.84,27238.84,Resta de personal
LABORAL,Especialista de manteniment,1,,C2,1783.76,,,1858.08,74.32,,891.84,593.79,1778.3,1778.3,1385.28,27238.84,27238.84,Resta de personal
LABORAL,Auxiliar de l'Oficina d'Atenció al Ciutadà (OAC),4,,C2,1796.55,,,1796.55,,,,593.79,1791.07,1791.07,1385.28,26526.1,106104.4,Resta de personal
FUNCIONARI/A,Auxiliar de l'Oficina d'Atenció al Ciutadà (OAC),4,18,C2,599.25,394.79,802.51,1796.55,,,,593.79,1791.09,1791.09,1385.28,26526.1,106104.4,Resta de personal
FUNCIONARI/A,Auxiliar administratiu/va IV,2,18,C2,599.25,394.79,632.24,1795.11,168.83,,2025.96,593.79,1620.82,1620.82,1385.28,26168.3,52336.6,Resta de personal
FUNCIONARI/A,Auxiliar administratiu/va V,1,18,C2,599.25,394.79,761.53,1755.57,,,,593.79,1750.11,1750.11,1385.28,25952.3,25952.3,Resta de personal
FUNCIONARI/A,Encarregat del cementiri ,1,18,C2,599.25,394.79,750.05,1744.09,,,,593.79,1738.63,1738.63,1385.28,25791.69,25791.69,Resta de personal
LABORAL,Auxiliar administratiu/va VI,1,,C2,1626.24,,,1721.26,,95.02,1330.28,593.79,1715.8,1715.8,1385.28,25472,25472,Resta de personal
LABORAL,Auxiliar administratiu/va VII,1,,C2,1721.25,,,1721.25,,,,593.79,1715.8,1715.8,1385.28,25471.88,25471.88,Resta de personal
LABORAL,Especialista manteniment II,1,,C2,1434.91,,,1698.12,,263.21,3684.94,593.79,1692.67,1692.67,1385.28,25148.06,25148.06,Resta de personal
FUNCIONARI/A,Auxiliar Administratiu/va VIII,2,3,C2,599.25,394.79,632.24,1691.05,64.77,,777.24,593.79,1620.82,1620.82,1385.28,24919.58,49839.16,Resta de personal
LABORAL,Auxiliar Administratiu/va IX,1,,C2,1626.24,,,1626.24,,,,593.79,1620.78,1620.78,1385.28,24141.72,24141.72,Resta de personal
LABORAL,Auxiliar Administratiu/va X,1,,C2,1626.24,,,1626.24,,,,593.79,1715.8,1715.8,1385.28,24331.76,24331.76,Resta de personal
LABORAL,Auxiliar Administratiu/va XI,1,,C2,1435.48,,,1638.03,,202.55,2835.7,593.79,1632.57,1632.57,1385.28,24306.78,24306.78,Resta de personal
FUNCIONARI/A,Auxiliar Administratiu/va XII,16,18,C2,599.25,394.79,632.24,1626.28,,,,593.79,1620.82,1620.82,1385.28,24142.34,386277.44,Resta de personal
LABORAL,Auxiliar Administratiu/va XIII,1,,C2,1626.28,,,1626.28,,,,593.79,1620.82,1620.82,1385.28,22757.06,22757.06,Resta de personal
LABORAL,Auxiliar Administratiu/va XIV,1,,C2,1556.23,,,1637.02,80.79,,969.48,,1556.23,1556.23,,22756.76,22756.76,Resta de personal
LABORAL,Monitora esportiva I,1,,C2,1442.4,,,1612.32,,169.92,2378.88,593.79,1606.85,1606.85,1385.28,23946.82,23946.82,Resta de personal
LABORAL,Auxiliar Administratiu/va XV,1,,C2,1435.48,,,1591.81,,156.33,2188.62,593.79,1586.35,1586.35,1385.28,23659.7,23659.7,Resta de personal
LABORAL,Treballador/a familiar,2,,C2,1550.29,,,1550.29,,,,593.79,1544.83,1544.83,1385.28,23078.42,46156.84,Resta de personal
FUNCIONARI/A,Auxiliar Biblioteca Marian Colomé,1,,C2,599.25,394.79,489.21,1483.25,,,,593.79,1477.78,1477.78,1385.28,22139.84,22139.84,Resta de personal
LABORAL,Tècnic/a auxiliar del patrimoni documental,1,,C2,1475.39,,,1475.39,,,,593.79,1469.93,1469.93,1385.28,22029.82,22029.82,Resta de personal
LABORAL,Tècnic/a Auxiliar de Biblioteca ,6,,C2,1475.39,,,1475.39,,,,593.79,1469.93,1469.93,1385.28,22029.82,132178.92,Resta de personal
LABORAL,Monitor/a esportiva II,2,,C2,1442.4,,,1442.4,,,,593.79,1436.94,1436.94,1385.28,21567.96,43135.92,Resta de personal
LABORAL,Auxiliar Administratiu/va XVI,6,,C2,1435.48,,,1435.48,,,,593.79,1430.02,1430.02,1385.28,21471.08,128826.48,Resta de personal
LABORAL,Especialista manteniment III,7,,C2,1434.91,,,1434.91,,,,593.79,1429.46,1429.46,1385.28,21463.12,150241.84,Resta de personal
LABORAL,Locutor/a I,1,,C2,1280.66,,,1345.43,64.77,,777.24,593.79,1275.2,1275.2,1385.28,20080.84,20080.84,Resta de personal
LABORAL,Recepcionista zona esportiva,7,,C2,1335.34,,,1335.34,,,,593.79,1329.88,1329.88,1385.28,20069.12,140483.84,Resta de personal
LABORAL,Monitor/a menjador ,5,,C2,1172.75,,,1172.75,,,,593.79,1167.29,1167.29,1385.28,17792.86,88964.3,Resta de personal
LABORAL,Locutor/a II,1,,C2,1144.87,,,1144.87,,,,593.79,1110.7,1110.7,1385.28,17345.12,17345.12,Resta de personal
EVENTUAL,Auxiliar de Serveis Generals I,1,,E,1485.86,,,2385.44,899.58,,10794.96,548.47,1485.86,1485.86,1385.28,32982.28,32982.28,Resta de personal
FUNCIONARI/A,Conserge I,1,14,E,548.47,305.01,755.29,1608.76,,,,548.47,1608.76,1608.76,1385.28,23907.96,23907.96,Resta de personal
LABORAL,Auxiliar de Serveis Generals II,1,,E,1334.23,,,1597.18,,262.95,3681.3,548.47,1597.18,1597.18,1385.28,23745.8,23745.8,Resta de personal
LABORAL,Auxiliar de cementiri ,4,,E,1582.68,,,1582.68,,,,548.47,1582.68,1582.68,1385.28,23543.8,94175.2,Resta de personal
LABORAL,Conserge II,1,,E,1485.86,,,1589.92,104.06,,1248.72,548.47,1485.86,1485.86,1385.28,23436.04,23436.04,Resta de personal
LABORAL,Repartidor/a,1,,E,1485.86,,,1531.65,45.79,,549.48,548.47,1485.86,1485.86,1385.28,22737.8,22737.8,Resta de personal
LABORAL,Conserge d'instal.lació municipal,9,,E,1485.86,,,1485.86,,,,548.47,1485.86,1485.86,1385.28,22188.32,199694.88,Resta de personal
LABORAL,Conserge III,1,,E,1463.27,,,1463.27,,,,548.47,1463.27,1463.27,1385.28,21871.06,21871.06,Resta de personal
LABORAL,Conserge IV,11,,E,1334.23,,,1334.23,,,,548.47,1334.23,1334.23,1385.28,20064.5,220709.5,Resta de personal
LABORAL,Auxiliar de Serveis Generals III,5,,E,1334.23,,,1334.23,,,,548.47,1334.23,1334.23,1385.28,20064.5,100322.5,Resta de personal
