DATA RECEPCIO,DESCRIPCIO OPERACIO,IMPORT,NOM PARTIDA,CODI ECONOMIC,ECONOMIC,CODI FUNCIONAL,FUNCIONAL,CODI ORGANIC,ORGANIC
06/04/2017,ABONO AGRUP 2991033 ANUL FRAP1M601N1954218 NO APLICADA via publica ,-971.36,"Electricitat - Via pública (Enllumenat, semàfors)",221.00.0017,Energia Elèctrica,1650A,Enllumenat públic,3.6.0.16,Serveis Municipals
06/04/2017,ABONO FRA AGRUP 3103771 ANULfacturaP1M701N0280809 NO APLICAT ed administratius ,-503.82,Electricitat - Edificis administratius,221.00.0017,Energia Elèctrica,9330A,Edificis administratius,3.6.0.16,Serveis Municipals
12/04/2017,ABONO TEL  MÓVIL; Tipo de contrato: Corporatiu 2005Tarifa Única; Número extensiones fijas/móviles facturadas: 5,-0.31,Telefonia mòbil,222.00.0016,Serveis de Telecomunicacions,9200A,Administració General ,2.6.0.16,Serveis Generals
12/04/2017,ABONAMENT  - Devolució Imports Cobrats Prèviament - SERVICIO TELEFONÍA MÓVIL; Tipo de contrato: Corporatiu 2005 Tar,-29.29,Telefonia mòbil,222.00.0016,Serveis de Telecomunicacions,9200A,Administració General ,2.6.0.16,Serveis Generals
24/04/2017,INFORMACIO REGISTRAL MARÇ'17   ,109.14,Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria
25/04/2017,FR 47526 SUM.MAT. DE PINTURA ABONAMENT FRA. 282DEPART.LOGISTICA MES D'ABRIL  ,-6.64,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
25/04/2017,Servicios realizados el día 1de abril de 2017 en el Parc Arqueològic les Mines de Gavà. Ref: JORNADES DEL PEC Parte Cli,126.45,Xarxa Gavà educativa: Grup impulsor,226.99.0217,Altres despeses diverses,3272A,Projecte Educatiu de Ciutat,1.2.0.16,Educació
27/04/2017,INFORMACIO REGISTRAL FEB'17   ,130.97,Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria
02/05/2017,ABONO AGRUP 3103771 ANUL FRAP1M701N0287267 NO APLICAT ed admisnitratius ,-211.62,Electricitat - Edificis administratius,221.00.0017,Energia Elèctrica,9330A,Edificis administratius,3.6.0.16,Serveis Municipals
08/05/2017,CONSUM FRANQUEIG ABRIL'17   ,361.67,Comunicacions postals i missatgeries,222.01.0017,Postals,9200A,Administració General ,2.6.0.16,Serveis Generals
08/05/2017,ALBARAN R 712002738 FECHA 18/04/2017 APLICATS DOS ABONOS 703000018 / 703000022 ,568.3,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
08/05/2017,ALBARAN R 712003103 FECHA 28/04/2017 **MEM**  ,437.12,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
17/05/2017,ALBARAN R 712002841 FECHA 09/05/2017  ,292.15,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
17/05/2017,ALBARAN R 712002870 FECHA 03/05/2017  ,1412.52,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
18/05/2017,ABONO AGRUP 3160617 NO APLICAT TERMINO DE ENERGIA VARIABLE  ,-2055.79,Electricitat - Edificis administratius,221.00.0017,Energia Elèctrica,9330A,Edificis administratius,3.6.0.16,Serveis Municipals
18/05/2017,ABONO AGRUP 3159924 NO APLICATANUL facturaP1M701N0467505   ,-222.93,"Electricitat - Edificis Socials (Casals, Museus,et",221.00.0017,Energia Elèctrica,9330B,Equipaments de serveis,3.6.0.16,Serveis Municipals
08/06/2017,REPARTIMENT DE 60 MOTXILESPER A NADONS  ,174,Comunicacions postals i missatgeries,222.01.0017,Postals,9200A,Administració General ,2.6.0.16,Serveis Generals
08/06/2017,ABONAMENT PARCIAL FACTURA CATERING   ,-19.5,APR-Rel publiques i representació,226.01.0017,Atencions protocol·làries i representatives,9121A,Òrgans de govern - Programes d'Alcaldia,2.8.0.16,Oficina de l'Alcaldessa
14/06/2017,INFORMACIO REGISTRAL ABRIL'17   ,65.49,Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria
14/06/2017,INFORMACIO REGISTRAL MAIG'17   ,76.4,Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria
19/06/2017,ALBARAN R 712003553 FECHA 17/05/2017 **MEM**LOGISTICA MAIG  ,430.53,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
19/06/2017,ALBARAN R 712003528 FECHA 16/05/2017 LOGISTICA MAIG  ,983.28,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
19/06/2017,ALBARAN R 712003913 FECHA 30/05/2017 LOGISTICA   ,2043.94,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
19/06/2017,ALBARAN R 712003889 FECHA 29/05/2017 LOGISTICA  ,1248.57,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
28/06/2017,"APLICAR FIANÇA Servei coordinació i gestió de l'assignaturade crèdit variable: interculturalitat, cultura de la Pau i c",1437.5,Programes i Activitats de Drets Civils,226.99.0217,Altres despeses diverses,2317A,Drets civils i Nova ciutadania,1.4.0.16,Igualtat i Ciutadania
05/07/2017,ABONO AGRUP 3269566 NO APLICATANUL FRA  P1M701N0737394   ,-644.68,"Electricitat - Via pública (Enllumenat, semàfors)",221.00.0017,Energia Elèctrica,1650A,Enllumenat públic,3.6.0.16,Serveis Municipals
05/07/2017,ABONO AGRUP 3269566 NO APLICAT ANUL. FRA P1M701N0759311   ,-353.62,"Electricitat - Via pública (Enllumenat, semàfors)",221.00.0017,Energia Elèctrica,1650A,Enllumenat públic,3.6.0.16,Serveis Municipals
18/07/2017,ALBARAN R 712004403 FECHA 16/06/2017 REF.AUX:ESCOLES  ,5504.79,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
18/07/2017,CUERPO RECTO RS2 40 50 63 75MM   ,1679.1,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
18/07/2017,ABONO  R 701000007 FECHA 19/06/2017   ,-121.39,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
20/07/2017,BASES SOL. ATORGAMENT SUBVENCIONS INSTAL.APARELLS ELEVADORS I SUPR. BARRERES EN EDIFICIS ,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
21/07/2017,951655852/Mantenimiento/UNICO/MUSEO DE GAVA/CARRER JAUME I   7 -ABONAMENT ,-838.78,Maquinària i instal tècniques Cultura i Patrimoni,213.00.0217,"Maquinària,instal·lacions tècniques i utillatje",9330B,Equipaments de serveis,1.7.0.16,Logística
26/07/2017,Contracte de lloguer de places d'aparcament Balmes de Gavà 18 de juliol 2016 Lloguer 7 pl**Memoramdum**,1512.7,Lloguer edificis i altres construccions,202.00.0016,Arrendament edificis i altres construccions,4913A,Societat de la informació-Audiovisual i Internet,2.6.0.16,Serveis Generals
26/07/2017,Contracte de lloguer de places d'aparcament Balmes de Gavà 18 de juliol 2016 Lloguer 7 pl**Memoramdum**,1903.64,Lloguer edificis i altres construccions,202.00.0017,Arrendament edificis i altres construccions,4913A,Societat de la informació-Audiovisual i Internet,2.6.0.16,Serveis Generals
26/07/2017,Contracte de lloguer de places d'aparcament Balmes de Gavà 18 de juliol 2016 Lloguer 7 pl**Memoramdum**,12.99,Manteniment de places de parquing,212.00.0217,Edificis i altres construccions,9330A,Edificis administratius,2.6.0.16,Serveis Generals
27/07/2017,CONDICIONAMENT AREES DE LLEURE (OMO 08/17) JUNTS FEM BARRI 2016 ,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
27/07/2017,APROV PROJ OBRES CONSERVACIO D'EQUIPAMENTS  (OMO 07/17)   ,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
27/07/2017,AMPLIACIO SKATE PARC DEL CALAMOT (OMO 05/17) JUNTS FEM BARRI 2016 ,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
04/08/2017,COMISIONES IVA AGOST'17   ,2707.5,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
04/08/2017,MATERIAL DE FERRETERIA EQUIPAMENTS  ,6567.75,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
04/08/2017,COMISIONES IVA AGOST17   ,41.95,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
04/08/2017,ABONO - Lexmark T650H11Elaser negro T650N/T652/T654N.Albarà: 2017/P/159224061465000,-425.67,Material informàtic no inventariable,220.02.0017,Material informàtic no inventariable,9200A,Administració General ,2.6.0.16,Serveis Generals
04/08/2017,CONSUM BENZINA JULIOL'17   ,3052.09,Combustibles i carburants - Seguretat,221.03.0017,Combustibles i Carburants,9200A,Administració General ,2.6.0.16,Serveis Generals
04/08/2017,MATERIAL DE FERRETERIA EQUIPAMENTS   ,358.7,Edificis i altres constr Esports,212.01.0117,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
04/08/2017,ALBARAN R 712005240 FECHA 17/07/2017   ,198.74,Edificis i altres constr Cultura i Patrimoni,212.01.0217,Edificis i altres construccions,9330B,Equipaments de serveis,1.7.0.16,Logística
09/08/2017,PROJCONDICIONAMENT MAS BRUGUES (OMO 14-17) JUNTS FEM BARRI 2016 ,100,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
14/08/2017,COMISIONES IVA AGOST'17   ,39.26,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
14/08/2017,COMISIONES IVA AGOST'17   ,628.23,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
24/08/2017,INFORMACIO REGISTRAL JUNY'17   ,54.57,Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria
24/08/2017,"Factura por el suministro y la colocación de fuente en C Premiá de Gavà, según presupuesto nº 20170028",1203.95,Campanya prevenció i vigilància de platges,227.06.0017,Estudis i treballs tècnics,1350A,Protecció civil ,3.3.0.16,Medi Ambient i Sostenibilitat
30/08/2017,CONVOCATORIA PROCES DE SELECIO PROMOCIO INTERNA TECNICAUXILIAR ,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
30/08/2017,CONVOCATORIA PROCES DE SELECIO PROMOCIO INTERNA AUXILIARADMINISTRATIU/VA ,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
30/08/2017,CONVOCATORIA PROCES DE SELECIO PROMOCIO INTERNA ADMINISTRATIU/VA ,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
04/09/2017,QUOTA SET 2017 CONTRACTE Nº 20162205790 Matrícula 3216JRS  ,88.69,Renting vehicles policia,204.01.0017,Arrendament de material de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
18/09/2017,HONORARIS NOTARIA COMPRAVENDA INMOBLES  ,481.36,Inv.nova en edif i altres constr.- Rel.Ciutadanes,622.00.0015,Edificis i altres construccions,3370A,Relacions ciutadanes,1.0.0.16,Ad.Gral.de Benestar i Acció Social
18/09/2017,INFORMACIO REGISTRAL JUL'17   ,10.91,Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria
18/09/2017,INFORMACIO REGISTRAL AGO'17   ,21.83,Estudis i treballs tècnics Gestió Tributaria,227.06.0017,Estudis i treballs tècnics,9320A,Gestió del sistema tributari,2.5.9.16,Hisenda i Tresoreria
18/09/2017,HONORARIS NOTARIA COMPRAVENDA INMOBLES  ,22.27,Inv.nova en edif i altres constr.- Rel.Ciutadanes,622.00.0015,Edificis i altres construccions,3370A,Relacions ciutadanes,1.0.0.16,Ad.Gral.de Benestar i Acció Social
19/09/2017,AMPLIACIO SERV FISIOTERAPIA EEM FELIP  ,200,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
19/09/2017,LICITACIO SERV MONITORATGE MENJADOR EE MFELIP  ,92,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
19/09/2017,LICITACIO SERV FISIOTERAPIA EEMFELIP  ,92,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
19/09/2017,LLICENCIA URBANISTICA OBRES DUES PISTES TENNIS CAMI DEL RIUET ,80,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
19/09/2017,AMPLIACIO TERMINI LICITACIO SERV MONITORATGE MENJADOR EEMFELIP ,200,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
19/09/2017,BASES PROCES 3PL PROM INT C2 AUX ADMINISTRATIUS  ,80,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
19/09/2017,BASES PROCES 12 PL PROM INT C1ADMINISTRATIUS  ,80,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
19/09/2017,BASES PROCES 1 PL TECNIC AUXILIAR E-ADMINISTRACIO  ,80,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
20/09/2017,COMISIONES IVA SET'17   ,2.42,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,COMISIONES IVA SET'17   ,69.94,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,COMISIONES IVA SET'17   ,2232.89,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,COMISIONES IVA SET'17   ,2826.31,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,COMISIONES IVA SET'17   ,44.59,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,COMISIONES IVA SET'17   ,3.81,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,COMISIONES IVA AGOST'17   ,24.14,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,COMISIONES IVA SET'17   ,2.42,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,COMISIONES IVA SET'17   ,4.24,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
20/09/2017,CONSUM BENZINA AGOST'17   ,2337.59,Combustibles i carburants - Seguretat,221.03.0017,Combustibles i Carburants,9200A,Administració General ,2.6.0.16,Serveis Generals
20/09/2017,COMISIONES IVA SET'17   ,355.17,Altres despeses financeres,319.00.0017,Altres desp. financeres de préstecs i alt.oper eur,0110A,Deute Públic,2.5.9.16,Hisenda i Tresoreria
21/09/2017,"m3 Excavació per a caixa de paviment en terreny fluix (SPT<20), realitzada amb pala excavadora i càrrega directa sobre c",22687.5,Inversions reposició escoles,639.00.0016,Altr.inv.repos.associad.funcion.oper.serveis,3230A,Funcionament centres docents d'Educació,3.4.0.16,Obres i Manteniment
21/09/2017,Menús domicilis agost   ,1216.22,Dependència - Ajut a domicili (SAD),227.06.0117,Estudis i treballs tècnics,2311B,Assitència a persones dependents,1.1.0.16,Serveis Socials
25/09/2017,PROJ ARRANJAMENT ENTORN PARADA BUS C-245 L'ARBORETUM  ,280,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
25/09/2017,JUNTS FEM BARRI 2016-CONDICIONAMENT E PUBLIC RETIRADA ARBRAT C. ST LLUIS ,280,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
25/09/2017,APROV PROJ ADEQUACIO LOCAL MNPAL C.JAUME I PER A SERV OCUPACIO (OMO13/17) ,280,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
25/09/2017,ABONO FRA P1M701N1088153 AGRUP 3381031 NO APLICADA V PUBLICA  ,-505.22,"Electricitat - Via pública (Enllumenat, semàfors)",221.00.0017,Energia Elèctrica,1650A,Enllumenat públic,3.6.0.16,Serveis Municipals
25/09/2017,QUOTA RENTING 34 DE 48  1704HZW  ,1185.38,Renting vehicles policia,204.01.0017,Arrendament de material de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
25/09/2017,QUOTA RENTING 34 DE 48  1704HZW  ,28.99,Renting vehicles policia,204.01.0017,Arrendament de material de transport,1320A,Policia de Seguretat,3.5.0.16,Seguretat Ciutadana
26/09/2017,"COM PROP SAN LUIS 59 GUIFRE PILOS,4.6.8  ",233.48,Despeses diverses,226.99.0217,Altres despeses diverses,4912A,Societat de la informació-Radiodifusió,2.8.3.16,Mitjans de Comunicació
26/09/2017,"COM PROP SAN LUIS 59 GUIFRE PILOS,4.6.8  ",233.48,Despeses diverses,226.99.0217,Altres despeses diverses,4912A,Societat de la informació-Radiodifusió,2.8.3.16,Mitjans de Comunicació
29/09/2017,APROVACIO DEFINITIVA PROJECTE D'ACTUACIONS PUNTUALS DEPAVIMENTACIO 2016  OMO 12/17 ,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
29/09/2017,APROVACIO DEFINITIVA PROJECTE ADEQUACIO SENDER CAMI DELSBOSCOS I ERMITA BRUGUERS OMO10/17,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
29/09/2017,APROVACIO PROJECTE INSTAL·LACIO DE FAÇANA FOTOVOLCAICA A L'EDIFICI DE L'AJUNTAMENT OMO 09/17,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
29/09/2017,APROVACIO DEFINITIVA PROJECTEJUNS FEM BARRI 2016- CREACIOESPAIS ESPORTIUS I ARTISTICS A L'AIRE LLIURE OMO 11/17,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
29/09/2017,APROVACIO DEFINITIVA PROJECTE JUNTS FEM BARRI 2016- CONDICIONAMENT ESPAI PUBLIC MAS BRUGUES OMO 14/17,218.4,Publicacions en diaris oficials (AMP),226.03.0017,Publicació en Diaris Oficials,9200A,Administració General ,2.6.0.16,Serveis Generals
02/10/2017,Servei tècnic julio -COMPENSARFIANÇA DEF.   ,2753.72,"Promoció i Difusió Arts Escèniques,Visual i Música",226.09.0217,Activitats culturals i esportives,3330A,Arts escèniques i Música,1.3.0.16,Cultura
02/10/2017,ALQ0011608 -LLOGUER PLATAFORMA CEMENTIRI MES SETEMBRE   ,641.3,Lloguer maquinària cementiri,203.00.0017,"Arrendament maquinària, instal·lacions i utillatge",1640A,Cementiri,3.1.0.16,Salut Pública
03/10/2017,"Quarta factura del projecte ""Servei d'Organització, gestió i desenvoupament d'un projected'empren a les aules 2016/2017",3500,Estudis i treballs tècnics d'Ocupació,227.06.0317,Estudis i treballs tècnics,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica
03/10/2017,"Quarta factura del projecte ""Servei d'Organització, gestió i desenvoupament d'un projected'empren a les aules 2016/2017",13337,Estudis i treballs tècnics d'Ocupació,227.06.0317,Estudis i treballs tècnics,2412A,Foment de l'Ocupació - Creació d'empresa,2.7.0.16,Promoció Econòmica
03/10/2017,"Colocación de 12 carteles ""Mil·leni Art""  ",27.59,Dinamització d'entitats,226.99.0117,Altres despeses diverses,3370A,Relacions ciutadanes,1.3.0.16,Cultura
03/10/2017,"Placa skyline amb logos color""G"" de Gavà i ""Made in Gavà""  ",919.6,Estudis i treballs tècnics premis empresa,227.06.0017,Estudis i treballs tècnics,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica
03/10/2017,"Placa número 50 coure, escut Ajuntament i signatura 50 aniversari empresa Metaldyne AAM ",99.22,Estudis i treballs tècnics premis empresa,227.06.0017,Estudis i treballs tècnics,2414A,Dinamització empresarial,2.7.0.16,Promoció Econòmica
03/10/2017,AUXI-SERVEIS EXTRAS RECEPCIO ESCOLES INSTALACIONS AJUNTAMENT DE GAVA SETEMBRE5 REF NIO 5183/2016,1555.31,Consegeria escoles,227.06.0117,Estudis i treballs tècnics,3230A,Funcionament centres docents d'Educació,2.6.0.16,Serveis Generals
