CODI_DIVISIO_TERRITORIAL;CODI_PARTIT;DESCRIPCIO_PARTIT;NRE_VOTS
S-01008;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;151
S-01008;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;77
S-01008;NULS;NULS;6
S-01008;PP      ;PARTIDO POPULAR                         ;36
S-01008;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;255
S-01008;PXC    ;PLATAFORMA PER CATALUNYA                ;13
S-01008;UPyD;UNION PROGRESO Y DEMOCRACIA;1
S-01009;BLANCS;BLANCS;5
S-01009;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;85
S-01009;CIU  ;CONVERGENCIA I UNIO                     ;55
S-01009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;44
S-01009;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;67
S-01009;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;39
S-01009;NULS;NULS;7
S-01009;PP      ;PARTIDO POPULAR                         ;24
S-01009;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;120
S-01009;PXC    ;PLATAFORMA PER CATALUNYA                ;4
S-01009;UPyD;UNION PROGRESO Y DEMOCRACIA;5
S-01010;BLANCS;BLANCS;8
S-01010;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;102
S-01010;CIU  ;CONVERGENCIA I UNIO                     ;65
S-01010;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;64
S-01010;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;82
S-01010;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;42
S-01010;NULS;NULS;3
S-01010;PP      ;PARTIDO POPULAR                         ;46
S-01010;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;219
S-01010;PXC    ;PLATAFORMA PER CATALUNYA                ;11
S-01010;UPyD;UNION PROGRESO Y DEMOCRACIA;4
S-01011;BLANCS;BLANCS;3
S-01011;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;82
S-01011;CIU  ;CONVERGENCIA I UNIO                     ;7
S-01011;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;57
S-01011;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;51
S-01011;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;45
S-01011;NULS;NULS;0
S-01011;PP      ;PARTIDO POPULAR                         ;23
S-01011;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;171
S-01011;PXC    ;PLATAFORMA PER CATALUNYA                ;3
S-01011;UPyD;UNION PROGRESO Y DEMOCRACIA;2
S-01012;BLANCS;BLANCS;0
S-01012;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;84
S-01012;CIU  ;CONVERGENCIA I UNIO                     ;19
S-01012;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;48
S-01012;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;33
S-01012;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;32
S-01012;NULS;NULS;0
S-01012;PP      ;PARTIDO POPULAR                         ;33
S-01012;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;144
S-01012;PXC    ;PLATAFORMA PER CATALUNYA                ;4
S-01012;UPyD;UNION PROGRESO Y DEMOCRACIA;5
S-01013;BLANCS;BLANCS;8
S-01013;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;123
S-01013;CIU  ;CONVERGENCIA I UNIO                     ;53
S-01013;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;47
S-01013;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;107
S-01013;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;37
S-01013;NULS;NULS;4
S-01013;PP      ;PARTIDO POPULAR                         ;34
S-01013;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;171
S-01013;PXC    ;PLATAFORMA PER CATALUNYA                ;6
S-01013;UPyD;UNION PROGRESO Y DEMOCRACIA;5
S-01014;BLANCS;BLANCS;6
S-01014;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;96
S-01014;CIU  ;CONVERGENCIA I UNIO                     ;49
S-01014;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;75
S-01014;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;125
S-01014;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;59
S-01014;NULS;NULS;6
S-01014;PP      ;PARTIDO POPULAR                         ;27
S-01014;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;189
S-01014;PXC    ;PLATAFORMA PER CATALUNYA                ;6
S-01014;UPyD;UNION PROGRESO Y DEMOCRACIA;2
S-02001;BLANCS;BLANCS;16
S-02001;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;216
S-02001;CIU  ;CONVERGENCIA I UNIO                     ;78
S-02001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;202
S-02001;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;195
S-02001;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;99
S-02001;NULS;NULS;7
S-02001;PP      ;PARTIDO POPULAR                         ;78
S-02001;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;390
S-02001;PXC    ;PLATAFORMA PER CATALUNYA                ;20
S-02001;UPyD;UNION PROGRESO Y DEMOCRACIA;3
S-02002;BLANCS;BLANCS;17
S-02002;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;125
S-02002;CIU  ;CONVERGENCIA I UNIO                     ;69
S-02002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;150
S-02002;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;114
S-02002;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;88
S-02002;NULS;NULS;3
S-02002;PP      ;PARTIDO POPULAR                         ;85
S-02002;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;389
S-02002;PXC    ;PLATAFORMA PER CATALUNYA                ;11
S-02002;UPyD;UNION PROGRESO Y DEMOCRACIA;5
S-03001;BLANCS;BLANCS;6
S-03001;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;63
S-03001;CIU  ;CONVERGENCIA I UNIO                     ;20
S-03001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;56
S-03001;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;39
S-03001;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;51
S-03001;NULS;NULS;2
S-03001;PP      ;PARTIDO POPULAR                         ;46
S-03001;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;182
S-03001;PXC    ;PLATAFORMA PER CATALUNYA                ;9
S-03001;UPyD;UNION PROGRESO Y DEMOCRACIA;4
S-03002;BLANCS;BLANCS;5
S-03002;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;97
S-03002;CIU  ;CONVERGENCIA I UNIO                     ;8
S-03002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;51
S-03002;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;19
S-03002;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;30
S-03002;NULS;NULS;0
S-03002;PP      ;PARTIDO POPULAR                         ;21
S-03002;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;152
S-03002;PXC    ;PLATAFORMA PER CATALUNYA                ;6
S-03002;UPyD;UNION PROGRESO Y DEMOCRACIA;1
S-03003;BLANCS;BLANCS;2
S-03003;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;78
S-03003;CIU  ;CONVERGENCIA I UNIO                     ;12
S-03003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;42
S-03003;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;19
S-03003;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;41
S-03003;NULS;NULS;2
S-03003;PP      ;PARTIDO POPULAR                         ;29
S-03003;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;132
S-03003;PXC    ;PLATAFORMA PER CATALUNYA                ;12
S-03003;UPyD;UNION PROGRESO Y DEMOCRACIA;5
S-03004;BLANCS;BLANCS;19
S-03004;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;304
S-03004;CIU  ;CONVERGENCIA I UNIO                     ;61
S-03004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;277
S-03004;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;209
S-03004;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;144
S-03004;NULS;NULS;9
S-03004;PP      ;PARTIDO POPULAR                         ;82
S-03004;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;537
S-03004;PXC    ;PLATAFORMA PER CATALUNYA                ;23
S-03004;UPyD;UNION PROGRESO Y DEMOCRACIA;6
S-03005;BLANCS;BLANCS;10
S-03005;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;147
S-03005;CIU  ;CONVERGENCIA I UNIO                     ;23
S-03005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;86
S-03005;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;80
S-03005;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;114
S-03005;NULS;NULS;0
S-03005;PP      ;PARTIDO POPULAR                         ;31
S-03005;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;243
S-03005;PXC    ;PLATAFORMA PER CATALUNYA                ;5
S-03005;UPyD;UNION PROGRESO Y DEMOCRACIA;8
S-03006;BLANCS;BLANCS;6
S-03006;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;108
S-03006;CIU  ;CONVERGENCIA I UNIO                     ;22
S-03006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;31
S-03006;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;45
S-03006;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;31
S-03006;NULS;NULS;4
S-03006;PP      ;PARTIDO POPULAR                         ;33
S-03006;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;125
S-03006;PXC    ;PLATAFORMA PER CATALUNYA                ;6
S-03006;UPyD;UNION PROGRESO Y DEMOCRACIA;1
S-03007;BLANCS;BLANCS;4
S-03007;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;93
S-03007;CIU  ;CONVERGENCIA I UNIO                     ;24
S-03007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;55
S-03007;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;68
S-03007;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;55
S-03007;NULS;NULS;2
S-03007;PP      ;PARTIDO POPULAR                         ;41
S-03007;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;203
S-03007;PXC    ;PLATAFORMA PER CATALUNYA                ;9
S-03007;UPyD;UNION PROGRESO Y DEMOCRACIA;3
S-03008;BLANCS;BLANCS;2
S-03008;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;117
S-03008;CIU  ;CONVERGENCIA I UNIO                     ;17
S-03008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;74
S-03008;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;44
S-03008;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;47
S-03008;NULS;NULS;8
S-03008;PP      ;PARTIDO POPULAR                         ;32
S-03008;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;272
S-03008;PXC    ;PLATAFORMA PER CATALUNYA                ;6
S-03008;UPyD;UNION PROGRESO Y DEMOCRACIA;4
S-03009;BLANCS;BLANCS;3
S-03009;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;64
S-03009;CIU  ;CONVERGENCIA I UNIO                     ;2
S-03009;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;69
S-03009;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;10
S-03009;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;32
S-03009;NULS;NULS;0
S-03009;PP      ;PARTIDO POPULAR                         ;28
S-03009;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;178
S-03009;PXC    ;PLATAFORMA PER CATALUNYA                ;10
S-03009;UPyD;UNION PROGRESO Y DEMOCRACIA;1
S-04001;BLANCS;BLANCS;4
S-04001;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;102
S-04001;CIU  ;CONVERGENCIA I UNIO                     ;16
S-04001;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;82
S-04001;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;47
S-04001;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;34
S-04001;NULS;NULS;2
S-04001;PP      ;PARTIDO POPULAR                         ;50
S-04001;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;221
S-04001;PXC    ;PLATAFORMA PER CATALUNYA                ;5
S-04001;UPyD;UNION PROGRESO Y DEMOCRACIA;3
S-04002;BLANCS;BLANCS;3
S-04002;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;57
S-04002;CIU  ;CONVERGENCIA I UNIO                     ;13
S-04002;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;53
S-04002;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;32
S-04002;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;27
S-04002;NULS;NULS;0
S-04002;PP      ;PARTIDO POPULAR                         ;19
S-04002;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;105
S-04002;PXC    ;PLATAFORMA PER CATALUNYA                ;2
S-04002;UPyD;UNION PROGRESO Y DEMOCRACIA;0
S-04003;BLANCS;BLANCS;4
S-04003;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;144
S-04003;CIU  ;CONVERGENCIA I UNIO                     ;22
S-04003;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;56
S-04003;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;66
S-04003;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;60
S-04003;NULS;NULS;2
S-04003;PP      ;PARTIDO POPULAR                         ;57
S-04003;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;222
S-04003;PXC    ;PLATAFORMA PER CATALUNYA                ;13
S-04003;UPyD;UNION PROGRESO Y DEMOCRACIA;0
S-04004;BLANCS;BLANCS;8
S-04004;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;73
S-04004;CIU  ;CONVERGENCIA I UNIO                     ;3
S-04004;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;41
S-04004;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;25
S-04004;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;30
S-04004;NULS;NULS;4
S-04004;PP      ;PARTIDO POPULAR                         ;24
S-04004;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;220
S-04004;PXC    ;PLATAFORMA PER CATALUNYA                ;10
S-04004;UPyD;UNION PROGRESO Y DEMOCRACIA;0
S-04005;BLANCS;BLANCS;6
S-04005;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;32
S-04005;CIU  ;CONVERGENCIA I UNIO                     ;4
S-04005;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;41
S-04005;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;10
S-04005;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;39
S-04005;NULS;NULS;6
S-04005;PP      ;PARTIDO POPULAR                         ;39
S-04005;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;222
S-04005;PXC    ;PLATAFORMA PER CATALUNYA                ;12
S-04005;UPyD;UNION PROGRESO Y DEMOCRACIA;1
S-04006;BLANCS;BLANCS;9
S-04006;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;61
S-04006;CIU  ;CONVERGENCIA I UNIO                     ;9
S-04006;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;70
S-04006;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;20
S-04006;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;46
S-04006;NULS;NULS;4
S-04006;PP      ;PARTIDO POPULAR                         ;54
S-04006;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;283
S-04006;PXC    ;PLATAFORMA PER CATALUNYA                ;12
S-04006;UPyD;UNION PROGRESO Y DEMOCRACIA;1
S-04007;BLANCS;BLANCS;3
S-04007;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;74
S-04007;CIU  ;CONVERGENCIA I UNIO                     ;15
S-04007;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;33
S-04007;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;45
S-04007;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;53
S-04007;NULS;NULS;5
S-04007;PP      ;PARTIDO POPULAR                         ;45
S-04007;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;168
S-04007;PXC    ;PLATAFORMA PER CATALUNYA                ;6
S-04007;UPyD;UNION PROGRESO Y DEMOCRACIA;1
S-04008;BLANCS;BLANCS;9
S-04008;CEC-CPC;CORNELLÀ EN COMÚ-CRIDA PER CORNELLÀ;127
S-04008;CIU  ;CONVERGENCIA I UNIO                     ;21
S-04008;C s;CIUTADANS-PARTIDO DE LA CIUDADANIA;60
S-04008;ERC-AM;ESQUERRA REPUBLICANA DE CATALUNYA-ACORD MUNICIPAL;58
S-04008;ICV-EUIA-EP-E;INICIATIVA CATALUNYA VERDS-ESQ.UNIDA ALT.-ESQ.PLURAL-ENTESA;61
S-04008;NULS;NULS;6
S-04008;PP      ;PARTIDO POPULAR                         ;51
S-04008;PSC-CP;PARTIT SOCIALISTES DE CATALUNYA-CANDIDATURA DE PROGRÉS;227
S-04008;PXC    ;PLATAFORMA PER CATALUNYA                ;8
