CODI_DIVISIO_TERRITORIAL;CODI_PAIS_PROCEDENCIA;PAIS_PROCEDENCIA;CODI_PROVINCIA_PROCEDENCIA;PROVINCIA_PROCEDENCIA;NRE_HOMES;NRE_DONES
D-03;108;ESPAÑA;33;ASTURIAS;1;1
D-03;108;ESPAÑA;36;PONTEVEDRA;1;0
D-03;108;ESPAÑA;37;SALAMANCA;1;0
D-03;108;ESPAÑA;38;SANTA CRUZ DE TENERIFE;1;0
D-03;108;ESPAÑA;39;CANTABRIA;1;0
D-03;108;ESPAÑA;40;SEGOVIA;1;0
D-03;108;ESPAÑA;41;SEVILLA;2;2
D-03;108;ESPAÑA;43;TARRAGONA;7;5
D-03;108;ESPAÑA;44;TERUEL;1;0
D-03;108;ESPAÑA;45;TOLEDO;2;0
D-03;108;ESPAÑA;46;VALENCIA;3;0
D-03;108;ESPAÑA;48;VIZCAYA;1;2
D-03;110;FRANCIA;;;3;2
D-03;115;ITALIA                   ;;;1;1
D-03;123;PORTUGAL                 ;;;2;0
D-03;125;REINO UNIDO;;;1;2
D-03;126;ALEMANIA;;;1;0
D-03;128;RUMANIA;;;2;0
D-03;132;SUIZA;;;1;1
D-03;135;UCRANIA;;;2;3
D-03;137;MOLDOVA;;;3;1
D-03;139;GEORGIA;;;1;2
D-03;147;ESLOVENIA;;;0;1
D-03;208;CAMERUN                  ;;;0;1
D-03;221;KENIA                    ;;;1;0
D-03;228;MARRUECOS;;;1;4
D-03;303;MÉJICO;;;1;0
D-03;315;CUBA                     ;;;0;1
D-03;321;HONDURAS;;;0;7
D-03;326;REP. DOMINICANA;;;1;1
D-03;340;ARGENTINA                ;;;1;0
D-03;341;BOLIVIA                  ;;;1;0
D-03;343;COLOMBIA                 ;;;6;2
D-03;345;ECUADOR;;;6;4
D-03;347;PARAGUAY;;;0;1
D-03;348;PERÚ;;;7;6
D-03;351;VENEZUELA;;;8;4
D-03;407;CHINA;;;2;0
D-03;426;PAKISTÁN;;;9;5
D-04;101;ALBANIA                  ;;;1;0
D-04;103;BELGICA                  ;;;0;2
D-04;104;BULGARIA                 ;;;3;4
D-04;108;ESPAÑA;03;ALICANTE;3;1
D-04;108;ESPAÑA;04;ALMERIA;1;3
D-04;108;ESPAÑA;06;BADAJOZ;3;1
D-04;108;ESPAÑA;07;BALEARES;6;4
D-04;108;ESPAÑA;08;BARCELONA;332;330
D-04;108;ESPAÑA;10;CACERES;1;0
D-04;108;ESPAÑA;11;CADIZ;0;1
D-04;108;ESPAÑA;13;CIUDAD REAL;4;5
D-04;108;ESPAÑA;14;CORDOBA;2;2
D-04;108;ESPAÑA;15;LA CORUÑA;0;1
D-04;108;ESPAÑA;17;GIRONA;6;4
D-04;108;ESPAÑA;18;GRANADA;2;3
D-04;108;ESPAÑA;19;GUADALAJARA;1;0
D-04;108;ESPAÑA;20;GUIPUZCOA;1;0
D-04;108;ESPAÑA;21;HUELVA;0;1
D-04;108;ESPAÑA;22;HUESCA;1;1
D-04;108;ESPAÑA;23;JAEN;2;2
D-04;108;ESPAÑA;24;LEON;1;1
D-04;108;ESPAÑA;25;LLEIDA;7;6
D-04;108;ESPAÑA;28;MADRID;12;15
D-04;108;ESPAÑA;29;MALAGA;2;2
D-04;108;ESPAÑA;30;MURCIA;2;0
D-04;108;ESPAÑA;31;NAVARRA;0;1
D-04;108;ESPAÑA;35;LAS PALMAS;3;2
D-04;108;ESPAÑA;37;SALAMANCA;0;1
D-04;108;ESPAÑA;38;SANTA CRUZ DE TENERIFE;1;4
D-04;108;ESPAÑA;39;CANTABRIA;2;0
D-04;108;ESPAÑA;41;SEVILLA;4;3
D-04;108;ESPAÑA;43;TARRAGONA;21;17
D-04;108;ESPAÑA;44;TERUEL;1;2
D-04;108;ESPAÑA;45;TOLEDO;2;0
D-04;108;ESPAÑA;46;VALENCIA;2;0
D-04;108;ESPAÑA;48;VIZCAYA;2;1
D-04;108;ESPAÑA;50;ZARAGOZA;1;4
D-04;108;ESPAÑA;52;MELILLA;2;2
D-04;110;FRANCIA;;;4;0
D-04;113;IRLANDA                  ;;;1;0
D-04;115;ITALIA                   ;;;4;9
D-04;123;PORTUGAL                 ;;;0;1
D-04;125;REINO UNIDO;;;4;0
D-04;126;ALEMANIA;;;1;0
D-04;128;RUMANIA;;;9;7
D-04;132;SUIZA;;;0;1
D-04;135;UCRANIA;;;5;2
D-04;137;MOLDOVA;;;2;6
D-04;138;BIELORRUSIA;;;0;1
D-04;139;GEORGIA;;;5;3
D-04;203;ARGELIA                  ;;;2;0
D-04;216;GAMBIA                   ;;;1;0
D-04;228;MARRUECOS;;;3;7
D-04;239;SENEGAL                  ;;;0;2
D-04;302;ESTADOS UNIDOS;;;1;1
D-04;303;MÉJICO;;;0;1
D-04;314;COSTA RICA               ;;;1;0
D-04;317;EL SALVADOR              ;;;4;6
D-04;321;HONDURAS;;;5;23
D-04;324;PANAMÁ;;;0;1
D-04;326;REP. DOMINICANA;;;6;2
D-04;340;ARGENTINA                ;;;1;1
D-04;341;BOLIVIA                  ;;;3;8
D-04;342;BRASIL                   ;;;4;7
D-04;343;COLOMBIA                 ;;;13;16
D-04;344;CHILE;;;2;0
D-04;345;ECUADOR;;;10;14
D-04;347;PARAGUAY;;;1;7
D-04;348;PERÚ;;;6;13
D-04;350;URUGUAY;;;1;2
D-04;351;VENEZUELA;;;3;3
D-04;407;CHINA;;;4;5
D-04;408;EMIRATOS ÁRABES UNIDOS;;;1;0
D-04;413;IRÁN;;;2;2
D-04;424;NEPAL                    ;;;2;1
D-04;426;PAKISTÁN;;;7;2
D-04;501;AUSTRALIA                ;;;1;1
D-05;103;BELGICA                  ;;;0;1
D-05;108;ESPAÑA;01;ALAVA;3;0
D-05;108;ESPAÑA;03;ALICANTE;0;4
D-05;108;ESPAÑA;04;ALMERIA;4;0
D-05;108;ESPAÑA;06;BADAJOZ;3;2
D-05;108;ESPAÑA;07;BALEARES;5;5
D-05;108;ESPAÑA;08;BARCELONA;216;199
D-05;108;ESPAÑA;10;CACERES;1;0
D-05;108;ESPAÑA;11;CADIZ;2;3
D-05;108;ESPAÑA;12;CASTELLON;2;0
D-05;108;ESPAÑA;13;CIUDAD REAL;1;0
D-05;108;ESPAÑA;14;CORDOBA;1;0
D-05;108;ESPAÑA;15;LA CORUÑA;1;0
D-05;108;ESPAÑA;16;CUENCA;1;1
D-05;108;ESPAÑA;17;GIRONA;6;5
D-05;108;ESPAÑA;18;GRANADA;0;1
D-05;108;ESPAÑA;19;GUADALAJARA;0;1
D-05;108;ESPAÑA;21;HUELVA;1;0
D-05;108;ESPAÑA;22;HUESCA;0;1
D-05;108;ESPAÑA;23;JAEN;2;0
D-05;108;ESPAÑA;25;LLEIDA;9;11
D-05;108;ESPAÑA;28;MADRID;11;6
D-05;108;ESPAÑA;29;MALAGA;3;0
D-05;108;ESPAÑA;30;MURCIA;1;1
D-05;108;ESPAÑA;34;PALENCIA;0;1
D-05;108;ESPAÑA;35;LAS PALMAS;3;3
D-05;108;ESPAÑA;37;SALAMANCA;1;1
D-05;108;ESPAÑA;38;SANTA CRUZ DE TENERIFE;2;2
D-05;108;ESPAÑA;41;SEVILLA;2;2
D-05;108;ESPAÑA;43;TARRAGONA;10;11
D-05;108;ESPAÑA;45;TOLEDO;1;0
D-05;108;ESPAÑA;46;VALENCIA;3;2
D-05;108;ESPAÑA;47;VALLADOLID;1;2
D-05;108;ESPAÑA;48;VIZCAYA;1;0
D-05;108;ESPAÑA;49;ZAMORA;1;1
D-05;108;ESPAÑA;50;ZARAGOZA;3;2
D-05;108;ESPAÑA;52;MELILLA;1;0
D-05;110;FRANCIA;;;3;3
D-05;115;ITALIA                   ;;;2;2
D-05;123;PORTUGAL                 ;;;1;3
D-05;124;ANDORRA;;;2;1
D-05;125;REINO UNIDO;;;1;0
D-05;126;ALEMANIA;;;2;1
D-05;128;RUMANIA;;;4;0
D-05;135;UCRANIA;;;0;3
D-05;137;MOLDOVA;;;4;5
D-05;139;GEORGIA;;;8;10
D-05;142;LITUANIA;;;0;1
D-05;146;CROACIA;;;1;0
D-05;148;ARMENIA;;;1;0
D-05;154;RUSIA;;;0;1
D-05;158;MONTENEGRO;;;1;0
D-05;203;ARGELIA                  ;;;1;1
D-05;228;MARRUECOS;;;15;20
D-05;239;SENEGAL                  ;;;1;0
D-05;301;CANADA                   ;;;1;0
D-05;302;ESTADOS UNIDOS;;;1;0
D-05;314;COSTA RICA               ;;;1;0
D-05;317;EL SALVADOR              ;;;0;2
D-05;321;HONDURAS;;;7;15
D-05;326;REP. DOMINICANA;;;5;6
D-05;341;BOLIVIA                  ;;;1;2
D-05;342;BRASIL                   ;;;0;7
D-05;343;COLOMBIA                 ;;;4;6
D-05;344;CHILE;;;1;2
D-05;345;ECUADOR;;;5;5
D-05;347;PARAGUAY;;;1;1
D-05;348;PERÚ;;;24;14
D-05;350;URUGUAY;;;1;1
D-05;351;VENEZUELA;;;4;2
D-05;407;CHINA;;;2;3
D-05;410;INDIA                    ;;;2;2
D-05;426;PAKISTÁN;;;2;2
D-05;435;TAILANDIA                ;;;0;1
D-06;103;BELGICA                  ;;;1;0
D-06;104;BULGARIA                 ;;;1;0
D-06;108;ESPAÑA;01;ALAVA;1;1
D-06;108;ESPAÑA;02;ALBACETE;0;1
D-06;108;ESPAÑA;03;ALICANTE;3;1
D-06;108;ESPAÑA;04;ALMERIA;2;1
D-06;108;ESPAÑA;06;BADAJOZ;3;2
D-06;108;ESPAÑA;07;BALEARES;5;2
D-06;108;ESPAÑA;08;BARCELONA;301;322
D-06;108;ESPAÑA;09;BURGOS;1;2
D-06;108;ESPAÑA;10;CACERES;1;0
D-06;108;ESPAÑA;11;CADIZ;9;4
D-06;108;ESPAÑA;12;CASTELLON;2;1
D-06;108;ESPAÑA;13;CIUDAD REAL;1;2
D-06;108;ESPAÑA;15;LA CORUÑA;4;2
D-06;108;ESPAÑA;16;CUENCA;1;1
D-06;108;ESPAÑA;17;GIRONA;6;5
D-06;108;ESPAÑA;18;GRANADA;2;1
D-06;108;ESPAÑA;19;GUADALAJARA;0;1
D-06;108;ESPAÑA;20;GUIPUZCOA;1;0
D-06;108;ESPAÑA;22;HUESCA;2;0
D-06;108;ESPAÑA;23;JAEN;1;1
D-06;108;ESPAÑA;24;LEON;1;1
D-06;108;ESPAÑA;25;LLEIDA;9;2
D-06;108;ESPAÑA;26;LA RIOJA;1;0
D-06;108;ESPAÑA;28;MADRID;7;11
D-06;108;ESPAÑA;29;MALAGA;1;2
D-06;108;ESPAÑA;30;MURCIA;1;4
D-06;108;ESPAÑA;32;ORENSE;1;1
D-06;108;ESPAÑA;36;PONTEVEDRA;1;0
D-06;108;ESPAÑA;37;SALAMANCA;1;2
D-06;108;ESPAÑA;38;SANTA CRUZ DE TENERIFE;1;0
D-06;108;ESPAÑA;39;CANTABRIA;1;1
D-06;108;ESPAÑA;41;SEVILLA;1;2
D-06;108;ESPAÑA;43;TARRAGONA;15;14
D-06;108;ESPAÑA;45;TOLEDO;0;1
D-06;108;ESPAÑA;46;VALENCIA;7;4
D-06;108;ESPAÑA;48;VIZCAYA;3;2
D-06;108;ESPAÑA;49;ZAMORA;1;0
D-06;108;ESPAÑA;50;ZARAGOZA;4;0
D-06;108;ESPAÑA;52;MELILLA;1;0
D-06;110;FRANCIA;;;4;1
D-06;115;ITALIA                   ;;;3;7
D-06;117;LUXEMBURGO;;;1;0
D-06;121;PAISES BAJOS;;;1;1
D-06;123;PORTUGAL                 ;;;1;0
D-06;125;REINO UNIDO;;;1;0
D-06;128;RUMANIA;;;6;5
D-06;132;SUIZA;;;2;1
D-06;135;UCRANIA;;;5;1
D-06;137;MOLDOVA;;;3;2
D-06;139;GEORGIA;;;11;6
D-06;148;ARMENIA;;;0;3
D-06;154;RUSIA;;;1;1
D-06;208;CAMERUN                  ;;;1;0
D-06;217;GHANA                    ;;;0;1
D-06;218;GUINEA                   ;;;0;1
D-06;228;MARRUECOS;;;13;13
D-06;239;SENEGAL                  ;;;2;1
D-06;302;ESTADOS UNIDOS;;;2;0
D-06;315;CUBA                     ;;;0;1
D-06;317;EL SALVADOR              ;;;0;4
D-06;321;HONDURAS;;;6;26
D-06;323;NICARAGUA                ;;;0;1
D-06;326;REP. DOMINICANA;;;5;4
D-06;340;ARGENTINA                ;;;3;5
D-06;341;BOLIVIA                  ;;;2;1
D-06;342;BRASIL                   ;;;1;1
D-06;343;COLOMBIA                 ;;;11;11
D-06;344;CHILE;;;3;5
D-06;345;ECUADOR;;;20;13
D-06;347;PARAGUAY;;;5;7
D-06;348;PERÚ;;;16;25
D-06;351;VENEZUELA;;;6;5
D-06;407;CHINA;;;1;0
D-06;409;FILIPINAS;;;1;0
D-06;426;PAKISTÁN;;;10;5
D-06;431;COREA DEL SUR;;;0;1
