ID;ENTITAT;SECTORSEMANTIC1;SECTORSEMANTIC2;SECTORSEMANTIC3;SIGLA;CODI_CARRER;CARRER;NRO;BIS;ESCALA;PIS;PORTA;CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA;CODI_DIVISIO_TERRITORIAL;CODI_POSTAL;AMBIT;ANY_CONSTITUCIO;TELEFON;MAIL;WEB;UTMX;UTMY;LATITUD;LONGITUD;ADREÇA_COMPLETA
66;COORDINADORA CONTRA LA MARGINACION;Suport social;;;;;;;;;;;D-05;B-06;08940;Indefinit;1990;933750102;secretaria@coordinadoracm.org;;;;;;GARRAF, S/N.
67;ASSOCIACIÓ   ADELANTE  DE FAMILIARS I AFECTATS PER DROGODEPENDÈNCIES;Suport social;;;;;;;;;;;D-05;B-06;08940;Indefinit;1989;933751225;;;;;;;EMPORDÀ, S/N (Local AA.VV. Miranda)
68;ORFEÓ CATALONIA;Culturals;;;;;;;;;;;D-04;B-05;08940;Indefinit;1932;933765258;secretariaorfeo@gmail.com;orfeocatalonia.blogspot.com;;;;;TORRES I BAGES, 62
69;HERMANDAD STAS. ALODIA Y NUNILON;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1956;629140553;mgserrana@gmail.com;www.santasdecornella.com;;;;;PL. ESGLÉSIA, 3 Parroquia Santa Maria
71;CLUB PETANCA LOS LLANOS;Esportives;;;;;;;;;;;D-06;B-07;08940;Indefinit;1984;933751378;;;;;;;AVD. LINEA ELECTRICA, Barrio Padró
72;BASQUET FEMENI CORNELLA;Esportives;;;;;;;;;;;D-04;B-01;08940;Indefinit;1989;934711207;club@basquetfemenicornella.com;www.basquetfemenicornella.com;;;;;MARIÀ BENLLIURE S/N . PAVELLÓ CAN CARBONELL
73;CLUB D ESCACS CORNELLA;Esportives;;;;;;;;;;;D-02;B-01;08940;Indefinit;1942;654724341;clubescacscornella@gmail.com;www.clubescacscornella.blogspot.com;;;;;C/ EDUARD GIBERT Nº29 BAIXOS
74;ASSOCIACIÓ DE PARES D ALUMNES DEL COL.LEGI PÚBLIC SANT MIQUEL;Educació i formació;;;;;;;;;;;D-04;B-05;08940;Indefinit;1989;933769056;santmiquel.ampa@gmail.com;www.santmiquelampa.com;;;;;DOMENECH I MUNTANER, 1-5 Col·legi Sant Miquel
75;CENTRE D ESPLAI INFANTIL I JUVENIL GAVINA;Juvenils;;;;;;;;;;;D-05;B-06;08940;Indefinit;1986;933752800;ceijgavina@gmail.com;;;;;;PLAÇA LINDAVISTA S/N
76;ASSOC. DE MARE I PARES D´ALUMNES DEL  CEIP IGNASI IGLESIAS;Educació i formació;;;;;;;;;;;D-04;B-05;08940;Indefinit;1991;717712992;ampaignasiglesias@gmail.com;www.ampaignasiglesias.blogspot.com;;;;;MARIA BENLLIURE Nº 29.
77;FEDERACIÓ COMARCAL D´ASSOCIACIONS VEÏNALS DEL BAIX LLOBREGAT ( FAVBAIX );Veïnals;;;;;;;;;;;D-04;B-05;08940;Indefinit;1987;934710545;favbaix@confavc.cat;;;;;;DOMENECH I MUNTANER, 28 locals 5-6
78;ASSOCIACIÓ DE PARES D ALUMNES DEL COL.LEGI PÚBLIC ABAT OLIBA DE CORNELLÀ;Educació i formació;;;;;;;;;;;D-02;B-01;08940;Indefinit;1975;933779005;ampabatoliba@gmail.com;ampaabatolibacornelladellobregat.com;;;;;SORRAL DEL RIU, S/N Col·legi Abat Oliba
79;UNIÓ ESPORTIVA CORNELLÀ (U.E.CORNELLÀ);Esportives;;;;;;;;;;;D-05;B-06;08940;Indefinit;1951;934741063;info@uecornella.cat;uecornella.cat;;;;;C/ SORRAL DEL RIU S/N ( Campo fútbol Municipal de Cornellà)
80;AGRUPACIO SARDANISTA DE CORNELLA;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1968;628150968;info@agrupaciosardanista.cat;www.agrupaciosardanista.cat;;;;;EDUARD GIBERT, 29 (Patronat Cultural i Recreatiu)
81;ASSOCIACIÓ DE MARES I PARES D´ALUMNES DE L´ESCOLA ANSELM CLAVÉ;Educació i formació;;;;;;;;;;;D-02;B-01;08940;Indefinit;1972;933774343;ampaanselmclave@gmail.com;http://ampaanselmclavecornella.blogspot.com;;;;;DR. CARULLA, 1 Col·legi Anselm Clavé
83;ASSOCIACIÓ DE MARES I PARES D´ALUMNES DE L´ESCOLA ALEXANDRE GALÍ.;Educació i formació;;;;;;;;;;;D-04;B-07;08940;Indefinit;1987;626894013;ampalexandregali@gmail.com;;;;;;CIRERER, 1-7 Col·legi Alexandre Galí
84;ASSOCIACIÓ DE VEÏNS BARRI RIERA;Veïnals;;;;;;;;;;;D-02;B-02;08940;Indefinit;1972;934750357;avvriera@terra.com;avvriera.entitatscornella.cat;;;;;SANT JERONI, 41-43, BAIXOS
85;ESPORT CICLISTA CORNELLA;Esportives;;;;;;;;;;;D-02;B-01;08940;Indefinit;1992;659039251;jportetf@hotmail.com;www.esportciclistacornella.com;;;;;LASARTE, 6, BAIXOS
86;ASSOCIACIÓ DE JUBILATS I PENSIONISTES DEL BARRI ALMEDA;Gent gran;;;;;;;;;;;D-03;B-03;08940;Indefinit;1986;933776954;casalalmeda@gmail.com;;;;;;DOLORS ALMEDA S/N. ESTACIÓ
87;CLUB CORNELLÀ FÚTBOL SALA;Esportives;;;;;;;;;;;D-05;B-06;08940;Indefinit;1993;933762943;info@cornellafs.com;www.cornellafs.com;;;;;AVDA. LINEA ELECTRICA Nº1-7
88;ASSOCIACIÓ VEÏNAL DEL BARRI DE LA GAVARRA;Veïnals;;;;;;;;;;;D-05;B-06;08940;Indefinit;1974;933757330;avgavarra@confavc.cat;www.avlagavarra.org;;;;;ERMENGOL GOULA, 24, BAIXOS
89;ASSOCIACIO D EXALUMNES I AMICS DEL CFA CORNELLÀ DE LLOBREGAT;Educació i formació;;;;;;;;;;;D-07;B-07;08940;Indefinit;1990;;;;;;;;IGNASI IGLESIAS Nº 7
90;ASSOCIACIÓ DE GENT GRAN DE CORNELLÀ-CENTRE;Gent gran;;;;;;;;;;;D-02;B-01;08940;Indefinit;1974;934741380;;;;;;;RUBIÓ I ORS Nº 106-108. BAIXOS
91;ASSOCIACIO DE PARES ALUMNES C. BETANIA;Educació i formació;;;;;;;;;;;D-05;B-06;08940;Indefinit;1988;615185868;ampa@escolabetania.es;;;;;;BONAVISTA, 38 Col·legi Betania
92;ASSOCIACIÓ  ALCER  DE BARCELONA;Suport social;;;;;;;;;;;D-02;B-03;08902;Indefinit;1981;;alcerbarcelona@hotmail.com;;;;;;AVG.CARRILET, 78, ENTL. 1ª i 2ª
93;ASOCIACIÓN DE VECINOS DEL BARRIO ALMEDA;Veïnals;;;;;;;;;;;D-03;B-03;08940;Indefinit;1974;931646466;aavv.almeda@gmail.com;www.aavv-almeda.blogspot.com;;;;;SANT FERRÁN,  37 BAIXOS 
94;PENYA BARÇA;Esportives;;;;;;;;;;;D-02;B-01;08940;Indefinit;1970;933770229;info@pcr.cat;;;;;;MN. CINTO VERDAGUER, 52 BAIXOS
95;SOCIETAT CORAL LA UNIO;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1854;618619412;sc.launio@launiodecornella.cat;www.launiodecornella.cat;;;;;CAMI DE LA DESTRALETA, S/N
96;ASSOCIACIÓ DE MARES I PARES D´ALUMNES DE L´INSTITUT JOAN MIRÓ;Educació i formació;;;;;;;;;;;D-02;B-02;08940;Indefinit;1979;933779728;ampa.iesjoanmiro@gmail.com;;;;;;VERGE MONTSERRAT, S/N I.E.S. Joan Miró
99;COORD. DE ENTIDADES FLAMENCAS Y ANDALUZAS DE CORNELLA;Culturals;;;;;;;;;;;D-07;B-07;08940;Indefinit;1993;933752716;jaruiz@draft.cat;;;;;;GERDERA, S/N Centre Cívic Sant Ildefons
100;ASSOCIACIO DE MARES I PARES D ALUMNES DE L´INSTITUT FRANCESC MACIA;Educació i formació;;;;;;;;;;;D-04;B-05;08940;Indefinit;1990;934740842;ampamacia@gmail.com;;;;;;JOAN MARAGALL, S/N I.E.S. Francesc Macia
101;FUNDACIÓ PRIVADA EL LLINDAR;Educació i formació;;;;;;;;;;;D-03;B-03;08940;Indefinit;2005;933773189;aulataller@elllindar.org;;;;;;CRTA. DE L´HOSPITALET S/N PARC DE CAN MERCARDER
102;FEDERACIO D ASSOCIACIONS DE MARES I PARES D ALUMNES D´ALUMNES DE CORNELLÀ -FAPAC;Educació i formació;;;;;;;;;;;D-06;B-07;08940;Indefinit;1986;933753451;fampacornella@gmail.com;fampacornella.blogspot.com;;;;;AVD.SANT ILDEFONS, 24, BXS
105;ASSOC. DE PARES I MARES D ALUMNES ESCOLA  DOLORS ALMEDA;Educació i formació;;;;;;;;;;;D-03;B-03;08940;Indefinit;1988;934800351;ampadolorsalmeda@gmail.com;www.ampada-entitatscornella;;;;;BALTASAR ORIOL, NÚM. 66 Col·legi Dolors Almeda
107;ASOCIACION PRO DISMINUIDOS DE CORNELLA (APRODICO);Suport social;;;;;;;;;;;D-07;B-07;08940;Indefinit;1990;933760382;aprodico_associacio@yahoo.es;;;;;;ALMOGÀVERS, S/N Antic Col·legi Roger de Llúria
110;ASSOCIACIÓ CULTURAL GENT I FUTUR;Culturals;;;;;;;;;;;D-05;B-06;08940;Indefinit;2008;933762011;gentifutur@gmail.com;gentifutur.entitatscornella.cat;;;;;MOSSÈN ANDREU, 13-19, 4ª planta Centre Cívic Joan N. Garcia-Nieto
113;ASSOCIACIÓ DE PARES I MARES D ALUMNES DE L´ ESCOLA MUNICIPAL DE MUSICA ROSER CAB;Educació i formació;;;;;;;;;;;D-05;B-06;08940;Indefinit;1993;933763211;ampemmc@gmail.com;ampemmc.blogspot.com;;;;;MOSSEN ANDREU, 13-19 Centre Civic Joan N. Garcia-Nieto
116;CONFEDERACIÓ SINDICAL DE LA COMISSIÓ OBRERA NACIONAL DE CATALUNYA;Polítiques i sindicals;;;;;;;;;;;D-04;B-06;08940;Indefinit;1978;933779292;bllapag@ccoo.cat;www.ccoo.cat/baixllobregat;;;;;CTRA. ESPLUGUES, 68 Edifici CC.OO.
117;ASOC. CULT.RECREATIVA PEÑA DOMINO SAN ILDEFONSO;Culturals;;;;;;;;;;;D-07;B-07;08940;Indefinit;1994;934713301;a.r.c.p.domino@gmail.com;www.domino.entitatscornella.cat;;;;;AV. SANT ILDEFONS,  1 - 3 - 5 (part posterior)
118;CASTELLERS DE CORNELLA;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1993;635885712;colla@castellerscornella.org;www.castellersdecornella.cat;;;;;EDUARD GIBERT, NÚM. 29 (Patronat Cultural i Recreatiu)
120;C.D. FONTSANTA PETANCA;Esportives;;;;;;;;;;;D-04;B-04;08940;Indefinit;1979;933779295;vigafu@yahoo.es;;;;;;FREDERICA MONTSENY I MANYÉ S/N
121;ASSOCIACIÓ DE MARES I PARES D ALUMNES DE L´ESCOLA MEDITERRÀNIA. ;Educació i formació;;;;;;;;;;;D-03;B-06;08940;Indefinit;1994;608272551;ampa.mediterrania@yahoo.es;ampamediterrania.entitascornella.cat;;;;;BONAVISTA, S/N Col·legi Mediterrànea
125;CLUB PETANCA CORNELLA;Esportives;;;;;;;;;;;D-02;B-02;08940;Indefinit;1992;652778106;clubpetancacornella@yahoo.es;;;;;;AVDA. BAIX LLOBREGAT S/N (Nou Estadi Municipal)
126;UNION GENERAL DE TRABAJADORES DE CATALUNYA;Polítiques i sindicals;;;;;;;;;;;D-04;B-01;08940;Indefinit;1988;932619009;ugtbaix@baixllobregat.ugt.org;www.ugtbaix.com;;;;;REVOLT NEGRE 12
127;CLUB PETANCA BONANZA;Esportives;;;;;;;;;;;D-04;B-05;08940;Indefinit;1977;690320113;cpbonanza@gmail.com;;;;;;MIGUEL DE CERVANTES S/N
130;UNIFICACIO ESPORTIVA SANT ILDEFONS;Esportives;;;;;;;;;;;D-07;B-07;08940;Indefinit;1994;935971404;infosani@uesantildefons.com;www.uesantildefons.com;;;;;SALVADOR ALLENDE S/N
132;ASSOCIACIO EURODONA;Gènere;;;;;;;;;;;D-05;B-06;08906;Indefinit;1992;933751044;eurodona@gmail.com;;;;;;C/ LLOBREGAT, 2 1º 2º
133;CARITAS INTERPARROQUIAL CORNELLA;Suport social;;;;;;;;;;;D-04;B-05;08940;Indefinit;1976;933764356;;;;;;;FELIU CODINA Nº 4
134;ASSOCIACIÓ DE DONES ÀRTEMIS;Gènere;;;;;;;;;;;D-02;B-06;08940;Indefinit;1995;666901892;clarabgl@gmail.com;;;;;;EDUARD GIBERT, NÚM. 29 (Patronat Cultural i Recreatiu)
136;COORDINADORA D´ENTITATS PER LES FESTES DEL BARRI SANT ILDEFONS;Suport social;;;;;;;;;;;D-07;B-07;08940;Indefinit;1994;600538080;cbarriosanildefonso@hotmail.com;;;;;;GERDERA, S/N Centre Cívic Sant Ildefons
137;FOMENT DE CULTURA POPULAR DE CORNELLA;Culturals;;;;;;;;;;;D-04;B-05;08940;Indefinit;1995;;fomentcultura@gmail.com;http://fomentcultura.entitatscornella.cat;;;;;TORRAS I BAGES, 62 Local Orfeó Catalonia
138;PENYA BARCELONISTA D ALMEDA;Esportives;;;;;;;;;;;D-03;B-03;08940;Indefinit;1995;651161775;penya.almeda@gmx.es;;;;;;AVDA. SANT FERRAN Nº 37
139;ASSOCIACIÓ DE MARES I PARES D´ALUMNES DE L´ESCOLA MOSSÉN JACINT VERDAGUER;Educació i formació;;;;;;;;;;;D-05;B-07;08940;Indefinit;1985;933766079;ampajverdaguer@gmail.com;;;;;;SALVADOR ALLENDE, 16 Col·legi Jacint Verdaguer
140;CLUB COCOS ESPORT I CULTURA;Esportives;;;;;;;;;;;D-04;B-06;08940;Indefinit;1994;934749900;;;;;;;CTRA. D ESPLUGUES, NÚM. 68 (Edifici CC.OO.)
141;FEDERACIO APLEC DE LA SARDANA DE CORNELLA DE LLOBREGAT;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1995;936541692;antonivilafigueras@gmail.com;;;;;;EDUARD GIBERT, NÚM. 29 (Patronat Cultural i Recreatiu)
142;ASSOC.DE MARES I  PARES D ALUMNES DE L´ESCOLA TORRE DE LA MIRANDA;Educació i formació;;;;;;;;;;;D-07;B-07;08940;Indefinit;1994;933760879;ampatorremiranda@hotmail.com;ampamiranda.blogspot.com;;;;;ALMOGAVERS, S/N Col·legi Torre de la Miranda
145;CRUZ ROJA ESPAÑOLA;Cooperació al desenvolupament, solidaritat i pau;;;;;;;;;;;D-02;B-01;08940;Indefinit;1911;934741412;cornella@creuroja.org;www.creuroja.cornella.org;;;;;RUBIO I ORS, 104, BXS.
148;DANSA I RITME;Culturals;;;;;;;;;;;D-02;B-01;08940;Indefinit;1995;676523052;dansairitme@hotmail.com;dansairitme.entitatscornella.cat;;;;;C/SORRAL DEL RIU S/N
149;FEDERACIO CATALANA DE TENNIS;Esportives;;;;;;;;;;;D-01;B-02;08035;Indefinit;1987;935677500;cornella@fctennis.cat;www.fctennis.cat/act/act_cornella/;;;;;C/ VERGE DE MONTSERRAT S/N
