CODI;DATAINICI;NOMCOM;RAOSOCIAL;DESCRIPCIO;WEB;EMAIL;TELEFON1;HORARI;TIPUS;CODI_TIPUS;ADRECA
1519;20040201;Alvaro Lucas;ZONA D OR, S.L.  ;JOIERIA;;noac-1999@hotmail.com;607658159;DE 9:30 A 13:30 DE A 17 A 20:30 DE DILLUNS A DIVENDRES;JOIERIA;95;C. Pi i Margall 0008  LC  
2133;20060606;AMES Utillajes;UTILLAJES, S.A.  ;Fabricació de peces metal.liques sinterizades;www.ames.es;info@ames.es;936855111;;METAL·LÚRGIA, (llevat de maquinària i equips);43;Ctra. Laureà Miró 0388  BX  
1381;20010606;Andrea Estil (Unisex);MARIA MEJIA SANTIAGO;PERRUQUERIA;;andrea_estil@eresmas.com;936851921;DE 9 A 19:30 DE DIMARTS A DISSABTE;PERRUQUERIES;163;C. Frederica Montseny 0027   
428;19971101;Angeles Morales Moda Dona;ANGELES MORALES VACAS;BOTIGA DE ROBA;;angelesmorales.modadona@gmail.com;936854671;DE DIMARTS A DISSABTE 9.30-13.30 16.30-20.30;ROBA;90;Pg. Comte de Vilardaga 0110   
1000;20020101;Antic s;DIONISIO LOPEZ FUENTES;Compra i venda oportunitats-col.leccionistes-decoració-mobiliari;;pilcr41@telefonica.net;936326016;DE DILLUNS A DIVENDRES DE 17 A 21, DE DIJOUS A DISSABTES DE 10:30 A 14;MOBLES I DECORACIÓ;80;C. Santa Creu 0027   
1503;20041201;Antidot Board-Shop;ANTIDOT, SCP  ;VENDA DE ROPA I MATERIAL DE SURF;;antidotboard@hotmail.com;936326672;DE DILLUNS A DISSABTE DE 10 A 13:30 I DE 17 A 21;ROBA;90;Ctra. Laureà Miró 0341   
3826;20110310;Aparcament de concessió GLOBAL INVERSIONES;GLOBAL INVERSIONES EUROPEAS SL  ;Aparcament públic;;;934740000;;GARATGES I PARQUINGS;117;C. General Manso 0039   
2588;20070122;Aparcament privat;SISI JOAL, SL  ;APARCAMENT PRIVAT DE VEHICLES AUTOMOBILS;;;;;GARATGES I PARQUINGS;117;C. Llorenç Martí 0003   
3811;20110207;Aparcament privat;CELSA HABITATGES SL  ;Aparcament privat comunitari per a 10 places i trasters;;;637407216;;GARATGES I PARQUINGS;117;C. Sant Antoni 0038   
2515;20061023;Aparcament privat;YONET SL  ;;;;;;GARATGES I PARQUINGS;117;C. Josep Tarradellas 0018   
3693;20100126;Aparcament privat (ant. Solvia - Edificio Residencial Torreblanca);COM.PROP.C/PAÏSOS CATALANS, 17  ;Aparcament privat;;;933459570;;GARATGES I PARQUINGS;117;C. Països Catalans 0017   
3760;20100809;Aparcament privat (Estuinvest);ESTUINVEST S.L U  ;aparcament privat;;;972222172;;GARATGES I PARQUINGS;117;C. Marquès de Monistrol 0008   
358;19860101;Arco Iris;ARCO IRIS SANT FELIU SCP  ;perruqueria mixta;;arcoirissantfeliu@gmail.com;936661763;DE 9 A 14 I DE 16 A 20 DE DIMARTS A DISSABTES;PERRUQUERIES;163;Ra. Salut 0030   
2654;20070329;Arco Technologies;ARCO TECHNOLOGIES, S.L.  ;magatzem distribuïdor de productes per a la construcció.;www.arcotechnologies.com;info@arcotechnologies.com;902304030;;MATERIAL DE CONSTRUCCIÓ;89;C. Agricultura 0017  BX  02  
1859;20120213;Àrea Domus Despatx jurídic;IRENE FRIAS HEREDIA;Despatx jurídic;http://www.areadomus.es/;info@areadomus.es;936666168;;SERVEI JURÍDIC - ADVOCATS;129;C. Verge de la Mercè 0002  BX  02  
2090;19890101;Àrea II Les Grasses;AREA 2 LES GRASSES, SL  ;bar restaurant Aforament: 192 persones;www.restaurantarea2.es;area2@restaurantarea2.es;936666260;DE DILLUNS A DIVENDRES de 5 a 24h i DISSABTE DE 5  a 14h;RESTAURANTS;109;C. Mataró 0047  BX  
1492;20030601;Arise Tattoo Piercings;ARISE, SCP  ;CONFECCIÓ TATUATGES I PIERCINGS;;tattooarise@hotmail.com;936665904;;CENTRES ESTÈTICA;164;C. Roses 0002  BX  01  
157;19870101;Armeria Segura;ARMERIA Y DEPORTES HNOS.SEGURA, S.C.P.  ;BOTIGA D ARMES, PESCA I COMPLEMENTS D ESPORT;;armeriasegurasf@hotmail.com;936660290;DE DILLUNS A DISSABTE 10-14 17-21;ESPORT;96;Pg. Onze de Setembre 0021   
2335;20050101;Arual (Marc Cosmetics);MARC-COSMETICS S.L  ;Magatzem i oficines de productes cosmètics. ;www.arual1949.com;info@arual.com;934774080;DE DILLUNS A DIVENDRES DE 8 A 17;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;Ctra. Laureà Miró 0401  BX  06  
1749;20060427;Ar-Vi;ARTE Y VIVIENDA SANT FELIU SL  ;SERVEIS INMOBILIARIS;;info@inmobaix.com;936855000;;IMMOBILIÀRIES;123;C. Joan Batllori 0002  01  02  
3279;20071005;Arxiu Comarcal de Sant Feliu de Llobregat (Pl. Dicià);GENERALITAT DE CATALUNYA - DEPARTAMENT DE CULTURA  ;Arxiu Comarcal;;;;;ADMINISTRACIÓ PÚBLICA, DEFENSA I SEGURETAT SOCIAL OBLIGATÒRIA;140;C. Clementina Arderiu 0023   
1076;19770101;Asepeyo;ASEPEYO, MUTUA PATRONAL DE ACCIDENTES DE TRABAJO 151  ;MUTUA;www.asepeyo.es;;936857400;DE 8 A 20 DE DILLUNS A DIVENDRES;CONSULTORIS, CENTRES MÈDICS, ASSISTÈNCIA MUTUA;148;C. Josep Ricart 0006   
2590;20070124;Assessorament i mobilitat;ASSESSORAMENT I MOBILITAT SL  ;Comerç al detall d articles d ortopèdia;http://assessoramentimobilitat.com;info@assessoramentimobilitat.com;936665523;;ALTRES COMERÇOS AL DETALL;107;C. Girona 0031  BX  02  
1336;19960401;Assessoria Asfel;ASESORIA ASFEL  ;Assessoria fiscal i laboral ;;asesoriaasfelsl@asfel.e.telefonica.net;936854376;DE DILLUNS A DIVENDRES 10-14 16-19;CONSULTORIES/ASSESSORIES;128;C. Constitució 0014   
1116;19920101;Assessoria Martínez;EDUARDO MARTINEZ HERRADOR;Assessoria jurídica;;carmenherrador@yahoo.es;936667847;DE DILLUNS A DIVENDRES DE 9 A 14 I DE 16:30  20:30;SERVEI JURÍDIC - ADVOCATS;129;C. Josep Ricart 0002   
1863;19930101;Assessoria Montabes S.L.;M.R. MONTABES, S.L.  ;ASSESORIA FISCAL, LABORAL I JURÍDICA;;montabes@hotmail.com;936852073;DE 9 A 13:30 I DE 16:30 A 20 DE DILLUNS A DIVENDRES;SERVEI JURÍDIC - ADVOCATS;129;Pg. Pins 0014   
1390;20060101;Assessoria Olivella, S.L.U;ASSESSORIA OLIVELLA, SLU  ;Assessoria comptable, mercantil i fiscal;www.assessoriaolivella.cat;info@assessoriaolivella.cat;936326482;DE DILLUNS A DIVENDRES DE 9 A 14 I DE 15:45 A 19:30;CONSULTORIES/ASSESSORIES;128;Pg. Comte de Vilardaga 0077   
1895;19900101;Assessoria Santa Cruz (Marquesa);ASESORIA Y SEGUROS SANTA CRUZ, S.C.P.  ;Assessoria fiscal, laboral i comptable;;santacruz@entorno.es;936664151;9:15-14 16:30-20 DILLUNS A DIVENDRES;CONSULTORIES/ASSESSORIES;128;Rbla. Marquesa de Castellbell 0110   
2334;20060711;Associació cultural musulmana;ASSOCIACIO CULTURAL MUSULMANA AL RAHMA Y AL TAOUHID  ;;;;;;ACTIVITATS CULTURALS (artístiques, espectacles, biblioteca, etc);161;C. Ventura Gassol 0004   
2554;20061207;Atenas 2;JESUS SANCHEZ AGUILAR;Expositor de làmpades i articles de decoració;;;;;LAMPARES I ARTICLES D ILUMINACIÓ;81;C. Santa Creu 0009   
823;19960101;ATIPA T;XIAOYAN YE ;BAR RESTAURANT Aforament 47 persones;;Ben_zi_zi@hotmail.com;931736762;7 30-22 30 DILLUNS A DISSABTE;BARS I CAFETERIES;110;C. Església 0002   
2227;20010101;A.T.V Cableados;SONIA JIMENEZ GOMEZ;Muntatge i ensamblatge de components elèctrics (cablejat i mecanitzat);;atvcableados@yahoo.es;936855457;8-14 15-17 DILLUNS A DIVENDRES;ELECTRICISTA;171;C. Francesc Mestres 0006  BX  DR  
170;20060427;Aubert Ferreteria;AUBERT, S.A.  ;ferreteria i comerç al detall de paraments de la llar;http://www.aubertsa.com;stfeliu@aubertsa.com;936666458;9-13 30  16 30-20 DILLUNS-DISSABTE;FERRETERIA/COPIA CLAUS/CERRAJERIA;84;Pg. Comte de Vilardaga 0008   
631;19860101;Audio Òptica Jomasa ;AUDIO OPTICA JOMASA SA  ;òptica;;audioopticanadal@hotmail.es;936660399;DE DILLUNS A DIVENDRES 9.30-13.30 16.45-20 DISSABTE 9.30-13.30;OPTICA;101;Pg. Comte de Vilardaga 0002   
1791;19900101;Aula de Música i Teatre;RUEDA BORRELL, S.C.P.  ;academia de música i teatre;www.aulademusicaiteatre.com ;aulamusica@telefonica.com;936850431;16-21 DILLUNS A DIVENDRES;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;Ctra. Laureà Miró 0041  LC  
1194;20000101;Auto Escola H. Roca;AUTOESCOLA ROCA, S.L.  ;Autoescola;www.autoescuelahroca.com;centralrocah1@hotmail.com;936855535;10 -13 16- 21;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;C. Carles Buïgas 0057   
1270;19980101;Auto Escola RunneR (Vilardaga);SEBASTIAN SANCHEZ MARIN;autoescola;http://www.aerunner.es;aerunner@hotmail.com;936855347;DE 10 A 13 I DE 16 A 21 DE DILLUNS A DIVENDRES;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;Pg. Comte de Vilardaga 0049   
2522;20061107;Auto Taller Beni;BENITO SANCHEZ YSANDE;taller de reparació de vehicles automòbils;;talleres.beni@gmail.com;936326116;;REPARACIÓ DE VEHÍCLES DE MOTOR;62;C. Francesc Mestres 0030   
3865;20110707;Autoescola;ACADEMIA DE CONDUCTORS PROFESSIONALS SL  ;Autoescola;;;937265960;;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;C. Verge de Montserrat 0013  LC  01  
1075;20060502;Autoescola Almirall ;ALFONSO SANDOVAL TOSCA;autoescola;www.autoescoles-fab.net;josepricart32@hotmail.com;936660917;10-13 16-21 DILLUNS A DIVENDRES;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;C. Josep Ricart 0032   
1184;20080325;Autoescola Area;AUTOESCOLA AREA, S.L.L  ;Autoescola;www.areaautoescola.com;areaautoescola@gmail.com;936660724;DE DILLUNS A DIVENDRES 10-13 16-21;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;Rbla. Marquesa de Castellbell 0086   
1101;20130222;Autoescola Baix Llobregat;MICHEL FRANK DIAZ CHAVEZ;autoescola;;info@autoescolabaixllobregat.es;936660265;DE DILLUNS A DIVENDRES DE 10 A 13 I DE 16 A 21;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;C. Vidal i Ribas 0030  BX  
3255;20070904;Autoescola l Impuls;PEDRO PRIETO BLAZQUEZ;Autoescola;;pedro_impuls@hotmail.com;936853118;;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;C. Rupert Lladó 0043  LC  3C  
2084;20060606;Autoescola Roca;AUTOESCOLA ROCA, S.L.  ;Autoescola;www.autoescuelahroca.com;centralrocah1@hotmail.com;936666444;;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;C. Pla 0128  BX  
1128;20060427;Autoescuela Molins;AUTOESCOLA MOLINS DE REI, S.A.  ;FORMACIÓ PER TREURE EL CARNET DE CONDUIR;;aemolinssantfeliu@gmail.com;936663002;DE DILLUNS A DIJOUS DE 9:15 A 13 I DE 15:15 A 21, DIVENDRES DE 9:15 A 13 I DE 16 A 20;ACADÈMIES ( IDIOMES, INFORMÀTICA, TEATRE, MANUALITATS, MÚSICA, AUTOESCOLES);144;Rbla. Marquesa de Castellbell 0069   
3589;20090327;Automatizacion y control atrol;AUTOMATIZAZION Y CONTROL ATROL SL  ;Oficines i magatzem de material pel manteniment de maquinaria de climatització;www.atrol.com.es;info@carel.es;933298700;;EMMAGATZEMATGE. DIPÒSIT DE MOBLES I MERCADERIES.;113;Ctra. Laureà Miró 0401  BX  10  
3764;20101014;AV Energia Soltaica Tres (plaques sobre CEIP Miquel Martí i Pol);AV ENERGIA SOLTAICA TRES, SL  ;Plaques fotovoltaiques de 20kW;;avenergia@avenergia.com;977841716;;PRODUCCIÓ I DISTRIBUCIÓ D ENERGIA ELECTRICA, GAS I AIGUA (COMPANYIES DE SERVEIS);54;C. Roses 0115  BX  
2528;20061114;AYALA SEGU;ELOY AYALA RUIZ;Venda de maquinària;www.ayalasegu.com;info@ayalasegu.com;936661984;;CONSTRUCCIÓ DE MAQUINÀRIA I EQUIPS ;44;Ctra. Sànson 0084  BX  
2160;19940207;Bacaicoa  (Industrias Plàsticas);FERNANDO BACAICOA MARTICH;VENDA AL MAJOR DE PRODUCTES PLÀSTICS;www.bacaicoaip.es;comercial@bacaicoaip.es;936663259;8-13 15-18;COMERÇ A L ENGRÒS, EXCEPTE VEHÍCLES DE MOTOR;63;C. Mataró 0031  BX  
2142;20090101;Badrinas (ant. Industrias Químicas Scharlau, S.A.);BADRINAS, S.A.  ;FABRICACIÓ DE COLES I ADHESIUS;www.blumerox.com;info@blumerox.com;934607820;de 8 A 13 I de 15  A 16:45 de DILLUNS A DIVENDRES;PINTURES I VERNISSOS, I TINTES;32;Ctra. Laureà Miró 0412  BX  
191;19900101;Banc Popular Espanyol;BANCO POPULAR ESPAÑOL SA  ;BANC;www.bancopopular.es;00750853@bancopopular.es;936661412;8 30 -14;BANCS I CAIXES;120;C. Joan Batllori 0007   
1151;19700101;Banc Sabadell (Europa);BANC DE SABADELL, S.A.  ;Oficina bancària;;plluch@carrilloingenieros.es;934675858;DE 8:15 A 14:30 DE DILLUNS A DIVENDRES, DIJOUS TAMBÉ TARDA DE 16:30 A 19:45;BANCS I CAIXES;120;C. Europa 0014  BX  
1199;19960117;BANC SABADELL (Pl Vila);BANC DE SABADELL, S.A.  ;Oficina bancària;;;936661104;DE 8:15 A 14:30 H.;BANCS I CAIXES;120;Pl. Vila 0010   
1896;20060101;Banco Santander;BANCO SANTANDER S.A.  ;oficina bancària;http://www.gruposantander.es;;936856505;DE 8 A 15 DE DILLUNS A DIVENDRES, DISSABTE DE 9 A 13;BANCS I CAIXES;120;Rbla. Marquesa de Castellbell 0110  BX  02  
1918;19960101;BANKIA;CAJA DE AHORROS Y MONTE DE PIEDAD DE MADRID  ;BANC;www.cajamadrid.es;oficina_9232@cajamadrid.es;936857900;DILLUNS A DIJOUS 8 15 -14 DIVENDRES 8 15-14 30 I 17 -19 30;BANCS I CAIXES;120;Rbla. Marquesa de Castellbell 0046   
193;20001010;Bankinter ;BANKINTER SA  ;oficina bancària;www.ebandkinter.com;jkcasasma@bankinter.es;936857831;DE DILLUNS A DIVENDRES 8-17;BANCS I CAIXES;120;Ctra. Laureà Miró 0224  BX  
859;20020101;Bar Aitor;YUQIU QIN ;Bar;;carlos@legalmon.com;;DE 7 A 23 DE DILLUNS A DISSABTE;BARS I CAFETERIES;110;C. Constitució 0018  BX  01  
747;19940101;Bar Alhambra;MARIA TERESA GARCIA MORALES;Bar granja cafeteria Aforament: 49 persones;;vvcte63@hotmail.com;936663116;DE DILLUNS A DIUMENGE 7.30-22;BARS I CAFETERIES;110;C. Picasso 0018   
750;19710101;Bar Antolín;CONCEPCION ARRUFAT ANDREU;Bar restaurant;;arrufat27@gmail.com;936850282;DE 6:30 A 21 DE DILLUNS A DIVENDRES, DISSABTE DE 7:30 A 15;BARS I CAFETERIES;110;C. Josep Ricart 0004   
899;19900605;Bar Boca s;MITIRCA, SL  ;Bar Aforament 47 persones;;;;DE DILLUNS A DIUMENGE DE 5 A 23;BARS I CAFETERIES;110;C. Joan Batllori 0003  LC  01  
801;20060505;Bar Bon gust;LING HONG ;Bar Aforament 30 persones;;mertxe.garcia@alzuetaysaperas.com;;;BARS I CAFETERIES;110;C. Falguera 0096  BX  04  
755;20041001;Bar Bonavista;ANA ISABEL FERNANDEZ GRANADO;BAR Aforament 20 persones;;no tienen;651909087;DE 8:30 A 24;BARS I CAFETERIES;110;C. Hospitalet 0011   
757;20051001;Bar Brasil;AIMIN CHEN ;BAR Aforament 21 persones;;;;7 45-22 DILLUNS A DIUMENGE;BARS I CAFETERIES;110;C. Sant Josep 0015   
3587;20090324;Bar café El racó del mercat - Parada 10 (Mercat Avenida);JAVIER BOSCH GIMENEZ;Bar-cafè Aforament 32 persones;;no tienen email;670297763;;BARS I CAFETERIES;110;C. Joaquim Monmany 0001  S2  10  
904;20000101;Bar Cafeteria Avenida (Abans Cafeteria Ca La Rosa);AGUILASERRANO SCP  ;Bar-cafeteria Aforament 69 persones;;;936663544;DE 6 A 22 DE DILLUNS A DIUMENGE, DIMECRES FESTA;BARS I CAFETERIES;110;Ctra. Laureà Miró 0250  LC  
1767;20070201;Bar cafeteria  El Pande  (Ant. Pandemonium);JOSE MANUEL BERNARDINO RUIZ;Bar cafeteria Aforament 38 persones;;joseberu@gmail.com;936851356;DE DILLUNS A DIUMENGE DE 7 A 23:30;BARS I CAFETERIES;110;C. Torras i Bages 0034  LC  01  
965;20050117;Bar Cafeteria El Plaer;SALVADOR GARCIA SABATE;BAR CAFETERIA Aforament 41 persones;;salvador.garcia.sabate.1967@hotmail.com;936857640;DE DILLUNS A DIVENDRES DE 7 A 10, DISSABTES DE 5 A 15;BARS I CAFETERIES;110;C. Jacint Verdaguer 0005  LC  04  
802;20130327;Bar cafeteria Jalocomoloco (abans Frankfurt Moreno);ROSA MARIA GONZALEZ BERMAN;BAR CAFETERIA, FRANKFURT Aforament 37 persones;;frankfurtmoreno@santfeliu.net;630575923;DE DILLUNS A DISSABTE 7.30-23.30;BARS I CAFETERIES;110;C. Josep Ricart 0010  BX  03  
1525;20060601;BAR CAFETERIA LA BOMBA;MANUEL REAL GOMEZ;Bar-cafeteria;;;936859515;DE DILLUNS A DIJOUS DE 7:30 A 21, DIVENDRES DE 7:30 A 20:30, DISSABTES I DIUMENGES DE 8 A 14;FORNS I PASTISSERIES;70;C. Carles Buïgas 0051   
905;19640101;Bar Cafeteria Menargues;CARLES MENARGUES RIAZA;BAR Aforament màxim legalitzat 50 persones;;meni1964@gmail.com;936661038;DE DILLUNS A DIUMENGE DE 7 A 21;BARS I CAFETERIES;110;Ctra. Laureà Miró 0137  BX  01  
1237;19940801;Bar Cal Santi;SANTIAGO RODRIGUEZ MARTIN;Bar granja (ant. Bar Granja El Paso)  Aforament 50 persones;;marta_rodriguez90@hotmail.com;936851675;DE DILLUNS A DIVENDRES 8.30-23.30 DISSABTE 8.30-12;BARS I CAFETERIES;110;C. Prolongació de Falguera 0013   
763;19940101;Bar Cantisano;SONGCUI XIANG ;bar;;;936854049;DE 5 A 23 DE DILLUNS A DIUMENGE, DIMARTS TANCAT;BARS I CAFETERIES;110;C. Can Calders 0004   
764;20060120;BAR CASA JUAN;MIOARA FILIP ;Bar Aforament: 37 persones;;barcasajuan@telefonica.net;936853877;;BARS I CAFETERIES;110;C. Roses 0022  BX  02  
3703;20100219;Bar CENT VUIT (108);VITE 2013, SCP  ;Bar Aforament 35 persones;;visivivo69@gmail.com;936850865;;BARS I CAFETERIES;110;Pg. Comte de Vilardaga 0108  BX  02  
