ID;ENTITAT;SECTORSEMANTIC1;SECTORSEMANTIC2;SECTORSEMANTIC3;SIGLA;CODI_CARRER;CARRER;NRO;BIS;ESCALA;PIS;PORTA;ADREÇA_COMPLETA;CODI_DIVISIO_TERRITORIAL_ADM;CODI_DIVISIO_TERRITORIAL;CODI_POSTAL;AMBIT;ANY_CONSTITUCIO;TELEFON;MAIL;WEB;UTMX;UTMY;LATITUD;LONGITUD
3128;Amics de l Escola Mestre Esteve;EDUCACIO;;;Pl.  ;;Ferrer i Guàrdia;0001;;;BX ;02  ;Pl.   Ferrer i Guàrdia 0001   BX  02  ;S-05005;S-05005;08980;indefinit;;;;;420710;4582350;;
11632;AMICS DE L OPERA DE SANT FELIU;CULTURAL;;;C.   ;;Roses;0022;;;05 ;03  ;C.    Roses 0022   05  03  ;S-03001;S-03001;08980;indefinit;;936669398;operaimas@gmail.com;;420576;4582013;;
3009;AMPA CEIP Arquitecte Gaudí;EDUCACIO;;;Ctra.;;Sànson;0040;;;BX ;;Ctra. Sànson 0040   BX  ;S-01004;S-01004;08980;indefinit;1977;936855273;ampagaudi@gmail.com;http://ampagaudi.blogspot.com;419971;4582434;;
3035;AMPA Col·legi Bon Salvador;EDUCACIO;;;C.   ;;Armenteres;0037;;;;;C.    Armenteres 0037    ;S-01005;S-01005;08980;indefinit;;936661713;ampabonsalvador@gmail.com;;420353;4581195;;
3139;AMPA Col·legi Mare de Déu de la Mercè;EDUCACIO;;;C.   ;;Verge de la Mercè;0014;;;BX ;;C.    Verge de la Mercè 0014   BX  ;S-01001;S-01001;08980;indefinit;1973;;contacte@ampamercedariessantfeliu.es;http://ampamercedariessantfeliu.es/;420507;4581639;;
3056;AMPA Col·legi Virgen de la Salud;EDUCACIO;;;C.   ;;Constitució;0003;;;;;C.    Constitució 0003    ;S-01002;S-01002;08980;indefinit;1974;936661869;ampavergesalut@gmail.com;www.vergesalut.com;420298;4582034;;
3116;AMPA de les Escoles Bressol Municipals;EDUCACIO;;;C.   ;;Jaume Ribas;0031;;;BX ;;C.    Jaume Ribas 0031   BX  ;S-02006;S-02006;08980;indefinit;1987;936853945;ampaebm@santfeliu.net;ampaebm.santfeliu.net;419719;4581747;;
3062;AMPA de l Escola Municipal de Música;EDUCACIO;;;C.   ;;Falguera;0002;;;;;C.    Falguera 0002    ;S-01006;S-01006;08980;indefinit;2013;;ampaescolamusicasf@gmail.com;;420032;4581661;;
2987;AMPA Escola Falguera;EDUCACIO;;;C.   ;;Sant Josep;0097;;;;;C.    Sant Josep 0097    ;S-02003;S-02003;08980;indefinit;1984;936852137;ampafalguera@hotmail.com;http://ampafalguera.blogspot.com.es/;419684;4581938;;
3003;AMPA Escola Josep Monmany;EDUCACIO;;;Pl.  ;;Ferrer i Guàrdia;0001;;;BX ;03  ;Pl.   Ferrer i Guàrdia 0001   BX  03  ;S-05005;S-05005;08980;indefinit;1984;936853046;ampamonmany@hotmail.com;http://monmany.blogspot.com.es/;420710;4582350;;
3119;AMPA Escola Mestral;EDUCACIO;;;C.   ;;Torras i Bages;0013;;;1r ;;C.    Torras i Bages 0013   1r  ;S-01001;S-01001;08980;indefinit;1968;936661428;ampa@escolamestral.cat;www.escolamestral.cat;420386;4581697;;
3058;AMPA Escola Nadal;EDUCACIO;;;C.   ;;Eugeni d Ors;0003;A;;;;C.    Eugeni d Ors 0003 A   ;S-01002;S-01002;08980;indefinit;1979;936855719;ampaceipnadal@hotmail.com;http://ampaescolanadal.blogspot.com.es/;420248;4581946;;
2986;AMPA Escola Pau Vila;EDUCACIO;;;C.   ;;Mas Lluí;0011;;;BX ;;C.    Mas Lluí 0011   BX  ;S-05005;S-05005;08980;indefinit;1981;936669951(ESCOLA);lapauvilina@gmail.com;http://ampa-pauvila.blogspot.com.es/ ;420710;4582350;;
2992;AMPA Escola Salvador Espriu;EDUCACIO;;;C.   ;;Sant Joan;0010;;;BX ;;C.    Sant Joan 0010   BX  ;S-01007;S-01007;08980;indefinit;1985;936326765(Ampa-MontsePuig);salvadorespriuampa@gmail.com;ampasalvadorespriu.blogspot.com;419946;4581336;;
3011;AMPA Institut Martí Dot;EDUCACIO;;;C.   ;;Josep Teixidor;0002;;;;;C.    Josep Teixidor 0002    ;S-02003;S-02003;08980;indefinit;1995;936851801;ampamartidot@gmail.com;ampamartidot.blogspot.com;419795;4582150;;
3004;AMPA Institut Olorda;EDUCACIO;;;C.   ;;Ramon Ribas;0031;;;;;C.    Ramon Ribas 0031    ;S-03005;S-03005;08980;indefinit;1977;936661092;ampainstitutolorda@hotmail.com;www.iesolorda.org;420918;4581874;;
2991;AMPA Miquel Martí i Pol;EDUCACIO;;;C.   ;;Roses;0113;;;;;C.    Roses 0113    ;S-07001;S-07001;08980;indefinit;2004;679714985;ampamiquel@gmail.com;www.ampamartipol.net;421227;4582341;;
3211;ARES Agrupació de Recerca i Estudis de Sant Feliu de Llobregat ;CULTURAL;;;C.   ;;Vidal i Ribas;0023;;;;;C.    Vidal i Ribas 0023    ;S-01002;S-01002;08980;indefinit;1981;936853242;ares.santfeliu@gmail.com;;420390;4581799;;
35930;AS. KALEIDOSCOPI;LLEURE;;;C.   ;;Girona;0032;;;02 ;01  ;C.    Girona 0032   02  01  ;S-03005;S-03005;08980;indefinit;;687678968;kaleidoscopisf@gmail.com;;420877;4581999;;
10252;Asociación cubanos en Catalunya;CULTURAL;;;Ctra.;;Laureà Miró;0005;;;BX ;01  ;Ctra. Laureà Miró 0005   BX  01  ;S-01001;S-01001;08980;indefinit;;;;;420729;4581552;;
10946;Asociación de escritores de graffiti y break dance de España;CULTURAL;;;C.   ;;Constitució;0030;;;04 ;01  ;C.    Constitució 0030   04  01  ;S-04003;S-04003;08980;indefinit;;936854599;pcalzadillalorenzo@gmail.com;;420172;4582341;;
3055;Asociación Enfermos Alcohólicos Rehabilitados de Sant Feliu ADEARSF;SOCIAL;;;C.   ;;Tibidabo;0018;;;BX ;02  ;C.    Tibidabo 0018   BX  02  ;S-03005;S-03005;08980;indefinit;1985;;;;420934;4581967;;
10253;ASS.CANNABICO  CULTURAL Y AUTOABASTECIMENTO-LA FABRICA;CIVICA;;;Ptge.;;Masor;0026;;;BX ;;Ptge. Masor 0026   BX  ;S-05005;S-05005;08980;indefinit;;633641488;;;420533;4582510;;
3114;Associació Acció Solidària i Logística;SOLIDARI;;;Rbla.;;Marquesa de Castellbell;0071;;A ;BX ;01  ;Rbla. Marquesa de Castellbell 0071  A  BX  01  ;S-05005;S-05005;08980;indefinit;;;ong_asl@yahoo.es;http://www.ong-asl.com;420520;4582292;;
3177;Associació Alletem Grup de suport a la Lactància Materna;DONA;;;C.   ;;Vidal i Ribas;0023;;;;;C.    Vidal i Ribas 0023    ;S-01002;S-01002;08980;indefinit;2011;;alletem.sf@gmail.com;alletem.wordpress.com;420390;4581799;;
3210;Associació Amics de la Rambla i el seu entorn;CIVICA;;;C.   ;;Tibidabo;0018;;;BX ;01  ;C.    Tibidabo 0018   BX  01  ;S-03005;S-03005;08980;indefinit;1996;;;;420934;4581967;;
2990;Associació Amics de les Roses de Sant Feliu de Llobregat;CULTURAL;;;C.   ;;Vidal i Ribas;0023;;;;;C.    Vidal i Ribas 0023    ;S-01002;S-01002;08980;indefinit;;936853242;santfeliu@amicsdelesroses.cat;http://www.amicsdelesroses.cat;420390;4581799;;
3212;Associació Amics de Sant Antoni Abat de Sant Feliu de Llobregat;CULTURAL;;;C.   ;;Vidal i Ribas;0023;;;;;C.    Vidal i Ribas 0023    ;S-01002;S-01002;08980;indefinit;1992;;;http://www.federaciotrestombs.cat;420390;4581799;;
3209;Associació Amics del Carrer Santa Creu ;ECONOM;;;C.   ;;Santa Creu;0006;;;;;C.    Santa Creu 0006    ;S-05003;S-05003;08980;indefinit;1993;610292670 (Virtudes Giraldes, presidenta);virtudes.giraldes@agentes.catalanaoccidente.com;http://www.debotigues.cat;420386;4582138;;
6537;Associació Arrels Locals;CULTURAL;;;C.   ;;Vidal i Ribas;0023;;;BX ;01  ;C.    Vidal i Ribas 0023   BX  01  ;S-01002;S-01002;08980;indefinit;2012;;arrelslocals@gmail.com;arrelslocals.blogspot.com;420390;4581799;;
2993;Associació Balls d Envelat Santfeliuenc;CULTURAL;;;Pl.  ;;Lluís Companys;0001;;;BX ;01  ;Pl.   Lluís Companys 0001   BX  01  ;S-01002;S-01002;08980;indefinit;;936850977;ballsdenvelat_sfeliuenc@hotmail.com;;420273;4581745;;
3161;Associació Catalana de Detectoristes ACATDE;CULTURAL;;;C.   ;;Rupert Lladó;0012;;;;;C.    Rupert Lladó 0012    ;S-02008;S-02008;08980;indefinit;;;;;419876;4581916;;
3162;Associació Catifa Verda Dones Mas Lluí;SOCIAL;;;C.   ;;Frederica Montseny;0023;;;BX ;03  ;C.    Frederica Montseny 0023   BX  03  ;S-07001;S-07001;08980;indefinit;;;catifaverda@hotmail.com;http://catifaverda.wordpress.com/;421172;4582270;;
3046;Associació Cinebaix;CULTURAL;;;C.   ;;Joan Batllori;0021;;;BX ;;C.    Joan Batllori 0021   BX  ;S-01002;S-01002;08980;indefinit;2005;936661859;cinebaix@cinebaix.com;www.cinebaix.com;420239;4581828;;
3464;Associació Colla de Tabalers Infantils Els Tronats de Sant Feliu de Llobregat;CULTURAL;;;C.   ;;Josep Ricart;0001;;;03 ;01  ;C.    Josep Ricart 0001   03  01  ;S-03004;S-03004;08980;indefinit;;936852987;tabalers.elstronats@gmail.com;http://colladetabalerselstronats.blogspot.com.es/;420939;4581592;;
12089;ASSOCIACIÓ COUNTRY SANT FELIU;CULTURAL;;;Ctra.;;Laureà Miró;0107;;;LC ;01  ;Ctra. Laureà Miró 0107   LC  01  ;S-01001;S-01001;08980;indefinit;;936669276;pilisol@countrysol.es;;420441;4581566;;
3173;Associació Cultural Audiovisual Pistoleros de Edison;JUVENIL;;;Ctra.;;Laureà Miró;0118;;;BX ;;Ctra. Laureà Miró 0118   BX  ;S-01005;S-01005;08980;indefinit;2010;627935887;pistolerosedison@gmail.com;http://pistolerosdeedison.wordpress.com/;420358;4581518;;
33579;Associació cultural de joves las mil y unas;CULTURAL;;;Ctra.;;Laureà Miró;0118;;;BX ;;Ctra. Laureà Miró 0118   BX  ;S-01005;S-01005;08980;indefinit;;620098987;elmilyunas@gmail.com;;420358;4581518;;
3465;Associació Cultural Fora de Text;CULTURAL;;;Ctra.;;Laureà Miró;0118;;;BX ;;Ctra. Laureà Miró 0118   BX  ;S-01005;S-01005;08980;indefinit;2011;;foradetext@gmail.com;;420358;4581518;;
12086;ASSOCIACIO CULTURAL KELTONIA;CULTURAL;;;Ctra.;;Laureà Miró;0164;;;02 ;01  ;Ctra. Laureà Miró 0164   02  01  ;S-01005;S-01005;08980;indefinit;;;delorgans@gmail.com;;420257;4581585;;
3118;Associació Cultural Musulmana Al Rahma  y Al Taouhid;SOLIDARI;;;C.   ;;Ventura Gassol;0004;;;LC ;;C.    Ventura Gassol 0004   LC  ;S-01003;S-01003;08980;indefinit;;;aso-cultural-musulmana@hotmail.fr;;420159;4582049;;
3146;Associació Cultural Sant Feliu Jam Crew;CULTURAL;;;Ptge.;;Sant Joan;0069;;;03 ;;Ptge. Sant Joan 0069   03  ;S-01005;S-01005;08980;indefinit;;;;;420458;4581484;;
3124;Associació de Comerciants Amics del Barri La Salut;ECONOM;;;C.   ;;Picasso;0014;;;;;C.    Picasso 0014    ;S-04003;S-04003;08980;indefinit;1993;936665563;;www.debotigues.cat;420215;4582393;;
3141;Associació de Comerciants de Can Calders;ECONOM;;;Ra.  ;;Salut;0030;B;;;;Ra.   Salut 0030 B   ;S-05002;S-05002;08980;indefinit;;;;http://www.debotigues.cat;420343;4582353;;
3095;Associació de Comerciants Mas Lluí;ECONOM;;;C.   ;;Frederica Montseny;0023;;;;;C.    Frederica Montseny 0023    ;S-07001;S-07001;08980;indefinit;;936325153;masllui@hotmail.com;www.debotigues.cat;421172;4582270;;
3039;Associació de Concessionaris del Mercat Municipal;ECONOM;;;C.   ;;Josep M. de Molina;0001;;;BX ;;C.    Josep M. de Molina 0001   BX  ;S-01005;S-01005;08980;indefinit;1983;;mercat@santfeliu.cat;https://www.santfeliu.cat/go.faces?xmid=23561;420210;4581645;;
3001;Associació de Disminuïts Físics de Sant Feliu de Llobregat;SOCIAL;;;C.   ;;Pi i Margall;0043;;;;;C.    Pi i Margall 0043    ;S-01002;S-01002;08980;indefinit;2004;699 086 194 (Isaac Amela);adf.sfeliu@gmail.com;http://blocs.xarxanet.org/adfisics/;420526;4581782;;
3096;Associació de Dones de Mas Lluí;DONA;;;C.   ;;Frederica Montseny;0023;;;;;C.    Frederica Montseny 0023    ;S-07001;S-07001;08980;indefinit;;;donesdemasllui@hotmail.com;http://donesdemasllui.blogspot.com/;421172;4582270;;
6188;Associació de Mali de Sant Feliu de Llobregat;SOLIDARI;;;C.   ;;Constitució;0026;;;03 ;04  ;C.    Constitució 0026   03  04  ;S-04003;S-04003;08980;indefinit;;;;http://associaciocasaldemaliong.org;420172;4582341;;
3140;Associació de Músics Joves de Sant Feliu de Llobregat;JUVENIL;;;Ctra.;;Laureà Miró;0118;;;BX ;;Ctra. Laureà Miró 0118   BX  ;S-01005;S-01005;08980;indefinit;;;;https://myspace.com/amjsfl;420358;4581518;;
3000;Associació de Veïns Can Calders 2000;CIVICA;;;C.   ;;Francesc Sáez;;;C ;BX ;01  ;C.    Francesc Sáez   C  BX  01  ;S-05003;S-05003;08980;indefinit;;;;http://franciscojm1955.blogspot.com.es/;420424;4582180;;
3065;Associació de Veïns Can Nadal;CIVICA;;;C.   ;;Eugeni d Ors;0005;;;LC ;07  ;C.    Eugeni d Ors 0005   LC  07  ;S-01002;S-01002;08980;indefinit;1976;936326774;avv.rosasllobregat@gmail.com;http://rosasllobregat.blogspot.com.es;420206;4581879;;
3049;Associació de Veïns de Can Maginàs;CIVICA;;;C.   ;;Hospitalet;0025;;;BX ;;C.    Hospitalet 0025   BX  ;S-01004;S-01004;08980;indefinit;1980;936850783;avmaginas@hotmail.com;;419975;4582309;;
3099;Associació de Veïns de Mas Lluí;CIVICA;;;C.   ;;Estelí;0010;;;;;C.    Estelí 0010    ;S-07001;S-07001;08980;indefinit;;936663527;;http://avvmasllui.blogspot.com;420985;4582189;;
3158;Associació de Veïns del Carrer Joan Fuster i Les Grases;CIVICA;;;C.   ;;Joan Fuster;0046;;;;;C.    Joan Fuster 0046    ;S-06004;S-06004;08980;indefinit;;;;;420591;4582992;;
3053;Associació de Veïns Falguera ;CIVICA;;;Pl.  ;;Rafael Alberti;0001;;;;;Pl.   Rafael Alberti 0001    ;S-02004;S-02004;08980;indefinit;1986;936853885;avvfalguera@gmail.com;http://avvfalguera.blogspot.com.es;419853;4581719;;
3125;Associació de Veïns i Veïnes del Barri La Salut;CIVICA;;;Ptge.;;Terrassa;0003;;;BX ;04  ;Ptge. Terrassa 0003   BX  04  ;S-04007;S-04007;08980;indefinit;;936663242;lasalut@yahoo.es;;420233;4582473;;
13198;Associació de veïns i veïnes Roses de Llobregat;CIVICA;;;C.   ;;Verge del Pilar;0030;;;;;C.    Verge del Pilar 0030    ;;;08980;indefinit;;936667353;;;;;;
3037;Associació de Veïns Roses Castellbell;CIVICA;;;C.   ;;Verge del Pilar;0030;;;;;C.    Verge del Pilar 0030    ;S-03005;S-03005;08980;indefinit;;936326774;avv.rosasllobregat@gmail.com;http://rosasllobregat.blogspot.com.es/;420934;4581967;;
3005;Associació d Empresaris del Polígon Industrial el Pla (AEPLA);ECONOM;;;C.   ;;Hospitalet;0025;;;BX ;;C.    Hospitalet 0025   BX  ;S-01004;S-01004;08980;indefinit;1996;936850783;info@aeplasantfeliu.com;www.aeplasantfeliu.com;419975;4582309;;
10131;Associació Diaconia de Sant Feliu de Llobregat;SOCIAL;;;C.   ;;Llorenç Martí;0009;;;;;C.    Llorenç Martí 0009    ;S-03001;S-03001;08980;indefinit;;625130105;danielgarfe@gmail.com;;420608;4581999;;
33907;ASSOCIACIÓ DJUMBAI;SOLIDARI;;;C.   ;;Frederica Montseny;0015;;;04 ;01  ;C.    Frederica Montseny 0015   04  01  ;S-07001;S-07001;08980;indefinit;;934491891;djumbai@djumbai.org;;421176;4582218;;
3174;Associació d usuaris del Complex Municipal de Piscines Cobertes de Sant Feliu de Llobregat;ESPORT;;;C.   ;;Verge de Montserrat;0002;;;BX ;01  ;C.    Verge de Montserrat 0002   BX  01  ;S-03004;S-03004;08980;indefinit;;;usuariscomplexstfeliu@hotmail.com;;420641;4581857;;
35928;ASSOCIACIO EL REMOLI;EDUCACIO;;;C.   ;;Verge de la Salut;0007;;;BX ;01  ;C.    Verge de la Salut 0007   BX  01  ;S-01003;S-01003;08980;indefinit;;667085024;iriscula@gmail.com;;420174;4581994;;
3172;Associació Espai Dones 2010;DONA;;;Ra.  ;;Salut;0030;B;;BX ;01  ;Ra.   Salut 0030 B  BX  01  ;S-05002;S-05002;08980;indefinit;;;;;420343;4582353;;
3156;Associació Esportiva Bon Salvador ;ESPORT;;;C.   ;;Armenteres;0037;;;;;C.    Armenteres 0037    ;S-01005;S-01005;08980;indefinit;;936661713-Escola;ampabonsalvador@gmail.com;;420353;4581195;;
3002;Associació Esportiva CFA Santfeliuenc;ESPORT;;;Rbla.;;Marquesa de Castellbell;0091;;;BX ;01  ;Rbla. Marquesa de Castellbell 0091   BX  01  ;S-05003;S-05003;08980;indefinit;;;cfasantfeliu@gmail.com;www.cfasantfeliu.es;420477;4582270;;
6090;Associació Esportiva Fondistes de Sant Feliu de Llobregat;ESPORT;;;Pg.  ;;Comte de Vilardaga;0077;;;BX ;01  ;Pg.   Comte de Vilardaga 0077   BX  01  ;S-07002;S-07002;08980;indefinit;2012;936326482-JoaquinRomeroRuiz,President;fondistessf@gmail.com;fondistessf.blogspot.com.es;420925;4582300;;
3137;Associació Esportiva Institut Marti Dot;ESPORT;;;C.   ;;Josep Teixidor;0002;;;;;C.    Josep Teixidor 0002    ;S-02003;S-02003;08980;indefinit;;;aeiesmartidot@hotmail.com;;419795;4582150;;
3012;Associació Esportiva Sant Feliu de Llobregat;ESPORT;;;C.   ;;Mataró;0008;;;BX ;;C.    Mataró 0008   BX  ;S-06004;S-06004;08980;indefinit;1979;;gestion@aesffsala.es;www.aesffsala.es;420148;4582729;;
3076;Associació Esportiva Sant Feliu Futbol Sala;ESPORT;;;Rbla.;;Marquesa de Castellbell;0017;;;BX ;;Rbla. Marquesa de Castellbell 0017   BX  ;;;08980;indefinit;;;;;;;;
3160;Associació Famílies de Mas Lluí ;CIVICA;;;C.   ;;Frederica Montseny;0016;;;02 ;03  ;C.    Frederica Montseny 0016   02  03  ;S-07001;S-07001;08980;indefinit;;;;;421232;4582258;;
6582;Associació Foc i Tabals El Tro de Falguera;CULTURAL;;;Pl.  ;;Rafael Alberti;0001;;;;;Pl.   Rafael Alberti 0001    ;S-02004;S-02004;08980;indefinit;2011;;eltrodefalguera@hotmail.com;eltrodefalguera.blogspot.com;419853;4581719;;
3013;Associació Gent Gran Sant Feliu de Llobregat;GRAN;;;C.   ;;Pi i Margall;0045;;;BX ;01  ;C.    Pi i Margall 0045   BX  01  ;S-01002;S-01002;08980;indefinit;;936325159JosepÁlvarez;gentgransfll@gmail.com;;420526;4581782;;
33994;Associació Green Roots;SOCIAL;;;Ctra.;;Laureà Miró;0162;;;LC ;;Ctra. Laureà Miró 0162   LC  ;S-01005;S-01005;08980;indefinit;;622781369;;;420262;4581572;;
3159;Associació Iniciativa Pro Infància IPI;SOLIDARI;;;Ptge.;;Maties Badia;0001;;;05 ;02  ;Ptge. Maties Badia 0001   05  02  ;S-02004;S-02004;08980;indefinit;;;;http://www.ipi-ecai.org/;419904;4581698;;
6088;Associació iniciatives paraolímpiques;SOCIAL;;;C.   ;;Roses;0087;;;BX ;01  ;C.    Roses 0087   BX  01  ;S-07001;S-07001;08980;indefinit;;931793947;rgisbertll@hotmail.com;;421120;4582151;;
2994;Associació Joventuts Musicals de Sant Feliu de Llobregat;CULTURAL;;;C.   ;;Vidal i Ribas;0023;;;;;C.    Vidal i Ribas 0023    ;S-01002;S-01002;08980;indefinit;;936853242;info@contrabaix.com;www.contrabaix.com;420390;4581799;;
36032;ASSOCIACIO JUVENIL BLACKOUT;SOCIAL;;;C.   ;;Matilde Bertran i Calopa;0029;;;;;C.    Matilde Bertran i Calopa 0029    ;S-07002;S-07002;08980;indefinit;;;loewe.ciablackout@gmail.com;;420840;4582320;;
2995;Associació Juvenil Club de Rol El Lobo Blanco;JUVENIL;;;Ctra.;;Laureà Miró;0118;;;BX ;;Ctra. Laureà Miró 0118   BX  ;S-01005;S-01005;08980;indefinit;1999;936664503CasaldeJoves;loboblanco@santfeliu.net;rol.santfeliu.net;420358;4581518;;
3153;Associació Juvenil Corredores de las Sombras ;JUVENIL;;;Ctra.;;Laureà Miró;0118;;;BX ;;Ctra. Laureà Miró 0118   BX  ;S-01005;S-01005;08980;indefinit;;;;;420358;4581518;;
6332;Associació Juvenil Otaku No Jutsu;JUVENIL;;;Ctra.;;Laureà Miró;0118;;;BX ;;Ctra. Laureà Miró 0118   BX  ;S-01005;S-01005;08980;indefinit;;;clubderolenrolat@gmail.com;;420358;4581518;;
3176;Associació La Font de l Expressió;SOCIAL;;;C.   ;;Agustí Domingo;0005;;A ;BX ;01  ;C.    Agustí Domingo 0005  A  BX  01  ;S-05003;S-05003;08980;indefinit;2012;935463382;info@victoriafrancovelasco.com;www.victoriafrancovelasco.com;420461;4582182;;
3110;Associació L Escola del Baix;EDUCACIO;;;;;;;;;;;      ;;;;indefinit;;;;;;;;
3468;Associació Motor Clàssic Sant Feliu;CULTURAL;;;C.   ;;Sant Llorenç;0001;;;01 ;01  ;C.    Sant Llorenç 0001   01  01  ;S-01001;S-01001;08980;indefinit;;;canplana@canplana.com;;420505;4581701;;
3134;Associació Musical Sant Feliu;CULTURAL;;;C.   ;;Dalt;0017;;;;;C.    Dalt 0017    ;;;08980;indefinit;1972;;;http://bandadesantfeliu.wordpress.com/;;;;
3006;Associació Penya Barcelonista Iniesta 24;ESPORT;;;C.   ;;Carles Buïgas;0050;;;;;C.    Carles Buïgas 0050    ;S-07002;S-07002;08980;indefinit;2005;;oscar.herrera242@gmail.com;www.pbiniesta.com;420823;4582308;;
3467;Associació per una Il·lusió ;SOCIAL;;;C.   ;;Llorenç Martí;0001;;;04 ;01  ;C.    Llorenç Martí 0001   04  01  ;S-03001;S-03001;08980;indefinit;;;perunailusio@hotmail.com;http://apui.es/;420528;4581934;;
2998;Associació pro Discapacitats de Sant Feliu de Llobregat (ASPRODIS);SOCIAL;;;Pl.  ;;Francesc Macià;;;;BX ;01  ;Pl.   Francesc Macià    BX  01  ;S-03003;S-03003;08980;indefinit;1982;936853476;asociacion.asprodis@gmail.com;http://asprodis.blogspot.com.es/;420708;4582069;;
