ID_PARTIDA;DESCRIPCIO;ANY_PRESSUPOST;CAPITOL;ARTICLE;NOM_ARTICLE;CONCEPTE;NOM_CONCEPTE;CODI_ECONOMIC;CODI_PROGRAMA;CODI_ORGANIC;CREDIT_INICIAL;CREDIT_ACTUAL;A;D;O;P;RP;SALDO;MODIFICACIO
15     9200148900   ;  ALTR.TRANS.-RHUMANS I ORGANIT.                  ;2015;4;;;;;48900  ;92001;;2000;2000;2000;2000;2000;;;0;0
15     931  34900   ;ALTRES DESP.FINANC.-ADM.FINANC                    ;2015;3;;;;;34900  ;931  ;;55000;55000;15696,02;15676,45;15676,45;;;0;0
15     241  22002   ;MAT.INFORMATIC.-PROM.OCUPAC.                      ;2015;2;;;;;22002  ;241  ;;1350;3400;3111,16;3111,16;3111,16;;;2050;2050
15     132  22609   ;ACTIVITATS CULTURALS- SEGURETAT                   ;2015;2;;;;;22609  ;132  ;;1000;1000;876,93;876,93;876,93;;;0;0
15     1531022699   ;ALTRES DESP.ESP.SERV.-MOBILITAT                   ;2015;2;;;;;22699  ;15310;;1600;1600;1251,02;1251,02;1251,02;;;0;0
15     1690122104   ;VESTUARI - SERVEI MATENIMENT                      ;2015;2;;;;;22104  ;16901;;8000;4000;5613,42;5613,42;5613,42;;;-4000;-4000
15     172  22699   ;ALTRES DESPESES DIVERSES- MEDI AMBIENT            ;2015;2;;;;;22699  ;172  ;;2700;4390,37;5790,13;5790,13;5790,13;;;1690,37;1690,37
15     2310122200   ;COMUNIC.TELEF- PROGRAMA DISCAPACITAT              ;2015;2;;;;;22200  ;23101;;500;500;61,72;61,72;61,72;;;0;0
15     2310148905   ;ALTRES TRANSF.- ASSOC. ESCOLA TRAMUNTANA          ;2015;4;;;;;48905  ;23101;;0;1500;1500;1500;1500;;;1500;1500
15     2320248901   ;ALTRES TRANSF. - ASSOC. AL-RAHMA                  ;2015;4;;;;;48901  ;23202;;0;1750;1750;1750;1750;;;1750;1750
15     2320348902   ;ALTR.TRANS.-DRITTE WELT HAUS- AFAP (ESTELÍ)       ;2015;4;;;;;48902  ;23203;;10000;10000;10000;10000;10000;;;0;0
15     2320421300   ;MAQUINARIA I INST- ATENCIÓ A LA PERSONA           ;2015;2;;;;;21300  ;23204;;1500;1500;1700,14;1700,14;1503,51;;;0;0
15     2320462200   ;ADQ.EDIF.ANNEX CENTRE PARROQUIAL                  ;2015;6;;;;;62200  ;23204;;0;0;0;0;0;;;0;0
15     241  22100   ;ENERGIA ELECT-FORMACIO I OCUPACIO                 ;2015;2;;;;;22100  ;241  ;;58000;58000;57629,77;57629,77;57629,77;;;0;0
15     241  62600   ;EQUIPAMENT INFOR- PROM.ECONÒMICA                  ;2015;6;;;;;62600  ;241  ;;15000;2794,19;2287,25;2287,25;2287,25;;;-12205,81;-12205,81
15     241  63200   ;INV.REPOS.EDIFICIS- PROM.ECONÒMICA                ;2015;6;;;;;63200  ;241  ;;25000;6925,9;6925,9;6925,9;3550;;;-18074,1;-18074,1
15     313  22101   ;AIGUA -SALUT PÚBLICA                              ;2015;2;;;;;22101  ;313  ;;1030;1030;458,48;458,48;458,48;;;0;0
15     313  46500   ;A COMARQUES - ACCIÓ PÚBLICA DE SALUT              ;2015;4;;;;;46500  ;313  ;;9500;9500;7573,09;7573,09;7573,09;;;0;0
15     320  22700   ;NETEJA I AGENÇ-ENSENYAMENT                        ;2015;2;;;;;22700  ;320  ;;9000;8100;8100;8100;8100;;;-900;-900
15     3230022101   ;AIGUA - ENSENYAMENT                               ;2015;2;;;;;22101  ;32300;;40000;40000;41196,33;41196,33;41196,33;;;0;0
15     3230022103   ;COMBUSTIBLE - ENSENYAMENT                         ;2015;2;;;;;22103  ;32300;;12000;12000;10727,87;10727,87;10727,87;;;0;0
15     3230048907   ;ALTRES TRANSF- CONVENI AMPA NADAL                 ;2015;4;;;;;48907  ;32300;;11640;11640;11640;11640;11640;;;0;0
15     3230048908   ;ALTRES TRANSF- CONVENI AMPA IES OLORDA            ;2015;4;;;;;48908  ;32300;;10000;10000;10000;10000;10000;;;0;0
15     3260148900   ;ALTR.TRANSF.-POLÍTICA LINGÜÍSTICA                 ;2015;4;;;;;48900  ;32601;;1500;700;700;700;700;;;-800;-800
15     3260221500   ;MOBILIARI I ESTRIS-ESCOLA MÚSICA                  ;2015;2;;;;;21500  ;32602;;3000;3000;3000;2303,23;2303,23;;;0;0
15     3260222699   ;ALTRES DESP.ESP.SERV.-ESCOLA MÚSICA               ;2015;2;;;;;22699  ;32602;;3500;3500;3494,18;3494,18;3494,18;;;0;0
15     3260248900   ;ALTR.TRANSF- ESCOLA MÚSICA                        ;2015;4;;;;;48900  ;32602;;470;470;464;464;464;;;0;0
15     330  12100   ;COMPLEMENT DESTÍ - CULTURA                        ;2015;1;;;;;12100  ;330  ;;0;0;883,26;883,26;883,26;;;0;0
15     330  63200   ;REHABILITACIÓ SALA IBÈRIA- PALAU FALGUERA         ;2015;6;;;;;63200  ;330  ;;200000;161405;90269,11;57202,77;11428,89;;;-38595;-38595
15     332  22706   ;ESTUDIS I TREBALLS TECNICS - BIBLIOTECA           ;2015;2;;;;;22706  ;332  ;;0;4720;4719;4719;4719;;;4720;4720
15     333  20500   ;MOBILIARI I ESTRIS- CIUTAT DE LES ROSES           ;2015;2;;;;;20500  ;333  ;;13000;9948,19;12239,01;12239,01;12239,01;;;-3051,81;-3051,81
15     3340048910   ;ALTR.TRANSF. CULTURA- FED.ENT.TRAD.SANT FELIU     ;2015;4;;;;;48910  ;33400;;15000;15000;15000;15000;15000;;;0;0
15     3340048922   ;ALTRES TRANSF- BALLS ENVELAT                      ;2015;4;;;;;48922  ;33400;;1000;1000;1000;1000;1000;;;0;0
15     3340048924   ;ALTRES TRANSF- CALAIX DE SASTRE                   ;2015;4;;;;;48924  ;33400;;1500;1500;1500;1500;1500;;;0;0
15     3340048928   ;ALTRES TRANSF- MOTOR CLASSIC                      ;2015;4;;;;;48928  ;33400;;1500;1500;1500;1500;1500;;;0;0
15     3340120500   ;MOBILIARI I ESTRIS - JOVENTUT                     ;2015;2;;;;;20500  ;33401;;2000;2000;1808,95;1808,95;1808,95;;;0;0
15     3340121500   ;MOBILIARI I ESTRIS-JOVENTUT                       ;2015;2;;;;;21500  ;33401;;300;300;0;0;0;;;0;0
15     3340122100   ;ENERGIA ELECT.-JOVENTUT                           ;2015;2;;;;;22100  ;33401;;10500;10500;9524,15;9524,15;9524,15;;;0;0
15     338  22601   ;ATENC.PROTOCOL.-FESTES POPULARS                   ;2015;2;;;;;22601  ;338  ;;500;29,65;29,65;29,65;29,65;;;-470,35;-470,35
15     341  22611   ;MATERIAL ESPORTIU                                 ;2015;2;;;;;22611  ;341  ;;2200;2200;1238,8;1238,8;1238,8;;;0;0
15     342  22102   ;GAS - ESPORTS I ESBARJO                           ;2015;2;;;;;22102  ;342  ;;35000;35000;24885,07;24885,07;24885,07;;;0;0
15     342  35800   ;INT.ARREND.FINANCER GESPA ARTIFICIAL              ;2015;3;;;;;35800  ;342  ;;0;13291,38;13291,38;13291,38;13291,38;;;13291,38;13291,38
15     4312021200   ;EDIF.I ALTR.CONST-MERCAT MUNICIPAL                ;2015;2;;;;;21200  ;43120;;1000;1000;614,84;614,84;614,84;;;0;0
15     432  46700   ;TRANS.A CONSORCIS-TURISME                         ;2015;4;;;;;46700  ;432  ;;4000;4156,42;4156,42;4156,42;4156,42;;;156,42;156,42
15     4390022002   ;MAT.INFORMATIC.-NOVES TECNOLOGIES                 ;2015;2;;;;;22002  ;43900;;500;500;341,34;341,34;341,34;;;0;0
15     4390022606   ;REUNIONS I CONF.-NOVES TECNOLOGIES                ;2015;2;;;;;22606  ;43900;;500;500;500;500;500;;;0;0
15     459  21000   ;INFRASTRUCTURA-CARRETERES                         ;2015;2;;;;;21000  ;459  ;;59000;73000;73016,16;73016,16;73016,16;;;14000;14000
15     459  21002   ;INFRASTRUCTURA-MOBILIARI URBA-V.PUB.              ;2015;2;;;;;21002  ;459  ;;2850;2850;0;0;0;;;0;0
15     4590022706   ;ESTUDIS I TREBALLS TECN.- SMART CITY              ;2015;2;;;;;22706  ;45900;;15000;34449,49;34300,37;34300,37;33844,44;;;19449,49;19449,49
15     920  20900   ;ALTR.IMMOB.MAT.-ADM.GENERAL                       ;2015;2;;;;;20900  ;920  ;;12500;12500;12354,65;12354,65;12354,65;;;0;0
15     920  22103   ;COMBUSTIBLE - ADM. GENERAL                        ;2015;2;;;;;22103  ;920  ;;1000;1000;204,93;204,93;204,93;;;0;0
15     9200122699   ;PREVENCIÓ DE RISCOS I SALUT LABORAL               ;2015;2;;;;;22699  ;92001;;4000;4000;5620,75;5620,75;5545,97;;;0;0
15     924  22200   ;COMUNIC.TELEF.-PART.CIUTADANA                     ;2015;2;;;;;22200  ;924  ;;2300;2300;284,71;284,71;284,71;;;0;0
15     924  22609   ;FESTES POPULARS - PARTICIPACIÓ CIUTADANA          ;2015;2;;;;;22609  ;924  ;;4000;4000;2454,5;2454,5;2454,5;;;0;0
15     9260121300   ;REPARACIONS I MANT- MAQUINARIA I INSTAL.          ;2015;2;;;;;21300  ;92601;;30000;30000;29999,41;29999,41;29999,4;;;0;0
15     931  15200   ;ALTRES RETRIBUCIONS-APLICACIÓ CONVENI             ;2015;1;;;;;15200  ;931  ;;0;0;32233,68;32233,68;32233,68;;;0;0
15     931  22610   ;PLAQUES - ADMINISTR.FINANCERA                     ;2015;2;;;;;22610  ;931  ;;500;500;0;0;0;;;0;0
15     943  46600   ;TRANS.ATR.ENT.-ADM.PUB.(FMC)                      ;2015;4;;;;;46600  ;943  ;;17340;17340;16591,96;16591,96;16591,96;;;0;0
15R0   2320462200   ;ADQ.EDIFICIS -ATENCIÓ PERSONA                     ;2015;6;;;;;62200  ;23204;;0;44335,94;44335,94;44335,94;44335,94;;;44335,94;44335,94
15R1   920  62500   ;MOBILIARI I ESTRIS - ADM.GENERAL                  ;2015;6;;;;;62500  ;920  ;;0;9207,32;7068,65;5961,89;5666,45;;;9207,32;9207,32
15R3   453  61903   ;PLAÇA CATALUNYA                                   ;2015;6;;;;;61903  ;453  ;;0;77238,6;73465,6;72521,44;48437,59;;;77238,6;77238,6
15R4   130  64100   ;APLICACIONS INFORMÀTIQUES -SEGURETAT              ;2015;6;;;;;64100  ;130  ;;0;18863,28;0,12;0,12;0,12;;;18863,28;18863,28
15R4   150  62500   ;MOBILIARI I ESTRIS - URBANISME                    ;2015;6;;;;;62500  ;150  ;;0;3120,74;3096,33;3096,33;3096,33;;;3120,74;3120,74
15R4   164  63400   ;INV.RPOS.VEHICLES MANTENIMENT                     ;2015;6;;;;;63400  ;164  ;;0;0;0;0;0;;;0;0
15R4   231  64000   ;DRETS US TRASTERS TOVALLOLES                      ;2015;6;;;;;64000  ;231  ;;0;0;0;0;0;;;0;0
15R4   342  63200   ;INVERS.REPOS.EDIFICIS-PISCINA ESCORXADOR          ;2015;6;;;;;63200  ;342  ;;0;121019,62;66548,08;66548,08;66548,08;;;121019,62;121019,62
15R4   491  62300   ;ADQ.MAQ.INSTAL.-COMUNICACIÓ                       ;2015;6;;;;;62300  ;491  ;;0;15000;15000;14223,17;0;;;15000;15000
15R4   9120022706   ;ESTUDIS I TREB.TECNICS- ORGANS GOVERN             ;2015;2;;;;;22706  ;91200;;0;16000;16000;16000;16000;;;16000;16000
15R4   9290162500   ;ADQ.MOBILIARI I ESTRIS - SALUT I RISCOS LABORALS  ;2015;6;;;;;62500  ;92901;;0;2000;0;0;0;;;2000;2000
15     132  21200   ;EDIF.I ALTR.CONST-SEGURETAT                       ;2015;2;;;;;21200  ;132  ;;3000;3000;1664,54;1664,54;1664,54;;;0;0
15     132  22000   ;MAT.OFIC.-SEGURETAT                               ;2015;2;;;;;22000  ;132  ;;2300;2300;1146,23;1146,23;1146,23;;;0;0
15     132  22699   ;ALTRES DESP.ESP.SERV.-SEGURETAT                   ;2015;2;;;;;22699  ;132  ;;6100;6100;8124,58;8124,58;8124,58;;;0;0
15     171  61901   ;remodelació parc del Llobregat                    ;2015;6;;;;;61901  ;171  ;;0;198250;198250;198250;198250;;;198250;198250
15     2320422699   ;ALTRES DESP.ESP.SERV.-ATENCIÓ PERSONA             ;2015;2;;;;;22699  ;23204;;2500;2500;1969,47;1886,75;1590,45;;;0;0
15     241  21200   ;EDIF.I ALTR.CONST-PROM.OCUPAC.                    ;2015;2;;;;;21200  ;241  ;;5400;5400;5602,71;5438,91;5438,91;;;0;0
15     3260022706   ;EST.I TREB.TECNICS-P.EDUCATIVA                    ;2015;2;;;;;22706  ;32600;;130270;130270;123564,05;123564,05;123564,05;;;0;0
15     3340022001   ;PREMSA I PUB. - PROM.CULTURAL                     ;2015;2;;;;;22001  ;33400;;3500;3000;3000;2683,2;2683,2;;;-500;-500
15R3   171  61901   ;Remodelació Parc Llobregat                        ;2015;6;;;;;61901  ;171  ;;0;56331,18;52535,51;52535,51;52535,51;;;56331,18;56331,18
15     130  12101   ;COMPLEMENT ESPECÍFIC SEGURETAT                    ;2015;1;;;;;12101  ;130  ;;1044830;1044830;954714,38;954714,38;954714,38;;;0;0
15     132  22100   ;ENERGIA ELECT.-SEGURETAT                          ;2015;2;;;;;22100  ;132  ;;22000;22000;21796,85;21796,85;21796,85;;;0;0
15     132  22102   ;GAS - SEGURETAT                                   ;2015;2;;;;;22102  ;132  ;;8600;8600;4864,73;4864,73;4864,73;;;0;0
15     150  11000   ;PERSONAL EVENTUAL-URBANISME                       ;2015;1;;;;;11000  ;150  ;;52376;52376;48645,49;48645,49;48645,49;;;0;0
15     150  12000   ;RETRIBUCIONS BÁSIQUES GRUP A1 URBANISME           ;2015;1;;;;;12000  ;150  ;;73387;77732,36;77731,96;77731,96;77731,96;;;4345,36;4345,36
15     150  12001   ;RETRIBUCIONS BÀSIQUES GRUP A2 URBANISME           ;2015;1;;;;;12001  ;150  ;;38720;40818,36;40817,92;40817,92;40817,92;;;2098,36;2098,36
15     150  12006   ;TRIENIS URBANISME                                 ;2015;1;;;;;12006  ;150  ;;55762;55762;51189,1;51189,1;51189,1;;;0;0
15     151  48100   ;TRANS.,PREM.BEQUES - URBANISME                    ;2015;4;;;;;48100  ;151  ;;10000;8680;8680;8680;8680;;;-1320;-1320
15     1532012000   ;RETRIBUCIONS BÀSIQUES GRUP A1 VIA PÚBLICA         ;2015;1;;;;;12000  ;15320;;29355;31066,28;31065,92;31065,92;31065,92;;;1711,28;1711,28
15     1532012006   ;TRIENIS VIA PÚBLICA                               ;2015;1;;;;;12006  ;15320;;14272;14272;15819,27;15819,27;15819,27;;;0;0
15     1690012006   ;TRIENIS MANTENIMENT                               ;2015;1;;;;;12006  ;16900;;25058;20479,06;20779,74;20779,74;20779,74;;;-4578,94;-4578,94
15     1690120200   ;EDIF.I ALTR.CONST.-SERV.MANTENIMENT               ;2015;2;;;;;20200  ;16901;;19300;19300;18694,08;18694,08;18694,08;;;0;0
15     221  16204   ;ACCIO SOCIAL-DISM.I C.SOCIAL                      ;2015;1;;;;;16204  ;221  ;;12955;12955;11588,39;11588,39;11013,07;;;0;0
15     2320222706   ;EST.I TREB.TECNICS-NOVA CIUTADANIA                ;2015;2;;;;;22706  ;23202;;51143;51143;50999,52;40657,02;37907,02;;;0;0
15     2320412101   ;COMPLEMENT ESPECÍFIC ATENCIÓ A LA PERSONA         ;2015;1;;;;;12101  ;23204;;52241;52241;49807,03;49807,03;49807,03;;;0;0
15     313  13002   ;ALTRES RETRIBUCIONS LABORALS SALUT PÚBLICA        ;2015;1;;;;;13002  ;313  ;;19499;19499;19498,42;19498,42;19498,42;;;0;0
15     330  13002   ;ALTRES RETRIBUCIONS LABORALS CULTURA              ;2015;1;;;;;13002  ;330  ;;114958;118280,25;114957,26;114957,26;114957,26;;;3322,25;3322,25
15     340  12005   ;RETRIBUCIONS BÀSIQUES GRUP E ESPORTS              ;2015;1;;;;;12005  ;340  ;;7679;8667,24;8163,43;8163,43;8163,43;;;988,24;988,24
15     342  20200   ;EDIF.I ALTR.CONST .-INST.ESPORTIVES               ;2015;2;;;;;20200  ;342  ;;237454;94822,12;94821,34;94821,34;94821,34;;;-142631,88;-142631,88
15     491  21600   ;EQUIP.PROC.INFORMAC-COMUNICACIÓ                   ;2015;2;;;;;21600  ;491  ;;5000;5000;5656,2;5656,2;5636,01;;;0;0
15     493  22706   ;EST.I TREB.TECNICS-OMIC                           ;2015;2;;;;;22706  ;493  ;;11200;11200;11132;11132;11132;;;0;0
15     920  12101   ;COMPLEMENT ESPECÍFIC SERVEIS GENERALS             ;2015;1;;;;;12101  ;920  ;;283993;283993;282963,3;282963,3;282963,3;;;0;0
15     931  12101   ;COMPLEMENT ESPECÍFIC SERVEIS ECONÒMICS            ;2015;1;;;;;12101  ;931  ;;151105;131105;115629,01;115629,01;115629,01;;;-20000;-20000
15     931  12103   ;ALTRES COMPLEMENTS SERVEIS ECONÒMICS              ;2015;1;;;;;12103  ;931  ;;8842;5567;4636,59;4636,59;4636,59;;;-3275;-3275
15     221  16300   ;ACCIO SOCIAL-FORM.I PERF.LABORALS                 ;2015;1;;;;;16300  ;221  ;;20705;20705;18157,04;18157,04;17712,04;;;0;0
15     2320422200   ;COMUNIC.TELEF.-ATENCIÓ PERSONA                    ;2015;2;;;;;22200  ;23204;;3200;3200;489,85;489,85;489,85;;;0;0
15     241  21900   ;ALTR.INMOBIL.MAT.-FORMACIO I OCUPACIO             ;2015;2;;;;;21900  ;241  ;;500;16210;16121,97;11558,3;11558,3;;;15710;15710
15     241  22200   ;COMUNIC.TELEF.-FORMACIO I OCUPACIO                ;2015;2;;;;;22200  ;241  ;;14000;14000;1978,63;1978,63;1978,63;;;0;0
15     3260122609   ;FESTES POPULARS - POLITICA LINGÜÍSTICA            ;2015;2;;;;;22609  ;32601;;8500;8500;6920,29;6920,29;6920,29;;;0;0
15     3340122101   ;AIGUA - JOVENTUT                                  ;2015;2;;;;;22101  ;33401;;1100;1100;747,15;747,15;747,15;;;0;0
15     4310046700   ;A CONSORCIS- COMERÇ                               ;2015;4;;;;;46700  ;43100;;60000;60000;60000;60000;60000;;;0;0
15     491  22602   ;PUBLIC.PROPAG.-COMUNICACIO                        ;2015;2;;;;;22602  ;491  ;;231000;258952,07;258245,58;257864,94;255960,4;;;27952,07;27952,07
15     920  22605   ;RESPONSABILITAT PATRIMONIAL                       ;2015;2;;;;;22605  ;920  ;;12000;12000;240,89;240,89;240,89;;;0;0
15     9260122002   ;MAT.INFORMATIC.-INFORMATICA                       ;2015;2;;;;;22002  ;92601;;5000;5000;4979,77;4979,77;4979,77;;;0;0
15     241  22400   ;ASSEGURANCES-FORMACIO I OCUPACIO                  ;2015;2;;;;;22400  ;241  ;;500;4751,59;4720,9;4720,9;4720,9;;;4251,59;4251,59
15     011  91301   ;Amortització préstec - subvenir tipus d interès   ;2015;9;;;;;91301  ;011  ;;0;143324,78;143324,78;143324,78;143324,78;;;143324,78;143324,78
15     130  62300   ;ADQ. MAQ. INSTAL- SEGURETAT                       ;2015;6;;;;;62300  ;130  ;;25000;14520;14491,46;14491,46;14491,46;;;-10480;-10480
15     1532022101   ;AIGUA - SERV.VIA PUBLICA                          ;2015;2;;;;;22101  ;15320;;187400;187400;209100,2;209100,2;209100,2;;;0;0
15     160  22700   ;NETEJA I AGENÇ-SANEJ.COL.LECTORS                  ;2015;2;;;;;22700  ;160  ;;50000;46000;46000;46000;46000;;;-4000;-4000
15     162  62500   ;MOBILIARI I ESTRIS - MANTENIMENT                  ;2015;6;;;;;62500  ;162  ;;0;0;0;0;0;;;0;0
15     1690015200   ;ALTRES RETRIBUCIONS - APLICACIÓ CONVENI           ;2015;1;;;;;15200  ;16900;;0;0;7890,9;7890,9;7890,9;;;0;0
15     1690122500   ;TRIBUTS - MANTENIMENT                             ;2015;2;;;;;22500  ;16901;;350;350;290,56;290,56;290,56;;;0;0
15     172  76700   ;CONSORCI PARC COLLSEROLA                          ;2015;7;;;;;76700  ;172  ;;30000;30000;30000;30000;30000;;;0;0
15     231  20500   ;MOBILIARI I ESTRIS - ACCIO SOCIAL                 ;2015;2;;;;;20500  ;231  ;;1520;1520;502,92;502,92;502,92;;;0;0
15     231  22101   ;AIGUA - ACCIO SOCIAL                              ;2015;2;;;;;22101  ;231  ;;5000;5000;4081,37;4081,37;4081,37;;;0;0
15     2310146500   ;A COMARQUES- PROGRAMA DISCAPACITAT                ;2015;4;;;;;46500  ;23101;;18000;16000;8525,8;8525,8;8525,8;;;-2000;-2000
15     2310148904   ;ALTRES TRANSF.- LLARS AMISTAT CHESHIRE-CAN LLOBERA;2015;4;;;;;48904  ;23101;;0;1300;1300;1300;1300;;;1300;1300
15     2310148907   ;ALTRES TRANSF.- FUNDACIO APIP-ACAM                ;2015;4;;;;;48907  ;23101;;0;800;800;800;800;;;800;800
15     2320022799   ;SERVEIS PROMOCIÓ SOCIAL                           ;2015;2;;;;;22799  ;23200;;100000;0;0;0;0;;;-100000;-100000
15     2320248900   ;ALTR.TRANS.-NOVA CIUTADANIA                       ;2015;4;;;;;48900  ;23202;;7000;4000;3054;3054;3054;;;-3000;-3000
15     2320422100   ;ENERGIA ELECT.-ATENCIO A LA PERSONA               ;2015;2;;;;;22100  ;23204;;30900;30900;16629,8;16629,8;16629,8;;;0;0
15     241  22602   ;PUBLICITAT I PROPAGANDA- FORMACIÓ I OCUPACIÓ      ;2015;2;;;;;22602  ;241  ;;2000;7000;6291;6291;6291;;;5000;5000
