Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,Recaptació_líquida,Descirpció_orgànica,FID
01,39190,ALTRES MULTES I SANCIONS,9000,0,9000,3472.6,1686.6,ALCALDIA I RÈGIM INTERN,93
0906,77001,APORTACIONS AL SARRÓ,0,0,0,0,0,SERVEIS SOCIALS,94
1406,39901,ALTRES. AGENDES ESCOLARS,0,0,0,0,0,SERVEI A LES PERSONES,95
02T6,45050,GENE. SUBV PROGRAMA CT-028/16 (tb),0,0,0,0,0,PROMOCIÓ ECONÒMICA,96
0206,46101,DIPUTACIÓ. SUBV FIRA PORC I CERVESA,0,0,0,0,0,PROMOCIÓ ECONÒMICA,97
01,39200,RECÀRREC PER DECLARACIÓ EXTEMPORÀNIA SENSE REQUERIMENT PREVI,2000,0,2000,195.79,143,ALCALDIA I RÈGIM INTERN,98
0906,78000,APORTACIÓ SARRÓ,0,0,0,0,0,SERVEIS SOCIALS,99
1406,46100,DIPU-SUBV.CULTURA,0,0,0,0,0,SERVEI A LES PERSONES,100
01,39211,RECÀRREC DE CONSTRENYIMENT,7500,0,7500,1458.46,1458.46,ALCALDIA I RÈGIM INTERN,101
0206,46102,DIPUTACIÓ. SUBV ARTIC,0,0,0,0,0,PROMOCIÓ ECONÒMICA,102
02U5,45050,GENERALITAT SOC SUBV 2015/PRMI/SPO/0042 FSE,0,0,0,0,0,PROMOCIÓ ECONÒMICA,103
09A,45002,GENE - CONVENI SERVEIS SOCIALS,185000,0,185000,0,0,SERVEIS SOCIALS,104
0206,46103,DIPUTACIÓ. SUBV ACCIONS MERCATS,0,0,0,0,0,PROMOCIÓ ECONÒMICA,105
01,39300,INTERESSOS DE DEMORA,23500,0,23500,5653.81,5579.17,ALCALDIA I RÈGIM INTERN,106
1406,46110,DIPUTACIÓ. SUBV SUPORT FORMACIÓ ADULTS,0,0,0,0,0,SERVEI A LES PERSONES,107
09B,45002,GENE - SUBV. ATENCIÓ DOMICILIÀRIA,70000,0,70000,0,0,SERVEIS SOCIALS,108
02V5,45050,GENERALITAT SUBV INNOVACIÓ EN ESS IE-13/15,0,0,0,0,0,PROMOCIÓ ECONÒMICA,109
0206,46108,DIPUTACIÓ. SUBV PC OCUPACIÓ L1A,0,0,0,0,0,PROMOCIÓ ECONÒMICA,110
09B6,45002,GENERALITAT. SUBV ATENCIÓ DOMICILIARIA,0,0,0,0,0,SERVEIS SOCIALS,111
01,39800,INDEMNITZACIONS D'ASSEGURANCES DE NO-VIDA,3000,0,3000,522.17,522.17,ALCALDIA I RÈGIM INTERN,112
1406,46111,DIPUTACIÓ. SUBV ACTIVITATS ESPORTIVES,0,0,0,0,0,SERVEI A LES PERSONES,113
02V6,45050,GENE. SUBV FORMACIÓ PT20160087,0,0,0,0,0,PROMOCIÓ ECONÒMICA,114
0206,46127,DIPUTACIÓ. SUBV PROMOCIÓ COMERÇ,0,0,0,0,0,PROMOCIÓ ECONÒMICA,115
09C5,45002,GENERALITAT SUBV CURSOS CONEIXEMENTS LABORALS,0,0,0,0,0,SERVEIS SOCIALS,116
01,39801,INDEMNITZACIONS ASSEGURANCES DE NO-VIDA,0,0,0,0,0,ALCALDIA I RÈGIM INTERN,117
1406,46112,DIPUTACIÓ. SUBV ESCOLA DE MÚSICA,0,0,0,0,0,SERVEI A LES PERSONES,118
02Z5,45050,GENERALITAT SOC SUBV FEM OCUPACIÓ PER JOVES FOJ-6-2015,0,0,0,0,0,PROMOCIÓ ECONÒMICA,119
0206,46128,DIPUTACIÓ SUBV INNOVACIÓ ESS,0,0,0,0,0,PROMOCIÓ ECONÒMICA,120
09D3,45002,GENE - ICD TRASFERENCIA,23000,0,23000,0,0,SERVEIS SOCIALS,121
01,39900,ALTRES INGRESSOS DIVERSOS,9000,0,9000,5501.9,5501.9,ALCALDIA I RÈGIM INTERN,122
02Z6,45050,GENE - SOC. SUBV 30P-41-2016,0,0,0,0,0,PROMOCIÓ ECONÒMICA,123
1406,46113,DIPUTACIÓ. SUBV ESPORTS,0,0,0,0,0,SERVEI A LES PERSONES,124
0206,46129,DIPUTACIÓ. SUBV MANLLEU GALERIA D'ART (mga),0,0,0,0,0,PROMOCIÓ ECONÒMICA,125
01,42000,PARTICIPACIÓ EN ELS TRIBUTS DE L'ESTAT,4137000,0,4137000,1035567.48,1035567.48,ALCALDIA I RÈGIM INTERN,126
09F6,45002,GENERALITAT. RESTA SUBV CONVENI MARC,0,0,0,0,0,SERVEIS SOCIALS,127
03,29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL.LACIONS I OBRES",350000,0,350000,16092.44,11431.04,URBANISME I OBRES PÚBLIQUES,128
1406,46114,DIPUTACIÓ. SUBV FESTIVALS ARTÍSTICS,0,0,0,0,0,SERVEI A LES PERSONES,129
0206,46130,DIPUTACIÓ. SUBV MANLLEU GALERIA ART (mga),0,0,0,0,0,PROMOCIÓ ECONÒMICA,130
09P,45002,"GENE, AUS-POBRESA ENERGÈTICA",0,13217.35,13217.35,0,0,SERVEIS SOCIALS,131
01,45000,PARTICIPACIÓ EN TRIBUTS DE LA COMUNITAT AUTÒNOMA,228000,0,228000,0,0,ALCALDIA I RÈGIM INTERN,132
1406,46116,DIPUTACIÓ. SUBV ESCOLES BRESSOL,0,0,0,0,0,SERVEI A LES PERSONES,133
03,32100,LLICÈNCIES URBANÍSTIQUES,500,0,500,566.91,0,URBANISME I OBRES PÚBLIQUES,134
0206,46131,DIPUTACIÓ. SUBV PROJ COWORKING LAB,0,0,0,0,0,PROMOCIÓ ECONÒMICA,135
03,32200,CÈDULES D'HABITABILITAT I LLICÈNCIES 1A OCUPACIÓ,1500,0,1500,371,371,URBANISME I OBRES PÚBLIQUES,136
10,30300,TAXA DEIXALLERIA,14000,0,14000,2776.4,912.47,MEDI AMBIENT,137
1406,46117,DIPUTACIÓ. SUBV PFI-PTT 2016-17,0,0,0,0,0,SERVEI A LES PERSONES,138
01,45080,GENE - SUBV. DIVERSES,13000,0,13000,-1056.2,-1056.2,ALCALDIA I RÈGIM INTERN,139
03,32300,TAXES PER ALTRES SERVEIS URBANÍSTICS,16000,0,16000,2451.96,2451.96,URBANISME I OBRES PÚBLIQUES,140
10,33900,TAXA HORTS,5000,0,5000,1810.7,1810.7,MEDI AMBIENT,141
01,46100,DIPU - SUBV. DIVERSES,35000,0,35000,0,0,ALCALDIA I RÈGIM INTERN,142
1406,46119,DIPUTACIÓ. SUBV ACTIVITATS CULTURALS,0,0,0,0,0,SERVEI A LES PERSONES,143
0206,46132,DIPUTACIÓ. SUBV PROJ TU POTS FER-HO,0,0,0,0,0,PROMOCIÓ ECONÒMICA,144
03,32900,TAXA OBERTURA D'ESTABLIMENTS,6000,0,6000,6302,6127,URBANISME I OBRES PÚBLIQUES,145
10,34900,PREU PÚBLIC ENERGIA DEIXALLERIA,2200,0,2200,728.87,728.87,MEDI AMBIENT,146
01,52000,INTERESSOS DE DIPÒSITS,12000,0,12000,939.23,939.23,ALCALDIA I RÈGIM INTERN,147
1406,46126,DIPUTACIÓ. AJUT FINAL FOUR 16/Y/224452,0,0,0,0,0,SERVEI A LES PERSONES,148
0206,46133,DIPUTACIÓ. SUBV ACCIONS FORMATIVES,0,0,0,0,0,PROMOCIÓ ECONÒMICA,149
03,33900,OCUPACIÓ VIA PÚBLICA PER OBRES,7000,0,7000,358.52,261.02,URBANISME I OBRES PÚBLIQUES,150
01,54100,ARRENDAMENTS DE FINQUES URBANES,10000,0,10000,12526.59,5043.6,ALCALDIA I RÈGIM INTERN,151
10,34902,PROJ DESENDOLLA¿T,0,0,0,0,0,MEDI AMBIENT,152
1406,47002,DONACIÓ BEQUES ESTUDIANTS,0,0,0,0,0,SERVEI A LES PERSONES,153
0206,46134,DIPUTACIÓ. SUBV SERVEI EMPRESES (Aj Vic),0,0,0,0,0,PROMOCIÓ ECONÒMICA,154
03,34900,PREU PÚBLIC ENERGIA TURBINA FILTEX,12000,0,12000,9038.51,7158.82,URBANISME I OBRES PÚBLIQUES,155
01,55000,CONCESSIONS ADMINISTRATIVES,12500,0,12500,2907.75,2907.75,ALCALDIA I RÈGIM INTERN,156
1406,76100,"DIPUTACIÓ, MATERIAL ESPORTIU INVENTERIABLE",0,0,0,0,0,SERVEI A LES PERSONES,157
0206,46135,DIPUTACIÓ. SUBV NOVES EINES DINAMITZACIÓ EMPRESES,0,0,0,0,0,PROMOCIÓ ECONÒMICA,158
10,39901,VENDES MATERIAL DEIXALLERIA,30000,0,30000,10804.67,7708.51,MEDI AMBIENT,159
03,34901,PREU PÚBLIC TURBINA CAN BUIXÓ,12000,0,12000,2521.88,1160.82,URBANISME I OBRES PÚBLIQUES,160
01,55002,CANON APARCAMENT ZONA BLAVA,21000,0,21000,0,0,ALCALDIA I RÈGIM INTERN,161
14A,45060,GENE - SUBV. DG. HABITATGE,48430,0,48430,0,0,SERVEI A LES PERSONES,162
10,39902,INGRESSOS DEIXALLERIA AJUNTAMENTS,17500,0,17500,8124.59,5917.63,MEDI AMBIENT,163
0206,46136,DIPUTACIÓ. SUBV NOU PROJ CENTRE FORMACIÓ INTEGRAL,0,0,0,0,0,PROMOCIÓ ECONÒMICA,164
03,39100,SANCIONS URBANISTIQUES,0,0,0,600,0,URBANISME I OBRES PÚBLIQUES,165
14E,46100,DIPU-SUBV ESCOLA BRESSOL,150000,0,150000,92783.15,92783.15,SERVEI A LES PERSONES,166
01,91300,PRESTÉCS REBUTS FORA SECTOR PÚBLIC,0,0,0,0,0,ALCALDIA I RÈGIM INTERN,167
10,39903,PROJ DESENDOLLA'T,0,0,0,0,0,MEDI AMBIENT,168
0206,46137,DIPUTACIÓ. SUBV REEMPRESA 1/2016,0,0,0,0,0,PROMOCIÓ ECONÒMICA,169
03,39610,QUOTES URBANISTIQUES EL VERDAGUER,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,170
14P6,45030,GENERALITAT SUBV PLA EDUCATIU ENTORN CURS 2016-2017,0,0,0,0,0,SERVEI A LES PERSONES,171
0106,45080,GENE - SUBV. DIVERSES,0,0,0,0,0,ALCALDIA I RÈGIM INTERN,172
0206,46183,DIPUTACIÓ. SUBV PLATAFORMA XALOC,0,0,0,0,0,PROMOCIÓ ECONÒMICA,173
10,45080,GENE - SUBV. CANON DEPOSICIÓ RESIDUS,115000,0,115000,21478,21478,MEDI AMBIENT,174
03,39900,LLOGUERS PLAÇA LLEVANT,6000,0,6000,1670,1670,URBANISME I OBRES PÚBLIQUES,175
15,32900,"TAXA ENTRADES, TALLERS I ALTRES MUSEU",29000,0,29000,13813.29,13813.29,MUSEU DEL TER,176
0106,91300,PRÉSTECS LL/T FORA SECTOR PÚBLIC,0,0,0,0,0,ALCALDIA I RÈGIM INTERN,177
0206,47002,APORTACIONS EMPRESES INNOVACAT,0,0,0,0,0,PROMOCIÓ ECONÒMICA,178
0206,55001,CANON MERCAT MUNICIPAL,0,0,0,0,0,PROMOCIÓ ECONÒMICA,179
02,33500,TAULES I CADIRES,9500,0,9500,2362.73,2362.73,PROMOCIÓ ECONÒMICA,180
15,34400,PREU PÚBLIC ACTIVITATS MUSEU,6000,0,6000,95.4,95.4,MUSEU DEL TER,181
03,39901,"LLUM, GAS I ALTRES PISOS LLOGUER",3000,0,3000,1383.86,1383.86,URBANISME I OBRES PÚBLIQUES,182
10,55003,CONCESSIÓ ENERGIA ELÈCTRICA,4000,0,4000,0,0,MEDI AMBIENT,183
15,34900,PREU PÚBLIC TURBINA MUSEU,12000,0,12000,5548.75,5032.86,MUSEU DEL TER,184
02,33900,"QUIOSCOS, PARADES I CASETES",8500,0,8500,798.22,798.22,PROMOCIÓ ECONÒMICA,185
02A4,45050,GENE-SUBV SOC PANP 2014 (fse),0,0,0,0,0,PROMOCIÓ ECONÒMICA,186
03,39902,EXECUCIONS SUBSIDIARIES,0,0,0,338.8,0,URBANISME I OBRES PÚBLIQUES,187
1000,75100,"ACA, SUBV ESCALA PEIXOS",0,0,0,0,0,MEDI AMBIENT,188
15,34901,BOTIGA MUSEU,3000,0,3000,394.46,394.46,MUSEU DEL TER,189
02,33901,MERCATS,80000,0,80000,21884.02,21884.02,PROMOCIÓ ECONÒMICA,190
03,45080,GENERALITAT. SUBV PUOSC,65713.99,16586.23,82300.22,0,0,URBANISME I OBRES PÚBLIQUES,191
02A6,45050,GENE SOC. SUBV 16/FOAP/315/0144605,0,0,0,0,0,PROMOCIÓ ECONÒMICA,192
1000,87010,DESPESES AMB FINANÇAMENT AFECTAT,0,0,0,0,0,MEDI AMBIENT,193
15,34902,MT VENDA LLIBRES,0,0,0,0,0,MUSEU DEL TER,194
03,46100,"DIPUTACIÓ, CONVENI SIDH-SAC",12000,0,12000,0,0,URBANISME I OBRES PÚBLIQUES,195
02B4,45050,GENE-SUBV INSERCIÓ RMI,0,0,0,0,0,PROMOCIÓ ECONÒMICA,196
02,34900,LLOGUER LOCALS COWORKING I ALTRES,5000,0,5000,0,0,PROMOCIÓ ECONÒMICA,197
1006,45100,AGC. SUBV FORM-AJUT MAGRAMA,0,0,0,0,0,MEDI AMBIENT,198
15,36001,PRESTACIÓ SERVEIS DIVERSOS MUSEU,3000,0,3000,0,0,MUSEU DEL TER,199
02B5,45050,GENERALITAT SUBV SOC BTB 38/15 E1-05 DINAMITZACIÓ,0,0,0,0,0,PROMOCIÓ ECONÒMICA,200
02,34901,PREUS FIRES I FESTES,55000,0,55000,18935.83,18935.83,PROMOCIÓ ECONÒMICA,201
1006,46101,DIPUTACIÓ. SUBV MERCAT JOGUINES BADANADAL,0,0,0,0,0,MEDI AMBIENT,202
03,76100,"DIPUTACIÓ, SUBV FIBRA OPTICA",0,40000,40000,0,0,URBANISME I OBRES PÚBLIQUES,203
15,45050,GENE - SUBV. ANTENA MUSEU,8000,0,8000,0,0,MUSEU DEL TER,204
02,34902,MENTOR,0,0,0,288,288,PROMOCIÓ ECONÒMICA,205
1006,47000,APORTACIONS RECOLLIDA SELECTIVA,0,0,0,0,0,MEDI AMBIENT,206
02C1,45050,GENT SUBV EIXC2-ESTRATÈGIES INSERCIÓ,0,0,0,0,0,PROMOCIÓ ECONÒMICA,207
0304,76101,DIPU-SUBV ROTONDA CRUÏLLA B-522/BV/BV-5224,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,208
15,45200,MUSEU DE LA CIÈNCIA - APORTACIÓ,15000,0,15000,0,0,MUSEU DEL TER,209
02,34903,CURSOS OPE,0,0,0,1680,1430,PROMOCIÓ ECONÒMICA,210
11,46103,"DIPUTACIÓ, SUBV OAC",40000,0,40000,0,0,SOCIETAT DEL CONEIXEMENT I LA INFORMACIÓ,211
02C5,45050,GENERALITAT SUBV SOC BTB 38/15 E1-04 FSE TREBALLADORA SOCIAL,0,0,0,0,0,PROMOCIÓ ECONÒMICA,212
0306,34902,RECAPTACIÓ PARQUING I ZONA BLAVA,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,213
1106,46101,DIPUTACIÓ. SUBV ADEQ SISTEMA NACIONAL DE SEGURETAT,0,0,0,0,0,SOCIETAT DEL CONEIXEMENT I LA INFORMACIÓ,214
02D4,45050,GENE-SUBV AGENT OCUPACIÓ (fse),0,0,0,0,0,PROMOCIÓ ECONÒMICA,215
0306,45080,GENERALITAT. PUOSC 2016,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,216
15,46100,DIPU - SUBV. DIVERSES MUSEU,5000,0,5000,0,0,MUSEU DEL TER,217
02,34904,PREU PUBLIC CAMBRES FRIGORIFIQUES,0,0,0,1017.91,1017.91,PROMOCIÓ ECONÒMICA,218
0306,46100,DIPUTACIÓ. CONVENI SIDH-SAC,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,219
