Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,F__Drets_reconeguts_nets_respect,Recaptació_líquida,F__Recaptació_neta_respecte_els,FID
02S5,45050,"GENERALITAT, SUBV SOSTENIBILITAT SOC B-065/15-02",0,0,0,0,,0,,36
01,39200,RECÀRREC PER DECLARACIÓ EXTEMPORÀNIA SENSE REQUERIMENT PREVI,1000,0,1000,639.2,,610.72,,37
15,48000,ZOO DE BARCELONA - BECA,6159,0,6159,0,,0,,38
02T5,45050,GENE SUBV BTB 38/15 B2-01 FSE MANT EDIFICIS I FIBRA OPTICA,0,0,0,0,,0,,39
01,39211,RECÀRREC DE CONSTRENYIMENT,7500,0,7500,1475.32,,1475.32,,40
094,46105,DIPU - SUBV.LINIA 1 AJUT COMPLEMENTARI,0,0,0,0,,0,,41
02U5,45050,GENERALITAT-SOC SUBV 2015/PRMI/SPO/0042 FSE,0,0,0,0,,0,,42
01,39300,INTERESSOS DE DEMORA,21500,0,21500,6679.14,,6064.22,,43
0204,45060,GENE-SUBV.EMPRENEDORS (FSE),0,0,0,0,,0,,44
02V5,45050,GENERALITAT SUBV INNOVACIÓ EN ESS IE-13/15,0,0,0,0,,0,,45
01,39800,INDEMNITZACIONS D'ASSEGURANCES DE NO-VIDA,6000,0,6000,762.23,,762.23,,46
0204,46106,DIPU - SUBV.ACCIONS FOMENT OCUPACIO,0,0,0,0,,0,,47
02Z5,45050,GENERALITAT-SOC SUBV FEM OCUPACIÓ PER JOVES FOJ-6-2015,0,0,0,0,,0,,48
01,39900,ALTRES INGRESSOS DIVERSOS,9000,0,9000,2076.53,,2076.53,,49
0205,36001,CONSELL COMARCAL CURS AUX MAGATZEM JOVES,0,0,0,0,,0,,50
03,29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL.LACIONS I OBRES",140000,0,140000,13123.56,,13123.56,,51
01,42000,PARTICIPACIÓ EN ELS TRIBUTS DE L'ESTAT,3919537.19,0,3919537.19,901430.29,,901430.29,,52
0205,45050,"GENT SOC, SUBV INTERMEDIACIÓ SAC/14/00063 (fse)",0,0,0,0,,0,,53
03,32100,LLICÈNCIES URBANÍSTIQUES,500,0,500,113.5,,113.5,,54
01,45000,PARTICIPACIÓ EN TRIBUTS DE LA COMUNITAT AUTÒNOMA,227759.79,0,227759.79,0,,0,,55
0205,46101,"DIPUTACIÓ, SUBV FOMENT OCUPACIÓ",0,0,0,0,,0,,56
01,45080,GENE - SUBV. DIVERSES,20000,0,20000,0,,0,,57
03,32200,CÈDULES D'HABITABILITAT I LLICÈNCIES 1A OCUPACIÓ,1000,0,1000,522.45,,522.45,,58
0205,46115,"DIPUTACIÓ, C SERV MERCATS SETMANALS",0,0,0,0,,0,,59
03,32300,TAXES PER ALTRES SERVEIS URBANÍSTICS,16000,0,16000,5120.25,,5120.25,,60
01,46100,DIPU - SUBV. DIVERSES,75000,0,75000,0,,0,,61
0205,46116,"DIPUTACIÓ, C SERV MERCAT MUNICIPAL",0,0,0,0,,0,,62
01,52000,INTERESSOS DE DIPÒSITS,22500,0,22500,1146.17,,1146.17,,63
03,32900,TAXA OBERTURA D'ESTABLIMENTS,15500,0,15500,2098.8,,2098.8,,64
0205,46120,"DIPUTACIÓ, C SERV PROMOCIÓ COMERÇ",0,0,0,0,,0,,65
01,54100,ARRENDAMENTS DE FINQUES URBANES,10000,0,10000,7857.06,,513.6,,66
03,33900,OCUPACIÓ VIA PÚBLICA PER OBRES,2500,0,2500,182.25,,182.25,,67
0205,46121,"DIPUTACIÓ, C SUBV APARADORS ARTISTICS",0,0,0,0,,0,,68
01,55000,CONCESSIONS ADMINISTRATIVES,12500,0,12500,2580.04,,2580.04,,69
0205,46122,DIPUTACIÓ C SERV DINAMITZACIÓ COMERCIAL,0,0,0,0,,0,,70
03,34900,PREU PÚBLIC ENERGIA TURBINA FILTEX,10000,0,10000,2566.06,,0,,71
01,55002,CANON APARCAMENT ZONA BLAVA,31800,0,31800,0,,0,,72
0205,46123,"DIPUTACIÓ, C SUBV ESPAIS BUITS APARADORS ARTIST",0,0,0,0,,0,,73
03,34901,PREU PÚBLIC TURBINA CAN BUIXÓ,10000,0,10000,590.34,,116.94,,74
01,91300,PRÉSTECS LL/T FORA SECTOR PÚBLIC,0,0,0,0,,0,,75
0205,46178,"DIPUTACIÓ, SUBV CENTRE EMPRESES (aj vic) 15/Y/205779",0,0,0,0,,0,,76
03,34902,RECAPTACIÓ PARQUING I ZONA BLAVA,0,44254.8,44254.8,41361.7,,39838.73,,77
02,33500,TAULES I CADIRES,6500,0,6500,792.28,,792.28,,78
0205,46179,"DIPUTACIÓ, SUBV CARTA SERVEIS (aj vic) 15/Y/205786",0,0,0,0,,0,,79
03,39900,LLOGUERS PLAÇA LLEVANT,6000,0,6000,1675,,1675,,80
02,33900,"QUIOSCOS, PARADES I CASETES",8500,0,8500,1011.75,,1011.75,,81
0205,46180,"DIPUTACIÓ, SUBV SERVEI MERCAT TREBALL 15/Y/207536",0,0,0,0,,0,,82
03,39901,"LLUM, GAS I ALTRES PISOS LLOGUER",3000,0,3000,563.16,,563.16,,83
0205,46181,"DIPUTACIÓ, SUBV XALOC 15/Y/202577",0,0,0,0,,0,,84
02,33901,MERCATS,80000,0,80000,19298.76,,19298.76,,85
03,46100,"DIPUTACIÓ, CONVENI SIDH-SAC",0,7000,7000,0,,0,,86
02,34900,LLOGUER LOCALS CIEM I ALTRES INGRESSOS,2500,0,2500,0,,0,,87
03,46125,"DIPUTACIÓ, SUBV ARRANJAMENTS VESTUARIS CAMP MPLAL ESPORTS",0,0,0,0,,0,,88
0304,76101,DIPU-SUBV.ROTONDA CRUÏLLA B-522/BV/BV-5224,0,0,0,0,,0,,89
02,34901,PREUS FIRES I FESTES,50000,0,50000,30502.86,,17491.41,,90
08,32600,"CEPS, GRUA I DIPÒSITS VEHICLES",5400,0,5400,3002.85,,3002.85,,91
0304,76102,DIPU - SUBV.ROTONDA PG. TER/CAN MOLAS,0,0,0,0,,0,,92
02,34902,AULA MENTOR,0,0,0,288,,288,,93
08,39120,MULTES INFRACCIONS ORDENANÇA CIRCULACIÓ,185000,0,185000,67879.8,,19868.26,,94
0304,76103,DIPU -  SUBV.L1 XRXA GOVERNS LOCALS,0,0,0,0,,0,,95
09,31100,TELEASSISTÈNCIA,18500,0,18500,10697,,10697,,96
02,34903,CURSOS OPE,0,0,0,390,,390,,97
0305,45080,"GENERALITAT, SUBV PUOSC 2012/700",0,0,0,0,,0,,98
09,31200,CENTRE OBERT TRIPIJOC,250,0,250,0,,0,,99
0305,46125,SUBV ARRANJAMENT VESTUARIS CAMP MPAL ESPORTS,0,0,0,0,,0,,100
09,32900,TAXA INSPECCIONS SANITÀRIES,1000,0,1000,710,,710,,101
0305,75080,"GENERALITAT, SUBV PUOSC 2012/700",0,0,0,0,,0,,102
09,34100,SERVEI TRANSPORT ADAPTAT,5000,0,5000,1580,,1580,,103
02,34904,PREU PUBLIC. CAMBRES MERCAT,0,0,0,1261.51,,1261.51,,104
0305,76100,DIPU - AJUT EXTRAORDINARI PLUGES SET/2014,0,0,0,0,,0,,105
09,39800,INDEMNITZACIONS ASSEGURANCES,0,0,0,0,,0,,106
02,34905,POP-UP EXPRES,0,2262,2262,8855.86,,1340,,107
0305,76103,"DIPUTACIÓ, SUBV SUBSTITUCIÓ PER LED",0,0,0,0,,0,,108
09,39901,APORTACIÓ SARRO,0,0,0,0,,0,,109
0905,39800,INDEMNITZACIONS ASSEGURANCES,0,0,0,0,,0,,110
02,34906,PREU PUBLIC WC PLAÇA,600,0,600,0,,0,,111
02,36000,CONSELL COMARCAL. CONVENI AUXILIAR MAGATZEM,0,13714.5,13714.5,0,,0,,112
09,39902,ALTRES INGRESSOS.BENESTAR SOCIAL,0,0,0,30,,30,,113
0905,46104,"DIPUTACIÓ, FONS DE PRESTACIÓ BENESTAR SOCIAL",0,0,0,0,,0,,114
02,45060,"GENERALITAT, SUBV PREVENCIÓ RESIDUS",0,12309.97,12309.97,0,,0,,115
09,45002,GENE - SUBV. PROJECTE IMMIGRACIÓ,36700,0,36700,0,,0,,116
0905,46124,"DIPUTACIÓ, SUBV COHESIÓ SOCIAL 2015",0,0,0,0,,0,,117
02,45080,GENE- SUBV.FSE PROM.ECON.,0,0,0,-125.59,,-125.59,,118
09,45030,GENE - SUBV. CENTRE OBERT TRIPIJOC,31000,0,31000,0,,0,,119
09,46100,DIPU - CONVENI SERVEIS SOCIALS,17400,0,17400,8700,,8700,,120
02,46500,CONSELL COMARCAL- SUBV. SEFED,3000,0,3000,0,,0,,121
0905,46164,"DIPUTACIÓ, SUBV COHESIÓ SOCIAL 2015",0,0,0,0,,0,,122
09,46102,DIPU - SUBV. XARXA SOCIAL SAD,22400,0,22400,11200,,11200,,123
02,47000,INFORM - SUBV. ESCOLA SEFED,115000,0,115000,0,,0,,124
1000,75100,"ACA, SUBV ESCALA PEIXOS",0,0,0,0,,0,,125
09,46103,DIPU - SUBV. SALUT PÚBLICA,10000,0,10000,8300,,8300,,126
02,55001,CANON MERCAT MUNICIPAL,0,5663.48,5663.48,14714.16,,14714.16,,127
1404,46167,DIPU - SUBV. SUPORT SERVEIS PUBLICS,0,0,0,0,,0,,128
02A4,45050,GENE-SUBV.SOC PANP 2014 (FSE),0,0,0,0,,0,,129
09,46105,"DIPUTACIÓ, SUBV PROGRAMA COMPLEMENTARI SS",0,47164.83,47164.83,0,,0,,130
1405,46107,"DIPUTACIÓ, C SERV AULES ALFABETITZACIÓ",0,0,0,0,,0,,131
09,46132,DIPU - SUBV. PLA IGUALTAT,2500,0,2500,0,,0,,132
1405,46109,"DIPUTACIÓ, C SERV PROG ESPORTIUS LOCALS",0,0,0,0,,0,,133
02A5,45050,GENERALITAT-SOC SUBV 2015/PANP/SPO/011,0,0,0,0,,0,,134
09,46149,DIPU - SUBV. CONSUM,5000,0,5000,0,,0,,135
1405,46112,"DIPUTACIÓ, C SERV CURTMETRATGES",0,0,0,0,,0,,136
02B4,45050,GENE-SUBV.INSERCIÓ RMI,0,0,0,0,,0,,137
09,46500,CONSELL COMARCAL - SUBV. TRANSPORT ADAPTAT,11000,0,11000,12655.7,,12655.7,,138
09E,45002,GENE - SUBV. DESENV. COMUNITARI PROGRAMA CTE.,32000,0,32000,0,,0,,139
02B5,45050,GENE. SUBV SOC BTB 35/15 E1-05 DINAMITZACIÓ,0,0,0,0,,0,,140
1405,46113,"DIPUTACIÓ, C SERV FESTA ESPORT",0,0,0,0,,0,,141
10,30300,TAXA DEIXALLERIA,14000,0,14000,3046.64,,1022.59,,142
02C1,45050,GENT SUBV EIXC2-ESTRATÈGIES INSERCIO,0,0,0,0,,0,,143
1405,46118,"DIPUTACIÓ, C SERV ACTIVITATS CULTURALS",0,0,0,0,,0,,144
10,33900,TAXA HORTS,4100,0,4100,160,,160,,145
02C5,45050,GENE SUBV SOC BTB 38/15 E1-04 FSE TREBALLADORA SOCIAL,0,0,0,0,,0,,146
1405,46177,"DIPUTACIÓ, SUBV ESPORTS RISC EXCLUSIÓ",0,0,0,0,,0,,147
10,34900,PREU PÚBLIC ENERGIA DEIXALLERIA,2200,0,2200,1016.68,,0,,148
02D3,45080,GENERALITAT.SOC SUBV INNOVADORS (fse),0,0,0,0,,0,,149
1504,39900,"ESTUDIS, TREBALLS I ALTRES",0,0,0,0,,0,,150
02D4,45050,GENE-SUBV.SOC AGENT OCUPACIÓ (FSE),0,0,0,0,,0,,151
10,39900,INGRESSOS SISTEMA INTEGRAT DE GESTIÓ,60000,0,60000,0,,0,,152
1505,46117,"DIPUTACIÓ, SUBV PROJ MAGNET",0,0,0,0,,0,,153
10,39901,VENDES MATERIAL DEIXALLERIA,30000,0,30000,7552.36,,5444.68,,154
02D5,45050,GENE SUBV PIFE-072-15 CATALUNYA EMPREN FSE,0,0,0,0,,0,,155
02E4,45050,GENE-SOC AODL OCUPACIÓ I COMPETITIVITAT (FSE),0,0,0,0,,0,,156
10,39902,INGRESSOS DEIXALLERIA AJUNTAMENTS,15000,0,15000,28923.45,,0,,157
02F5,45050,"GENERALITAT, SUBV PLANIFICACIÓ ESTRATEGICA PE-01/15",0,0,0,0,,0,,158
02E5,45050,GENE SUBV SOC BTB 38/15 DX-08 FSE ENGINYER FIBRA OPTICA,0,0,0,0,,0,,159
10,45080,GENE - SUBV. CANON DEPOSICIÓ RESIDUS,105000,0,105000,23695,,23695,,160
03P4,45080,GENE-PLA UNIC D'OBRES,0,0,0,0,,0,,161
02G3,45050,GENERALITAT.SOC SUBV PLANS 2013/PANP/SPO/0068-FSE,0,0,0,0,,0,,162
10,55003,CONCESSIÓ ENERGIA ELÈCTRICA,3700,0,3700,0,,0,,163
09A,45002,GENE - CONVENI SERVEIS SOCIALS,181231.12,0,181231.12,58753.18,,58753.18,,164
02G5,45050,GENE SUBV SOC BTB 38/15 DX-03 FSE MANT FIBRA ÓPTICA,0,0,0,0,,0,,165
11,34901,QUOTA USUARIS MANLLEU CONNECTA,44000,0,44000,0,,0,,166
09B,45002,GENE - SUBV. ATENCIÓ DOMICILIÀRIA,70000,0,70000,0,,0,,167
02H4,45050,GENE-SUBV TREBALL BARRIS (fse),0,0,0,0,,0,,168
11,46101,"DIPUTACIÓ, SUBV ADEQ SISTEMA NACIONAL SEGURETAT",0,7260,7260,0,,0,,169
12,31200,SERVEI ESCOLA BRESSOL,145000,0,145000,51564.5,,51564.5,,170
02H5,45050,GENE.SUBV SOC BTB 38/15 A1-01 ORIENTADOR,0,0,0,0,,0,,171
09C,45002,"GENERALITAT, SUBV CURSOS CONEIXEMENTS LABORALS",0,0,0,0,,0,,172
09I5,45002,GENERALITAT CONT PROGRAMA SIAD,0,0,0,0,,0,,173
02I5,45050,"GENERALITAT, SUBV INNOVACIÓ SOC B-065/15-01",0,0,0,0,,0,,174
14,31300,PISCINA MUNICIPAL,475000,0,475000,112688.23,,112688.23,,175
14,34401,FESTA MAJOR,2000,0,2000,0,,0,,176
02J3,45050,GENERALITAT.SOC SUBV FOAP 2013 (FSE),0,0,0,0,,0,,177
14A,45060,GENE - SUBV. DG. HABITATGE,45000,0,45000,0,,0,,178
14A,46100,DIPU - SUBV. JOVENT,3000,0,3000,0,,0,,179
02J4,45050,GENE-SOC SUBV.FORMACIÓ FOAP 2014 (FSE),0,0,0,0,,0,,180
14,34901,PREU PUBLIC PUBLICITAT MITJANS,12500,0,12500,1282.08,,502.38,,181
14A5,45080,"GENERALITAT, SUBV ACTIVITATS ESPORTIVES",0,0,0,0,,0,,182
02J5,45050,GENE SUBV MARMI/53/2015,0,0,0,0,,0,,183
14,39900,APORTACIONS CARAMELLES,0,322.26,322.26,322.26,,322.26,,184
14B,46100,DIPU - SUBV. ESPORTS,10000,0,10000,0,,0,,185
02K5,45050,GENE. SUBV SOC BTB 38/15 B1-01 NETEJA,0,0,0,0,,0,,186
14,46100,DIPU - SUBV. CULTURA,12000,0,12000,0,,0,,187
14C,45030,GENERALITAT. SUBV MENJADOR COLORS,0,0,0,0,,0,,188
02L5,45050,GENE SUBV SOC BTB 38/15 DX-04 FSE AUXILIAR LLAR,0,0,0,0,,0,,189
14,47001,APORTACIONS CURTMETRATGES,0,1890,1890,1890,,1890,,190
60A,39610,QUOTES URB SECTOR PIARA,0,0,0,0,,0,,191
14,55003,CONCESSIÓ BAR CAMP DE FUTBOL,0,7967.8,7967.8,2390.34,,2390.34,,192
60B,39610,QUOTES URB FONT TARRES,0,0,0,0,,0,,193
14E,45030,GENE - SUBV. ESCOLES BRESSOL,126875,0,126875,0,,0,,194
15,32900,"TAXA ENTRADES, TALLERS I ALTRES MUSEU",32000,0,32000,8893.9,,8893.9,,195
