Org_,Fun_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,F__Despesa_compromesa_respecte_e,Obligacions_reconegudes,F__Obligacions_reconegudes_respe,Pagaments_fets,F__Pagaments_fets_respecte_les_o,FID
09,327C,1210000,COMPLEMENT DESTINACIÓ DESENVOLUPAMENT COMUNITARI,0.01,0,0.01,0,,0,,0,,1071
10,1622B,1500100,PRODUCTIVITAT DEIXALLERIA,1400,0,1400,349.98,,349.98,,349.98,,1072
11,920,1210100,COMPLEMENT ESPECÍFIC ADM. GNAL.NOVES TECNOLOGIES,54759.23,0,54759.23,13877.94,,13877.94,,13877.94,,1073
14,330,1200600,CULTURA TRIENNIS ADM.GNAL.,6598.3,0,6598.3,1480.26,,1480.26,,1480.26,,1074
14,334,4890500,CULTURA CONVENI PENYA ANDALUSA,8700,0,8700,0,,0,,0,,1075
12,323R,2260600,REUNIONS I CONFERENCIES,220,0,220,0,,0,,0,,1076
14,326,4890100,EDUCACIÓ CONVENI CASALS GRÀCIA,1800,0,1800,1800,,900,,0,,1077
09,327C,1210100,COMPLEMENT ESPECIFIC DESENVOLUPAMENT COMUNITARI,0.01,0,0.01,0,,0,,0,,1078
14,323A,1300100,EDUCACIÓ HORES EXTRES PUIG AGUT,0.01,0,0.01,0,,0,,0,,1079
10,1622B,1510000,GRATIFICACIONS DEIXALLERIA,0.01,0,0.01,0,,0,,0,,1080
11,920,1500000,PRODUCTIVITAT ADM. GNAL.NOVES TECNOLOGIES,2800,0,2800,699.96,,699.96,,699.96,,1081
14,330,1210000,CULTURA COMPLEMENT DESTINACIÓ ADM.GNAL.,10426.08,0,10426.08,2256.51,,2256.51,,2256.51,,1082
14,334,4890600,CULTURA. CONVENI ASSOCIACIÓ TONIS MANLLEU,3000,0,3000,3000,,3000,,1500,,1083
12,323S,2269900,SORTIDES NENS I TEATRE,500,0,500,0,,0,,0,,1084
14,326,4890200,EDUCACIÓ CONVENI LA SALLE,1800,0,1800,1800,,900,,0,,1085
09,327C,1600000,SEGURETAT SOCIAL. DESENVOLUPAMENT COMUNITARI,0.01,0,0.01,0,,0,,0,,1086
14,323A,1300200,EDUCACIÓ ALTRES REMUNERACIONS PUIG AGUT,10568.88,0,10568.88,2417.16,,2417.16,,2417.16,,1087
10,1622B,1600000,SEGURETAT SOCIAL DEIXALLERIA,21023.73,0,21023.73,3445.48,,3445.48,,3445.48,,1088
11,920,1510000,GRATIFICACIONS ADM. GNAL.NOVES TECNOLOGIES,0.01,130.46,130.47,130.46,,130.46,,130.46,,1089
13,133A,2100600,SENYALITZACIÓ HORITZONTAL/PINTURA,12000,0,12000,0,,0,,0,,1090
14,334,4890700,CULTURA. CONVENI ASSOCIACIÓ PLAQUES CAVA,1100,0,1100,1100,,550,,0,,1091
09,327C,2269900,PLANS DESENVOLUPAMENT COMUNITARI,32000,0,32000,0,,0,,0,,1092
14,326,4890300,EDUCACIÓ CONVENI SECCIÓ INSTITUT DE MANLLEU,1800,0,1800,1800,,900,,0,,1093
14,330,1210100,CULTURA COMPLEMENT ESPECÍFIC ADM.GNAL.,15516.36,0,15516.36,3824.13,,3824.13,,3824.13,,1094
14,323A,1500100,EDUCACIÓ PRODUCTIVITAT PUIG AGUT,700,0,700,174.99,,174.99,,174.99,,1095
10,1622B,2130000,CONSERVACIÓ MAQUINÀRIA,906.95,0,906.95,0,,0,,0,,1096
13,133A,2100614,SENYALITZACIÓ HORTITZONTAL/PINTURA,0,0,0,0,,0,,0,,1097
14,334,4890800,CULTURA. CONVENI ASSOCIACIÓ SERPENCANTA,1500,0,1500,0,,0,,0,,1098
09,327I,1200100,BASIQUES A2 IMMIGRACIÓ,12906.53,0,12906.53,1614.28,,1614.28,,1614.28,,1099
11,920,1600000,SEGURETAT SOCIAL ADM. GNAL. NOVES TECNOLOGIES,35549.72,0,35549.72,6155.91,,6155.91,,6155.91,,1100
10,1622B,2140000,MANTENIMENT VEHICLES,4000,0,4000,0,,0,,0,,1101
14,330,1500000,CULTURA PRODUCTIVITAT ADM. GNAL.,1400,0,1400,349.98,,349.98,,349.98,,1102
14,323A,1600000,EDUCACIÓ SEGURETAT SOCIAL PUIG AGUT,5977.92,0,5977.92,1005.94,,1005.94,,1005.94,,1103
13,133V,2100600,REPOSICIÓ SENYALITZACIÓ VERTICAL,1500,0,1500,117.98,,117.98,,0,,1104
14,326,4890400,EDUCACIÓ CONVENI EL CARME,1800,0,1800,1800,,900,,0,,1105
14,334,4890900,CULTURA. CONVENI ASSOCIACIÓ OSONA PER LA PAU,400,0,400,400,,200,,0,,1106
10,1622B,2210300,COMBUSTIBLES I CARBURANTS,3000,0,3000,68,,68,,0,,1107
14,330,1500100,CULTURA  PRODUCTIVITAT ADM. GNAL.,0.01,0,0.01,0,,0,,0,,1108
09,327I,1200114,BASIQUES A2 IMMIGRACIO,0,0,0,0,,0,,0,,1109
11,920,2060000,LLOGUER EQUIPS INFORMÀTICS,5000.01,0,5000.01,0,,0,,0,,1110
13,171,1300000,BÀSIQUES PARCS I JARDINS,33514.32,0,33514.32,8454.76,,8454.76,,8454.76,,1111
14,323A,2211000,EDUCACIÓ PRODUCTES NETEJA PUIG AGUT,500,0,500,0,,0,,0,,1112
14,326,4890500,EDUCACIÓ CONVENI IES A POUS,1800,0,1800,1800,,900,,0,,1113
14,334,4891000,CULTURA. CONVENI BIG BANG,1500,0,1500,0,,0,,0,,1114
10,1622B,2211000,PRODUCTES NETEJA,200,0,200,39.24,,39.24,,0,,1115
14,330,1510000,CULTURA GRATIFICACIONS ADM. GNAL.,0.01,565.5,565.51,316.68,,316.68,,316.68,,1116
11,920,2130000,MANTENIMENT SAIS,9897.2,0,9897.2,254.1,,254.1,,254.1,,1117
09,327I,1200600,TRIENIS IMMIGRACIÓ,1282.62,0,1282.62,234.14,,234.14,,234.14,,1118
13,171,1300100,HORES EXTRES PARCS I JARDINS,0.01,0,0.01,0,,0,,0,,1119
14,323A,2269900,EDUCACIÓ DESPESES DIVERSES PUIG AGUT,300,0,300,0,,0,,0,,1120
14,326A,2269900,EDUCACIÓ ACTUACIONS,1700,0,1700,0,,0,,0,,1121
14,334,4891100,CULTURA.CONVENI NYERROS,1500,0,1500,0,,0,,0,,1122
10,1622B,2269900,DESPESES DIVERSES DEIXALLERIA,25000,0,25000,2474.57,,2474.57,,755.14,,1123
14,330,1600000,CULTURA SEGURETAT SOCIAL ADM. GNAL.,16007.51,0,16007.51,2254.7,,2254.7,,2254.7,,1124
14,334,4891200,CULTURA CONVENI COR D'HOMES,1500,0,1500,0,,0,,0,,1125
14,323A,2270000,EDUCACIÓ SERVEI NETEJA PUIG AGUT,98826.36,0,98826.36,16471.06,,16471.06,,8235.53,,1126
13,171,1300200,ALTRES REMUNERACIONS PARCS I JARDINS,66035.69,0,66035.69,14350.6,,14350.6,,14350.6,,1127
09,327I,1200614,TRIENIS IMMIGRACIO,0,0,0,0,,0,,0,,1128
11,920,2160000,CONSERVACIÓ EQUIPS INFORMÀTICS,18000,0,18000,3112.8,,3112.8,,18,,1129
14,326A,4890000,EDUCACIÓ CONVENI PUIG AGUT,1800,0,1800,1800,,900,,900,,1130
10,1622B,2279900,TREBALLS ALTRES EMPRESES,18000,0,18000,955.54,,955.54,,0,,1131
14,330,2260200,CULTURA PUBLICITAT I PROPAGANDA,1800,0,1800,0,,0,,0,,1132
14,323A,4890100,EDUCACIÓ CONVENI SUBV. PUIG AGUT,4300,0,4300,4300,,2150,,2150,,1133
14,334,4891400,CULTURA. CONVENI GRUP FOTOGRÀFIC MANLLEU,1500,0,1500,0,,0,,0,,1134
13,171,1500100,PRODUCTIVITAT PARCS I JARDINS,2800,0,2800,699.96,,699.96,,699.96,,1135
09,327I,1210000,COMPLEMENT DESTINACIÓ IMMIGRACIÓ,6155.81,0,6155.81,858.23,,858.23,,858.23,,1136
11,920,2160100,MANTENIMENT APLICACIONS INFORMÀTIQUES,44160.74,0,44160.74,27365,,27365,,6497.94,,1137
14,326B,2269900,"EDUCACIÓ, ACTIVITATS DIVERSES",0,322.26,322.26,0,,0,,0,,1138
10,1623A,2279900,CANON ABOCADOR ORIS,182000,0,182000,20956.35,,20956.35,,6760.88,,1139
14,330A,1200500,CULTURA BÀSIQUES AP CAN PUGET,0.01,0,0.01,0,,0,,0,,1140
14,323B,1300000,EDUCACIÓ BÀSIQUES POMPEU,7678.58,0,7678.58,1988.52,,1988.52,,1988.52,,1141
09,327I,1210014,COMPLEMENT DESTINACIÓ IMMIGRACIÓ,0,0,0,0,,0,,0,,1142
13,171,1600000,SEGURETAT SOCIAL PARCS I JARDINS,32356.48,0,32356.48,5448.78,,5448.78,,5448.78,,1143
14,334,4891600,CULTURA. CONVENI CORAL REGINA,1500,0,1500,1500,,750,,750,,1144
10,1623C,2279900,TRACTAMENT COMPOSTAGE FORM,128000,0,128000,16641.77,,16641.77,,5029.94,,1145
11,920,2160200,MANTENIMENT CENTRALETES,9922.38,0,9922.38,0,,0,,0,,1146
14,326B,4890000,EDUCACIÓ CONVENI POMPEU FABRA,1800,0,1800,1800,,900,,900,,1147
14,330A,1210000,CULTURA COMPLEMENT DESTINACIÓ CAN PUGET,0.01,0,0.01,0,,0,,0,,1148
14,323B,1300100,EDUCACIÓ HORES EXTRES POMPEU,0.01,0,0.01,0,,0,,0,,1149
13,171E,2100000,CONSERVACIÓ I MILLORA JARDINS,48000,0,48000,1198.64,,1198.64,,518.64,,1150
14,334,4891700,CULTURA. CONVENI ASSOCIACIÓ CULT. SERPENTS,1500,0,1500,0,,0,,0,,1151
09,327I,1210100,COMPLEMENT ESPECÍFIC IMMIGRACIÓ,7101.62,0,7101.62,3965.36,,3965.36,,3965.36,,1152
10,163,2270000,NETEJA VIÀRIA,646054.54,0,646054.54,646054.54,,53304.83,,0,,1153
11,920,2160300,MANTENIMENT CENTRE PROCESSAMENT DADES,44984.93,0,44984.93,6656.66,,6656.66,,2378.86,,1154
14,326C,2020000,EDUCACIÓ LLOGUER ESCOLA ADULTS,21958.67,0,21958.67,3099.46,,3099.46,,1549.73,,1155
14,330A,1210100,CULTURA COMPLEMENT ESPECÍFIC CAN PUGET,0.01,0,0.01,0,,0,,0,,1156
14,323B,1300200,EDUCACIÓ ALTRES REMUNERACIONS POMPEU,12638.41,0,12638.41,2684.07,,2684.07,,2684.07,,1157
13,171E,2279900,TREBALLS JARDINERIA TAC OSONA,44474.66,0,44474.66,3149.79,,3149.79,,0,,1158
14,334,4891800,CONVENI ROCK HOUSE,0.01,0,0.01,0,,0,,0,,1159
14,326C,2211000,EDUCACIÓ PRODUCTES NETEJA ESCOLA ADULTS,800,0,800,0,,0,,0,,1160
11,920,2220000,TELÈFON,90000,0,90000,10183.49,,10183.49,,7212.83,,1161
10,170,1200100,BÀSIQUES A2 ADM. GNAL. MEDI AMBIENT,12906.52,0,12906.52,2905.71,,2905.71,,2905.71,,1162
09,327I,1210113,COMPLEMENT ESPECIFIC EDUCADOR CARRER,0,0,0,0,,0,,0,,1163
14,330A,1300000,CULTURA BÀSIQUES CAN PUGET,7678.58,0,7678.58,1947.69,,1947.69,,1947.69,,1164
14,323B,1500100,EDUCACIÓ PRODUCTIVITAT POMPEU,700,0,700,174.99,,174.99,,174.99,,1165
13,454,2100300,CAMINS RURALS,3000,0,3000,116.26,,116.26,,0,,1166
14,326C,2260915,"EDUCACIÓ, ACTIVITATS EDUCATIVES ESCOLA ADULTS (db)",0,0,0,0,,0,,0,,1167
14,334,4899900,CULTURA TRANSF. QUOTA OMNIUM,500,0,500,0,,0,,0,,1168
11,920,2270600,ADEQUACIÓ SISTEMA NACIONAL SEGURETAT,0,7260,7260,0,,0,,0,,1169
09,327I,1210114,COMPLEMENT ESPECIFIC IMMIGRACIO,0,0,0,0,,0,,0,,1170
10,170,1200600,TRIENNIS ADM.GNAL. MEDI AMBIENT,1945.52,0,1945.52,526.8,,526.8,,526.8,,1171
14,330A,1300100,CULTURA HORES EXTRES CAN PUGET,0.01,0,0.01,0,,0,,0,,1172
14,323B,1510000,EDUCACIÓ GRATIFICACIONS POMPEU,0.01,0,0.01,0,,0,,0,,1173
13,1532,1200400,BÀSIQUES C2 VIES PÚBLIQUES,25135.74,0,25135.74,3631.5,,3631.5,,3631.5,,1174
14,326C,2269900,EDUCACIÓ DESPESES DIVERSES ESCOLA ADULTS,500,0,500,0,,0,,0,,1175
14,334,7800000,CULTURA CONVENI TEATRE CENTRE,0.01,0,0.01,0,,0,,0,,1176
11,920,4670000,APORTACIÓ LOCALRET,2500,0,2500,0,,0,,0,,1177
14,330A,1300200,CULTURA ALTRES REMUNERACIONS CAN PUGET,12174.22,0,12174.22,2610.3,,2610.3,,2610.3,,1178
10,170,1210000,COMPLEMENT DESTINACIÓ ADM.GNAL. MEDI AMBIENT,8160.88,0,8160.88,1766.25,,1766.25,,1766.25,,1179
09,327I,1300100,HORES EXTRES IMMIGRACIÓ,0.01,0,0.01,0,,0,,0,,1180
14,326C,4890100,EDUCACIÓ CONVENI ACTIVITATS ESCOLA ADULTS,11000,0,11000,11000,,5500,,0,,1181
13,1532,1200600,TRIENNIS VIES PÚBLIQUES,1751.82,0,1751.82,216.96,,216.96,,216.96,,1182
14,334A,2260900,CULTURA FESTA SANT JOAN,3000,0,3000,0,,0,,0,,1183
11,920P,6260015,EQUIPS TRACTAMENT INFORMACIO,0,0,0,0,,0,,0,,1184
14,330A,1310000,CULTURA LABORAL TEMPORAL CAN PUGET,0.01,0,0.01,0,,0,,0,,1185
14,326D,2269900,EDUCACIÓ ACTIVITAS DIDÀCTIQUES,4000,0,4000,1047.84,,1047.84,,518.93,,1186
10,170,1210100,COMPLEMENT ESPECÍFIC ADM.GNAL. MEDI AMBIENT,9999.24,0,9999.24,2524.83,,2524.83,,2524.83,,1187
13,1532,1210000,COMPLEMENT DESTINACIÓ VIES PÚBLIQUES,13752.76,0,13752.76,1916.22,,1916.22,,1916.22,,1188
14,334B,2260900,CULTURA FESTA MAJOR,74000,0,74000,0,,0,,0,,1189
14,330A,1500100,CULTURA PRODUCTIVITAT CAN PUGET,700,0,700,174.99,,174.99,,174.99,,1190
14,326D,4890000,EDUCACIÓ CONVENI 4 VENTS,1800,0,1800,1800,,900,,900,,1191
13,1532,1210100,COMPLEMENT ESPECÍFIC VIES PÚBLIQUES,27907.32,0,27907.32,7103.45,,7103.45,,7103.45,,1192
10,170,1300100,HORES EXTRES ADM.GNAL. MEDI AMBIENT,0.01,0,0.01,0,,0,,0,,1193
14,334C,2260900,CULTURA DIADA NACIONAL,1000,0,1000,0,,0,,0,,1194
14,330A,1600000,CULTURA SEGURETAT SOCIAL CAN PUGET,6484.41,0,6484.41,1089.04,,1089.04,,1089.04,,1195
13,1532,1300000,BÀSIQUES VIES PÚBLIQUES,41192.9,0,41192.9,6091.38,,6091.38,,6091.38,,1196
14,326E,4899000,EDUCACIÓ TRANSF. ESCOLA MÚSICA,93659.85,0,93659.85,93659.85,,93659.85,,12000,,1197
14,334D,2260900,CULTURA MOSTRA DE DANSA,870,0,870,0,,0,,0,,1198
13,1532,1300100,HORES EXTRES VIES PÚBLIQUES,0.01,0,0.01,0,,0,,0,,1199
14,330A,2150000,CULTURA CONSERVACIÓ MOBILIARI CAN PUGET,870,0,870,487.46,,487.46,,0,,1200
14,334E,2260900,CULTURA FESTA SANT JORDI,2000,0,2000,0,,0,,0,,1201
14,342BN,1300100,ESPORTS HORES EXTRES NETEJA PAVELLÓ,0.01,0,0.01,0,,0,,0,,1202
14,334F,2260900,JOVENT ALTRES DESPESES FESTA JOVE,8000,0,8000,0,,0,,0,,1203
14,341,6250013,MATERIAL ESPORTIU,0,0,0,0,,0,,0,,1204
14,334FC,2260900,CULTURA FESTIVAL CURTMETRATGES,15000,0,15000,228,,228,,228,,1205
14,342BN,1300200,ESPORTS ALTRES REMUNERACIONS NETEJA PAVELLÓ,10532.47,0,10532.47,3713.48,,3713.48,,3713.48,,1206
14,924,4890600,PARTICIPACIÓ. CONVENI VEINS DEL PUIG,1000,0,1000,0,,0,,0,,1207
14,334FP,2260900,CULTURA. CURTMETRATGES,0,1890,1890,0,,0,,0,,1208
14,341A,1300000,ESPORTS BÀSIQUES PISCINA,41892.9,0,41892.9,10008.85,,10008.85,,10008.85,,1209
14,924,4890700,PARTICIPACIÓ.CONVENI VEÏNS I VEÏNES DSLT VIULA,1000,0,1000,0,,0,,0,,1210
14,342BN,1500100,ESPORTS PRODUCTIVITAT NETEJA PAVELLÓ,700,0,700,0,,0,,0,,1211
14,334G,2260900,CULTURA. ACTIVITATS TEATRALS,1800,0,1800,0,,0,,0,,1212
14,341A,1300100,ESPORTS HORES EXTRES PISCINA,0.01,0,0.01,0,,0,,0,,1213
14,924,4890800,PARTICIPACIÓ. CONVENI VEINS ERM,2000,0,2000,2000,,1000,,1000,,1214
14,342BN,1600000,ESPORTS SEGURETAT SOCIAL NETEJA PAVELLÓ,6335.2,0,6335.2,1038.2,,1038.2,,1038.2,,1215
14,334G,2260913,CULTURA DESPESES ACTIVITATS CULTURALS,0,0,0,0,,0,,0,,1216
14,341A,1300200,ESPORTS ALTRES REMUNERACIONS PISCINA,72337.09,0,72337.09,16580.8,,16580.8,,16580.8,,1217
14,341A,1310000,ESPORTS LABORAL TEMPORAL PISCINA,0.01,0,0.01,0,,0,,0,,1218
14,924,4890900,PARTICIPACIÓ. CONVENI VEINS LA COROMINA,500,0,500,0,,0,,0,,1219
14,342E,6250014,ESPORTS MATERIAL ESPORTIU,0,0,0,0,,0,,0,,1220
14,341A,1500100,ESPORTS PRODUCTIVITAT PISCINA,3500,0,3500,768.78,,768.78,,768.78,,1221
14,334GG,2260915,CULTURA.ACTIVITATS CULTURALS (db),0,0,0,0,,0,,0,,1222
14,924,4891000,PARTICIPACIÓ. CONVENI VEINS BAIX VILA,500,0,500,0,,0,,0,,1223
14,334H,2260913,CULTURA FESTIVAL CURTMETRATGES,0,0,0,0,,0,,0,,1224
14,341A,1600000,ESPORTS SEGURETAT SOCIAL PISCINA,37291.65,0,37291.65,3815.92,,3815.92,,3815.92,,1225
14,342F,1300000,ESPORTS BÀSIQUES CAMP DE FUTBOL,0.01,0,0.01,0,,0,,0,,1226
14,924B,2269900,PARTICIPACIÓ ACTIVITATS CIUTADANIA,600,0,600,0,,0,,0,,1227
14,334H,2260914,CULTURA FESTIVAL CURTMETRATGES,0,0,0,0,,0,,0,,1228
14,342F,1300100,ESPORTS HORES EXTRES CAMP DE FUTBOL,0.01,0,0.01,0,,0,,0,,1229
14,341AE,2260900,ESPORTS ACTIVITATS ESPORTIVES,2700,0,2700,0,,0,,0,,1230
14,924P,2269914,PARTICIPACIÓ ACTIVITATS (db),0,0,0,0,,0,,0,,1231
14,342F,1300200,ESPORTS ALTRES REMUNERACIONS CAMP DE FUTBOL,0.01,0,0.01,0,,0,,0,,1232
14,334H,2260915,CULTURA.FESTIVAL CURTMETRATGES (db),0,0,0,0,,0,,0,,1233
14,341AS,1200400,ESPORTS BÀSIQUES C2 SOCORRISTES,5088.18,0,5088.18,0,,0,,0,,1234
14,924T,2269900,PARTICIPACIÓ TEMPS PER TEMPS,6000,0,6000,1950.9,,1950.9,,1950.9,,1235
