Org_,Fun_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,F__Despesa_compromesa_respecte_e,Obligacions_reconegudes,F__Obligacions_reconegudes_respe,Pagaments_fets,F__Pagaments_fets_respecte_les_o,FID,Desc_Org
01,011,9130100,AMORTITZACIÓ CONVENI PLAÇA,0,50254.29,50254.29,50254.29,,50254.29,,50254.29,,12,Alcaldia
02,241S,1500100,SEFED PRODUCTIVITAT,2205,0,2205,0,,0,,0,,13,Promoció Econòmica
02,241S,1600000,SEFED SEGURETAT SOCIAL,25881.63,0,25881.63,0,,0,,0,,14,Promoció Econòmica
02,241MB,1430015,OPE PERSONAL OCUPACIÓ FSE,0,6590.72,6590.72,0,,0,,0,,15,Promoció Econòmica
01,312,4890100,CONVENI SUBV. HOSPITAL SANT JAUME,40000,0,40000,0,,0,,0,,16,Alcaldia
02,241S,2060000,SEFED LLOGUER FOTOCOPIADORA,2047.32,0,2047.32,0,,0,,0,,17,Promoció Econòmica
02,241F,1210113,OPE COMPLEMENT ESPECIFIC FEINATECA,0,1850.11,1850.11,0,,0,,0,,18,Promoció Econòmica
01,327,2269912,DESPESES PGDM,0,3339.99,3339.99,0,,0,,0,,19,Alcaldia
02,241MB,1600015,OPE SEGURETAT SOCIAL OCUPACIÓ FSE,0,3246.17,3246.17,0,,0,,0,,20,Promoció Econòmica
02,241S,2160000,SEFED MANTENIMENT INFORMÀTIC,1500,0,1500,0,,0,,0,,21,Promoció Econòmica
02,241F,1430015,OPE PERSONAL FEINATECA,0,26724.91,26724.91,13362.49,,13362.49,,13362.49,,22,Promoció Econòmica
01,327A,2269909,DESPESES PGDM,0,771.05,771.05,0,,0,,0,,23,Alcaldia
02,241S,2200000,SEFED MATERIAL OFICINA,2500,0,2500,0,,0,,0,,24,Promoció Econòmica
02,241N,1200414,OPE BASIQUES C2 DISPOSITIU INSERCIO ADM (tb) FSE,0,211.46,211.46,0,,0,,0,,25,Promoció Econòmica
02,241F,1500014,OPE PRODUCTIVITAT FEINATECA,0,362.15,362.15,0,,0,,0,,26,Promoció Econòmica
02,241N,1200415,BTB 38/15 A1-01 FSE PERSONAL SUPORT BASIQUES C2,0,8378.58,8378.58,4159.29,,4159.29,,4159.29,,27,Promoció Econòmica
01,327A,2269912,DESPESES ACOLLIMENT LINGUISTIC,0,97.93,97.93,0,,0,,0,,28,Alcaldia
02,241S,2240000,SEFED ASSEGURANCES ALUMNES,300,0,300,0,,0,,0,,29,Promoció Econòmica
02,241F,1500100,OPE PRODUCTIVITAT FEINATECA,0,700.01,700.01,0,,0,,0,,30,Promoció Econòmica
01,327P,2269910,DESPESES PGDM,0,681,681,0,,0,,0,,31,Alcaldia
02,241S,2260200,SEFED PUBLICITAT I PROPAGANDA,1000,0,1000,0,,0,,0,,32,Promoció Econòmica
02,241N,1200615,BTB 38/15 A1-01 FSE PERSONAL SUPORT TRIENNIS,0,7001.4,7001.4,250.38,,250.38,,250.38,,33,Promoció Econòmica
01,3322A,2219900,SUBMINISTRAMENTS DIVERSOS,200,0,200,0,,0,,0,,34,Alcaldia
02,241S,2260615,OPE CURS FORMACIÓ CONTÍNUA SECTORIAL PS20150045,0,17842.13,17842.13,7290.31,,7290.31,,896.31,,35,Promoció Econòmica
02,241F,1600015,OPE SEGURETAT SOCIAL FEINATECA,0,8431.71,8431.71,2810.56,,2810.56,,2810.56,,36,Promoció Econòmica
02,241N,1210015,BTB 38/15 A1-01 FSE PERSONAL SUPORT DESTI,0,3012.66,3012.66,1506.33,,1506.33,,1506.33,,37,Promoció Econòmica
01,3322A,2269900,DESPESES DESTRUCCIÓ PAPER,0.01,0,0.01,0,,0,,0,,38,Alcaldia
02,241S,2269900,SEFED MATERIAL DIDÀCTIC,2000,0,2000,0,,0,,0,,39,Promoció Econòmica
02,241F,2260600,OPE. ACCIONS FORMATIVES,0,0,0,0,,0,,0,,40,Promoció Econòmica
02,241N,1210114,OPE ESPECIFIC DISPOSITIU INSERCIO ADM (tb) FSE,0,511.23,511.23,0,,0,,0,,41,Promoció Econòmica
01,3322T,2269900,DESPESES ARXIU,800,0,800,0,,0,,0,,42,Alcaldia
02,241SD,2269900,SEFED DESPESES DIVERSES,1000,0,1000,0,,0,,0,,43,Promoció Econòmica
02,241F,2260614,OPE FORMACIO FOAP 2014 (fse),0,3784.82,3784.82,0,,0,,0,,44,Promoció Econòmica
02,241N,1210115,BTB 38/15 A1-01 FSE PERSONAL SUPORT ESPECIFIC,0,500.52,500.52,3150.72,,3150.72,,3150.72,,45,Promoció Econòmica
01,920,1620000,FORMACIÓ PERSONAL,7500,0,7500,2040.2,,1880.2,,1880.2,,46,Alcaldia
01,491,1300000,BÀSIQUES COMUNICACIÓ,12906.52,1032.64,13939.16,6946.8,,6946.8,,6946.8,,47,Alcaldia
02,241SF,2160000,SEFED MANTENIMENT FOTOCOPIADORA,1500,0,1500,0,,0,,0,,48,Promoció Econòmica
02,241F,2269910,OPE DESPESES PROG.FORMACIO DONES,0,0,0,0,,0,,0,,49,Promoció Econòmica
01,920,1620400,FONS SOCIAL,22000,3000,25000,12549.25,,12549.25,,12549.25,,50,Alcaldia
02,241N,1600014,OPE SEGURETAT SOCIAL DISPOSITIU INSERCIO ADM (tb) FSE,0,443.93,443.93,0,,0,,0,,51,Promoció Econòmica
01,920,2050000,LLOGUER CAIXA SEGURETAT,100,0,100,0,,0,,0,,52,Alcaldia
01,491,1300200,ALTRES REMUNERACIONS COMUNICACIÓ,16431.32,2164.49,18595.81,9388,,9388,,9388,,53,Alcaldia
02,241SO,1430015,OPE AODL SOSTENIBILITAT (fse),0,21918.66,21918.66,12703.03,,12703.03,,12703.03,,54,Promoció Econòmica
02,241F,2269913,OPE DESPESES FEINATECA,0,351.62,351.62,0,,0,,0,,55,Promoció Econòmica
01,920,2060000,LLOGUER FOTOCOPIADORA,7383.05,0,7383.05,2964.15,,2964.15,,2964.15,,56,Alcaldia
02,241N,1600015,BTB 38/15 A1-01 FSE PERSONAL SUPORT SEGURETAT SOCIAL,0,5800.2,5800.2,1953.18,,1953.18,,1953.18,,57,Promoció Econòmica
01,920,2150000,MANTENIMENT MOBILIARI,0.01,0,0.01,0,,0,,0,,58,Alcaldia
01,491,1310000,LABORAL TEMPORAL COMUNICACIÓ,0.01,0,0.01,0,,0,,0,,59,Alcaldia
02,241SO,1600015,OPE AODL SEGURETAT SOCIAL SOSTENIBILITAT (fse),0,7162.67,7162.67,2671.88,,2671.88,,2671.88,,60,Promoció Econòmica
02,241F,2269914,OPE DESPESES FEINATECA,0,886.15,886.15,0,,0,,0,,61,Promoció Econòmica
02,241N,2269913,OPE DESPESES FORMACIO NETEJA (TB),0,644.53,644.53,0,,0,,0,,62,Promoció Econòmica
01,491,1500100,PRODUCTIVITAT COMUNICACIÓ,700,-699.99,0.01,0,,0,,0,,63,Alcaldia
02,241T,1430015,BTB 38/15 B2-01 FSE PERSONAL EDIFICIS I FIBRA OPTICA,0,0.02,0.02,0,,0,,0,,64,Promoció Econòmica
01,920,2160000,MANTENIMENT FOTOCOPIADORA,28428,0,28428,2476.84,,2476.84,,2476.84,,65,Alcaldia
02,241FO,2260615,OPE CURS 15/FOAP/269/0126443 FSE,0,32424,32424,17917.68,,17917.68,,17848.68,,66,Promoció Econòmica
01,920PE,1500000,PRODUCTIVITAT PREMI EXCELENCIA,0,0,0,0,,0,,0,,67,Alcaldia
02,241P,1430014,OPE PERSONAL PIRMI (fse),0,4601.59,4601.59,0,,0,,0,,68,Promoció Econòmica
01,491,1600000,SEGURETAT SOCIAL COMUNICACIÓ,9476.94,687.08,10164.02,3408.08,,3408.08,,3408.08,,69,Alcaldia
02,241T,1600015,BTB 38/15 B2-01 S SOCIAL EDIFICI FIBRA OPTICA,0,0,0,0,,0,,0,,70,Promoció Econòmica
02,241G,1430013,OPE PERSONAL PLANS 2013/PANP/SPO/0068-FSE,0,504,504,0,,0,,0,,71,Promoció Econòmica
01,920R,2269900,DESPESES RESPONSABILITAT PATRIMONIAL,4000,0,4000,163.46,,163.46,,0,,72,Alcaldia
01,920,2200000,MATERIAL OFICINA,11000,0,11000,1955.81,,1955.81,,1955.81,,73,Alcaldia
02,241P,1430015,BTB 38/15 DX-10 FSE PERSONAL SOCIOEDUCATIU,0,10399.47,10399.47,5160.76,,5160.76,,5160.76,,74,Promoció Econòmica
02,241T,2260615,OPE CURS FORMACIÓ CONTINUA TRANSVERSAL PT20150072,0,15000.78,15000.78,896.61,,896.61,,616.01,,75,Promoció Econòmica
01,912,1200300,BÀSIQUES C1 GABINET ALCALDIA,9884.84,98.85,9983.69,4991.91,,4991.91,,4991.91,,76,Alcaldia
02,241G,1430015,BTB 38/15 DX-03 FSE PERSONAL MANT FIBRA OPTICA,0,57692.45,57692.45,1166.76,,1166.76,,1166.76,,77,Promoció Econòmica
01,920S,1310000,PAGA EXTRA NADAL 2012,81221.31,-81221.31,0,0,,0,,0,,78,Alcaldia
01,912,1200600,TRIENNIS GABINET ALCALDIA,3168.12,31.68,3199.8,1600.21,,1600.21,,1600.21,,79,Alcaldia
02,241G,1600013,OPE SEGURETAT SOCIAL PLANS 2013/PANP/SPO/0068-FSE,0,507.15,507.15,0,,0,,0,,80,Promoció Econòmica
02,241P,1600014,OPE ASSEGURANCES SOCIALS PIRMI (fse),0,2508.37,2508.37,0,,0,,0,,81,Promoció Econòmica
02,241T,2269915,BTB 38/15 B2-01 FSE MANT EDIFICIS I FIBRA OPTICA,0,24099.98,24099.98,14081.3,,14081.3,,11706.87,,82,Promoció Econòmica
01,924,2260200,INFORMACIÓ MUNICIPAL,18000,1592.11,19592.11,10782.13,,10782.13,,10782.13,,83,Alcaldia
01,920,2200100,PUBLICACIONS I SUBSCRIPCIONS,5400,0,5400,784.95,,784.95,,784.95,,84,Alcaldia
01,912,1210000,COMPLEMENT DESTINACIÓ GABINET ALCALDIA,7137.76,71.38,7209.14,3974.38,,3974.38,,3974.38,,85,Alcaldia
02,241G,1600015,BTB 38/15 DX-03 FSE SEGURETAT SOCIAL MANT FIBRA OPTICA,0,21807.67,21807.67,0,,0,,0,,86,Promoció Econòmica
02,241TA,1430015,PERSONAL MILLORA M AMBIENT 2015/PRMI/SPO/0042/EX04 FSE,0,5648.41,5648.41,5864.99,,5864.99,,5864.99,,87,Promoció Econòmica
01,925,1200400,BÀSIQUES C2 ATENCIÓ CIUTADANA,29325.03,3114.04,32439.07,16078.68,,16078.68,,16078.68,,88,Alcaldia
02,241P,1600015,BTB 38/15 DX-10 FSE SEGURETAT SOCIAL SOCIOEDUCATIU,0,3405.81,3405.81,604.26,,604.26,,604.26,,89,Promoció Econòmica
01,912,1210100,COMPLEMENT ESPECÍFIC GABINET ALCALDIA,13476.48,134.76,13611.24,6805.62,,6805.62,,6805.62,,90,Alcaldia
01,920,2200200,MATERIAL INFORMÀTIC NO INVENTARIABLE,3658.58,0,3658.58,168.35,,168.35,,168.35,,91,Alcaldia
01,9231,1210100,COMPLEMENT ESPECÍFIC PADRO,7083,811.36,7894.36,3947.22,,3947.22,,3947.22,,92,Alcaldia
02,241G,2269913,OPE FORMACIO PLANS 2013/PANP/SPO/0068-FSE,0,342.25,342.25,0,,0,,0,,93,Promoció Econòmica
02,430,1300200,OPE ALTRES REMUNERACIONS ADMINISTRACIÓ OPE,31295.06,-2031.64,29263.42,14631.72,,14631.72,,14631.72,,94,Promoció Econòmica
02,241TA,1600015,SEG SOCIAL MILLORA M AMBIENTAL 2015/PRMI/SPO/0042/EX04 FSE,0,1948.62,1948.62,1299.08,,1299.08,,1299.08,,95,Promoció Econòmica
01,925,1200600,TRIENNIS ATENCIÓ CIUTADANA,5302.14,600.71,5902.85,2931.47,,2931.47,,2931.47,,96,Alcaldia
01,912,1500000,PRODUCTIVITAT GABINET ALCALDIA,700,0,700,534.88,,534.88,,534.88,,97,Alcaldia
02,241P,2269900,OPE. PROJ TU POTS FER-HO,0,0,0,0,,0,,0,,98,Promoció Econòmica
02,241H,1200114,OPE BASIQUES A2 DISPOSITIU INSERCIO (tb) FSE,0,841.01,841.01,0,,0,,0,,99,Promoció Econòmica
02,430,1310000,OPE LABORAL TEMPORAL ADMINISTRACIÓ OPE,0.01,0,0.01,0,,0,,0,,100,Promoció Econòmica
02,241TC,1430015,PERSONAL INFORMADOR CANAL 2015/PRMI/SPO/0042/EX07 FSE,0,5648.41,5648.41,5864.99,,5864.99,,5864.99,,101,Promoció Econòmica
01,925,1210000,COMPLEMENT DESTINACIÓ ATENCIÓ CIUTADANA,18715.55,567.09,19282.64,10133.02,,10133.02,,10133.02,,102,Alcaldia
01,920,2210300,COMBUSTIBLES I CARBURANTS,1900,0,1900,498.1,,498.1,,498.1,,103,Alcaldia
01,9231,1500000,PRODUCTIVITAT PADRO,700,0,700,481.66,,481.66,,481.66,,104,Alcaldia
01,912,1510000,GRATIFICACIONS GABINET ALCALDIA,0.01,0,0.01,0,,0,,0,,105,Alcaldia
01,9231,1510000,GRATIFICACIONS PADRO,0.01,202.95,202.96,202.95,,202.95,,202.95,,106,Alcaldia
01,925,1210100,COMPLEMENT ESPECÍFIC ATENCIÓ CIUTADANA,29115,2015.97,31130.97,15443.34,,15443.34,,15443.34,,107,Alcaldia
01,920,2210400,VESTUARI PERSONAL NETEJA,700,0,700,0,,0,,0,,108,Alcaldia
02,241H,1200115,BTB 38/15 A1-01 FSE ORIENTADOR BASIQUES A2,0,32320.08,32320.08,15878.34,,15878.34,,15878.34,,109,Promoció Econòmica
02,241TC,1600015,SEG SOCIAL INFORMADOR CANAL 2015/PRMI/SPO/0042/EX07 FSE,0,1909.98,1909.98,1273.28,,1273.28,,1273.28,,110,Promoció Econòmica
02,241P,2269911,OPE DESPESES FORM TRANSVERSAL PACTES,0,1196.34,1196.34,0,,0,,0,,111,Promoció Econòmica
02,430,1500100,OPE PRODUCTIVITAT ADMINISTRACIÓ OPE,1400,0,1400,699.96,,699.96,,699.96,,112,Promoció Econòmica
01,912,1600000,SEGURETAT SOCIAL GABINET ALCALDIA,10557.7,-1128.6,9429.1,2767.84,,2767.84,,2767.84,,113,Alcaldia
01,9231,1600000,SEGURETAT SOCIAL PADRO,5559.52,464,6023.52,2059.65,,2059.65,,2059.65,,114,Alcaldia
01,925,1500000,PRODUCTIVITAT ATENCIÓ CIUTADANA,2450,350,2800,1643.12,,1643.12,,1643.12,,115,Alcaldia
02,241TE,1430015,PERSONAL MANT EDIFICIS 2015/PRMI/SPO/0042/EX02 FSE,0,10693.6,10693.6,12204.7,,12204.7,,12204.7,,116,Promoció Econòmica
01,920,2210600,PRODUCTES FARMACÈUTICS,150,0,150,0,,0,,0,,117,Alcaldia
02,241H,1200614,OPE TRIENIS DISPOSITIU INSERCIO (tb) FSE,0,137.98,137.98,0,,0,,0,,118,Promoció Econòmica
02,241PA,1430014,OPE PERSONAL TREBALL I FORMACIO PANP 14 (fse),0,0.01,0.01,0,,0,,0,,119,Promoció Econòmica
02,430,1600000,OPE SEGURETAT SOCIAL ADMINISTRACIÓ OPE,16679.87,526.58,17206.45,5726.86,,5726.86,,5726.86,,120,Promoció Econòmica
01,912,1620000,FORMACIÓ REGIDORS,500,0,500,95,,20,,20,,121,Alcaldia
02,170,2269900,ACTIVITATS PREVENCIÓ RESIDUS,0,12309.97,12309.97,1014.56,,1014.56,,1014.56,,122,Promoció Econòmica
01,925,1510000,GRATIFICACIONS ATENCIÓ CIUTADANA,0.01,0,0.01,0,,0,,0,,123,Alcaldia
02,241TE,1600015,SEG SOCIAL MANT EDIFICIS 2015/PRMI/SPO/0042/EX02 FSE,0,4498.2,4498.2,3171.76,,3171.76,,3171.76,,124,Promoció Econòmica
02,241PA,1430015,OPE PERSONAL 2015/PANP/SPO/0011 (fse),0,41437.71,41437.71,42752.44,,42752.44,,42752.44,,125,Promoció Econòmica
02,430,2060000,OPE LLOGUER FOTOCOPIADORA OPE,2551.32,0,2551.32,1063.05,,1063.05,,1063.05,,126,Promoció Econòmica
01,912,2260100,ATENCIONS PROTOCOLÀRIES,5500,0,5500,974.74,,974.74,,974.74,,127,Alcaldia
02,241H,1200615,BTB 38/15 A1-01 FSE ORIENTADOR TRIENNIS,0,467.94,467.94,460.76,,460.76,,460.76,,128,Promoció Econòmica
01,920,2211000,PRODUCTES NETEJA,4000,-473.11,3526.89,500.17,,500.17,,500.17,,129,Alcaldia
02,241TG,1430015,PERSONAL DINAMITZ GENT GRAN 2015/PRMI/SPO/0042/EX06 FSE,0,5648.41,5648.41,4777.72,,4777.72,,4777.72,,130,Promoció Econòmica
01,925,1600000,SEGURETAT SOCIAL ATENCIÓ CIUTADANA,23217.9,953.48,24171.38,7870.09,,7870.09,,7870.09,,131,Alcaldia
02,430,2160200,OPE MANTENIMENT FOTOCOPIADORA OPE,2000,0,2000,681.93,,681.93,,681.93,,132,Promoció Econòmica
02,241PA,1600014,OPE SEGURETAT SOCIAL TREBALL I FORMACIO PANP 14 (fse),0,866.96,866.96,0,,0,,0,,133,Promoció Econòmica
01,912,2269900,DESPESES ELECCIONS,3200,0,3200,0,,0,,0,,134,Alcaldia
02,241H,1210014,OPE DESTI DISPOSITIU INSERCIO (tb) FSE,0,398.47,398.47,0,,0,,0,,135,Promoció Econòmica
02,241,1300000,OPE.BÀSIQUES FOMENT DE L'OCUPACIÓ,12906.52,2970.78,15877.3,7935.74,,7935.74,,7935.74,,136,Promoció Econòmica
02,241TG,1600015,SEG SOCIAL DINAMITZ GENT GRAN 2015/PRMI/SPO/0042/EX06 FSE,0,1948.62,1948.62,937.46,,937.46,,937.46,,137,Promoció Econòmica
02,241PA,1600015,OPE SEGURETAT SOCIAL 2015/PANP/SPO/0011 (fse),0,13966.62,13966.62,12316.81,,12316.81,,12316.81,,138,Promoció Econòmica
02,241H,1210015,BTB 38/15 A1-01 FSE ORIENTADOR DESTI,0,13840.68,13840.68,6764.96,,6764.96,,6764.96,,139,Promoció Econòmica
01,912,2300000,DIETES CÀRRECS ELECTES,47196,0,47196,38251.33,,38251.33,,32311.33,,140,Alcaldia
02,430,2200000,OPE MATERIAL OFICINA,4000,0,4000,734.45,,734.45,,734.45,,141,Promoció Econòmica
01,925,2269900,DIETES I VIATGES DEFENSOR CIUTADÀ,500,0,500,0,,0,,0,,142,Alcaldia
01,920,2219900,MATERIAL PREVENCIÓ RISCOS,1800,-249,1551,0,,0,,0,,143,Alcaldia
02,241TL,1430015,PERSONAL INFORMADOR CANAL 2015/PRMI/SPO/0042/EX07 FSE,0,5648.41,5648.41,5864.99,,5864.99,,5864.99,,144,Promoció Econòmica
02,241PA,2260615,FORMACIO 2015/PANP/SPO/0011/AF01,0,7020,7020,5111.1,,3315.6,,3315.6,,145,Promoció Econòmica
01,912,2310000,VIATGES CÀRRECS ELECTES,2000,0,2000,1958.72,,1958.72,,1958.72,,146,Alcaldia
02,241H,1210114,OPE ESPECIFIC DESPOSITIU INSERCIO (tb) FSE,0,52.72,52.72,0,,0,,0,,147,Promoció Econòmica
02,241,1300100,OPE.HORES EXTRES FOMENT OCUPACIÓ,0.01,0,0.01,0,,0,,0,,148,Promoció Econòmica
02,430,2211000,OPE PRODUCTES NETEJA,650,0,650,76.51,,76.51,,76.51,,149,Promoció Econòmica
01,925S,2269900,DESPESES DIVERSES DEFENSOR CIUTADÀ,1500,0,1500,982,,982,,982,,150,Alcaldia
01,920,2220100,COMUNICACIONS POSTALS,15000,0,15000,7357.98,,7357.98,,7295.79,,151,Alcaldia
02,241TL,1600015,SEG SOCIAL AUX LLAR 2015/PRMI/SPO/0042/EX05 FSE,0,2064.66,2064.66,1376.44,,1376.44,,1376.44,,152,Promoció Econòmica
01,912,4660100,QUOTES ASSOCIACIONS MPLS.,9600,0,9600,5580,,5580,,5580,,153,Alcaldia
02,241PI,2269911,OPE DESPESES PROGRAMES INSERCIO (IPI),0,863.41,863.41,863.41,,863.41,,863.41,,154,Promoció Econòmica
02,430,2219900,OPE SUBMINISTRAMENTS DIVERSOS OPE,0.01,0,0.01,0,,0,,0,,155,Promoció Econòmica
02,241,1300200,OPE.ALTRES REMUNERACIONS FOMENT DE L'OCUPACIÓ,18667.72,-1018.88,17648.84,8824.45,,8824.45,,8824.45,,156,Promoció Econòmica
02,241H,1210115,BTB 38/15 A1-01 FSE ORIENTADOR ESPECIFIC,0,18160.21,18160.21,8715.6,,8715.6,,8715.6,,157,Promoció Econòmica
01,929,2211000,PRODUCTES DE NETEJA WC PLAÇA,200,0,200,43.3,,43.3,,28.86,,158,Alcaldia
01,920,2240000,ASSEGURANCES,49500,0,49500,38846.24,,38846.24,,38846.24,,159,Alcaldia
01,912,4890000,SUBVENCIONS,3000,0,3000,1870,,1870,,1870,,160,Alcaldia
02,241TN,1430015,PERSONAL NETEJADORS 2015/PRMI/SPO/0042/EX03 FSE,0,22593.64,22593.64,23459.96,,23459.96,,23459.96,,161,Promoció Econòmica
02,430,2260200,OPE PUBLICITAT I PROPAGANDA,4500,0,4500,326.7,,326.7,,326.7,,162,Promoció Econòmica
02,241PI,2269914,OPE DESPESES PRIMI (fse),0,1530,1530,0,,0,,0,,163,Promoció Econòmica
02,241,1310000,OPE.LABORAL TEMPORAL FOMENT DE L'OCUPACIÓ,50005.5,770.72,50776.22,25329.4,,25329.4,,25329.4,,164,Promoció Econòmica
01,929J,2150000,MANTENIMENT MOBILIARI I EQUIPS OFICINA,0.01,0,0.01,0,,0,,0,,165,Alcaldia
02,241H,1600015,BTB 38/15 A1-01 FSE ORIENTADOR SEGURETAT SOCIAL,0,20013.63,20013.63,6811.31,,6811.31,,6811.31,,166,Promoció Econòmica
01,912,4892900,TRANSF. APORTACIÓ GRUPS MPLS.,9576,0,9576,9576,,9576,,8000,,167,Alcaldia
01,920,2260300,ANUNCIS OFICIALS,12500,0,12500,5220.87,,5220.87,,4800.87,,168,Alcaldia
02,241TN,1600015,SEG SOCIAL NETEJADORS 2015/PRMI/SPO/0042/EX03 FSE,0,8258.64,8258.64,5505.76,,5505.76,,5505.76,,169,Promoció Econòmica
02,430,6230000,OPE MAQUINARIA,0,0.01,0.01,0,,0,,0,,170,Promoció Econòmica
02,241PL,1200300,OPE BASIQUES C1 PC OCUPACIO A1 (d),0,2495.92,2495.92,24.24,,24.24,,24.24,,171,Promoció Econòmica
02,241,1500100,OPE.PRODUCTIVITAT FOMENT DE L'OCUPACIÓ,2100,0,2100,1049.94,,1049.94,,1049.94,,172,Promoció Econòmica
01,929J,2200000,MATERIAL OFICINA JUTJAT,0.01,0,0.01,0,,0,,0,,173,Alcaldia
02,241H,2269914,OPE DESPESES DISPOSITIU INSERCIO (tb) FSE,0,1386.41,1386.41,0,,0,,0,,174,Promoció Econòmica
01,920,2260400,DESPESES JURÍDIQUES,19500,0,19500,4923.15,,2261.15,,2261.15,,175,Alcaldia
02,430,6250000,OPE MOBILIARI,0,0.01,0.01,0,,0,,0,,176,Promoció Econòmica
02,241PL,1200400,OPE.BASIQUES C2 PC OCUPACIÓ A1 (d),0,40196.26,40196.26,1755.23,,1755.23,,1755.23,,177,Promoció Econòmica
02,241TO,1430112,OPE ALUMNES TALLER OCUPACIO ERM 2012 (TB),0,7345.16,7345.16,0,,0,,0,,178,Promoció Econòmica
01,912,4899900,QUOTA PATRÓ OSONA GASTRONÒMICA,2000,0,2000,0,,0,,0,,179,Alcaldia
02,241,1600000,OPE.SEGURETAT SOCIAL FOMENT DE L'OCUPACIÓ,26166.05,208.23,26374.28,8728.96,,8728.96,,8728.96,,180,Promoció Econòmica
02,430,6290000,OPE ALTRES INVERSIONS,0,0.01,0.01,0,,0,,0,,181,Promoció Econòmica
01,920,2260700,OPOSICIONS I PROVES SELECTIVES,500,0,500,125.55,,125.55,,125.55,,182,Alcaldia
02,241HH,2260612,OPE CURS INFORMATIC 2,0,10788.9,10788.9,939.14,,939.14,,662.08,,183,Promoció Econòmica
01,929J,2211000,PRODUCTES NETEJA JUTJAT,0.01,0,0.01,0,,0,,0,,184,Alcaldia
02,241TO,1600012,OPE SEGURTAT SOCIAL TALLER OCUPACIO ERM 2012 (TB),0,694.19,694.19,0,,0,,0,,185,Promoció Econòmica
01,920,2269900,DESPESES DIVERSES,1400,0,1400,533.02,,533.02,,97.42,,186,Alcaldia
02,241PL,1200500,OPE BASIQUES AP PC OCUPACIO A1 (d),0,27143.76,27143.76,1846.55,,1846.55,,1846.55,,187,Promoció Econòmica
02,241,2260600,CURS MAGATZEM JO-2015,0,15964.5,15964.5,1500,,1500,,1500,,188,Promoció Econòmica
02,430A,2269900,OPE. ACCIONS COMERÇ,0,0,0,0,,0,,0,,189,Promoció Econòmica
01,912O,1000000,RETRIBUCIONS ÒRGANS DE GOVERN,119284.28,36092.52,155376.8,77688.6,,77688.6,,77688.6,,190,Alcaldia
02,241I,2269911,OPE DESPESES DISPOSITIU INSERCIO (TB),0,6242.53,6242.53,0,,0,,0,,191,Promoció Econòmica
01,929J,2219900,SUBMINISTRAMENTS DIVERSOS JUTJAT,0.01,0,0.01,0,,0,,0,,192,Alcaldia
01,920,2279900,SERVEI PREVENCIÓ RISCOS LABORALS,30000,0,30000,397.74,,397.74,,397.74,,193,Alcaldia
02,241TO,2269911,OPE DESPESES TALLER OCUPACIO (TB),0,8044.37,8044.37,0,,0,,0,,194,Promoció Econòmica
02,241,2260612,OPE FORMACIO FOAP 2012,0,13137.99,13137.99,0,,0,,0,,195,Promoció Econòmica
02,241PL,1200614,OPE TRIENNIS LOCALS (dip),0,0,0,0,,0,,0,,196,Promoció Econòmica
02,430C,2260900,OPE. COMERÇ I CULTURA (mga),0,0,0,0,,0,,0,,197,Promoció Econòmica
02,241I,2269913,OPE DESPESES DISPOSITIU INSERCIO (TB),0,1650.04,1650.04,0,,0,,0,,198,Promoció Econòmica
