Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,Recaptació_líquida,Descripció_Orgànica,FID
01,30200,SERVEI DE RECOLLIDA D'ESCOMBRARIES,1270000,0,1270000,1276044.55,48203.88,ALCALDIA I RÈGIM INTERN,30
02L6,45050,GENE - SOC. SUBV FEM OCUPACIÓ JOVES FOJ-13-2016,0,70400,70400,56320,56320,PROMOCIÓ ECONÒMICA,31
02M5,45050,GENERALITAT SUBV SOC BTB 38/15 DX-02 FSE NETEJA SUPERFÍCIES,0,3135.39,3135.39,0,0,PROMOCIÓ ECONÒMICA,32
02N5,45050,GENERALITAT SUBV 15/FOAP/029/0126443 FSE,0,9414.44,9414.44,0,0,PROMOCIÓ ECONÒMICA,33
01,32500,TAXA PER EXPEDICIÓ DE DOCUMENTS,17500,0,17500,8883.58,8823.95,ALCALDIA I RÈGIM INTERN,34
02Ñ5,45050,GENERALITAT SUBV TRANSVERSAL PT20150072,0,1745.58,1745.58,0,0,PROMOCIÓ ECONÒMICA,35
02P5,45050,GENERALITAT SUBV SOC BTB 38/15 DX-10 FSE TREBALL SOCIOEDUCAT,0,596.02,596.02,0,0,PROMOCIÓ ECONÒMICA,36
01,32900,EXPEDICIÓ DE PLAQUES I SIMILARS,1500,0,1500,772.26,718.76,ALCALDIA I RÈGIM INTERN,37
02P6,45050,GENE - SOC. SUBV JOVES PRÀCTIQUES 2016/JENP/SP00/0004 FSE,0,41693.12,41693.12,44000,44000,PROMOCIÓ ECONÒMICA,38
02Q5,45050,"GENERALITAT, SUBV SOC B-041/15-02",0,872.25,872.25,0,0,PROMOCIÓ ECONÒMICA,39
02Q6,45050,GENE - SOC. SUBV NOUS PROJECTES B-032/16-02,0,5409.11,5409.11,0,0,PROMOCIÓ ECONÒMICA,40
02R5,45050,"GENERALITAT, SUBV SOC B-041/15-01",0,879.67,879.67,0,0,PROMOCIÓ ECONÒMICA,41
02R6,45050,GENE - SOC. SUBV OCUPACIÓ I COMPETITIVITAT B-032/16-01,0,5409.11,5409.11,0,0,PROMOCIÓ ECONÒMICA,42
01,33100,TAXA PER ENTRADA DE VEHICLES,150000,0,150000,140856.45,3709.95,ALCALDIA I RÈGIM INTERN,43
02S5,45050,"GENERALITAT, SUBV SOSTENIBILITAT SOC B-065/15-02",0,1012.23,1012.23,0,0,PROMOCIÓ ECONÒMICA,44
02S6,45050,GENE- SOC. SUBV SOSTENIBILITAT B-032/16-04,0,5409.11,5409.11,0,0,PROMOCIÓ ECONÒMICA,45
01,33200,TAXA APROF. ESP. EMP. SUBMINISTRADORES,236000,0,236000,135393.47,79198.92,ALCALDIA I RÈGIM INTERN,46
02T5,45050,GENER. SUBV SOC BTB 38/15 B2-01 FSE MANT EDIFICIS I FIBRA ÓP,0,1040.47,1040.47,-760.23,-760.23,PROMOCIÓ ECONÒMICA,47
02T6,45050,GENE. SUBV PROGRAMA CT-028/16 (tb),0,434923.01,434923.01,350108.54,350108.54,PROMOCIÓ ECONÒMICA,48
01,33800,"COMPENSACIÓ DE TELEFONICA DE ESPAÑA, SA",45000,0,45000,27044.58,27044.58,ALCALDIA I RÈGIM INTERN,49
02,46201,"AJUNT VIC, INGRESSOS DIVERSOS IMPEVIC",0,0,0,10604.27,10604.27,PROMOCIÓ ECONÒMICA,50
02U5,45050,GENERALITAT SOC SUBV 2015/PRMI/SPO/0042 FSE,0,6453.93,6453.93,0,0,PROMOCIÓ ECONÒMICA,51
01,33900,ALTRES TAXES PER UTILITZACIÓ PRIVATIVA DOMINI PUBLIC,0,0,0,1200,1200,ALCALDIA I RÈGIM INTERN,52
0206,47002,APORTACIONS EMPRESES INNOVACAT,0,0,0,0,0,PROMOCIÓ ECONÒMICA,53
13,36000,VENDES MATERIALS BRIGADA,0,96,96,96,96,BRIGADA,54
0206,55001,CANON MERCAT MUNICIPAL,0,0,0,0,0,PROMOCIÓ ECONÒMICA,55
02V5,45050,GENERALITAT SUBV INNOVACIÓ EN ESS IE-13/15,0,18375.08,18375.08,0,0,PROMOCIÓ ECONÒMICA,56
14,31300,PISCINA MUNICIPAL,475000,0,475000,212995.86,212995.86,SERVEI A LES PERSONES,57
01,34900,PREU PÚBLIC MATRIMONI CIVIL,2000,0,2000,490,490,ALCALDIA I RÈGIM INTERN,58
02,55001,CANON MERCAT MUNICIPAL,0,0,0,4715.77,4715.77,PROMOCIÓ ECONÒMICA,59
02V6,45050,GENE. SUBV FORMACIÓ PT20160087,0,9090.59,9090.59,4242.28,4242.28,PROMOCIÓ ECONÒMICA,60
0304,76101,DIPU-SUBV ROTONDA CRUÏLLA B-522/BV/BV-5224,0,0,0,341773.73,341773.73,URBANISME I OBRES PÚBLIQUES,61
14,31301,TAXES UTILITZACIÓ PAVELLÓ,200,0,200,0,0,SERVEI A LES PERSONES,62
03,29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL.LACIONS I OBRES",350000,0,350000,62331.32,30834.12,URBANISME I OBRES PÚBLIQUES,63
01,38900,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0,0,0,1000,1000,ALCALDIA I RÈGIM INTERN,64
02Z5,45050,GENERALITAT SOC SUBV FEM OCUPACIÓ PER JOVES FOJ-6-2015,0,14960,14960,-29074.29,-29074.29,PROMOCIÓ ECONÒMICA,65
0306,34902,RECAPTACIÓ PARQUING I ZONA BLAVA,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,66
03,32100,LLICÈNCIES URBANÍSTIQUES,500,0,500,3750.31,339.61,URBANISME I OBRES PÚBLIQUES,67
01,39110,MULTES PER INFRACCIONS TRIBUTÀRIES I ANÀLOGUES,8000,0,8000,6045.32,1197.06,ALCALDIA I RÈGIM INTERN,68
14,31900,TAXES UTILITZACIÓ CAN PUGET,200,0,200,120,120,SERVEI A LES PERSONES,69
02Z6,45050,GENE - SOC. SUBV 30P-41-2016,0,220000,220000,176000,176000,PROMOCIÓ ECONÒMICA,70
0306,45080,GENERALITAT. PUOSC 2016,0,3864.2,3864.2,0,0,URBANISME I OBRES PÚBLIQUES,71
03,32200,CÈDULES D'HABITABILITAT I LLICÈNCIES 1A OCUPACIÓ,1500,0,1500,731,731,URBANISME I OBRES PÚBLIQUES,72
14,34901,PREU PUBLIC PUBLICITAT MITJANS,12500,0,12500,1402,942.86,SERVEI A LES PERSONES,73
03,32300,TAXES PER ALTRES SERVEIS URBANÍSTICS,16000,0,16000,4977.16,4977.16,URBANISME I OBRES PÚBLIQUES,74
09A,45002,GENE - CONVENI SERVEIS SOCIALS,185000,0,185000,166700.66,166700.66,SERVEIS SOCIALS,75
0306,46100,DIPUTACIÓ. CONVENI SIDH-SAC,0,151.59,151.59,12000,12000,URBANISME I OBRES PÚBLIQUES,76
01,39190,ALTRES MULTES I SANCIONS,9000,0,9000,5861.29,3522.91,ALCALDIA I RÈGIM INTERN,77
14,39900,ALTRES INGRESSOS CULTURA,0,0,0,206,206,SERVEI A LES PERSONES,78
09B,45002,GENE - SUBV. ATENCIÓ DOMICILIÀRIA,70000,0,70000,0,0,SERVEIS SOCIALS,79
03,32900,TAXA OBERTURA D'ESTABLIMENTS,6000,0,6000,10317,10317,URBANISME I OBRES PÚBLIQUES,80
0306,75030,GENERALITAT. APORTACIÓ ADQ TERRENY MÒDULS,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,81
01,39200,RECÀRREC PER DECLARACIÓ EXTEMPORÀNIA SENSE REQUERIMENT PREVI,2000,0,2000,989.65,885.9,ALCALDIA I RÈGIM INTERN,82
09B6,45002,GENERALITAT. SUBV ATENCIÓ DOMICILIARIA,0,0,0,0,0,SERVEIS SOCIALS,83
14,45050,GENE SOC SUBV FOJ 592 2015,0,7783.2,7783.2,6226.56,6226.56,SERVEI A LES PERSONES,84
0306,75060,GENERALITAT. SUBV REDACCIÓ PROJ BIBLIOTECA,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,85
03,33900,OCUPACIÓ VIA PÚBLICA PER OBRES,7000,0,7000,875.44,777.94,URBANISME I OBRES PÚBLIQUES,86
01,39211,RECÀRREC DE CONSTRENYIMENT,7500,0,7500,2784.78,2784.78,ALCALDIA I RÈGIM INTERN,87
09C,45002,GENE-CONVENI SERVEIS SOCIALS,0,8987.63,8987.63,0,0,SERVEIS SOCIALS,88
14,46101,"DIPUTACIÓ, SUBV PROJ A TEMPS COMPLERT",0,30000,30000,0,0,SERVEI A LES PERSONES,89
01,39300,INTERESSOS DE DEMORA,23500,0,23500,13850.05,13677.25,ALCALDIA I RÈGIM INTERN,90
0306,75080,GENERALITAT. RESTA RENUNCIA OBRA 2012/700,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,91
03,34900,PREU PÚBLIC ENERGIA TURBINA FILTEX,12000,0,12000,15245.79,13381.77,URBANISME I OBRES PÚBLIQUES,92
14,46102,"DIPUTACIÓ, SUBV CATÀLEG SERVEIS FESTA MAJOR",0,3376,3376,1688,1688,SERVEI A LES PERSONES,93
09C5,45002,GENERALITAT SUBV CURSOS CONEIXEMENTS LABORALS,0,1500,1500,0,0,SERVEIS SOCIALS,94
0306,76100,DIPUTACIÓ. AJUT PLUGES 09/14,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,95
01,39800,INDEMNITZACIONS D'ASSEGURANCES DE NO-VIDA,3000,0,3000,522.17,522.17,ALCALDIA I RÈGIM INTERN,96
03,34901,PREU PÚBLIC TURBINA CAN BUIXÓ,12000,0,12000,7068.11,5336.83,URBANISME I OBRES PÚBLIQUES,97
14,46103,"DIPUTACIÓ, SUBV PROG C ESCOLARITZACIÓ 2016-17 17/X/235707",0,3231.93,3231.93,0,0,SERVEI A LES PERSONES,98
09D3,45002,GENE - ICD TRASFERENCIA,23000,0,23000,0,0,SERVEIS SOCIALS,99
0306,76101,DIPUTACIÓ. XARXA SUBV SUPORT INVERSIÓ,0,86564.2,86564.2,0,0,URBANISME I OBRES PÚBLIQUES,100
03,39100,SANCIONS URBANISTIQUES,0,0,0,2100,300,URBANISME I OBRES PÚBLIQUES,101
01,39801,INDEMNITZACIONS ASSEGURANCES DE NO-VIDA,0,491.57,491.57,491.57,491.57,ALCALDIA I RÈGIM INTERN,102
09E,45002,"GENE, AJUT PROBRESA ENERGÈTICA 2017",0,0,0,12521.7,12521.7,SERVEIS SOCIALS,103
03,39610,QUOTES URBANISTIQUES EL VERDAGUER,0,43850,43850,0,0,URBANISME I OBRES PÚBLIQUES,104
14,46105,DIPUTACIÓ SUBV ALFABETITZACIÓ 17/Y/239049,0,7268,7268,0,0,SERVEI A LES PERSONES,105
01,39900,ALTRES INGRESSOS DIVERSOS,9000,0,9000,13767.2,13329.35,ALCALDIA I RÈGIM INTERN,106
0306,76102,DIPUTACIÓ. CONVENI SIDH-SAC,0,24.85,24.85,0,0,URBANISME I OBRES PÚBLIQUES,107
03,39800,INDEMNITZACIONS ASSEGURANCES DE NO-VIDA,0,0,0,0,0,URBANISME I OBRES PÚBLIQUES,108
14,46106,DIPUTACIÓ SUBV CURTMETRATGES 17/Y/239343,0,2050,2050,0,0,SERVEI A LES PERSONES,109
09F6,45002,GENERALITAT. RESTA SUBV CONVENI MARC,0,0,0,0,0,SERVEIS SOCIALS,110
01,42000,PARTICIPACIÓ EN ELS TRIBUTS DE L'ESTAT,4137000,0,4137000,2071134.96,2071134.96,ALCALDIA I RÈGIM INTERN,111
0306,76104,DIPUTACIÓ. SUBV SOSTENIBILITAT DOBLE PORTA,0,0,0,3040,3040,URBANISME I OBRES PÚBLIQUES,112
14,46107,DIPUTACIÓ SUBV JOC NET 17/Y/237728,0,9000,9000,0,0,SERVEI A LES PERSONES,113
0306,76105,DIPUTACIÓ. SUBV MILLORES EQUIPAMENTS ESPORTIUS,0,41779.74,41779.74,0,0,URBANISME I OBRES PÚBLIQUES,114
09P,45002,"GENE, AUS-POBRESA ENERGÈTICA",0,13217.35,13217.35,13217.35,13217.35,SERVEIS SOCIALS,115
03,39900,LLOGUERS PLAÇA LLEVANT,6000,0,6000,3350,3350,URBANISME I OBRES PÚBLIQUES,116
01,45000,PARTICIPACIÓ EN TRIBUTS DE LA COMUNITAT AUTÒNOMA,228000,0,228000,217825.83,0,ALCALDIA I RÈGIM INTERN,117
14,46108,DIPUTACIÓ SUBV ESDEVENIMENTS PROG 17/Y/237774,0,6748,6748,0,0,SERVEI A LES PERSONES,118
14A,45060,GENE - SUBV. DG. HABITATGE,48430,0,48430,28433,28433,SERVEI A LES PERSONES,119
03,39901,"LLUM, GAS I ALTRES PISOS LLOGUER",3000,0,3000,3010.19,3010.19,URBANISME I OBRES PÚBLIQUES,120
01,45080,GENE - SUBV. DIVERSES,13000,0,13000,-1214.43,-1214.43,ALCALDIA I RÈGIM INTERN,121
0306,76106,"DIPUTACIÓ, SUBV POSADA FUNCIONAMENT TEATRE CENTRE",0,585611.55,585611.55,0,0,URBANISME I OBRES PÚBLIQUES,122
14,46109,"DIPUTACIÓ, SUBV BEQUES EXCLUSIÓ 17/Y/237633",0,5000,5000,0,0,SERVEI A LES PERSONES,123
14E,46100,DIPU-SUBV ESCOLA BRESSOL,150000,0,150000,157500.14,157500.14,SERVEI A LES PERSONES,124
0306,76107,"DIPUTACIÓ, SUBV REHABILITACIÓ TEATRE CENTRE 16/X/228434",0,341606.73,341606.73,0,0,URBANISME I OBRES PÚBLIQUES,125
01,46100,DIPU - SUBV. DIVERSES,35000,0,35000,877.88,877.88,ALCALDIA I RÈGIM INTERN,126
03,39902,EXECUCIONS SUBSIDIARIES,0,0,0,338.8,338.8,URBANISME I OBRES PÚBLIQUES,127
14,47002,DONACIÓ PREMIS BEQUES ESTUDIANTS,0,4000,4000,2000,2000,SERVEI A LES PERSONES,128
14P6,45030,GENERALITAT SUBV PLA EDUCATIU ENTORN CURS 2016-2017,0,0,0,0,0,SERVEI A LES PERSONES,129
0905,46124,DIPUTACIÓ SUBV COHESIÓ SOCIAL 2015,0,0,0,0,0,SERVEIS SOCIALS,130
01,52000,INTERESSOS DE DIPÒSITS,12000,0,12000,1768.46,1768.46,ALCALDIA I RÈGIM INTERN,131
03,45080,GENERALITAT. SUBV PUOSC,65713.99,16586.23,82300.22,0,0,URBANISME I OBRES PÚBLIQUES,132
14,55003,CONCESSIONS BAR CAMP DE FUTBOL,0,4000,4000,4856.38,4856.38,SERVEI A LES PERSONES,133
15A6,45060,GENERALITAT. SUBV RECERCA I CONSERVACIÓ,0,16.24,16.24,0,0,MUSEU DEL TER,134
0906,39901,APORTACIÓ SARRÓ,0,0,0,0,0,SERVEIS SOCIALS,135
01,54100,ARRENDAMENTS DE FINQUES URBANES,10000,0,10000,13420.19,13420.19,ALCALDIA I RÈGIM INTERN,136
03,46100,"DIPUTACIÓ, CONVENI SIDH-SAC",12000,0,12000,0,0,URBANISME I OBRES PÚBLIQUES,137
15,32900,"TAXA ENTRADES, TALLERS I ALTRES MUSEU",29000,0,29000,27154.97,26704.97,MUSEU DEL TER,138
0906,45002,GENE - SUBV PROJECTE IMMIGRACIÓ,0,0,0,2375,2375,SERVEIS SOCIALS,139
15B6,45060,GENERALITAT. SUBV INVENTARI CASA DEL METGE,0,0,0,0,0,MUSEU DEL TER,140
01,55000,CONCESSIONS ADMINISTRATIVES,12500,0,12500,5387.81,5387.81,ALCALDIA I RÈGIM INTERN,141
03,76100,"DIPUTACIÓ, SUBV FIBRA OPTICA",0,40000,40000,0,0,URBANISME I OBRES PÚBLIQUES,142
15,34400,PREU PÚBLIC ACTIVITATS MUSEU,6000,0,6000,382.4,382.4,MUSEU DEL TER,143
60A,39610,QUOTES URB SECTOR PIARA,0,2015549.22,2015549.22,0,0,,144
0906,46105,DIPUTACIÓ. SUBV PROGRAMA COMPLEMENTÀRIS,0,0,0,0,0,SERVEIS SOCIALS,145
01,55002,CANON APARCAMENT ZONA BLAVA,21000,0,21000,10500,10500,ALCALDIA I RÈGIM INTERN,146
08,32600,"CEPS, GRUA I DIPÒSITS VEHICLES",6000,0,6000,7213.65,7213.65,GOVERNACIÓ I SEGURETAT CIUTADANA,147
15,34900,PREU PÚBLIC TURBINA MUSEU,12000,0,12000,10298.36,8787.74,MUSEU DEL TER,148
60B,39610,QUOTES URB FONT TARRES,0,1339030.92,1339030.92,0,0,,149
0906,46106,DIPUTACIÓ. SUBV COHESIÓ SOCIAL,0,7590.51,7590.51,94152.61,94152.61,SERVEIS SOCIALS,150
15,34901,BOTIGA MUSEU,3000,0,3000,915.85,915.85,MUSEU DEL TER,151
0906,46107,DIPUTACIÓ. SUBV ACCIONS IGUALTAT 16Y221394,0,11506.51,11506.51,19625,19625,SERVEIS SOCIALS,152
08,39120,MULTES INFRACCIONS ORDENANÇA CIRCULACIÓ,185000,0,185000,115162.83,35449.93,GOVERNACIÓ I SEGURETAT CIUTADANA,153
01,91100,PRESTECS REBUTS A LLARG TERMINI D'ENS DEL SECTOR PÚBLIC,0,0,0,0,0,ALCALDIA I RÈGIM INTERN,154
15,34902,MT VENDA LLIBRES,0,0,0,-169.34,-169.34,MUSEU DEL TER,155
0906,46109,DIPUTACIÓ. SUBV PROGRAMA SUPORT MEDIACIÓ,0,191.31,191.31,0,0,SERVEIS SOCIALS,156
09,31100,TELEASSISTÈNCIA,19000,0,19000,22140.49,22140.49,SERVEIS SOCIALS,157
01,91300,PRESTÉCS REBUTS FORA SECTOR PÚBLIC,0,628318.63,628318.63,628318.63,628318.63,ALCALDIA I RÈGIM INTERN,158
0906,46112,DIPUTACIÓ. CONVENI FINANÇAMENT BENESTAR SOCIAL,0,9884.67,9884.67,13530.57,13530.57,SERVEIS SOCIALS,159
15,36001,PRESTACIÓ SERVEIS DIVERSOS MUSEU,3000,0,3000,0,0,MUSEU DEL TER,160
09,31200,CENTRE OBERT TRIPIJOC,250,0,250,116.25,116.25,SERVEIS SOCIALS,161
02,33500,TAULES I CADIRES,9500,0,9500,4512.94,4512.94,PROMOCIÓ ECONÒMICA,162
15,39900,ALTRES INGRESSOS,0,0,0,0,0,MUSEU DEL TER,163
0906,46113,DIPUTACIÓ. SUBV PROMOCIÓ SALUT,0,0,0,0,0,SERVEIS SOCIALS,164
09,32900,TAXA INSPECCIONS SANITÀRIES,2000,0,2000,2675,1815,SERVEIS SOCIALS,165
02,33900,"QUIOSCOS, PARADES I CASETES",8500,0,8500,4538.31,4538.31,PROMOCIÓ ECONÒMICA,166
0906,46115,DIPUTACIÓ. SUBV SEGURETAT ALIMENTARIA,0,0,0,0,0,SERVEIS SOCIALS,167
15,45050,GENE - SUBV. ANTENA MUSEU,8000,0,8000,2681.8,2681.8,MUSEU DEL TER,168
02,33901,MERCATS,80000,0,80000,41430.76,41430.76,PROMOCIÓ ECONÒMICA,169
09,34100,SERVEI TRANSPORT ADAPTAT,5000,0,5000,2486,2486,SERVEIS SOCIALS,170
0906,46116,DIPUTACIÓ. SUBV SANITAT AMBIENTAL,0,0,0,0,0,SERVEIS SOCIALS,171
15,45200,MUSEU DE LA CIÈNCIA - APORTACIÓ,15000,0,15000,15000,15000,MUSEU DEL TER,172
09,39900,ALTRES INGRESSOS BS,0,0,0,150,150,SERVEIS SOCIALS,173
02,34900,LLOGUER LOCALS COWORKING I ALTRES,5000,0,5000,127.5,42.5,PROMOCIÓ ECONÒMICA,174
0906,46182,DIPUTACIÓ. SUBV AJUTS PROG COMPLEMENTARI ESCOLARITZACIÓ CURS,0,13100.77,13100.77,0,0,SERVEIS SOCIALS,175
15,46100,DIPU - SUBV. DIVERSES MUSEU,5000,0,5000,4600,4600,MUSEU DEL TER,176
09,45002,GENE - SUBV. PROJECTE IMMIGRACIÓ,37450,0,37450,0,0,SERVEIS SOCIALS,177
02,34901,PREUS FIRES I FESTES,55000,0,55000,19968.33,19968.33,PROMOCIÓ ECONÒMICA,178
0906,47000,"CAIXABANC, APORTACIÓ DESFRIBILADORS",0,0,0,0,0,SERVEIS SOCIALS,179
15,46111,"DIPUTACIÓ, SUBV EXPOSICIÓ DONES OBRERES TER 17/Y/239296",0,3500,3500,0,0,MUSEU DEL TER,180
02,34902,MENTOR,0,288,288,288,288,PROMOCIÓ ECONÒMICA,181
09,45030,GENE - SUBV. CENTRE OBERT TRIPIJOC,50000,0,50000,56700,56700,SERVEIS SOCIALS,182
0906,77000,"CAIXA BANC, APROTACIÓ DESFRIBILADORS",0,0,0,0,0,SERVEIS SOCIALS,183
15,46112,"DIPUTACIÓ, SUBV VISITES TEATRALITZADES 17/Y/240624",0,4000,4000,0,0,MUSEU DEL TER,184
02,34903,CURSOS OPE,0,1792,1792,2072,2072,PROMOCIÓ ECONÒMICA,185
09,45060,GENE - PROGRAMA DESENVOLUPAMENT COMUNITARI,32000,0,32000,0,0,SERVEIS SOCIALS,186
15,46200,AJUNTAMENT DE ST. VICENÇ DE TORELLÓ - CONVENI,3000,0,3000,0,0,MUSEU DEL TER,187
02,34904,PREU PUBLIC CAMBRES FRIGORIFIQUES,0,0,0,2157.62,2157.62,PROMOCIÓ ECONÒMICA,188
09,46100,DIPU - CONVENI SERVEIS SOCIALS,17400,6000,23400,18091.65,18091.65,SERVEIS SOCIALS,189
0906,77001,APORTACIONS AL SARRÓ,0,0,0,0,0,SERVEIS SOCIALS,190
15,48001,"I R MUNTANER, AJUTS PROJ INVESTIGACIÓ AP29/17",0,1675,1675,670,670,MUSEU DEL TER,191
02,34905,POP EXPRESS,0,260,260,580,580,PROMOCIÓ ECONÒMICA,192
09,46101,DIPU - SUBV.MEDIACIO CIUTADANA,14250,0,14250,0,0,SERVEIS SOCIALS,193
0906,78000,APORTACIÓ SARRÓ,0,0,0,0,0,SERVEIS SOCIALS,194
084,75080,GENE-SUBV MILLORA FLOTA MUNICIPAL,0,0,0,3352.4,3352.4,GOVERNACIÓ I SEGURETAT CIUTADANA,195
02,34906,PREU PUBLIC WC PLAÇA,0,0,0,0,0,PROMOCIÓ ECONÒMICA,196
09,46102,DIPU - SUBV. XARXA SOCIAL SAD,22400,0,22400,19428.34,19428.34,SERVEIS SOCIALS,197
1000,75100,"ACA, SUBV ESCALA PEIXOS",0,7473.44,7473.44,0,0,MEDI AMBIENT,198
0106,45080,GENE - SUBV. DIVERSES,0,0,0,0,0,ALCALDIA I RÈGIM INTERN,199
09,46103,DIPU - SUBV. SALUT PÚBLICA,11000,0,11000,45960,45960,SERVEIS SOCIALS,200
02,34907,CURSOS AULA MERCAT,0,355,355,800,800,PROMOCIÓ ECONÒMICA,201
1000,87010,DESPESES AMB FINANÇAMENT AFECTAT,0,2049506.96,2049506.96,0,0,MEDI AMBIENT,202
0106,91300,PRÉSTECS LL/T FORA SECTOR PÚBLIC,0,0,0,0,0,ALCALDIA I RÈGIM INTERN,203
09,46104,"DIPUTACIÓ, SUBV PROG COMPLEMENTARI SS 17/X/235853",0,92705.02,92705.02,0,0,SERVEIS SOCIALS,204
02,36001,"CONSELL COMARCAL OSONA, CONVENI JOVES PER OCUPACIÓ",0,16410.02,16410.02,0,0,PROMOCIÓ ECONÒMICA,205
1006,45100,AGC. SUBV FORM-AJUT MAGRAMA,0,1248.63,1248.63,0,0,MEDI AMBIENT,206
02,46100,"DIPUTACIÓ, SUBV ACCIONS EMPRESES",0,792,792,792,792,PROMOCIÓ ECONÒMICA,207
09,46110,"DIPUTACIÓ, SUBV SANITAT AMBIENTAL 17/Y/236300",0,6000,6000,0,0,SERVEIS SOCIALS,208
