Org_,Eco_,Descripció,Previsions_inicials,Total_Modificacions,Previsions_totals,Drets_reconeguts_nets,F__Drets_reconeguts_nets_respect,Recaptació_líquida,F__Recaptació_neta_respecte_els,FID
03,46125,"DIPUTACIÓ, SUBV ARRANJAMENTS VESTUARIS CAMP MPLAL ESPORTS",0,0,0,0,,0,,125
01,39900,ALTRES INGRESSOS DIVERSOS,9000,0,9000,6050.07,,6050.07,,126
15,46200,AJUNTAMENT DE ST. VICENÇ DE TORELLÓ - CONVENI,3000,0,3000,0,,0,,127
02S5,45050,"GENERALITAT, SUBV SOSTENIBILITAT SOC B-065/15-02",0,5396.25,5396.25,0,,0,,128
10,39901,VENDES MATERIAL DEIXALLERIA,30000,0,30000,13375.08,,11175.08,,129
03,75030,"GENERALITAT, APORTACIÓ ADQ TERRENY MODULS",0,51745.26,51745.26,0,,0,,130
01,42000,PARTICIPACIÓ EN ELS TRIBUTS DE L'ESTAT,3919537.19,0,3919537.19,1815627.26,,1815627.26,,131
03,76100,"DIPUTACIÓ, AJUT PLUGES 09/14",0,131405.04,131405.04,0,,0,,132
15,48000,ZOO DE BARCELONA - BECA,6159,0,6159,0,,0,,133
10,39902,INGRESSOS DEIXALLERIA AJUNTAMENTS,15000,0,15000,7217.18,,7217.18,,134
02T5,45050,GENE SUBV BTB 38/15 B2-01 FSE MANT EDIFICIS I FIBRA OPTICA,0,4820,4820,0,,0,,135
01,45000,PARTICIPACIÓ EN TRIBUTS DE LA COMUNITAT AUTÒNOMA,227759.79,0,227759.79,0,,0,,136
03,76102,"DIPUTACIÓ, CONVENI SIDH-SAC",0,1654.95,1654.95,0,,0,,137
02U5,45050,GENERALITAT-SOC SUBV 2015/PRMI/SPO/0042 FSE,0,102276.96,102276.96,0,,0,,138
10,45080,GENE - SUBV. CANON DEPOSICIÓ RESIDUS,105000,0,105000,47390,,47390,,139
144,46167,DIPU-SUBV SUPORT SERVEIS PUBLICS,0,1555.57,1555.57,0,,0,,140
10,45100,"AGC, SUBV FORM-AJUT MAGRAMA",0,0,0,0,,0,,141
03,76104,"DIPUTACIÓ, SUBV SOSTENIBILITAT DOBLE PORTA",0,3040,3040,0,,0,,142
02V5,45050,GENERALITAT SUBV INNOVACIÓ EN ESS IE-13/15,0,114180.29,114180.29,0,,0,,143
01,45080,GENE - SUBV. DIVERSES,20000,0,20000,0,,0,,144
10,55003,CONCESSIÓ ENERGIA ELÈCTRICA,3700,0,3700,0,,0,,145
1000,75100,"ACA, SUBV ESCALA PEIXOS",0,7473.44,7473.44,0,,0,,146
03,76105,"DIPUTACIÓ, SUBV MILLORES EQUIPAMENTS ESPORTIUS",0,270000,270000,0,,0,,147
02Z5,45050,GENERALITAT-SOC SUBV FEM OCUPACIÓ PER JOVES FOJ-6-2015,0,74800,74800,0,,0,,148
01,46100,DIPU - SUBV. DIVERSES,75000,0,75000,0,,0,,149
11,34901,QUOTA USUARIS MANLLEU CONNECTA,44000,0,44000,0,,0,,150
1000,87010,FINANÇAMENT AFECTAT,0,2594825.93,2594825.93,0,,0,,151
03P4,45080,GENE-PLA UNIC D'OBRES,0,0,0,0,,0,,152
03,29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL.LACIONS I OBRES",140000,0,140000,21062.66,,21062.66,,153
08,32600,"CEPS, GRUA I DIPÒSITS VEHICLES",5400,0,5400,5502.85,,5502.85,,154
03,32100,LLICÈNCIES URBANÍSTIQUES,500,0,500,259.75,,259.75,,155
01,52000,INTERESSOS DE DIPÒSITS,22500,0,22500,9194.41,,9194.41,,156
1404,46167,DIPU - SUBV. SUPORT SERVEIS PUBLICS,0,0,0,0,,0,,157
11,46101,"DIPUTACIÓ, SUBV ADEQ SISTEMA NACIONAL SEGURETAT",0,7260,7260,0,,0,,158
08,39120,MULTES INFRACCIONS ORDENANÇA CIRCULACIÓ,185000,0,185000,128026.35,,51907.34,,159
1405,46107,"DIPUTACIÓ, C SERV AULES ALFABETITZACIÓ",0,7153,7153,7153,,7153,,160
01,54100,ARRENDAMENTS DE FINQUES URBANES,10000,0,10000,8558.8,,8558.8,,161
03,32200,CÈDULES D'HABITABILITAT I LLICÈNCIES 1A OCUPACIÓ,1000,0,1000,632.45,,632.45,,162
12,31200,SERVEI ESCOLA BRESSOL,145000,0,145000,96747.86,,96747.86,,163
1405,46109,"DIPUTACIÓ, C SERV PROG ESPORTIUS LOCALS",0,4889,4889,4889,,4889,,164
14,31300,PISCINA MUNICIPAL,475000,0,475000,233407.85,,233407.85,,165
09,31100,TELEASSISTÈNCIA,18500,3218.25,21718.25,21911.16,,21911.16,,166
03,32300,TAXES PER ALTRES SERVEIS URBANÍSTICS,16000,0,16000,9534.7,,9534.7,,167
01,55000,CONCESSIONS ADMINISTRATIVES,12500,0,12500,4945,,4945,,168
14,34401,FESTA MAJOR,2000,0,2000,0,,0,,169
1405,46112,"DIPUTACIÓ, C SERV CURTMETRATGES",0,525,525,2340,,2340,,170
09,31200,CENTRE OBERT TRIPIJOC,250,0,250,0,,0,,171
03,32900,TAXA OBERTURA D'ESTABLIMENTS,15500,0,15500,3428.8,,3428.8,,172
03,33900,OCUPACIÓ VIA PÚBLICA PER OBRES,2500,0,2500,272.74,,272.74,,173
01,55002,CANON APARCAMENT ZONA BLAVA,31800,0,31800,0,,0,,174
09,32900,TAXA INSPECCIONS SANITÀRIES,1000,0,1000,710,,710,,175
1405,46113,"DIPUTACIÓ, C SERV FESTA ESPORT",0,3462,3462,3462,,3462,,176
14,34901,PREU PUBLIC PUBLICITAT MITJANS,12500,0,12500,1702.55,,1095.05,,177
01,59900,ALTRES INGRESSOS PATRIMONIALS,0,0,0,357.87,,357.87,,178
09,34100,SERVEI TRANSPORT ADAPTAT,5000,0,5000,3024,,3024,,179
1405,46118,"DIPUTACIÓ, C SERV ACTIVITATS CULTURALS",0,6028.02,6028.02,15000,,15000,,180
03,34900,PREU PÚBLIC ENERGIA TURBINA FILTEX,10000,0,10000,5490.27,,0,,181
14,34903,PREU PÚBLIC CINEMA A LA FRESCA,0,0,0,0,,0,,182
01,91300,PRÉSTECS LL/T FORA SECTOR PÚBLIC,0,0,0,0,,0,,183
09,39800,INDEMNITZACIONS ASSEGURANCES,0,0,0,0,,0,,184
1405,46177,"DIPUTACIÓ, SUBV ESPORTS RISC EXCLUSIÓ",0,5750,5750,5750,,5750,,185
03,34901,PREU PÚBLIC TURBINA CAN BUIXÓ,10000,0,10000,2562.66,,1708.73,,186
14,39900,APORTACIONS CARAMELLES,0,322.26,322.26,322.26,,322.26,,187
09,39901,APORTACIÓ SARRO,0,0,0,1165,,1165,,188
02,33500,TAULES I CADIRES,6500,0,6500,4359.46,,4359.46,,189
14A,45060,GENE - SUBV. DG. HABITATGE,45000,0,45000,53590,,53590,,190
09,39902,ALTRES INGRESSOS.BENESTAR SOCIAL,0,0,0,594.77,,331.05,,191
14,46100,DIPU - SUBV. CULTURA,12000,0,12000,0,,0,,192
02,33900,"QUIOSCOS, PARADES I CASETES",8500,0,8500,1831.28,,1831.28,,193
09,45002,GENE - SUBV. PROJECTE IMMIGRACIÓ,36700,0,36700,0,,0,,194
14A,46100,DIPU - SUBV. JOVENT,3000,0,3000,0,,0,,195
14,46101,"DIPUTACIÓ, MATERIAL ESPORTIU INVENTARIABLE",0,0,0,0,,0,,196
02,33901,MERCATS,80000,0,80000,42829.31,,42829.31,,197
14A5,45080,"GENERALITAT, SUBV ACTIVITATS ESPORTIVES",0,900,900,0,,0,,198
09,45030,GENE - SUBV. CENTRE OBERT TRIPIJOC,31000,0,31000,0,,0,,199
14,46110,"DIPUTACIÓ, SUBV SUPORT FORMACIÓ ADULTS",0,8072,8072,0,,0,,200
02,34900,LLOGUER LOCALS CIEM I ALTRES INGRESSOS,2500,0,2500,0,,0,,201
09,46100,DIPU - CONVENI SERVEIS SOCIALS,17400,0,17400,8700,,8700,,202
14B,46100,DIPU - SUBV. ESPORTS,10000,0,10000,0,,0,,203
14,46111,"DIPUTACIÓ, SUBV ACTIVITATS ESPORTIVES",0,7132,7132,0,,0,,204
02,34901,PREUS FIRES I FESTES,50000,0,50000,31662.82,,18651.37,,205
09,46102,DIPU - SUBV. XARXA SOCIAL SAD,22400,0,22400,11200,,11200,,206
14C,45030,GENERALITAT. SUBV MENJADOR COLORS,0,0,0,0,,0,,207
14,46112,"DIPUTACIÓ, SUBVENCIÓ ESCOLA DE MÚSICA",0,7196,7196,0,,0,,208
02,34902,AULA MENTOR,0,480,480,480,,480,,209
09,46103,DIPU - SUBV. SALUT PÚBLICA,10000,0,10000,8300,,8300,,210
1504,39900,"ESTUDIS, TREBALLS I ALTRES",0,292.5,292.5,0,,0,,211
02,34903,CURSOS OPE,0,0,0,1640,,1010,,212
09,46105,"DIPUTACIÓ, SUBV PROGRAMA COMPLEMENTARI SS",0,47164.83,47164.83,0,,0,,213
1505,46117,"DIPUTACIÓ, SUBV PROJ MAGNET",0,0.72,0.72,0,,0,,214
02,34904,PREU PUBLIC. CAMBRES MERCAT,0,0,0,2428.4,,2428.4,,215
09,46106,"DIPUTACIÓ, SUBV COHESIÓ SOCIAL",0,57164.2,57164.2,0,,0,,216
15A,45060,GENE SUBV RECERCA I CONSERVACIÓ,0,0,0,0,,0,,217
02,34905,POP-UP EXPRES,0,2262,2262,8855.86,,1340,,218
15B,45060,GENE SUBV INVENTARI CASA DEL METGE,0,0,0,0,,0,,219
09,46107,"DIPUTACIÓ, SUBV ACCIONS IGUALTAT 16Y221394",0,17225,17225,0,,0,,220
02,34906,PREU PUBLIC WC PLAÇA,600,0,600,0,,0,,221
60A,39610,QUOTES URB SECTOR PIARA,0,2050442.04,2050442.04,0,,0,,222
02,34907,CURSOS FORMACIO,0,0,0,42,,42,,223
09,46108,"DIPUTACIÓ, SUBV COHESIÓ SOCIAL",0,0,0,0,,0,,224
60B,39610,QUOTES URB FONT TARRES,0,1339030.92,1339030.92,0,,0,,225
02,36000,CONSELL COMARCAL. CONVENI AUXILIAR MAGATZEM,0,13714.5,13714.5,0,,0,,226
09,46109,"DIPUTACIÓ, SUBV PROGRAMA SUPORT MEDIACIÓ",0,0,0,0,,0,,227
02,45050,GENE-SOC AJUTS AGÈNCIA SAC/15/0068,0,38891.63,38891.63,0,,0,,228
09,46112,"DIPUTACIÓ, CONVENI FINANÇAMENT BENESTAR SOCIAL",0,0,0,0,,0,,229
09,46113,DIPUTACIÓ. SUBV PROMOCIÓ SALUT,0,0,0,0,,0,,230
02,45060,"GENERALITAT, SUBV PREVENCIÓ RESIDUS",0,12309.97,12309.97,0,,0,,231
09,46115,"DIPUTACIÓ, SUBV SEGURETAT ALIMENTARIA",0,0,0,0,,0,,232
02,45080,GENE- SUBV.FSE PROM.ECON.,0,0,0,-125.59,,-125.59,,233
09,46116,DIPUTACIÓ. SUBV SANITAT AMBIENTAL,0,0,0,0,,0,,234
02,46100,"DIPUTACIÓ, SUBV FIRA CIRC",0,4000,4000,0,,0,,235
09,46132,DIPU - SUBV. PLA IGUALTAT,2500,0,2500,0,,0,,236
02,46101,"DIPUTACIÓ, SUBV FIRA PORC I CERVESA",0,4000,4000,0,,0,,237
09,46149,DIPU - SUBV. CONSUM,5000,0,5000,0,,0,,238
02,46102,"DIPUTACIÓ, SUBV ARTIC",0,2250,2250,0,,0,,239
09,46500,CONSELL COMARCAL - SUBV. TRANSPORT ADAPTAT,11000,0,11000,12655.7,,12655.7,,240
02,46103,"DIPUTACIÓ, SUBV ACCIONS MERCATS",0,2000,2000,0,,0,,241
09,47000,"CAIXABANC, APORTACIÓ DESFRIBILADORS",0,0,0,0,,0,,242
02,46108,"DIPUTACIÓ, SUBV PC OCUPACIÓ L1A",0,203236.91,203236.91,0,,0,,243
09,77000,"CAIXA BANC, APORTACIÓ DESFIBRILADORS",0,6000,6000,0,,0,,244
02,46114,DIPUTACIÓ C.SERVEI FESTA PORC I CERVESA,0,0,0,5000,,5000,,245
09A,45002,GENE - CONVENI SERVEIS SOCIALS,181231.12,0,181231.12,58753.18,,58753.18,,246
09B,45002,GENE - SUBV. ATENCIÓ DOMICILIÀRIA,70000,0,70000,0,,0,,247
09C,45002,"GENERALITAT, SUBV CURSOS CONEIXEMENTS LABORALS",0,0,0,0,,0,,248
09C5,45002,"GENERALITAT, SUBV CURSOS CONEIXEMENTS LABORALS",0,1500,1500,0,,0,,249
09E,45002,GENE - SUBV. DESENV. COMUNITARI PROGRAMA CTE.,32000,0,32000,0,,0,,250
084,75080,GENE - SUBV. MILLORA FLOTA MPAL,0,0,0,0,,0,,251
094,46105,DIPU - SUBV.LINIA 1 AJUT COMPLEMENTARI,0,0,0,0,,0,,252
0204,45060,GENE-SUBV.EMPRENEDORS (FSE),0,4330.2,4330.2,0,,0,,253
0204,46106,DIPU - SUBV.ACCIONS FOMENT OCUPACIO,0,348.11,348.11,0,,0,,254
0205,36001,CONSELL COMARCAL CURS AUX MAGATZEM JOVES,0,5802,5802,0,,0,,255
0205,45050,"GENT SOC, SUBV INTERMEDIACIÓ SAC/14/00063 (fse)",0,12240,12240,0,,0,,256
0205,46101,"DIPUTACIÓ, SUBV FOMENT OCUPACIÓ",0,23874.31,23874.31,0,,0,,257
0205,46115,"DIPUTACIÓ, C SERV MERCATS SETMANALS",0,145.63,145.63,0,,0,,258
