Org_,Descripció_orgànica,Fun_,Eco_,Descripció,Crèdits_inicials,Modificacions_de_crèdit,Crèdits_totals_consignats,Disposicions_o_compromisos,Obligacions_reconegudes,Pagaments_fets,FID
02,Promoció Econòmica,241N,1210015,BTB 38/15 A1-01 FSE PERSONAL SUPORT DESTI,0,3012.66,3012.66,2151.9,2151.9,2151.9,65
01,Alcaldia i Règim Intern,912,1210000,COMPLEMENT DESTINACIÓ GABINET ALCALDIA,7137.76,71.38,7209.14,5519.2,5519.2,5519.2,66
02,Promoció Econòmica,241F,2260600,OPE. ACCIONS FORMATIVES,0,927,927,300.28,300.28,0,67
02,Promoció Econòmica,241N,1210114,OPE ESPECIFIC DISPOSITIU INSERCIO ADM (tb) FSE,0,511.23,511.23,0,0,0,68
01,Alcaldia i Règim Intern,931,1510000,GRATIFICACIONS SERVEIS ECONÒMICS,0.01,0,0.01,0,0,0,69
01,Alcaldia i Règim Intern,912,1210100,COMPLEMENT ESPECÍFIC GABINET ALCALDIA,13476.48,134.76,13611.24,10208.43,10208.43,10208.43,70
02,Promoció Econòmica,241N,1210115,BTB 38/15 A1-01 FSE PERSONAL SUPORT ESPECIFIC,0,7001.4,7001.4,4726.08,4726.08,4726.08,71
02,Promoció Econòmica,241F,2260614,OPE FORMACIO FOAP 2014 (fse),0,3784.82,3784.82,0,0,0,72
01,Alcaldia i Règim Intern,912,1500000,PRODUCTIVITAT GABINET ALCALDIA,700,950,1650,836.44,836.44,836.44,73
02,Promoció Econòmica,241N,1600014,OPE SEGURETAT SOCIAL DISPOSITIU INSERCIO ADM (tb) FSE,0,443.93,443.93,0,0,0,74
02,Promoció Econòmica,241F,2269910,OPE DESPESES PROG.FORMACIO DONES,0,0,0,0,0,0,75
01,Alcaldia i Règim Intern,931,1600000,SEGURETAT SOCIAL SERVEIS ECONÒMICS,34047.22,5186.24,39233.46,24308.9,24308.9,24308.9,76
01,Alcaldia i Règim Intern,912,1510000,GRATIFICACIONS GABINET ALCALDIA,0.01,0,0.01,0,0,0,77
02,Promoció Econòmica,241N,1600015,BTB 38/15 A1-01 FSE PERSONAL SUPORT SEGURETAT SOCIAL,0,5800.2,5800.2,3886.58,3886.58,3886.58,78
02,Promoció Econòmica,241F,2269913,OPE DESPESES FEINATECA,0,351.62,351.62,0,0,0,79
01,Alcaldia i Règim Intern,932,1200400,BÀSIQUES C2 GESTIÓ TRIBUTÀRIA,8378.58,-8378.58,0,0,0,0,80
01,Alcaldia i Règim Intern,912,1600000,SEGURETAT SOCIAL GABINET ALCALDIA,10557.7,-1128.6,9429.1,5624.16,5624.16,5624.16,81
02,Promoció Econòmica,241N,2269913,OPE DESPESES FORMACIO NETEJA (TB),0,644.53,644.53,0,0,0,82
02,Promoció Econòmica,241F,2269914,OPE DESPESES FEINATECA,0,886.15,886.15,0,0,0,83
01,Alcaldia i Règim Intern,932,1200600,TRIENNIS GESTIÓ TRIBUTÀRIA,2752.86,-2752.86,0,0,0,0,84
01,Alcaldia i Règim Intern,912,1620000,FORMACIÓ REGIDORS,500,0,500,95,95,95,85
02,Promoció Econòmica,241FO,2260615,OPE CURS 15/FOAP/269/0126443 FSE,0,32424,32424,28031.56,28031.56,28031.56,86
02,Promoció Econòmica,241P,1430014,OPE PERSONAL PIRMI (fse),0,4601.59,4601.59,0,0,0,87
01,Alcaldia i Règim Intern,920,1620000,FORMACIÓ PERSONAL,7500,0,7500,5574.65,3424.15,3424.15,88
01,Alcaldia i Règim Intern,912,2260100,ATENCIONS PROTOCOLÀRIES,5500,0,5500,1188.83,1188.83,1188.83,89
01,Alcaldia i Règim Intern,932,1210000,COMPLEMENT DESTINACIÓ GESTIÓ TRIBUTÀRIA,5527.06,-5527.06,0,0,0,0,90
02,Promoció Econòmica,241G,1430013,OPE PERSONAL PLANS 2013/PANP/SPO/0068-FSE,0,504,504,0,0,0,91
02,Promoció Econòmica,241P,1430015,BTB 38/15 DX-10 FSE PERSONAL SOCIOEDUCATIU,0,10399.47,10399.47,10201.98,10201.98,10201.98,92
01,Alcaldia i Règim Intern,912,2269900,DESPESES ELECCIONS,3200,0,3200,0,0,0,93
01,Alcaldia i Règim Intern,920,1620400,FONS SOCIAL,22000,3000,25000,13266.16,13266.16,13266.16,94
02,Promoció Econòmica,241G,1430015,BTB 38/15 DX-03 FSE PERSONAL MANT FIBRA OPTICA,0,57692.45,57692.45,27418.86,27418.86,27418.86,95
01,Alcaldia i Règim Intern,932,1210100,COMPLEMENT ESPECÍFIC GESTIÓ TRIBUTÀRIA,11175.72,-11175.72,0,0,0,0,96
01,Alcaldia i Règim Intern,912,2300000,DIETES CÀRRECS ELECTES,47196,20000,67196,50401.33,50401.33,44281.33,97
01,Alcaldia i Règim Intern,920,2050000,LLOGUER CAIXA SEGURETAT,100,0,100,100,100,100,98
02,Promoció Econòmica,241P,1600014,OPE ASSEGURANCES SOCIALS PIRMI (fse),0,2508.37,2508.37,0,0,0,99
02,Promoció Econòmica,241G,1600013,OPE SEGURETAT SOCIAL PLANS 2013/PANP/SPO/0068-FSE,0,507.15,507.15,0,0,0,100
01,Alcaldia i Règim Intern,932,1500000,PRODUCTIVITAT GESTIÓ TRIBUTÀRIA,700,-700,0,0,0,0,101
01,Alcaldia i Règim Intern,912,2310000,VIATGES CÀRRECS ELECTES,2000,0,2000,3374.29,3374.29,3374.29,102
01,Alcaldia i Règim Intern,920,2060000,LLOGUER FOTOCOPIADORA,7383.05,0,7383.05,4969.78,4969.78,4969.78,103
02,Promoció Econòmica,241G,1600015,BTB 38/15 DX-03 FSE SEGURETAT SOCIAL MANT FIBRA OPTICA,0,21807.67,21807.67,7753.97,7753.97,7753.97,104
01,Alcaldia i Règim Intern,932,1510000,GRATIFICACIONS GESTIÓ TRIBUTÀRIA,0.01,0,0.01,0,0,0,105
02,Promoció Econòmica,241P,1600015,BTB 38/15 DX-10 FSE SEGURETAT SOCIAL SOCIOEDUCATIU,0,3405.81,3405.81,2874.82,2874.82,2874.82,106
01,Alcaldia i Règim Intern,912,4660100,QUOTES ASSOCIACIONS MPLS.,9600,0,9600,8935.8,8935.8,5580,107
01,Alcaldia i Règim Intern,920,2150000,MANTENIMENT MOBILIARI,0.01,0,0.01,28,28,28,108
02,Promoció Econòmica,241G,2269913,OPE FORMACIO PLANS 2013/PANP/SPO/0068-FSE,0,342.25,342.25,0,0,0,109
01,Alcaldia i Règim Intern,932,1600000,SEGURETAT SOCIAL GESTIÓ TRIBUTÀRIA,8360.53,-8360.53,0,0,0,0,110
01,Alcaldia i Règim Intern,912,4890000,SUBVENCIONS,3000,0,3000,1870,1870,1870,111
02,Promoció Econòmica,241P,2269900,OPE. PROJ TU POTS FER-HO,0,21240,21240,14000,0,0,112
01,Alcaldia i Règim Intern,920,2160000,MANTENIMENT FOTOCOPIADORA,28428,0,28428,4662.62,4662.62,4429.16,113
02,Promoció Econòmica,241H,1200114,OPE BASIQUES A2 DISPOSITIU INSERCIO (tb) FSE,0,841.01,841.01,0,0,0,114
01,Alcaldia i Règim Intern,932,2270800,SERVEI RECAPTACIÓ,168000,0,168000,122714.78,122714.78,122714.78,115
01,Alcaldia i Règim Intern,912,4892900,TRANSF. APORTACIÓ GRUPS MPLS.,9576,9624,19200,14400,14400,12800,116
02,Promoció Econòmica,241P,2269911,OPE DESPESES FORM TRANSVERSAL PACTES,0,1196.34,1196.34,0,0,0,117
02,Promoció Econòmica,241S,1500100,SEFED PRODUCTIVITAT,2205,0,2205,0,0,0,118
02,Promoció Econòmica,241H,1200115,BTB 38/15 A1-01 FSE ORIENTADOR BASIQUES A2,0,32320.08,32320.08,23140.23,23140.23,23140.23,119
01,Alcaldia i Règim Intern,920,2200000,MATERIAL OFICINA,11000,0,11000,4590.35,4590.35,4590.35,120
02,Promoció Econòmica,241PA,1430014,OPE PERSONAL TREBALL I FORMACIO PANP 14 (fse),0,0.01,0.01,0,0,0,121
01,Alcaldia i Règim Intern,912,4899900,QUOTA PATRÓ OSONA GASTRONÒMICA,2000,0,2000,0,0,0,122
01,Alcaldia i Règim Intern,934,1200000,BÀSIQUES A1 TRESORERIA,14677.32,146.77,14824.09,10772.56,10772.56,10772.56,123
02,Promoció Econòmica,241S,1600000,SEFED SEGURETAT SOCIAL,25881.63,0,25881.63,0,0,0,124
02,Promoció Econòmica,241PA,1430015,OPE PERSONAL 2015/PANP/SPO/0011 (fse),0,42752.44,42752.44,42752.44,42752.44,42752.44,125
01,Alcaldia i Règim Intern,920,2200100,PUBLICACIONS I SUBSCRIPCIONS,5400,0,5400,4661.75,4661.75,3921.27,126
02,Promoció Econòmica,241H,1200614,OPE TRIENIS DISPOSITIU INSERCIO (tb) FSE,0,137.98,137.98,0,0,0,127
01,Alcaldia i Règim Intern,912O,1000000,RETRIBUCIONS ÒRGANS DE GOVERN,119284.28,36092.52,155376.8,116476.65,116476.65,116476.65,128
01,Alcaldia i Règim Intern,934,1200600,TRIENNIS TRESORERIA,3119.38,-756.28,2363.1,1708.43,1708.43,1708.43,129
02,Promoció Econòmica,241PA,1600014,OPE SEGURETAT SOCIAL TREBALL I FORMACIO PANP 14 (fse),0,866.96,866.96,0,0,0,130
02,Promoció Econòmica,241S,2060000,SEFED LLOGUER FOTOCOPIADORA,2047.32,0,2047.32,0,0,0,131
01,Alcaldia i Règim Intern,920,2200200,MATERIAL INFORMÀTIC NO INVENTARIABLE,3658.58,0,3658.58,187.11,187.11,187.11,132
02,Promoció Econòmica,241H,1200615,BTB 38/15 A1-01 FSE ORIENTADOR TRIENNIS,0,676.56,676.56,537.48,537.48,537.48,133
02,Promoció Econòmica,241PA,1600015,OPE SEGURETAT SOCIAL 2015/PANP/SPO/0011 (fse),0,13966.62,13966.62,13868.7,13868.7,13868.7,134
01,Alcaldia i Règim Intern,934,1210000,COMPLEMENT DESTINACIÓ TRESORERIA,9774.8,-1532.31,8242.49,5887.5,5887.5,5887.5,135
01,Alcaldia i Règim Intern,912O,1600000,SEGURETAT SOCIAL ÒRGANS DE GOVERN,33026.04,13425.93,46451.97,30958.67,30958.67,30958.67,136
02,Promoció Econòmica,241S,2160000,SEFED MANTENIMENT INFORMÀTIC,1500,0,1500,0,0,0,137
01,Alcaldia i Règim Intern,920,2210300,COMBUSTIBLES I CARBURANTS,1900,0,1900,871.9,871.9,871.9,138
02,Promoció Econòmica,241PA,2260615,FORMACIO 2015/PANP/SPO/0011/AF01,0,7020,7020,5111.1,4512.6,4512.6,139
02,Promoció Econòmica,241H,1210014,OPE DESTI DISPOSITIU INSERCIO (tb) FSE,0,398.47,398.47,0,0,0,140
01,Alcaldia i Règim Intern,934,1210100,COMPLEMENT ESPECÍFIC TRESORERIA,13796.76,-152.19,13644.57,12490.9,12490.9,12490.9,141
01,Alcaldia i Règim Intern,912O,2260100,OBSEQUIS PROTOCOL,3500,-1592.11,1907.89,12.62,12.62,12.62,142
01,Alcaldia i Règim Intern,920,2210400,VESTUARI PERSONAL NETEJA,700,0,700,0,0,0,143
02,Promoció Econòmica,241PI,2269911,OPE DESPESES PROGRAMES INSERCIO (IPI),0,863.41,863.41,863.41,863.41,863.41,144
02,Promoció Econòmica,241S,2200000,SEFED MATERIAL OFICINA,2500,0,2500,0,0,0,145
02,Promoció Econòmica,241H,1210015,BTB 38/15 A1-01 FSE ORIENTADOR DESTI,0,13840.68,13840.68,9725.9,9725.9,9725.9,146
01,Alcaldia i Règim Intern,934,1500000,PRODUCTIVITAT TRESORERIA,700,0,700,524.97,524.97,524.97,147
01,Alcaldia i Règim Intern,920,1200000,BÀSIQUES A1 ADMINISTRACIÓ GNAL.,29354.64,293.55,29648.19,22005.93,22005.93,22005.93,148
02,Promoció Econòmica,241PI,2269914,OPE DESPESES PRIMI (fse),0,1530,1530,0,0,0,149
01,Alcaldia i Règim Intern,920,2210600,PRODUCTES FARMACÈUTICS,150,0,150,0,0,0,150
02,Promoció Econòmica,241S,2240000,SEFED ASSEGURANCES ALUMNES,300,0,300,0,0,0,151
01,Alcaldia i Règim Intern,934,1510000,GRATIFICACIONS TRESORERIA,0.01,0,0.01,0,0,0,152
02,Promoció Econòmica,241H,1210114,OPE ESPECIFIC DESPOSITIU INSERCIO (tb) FSE,0,52.72,52.72,0,0,0,153
01,Alcaldia i Règim Intern,920,1200100,BÀSIQUES A2 ADMINISTRACIÓ GNAL.,38719.56,17764.27,56483.83,37363.18,37363.18,37363.18,154
01,Alcaldia i Règim Intern,920,2211000,PRODUCTES NETEJA,4000,-473.11,3526.89,1037.83,1037.83,1037.83,155
02,Promoció Econòmica,241S,2260200,SEFED PUBLICITAT I PROPAGANDA,1000,0,1000,0,0,0,156
02,Promoció Econòmica,241PL,1200300,OPE BASIQUES C1 PC OCUPACIO A1 (d),0,2495.92,2495.92,780.51,780.51,780.51,157
01,Alcaldia i Règim Intern,934,1600000,SEGURETAT SOCIAL TRESORERIA,10625.4,-602.29,10023.11,6682.08,6682.08,6682.08,158
02,Promoció Econòmica,241H,1210115,BTB 38/15 A1-01 FSE ORIENTADOR ESPECIFIC,0,18160.21,18160.21,13073.4,13073.4,13073.4,159
01,Alcaldia i Règim Intern,9231,1210100,COMPLEMENT ESPECÍFIC PADRO,7083,811.36,7894.36,5920.83,5920.83,5920.83,160
01,Alcaldia i Règim Intern,920,1200300,BÀSIQUES C1 ADMINISTRACIÓ GNAL.,19769.68,197.7,19967.38,14132.15,14132.15,14132.15,161
01,Alcaldia i Règim Intern,920,2219900,MATERIAL PREVENCIÓ RISCOS,1800,-249,1551,334.5,334.5,334.5,162
02,Promoció Econòmica,241PL,1200400,OPE.BASIQUES C2 PC OCUPACIÓ A1 (d),0,40196.26,40196.26,19004.87,19004.87,19004.87,163
02,Promoció Econòmica,241S,2260615,OPE CURS FORMACIÓ CONTÍNUA SECTORIAL PS20150045,0,17842.13,17842.13,15985,15985,15985,164
01,Alcaldia i Règim Intern,934,3400000,INTERESSOS BESTRETES,500,0,500,0,0,0,165
02,Promoció Econòmica,241H,1600015,BTB 38/15 A1-01 FSE ORIENTADOR SEGURETAT SOCIAL,0,20013.63,20013.63,13624.53,13624.53,13624.53,166
01,Alcaldia i Règim Intern,9231,1500000,PRODUCTIVITAT PADRO,700,400,1100,824.17,824.17,824.17,167
01,Alcaldia i Règim Intern,920,2220100,COMUNICACIONS POSTALS,15000,0,15000,10985.47,10985.47,10923.28,168
01,Alcaldia i Règim Intern,920,1200400,BÀSIQUES C2 ADMINISTRACIÓ GNAL.,8378.58,0,8378.58,6046.98,6046.98,6046.98,169
02,Promoció Econòmica,241PL,1200500,OPE BASIQUES AP PC OCUPACIO A1 (d),0,27143.76,27143.76,13674.4,13674.4,13674.4,170
01,Alcaldia i Règim Intern,934,3520000,INTERESSOS DE DEMORA,0.01,0,0.01,168.76,168.76,168.76,171
02,Promoció Econòmica,241S,2269900,SEFED MATERIAL DIDÀCTIC,2000,0,2000,0,0,0,172
01,Alcaldia i Règim Intern,9231,1510000,GRATIFICACIONS PADRO,0.01,318.87,318.88,318.87,318.87,318.87,173
02,Promoció Econòmica,241H,2269914,OPE DESPESES DISPOSITIU INSERCIO (tb) FSE,0,1386.41,1386.41,0,0,0,174
01,Alcaldia i Règim Intern,920,2240000,ASSEGURANCES,49500,0,49500,38846.24,38846.24,38846.24,175
02,Promoció Econòmica,241SD,2269900,SEFED DESPESES DIVERSES,1000,0,1000,0,0,0,176
01,Alcaldia i Règim Intern,9231,1600000,SEGURETAT SOCIAL PADRO,5559.52,464,6023.52,4068.01,4068.01,4068.01,177
01,Alcaldia i Règim Intern,934,3590000,COMISSIONS TRANSF. I MANTENIMENT,4250,0,4250,1080.85,1080.85,1080.85,178
02,Promoció Econòmica,241PL,1200614,OPE TRIENNIS LOCALS (dip),0,0,0,0,0,0,179
02,Promoció Econòmica,241HH,2260612,OPE CURS INFORMATIC 2,0,10788.9,10788.9,4038.95,4038.95,4038.95,180
01,Alcaldia i Règim Intern,920,2260300,ANUNCIS OFICIALS,12500,0,12500,9896.99,9896.99,9686.99,181
01,Alcaldia i Règim Intern,920,1200500,BÀSIQUES AP ADMINISTRACIÓ GNAL.,7678.58,0,7678.58,5539.6,5539.6,5539.6,182
02,Promoció Econòmica,241SF,2160000,SEFED MANTENIMENT FOTOCOPIADORA,1500,0,1500,0,0,0,183
02,Promoció Econòmica,170,2269900,ACTIVITATS PREVENCIÓ RESIDUS,0,12309.97,12309.97,2158.77,2158.77,2158.77,184
02,Promoció Econòmica,430,1300200,OPE ALTRES REMUNERACIONS ADMINISTRACIÓ OPE,31295.06,-2031.64,29263.42,21490.74,21490.74,21490.74,185
02,Promoció Econòmica,241PL,1210000,OPE COMPLEMENT DESTINACIÓ PC OCUPACIO A1 (d),0,25068.64,25068.64,11857.37,11857.37,11857.37,186
02,Promoció Econòmica,241I,2269911,OPE DESPESES DISPOSITIU INSERCIO (TB),0,6242.53,6242.53,0,0,0,187
01,Alcaldia i Règim Intern,9231,1200400,BÀSIQUES C2 PADRO,8378.58,83.79,8462.37,6046.98,6046.98,6046.98,188
01,Alcaldia i Règim Intern,920,1200600,TRIENNIS ADMINISTRACIÓ GNAL.,19852.77,2718.29,22571.06,16096.63,16096.63,16096.63,189
02,Promoció Econòmica,241,1300000,OPE.BÀSIQUES FOMENT DE L'OCUPACIÓ,12906.52,2970.78,15877.3,11724.63,11724.63,11724.63,190
02,Promoció Econòmica,241SO,1430015,OPE AODL SOSTENIBILITAT (fse),0,21918.66,21918.66,18507.46,18507.46,18507.46,191
01,Alcaldia i Règim Intern,920,2260400,DESPESES JURÍDIQUES,19500,0,19500,6747.01,4085.01,4085.01,192
02,Promoció Econòmica,241PL,1210014,OPE COMPLEMENT DESTINACIO PLANS LOCALS (dip),0,0,0,0,0,0,193
02,Promoció Econòmica,241I,2269913,OPE DESPESES DISPOSITIU INSERCIO (TB),0,1650.04,1650.04,0,0,0,194
02,Promoció Econòmica,430,1310000,OPE LABORAL TEMPORAL ADMINISTRACIÓ OPE,0.01,0,0.01,0,0,0,195
02,Promoció Econòmica,241,1300100,OPE.HORES EXTRES FOMENT OCUPACIÓ,0.01,0,0.01,0,0,0,196
01,Alcaldia i Règim Intern,920,1210000,COMPLEMENT DESTINACIÓ ADM. GNAL.,66796.8,11807.37,78604.17,55332.42,55332.42,55332.42,197
01,Alcaldia i Règim Intern,9231,1200600,TRIENNIS PADRO,1164.92,98.89,1263.81,903.14,903.14,903.14,198
02,Promoció Econòmica,241SO,1600015,OPE AODL SEGURETAT SOCIAL SOSTENIBILITAT (fse),0,7162.67,7162.67,5343.76,5343.76,5343.76,199
