codi,Nom_centre,Tipus_de_consum,Import,CUPS,Comercialitzadora,Pòlissa,Data_de_baixa,F2012,F2013,F2014,F2015,F2016,FID
HAB03,HABITATGE SOCIAL,Gas,€,ES0217010152158203LD,ENDESA ENERGÍA S.A.U.,430607813,,0,0,0,0,101.33,141
ESP03,CAMP DE FUTBOL,Electricitat dependències,€,ES0031408215610001BG0F,ENDESA ENERGÍA S.A.U.,409233167,,1275,585.25,596.65,668.28,701.98,142
ADM10,ARXIU I SOLITÀRIA,Combustibles líquids dependències,€,,,10,01/01/2014,0,460,0,0,0,143
ESP03,CAMP DE FUTBOL,Electricitat dependències,€,ES0031408350889001PL0F,ENDESA ENERGÍA S.A.U.,422660294,,0,71.43,4510.42,3308.61,6566.15,144
EQU01,MERCAT MUNICIPAL,Combustibles líquids dependències,€,,,12,,0,0,0,862.5,0,145
ESP03,CAMP DE FUTBOL,Electricitat dependències,€,ES0031446462572001VB0F,ENDESA ENERGÍA S.A.U.,409344580,,10029.52,11001.75,13227.65,13777.8,12279.31,146
EQU11,CENTRE EL CANAL,Combustibles líquids dependències,€,,,11,,2769,4614.5,8526.5,3672,2385.5,147
ESP05,ROCÒDROM CAN TIBA,Electricitat dependències,€,ES0031448275675001ZQ0F,ENDESA ENERGÍA S.A.U.,413713195,,2077.06,1983.15,1629.32,1327.11,971.82,148
ESC01,ESCOLA PUIG-AGUT,Combustibles líquids dependències,€,,,1,20/05/2014,20225.75,26994,5439.2,0,0,149
ESP06,PISCINA D'ESTIU,Electricitat dependències,€,ES0031446454011001DW0F,ENDESA ENERGÍA S.A.U.,409345051,,8776.09,10029.65,4802.67,2066.71,4104.62,150
ESC03,ESCOLA POMPEU FABRA,Combustibles líquids dependències,€,,,2,,17677,19970,16704.38,11434.5,6732,151
HAB01,PIS SOCIAL,Electricitat dependències,€,ES0031408193249029MT0F,ENDESA ENERGÍA S.A.U.,426100118,,0,377.59,479.2,439.66,385.76,152
ESP01,PAVELLÓ D'ESPORTS,Combustibles líquids dependències,€,,,3,,22963.3,15367.55,15976.5,9624.25,8981.94,153
HAB01,PIS SOCIAL,Electricitat dependències,€,ES0031408193249030MR0F,ENDESA ENERGÍA S.A.U.,409233603,,146.03,641.43,792.28,790.85,478.09,154
ESP03,CAMP DE FUTBOL,Combustibles líquids dependències,€,,,7,,0,4304.25,11952.52,9378.58,6295.01,155
HAB01,PIS SOCIAL,Electricitat dependències,€,ES0031408193249003AC0F,ENDESA ENERGÍA S.A.U.,419046211,,0,324.92,1270.94,1483.82,566.68,156
VAR04,"EVENTUALS (Fires, Tonis, Pista Gel...)",Combustibles líquids dependències,€,,,13,,0,0,0,1004.3,2993.55,157
HAB02,HABITATGE SOCIAL,Electricitat dependències,€,ES0031446453777001RG0F,ENDESA ENERGÍA S.A.U.,429991218,,0,0,33.27,491.93,738.76,158
VEH01,VEHICLES BRIGADA MUNICIPAL,Combustibles líquids altres,,,,9,17/09/2013,4451.48,4892.32,0,0,0,159
HAB02,HABITATGE SOCIAL,Electricitat dependències,€,ES0031446453779001LA0F,ENDESA ENERGÍA S.A.U.,429109485,,0,0,157.51,464.77,471.54,160
HAB02,HABITATGE SOCIAL,Electricitat dependències,€,ES0031446453778001KS0F,ENDESA ENERGÍA S.A.U.,409237041,,572.23,270.03,318.16,416.17,371.25,161
