NOMBRE,UBICACION,OBJETO,TITULO,AUTOR,TEMA,MATERIALES,MEDIDAS
"EJES 1300","MUSEO.","EJES MONTADOS DE LOCOMOTORA DIESEL. (DOS UNIDADES)","EJES 1300","S.E.C.N.","","","ANCHO DE VIA: 1000 mm."
"CUADRO "S.O.V."","MUSEO.","DOCUMENTACION ENMARCADA","CUADRO "S.O.V."","","","",""
"CUADRO "CONSIGNA AGUJAS"","MUSEO.","DOCUMENTACION ENMARCADA","CUADRO "CONSIGNA AGUJAS"","","","",""
"CUADRO "CONSIGNA AGUJAS"     2","MUSEO.","DOCUMENTACION ENMARCADA","CUADRO "CONSIGNA AGUJAS"     2","","","",""
"CUADRO "TITULO DE SOCIO"","MUSEO.","DOCUMENTACION ENMARCADA","CUADRO "TITULO DE SOCIO"","","","",""
"CUADRO "TITULO DE SOCIO"     2","MUSEO.","DOCUMENTACION ENMARCADA","CUADRO "TITULO DE SOCIO"     2","","","",""
"PLACA LOC. "MIERES"","MUSEO.","PLACA IDENTIFICACION DE LOCOMOTORA","PLACA LOC. "MIERES"","","","",""
"PLACA "ALARMA"","MUSEO.","PLACA IDENTIFICACION APARATO DE ALARMA","PLACA "ALARMA"","SIMON-BILBAO","","",""
"CENTRALITA? RENFE OVIEDO","MUSEO."," ","CENTRALITA? RENFE OVIEDO","","","",""
"CUADRO "AVISO..."","MUSEO.","DOCUMENTACION ENMARCADA","CUADRO "AVISO..."","","","",""
"MOTOCLAVADORA","MUSEO.","MAQUINA PARA ATORNILLAR TIRAFONDOS DE VIA","MOTOCLAVADORA","HISPANO MOTOR.","","",""
"PLACAS 040-2151 (2 UNI)","MUSEO.","PLACAS DE NUMERACION DE LOCOMOTORA DE VAPOR","PLACAS 040-2151 (2 UNI)","RENFE.","","",""
"PLACAS 030-2149 (2 UNI)","MUSEO.","PLACAS DE NUMERACION DE LOCOMOTORA DE VAPOR","PLACAS 030-2149 (2 UNI)","RENFE.","","",""
"SILBATO LOCOMOTORA (2)","MUSEO.","SILBATO DE LOCOMOTORA DE VAPOR.","SILBATO LOCOMOTORA (2)","","","",""
"PALA MANUAL","MUSEO.","PALA DE FOGONERO DE LOCOMOTORA DE VAPOR","PALA MANUAL","","","",""
"SILBATO LOCOMOTORA (3)","MUSEO.","SILBATO DE LOCOMOTORA DE VAPOR.","SILBATO LOCOMOTORA (3)","","","",""
"FM CONTRASTE BASCULAS.","MUSEO.","VAGON BORDES CONTRASTE DE BASCULAS","FM CONTRASTE BASCULAS.","FABRICA DE MIERES (Sobre vagón anterior)","","",""
"CEM DIESEL.","MUSEO.","LOCOMOTORA DIESEL","CEM DIESEL.","C.E.M. FAUVET GIREL DE LILLE (FRANCIA).","","",""
"MF "MUIR HILL".","MUSEO.","TRACTOR CARRETERO PARA MANIOBRA DE VAGONES.","MF "MUIR HILL".","MUIR HILL (G.B).","","",""
"ENGRASADOR DE LOCOMOTORA","MUSEO.","ENGRASADOR DE CONDENSACION DE LOCOMOTORA DE VAPOR.","ENGRASADOR DE LOCOMOTORA","","","",""
"SANTA BARBARA","MUSEO.","LOCOMOTORA DE VAPOR","SANTA BARBARA","JUNG. (ALEMANIA).","","","PESO ESTIMADO: 26.000 KGS."
"FM T 43","MUSEO.","VAGON TOLVA","FM T 43","FABRICA DE MIERES / AGUINACO","","",""
"CENTRALITA TELEFONICA","MUSEO.","CENTRALITA TELEFONICA MANUAL.","CENTRALITA TELEFONICA","ERICSON ESPAÑOLA.","","",""
"BOMBA IMPULSORA","MUSEO.","BOMBA DE AGUA MOVIDA POR CABALLITO DE AIRE.","BOMBA IMPULSORA","","","",""
"ENCARRILADERA","MUSEO.","ENCARRILADERA PARA MATERIAL MOVIL.","ENCARRILADERA","","","",""
"TENAZAS PORTACARRILES","MUSEO.","TENAZAS PARA TRANSPORTE MANUAL DE CARRILES.","TENAZAS PORTACARRILES","","","",""
"FOCOS SENAL "ADARO" (2 UNID)","MUSEO.","FOCOS DE SEÑAL LUMINOSA.","FOCOS SENAL "ADARO" (2 UNID)","ADARO.","","",""
"GRUA "JONES"","MUSEO.","GRUA MOVIL DE CARRETERA.","GRUA "JONES"","JONES.","","",""
"JARRA DE SIDRA","Museo del Pueblo de Asturias","JARRA DE SIDRA","","Ricardo Cuesta-Somió","Objeto doméstico-Sidra","Barro","16,4x5,8x9,3x8,7"
"JARRA DE SIDRA","Museo del Pueblo de Asturias","JARRA DE SIDRA","","Ricardo Cuesta-Somió","Objeto Industrial-sidra","Barro","16x5,6x9,5x10"
"JARRA DE SIDRA","Museo del Pueblo de Asturias","JARRA DE SIDRA","","Ricardo Cuesta-Somió","Objeto doméstico-Sidra","Barro","21x7,4x11,2x9,2"
"JARRA DE SIDRA","Museo del Pueblo de Asturias","JARRA DE SIDRA","","Primitivo Cuesta -Somió","Objeto doméstico-Sidra","Barro","12,4x5,3x7,8x8"
" LADRILLO","Museo del Pueblo de Asturias"," LADRILLO","","Primitivo Cuesta -Somió","Oficios- Albañilería","Barro","4,9x25x12"
"LADRILLO","Museo del Pueblo de Asturias","LADRILLO","","Primitivo Cuesta -Somió","Oficios- Albañilería","Barro","3x27,5x13"
"LADRILLO","Museo del Pueblo de Asturias","LADRILLO","","Primitivo Cuesta -Somió","Oficios- Albañilería","Barro","3,6x28x14"
"LOSA","Museo del Pueblo de Asturias","LOSA","","","Oficios- Albañilería","Barro","2,5x24,3x24"
"FRAGMENTO DE BOCAL ?","Museo del Pueblo de Asturias","FRAGMENTO DE BOCAL ?","","","Objeto doméstico","Barro","Fragmento"
"TEJA (Fragmento)","Museo del Pueblo de Asturias","TEJA (Fragmento)","","","Oficios- Industria tejera","Cerámica","29x11,5"
"BOTIA","Museo del Pueblo de Asturias","BOTIA","","","Objeto doméstico-Industria láctea","Barro","21x10x20,2x10,7"
"CAZUELA","Museo del Pueblo de Asturias","CAZUELA","","Alfar de José Vega","Objeto doméstico","Barro","14x9x21,5x15,3"
"ACEITERA","Museo del Pueblo de Asturias","ACEITERA","","","Objeto doméstico","Barro","10,4x4,5x8,6x7,5"
"VEDRÍO","Museo del Pueblo de Asturias","VEDRÍO","","","Objeto doméstico","Barro","11x10x25,5"
"CAZUELA","Museo del Pueblo de Asturias","CAZUELA","","Alfar de José Vega","Objeto doméstico","Barro","10,4x8,7x14,7x12,8"
"BARBON","Museo del Pueblo de Asturias","BARBON","","Alfar de José Vega","Objeto doméstico","Barro","28,4x8,7x18,2x6,7"
"JARRA DE SIDRA","Museo del Pueblo de Asturias","JARRA DE SIDRA","","Alfar de José Vega","Objeto doméstico","Cerámica","15,2x5,5x10x10"
"TAPADERA","Museo del Pueblo de Asturias","TAPADERA","","","Objeto doméstico","Barro","2,5x13,5"
"VEDRÍO","Museo del Pueblo de Asturias","VEDRÍO","","","Objeto doméstico","Cerámica","9x7x20"
"JARRA DE SIDRA","Museo del Pueblo de Asturias","JARRA DE SIDRA","","","Objeto doméstico-Sidra","Barro","14x7x8,5"
"TARREÑA/ CAZUELA","Museo del Pueblo de Asturias","TARREÑA/ CAZUELA","","","Objeto doméstico","Barro","19x10x21"
"TARREÑA/ CAZUELA","Museo del Pueblo de Asturias","TARREÑA/ CAZUELA","","","Objeto doméstico","Barro","22x9,5x21"
"BOTIA","Museo del Pueblo de Asturias","BOTIA","","","Objeto doméstico-Industria láctea","Barro, esmalte","21,719,5x16"
"JARRA","Museo del Pueblo de Asturias","JARRA","","","Objeto doméstico","Barro, esmalte","23x9x15x10,8"
"ESCUDILLA","Museo del Pueblo de Asturias","ESCUDILLA","","","Objeto doméstico","Barro, esmalte","5,8x5,5x16,4"
"JARRA","Museo del Pueblo de Asturias","JARRA","","","Objeto doméstico","Barro, esmalte","15,5"
"JARRA","Museo del Pueblo de Asturias","JARRA","","","Objeto doméstico","Barro, esmalte","18x10"
"JARRA","Museo del Pueblo de Asturias","JARRA","","","Objeto doméstico","Barro, esmalte","22x9,5x15,2x11,2"
"JARRA","Museo del Pueblo de Asturias","JARRA","","","Objeto doméstico","Barro, esmalte","21,415,2x14,6"
"JARRA","Museo del Pueblo de Asturias","JARRA","","","Objeto doméstico","Barro, esmalte","21,815x14"
"JARRA","Museo del Pueblo de Asturias","JARRA","","","Objeto doméstico","Barro, esmalte","23,2x9,9x16x11,2"
"JARRA","Museo del Pueblo de Asturias","JARRA","","","Objeto doméstico","Barro, esmalte","14,5x9,8x15,7"
"CAJA / LATA (VARIOS)","Museo del Pueblo de Asturias","CAJA / LATA (VARIOS)","","","Industria conservera","Hojalata","0,5x3,5x4,5"
"AGUJAS DE GRAMÓFONO (CAJA)","Museo del Pueblo de Asturias","AGUJAS DE GRAMÓFONO (CAJA)","","","Instrumentos musicales","Hojalata","1,5x3,5x4,5"
"AGUJAS DE GRAMÓFONO (CAJA)","Museo del Pueblo de Asturias","AGUJAS DE GRAMÓFONO (CAJA)","","","Instrumentos musicales","Hojalata","1,5x3,5x4"
"AGUJAS DE GRAMÓFONO (CAJA)","Museo del Pueblo de Asturias","AGUJAS DE GRAMÓFONO (CAJA)","","","Instrumentos musicales","Hojalata","1 x3,5x4,75"
"CAJA / LATA (VARIOS)","Museo del Pueblo de Asturias","CAJA / LATA (VARIOS)","","","","Hojalata","2,5x4,5x7,5"
"CAJA DE MÚSICA","Museo del Pueblo de Asturias","CAJA DE MÚSICA","","","Instrumentos musicales","Hojalata, acero","3x5,5x9,5"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","Gráficas  RIO - Luarca","Industria conservera - lácteos","Hojalata","0,2x11"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","Gráficas  RIO - Luarca","Industria conservera - lácteos","Hojalata","0,2x11,5"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","","Industria conservera - lácteos","Hojalata","0,1x8"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","","Industria conservera - lácteos","Hojalata","0,1x11"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","","Industria conservera - lácteos","Hojalata","0,2x10,5"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","","Industria conservera - lácteos","Hojalata","0,1x16,5"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","","Industria conservera - lácteos","Hojalata","0,1x11"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","","Industria conservera","Hojalata","0,1x11,5"
"TAPA DE LATA DE CONSERVAS","Museo del Pueblo de Asturias","TAPA DE LATA DE CONSERVAS","","","Industria conservera","Hojalata","0,1x7,5"
"TAPA DE LATA DE LIMPIADOR","Museo del Pueblo de Asturias","TAPA DE LATA DE LIMPIADOR","","","Objeto doméstico","Hojalata","1,3x8"
"TAPA DE LATA DE LIMPIADOR","Museo del Pueblo de Asturias","TAPA DE LATA DE LIMPIADOR","","","Objeto doméstico","Hojalata","1,6x8"
"TAPA DE LATA DE LIMPIADOR","Museo del Pueblo de Asturias","TAPA DE LATA DE LIMPIADOR","","","Objeto doméstico","Hojalata","1,5x8"
"PUNTILLA","Museo del Pueblo de Asturias","PUNTILLA","","","","Hilo","42,5x42,5x0,1"
"MUESTRA DE LABORES","Museo del Pueblo de Asturias","MUESTRA DE LABORES","","","Objeto doméstico-Decoración","Hilo panamá","34x52"
"MUESTRA DE LABORES","Museo del Pueblo de Asturias","MUESTRA DE LABORES","","","Objeto doméstico-Decoración","Hilo panamá","50x56"
"MUESTRA DE LABORES","Museo del Pueblo de Asturias","MUESTRA DE LABORES","","","Objeto doméstico-Decoración","Hilo panamá","50x53"
"MEDALLA  ESCOLAR","Museo del Pueblo de Asturias","MEDALLA  ESCOLAR","","","Objeto social","Acero sobredorado, seda","8,5x4x1"
"MEDALLA  ESCOLAR","Museo del Pueblo de Asturias","MEDALLA  ESCOLAR","","","Objeto social","Acero sobredorado, seda","11,5x6"
"MEDALLA  ESCOLAR","Museo del Pueblo de Asturias","MEDALLA  ESCOLAR","","","Objeto social","Acero sobredorado, seda","11,5x3,5"
"MEDALLA  ESCOLAR","Museo del Pueblo de Asturias","MEDALLA  ESCOLAR","","","Objeto social","Acero sobredorado","4x3,5"
"MEDALLA  ESCOLAR","Museo del Pueblo de Asturias","MEDALLA  ESCOLAR","","","Objeto social","Acero","14,5x5,2"
"MEDALLA  ESCOLAR","Museo del Pueblo de Asturias","MEDALLA  ESCOLAR","","","Objeto social","Acero sobredorado, seda","14,5x5,2"
"MARMITA S/M","MUSEO.","PALANCA DE ACCIONAMIENTO DE AGUJAS.","MARMITA S/M","","","",""
"ACEITERA GRANDE.             9","MUSEO.","RECIPIENTE PARA ACEITE DE ENGRASE.","ACEITERA GRANDE.             9","","","",""
"MARQUES DE CUBAS","MUSEO.","LOCOMOTORA DE VAPOR.","MARQUES DE CUBAS","BORSIG (ALEMANIA).","","","6100 x 2100"
"VARELA DE MONTES","MUSEO.","LOCOMOTORA DE VAPOR.","VARELA DE MONTES","RICHARD HARTMANN (ALEMANIA).","","",""
"VA 8","MUSEO.","LOCOMOTORA DE VAPOR","VA 8","BABCOCK & WILCOX (BILBAO).","","",""
"BILBAO","MUSEO.","LOCOMOTORA DE VAPOR","BILBAO","SHARP STEWART & CO. (GRAN BRETAÑA)","","",""
"NALON","MUSEO.","LOCOMOTORA DE VAPOR.","NALON","HUNSLET ENGINE & CO (GRAN BRETAÑA).","","","PESO: 27.000 kg."
"SHE  5","MUSEO.","LOCOMOTORA DE VAPOR","SHE  5","CORPET, L. (FRANCIA).","","","5480 x 1500. PESO: 9.000 kgs."
"EL CAVADO","MUSEO.","LOCOMOTORA DE VAPOR.","EL CAVADO","RICHARD HARTMANN (ALEMANIA).","","",""
"SIA 1","MUSEO.","LOCOMOTORA DE VAPOR.","SIA 1","VULCAN IRON WORKS (ESTADOS UNIDOS).","","","6055 x 1500. PESO: 15.000 Kg."
"FM DUFEL 2002","MUSEO.","LOCOMOTORA ELECTRICA","FM DUFEL 2002","S.M. DURO FELGUERA.","","","5420 x 850. PESO: 12.000 Kg."
"FM DUFEL 2001","MUSEO.","LOCOMOTORA ELECTRICA","FM DUFEL 2001","S.M. DURO FELGUERA.","","","5420 x 850. PESO: 11.500 Kg."
"DEUTZ KG 125 Nº 1","MUSEO.","LOCOMOTORA DIESEL","DEUTZ KG 125 Nº 1","DEUTZ","","","5270 x 1300. PESO: 16.000 kg."
"LLD NICOLASA FM Nº 5","MUSEO.","LOCOMOTORA DIESEL","LLD NICOLASA FM Nº 5","LLD PARIS.","","","3760 x 800. PESO APROX: 5.700 Kg."
"FM DEUTZ MLH 220","MUSEO.","LOCOMOTORA DIESEL","FM DEUTZ MLH 220","DEUTZ","","","2660 x 800. PESO: 4.500 kg"
"OK MV6 Nº 2","MUSEO.","LOCOMOTORA DIESEL","OK MV6 Nº 2","O&K LÜBECKER... DORTMUND-DORSFELD","","","PESO APROX: 14.000 Kg."
"RUSTON 30DLG 3","MUSEO.","LOCOMOTORA DIESEL","RUSTON 30DLG 3","RUSTON HORNSBY LTD LINCOLN (INGL).","","","PESO APROX: 4.000 Kg."
"HUNSLET/HUDSON 4178.","MUSEO.","LOCOMOTORA DIESEL","HUNSLET/HUDSON 4178.","HUNSLET ENG. Cº FOR ROBERT HUDSON, LEEDS","","","4260 x 1290. PESO APROX: 7.000 Kg."
"MALACATE VAPOR","MUSEO.","MALACATE VAPOR","MALACATE VAPOR","","","",""
"SIA VIAJEROS","MUSEO.","BASTIDOR DE COCHE DE VIAJEROS","SIA VIAJEROS","LA AMISTAD (OVIEDO).","","","4000 x 1470. ANCHO DE VIA:  750 mm."
"HT 600 VIAJEROS","MUSEO.","COCHE DE VIAJEROS","HT 600 VIAJEROS","","","","5410 x 1900"
"VOLQUETE LLAMAS (1)","MUSEO.","VAGON VOLQUETE","VOLQUETE LLAMAS (1)","","","","2080 x 1550"
"VOLQUETE LLAMAS (2)","MUSEO.","VAGON VOLQUETE","VOLQUETE LLAMAS (2)","","","","2230 x 1553"
"DF FC GENERAL TOLVA (1)8500","MUSEO.","VAGON TOLVA","DF FC GENERAL TOLVA (1)8500","","","","4200 x 1900. PESO: 3.000 KGS?"
"DF FC GENERAL TOLVA (2)","MUSEO.","VAGON TOLVA","DF FC GENERAL TOLVA (2)","","","","4200 x 1900. ANCHO DE VIA:  600 mm."
"NESPRAL VOLQUETE","MUSEO.","VAGON VOLQUETE","NESPRAL VOLQUETE","","","","1670 x 930"
"SHE 600 CERRADO  (1)","MUSEO.","VAGON CERRADO","SHE 600 CERRADO  (1)","","","","2730 x 1115"
"DF DUFEL 1000 MOSQUITERA Nº 2","MUSEO.","LOCOMOTORA ELECTRICA DE MINA.","DF DUFEL 1000 MOSQUITERA Nº 2","DURO FELGUERA.","","","4290 x 1000"
"SHE 600 MESILLA MADERA.","MUSEO.","VAGONETA MESILLA.","SHE 600 MESILLA MADERA.","","","",""
"DEUTZ KG 125 Nº 2","MUSEO.","LOCOMOTORA DIESEL","DEUTZ KG 125 Nº 2","DEUTZ","","","5270 x 1300. PESO: 16.000 kg."
"SHE "TALGO"  24.","MUSEO.","VAGON TOLVA DE DESCARGA LATERAL.","SHE "TALGO"  24.","","","","3257 x 1900"
"SHE AMBULANCIA","MUSEO.","COCHE DE VIAJEROS PARA HERIDOS.","SHE AMBULANCIA","LA AMISTAD (OVIEDO)","","","4000 x 1470. ANCHO DE VIA:  750 mm."
"PLEGADERA DE CARRILES SHE.","MUSEO.","PLEGADERA DE CARRILES PARA VIA Y OBRAS.","PLEGADERA DE CARRILES SHE.","","","","VID ESQUEMA."
"MARMITA SHE (1).","MUSEO.","PALANCA DE ACCIONAMIENTO DE AGUJAS.","MARMITA SHE (1).","","","","VID ESQUEMA."
"+MATERIAL VIA Y OBRAS S/C.","MUSEO.","MATERIAL VARIO DE VIA Y OBRAS SIN CLASIFICAR.","+MATERIAL VIA Y OBRAS S/C.","","","","VID ESQUEMA."
"PLATAFORMA LA CAMOCHA","MUSEO.","VAGON PLATAFORMA.","PLATAFORMA LA CAMOCHA","","","",""
"INSIGNIAS FC. CUBA (2 UNID).","MUSEO.","INSIGNIAS DE IDENTIFICACION.","INSIGNIAS FC. CUBA (2 UNID).","","","",""
"SELLOS FC. CUBA (9 UNID).","MUSEO.","SELLOS DE CAUCHO.","SELLOS FC. CUBA (9 UNID).","","","",""
"GUAYABERA FC. CUBA.","MUSEO.","GUAYABERA DE UNIFORME.","GUAYABERA FC. CUBA.","CRIOLLA PRIX. CUBA.","","",""
"MOCHILA "LADIS"","MUSEO.","MOCHILA.","MOCHILA "LADIS"","","","",""
"GRUA MUELLE MIERES","ALMACEN GRUAS ROXU.","GRUA GIRATORIA DE MUELLE.","GRUA MUELLE MIERES","","","",""
"LINTERNA DE MANO","MUSEO.","LINTERNA DE MANO PARA SEÑALES.","LINTERNA DE MANO","","","",""
"TALADRO VERTICAL "ENTREGO"","MUSEO.","MAQUINA HERRAMIENTA PARA TALADRADO.","TALADRO VERTICAL "ENTREGO"","BUFFALO FORGE CD  BUFFALO N Y","","",""
"TENAZA PORTACARRILES.","MUSEO.","TENAZA PARA MOVIMIENTO MANUAL DE CARRILES.","TENAZA PORTACARRILES.","","","",""
"POLIPASTO DE CADENA.","MUSEO.","ELEMENTO DE LEVANTE DE PESOS MEDIOS.","POLIPASTO DE CADENA.","OMEGA","","",""
"TALADRO VERTICAL DE MESA.","MUSEO.","MAQUINA HERRAMIENTA PARA TALADRADO.","TALADRO VERTICAL DE MESA.","","","",""
"MODELOS MADERA SORRIEGO (2UNID.)","MUSEO.","MODELOS PARA FUNDICION.","MODELOS MADERA SORRIEGO (2UNID.)","","","",""
"TALLADOR DE BROCAS","MUSEO.","MAQUINA PAR EL TALLADO DE BROCAS.","TALLADOR DE BROCAS","ANTUÑANO","","",""
"VAGONETA PORTABATERIAS.","MUSEO.","VAGONETA PARA TRANSPORTAR BATERIAS.","VAGONETA PORTABATERIAS.","","","",""
"JOP MUSEL 11","MUSEO.","LOCOMOTORA DE VAPOR.","JOP MUSEL 11","BABCOCK & WILCOX","","","PESO APROX.: 45.000 kgs."
