titulo,categoria,convoca,plazo,resumen,boletin,contacto_y_telefono,correo_electronico,web
"Ayudas a proyectos dirigidos a personas con discacidad, 2014","Ayudas y subvenciones","Fundación ONCE","30/06/2014","Son ayudas a la cooperación e inclusión social, financiándose proyectos que tengas que ver con creación de puestos de trabajo, autoempleo, vehículos para transporte colectivo, jornadas y congresos, accesibilidad de la comunicación sensorial, etc.","<a href="http://" title="Ir a " rel="external">BOE de 07/01/2014</a>","Fundación ONCE. C/ Sebastián Herrera, 15. Madrid.","<a href="mailto:convocatoriaproyectos2014@fundaciononce.es" title="Enviar correo electrónico a convocatoriaproyectos2014@fundaciononce.es">convocatoriaproyectos2014@fundaciononce.es</a>","<a href="http://www.fundaciononce.es/ES/AmbitosActuacion/ProyectosSolicitudes/Paginas/Inicio.aspx" title="Ir a http://www.fundaciononce.es/ES/AmbitosActuacion/ProyectosSolicitudes/Paginas/Inicio.aspx" rel="external">www.fundaciononce.es</a>"
"Subvenciones al movimiento asociativo en el desarrollo de programas y actividades que potencien la igualdad de oportunidades entre mujeres y hombres","Ayudas y subvenciones","Consejería de Presidencia","04/07/2014","Dirigidas a asociaciones de mujeres y federaciones de asociaciones de mujeres sin ánimo de lucro para la defensa de los derechos de las mujeres e igualdad de oportunidades.","<a href="https://sede.asturias.es/bopa/2014/06/13/2014-10004.pdf" title="Ir a https://sede.asturias.es/bopa/2014/06/13/2014-10004.pdf" rel="external">BOPA 13/06/2014</a>","Oficina de Registro de la Consejería de Presidencia<br/>Eduardo Herrera &quot;Herrerita&quot;, S/N. 33006 Oviedo.","",""
"Convocatoria de ayudas para dos proyectos de investigación de Historia Económica","Ayudas y subvenciones","Banco de España","07/07/2014","Se dan 2 ayudas para proyectos de investigación en historia económica, no vinculados a estudios oficiales de doctorado, especialmente sobre política económica y monetaria y el sistema financiero español de los siglos XIX y XX. Las pueden solictar cualquier universidad o centro de investigación de reconocido prestigio con personalidad jurídica propia. Cada ayuda tiene una dotación de 16.000 €. Las <a href="http://www.bde.es/f/webbde/PER/convoca/be/ficheros/Bases%20ayuda%20historia%20economica_2014_2015_v5_Enviado%20a%20CE.pdf" title="Ir a http://www.bde.es/f/webbde/PER/convoca/be/ficheros/Bases%20ayuda%20historia%20economica_2014_2015_v5_Enviado%20a%20CE.pdf" rel="external">bases</a> se pueden consultar en la <a href="http://www.bde.es/bde/es/secciones/convocatorias/Becas/" title="Ir a http://www.bde.es/bde/es/secciones/convocatorias/Becas/" rel="external">web del Banco de España</a>.","<a href="http://www.boe.es/boe/dias/2014/06/03/pdfs/BOE-B-2014-19883.pdf" title="Ir a http://www.boe.es/boe/dias/2014/06/03/pdfs/BOE-B-2014-19883.pdf" rel="external">BOE de 03/06/2014</a>"," ","<a href="http://rho.investigacion-becas@bde.es" title="Ir a rho.investigacion-becas@bde.es" rel="external">rho.investigacion-becas@bde.es</a>","<a href="http://www.bde.es/bde/es/secciones/convocatorias/Becas/" title="Ir a http://www.bde.es/bde/es/secciones/convocatorias/Becas/" rel="external">www.bde.es</a>"
"Subvenciones a entidades sin ánimo de lucro para programas de atención a pacientes o familiares con enfermedades crónicas","Ayudas y subvenciones","Consejería de Sanidad","13/07/2014","Subvenciones dirigidas a ONGs y entidades e instituciones sin ánimo de lucro legalmente constituídas en el Principado de Asturias (bases <a href="https://sede.asturias.es/portal/site/Asturias/template.PAGE/menuitem.1003733838db7342ebc4e191100000f7/?javax.portlet.tpst=6d0b641e0e30cd65ccb4bbc3100000f7&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardPath=%2Fjsp%2FconsultaFecha.jsp&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_fecha=16%2F09%2F2008&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_i18n.http.lang=es&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_action=consultaFechaAction&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardMode=view&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardContent=text%2Fhtml&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_btn-busq-servicios.y=0&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_btn-busq-servicios.x=0&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardState=&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardName=successConsultaFecha&amp;javax.portlet.begCacheTok=com.vignette.cachetoken&amp;javax.portlet.endCacheTok=com.vignette.cachetoken" title="Ir a https://sede.asturias.es/portal/site/Asturias/template.PAGE/menuitem.1003733838db7342ebc4e191100000f7/?javax.portlet.tpst=6d0b641e0e30cd65ccb4bbc3100000f7&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardPath=%2Fjsp%2FconsultaFecha.jsp&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_fecha=16%2F09%2F2008&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_i18n.http.lang=es&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_action=consultaFechaAction&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardMode=view&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardContent=text%2Fhtml&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_btn-busq-servicios.y=0&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_btn-busq-servicios.x=0&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardState=&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardName=successConsultaFecha&amp;javax.portlet.begCacheTok=com.vignette.cachetoken&amp;javax.portlet.endCacheTok=com.vignette.cachetoken" rel="external">BOPA 16/09/2008</a>) para actividades de prevención, información, atención y asesoramiento.","<a href="https://sede.asturias.es/portal/site/Asturias/template.PAGE/menuitem.1003733838db7342ebc4e191100000f7/?javax.portlet.tpst=6d0b641e0e30cd65ccb4bbc3100000f7&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardPath=%2Fjsp%2FconsultaFecha.jsp&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_fecha=13%2F06%2F2014&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_i18n.http.lang=es&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_action=consultaFechaAction&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardMode=view&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardContent=text%2Fhtml&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_btn-busq-servicios.y=13&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_btn-busq-servicios.x=39&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardState=&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardName=successConsultaFecha&amp;javax.portlet.begCacheTok=com.vignette.cachetoken&amp;javax.portlet.endCacheTok=com.vignette.cachetoken" title="Ir a https://sede.asturias.es/portal/site/Asturias/template.PAGE/menuitem.1003733838db7342ebc4e191100000f7/?javax.portlet.tpst=6d0b641e0e30cd65ccb4bbc3100000f7&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardPath=%2Fjsp%2FconsultaFecha.jsp&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_fecha=13%2F06%2F2014&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_i18n.http.lang=es&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_action=consultaFechaAction&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardMode=view&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardContent=text%2Fhtml&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_btn-busq-servicios.y=13&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7_btn-busq-servicios.x=39&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardState=&amp;javax.portlet.prp_6d0b641e0e30cd65ccb4bbc3100000f7__forwardName=successConsultaFecha&amp;javax.portlet.begCacheTok=com.vignette.cachetoken&amp;javax.portlet.endCacheTok=com.vignette.cachetoken" rel="external">BOPA 13/06/2014</a>","Registro Gral. Consejería Sanidad<br/>C/ Ciriaco Miguel Vigil, 9. 33006 Oviedo.<br/>Tel.: 985 10 63 44 / 985 10 74 68","",""
"Ayudas a actividades en al ámbito de la biodiversidad terrestre, biodiversidad marina y litoral, cambio climático y calidad ambiental","Ayudas y subvenciones","Fundación Biodiversidad","15/07/2014","Las ayudas se conceden a entidades públicas o privadas, sin ánimo de lucro, para la realizacción de actividades que contribuyan al cumplimiento de los fines y objetivos de la Fundación Biodiversidad. Las <a href="http://fundacion-biodiversidad.es/sites/default/files/multimedia/archivos/bases_reguladoras_2014_2.pdf" title="Ir a http://fundacion-biodiversidad.es/sites/default/files/multimedia/archivos/bases_reguladoras_2014_2.pdf" rel="external">bases</a> de la convocatoria se pueden consultar en la web de la <a href="http://fundacion-biodiversidad.es/convocatorias/convocatorias-de-ayudas/convocatoria-de-ayudas-2014" title="Ir a http://fundacion-biodiversidad.es/convocatorias/convocatorias-de-ayudas/convocatoria-de-ayudas-2014" rel="external">Fundación Biodiversidad</a>, así como la <a href="http://fundacion-biodiversidad.es/sites/default/files/multimedia/archivos/01_guia_presentacion_proyectos_2014_2.pdf" title="Ir a http://fundacion-biodiversidad.es/sites/default/files/multimedia/archivos/01_guia_presentacion_proyectos_2014_2.pdf" rel="external">guía para la presentación de proyectos</a> y <a href="http://fundacion-biodiversidad.es/sites/default/files/multimedia/archivos/02_preguntas_frecuentes_2014_2.pdf" title="Ir a http://fundacion-biodiversidad.es/sites/default/files/multimedia/archivos/02_preguntas_frecuentes_2014_2.pdf" rel="external">preguntas frecuentes</a>.","<a href="http://www.boe.es/boe/dias/2014/02/15/pdfs/BOE-B-2014-5539.pdf" title="Ir a http://www.boe.es/boe/dias/2014/02/15/pdfs/BOE-B-2014-5539.pdf" rel="external">BOE de 15/02/2014</a>","Fundación Biodiversidad. C/ Fortuny, 7. 28010, Madrid.   911 21 09 20","<a href="mailto:proyectos@fundacion-biodiversidad.es" title="Enviar correo electrónico a proyectos@fundacion-biodiversidad.es">proyectos@fundacion-biodiversidad.es</a>","<a href="http://fundacion-biodiversidad.es/convocatorias/convocatorias-de-ayudas/convocatoria-de-ayudas-2014" title="Ir a http://fundacion-biodiversidad.es/convocatorias/convocatorias-de-ayudas/convocatoria-de-ayudas-2014" rel="external">www.fundacion-bio"
"Subvenciones a la organización o participación en  fases sector y fases finales de Campeonatos de España de Clubes 2014","Ayudas y subvenciones","Patronato Deportivo Municipal - Ayuntamiento de Gijón/Xixón","15/07/2014","Entidades deportivas que hayan disputado u organizado fases sector y/o fases finales de Campeonatos de España de Clubes en el período comprendido entre el 1 de enero y el 30 de junio de 2014","<a title="Ir a https://sede.asturias.es/bopa/2014/06/26/2014-10715.pdf" href="https://sede.asturias.es/bopa/2014/06/26/2014-10715.pdf" rel="external">BOPA 26/06/2014</a>","<p>Patronato Deportivo Municipal</p> <p>Centro Municipal de El Coto, Plaza de la República, s/n, 33204, Gijón. Tel. 985181721</p>","<a title="Enviar correo electrónico a pdm@gijon.es" href="mailto:pdm@gijon.es">pdm@gijon.es</a>","<a title="Ir a http://deporte.gijon.es/" href="http://deporte.gijon.es/" rel="external">Patronato Deportivo Municipal</a>"
"Subvenciones a programas de salidas colectivas de montaña de los grupos de montaña durante el ejercicio 2014","Ayudas y subvenciones","Patronato Deportivo Municipal - Ayuntamiento de Gijón/Xixón","21/07/2014","Entidades deportivas legalmente constituidas, con una antigüedad de al  menos un año y que aporten un programa de un mínimo de 10 salidas colectivas de montaña durante el año 2014","BOPA 26/06/2014","<p>Patronato Deportivo Municipal</p>Centro Municipal de El Coto, Plaza de la República, s/n, 33204, Gijón. Tel. 985181721","<a title="Enviar correo electrónico a pdm@gijon.es" href="mailto:pdm@gijon.es"></a><a title="Enviar correo electrónico a pdm@gijon.es" href="mailto:pdm@gijon.es">pdm@gijon.es</a>","<p sizset="0" sizcache="6080"><a title="Ir a http://deporte.gijon.es/" href="http://deporte.gijon.es/">Patronato Deportivo Municipal</a></p>"
"Subvenciones para el mantenimiento, funcionamiento y equipamiento de asociaciones juveniles, organizaciones juveniles, y entidades prestadoras de servicios a la juventud de ámbito estatal, para el año 2014","Ayudas y subvenciones","Instituto de la Juventud. Ministerio de Sanidad, Asuntos Sociales e Igualdad.","23/07/2014","<p>a) Asociaciones juveniles, Federaciones o Confederaciones de Asociaciones Juveniles.</p> <p>b) Secciones Juveniles de entidades sociales u organizaciones no gubernamentales que tengan reconocidos en sus Estatutos autonomía funcional, organización y gobierno propio para los asuntos específicamente juveniles.</p>c) Entidades prestadoras de servicios a la juventud, dedicadas con carácter exclusivo a la realización de actividades en favor de la juventud según previsión expresa en sus Estatutos<br/>Tener ámbito de actuación estatal y carecer de fines de lucro","<a title="Ir a http://www.boe.es/boe/dias/2014/07/03/pdfs/BOE-A-2014-7006.pdf" href="http://www.boe.es/boe/dias/2014/07/03/pdfs/BOE-A-2014-7006.pdf" rel="external">BOE 03/07/2014</a>","<p>Instituto de la Juventud</p> <p>C/José Ortega y Gasset, 71, 28006 Madrid </p> <p>Tel. 917 82 76 00</p>","<a title="Enviar correo electrónico a informacioninjuve@injuve.es" href="mailto:informacioninjuve@injuve.es"><u>informacioninjuve@injuve.es</u></a>","<a title="Ir a http://www.injuve.es/" href="http://www.injuve.es/" rel="external">Instituto de la Juventud</a>"
"Desafío de talento solidario","Ayudas y subvenciones","Fundación Botín","28/07/2014","<p>La Fundación Botín ofrece su apoyo a ideas o iniciativas innovadoras de organizaciones sociales que ayuden adar solución a retos de la sociedad. El desafío social que se ha marcado es: la creación de empleo joven. </p> <p>Podrá participar enla convocatoria cualquier entidad sin ánimo de lucro que reúna las siguientes características: Tener su sede social y que desarrollen su actividad en España. </p> <p>Presentar una idea/iniciativa innovadora para la creación de empleo juvenil. </p> <p>La Fundación Botín pondrá a disposición de las organizaciones premiadas toda la ayuda y soporte necesario para desarrollar e implementar los proyectos finalistas a través de un Ecosistema de Apoyo para el desarrollo y puesta en marcha de los proyectos ganadores.</p>","<a title="Ir a http://eldesafiots.org/" href="http://eldesafiots.org/" rel="external">Bases Talento Solidario</a>","<p>FUNDACION BOTIN</p> <p>C/ Castelló, 18C. 28001, MADRID</p> <p>Tlf: 942 22 60 72</p>","<a title="Enviar correo electrónico a eldesafiots@fundacionbotin.org" href="mailto:eldesafiots@fundacionbotin.org">eldesafiots@fundacionbotin.org</a>","<a title="Ir a http://www.fundacionbotin.org/" href="http://www.fundacionbotin.org/" rel="external">http://www.fundacionbotin.org/</a>"
"Convocatoria Fundación BBVA de ayudas a la Creación en Videoarte ","Ayudas y subvenciones","<p>Fundación BBVA</p>","30/07/2014","<p>Podrán solicitar la ayuda videoartistas españoles,sin límite de edad. El obletivo de estas ayudas es: a) Promover la creación de obras de videoarte realizadas por videoartistas españoles, b) Fomentar la experimentación e innovación en la creación audiovisual y c) Favorecer la difusión de las obras resultantes.</p> <p>Se concederán 10 ayudas para el conjunto de la convocatoria y el importe máximo de cada una será de 30.000 € íntegramente para la producción de la obra.</p> <p sizset="0" sizcache="15180">Presentar una única solicitud. Los proyectos deberán tener un carácter claramente innovador.Las solicitudes pueden enviarse a través de la <a title="Ir a http://www.fbbva.es/TLFU/tlfu/esp/noticias/fichanoticia/index.jsp?codigo=1240" href="http://www.fbbva.es/TLFU/tlfu/esp/noticias/fichanoticia/index.jsp?codigo=1240" rel="external">Web</a>, el correo electrónico facilitado o a través de correo postal.</p>","","<p>Ayudas a la Creación en Videoarte<br/>Fundación BBVA.</p> <p>Paseo de REcoletos, Nº 10. 28001. Madrid</p>","<a title="Enviar correo electrónico a ayudas-audiovisuales@fbbva.es" href="mailto:ayudas-audiovisuales@fbbva.es">ayudas-audiovisuales@fbbva.es</a>","<a title="Ir a http://www.fbbva.es/TLFU/tlfu/esp/noticias/fichanoticia/index.jsp?codigo=1240" href="http://www.fbbva.es/TLFU/tlfu/esp/noticias/fichanoticia/index.jsp?codigo=1240" rel="external">www.fbbva.es</a>"
